阿迪热村,a'di're'cun
巴仁乡,ba'ren'xiang
巴仁镇,ba'ren'zhen
巴什阿吉艾格勒村,ba'shi'a'ji'yi'ge'le'cun
巴什阿克代尔亚村,ba'shi'a'ke'dai'er'ya'cun
巴什阿勒喀库勒村,ba'shi'a'le'ka'ku'le'cun
巴什阿其玛村,ba'shi'a'qi'ma'cun
巴什阿恰勒村,ba'shi'a'qia'le'cun
巴什阿曲村,ba'shi'a'qu'cun
巴什阿热果勒村,ba'shi'a're'guo'le'cun
巴什阿特巴什村,ba'shi'a'te'ba'shi'cun
巴什阿瓦提村,ba'shi'a'wa'ti'cun
巴什艾日克村,ba'shi'ai'ri'ke'cun
巴什奥塔格村,ba'shi'ao'ta'ge'cun
巴什奥依库勒村,ba'shi'ao'yi'ku'le'cun
巴什巴格艾日克村,ba'shi'ba'ge'ai'ri'ke'cun
巴什巴格拉村,ba'shi'ba'ge'la'cun
巴什巴仁村,ba'shi'ba'ren'cun
巴什达拉斯喀勒村,ba'shi'da'la'si'ka'le'cun
巴什代尔村,ba'shi'dai'er'cun
巴什古江村,ba'shi'gu'jiang'cun
巴什古勒巴格村,ba'shi'gu'le'ba'ge'cun
巴什古热村,ba'shi'gu're'cun
巴什哈萨克村,ba'shi'ha'sa'ke'cun
巴什吉勒尕村,ba'shi'ji'le'ga'cun
巴什加格勒格村,ba'shi'jia'ge'le'ge'cun
巴什加依村,ba'shi'jia'yi'cun
巴什喀拉巴格村,ba'shi'ka'la'ba'ge'cun
巴什喀其村,ba'shi'ka'qi'cun
巴什喀日拉村,ba'shi'ka'ri'la'cun
巴什喀瓦克村,ba'shi'ka'wa'ke'cun
巴什喀依古鲁克村,ba'shi'ka'yi'gu'lu'ke'cun
巴什康萨依村,ba'shi'kang'sa'yi'cun
巴什克皮乃克村,ba'shi'ke'pi'nai'ke'cun
巴什科瑞克村,ba'shi'ke'rui'ke'cun
巴什库都克拉村,ba'shi'ku'dou'ke'la'cun
巴什库木巴村,ba'shi'ku'mu'ba'cun
巴什库木巴格村,ba'shi'ku'mu'ba'ge'cun
巴什库其村,ba'shi'ku'qi'cun
巴什阔尕其村,ba'shi'kuo'ga'qi'cun
巴什拉斯奎村,ba'shi'la'si'kui'cun
巴什拉依喀村,ba'shi'la'yi'ka'cun
巴什兰干村,ba'shi'lan'gan'cun
巴什勒格勒德玛村,ba'shi'le'ge'le'de'ma'cun
巴什麻扎库木村,ba'shi'ma'zha'ku'mu'cun
巴什芒来村,ba'shi'mang'lai'cun
巴什米克拉村,ba'shi'mi'ke'la'cun
巴什欧尔达贝格村,ba'shi'ou'er'da'bei'ge'cun
巴什欧壤村,ba'shi'ou'rang'cun
巴什欧依托格拉克村,ba'shi'ou'yi'tuo'ge'la'ke'cun
巴什普恰克其村,ba'shi'pu'qia'ke'qi'cun
巴什恰尔巴格村,ba'shi'qia'er'ba'ge'cun
巴什前墩村,ba'shi'qian'dun'cun
巴什乔拉克村,ba'shi'qiao'la'ke'cun
巴什却普村,ba'shi'que'pu'cun
巴什色日克阿塔村,ba'shi'se'ri'ke'a'ta'cun
巴什苏盖特艾日克村,ba'shi'su'gai'te'ai'ri'ke'cun
巴什塔尕其艾日克村,ba'shi'ta'ga'qi'ai'ri'ke'cun
巴什铁热克村,ba'shi'tie're'ke'cun
巴什铁日克村,ba'shi'tie'ri'ke'cun
巴什通塔什村,ba'shi'tong'ta'shen'cun
巴什吐格曼艾日克村,ba'shi'tu'ge'man'ai'ri'ke'cun
巴什吐格曼村,ba'shi'tu'ge'man'cun
巴什吐古其村,ba'shi'tu'gu'qi'cun
巴什托格拉勒村,ba'shi'tuo'ge'la'le'cun
巴什托奴村,ba'shi'tuo'nu'cun
巴什托普贝格村,ba'shi'tuo'pu'bei'ge'cun
巴什温塔木村,ba'shi'wen'ta'mu'cun
巴什乌尔其村,ba'shi'wu'er'qi'cun
巴什乌堂村,ba'shi'wu'tang'cun
巴什硝尔艾日克村,ba'shi'xiao'er'ai'ri'ke'cun
巴什亚巴格村,ba'shi'ya'ba'ge'cun
巴什亚尕其村,ba'shi'ya'ga'qi'cun
巴什央艾日克村,ba'shi'yang'ai'ri'ke'cun
巴什也依克村,ba'shi'ye'yi'ke'cun
巴什依格孜艾日克村,ba'shi'yi'ge'zi'ai'ri'ke'cun
巴什依提木玉瑞克村,ba'shi'yi'ti'mu'yu'rui'ke'cun
巴什依希克拉村,ba'shi'yi'xi'ke'la'cun
巴什依希塔其村,ba'shi'yi'xi'ta'qi'cun
巴什英阿依马克村,ba'shi'ying'a'yi'ma'ke'cun
巴什英买里村,ba'shi'ying'mai'li'cun
巴什英温村,ba'shi'ying'wen'cun
巴什宗朗村,ba'shi'zong'lang'cun
巴斯亚村,ba'si'ya'cun
巴夏克其村,ba'xia'ke'qi'cun
巴依阿瓦提村,ba'yi'a'wa'ti'cun
巴依阿瓦提乡,ba'yi'a'wa'ti'xiang
巴依艾日克村,ba'yi'ai'ri'ke'cun
巴依买来村,ba'yi'mai'lai'cun
巴依托卡依村,ba'yi'tuo'ka'yi'cun
巴依托喀依村,ba'yi'tuo'ka'yi'cun
巴扎博依村,ba'zha'bo'yi'cun
巴扎布依村,ba'zha'bu'yi'cun
巴扎村,ba'zha'cun
巴扎达什特村,ba'zha'da'shen'te'cun
巴扎尔博依村,ba'zha'er'bo'yi'cun
巴扎加米村,ba'zha'jia'mi'cun
巴扎结米村,ba'zha'jie'mi'cun
巴扎结米社区,ba'zha'jie'mi'she'qu
巴扎结米乡,ba'zha'jie'mi'xiang
巴扎社区,ba'zha'she'qu
白尕吾勒村,bai'ga'wu'le'cun
拜合提社区,bai'he'ti'she'qu
百合提社区,bai'he'ti'she'qu
拜合提亚尔村,bai'he'ti'ya'er'cun
拜勒墩村,bai'le'dun'cun
拜什艾日克村,bai'shen'ai'ri'ke'cun
拜什拜格村,bai'shen'bai'ge'cun
拜什盖买村,bai'shen'gai'mai'cun
拜什喀帕村,bai'shen'ka'pa'cun
拜什库尔干村,bai'shen'ku'er'gan'cun
拜什塔木村,bai'shen'ta'mu'cun
拜什吐普村,bai'shen'tu'pu'cun
拜什托普村,bai'shen'tuo'pu'cun
班迪尔乡,ban'di'er'xiang
包勒喀村,bao'le'ka'cun
包日其村,bao'ri'qi'cun
贝勒克其村,bei'le'ke'qi'cun
比曾村,bi'ceng'cun
比尔艾格孜村,bi'er'ai'ge'zi'cun
比合勒克村,bi'he'le'ke'cun
比纳木村,bi'na'mu'cun
滨河社区,bin'he'she'qu
博迪马勒村,bo'di'ma'le'cun
博尔其墩村,bo'er'qi'dun'cun
博尔赞村,bo'er'zan'cun
博格达依艾日克村,bo'ge'da'yi'ai'ri'ke'cun
伯克力克铁热木村,bo'ke'li'ke'tie're'mu'cun
博勒喀吾斯塘博依社区,bo'le'ka'wu'si'tang'bo'yi'she'qu
博隆村,bo'long'cun
博热村,bo're'cun
波斯喀木村,bo'si'ka'mu'cun
博斯坦阿勒迪村,bo'si'tan'a'le'di'cun
博斯坦艾日克村,bo'si'tan'ai'ri'ke'cun
博斯坦村,bo'si'tan'cun
博斯坦库木什村,bo'si'tan'ku'mu'shen'cun
博斯坦勒克村,bo'si'tan'le'ke'cun
博斯坦社区,bo'si'tan'she'qu
博斯坦托格拉克村,bo'si'tan'tuo'ge'la'ke'cun
波斯特班迪尔村,bo'si'te'ban'di'er'cun
波斯特多克特村,bo'si'te'duo'ke'te'cun
博瓦希村,bo'wa'xi'cun
伯西热克阔恰社区,bo'xi're'ke'kuo'qia'she'qu
伯西热克乡,bo'xi're'ke'xiang
博亚克恰喀村,bo'ya'ke'qia'ka'cun
博孜艾日克村,bo'zi'ai'ri'ke'cun
博孜村,bo'zi'cun
博孜滚艾日克村,bo'zi'gun'ai'ri'ke'cun
博孜库木村,bo'zi'ku'mu'cun
博孜买里村,bo'zi'mai'li'cun
博孜吐格村,bo'zi'tu'ge'cun
布达村,bu'da'cun
布达夏合勒克村,bu'da'xia'he'le'ke'cun
布都舒克村,bu'dou'shu'ke'cun
布队村,bu'dui'cun
布古其村,bu'gu'qi'cun
布候其拉甫村,bu'hou'qi'la'fu'cun
布柬托皮斯村,bu'jian'tuo'pi'si'cun
布喀帕塔村,bu'ka'pa'ta'cun
布坎拜村,bu'kan'bai'cun
布克松博依村,bu'ke'song'bo'yi'cun
布拉克贝希村,bu'la'ke'bei'xi'cun
布拉克贝西社区,bu'la'ke'bei'xi'she'qu
布拉克村,bu'la'ke'cun
布拉克尕勒社区,bu'la'ke'ga'le'she'qu
布勒布勒迭村,bu'le'bu'le'die'cun
布力曼村,bu'li'man'cun
布隆浪喀村,bu'long'lang'ka'cun
布伦木沙乡,bu'lun'mu'sha'xiang
布吕买吾斯塘村,bu'lv'mai'wu'si'tang'cun
布那克村,bu'na'ke'cun
布维布拉克村,bu'wei'bu'la'ke'cun
布扎克村,bu'zha'ke'cun
布扎克乡,bu'zha'ke'xiang
菜其买里村,cai'qi'mai'li'cun
仓村,cang'cun
陈老七村,chen'lao'qi'cun
城北社区,cheng'bei'she'qu
城南社区,cheng'nan'she'qu
大巴扎社区,da'ba'zha'she'qu
达布达尔村,da'bu'da'er'cun
达布达尔乡,da'bu'da'er'xiang
达汗村,da'han'cun
达汗拉村,da'han'la'cun
达奎村,da'kui'cun
达拉斯喀勒村,da'la'si'ka'le'cun
达里亚博依村,da'li'ya'bo'yi'cun
达米提村,da'mi'ti'cun
达木斯村,da'mu'si'cun
达木斯乡,da'mu'si'xiang
达其博依村,da'qi'bo'yi'cun
达恰库勒社区,da'qia'ku'le'she'qu
大同乡,da'tong'xiang
达瓦巴扎村,da'wa'ba'zha'cun
达吾干村,da'wu'gan'cun
达乌来特迭村,da'wu'lai'te'die'cun
达吾孜库木村,da'wu'zi'ku'mu'cun
达西村,da'xi'cun
代尔瓦阿勒迪社区,dai'er'wa'a'le'di'she'qu
代尔瓦扎库木村,dai'er'wa'zha'ku'mu'cun
代尔瓦扎托格拉克村,dai'er'wa'zha'tuo'ge'la'ke'cun
代尔瓦孜库木村,dai'er'wa'zi'ku'mu'cun
代尔亚博依村,dai'er'ya'bo'yi'cun
代米村,dai'mi'cun
代普桑村,dai'pu'sang'cun
代普台尔村,dai'pu'tai'er'cun
当拉村,dang'la'cun
刀郎社区,dao'lang'she'qu
刀孜亚村,dao'zi'ya'cun
得尔维希村,de'er'wei'xi'cun
第二社区,di'er'she'qu
第三社区,di'san'she'qu
第一社区,di'yi'she'qu
店阿勒迪村,dian'a'le'di'cun
迭村,die'cun
东方红社区,dong'fang'hong'she'qu
东风村,dong'feng'cun
东伟立克村,dong'wei'li'ke'cun
都村,dou'cun
都塔尔村,dou'ta'er'cun
都先拜巴扎村,dou'xian'bai'ba'zha'cun
督村,du'cun
杜瓦村,du'wa'cun
杜瓦镇,du'wa'zhen
堆外萨依巴格村,dui'wai'sa'yi'ba'ge'cun
墩阿其玛村,dun'a'qi'ma'cun
墩阿热希村,dun'a're'xi'cun
墩艾日克村,dun'ai'ri'ke'cun
墩巴格村,dun'ba'ge'cun
墩巴格乡,dun'ba'ge'xiang
墩村,dun'cun
墩迪瓦依村,dun'di'wa'yi'cun
墩霍依拉村,dun'huo'yi'la'cun
墩加依村,dun'jia'yi'cun
墩库卡社区,dun'ku'ka'she'qu
墩库勒村,dun'ku'le'cun
墩阔恰村,dun'kuo'qia'cun
墩阔坦村,dun'kuo'tan'cun
墩吕克村,dun'lv'ke'cun
墩买里村,dun'mai'li'cun
墩美其特村,dun'mei'qi'te'cun
墩欧依拉村,dun'ou'yi'la'cun
墩恰喀村,dun'qia'ka'cun
墩恰喀尔村,dun'qia'ka'er'cun
墩瓦克拜社区,dun'wa'ke'bai'she'qu
墩吾斯坦村,dun'wu'si'tan'cun
墩吾斯塘村,dun'wu'si'tang'cun
墩孜拉村,dun'zi'la'cun
多来提巴格村,duo'lai'ti'ba'ge'cun
多来提巴格乡,duo'lai'ti'ba'ge'xiang
多兰买里斯村,duo'lan'mai'li'si'cun
飞机场社区,fei'ji'chang'she'qu
尕巴什村,ga'ba'shi'cun
尕藏墩村,ga'cang'dun'cun
尕藏托格拉克村,ga'cang'tuo'ge'la'ke'cun
尕对村,ga'dui'cun
尕勒艾日克村,ga'le'ai'ri'ke'cun
尕热勒克村,ga're'le'ke'cun
尕孜库勒村,ga'zi'ku'le'cun
尕孜库勒乡,ga'zi'ku'le'xiang
尕孜恰喀村,ga'zi'qia'ka'cun
尕孜艾格勒村,ga'zi'yi'ge'le'cun
尕宗村,ga'zong'cun
盖买村,gai'mai'cun
盖买库勒村,gai'mai'ku'le'cun
盖米力克村,gai'mi'li'ke'cun
盖再勒村,gai'zai'le'cun
盖孜乃库木村,gai'zi'nai'ku'mu'cun
干其村,gan'qi'cun
格勒当村,ge'le'dang'cun
戈日艾其克村,ge'ri'ai'qi'ke'cun
格什勒克村,ge'shen'le'ke'cun
格什勒克吾斯塘村,ge'shen'le'ke'wu'si'tang'cun
拱拜孜村,gong'bai'zi'cun
工贸园社区,gong'mao'yuan'she'qu
工业园社区,gong'ye'yuan'she'qu
公园社区,gong'yuan'she'qu
古江巴格街道,gu'jiang'ba'ge'jie'dao
古江巴格乡,gu'jiang'ba'ge'xiang
古江北路社区,gu'jiang'bei'lu'she'qu
古勒巴格村,gu'le'ba'ge'cun
古勒巴格街道,gu'le'ba'ge'jie'dao
古勒鲁克村,gu'le'lu'ke'cun
古勒鲁克乡,gu'le'lu'ke'xiang
