岸舰导弹,an'jian'dao'dan
导弹火力计划,dao'dan'huo'li'ji'hua
导弹瞄准,dao'dan'miao'zhun
导弹平均弹着点,dao'dan'ping'jun'dan'zhuo'dian
导弹起飞重量,dao'dan'qi'fei'zhong'liang
导弹射程,dao'dan'she'cheng
导弹射击诸元,dao'dan'she'ji'zhu'yuan
导弹射界,dao'dan'she'jie
导弹射向,dao'dan'she'xiang
导弹试验靶场,dao'dan'shi'yan'ba'chang
导弹试验基地,dao'dan'shi'yan'ji'di
导弹数,dao'dan'shu
导弹数量,dao'dan'shu'liang
导弹突入,dao'dan'tu'ru
导弹推进剂,dao'dan'tui'jin'ji
导弹武器系统,dao'dan'wu'qi'xi'tong
导弹系统,dao'dan'xi'tong
导弹系统可靠性,dao'dan'xi'tong'ke'kao'xing
导弹系统生存能力,dao'dan'xi'tong'sheng'cun'neng'li
导弹型号,dao'dan'xing'hao
导弹训练场,dao'dan'xun'lian'chang
导弹遥测,dao'dan'yao'ce
导弹仪器设备,dao'dan'yi'qi'she'bei
导弹战术技术性能,dao'dan'zhan'shu'ji'shu'xing'neng
导弹指挥仪,dao'dan'zhi'hui'yi
导弹作战基地,dao'dan'zuo'zhan'ji'di
氘和氚,dao'he'chuan
导引飞行器,dao'yin'fei'xing'qi
导引头,dao'yin'tou
的武器,de'wu'qi
的整体,de'zheng'ti
的中心,de'zhong'xin
的总称,de'zong'cheng
低当量小型氢弹,di'dang'liang'xiao'xing'qing'dan
地地导弹,di'di'dao'dan
第二宇宙速度,di'er'yu'zhou'su'du
敌方人员,di'fang'ren'yuan
低轨道,di'gui'dao
低空爆炸,di'kong'bao'zha
地面爆炸,di'mian'bao'zha
地面发射,di'mian'fa'she
地面核试验,di'mian'he'shi'yan
地面机动发射,di'mian'ji'dong'fa'she
地面遥测装置,di'mian'yao'ce'zhuang'zhi
地球引力,di'qiu'yin'li
地球资源卫星,di'qiu'zi'yuan'wei'xing
第三代核武器,di'san'dai'he'wu'qi
第三宇宙速度,di'san'yu'zhou'su'du
地下管道,di'xia'guan'dao
地下核试验,di'xia'he'shi'yan
地下机动发射,di'xia'ji'dong'fa'she
地形匹配制导,di'xing'pi'pei'zhi'dao
第一宇宙速度,di'yi'yu'zhou'su'du
地震波探测,di'zhen'bo'tan'ce
电磁波吸收材料,dian'ci'bo'xi'shou'cai'liao
电磁脉冲探测,dian'ci'mai'chong'tan'ce
电磁脉冲武器,dian'ci'mai'chong'wu'qi
点防御,dian'fang'yu
点火按钮,dian'huo'an'niu
点火起爆,dian'huo'qi'bao
电解液活化,dian'jie'ye'huo'hua
电离层探测卫星,dian'li'ceng'tan'ce'wei'xing
点目标,dian'mu'biao
电视导引头,dian'shi'dao'yin'tou
电视制导,dian'shi'zhi'dao
电源配套,dian'yuan'pei'tao
电源配套系统,dian'yuan'pei'tao'xi'tong
电子保险控制装置,dian'zi'bao'xian'kong'zhi'zhuang'zhi
电子外弹道测量,dian'zi'wai'dan'dao'ce'liang
电子侦察卫星,dian'zi'zhen'cha'wei'xing
电子侦察装置,dian'zi'zhen'cha'zhuang'zhi
定向能武器,ding'xiang'neng'wu'qi
动力装置,dong'li'zhuang'zhi
短时间内,duan'shi'jian'nei
多弹头,duo'dan'tou
多光谱辐射计,duo'guang'pu'fu'she'ji
多级火箭,duo'ji'huo'jian
多级助推器,duo'ji'zhu'tui'qi
多普勒效应,duo'pu'le'xiao'ying
多普勒制导,duo'pu'le'zhi'dao
发动机点火,fa'dong'ji'dian'huo
发控设备,fa'kong'she'bei
发射场,fa'she'chang
发射场坪,fa'she'chang'ping
发射点,fa'she'dian
发射方式,fa'she'fang'shi
发射环境条件,fa'she'huan'jing'tiao'jian
发射井,fa'she'jing
发射控制室,fa'she'kong'zhi'shi
发射控制中心,fa'she'kong'zhi'zhong'xin
发射率,fa'she'lv
发射区,fa'she'qu
发射时间,fa'she'shi'jian
发射实施计划,fa'she'shi'shi'ji'hua
发射条件,fa'she'tiao'jian
发射训练弹,fa'she'xun'lian'dan
发射阵地,fa'she'zhen'di
发射制导,fa'she'zhi'dao
发射装置,fa'she'zhuang'zhi
发射准备,fa'she'zhun'bei
发射准备时间,fa'she'zhun'bei'shi'jian
发生裂变,fa'sheng'lie'bian
反导弹武器,fan'dao'dan'wu'qi
反导弹系统,fan'dao'dan'xi'tong
反导系统,fan'dao'xi'tong
反导作战空域,fan'dao'zuo'zhan'kong'yu
返回轨道,fan'hui'gui'dao
反潜导弹,fan'qian'dao'dan
反射面积,fan'she'mian'ji
反突防,fan'tu'fang
反推装置,fan'tui'zhuang'zhi
反作用力,fan'zuo'yong'li
防空导弹,fang'kong'dao'dan
防热层,fang're'ceng
放射性残片,fang'she'xing'can'pian
放射性衰变,fang'she'xing'shuai'bian
放射性污染,fang'she'xing'wu'ran
放射性沾染,fang'she'xing'zhan'ran
放射性沾染物,fang'she'xing'zhan'ran'wu
防御雷达,fang'yu'lei'da
飞航式导弹,fei'hang'shi'dao'dan
飞机突入,fei'ji'tu'ru
非接触爆炸,fei'jie'chu'bao'zha
飞行弹道,fei'xing'dan'dao
飞行弹道控制数据,fei'xing'dan'dao'kong'zhi'shu'ju
飞行方案,fei'xing'fang'an
飞行轨迹,fei'xing'gui'ji
飞行路线,fei'xing'lu'xian
飞行末端,fei'xing'mo'duan
飞行器,fei'xing'qi
飞行器运动,fei'xing'qi'yun'dong
飞行速度,fei'xing'su'du
飞行姿态,fei'xing'zi'tai
非直接杀伤破坏,fei'zhi'jie'sha'shang'po'huai
分层实施拦截,fen'ceng'shi'shi'lan'jie
分导,fen'dao
分导范围,fen'dao'fan'wei
分导式,fen'dao'shi
分导式多弹头,fen'dao'shi'duo'dan'tou
复合制导,fu'he'zhi'dao
辐射带,fu'she'dai
干贮式,gan'zhu'shi
高轨道,gao'gui'dao
高空爆炸,gao'kong'bao'zha
高空屏障,gao'kong'ping'zhang
高能激光器,gao'neng'ji'guang'qi
高能粒子流,gao'neng'li'zi'liu
高能中子,gao'neng'zhong'zi
高能中子辐射,gao'neng'zhong'zi'fu'she
高速喷射,gao'su'pen'she
各种目标,ge'zhong'mu'biao
跟踪测量,gen'zong'ce'liang
跟踪目标指令制导,gen'zong'mu'biao'zhi'ling'zhi'dao
攻击区,gong'ji'qu
公用设施,gong'yong'she'shi
工作数据,gong'zuo'shu'ju
固定发射,gu'ding'fa'she
固定贮罐,gu'ding'zhu'guan
固体导弹,gu'ti'dao'dan
固体推进剂,gu'ti'tui'jin'ji
固体液体混合发动机,gu'ti'ye'ti'hun'he'fa'dong'ji
固液,gu'ye
固液推进剂,gu'ye'tui'jin'ji
故障分析,gu'zhang'fen'xi
关闭发动机,guan'bi'fa'dong'ji
惯性制导,guan'xing'zhi'dao
光辐射,guang'fu'she
光学跟踪,guang'xue'gen'zong
光学跟踪指令制导,guang'xue'gen'zong'zhi'ling'zhi'dao
光学外弹道测量,guang'xue'wai'dan'dao'ce'liang
光学寻的制导,guang'xue'xun'de'zhi'dao
轨道半轴长,gui'dao'ban'zhou'chang
轨道参数,gui'dao'can'shu
轨道机动,gui'dao'ji'dong
轨道交会,gui'dao'jiao'hui
轨道空间站,gui'dao'kong'jian'zhan
轨道偏心率,gui'dao'pian'xin'lv
轨道倾角,gui'dao'qing'jiao
轨道武器,gui'dao'wu'qi
轨道制动点,gui'dao'zhi'dong'dian
轨道周期,gui'dao'zhou'qi
过渡轨道,guo'du'gui'dao
海拔影响因素,hai'ba'ying'xiang'yin'su
海洋监视卫星,hai'yang'jian'shi'wei'xing
航区,hang'qu
航天,hang'tian
航天飞机,hang'tian'fei'ji
航天器,hang'tian'qi
航宇,hang'yu
航宇器,hang'yu'qi
核爆炸,he'bao'zha
核爆炸景象,he'bao'zha'jing'xiang
核爆炸探测,he'bao'zha'tan'ce
核爆炸探测卫星,he'bao'zha'tan'ce'wei'xing
核打击,he'da'ji
核打击效果判定,he'da'ji'xiao'guo'pan'ding
核打击效果侦察,he'da'ji'xiao'guo'zhen'cha
核弹头,he'dan'tou
核地雷,he'di'lei
核反击,he'fan'ji
核反击任务,he'fan'ji'ren'wu
核反击作战,he'fan'ji'zuo'zhan
核反击作战行动,he'fan'ji'zuo'zhan'xing'dong
核反应,he'fan'ying
核火箭发动机,he'huo'jian'fa'dong'ji
核聚变,he'ju'bian
核裂变,he'lie'bian
核裂变装料,he'lie'bian'zhuang'liao
核燃料块,he'ran'liao'kuai
核试验,he'shi'yan
核突击,he'tu'ji
核武器,he'wu'qi
核武器威力,he'wu'qi'wei'li
核武器系统,he'wu'qi'xi'tong
核袭击,he'xi'ji
核袭击安全距离,he'xi'ji'an'quan'ju'li
核炸弹,he'zha'dan
核战斗部,he'zhan'dou'bu
核装料,he'zhuang'liao
核装置,he'zhuang'zhi
核子推进剂,he'zi'tui'jin'ji
横向偏差,heng'xiang'pian'cha
红外导引头,hong'wai'dao'yin'tou
红外望远镜,hong'wai'wang'yuan'jing
化学电池,hua'xue'dian'chi
化学火箭发动机,hua'xue'huo'jian'fa'dong'ji
化学炸药,hua'xue'zha'yao
缓冲装置,huan'chong'zhuang'zhi
缓发中子,huan'fa'zhong'zi
毁伤半径,hui'shang'ban'jing
毁伤程度,hui'shang'cheng'du
毁伤概率,hui'shang'gai'lv
毁伤目标,hui'shang'mu'biao
毁伤目标能力,hui'shang'mu'biao'neng'li
毁伤效果,hui'shang'xiao'guo
毁伤要求,hui'shang'yao'qiu
回收,hui'shou
混合物,hun'he'wu
火箭,huo'jian
火箭发动机,huo'jian'fa'dong'ji
火箭助飞鱼雷,huo'jian'zhu'fei'yu'lei
火球,huo'qiu
火药燃气,huo'yao'ran'qi
基本阵地作战,ji'ben'zhen'di'zuo'zhan
既定射程,ji'ding'she'cheng
机动发射,ji'dong'fa'she
机动轨迹,ji'dong'gui'ji
激光导引头,ji'guang'dao'yin'tou
激光发射光学系统,ji'guang'fa'she'guang'xue'xi'tong
激光反导,ji'guang'fan'dao
激光束,ji'guang'shu
激光武器,ji'guang'wu'qi
激光制导,ji'guang'zhi'dao
激光致盲武器,ji'guang'zhi'mang'wu'qi
击毁装置,ji'hui'zhuang'zhi
激活供电,ji'huo'gong'dian
集群核突击,ji'qun'he'tu'ji
集束,ji'shu
集束多弹头,ji'shu'duo'dan'tou
技术阵地,ji'shu'zhen'di
加强辐射弹,jia'qiang'fu'she'dan
加热熔解电解液,jia're'rong'jie'dian'jie'ye
加速器,jia'su'qi
加一层,jia'yi'ceng
加注助推剂,jia'zhu'zhu'tui'ji
舰地导弹,jian'di'dao'dan
舰舰导弹,jian'jian'dao'dan
舰空导弹,jian'kong'dao'dan
舰潜导弹,jian'qian'dao'dan
减少了,jian'shao'le
减速伞,jian'su'san
降落伞,jiang'luo'san
教学解剖弹,jiao'xue'jie'pou'dan
接触爆炸,jie'chu'bao'zha
近程导弹,jin'cheng'dao'dan
近地点,jin'di'dian
近地点高度,jin'di'dian'gao'du
近地点角,jin'di'dian'jiao
近地轨道,jin'di'gui'dao
禁射区,jin'she'qu
精度分析,jing'du'fen'xi
井口发射,jing'kou'fa'she
精确制导武器,jing'que'zhi'dao'wu'qi
井下发射,jing'xia'fa'she
静止卫星,jing'zhi'wei'xing
聚变弹,ju'bian'dan
聚变反应,ju'bian'fan'ying
聚变武器,ju'bian'wu'qi
聚变装料,ju'bian'zhuang'liao
巨大能量,ju'da'neng'liang
军事家,jun'shi'jia
军事情报,jun'shi'qing'bao
开始返回点,kai'shi'fan'hui'dian
开始轨道,kai'shi'gui'dao
抗干扰能力强,kang'gan'rao'neng'li'qiang
可见光全景扫描相机,ke'jian'guang'quan'jing'sao'miao'xiang'ji
可见光相机,ke'jian'guang'xiang'ji
可靠的,ke'kao'de
科学实验卫星,ke'xue'shi'yan'wei'xing
可用于,ke'yong'yu
空爆,kong'bao
空地导弹,kong'di'dao'dan
空舰导弹,kong'jian'dao'dan
空间范围,kong'jian'fan'wei
空间遥感技术,kong'jian'yao'gan'ji'shu
空空导弹,kong'kong'dao'dan
空气喷射发动机,kong'qi'pen'she'fa'dong'ji
空潜导弹,kong'qian'dao'dan
控制系统,kong'zhi'xi'tong
空中爆炸,kong'zhong'bao'zha
空中对接,kong'zhong'dui'jie
空中机动发射,kong'zhong'ji'dong'fa'she
来袭导弹,lai'xi'dao'dan
拦截卫星,lan'jie'wei'xing
拦截武器,lan'jie'wu'qi
雷达导引头,lei'da'dao'yin'tou
雷达探测,lei'da'tan'ce
冷发射,leng'fa'she
冷发射装置,leng'fa'she'zhuang'zhi
粒子束,li'zi'shu
粒子束武器,li'zi'shu'wu'qi
链式反应,lian'shi'fan'ying
裂变弹,lie'bian'dan
裂变反应,lie'bian'fan'ying
裂变链式反应,lie'bian'lian'shi'fan'ying
裂变链式反应原理,lie'bian'lian'shi'fan'ying'yuan'li
裂变式,lie'bian'shi
裂变武器,lie'bian'wu'qi
临界轨道,lin'jie'gui'dao
落点偏差,luo'dian'pian'cha
密集核突击,mi'ji'he'tu'ji
面防御,mian'fang'yu
面目标,mian'mu'biao
瞄准操作手,miao'zhun'cao'zuo'shou
瞄准点坐标,miao'zhun'dian'zuo'biao
瞄准跟踪系统,miao'zhun'gen'zong'xi'tong
民用卫星,min'yong'wei'xing
命中精度,ming'zhong'jing'du
命中偏差,ming'zhong'pian'cha
末端制导,mo'duan'zhi'dao
蘑菇烟云,mo'gu'yan'yun
蘑菇状烟云,mo'gu'zhuang'yan'yun
末区,mo'qu
末制导,mo'zhi'dao
目标编号,mu'biao'bian'hao
目标反射,mu'biao'fan'she
目标辐射,mu'biao'fu'she
目标抗压强度,mu'biao'kang'ya'qiang'du
目标拦截计算机,mu'biao'lan'jie'ji'suan'ji
目标区,mu'biao'qu
目标运动参数,mu'biao'yun'dong'can'shu
目标中心,mu'biao'zhong'xin
母弹头,mu'dan'tou
母弹头仓,mu'dan'tou'cang
能源系统,neng'yuan'xi'tong
喷气发动机,pen'qi'fa'dong'ji
喷射物质,pen'she'wu'zhi
铍合金,pi'he'jin
屏幕式反导,ping'mu'shi'fan'dao
破坏效应,po'huai'xiao'ying
破坏作用,po'huai'zuo'yong
起爆点火,qi'bao'dian'huo
起爆炸药,qi'bao'zha'yao
起爆装置,qi'bao'zhuang'zhi
其他材料,qi'ta'cai'liao
气象卫星,qi'xiang'wei'xing
潜地导弹,qian'di'dao'dan
浅地下,qian'di'xia
浅地下核爆炸,qian'di'xia'he'bao'zha
千吨级,qian'dun'ji
潜舰导弹,qian'jian'dao'dan
潜空导弹,qian'kong'dao'dan
牵连损伤,qian'lian'sun'shang
浅水潜水核爆炸,qian'shui'qian'shui'he'bao'zha
强辐射,qiang'fu'she
氢弹,qing'dan
氢核聚变,qing'he'ju'bian
轻微毁伤,qing'wei'hui'shang
倾斜发射装置,qing'xie'fa'she'zhuang'zhi
氢铀弹,qing'you'dan
轻原子核,qing'yuan'zi'he
去掉了,qu'diao'le
全导式,quan'dao'shi
全导式多弹头,quan'dao'shi'duo'dan'tou
燃料产物,ran'liao'chan'wu
燃料块,ran'liao'kuai
燃气蒸汽混合物,ran'qi'zheng'qi'hun'he'wu
绕重心运动,rao'zhong'xin'yun'dong
热电池,re'dian'chi
热发射,re'fa'she
热发射装置,re'fa'she'zhuang'zhi
热核反应原理,re'he'fan'ying'yuan'li
热核武器,re'he'wu'qi
热核装料,re'he'zhuang'liao
热烧蚀效应,re'shao'shi'xiao'ying
热效应,re'xiao'ying
人造地球卫星,ren'zao'di'qiu'wei'xing
软指标,ruan'zhi'biao
软着陆,ruan'zhuo'lu
弱冲击波,ruo'chong'ji'bo
弱冲击波强辐射弹,ruo'chong'ji'bo'qiang'fu'she'dan
若干中子,ruo'gan'zhong'zi
散布中心,san'bu'zhong'xin
三相弹,san'xiang'dan
杀伤破坏半径,sha'shang'po'huai'ban'jing
杀伤破坏作用,sha'shang'po'huai'zuo'yong
杀伤区,sha'shang'qu
射程分析,she'cheng'fen'xi
射程控制,she'cheng'kong'zhi
射程控制系统,she'cheng'kong'zhi'xi'tong
射击密集度,she'ji'mi'ji'du
射击诸元,she'ji'zhu'yuan
深地下,shen'di'xia
深地下核爆炸,shen'di'xia'he'bao'zha
深水,shen'shui
深水核爆炸,shen'shui'he'bao'zha
生存时间,sheng'cun'shi'jian
升交点赤经,sheng'jiao'dian'chi'jing
释放机构,shi'fang'ji'gou
实际爆心,shi'ji'bao'xin
实施发射,shi'shi'fa'she
实时控制,shi'shi'kong'zhi
实时控制计算机,shi'shi'kong'zhi'ji'suan'ji
适时用,shi'shi'yong
失重,shi'zhong
首区,shou'qu
竖井,shu'jing
水面爆炸,shui'mian'bao'zha
水面下机动发射,shui'mian'xia'ji'dong'fa'she
水平测试阵地,shui'ping'ce'shi'zhen'di
水平状态,shui'ping'zhuang'tai
水下爆炸,shui'xia'bao'zha
水下冲击波,shui'xia'chong'ji'bo
水下核试验,shui'xia'he'shi'yan
瞬发中子,shun'fa'zhong'zi
瞬间达到,shun'jian'da'dao
探测火箭,tan'ce'huo'jian
探空火箭,tan'kong'huo'jian
弹射,tan'she
弹着区,tan'zhe'qu
特大当量核武器,te'da'dang'liang'he'wu'qi
特小当量核武器,te'xiao'dang'liang'he'wu'qi
梯恩梯当量,ti'en'ti'dang'liang
提供电源,ti'gong'dian'yuan
天文卫星,tian'wen'wei'xing
铁路机动发射,tie'lu'ji'dong'fa'she
停泊轨道,ting'bo'gui'dao
同步卫星,tong'bu'wei'xing
通常称为,tong'chang'cheng'wei
通信卫星,tong'xin'wei'xing
投射工具,tou'she'gong'ju
突防,tu'fang
突防能力,tu'fang'neng'li
突防装置,tu'fang'zhuang'zhi
推进飞行器,tui'jin'fei'xing'qi
推进剂,tui'jin'ji
推进剂库,tui'jin'ji'ku
推进装置,tui'jin'zhuang'zhi
推力,tui'li
脱靶,tuo'ba
脱靶量,tuo'ba'liang
外部动力,wai'bu'dong'li
外层空间核试验,wai'ceng'kong'jian'he'shi'yan
外弹道,wai'dan'dao
外弹道测量,wai'dan'dao'ce'liang
外观景象,wai'guan'jing'xiang
完全毁伤,wan'quan'hui'shang
微波侧视雷达,wei'bo'ce'shi'lei'da
威力半径,wei'li'ban'jing
威力为,wei'li'wei
为燃料,wei'ran'liao
危险区,wei'xian'qu
卫星寿命,wei'xing'shou'ming
卫星制导,wei'xing'zhi'dao
稳定飞行,wen'ding'fei'xing
温度影响因素,wen'du'ying'xiang'yin'su
无控火箭,wu'kong'huo'jian
无线电跟踪,wu'xian'dian'gen'zong
无线电跟踪指令制导,wu'xian'dian'gen'zong'zhi'ling'zhi'dao
无线电寻的制导,wu'xian'dian'xun'de'zhi'dao
无线电制导,wu'xian'dian'zhi'dao
无线制导,wu'xian'zhi'dao
小当量核武器,xiao'dang'liang'he'wu'qi
小型的,xiao'xing'de
小型氢弹,xiao'xing'qing'dan
效应试验,xiao'ying'shi'yan
星下点,xing'xia'dian
寻的,xun'de
寻的制导,xun'de'zhi'dao
巡航导弹,xun'hang'dao'dan
训练弹,xun'lian'dan
训练发射,xun'lian'fa'she
压缩空气,ya'suo'kong'qi
验证试验,yan'zheng'shi'yan
研制试验,yan'zhi'shi'yan
严重毁伤,yan'zhong'hui'shang
遥测弹,yao'ce'dan
遥测设备,yao'ce'she'bei
遥感,yao'gan
遥控制导,yao'kong'zhi'dao
液体导弹,ye'ti'dao'dan
液体导弹推进剂贮箱,ye'ti'dao'dan'tui'jin'ji'zhu'xiang
液体推进剂,ye'ti'tui'jin'ji
一般氢弹,yi'ban'qing'dan
一般由,yi'ban'you
一级助推器,yi'ji'zhu'tui'qi
易裂变物质,yi'lie'bian'wu'zhi
引爆控制系统,yin'bao'kong'zhi'xi'tong
音响寻的制导,yin'xiang'xun'de'zhi'dao
引信装置,yin'xin'zhuang'zhi
影响因素,ying'xiang'yin'su
应用技术卫星,ying'yong'ji'shu'wei'xing
硬指标,ying'zhi'biao
硬指标摧毁力,ying'zhi'biao'cui'hui'li
铀弹,you'dan
有控火箭,you'kong'huo'jian
由敏感元件,you'min'gan'yuan'jian
有线电制导,you'xian'dian'zhi'dao
有线制导,you'xian'zhi'dao
预备阵地作战,yu'bei'zhen'di'zuo'zhan
预定爆心,yu'ding'bao'xin
预定弹道,yu'ding'dan'dao
预警雷达,yu'jing'lei'da
预警卫星,yu'jing'wei'xing
宇宙飞船,yu'zhou'fei'chuan
宇宙火箭,yu'zhou'huo'jian
宇宙速度,yu'zhou'su'du
远程导弹,yuan'cheng'dao'dan
远地点,yuan'di'dian
远地点高度,yuan'di'dian'gao'du
圆概率偏差,yuan'gai'lv'pian'cha
圆公算偏差,yuan'gong'suan'pian'cha
圆轨道,yuan'gui'dao
原子弹,yuan'zi'dan
原子核,yuan'zi'he
原子核反应,yuan'zi'he'fan'ying
原子核能,yuan'zi'he'neng
原子能,yuan'zi'neng
原子武器,yuan'zi'wu'qi
越野机动发射,yue'ye'ji'dong'fa'she
运载火箭,yun'zai'huo'jian
载弹量,zai'dan'liang
再入大气层,zai'ru'da'qi'ceng
再入段,zai'ru'duan
再入轨道,zai'ru'gui'dao
暂驻轨道,zan'zhu'gui'dao
炸毁弹体,zha'hui'dan'ti
战斗部,zhan'dou'bu
战斗弹,zhan'dou'dan
战斗发射,zhan'dou'fa'she
战略导弹,zhan'lue'dao'dan
战术导弹,zhan'shu'dao'dan
战术武器,zhan'shu'wu'qi
战役导弹,zhan'yi'dao'dan
照相侦察卫星,zhao'xiang'zhen'cha'wei'xing
侦察卫星,zhen'cha'wei'xing
正常轨道,zheng'chang'gui'dao
整个核武器系统,zheng'ge'he'wu'qi'xi'tong
制成处于,zhi'cheng'chu'yu
制成的,zhi'cheng'de
制导,zhi'dao
制导精度,zhi'dao'jing'du
制导炮弹,zhi'dao'pao'dan
制导系统,zhi'dao'xi'tong
制导鱼雷,zhi'dao'yu'lei
制导炸弹,zhi'dao'zha'dan
制导装置,zhi'dao'zhuang'zhi
指挥控制系统,zhi'hui'kong'zhi'xi'tong
指挥中心,zhi'hui'zhong'xin
直接跟踪指令制导,zhi'jie'gen'zong'zhi'ling'zhi'dao
指令站,zhi'ling'zhan
指令制导,zhi'ling'zhi'dao
指令制导系统,zhi'ling'zhi'dao'xi'tong
指令制导系统载弹量,zhi'ling'zhi'dao'xi'tong'zai'dan'liang
只杀伤,zhi'sha'shang
执行机构,zhi'xing'ji'gou
中程导弹,zhong'cheng'dao'dan
中当量核武器,zhong'dang'liang'he'wu'qi
中等毁伤,zhong'deng'hui'shang
中间轨道,zhong'jian'gui'dao
中间装置,zhong'jian'zhuang'zhi
中空爆炸,zhong'kong'bao'zha
重氢,zhong'qing
中途制导,zhong'tu'zhi'dao
重原子核,zhong'yuan'zi'he
中制导,zhong'zhi'dao
中子,zhong'zi
中子弹,zhong'zi'dan
中子反射层,zhong'zi'fan'she'ceng
中子源,zhong'zi'yuan
洲际,zhou'ji
洲际导弹,zhou'ji'dao'dan
贮存保险区,zhu'cun'bao'xian'qu
贮存环境条件,zhu'cun'huan'jing'tiao'jian
主动段,zhu'dong'duan
主动段制导,zhu'dong'duan'zhi'dao
主动寻的制导,zhu'dong'xun'de'zhi'dao
助飞剂,zhu'fei'ji
助推器,zhu'tui'qi
贮箱,zhu'xiang
主要成分,zhu'yao'cheng'fen
主要构成部分,zhu'yao'gou'cheng'bu'fen
主要杀伤力,zhu'yao'sha'shang'li
诸元准备,zhu'yuan'zhun'bei
转移轨道,zhuan'yi'gui'dao
专用技术设备,zhuan'yong'ji'shu'she'bei
