奥利华园,ao'li'hua'yuan
练路,lian'lu
凉拌粉,liang'ban'fen
咧鬼,lie'gui
林村,lin'cun
林茂东,lin'mao'dong
领饭,ling'fan
灵水,ling'shui
柳城,liu'cheng
榴莲飘香,liu'lian'piao'xiang
六十米,liu'shi'mi
六月雪,liu'yue'xue
隆盛,long'sheng
龙潭,long'tan
陆川,lu'chuan
陆川的,lu'chuan'de
陆川街,lu'chuan'jie
陆川了,lu'chuan'le
陆川县,lu'chuan'xian
路数,lu'shu
鹿寨,lu'zhai
陆中,lu'zhong
罗懂,luo'dong
罗堵,luo'du
罗时,luo'shi
螺蛳粉,luo'si'fen
马得,ma'de
马吊尿,ma'diao'niao
嘛咯,ma'ge
马路圩,ma'lu'xu
马坡,ma'po
马坡镇,ma'po'zhen
嘛钱,ma'qian
马使,ma'shi
马头岭,ma'tou'ling
马系,ma'xi
马要,ma'yao
马知,ma'zhi
马知道,ma'zhi'dao
麦肯基,mai'ken'ji
茂得,mao'de
矛咯,mao'ge
茂见,mao'jian
茂林,mao'lin
茂林镇,mao'lin'zhen
茂去,mao'qu
茂是,mao'shi
茂想,mao'xiang
茂要,mao'yao
矛有,mao'you
茂知,mao'zhi
么出,me'chu
么咯,me'ge
么谁,me'shui
么腾,me'teng
么先,me'xian
么知,me'zhi
没电来,mei'dian'lai
美家园,mei'jia'yuan
没见有,mei'jian'you
美林街,mei'lin'jie
没路数,mei'lu'shu
没去到,mei'qu'dao
梦幻水乡,meng'huan'shui'xiang
米场,mi'chang
咪多星,mi'duo'xing
苗园,miao'yuan
苗园路,miao'yuan'lu
苗园中学,miao'yuan'zhong'xue
名高,ming'gao
明就是,ming'jiu'shi
名山,ming'shan
明夜,ming'ye
明住,ming'zhu
某出,mou'chu
某敢,mou'gan
某够,mou'gou
某回,mou'hui
某记得,mou'ji'de
某见,mou'jian
某去,mou'qu
某是,mou'shi
某想,mou'xiang
某信,mou'xin
某要,mou'yao
某要紧,mou'yao'jin
某着,mou'zhe
某知,mou'zhi
木菠萝,mu'bo'luo
木格,mu'ge
木根,mu'gen
木山,mu'shan
木薯,mu'shu
木鸭,mu'ya
那卜,na'bu
那么要紧,na'me'yao'jin
南城百货,nan'cheng'bai'huo
难得好,nan'de'hao
难咯,nan'ge
南流江,nan'liu'jiang
南宁了,nan'ning'le
南职,nan'zhi
呢咯,ne'ge
你出到,ni'chu'dao
你共,ni'gong
你在南宁,ni'zai'nan'ning
你在扇,ni'zai'shan
你在玉林,ni'zai'yu'lin
宁潭,ning'tan
牛巴,niu'ba
牛巴粉,niu'ba'fen
牛叼,niu'diao
牛嗨,niu'hai
牛嘿,niu'hei
牛料,niu'liao
牛腩粉,niu'nan'fen
农非,nong'fei
农忙假,nong'mang'jia
女弄,nv'nong
呕霸,ou'ba
欧迪,ou'di
呕嗨,ou'hai
欧景,ou'jing
品华居,pin'hua'ju
品乐,pin'le
平桂,ping'gui
平南,ping'nan
平坡,ping'po
平政,ping'zheng
气排球,qi'pai'qiu
起睡,qi'shui
千嗨,qian'hai
千景,qian'jing
情淡,qing'dan
清湖,qing'hu
清宁路,qing'ning'lu
清水口,qing'shui'kou
清湾江,qing'wan'jiang
秋季期,qiu'ji'qi
去北海,qu'bei'hai
去北流,qu'bei'liu
去荡,qu'dang
去到学校,qu'dao'xue'xiao
去了为,qu'le'wei
去柳州,qu'liu'zhou
去么了,qu'me'le
去南宁,qu'nan'ning
去扇,qu'shan
去为,qu'wei
去玉林,qu'yu'lin
去在,qu'zai
全上品,quan'shang'pin
热头,re'tou
仁东,ren'dong
仁东镇,ren'dong'zhen
仁厚,ren'hou
容高,rong'gao
容县,rong'xian
容州镇,rong'zhou'zhen
三八货,san'ba'huo
三滩,san'tan
色里,se'li
色呢,se'ne
色捏,se'nie
色弄,se'nong
色只,se'zhi
沙陂,sha'bei
沙陂镇,sha'bei'zhen
沙车,sha'che
沙垌,sha'dong
沙河镇,sha'he'zhen
杀货,sha'huo
沙坡,sha'po
杀起,sha'qi
沙塘,sha'tang
沙田,sha'tian
沙田柚,sha'tian'you
晒谷,shai'gu
山口,shan'kou
山佬,shan'lao
珊罗,shan'luo
山婆,shan'po
山围,shan'wei
山心,shan'xin
扇只,shan'zhi
山猪,shan'zhu
上博白,shang'bo'bai
上桂林,shang'gui'lin
上教室,shang'jiao'shi
上南宁,shang'nan'ning
上玉林,shang'yu'lin
上自修,shang'zi'xiu
社头,she'tou
谁人,shei'ren
圣安,sheng'an
晟诚,sheng'cheng
生料粉,sheng'liao'fen
盛世百汇,sheng'shi'bai'hui
盛世江南,sheng'shi'jiang'nan
石和,shi'he
是火,shi'huo
是么咯,shi'me'ge
是么了,shi'me'le
石南,shi'nan
是弄,shi'nong
石窝,shi'wo
是玉林,shi'yu'lin
石寨,shi'zhai
石子岭,shi'zi'ling
十字铺,shi'zi'pu
双旺,shuang'wang
水鸣,shui'ming
水鸣镇,shui'ming'zhen
睡夜,shui'ye
顺个事,shun'ge'shi
顺顺顺,shun'shun'shun
说了为,shuo'le'wei
说为,shuo'wei
死吃货,si'chi'huo
私捞,si'lao
死么了,si'me'le
松木岭,song'mu'ling
松山,song'shan
塘角鱼,tang'jiao'yu
体见,ti'jian
天嘿,tian'hei
天来香,tian'lai'xiang
田螺煲,tian'luo'bao
天心路,tian'xin'lu
铁山港,tie'shan'gang
听你吧,ting'ni'ba
听你咯,ting'ni'ge
听你啦,ting'ni'la
停闲,ting'xian
同夜,tong'ye
铜州,tong'zhou
驮卢,tuo'lu
瓦窑,wa'yao
晚点先,wan'dian'xian
万花路,wan'hua'lu
万良路,wan'liang'lu
玩着先,wan'zhe'xian
王力中学,wang'li'zhong'xue
旺茂,wang'mao
文地,wen'di
文化广场,wen'hua'guang'chang
闻讲,wen'jiang
温泉镇,wen'quan'zhen
文睡,wen'shui
我出到,wo'chu'dao
我歌,wo'ge
我共,wo'gong
我广西,wo'guang'xi
我买有,wo'mai'you
我茂,wo'mao
我也不懂说,wo'ye'bu'dong'shuo
我玉林,wo'yu'lin
我在广西,wo'zai'guang'xi
我在街,wo'zai'jie
我在玉林,wo'zai'yu'lin
唔陈,wu'chen
五灯坡,wu'deng'po
吴锋,wu'feng
屋脊,wu'ji
乌石,wu'shi
物谁,wu'shui
物也,wu'ye
西街口,xi'jie'kou
悉尼城,xi'ni'cheng
下广东,xia'guang'dong
下火堂,xia'huo'tang
下自修,xia'zi'xiu
咸卜,xian'bu
县底,xian'di
香啡屋,xiang'fei'wu
香港城,xiang'gang'cheng
小儿氨酚,xiao'er'an'fen
小庞,xiao'pang
小平山,xiao'ping'shan
宵夜摊,xiao'ye'tan
校章,xiao'zhang
新北街,xin'bei'jie
新城国际,xin'cheng'guo'ji
信都,xin'du
鑫辉,xin'hui
新蓝天,xin'lan'tian
新桥镇,xin'qiao'zhen
兴高,xing'gao
星会,xing'hui
兴业县,xing'ye'xian
绣江,xiu'jiang
鸭脚煲,ya'jiao'bao
亚山,ya'shan
亚山镇,ya'shan'zhen
眼睡,yan'shui
厌死了,yan'si'le
样个,yang'ge
洋鸭,yang'ya
要紧了,yao'jin'le
遥远的回忆,yao'yuan'de'hui'yi
夜市街,ye'shi'jie
毅德,yi'de
一哥,yi'ge
一购,yi'gou
一环北路,yi'huan'bei'lu
一娘,yi'niang
饮马江,yin'ma'jiang
英都,ying'dou
英伦雅阁,ying'lun'ya'ge
英桥,ying'qiao
有空先,you'kong'xian
由你了,you'ni'le
有什么要紧,you'shen'me'yao'jin
玉博会,yu'bo'hui
玉才,yu'cai
玉柴,yu'chai
玉城,yu'cheng
玉高,yu'gao
玉林,yu'lin
玉林啊,yu'lin'a
玉林吧,yu'lin'ba
玉林宾馆,yu'lin'bin'guan
玉林的,yu'lin'de
玉林高中,yu'lin'gao'zhong
玉林话,yu'lin'hua
玉林街,yu'lin'jie
玉林啦,yu'lin'la
玉林了,yu'lin'le
玉林吗,yu'lin'ma
玉林哪里,yu'lin'na'li
玉林呢,yu'lin'ne
玉林人,yu'lin'ren
玉林市,yu'lin'shi
玉林师范,yu'lin'shi'fan
玉林师范学院,yu'lin'shi'fan'xue'yuan
玉林师院,yu'lin'shi'yuan
玉林玩,yu'lin'wan
玉师,yu'shi
玉州区,yu'zhou'qu
云天宫,yun'tian'gong
在八步,zai'ba'bu
在北流,zai'bei'liu
在博白,zai'bo'bai
在街,zai'jie
在陆川,zai'lu'chuan
在南城,zai'nan'cheng
在南宁,zai'nan'ning
在容县,zai'rong'xian
在色,zai'se
在色呢,zai'se'ne
在色捏,zai'se'nie
在玉林,zai'yu'lin
炸哥,zha'ge
炸牛,zha'niu
寨沙,zhai'sha
樟木,zhang'mu
樟木镇,zhang'mu'zhen
真咯,zhen'ge
真果,zhen'guo
真武阁,zhen'wu'ge
值出,zhi'chu
直刀,zhi'dao
只月,zhi'yue
钟胜,zhong'sheng
中药港,zhong'yao'gang
煮粉,zhu'fen
煮夜,zhu'ye
转冷,zhuan'leng
坐电车,zuo'dian'che
做钱,zuo'qian
做事率,zuo'shi'lv
