安乐公主,an'le'gong'zhu
神龙元年,shen'long'yuan'nian
圣神皇帝,sheng'shen'huang'di
十八年,shi'ba'nian
十国,shi'guo
谥号中,shi'hao'zhong
世家大族,shi'jia'da'zu
十六国,shi'liu'guo
史思明,shi'si'ming
是为,shi'wei
是为少帝,shi'wei'shao'di
是为唐肃宗,shi'wei'tang'su'zong
寿命最长,shou'ming'zui'chang
顺宗,shun'zong
四子,si'zi
隋朝,sui'chao
隋帝,sui'di
隋恭帝,sui'gong'di
隋炀帝,sui'yang'di
隋炀帝孙,sui'yang'di'sun
索元礼,suo'yuan'li
太和九年,tai'he'jiu'nian
太平公主,tai'ping'gong'zhu
太上皇,tai'shang'huang
太尉,tai'wei
太原留守,tai'yuan'liu'shou
太子李亨,tai'zi'li'heng
太子李隆基,tai'zi'li'long'ji
太宗时期,tai'zong'shi'qi
太宗晚年,tai'zong'wan'nian
唐哀帝,tang'ai'di
唐朝后期,tang'chao'hou'qi
唐朝皇族,tang'chao'huang'zu
唐朝皇族李氏,tang'chao'huang'zu'li'shi
唐朝疆域,tang'chao'jiang'yu
唐朝历史,tang'chao'li'shi
唐初大政,tang'chu'da'zheng
唐代宗,tang'dai'zong
唐德宗,tang'de'zong
唐高宗,tang'gao'zong
唐高祖,tang'gao'zu
唐高祖李渊,tang'gao'zu'li'yuan
唐国,tang'guo
唐国公,tang'guo'gong
唐明皇,tang'ming'huang
唐末,tang'mo
唐末的,tang'mo'de
唐末农民战争,tang'mo'nong'min'zhan'zheng
唐人,tang'ren
唐人街,tang'ren'jie
唐睿宗,tang'rui'zong
唐顺宗,tang'shun'zong
唐肃宗,tang'su'zong
唐太宗,tang'tai'zong
唐王,tang'wang
唐王朝,tang'wang'chao
唐王世子,tang'wang'shi'zi
唐武宗,tang'wu'zong
唐僖宗,tang'xi'zong
唐宪宗,tang'xian'zong
唐宣宗,tang'xuan'zong
唐玄宗,tang'xuan'zong
唐玄宗时期,tang'xuan'zong'shi'qi
唐懿宗,tang'yi'zong
唐用,tang'yong
唐昭宗,tang'zhao'zong
唐中宗,tang'zhong'zong
天宝十四年,tian'bao'shi'si'nian
天可汗,tian'ke'han
天授元年,tian'shou'yuan'nian
天祐二年,tian'you'er'nian
天祐四年,tian'you'si'nian
统治权,tong'zhi'quan
土地兼并,tu'di'jian'bing
吐蕃,tu'fan
推崇道教,tui'chong'dao'jiao
王皇后,wang'huang'hou
为帝,wei'di
韦后之乱,wei'hou'zhi'luan
韦皇后,wei'huang'hou
未即位,wei'ji'wei
为尼,wei'ni
韦氏当权,wei'shi'dang'quan
为首的,wei'shou'de
魏王,wei'wang
为相,wei'xiang
为宰相,wei'zai'xiang
文水县,wen'shui'xian
温王,wen'wang
武承嗣,wu'cheng'si
武德,wu'de
武德九年,wu'de'jiu'nian
武皇后,wu'huang'hou
武媚娘,wu'mei'niang
无能之君,wu'neng'zhi'jun
武三思,wu'san'si
武氏,wu'shi
武士彠,wu'shi'huo
武则天,wu'ze'tian
武周,wu'zhou
武周皇帝,wu'zhou'huang'di
武周时期,wu'zhou'shi'qi
武宗,wu'zong
希国公,xi'guo'gong
西凉,xi'liang
西魏,xi'wei
鲜卑贵族,xian'bei'gui'zu
鲜卑血统,xian'bei'xue'tong
宪宗,xian'zong
宪宗末年,xian'zong'mo'nian
相继执政,xiang'ji'zhi'zheng
相王,xiang'wang
相王李旦,xiang'wang'li'dan
萧淑妃,xiao'shu'fei
新罗,xin'luo
新唐书,xin'tang'shu
形势图,xing'shi'tu
徐敬业,xu'jing'ye
玄武门之变,xuan'wu'men'zhi'bian
宣宗,xuan'zong
宣宗之治,xuan'zong'zhi'zhi
薛怀义,xue'huai'yi
盐法,yan'fa
延和元年,yan'he'yuan'nian
杨广,yang'guang
杨国忠,yang'guo'zhong
杨氏,yang'shi
杨炎,yang'yan
杨侑,yang'you
杨玉环,yang'yu'huan
姨表兄弟,yi'biao'xiong'di
义宁,yi'ning
义宁二年,yi'ning'er'nian
永徽,yong'hui
拥立,yong'li
永贞内禅,yong'zhen'nei'chan
由盛转衰,you'sheng'zhuan'shuai
宇文化及,yu'wen'hua'ji
元贞太后,yuan'zhen'tai'hou
再次衰败,zai'ci'shuai'bai
在京,zai'jing
宰相派,zai'xiang'pai
宰相制,zai'xiang'zhi
则天,ze'tian
战争不断,zhan'zheng'bu'duan
张昌宗,zhang'chang'zong
张柬之,zhang'jian'zhi
掌握重兵,zhang'wo'zhong'bing
赵郡名望,zhao'jun'ming'wang
贞观,zhen'guan
贞观政要,zhen'guan'zheng'yao
贞观之治,zhen'guan'zhi'zhi
振兴朝廷,zhen'xing'chao'ting
证圣,zheng'sheng
正五品,zheng'wu'pin
政治腐败,zheng'zhi'fu'bai
郑注,zheng'zhu
直接冲突,zhi'jie'chong'tu
中国王朝,zhong'guo'wang'chao
中世,zhong'shi
重视道教,zhong'shi'dao'jiao
中书省,zhong'shu'sheng
重用,zhong'yong
中原王朝,zhong'yuan'wang'chao
中宗,zhong'zong
周兴,zhou'xing
朱泚,zhu'ci
朱全忠,zhu'quan'zhong
朱滔,zhu'tao
朱温,zhu'wen
追封,zhui'feng
自称皇帝,zi'cheng'huang'di
自立为,zi'li'wei
祖籍,zu'ji
租庸调制,zu'yong'diao'zhi
尊崇佛教,zun'chong'fo'jiao
左领军大都督,zuo'ling'jun'da'du'du
