爱心护理,ai'xin'hu'li
齐海乡,qi'hai'xiang
其它口服避孕药,qi'ta'kou'fu'bi'yun'yao
潜伏期,qian'fu'qi
潜伏期梅毒,qian'fu'qi'mei'du
钳刮术,qian'gua'shu
前三里,qian'san'li
沁阳县,qin'yang'xian
青春期保健,qing'chun'qi'bao'jian
取宫内节育器,qu'gong'nei'jie'yu'qi
确山县,que'shan'xian
人工流产术,ren'gong'liu'chan'shu
人工终止妊娠,ren'gong'zhong'zhi'ren'shen
人工终止妊娠术,ren'gong'zhong'zhi'ren'shen'shu
人户分离,ren'hu'fen'li
人口变动信息,ren'kou'bian'dong'xin'xi
人口分布,ren'kou'fen'bu
人口规模,ren'kou'gui'mo
人口和计划生育,ren'kou'he'ji'hua'sheng'yu
人口和计划生育管理信息系统,ren'kou'he'ji'hua'sheng'yu'guan'li'xin'xi'xi'tong
人口和计划生育奖励扶助,ren'kou'he'ji'hua'sheng'yu'jiang'li'fu'zhu
人口和计划生育奖励扶助政策,ren'kou'he'ji'hua'sheng'yu'jiang'li'fu'zhu'zheng'ce
人口和计划生育情况一览表,ren'kou'he'ji'hua'sheng'yu'qing'kuang'yi'lan'biao
人口基本信息,ren'kou'ji'ben'xin'xi
人口计生委,ren'kou'ji'sheng'wei
人口结构,ren'kou'jie'gou
人口老龄化,ren'kou'lao'ling'hua
人口素质,ren'kou'su'zhi
人口信息,ren'kou'xin'xi
人口信息师,ren'kou'xin'xi'shi
人口信息维护,ren'kou'xin'xi'wei'hu
人口血缘关系,ren'kou'xue'yuan'guan'xi
人类乳头瘤病毒,ren'lei'ru'tou'liu'bing'du
汝南县,ru'nan'xian
软下疳,ruan'xia'gan
瑞迪框架,rui'di'kuang'jia
三代以内旁系血亲,san'dai'yi'nei'pang'xi'xue'qin
三结合台帐,san'jie'he'tai'zhang
三里,san'li
三里村,san'li'cun
三期梅毒,san'qi'mei'du
丧偶,sang'ou
筛查,shai'cha
邵店乡,shao'dian'xiang
少生快富工程,shao'sheng'kuai'fu'gong'cheng
少生优生,shao'sheng'you'sheng
社会抚养费,she'hui'fu'yang'fei
社会抚养费征收,she'hui'fu'yang'fei'zheng'shou
射精功能障碍,she'jing'gong'neng'zhang'ai
神经管畸形,shen'jing'guan'ji'xing
深入乡村,shen'ru'xiang'cun
省级人口计生委,sheng'ji'ren'kou'ji'sheng'wei
生育补贴,sheng'yu'bu'tie
生育服务证,sheng'yu'fu'wu'zheng
生育更替水平,sheng'yu'geng'ti'shui'ping
生育间隔,sheng'yu'jian'ge
生育津贴,sheng'yu'jin'tie
生育率,sheng'yu'lv
生育调节,sheng'yu'tiao'jie
生育证,sheng'yu'zheng
生育政策,sheng'yu'zheng'ce
生育证发放,sheng'yu'zheng'fa'fang
生殖保健,sheng'zhi'bao'jian
生殖保健知识,sheng'zhi'bao'jian'zhi'shi
生殖道感染,sheng'zhi'dao'gan'ran
生殖健康,sheng'zhi'jian'kang
生殖健康保健,sheng'zhi'jian'kang'bao'jian
生殖健康保健服务,sheng'zhi'jian'kang'bao'jian'fu'wu
生殖健康促进,sheng'zhi'jian'kang'cu'jin
生殖健康服务,sheng'zhi'jian'kang'fu'wu
生殖健康指标,sheng'zhi'jian'kang'zhi'biao
生殖健康助理咨询师,sheng'zhi'jian'kang'zhu'li'zi'xun'shi
生殖健康助理咨询员,sheng'zhi'jian'kang'zhu'li'zi'xun'yuan
生殖健康咨询,sheng'zhi'jian'kang'zi'xun
生殖健康咨询工作,sheng'zhi'jian'kang'zi'xun'gong'zuo
生殖健康咨询工作人员,sheng'zhi'jian'kang'zi'xun'gong'zuo'ren'yuan
生殖健康咨询人员,sheng'zhi'jian'kang'zi'xun'ren'yuan
生殖健康咨询师,sheng'zhi'jian'kang'zi'xun'shi
生殖健康咨询业,sheng'zhi'jian'kang'zi'xun'ye
生殖健康咨询员,sheng'zhi'jian'kang'zi'xun'yuan
市级人口计生委,shi'ji'ren'kou'ji'sheng'wei
施虐淫,shi'nue'yin
施术医生,shi'shu'yi'sheng
事业道德,shi'ye'dao'de
受虐淫,shou'nue'yin
手术并发症,shou'shu'bing'fa'zheng
手术绝育法,shou'shu'jue'yu'fa
手术终止妊娠术,shou'shu'zhong'zhi'ren'shen'shu
术后随访,shu'hou'sui'fang
输精管结扎,shu'jing'guan'jie'zha
树立职业理想,shu'li'zhi'ye'li'xiang
输卵管结扎,shu'luan'guan'jie'za
舒适权,shu'shi'quan
水囊引产术,shui'nang'yin'chan'shu
苏庄,su'zhuang
苏庄村,su'zhuang'cun
随访信息,sui'fang'xin'xi
遂平,sui'ping
遂平县,sui'ping'xian
塔桥乡,ta'qiao'xiang
胎儿性别鉴定,tai'er'xing'bie'jian'ding
台帐,tai'zhang
探亲避孕药,tan'qin'bi'yun'yao
唐氏综合症,tang'shi'zong'he'zheng
桃花,tao'hua
桃花村,tao'hua'cun
提高人口素质,ti'gao'ren'kou'su'zhi
提高自身素质,ti'gao'zi'shen'su'zhi
提供避孕措施,ti'gong'bi'yun'cuo'shi
提供避孕措施咨询,ti'gong'bi'yun'cuo'shi'zi'xun
添加户信息,tian'jia'hu'xin'xi
田庄,tian'zhuang
田庄村,tian'zhuang'cun
调节生育行为,tiao'jie'sheng'yu'xing'wei
铁张,tie'zhang
铁张村,tie'zhang'cun
统计工作,tong'ji'gong'zuo
统计台帐,tong'ji'tai'zhang
外地户口本地常住,wai'di'hu'kou'ben'di'chang'zhu
外地户口本地暂住,wai'di'hu'kou'ben'di'zan'zhu
外来人口,wai'lai'ren'kou
外用避孕药,wai'yong'bi'yun'yao
外用杀精剂,wai'yong'sha'jing'ji
晩婚晚育,wan'hun'wan'yu
王楼,wang'lou
王楼村,wang'lou'cun
稳定低生育水平,wen'ding'di'sheng'yu'shui'ping
五龙乡,wu'long'xiang
稀薄浆液性,xi'bo'jiang'ye'xing
西洪乡,xi'hong'xiang
细菌性阴道炎,xi'jun'xing'yin'dao'yan
西平,xi'ping
西平县,xi'ping'xian
县级人口计生委,xian'ji'ren'kou'ji'sheng'wei
县计生委,xian'ji'sheng'wei
县人口计生委,xian'ren'kou'ji'sheng'wei
现孕,xian'yun
消除极端贫困和饥饿,xiao'chu'ji'duan'pin'kun'he'ji'e
小董,xiao'dong
小董村,xiao'dong'cun
小阴唇,xiao'yin'chun
新蔡,xin'cai
新蔡县,xin'cai'xian
性别比,xing'bie'bi
性别比治理,xing'bie'bi'zhi'li
性传播感染,xing'chuan'bo'gan'ran
性功能障碍,xing'gong'neng'zhang'ai
性健康,xing'jian'kang
性交疼痛,xing'jiao'teng'tong
性接触传播,xing'jie'chu'chuan'bo
性生理,xing'sheng'li
性心理,xing'xin'li
性欲障碍,xing'yu'zhang'ai
性自慰,xing'zi'wei
性自慰行为,xing'zi'wei'xing'wei
性咨询,xing'zi'xun
兄弟姐妹,xiong'di'jie'mei
雄激素,xiong'ji'su
修改户信息,xiu'gai'hu'xin'xi
选择性别的人工终止妊娠,xuan'ze'xing'bie'de'ren'gong'zhong'zhi'ren'shen
血液传播,xue'ye'chuan'bo
血液感染,xue'ye'gan'ran
杨集乡,yang'ji'xiang
杨屯乡,yang'tun'xiang
药物依赖,yao'wu'yi'lai
药物终止妊娠,yao'wu'zhong'zhi'ren'shen
叶酸,ye'suan
遗传咨询,yi'chuan'zi'xun
依法管理,yi'fa'guan'li
乙肝患者,yi'gan'huan'zhe
一孩生育证,yi'hai'sheng'yu'zheng
已婚育龄妇女,yi'hun'yu'ling'fu'nv
医疗保障服务,yi'liao'bao'zhang'fu'wu
一六王,yi'liu'wang
一六王村,yi'liu'wang'cun
一期梅毒,yi'qi'mei'du
以人为本,yi'ren'wei'ben
以人为本原则,yi'ren'wei'ben'yuan'ze
异位妊娠,yi'wei'ren'shen
医源性感染,yi'yuan'xing'gan'ran
异装癖,yi'zhuang'pi
阴道隔膜,yin'dao'ge'mo
阴道环,yin'dao'huan
阴道痉挛,yin'dao'jing'luan
阴道口,yin'dao'kou
阴道前庭,yin'dao'qian'ting
引导信息,yin'dao'xin'xi
引导信息查询,yin'dao'xin'xi'cha'xun
阴阜,yin'fu
阴茎勃起功能障碍,yin'jing'bo'qi'gong'neng'zhang'ai
阴茎套,yin'jing'tao
硬下疳,ying'xia'gan
有指标,you'zhi'biao
优质服务,you'zhi'fu'wu
育妇,yu'fu
育龄妇女,yu'ling'fu'nv
育龄妇女基本信息,yu'ling'fu'nv'ji'ben'xin'xi
育龄妇女小组长,yu'ling'fu'nv'xiao'zu'zhang
语言交流,yu'yan'jiao'liu
余庄,yu'zhuang
余庄村,yu'zhuang'cun
原发性,yuan'fa'xing
袁庄,yuan'zhuang
袁庄村,yuan'zhuang'cun
岳洼,yue'wa
岳洼村,yue'wa'cun
孕激素,yun'ji'su
再婚,zai'hun
甾体激素避孕药,zai'ti'ji'su'bi'yun'yao
在职职工,zai'zhi'zhi'gong
早产史,zao'chan'shi
躁狂抑郁症,zao'kuang'yi'yu'zheng
责任制考核,ze'ren'zhi'kao'he
张寨,zhang'zhai
张寨村,zhang'zhai'cun
镇直部门,zhen'zhi'bu'men
镇直单位,zhen'zhi'dan'wei
镇直各单位,zhen'zhi'ge'dan'wei
政策内生育,zheng'ce'nei'sheng'yu
政策推动,zheng'ce'tui'dong
政策外生育,zheng'ce'wai'sheng'yu
正式交流,zheng'shi'jiao'liu
征收标准,zheng'shou'biao'zhun
征收对象,zheng'shou'dui'xiang
征收决定,zheng'shou'jue'ding
征收决定书,zheng'shou'jue'ding'shu
征收社会抚养费,zheng'shou'she'hui'fu'yang'fei
征收主体,zheng'shou'zhu'ti
知情权,zhi'qing'quan
知情同意,zhi'qing'tong'yi
知情同意原则,zhi'qing'tong'yi'yuan'ze
直系血亲,zhi'xi'xue'qin
职业道德考核,zhi'ye'dao'de'kao'he
支原体,zhi'yuan'ti
中变量,zhong'bian'liang
重大决定延期原则,zhong'da'jue'ding'yan'qi'yuan'ze
中华人民共和国妇女权益保障法,zhong'hua'ren'min'gong'he'guo'fu'nv'quan'yi'bao'zhang'fa
中华人民共和国婚姻法,zhong'hua'ren'min'gong'he'guo'hun'yin'fa
中华人民共和国民法通则,zhong'hua'ren'min'gong'he'guo'min'fa'tong'ze
中华人民共和国母婴保健法,zhong'hua'ren'min'gong'he'guo'mu'ying'bao'jian'fa
中华人民共和国未成年人保护法,zhong'hua'ren'min'gong'he'guo'wei'cheng'nian'ren'bao'hu'fa
中心主任,zhong'xin'zhu'ren
洙湖,zhu'hu
洙湖村,zhu'hu'cun
洙湖二中,zhu'hu'er'zhong
洙湖一中,zhu'hu'yi'zhong
洙湖镇,zhu'hu'zhen
洙湖镇计划生育技术服务中心,zhu'hu'zhen'ji'hua'sheng'yu'ji'shu'fu'wu'zhong'xin
洙湖镇计生服务中心,zhu'hu'zhen'ji'sheng'fu'wu'zhong'xin
洙湖镇计生中心,zhu'hu'zhen'ji'sheng'zhong'xin
朱里镇,zhu'li'zhen
驻马店,zhu'ma'dian
驻马店市,zhu'ma'dian'shi
注射避孕针,zhu'she'bi'yun'zhen
注销户,zhu'xiao'hu
子宫内膜异位,zi'gong'nei'mo'yi'wei
子女,zi'nv
综合避孕率,zong'he'bi'yun'lv
综合人口信息统计,zong'he'ren'kou'xin'xi'tong'ji
总和生育率,zong'he'sheng'yu'lv
综合治理,zong'he'zhi'li
祖父母,zu'fu'mu
最佳生育年龄,zui'jia'sheng'yu'nian'ling
尊重服务对象,zun'zhong'fu'wu'dui'xiang
