安凰中介,an'huang'zhong'jie
环城南路店面房,huan'cheng'nan'lu'dian'mian'fang
环城西路,huan'cheng'xi'lu
黄家,huang'jia
黄家碶路,huang'jia'qi'lu
黄家碶路教,huang'jia'qi'lu'jiao
机场路,ji'chang'lu
嘉禾公寓,jia'he'gong'yu
嘉盛华庭,jia'sheng'hua'ting
家盛华庭,jia'sheng'hua'ting
嘉盛华庭多层,jia'sheng'hua'ting'duo'ceng
建国路,jian'guo'lu
剑桥富都,jian'qiao'fu'dou
解放西路,jie'fang'xi'lu
金城里,jin'cheng'li
金岛花园,jin'dao'hua'yuan
金海湾,jin'hai'wan
金海湾复式,jin'hai'wan'fu'shi
金鹤,jin'he
金鹤小区,jin'he'xiao'qu
金家湾,jin'jia'wan
金桔,jin'ju
金居公,jin'ju'gong
锦澜公寓,jin'lan'gong'yu
金平,jin'ping
金平公寓,jin'ping'gong'yu
金桥,jin'qiao
金桥公寓,jin'qiao'gong'yu
金桥花园,jin'qiao'hua'yuan
金秋,jin'qiu
金秋明,jin'qiu'ming
金色溪谷,jin'se'xi'gu
金色溪谷点,jin'se'xi'gu'dian
金色雅苑,jin'se'ya'yuan
金色雅苑复式,jin'se'ya'yuan'fu'shi
金色雅苑排房,jin'se'ya'yuan'pai'fang
金寿,jin'shou
金鹰公寓,jin'ying'gong'yu
金跃大厦,jin'yue'da'sha
金尊蓝湾府多层,jin'zun'lan'wan'fu'duo'ceng
桔北,ju'bei
桔北复式,ju'bei'fu'shi
桔南,ju'nan
桔南菜场上车棚,ju'nan'cai'chang'shang'che'peng
桔香旁,ju'xiang'pang
桔园北区,ju'yuan'bei'qu
桔园南区,ju'yuan'nan'qu
君园,jun'yuan
君悦,jun'yue
开源,kai'yuan
康城车库,kang'cheng'che'ku
康城车棚,kang'cheng'che'peng
康城公寓,kang'cheng'gong'yu
康达,kang'da
康源中介,kang'yuan'zhong'jie
老舟中对面私房,lao'zhou'zhong'dui'mian'si'fang
凉子墩,liang'zi'dun
凉子墩新村,liang'zi'dun'xin'cun
凉子桥,liang'zi'qiao
临城故事,lin'cheng'gu'shi
临城后岸新村,lin'cheng'hou'an'xin'cun
临城新晨颐景园,lin'cheng'xin'chen'yi'jing'yuan
临城中央御府,lin'cheng'zhong'yang'yu'fu
林海书庭,lin'hai'shu'ting
领城故事,ling'cheng'gu'shi
龙湖山庄,long'hu'shan'zhuang
龙湖山庄别墅,long'hu'shan'zhuang'bie'shu
陆军司令部,lu'jun'si'ling'bu
绿岛,lv'dao
茅岭墩私房,mao'ling'dun'si'fang
玫瑰园,mei'gui'yuan
玫瑰园南区,mei'gui'yuan'nan'qu
梅园,mei'yuan
茗桂华庭,ming'gui'hua'ting
茗竹城,ming'zhu'cheng
名竹苑,ming'zhu'yuan
南山美庐,nan'shan'mei'lu
南珍公寓,nan'zhen'gong'yu
农民公寓,nong'min'gong'yu
蟠龙公寓,pan'long'gong'yu
炮房弄,pao'fang'nong
蓬莱新村,peng'lai'xin'cun
奇奇中介,qi'qi'zhong'jie
气象局宿舍,qi'xiang'ju'su'she
气象台路,qi'xiang'tai'lu
气象台路别墅,qi'xiang'tai'lu'bie'shu
前景街,qian'jing'jie
前县街,qian'xian'jie
桥头施别墅下室平平,qiao'tou'shi'bie'shu'xia'shi'ping'ping
庆丰路,qing'feng'lu
清华兰庭,qing'hua'lan'ting
青岭路,qing'ling'lu
清雅中介,qing'ya'zhong'jie
泉大弄,quan'da'nong
人民,ren'min
人民北路,ren'min'bei'lu
人民南路,ren'min'nan'lu
人民中路,ren'min'zhong'lu
蓉浦公寓,rong'pu'gong'yu
桑园弄架空层,sang'yuan'nong'jia'kong'ceng
色舟山中学边,se'zhou'shan'zhong'xue'bian
商梅园边,shang'mei'yuan'bian
上品君园,shang'pin'jun'yuan
商人民南路,shang'ren'min'nan'lu
商业街,shang'ye'jie
商业街边,shang'ye'jie'bian
盛家塘,sheng'jia'tang
盛家塘车棚,sheng'jia'tang'che'peng
石柱弄,shi'zhu'nong
书院弄,shu'yuan'nong
帅旗,shuai'qi
水缘中介,shui'yuan'zhong'jie
顺居中介,shun'ju'zhong'jie
太平弄,tai'ping'nong
檀北,tan'bei
檀北旁大,tan'bei'pang'da
檀村,tan'cun
檀东颐景山庄,tan'dong'yi'jing'shan'zhuang
檀东颐景园,tan'dong'yi'jing'yuan
檀东颐景园山庄,tan'dong'yi'jing'yuan'shan'zhuang
檀东颐景庄,tan'dong'yi'jing'zhuang
檀枫,tan'feng
檀枫西园,tan'feng'xi'yuan
檀枫新苑,tan'feng'xin'yuan
檀林,tan'lin
檀林小区,tan'lin'xiao'qu
檀南,tan'nan
檀南车库,tan'nan'che'ku
檀树,tan'shu
檀树北区,tan'shu'bei'qu
檀树南区,tan'shu'nan'qu
檀香,tan'xiang
檀香车库,tan'xiang'che'ku
檀香车棚,tan'xiang'che'peng
檀香东库,tan'xiang'dong'ku
檀香苑,tan'xiang'yuan
特价气象,te'jia'qi'xiang
特价紫竹,te'jia'zi'zhu
天和中介,tian'he'zhong'jie
天天红中介,tian'tian'hong'zhong'jie
外滩号,wai'tan'hao
外滩一号,wai'tan'yi'hao
卫海公寓,wei'hai'gong'yu
卫海路,wei'hai'lu
未来城,wei'lai'cheng
文化广场店面,wen'hua'guang'chang'dian'mian
文化路,wen'hua'lu
文化路机关幼儿园旁,wen'hua'lu'ji'guan'you'er'yuan'pang
文香苑,wen'xiang'yuan
翁山新村,weng'shan'xin'cun
五岔路口,wu'cha'lu'kou
乌家塘,wu'jia'tang
西关,xi'guan
西关路,xi'guan'lu
西官庙新村,xi'guan'miao'xin'cun
西码头海晶,xi'ma'tou'hai'jing
西码头海鲜城,xi'ma'tou'hai'xian'cheng
西码头海鲜城店面房,xi'ma'tou'hai'xian'cheng'dian'mian'fang
西码头阳光湾多层,xi'ma'tou'yang'guang'wan'duo'ceng
西门,xi'men
西门华天公寓,xi'men'hua'tian'gong'yu
西溪岭地基,xi'xi'ling'di'ji
西园,xi'yuan
西园新村,xi'yuan'xin'cun
香枫园,xiang'feng'yuan
香荷园,xiang'he'yuan
香荷园车棚,xiang'he'yuan'che'peng
襄垣,xiang'yuan
香园,xiang'yuan
香源,xiang'yuan
香园单间,xiang'yuan'dan'jian
香园新村,xiang'yuan'xin'cun
小矸路别墅,xiao'gan'lu'bie'shu
小矸路地下车库,xiao'gan'lu'di'xia'che'ku
小矸三室一厅,xiao'gan'san'shi'yi'ting
小碶北路,xiao'qi'bei'lu
写畚金整层办公装修万年,xie'ben'jin'zheng'ceng'ban'gong'zhuang'xiu'wan'nian
写东山外,xie'dong'shan'wai
写建设大厦,xie'jian'she'da'sha
写临城,xie'lin'cheng
新晨颐景园,xin'chen'yi'jing'yuan
新城颐景园,xin'cheng'yi'jing'yuan
信凤里,xin'feng'li
新华书店,xin'hua'shu'dian
新华天公寓,xin'hua'tian'gong'yu
新露亭电,xin'lu'ting'dian
新露亭公寓,xin'lu'ting'gong'yu
新露亭公寓平棚,xin'lu'ting'gong'yu'ping'peng
新茂边私房,xin'mao'bian'si'fang
新桥公寓,xin'qiao'gong'yu
新桥路,xin'qiao'lu
新天地,xin'tian'di
徐家桥店面房,xu'jia'qiao'dian'mian'fang
学厂弄,xue'chang'nong
学林雅,xue'lin'ya
学林雅苑,xue'lin'ya'yuan
学林雅苑店面,xue'lin'ya'yuan'dian'mian
烟管弄,yan'guan'nong
颜家峧,yan'jia'jiao
颜家峧路,yan'jia'jiao'lu
颜家蛟路,yan'jia'jiao'lu
阳光园,yang'guang'yuan
一百旁烟管弄,yi'bai'pang'yan'guan'nong
伊顿华庭,yi'dun'hua'ting
义桥,yi'qiao
义桥上下层,yi'qiao'shang'xia'ceng
义桥新村,yi'qiao'xin'cun
艺墅别墅,yi'shu'bie'shu
怡心公寓,yi'xin'gong'yu
雍城山庄单体别墅,yong'cheng'shan'zhuang'dan'ti'bie'shu
永东公,yong'dong'gong
甬东公寓,yong'dong'gong'yu
油车跟路,you'che'gen'lu
油车脚跟,you'che'jiao'gen
玉兰花园,yu'lan'hua'yuan
玉兰花苑,yu'lan'hua'yuan
玉兰花园每月元头内请联系,yu'lan'hua'yuan'mei'yue'yuan'tou'nei'qing'lian'xi
育苗路,yu'miao'lu
源通中介,yuan'tong'zhong'jie
云枫苑,yun'feng'yuan
云枫苑复式,yun'feng'yuan'fu'shi
云林山庄,yun'lin'shan'zhuang
云林山庄排房,yun'lin'shan'zhuang'pai'fang
张家弄,zhang'jia'nong
中昌国际大厦,zhong'chang'guo'ji'da'sha
中大街,zhong'da'jie
中太平弄,zhong'tai'ping'nong
中央御城,zhong'yang'yu'cheng
中央御府,zhong'yang'yu'fu
舟山大厦后面康城公寓车库,zhou'shan'da'sha'hou'mian'kang'cheng'gong'yu'che'ku
舟嵊小学边,zhou'sheng'xiao'xue'bian
舟嵊中介,zhou'sheng'zhong'jie
舟医,zhou'yi
舟医宿舍学区房房,zhou'yi'su'she'xue'qu'fang'fang
竺家弄,zhu'jia'nong
竹香,zhu'xiang
竹香新村,zhu'xiang'xin'cun
竹馨园,zhu'xin'yuan
紫水弄单间,zi'shui'nong'dan'jian
紫水弄私房,zi'shui'nong'si'fang
紫竹,zi'zhu
紫竹单间,zi'zhu'dan'jian
紫竹公,zi'zhu'gong
紫竹公寓,zi'zhu'gong'yu
紫竹坑单间,zi'zhu'keng'dan'jian
紫竹林,zi'zhu'lin
总府,zong'fu
总府路,zong'fu'lu
总府弄,zong'fu'nong
钻旁边,zuan'pang'bian
尊雅居,zun'ya'ju
