氨水站,an'shui'zhan
公交二公司,gong'jiao'er'gong'si
公交四公司,gong'jiao'si'gong'si
公交总公司,gong'jiao'zong'gong'si
工农路,gong'nong'lu
供水总公司,gong'shui'zong'gong'si
鼓楼,gu'lou
广电中心,guang'dian'zhong'xin
锅炉厂,guo'lu'chang
汉兴路口,han'xing'lu'kou
航天大酒店,hang'tian'da'jiu'dian
豪德广场,hao'de'guang'chang
豪德贸易广场,hao'de'mao'yi'guang'chang
河大老校东门,he'da'lao'xiao'dong'men
河大老校南门,he'da'lao'xiao'nan'men
河大仁和公寓,he'da'ren'he'gong'yu
河大新区东苑,he'da'xin'qu'dong'yuan
河大新校北门,he'da'xin'xiao'bei'men
河大新校西门,he'da'xin'xiao'xi'men
河大一附院,he'da'yi'fu'yuan
河务局,he'wu'ju
恒大公司,heng'da'gong'si
弘福花园,hong'fu'hua'yuan
红洋楼,hong'yang'lou
侯庄桥,hou'zhuang'qiao
护城堤,hu'cheng'di
湖心岛,hu'xin'dao
化肥厂,hua'fei'chang
化建生活区,hua'jian'sheng'huo'qu
华侨公墓,hua'qiao'gong'mu
淮河医院,huai'he'yi'yuan
黄河大堤,huang'he'da'di
黄河大街北口,huang'he'da'jie'bei'kou
黄河大街南段,huang'he'da'jie'nan'duan
黄河水院,huang'he'shui'yuan
黄河游览区,huang'he'you'lan'qu
火车站,huo'che'zhan
火电厂,huo'dian'chang
机场北路,ji'chang'bei'lu
集英花园,ji'ying'hua'yuan
建材市场,jian'cai'shi'chang
检测中心,jian'ce'zhong'xin
交警队,jiao'jing'dui
教育学院北校,jiao'yu'xue'yuan'bei'xiao
结核病防治所,jie'he'bing'fang'zhi'suo
节水办,jie'shui'ban
晋安路东口,jin'an'lu'dong'kou
金池明郡,jin'chi'ming'jun
金康苑,jin'kang'yuan
金明池南门,jin'ming'chi'nan'men
金明广场,jin'ming'guang'chang
金明花园,jin'ming'hua'yuan
金明汽车站,jin'ming'qi'che'zhan
金明小学,jin'ming'xiao'xue
金明中学,jin'ming'zhong'xue
锦绣嘉园,jin'xiu'jia'yuan
金耀路西口,jin'yao'lu'xi'kou
金耀绿城,jin'yao'lv'cheng
警校党校,jing'xiao'dang'xiao
开封大学,kai'feng'da'xue
开封高中,kai'feng'gao'zhong
开封金明站,kai'feng'jin'ming'zhan
开封日报社,kai'feng'ri'bao'she
开封市监狱,kai'feng'shi'jian'yu
开封陶瓷城,kai'feng'tao'ci'cheng
开封通信公司,kai'feng'tong'xin'gong'si
开封网通,kai'feng'wang'tong
开封县世纪广场,kai'feng'xian'shi'ji'guang'chang
开封中心汽车站,kai'feng'zhong'xin'qi'che'zhan
康拜因,kang'bai'yin
康乐北口,kang'le'bei'kou
康乐小区,kang'le'xiao'qu
康平小区,kang'ping'xiao'qu
康太家园,kang'tai'jia'yuan
康禧园,kang'xi'yuan
科技城,ke'ji'cheng
客运西站,ke'yun'xi'zhan
劳动路口,lao'dong'lu'kou
劳教场,lao'jiao'chang
老年公寓,lao'nian'gong'yu
李苌庄,li'chang'zhuang
立交桥,li'jiao'qiao
梁苑办事处,liang'yuan'ban'shi'chu
梁苑北区,liang'yuan'bei'qu
梁苑中区,liang'yuan'zhong'qu
刘寺,liu'si
六四六,liu'si'liu
龙成香榭,long'cheng'xiang'xie
龙成香榭里,long'cheng'xiang'xie'li
龙亭公园,long'ting'gong'yuan
芦花岗,lu'hua'gang
鲁屯,lu'tun
马家河,ma'jia'he
马市街,ma'shi'jie
马市街村委会,ma'shi'jie'cun'wei'hui
马市街口,ma'shi'jie'kou
马市一街,ma'shi'yi'jie
美国拓美瓦厂,mei'guo'tuo'mei'wa'chang
梅庄,mei'zhuang
明伦街,ming'lun'jie
南柴村,nan'chai'cun
南环,nan'huan
南孙庄,nan'sun'zhuang
南苑小区,nan'yuan'xiao'qu
南正门,nan'zheng'men
牛墩,niu'dun
牛庄,niu'zhuang
皮屯,pi'tun
苹果园,ping'guo'yuan
苹果园小学,ping'guo'yuan'xiao'xue
汽车配件公司,qi'che'pei'jian'gong'si
清华园,qing'hua'yuan
清明上河园,qing'ming'shang'he'yuan
青年路,qing'nian'lu
清水河,qing'shui'he
日报社,ri'bao'she
荣勋花园,rong'xun'hua'yuan
三里堡,san'li'bao
色西西区,se'xi'xi'qu
沙岗寺小区,sha'gang'si'xiao'qu
社会福利院,she'hui'fu'li'yuan
省地税培训中心,sheng'di'shui'pei'xun'zhong'xin
省一毛,sheng'yi'mao
市发改委,shi'fa'gai'wei
事故科,shi'gu'ke
市技工学校,shi'ji'gong'xue'xiao
市检察院,shi'jian'cha'yuan
市教委,shi'jiao'wei
十七中,shi'qi'zhong
石桥口,shi'qiao'kou
市人大,shi'ren'da
市委市政府,shi'wei'shi'zheng'fu
市卫校,shi'wei'xiao
石油公司,shi'you'gong'si
市政府,shi'zheng'fu
市政机械厂,shi'zheng'ji'xie'chang
市政协,shi'zheng'xie
市肿瘤医院,shi'zhong'liu'yi'yuan
收费站,shou'fei'zhan
蔬菜批发市场,shu'cai'pi'fa'shi'chang
书店街北口,shu'dian'jie'bei'kou
水稻乡,shui'dao'xiang
水稻乡派出所,shui'dao'xiang'pai'chu'suo
税校,shui'xiao
顺河区法院,shun'he'qu'fa'yuan
私访院,si'fang'yuan
宋门里,song'men'li
宋门外,song'men'wai
孙李唐庄,sun'li'tang'zhuang
太平庄,tai'ping'zhuang
泰山庙,tai'shan'miao
搪瓷厂,tang'ci'chang
陶瓷城,tao'ci'cheng
体育场,ti'yu'chang
天波杨府,tian'bo'yang'fu
天伦苑,tian'lun'yuan
天下城,tian'xia'cheng
铁北街,tie'bei'jie
铁塔公园,tie'ta'gong'yuan
屠府坟,tu'fu'fen
万宝商厦,wan'bao'shang'sha
万宝商厦东郊店,wan'bao'shang'sha'dong'jiao'dian
万岁山公园,wan'sui'shan'gong'yuan
汪屯桥,wang'tun'qiao
汪屯乡政府,wang'tun'xiang'zheng'fu
王周庄,wang'zhou'zhuang
魏都路东口,wei'du'lu'dong'kou
文昌小学,wen'chang'xiao'xue
五福路,wu'fu'lu
污水处理厂,wu'shui'chu'li'chang
五一路,wu'yi'lu
西环路北口,xi'huan'lu'bei'kou
西郊商场,xi'jiao'shang'chang
西区公交场站,xi'qu'gong'jiao'chang'zhan
西司广场,xi'si'guang'chang
西司桥,xi'si'qiao
喜台,xi'tai
西苑南区,xi'yuan'nan'qu
西苑小区,xi'yuan'xiao'qu
西站,xi'zhan
现代科技学校,xian'dai'ke'ji'xue'xiao
县公安局,xian'gong'an'ju
县监理站,xian'jian'li'zhan
县人民医院,xian'ren'min'yi'yuan
县西口,xian'xi'kou
县邮电局,xian'you'dian'ju
祥符市场,xiang'fu'shi'chang
相国寺,xiang'guo'si
橡胶厂,xiang'jiao'chang
香榭里西门,xiang'xie'li'xi'men
小北岗,xiao'bei'gang
小罗庄,xiao'luo'zhuang
小马圈,xiao'ma'quan
小马庄,xiao'ma'zhuang
小南门,xiao'nan'men
小纸坊街口,xiao'zhi'fang'jie'kou
新奥燃气公司,xin'ao'ran'qi'gong'si
新曹路口,xin'cao'lu'kou
新华保险公司,xin'hua'bao'xian'gong'si
新街口,xin'jie'kou
行宫角,xing'gong'jiao
杏花营,xing'hua'ying
杏花营铁路涵洞,xing'hua'ying'tie'lu'han'dong
杏花营镇,xing'hua'ying'zhen
杏花营镇政府,xing'hua'ying'zhen'zheng'fu
星云山庄,xing'yun'shan'zhuang
行政大厅,xing'zheng'da'ting
行政服务中心,xing'zheng'fu'wu'zhong'xin
修防段,xiu'fang'duan
学院门,xue'yuan'men
延庆观,yan'qing'guan
演武厅,yan'wu'ting
羊尾铺,yang'wei'pu
杨正门,yang'zheng'men
药厂,yao'chang
仪表厂生活区,yi'biao'chang'sheng'huo'qu
一木,yi'mu
夷山大街口,yi'shan'da'jie'kou
一五五医院,yi'wu'wu'yi'yuan
医药大厦,yi'yao'da'sha
右司官口,you'si'guan'kou
预备役师,yu'bei'yi'shi
禹王台,yu'wang'tai
禹王台西门,yu'wang'tai'xi'men
运粮河,yun'liang'he
闸口,zha'kou
闸门,zha'men
张湾,zhang'wan
张庄,zhang'zhuang
赵屯路,zhao'tun'lu
中国银行,zhong'guo'yin'hang
中华仪表厂,zhong'hua'yi'biao'chang
中级人民法院,zhong'ji'ren'min'fa'yuan
肿瘤医院,zhong'liu'yi'yuan
朱雀苑广场,zhu'que'yuan'guang'chang
左楼,zuo'lou
