按摩,an'mo
行气,xing'qi
行气玉铭,xing'qi'yu'ming
熊经鸱顾,xiong'jing'chi'gu
熊戏,xiong'xi
修城廓,xiu'cheng'kuo
修昆仑,xiu'kun'lun
修神,xiu'shen
修天庭,xiu'tian'ting
虚静,xu'jing
嘘吸,xu'xi
虚心实腹,xu'xin'shi'fu
玄白术,xuan'bai'zhu
玄鉴导引法,xuan'jian'dao'yin'fa
悬前,xuan'qian
旋伸,xuan'shen
咽津,yan'jin
延陵君炼气法,yan'ling'jun'lian'qi'fa
延年九转法,yan'nian'jiu'zhuan'fa
咽气,yan'qi
咽唾,yan'tuo
宴息,yan'xi
雁行气法,yan'xing'qi'fa
偃仰之方,yan'yang'zhi'fang
咽液,yan'ye
养和,yang'he
阳见,yang'jian
养静,yang'jing
养内,yang'nei
养气,yang'qi
养神养形,yang'shen'yang'xing
养生,yang'sheng
养生十六宜,yang'sheng'shi'liu'yi
养生五难,yang'sheng'wu'nan
养外,yang'wai
养心,yang'xin
养形,yang'xing
养性,yang'xing
咬定牙根,yao'ding'ya'gen
摇肱,yao'gong
窈冥,yao'ming
摇天柱,yao'tian'zhu
一不当,yi'bu'dang
易筋经,yi'jin'jing
抑喜养阳,yi'xi'yang'yang
以意引气,yi'yi'yin'qi
引腜,yin'mei
引胒,yin'ni
引肾,yin'shen
引阳,yin'yang
引阳筋,yin'yang'jin
引阴,yin'yin
营活城廓,ying'huo'cheng'kuo
迎气,ying'qi
甬莫,yong'mo
玉池,yu'chi
语烦侵气,yu'fan'qin'qi
元门运气,yuan'men'yun'qi
元气,yuan'qi
元泉,yuan'quan
猿戏,yuan'xi
运动水土,yun'dong'shui'tu
熨目,yun'mu
则比,ze'bi
增息,zeng'xi
斋戒,zhai'jie
张果服气法,zhang'guo'fu'qi'fa
折阴,zhe'yin
真定,zhen'ding
真金鼎,zhen'jin'ding
真境界,zhen'jing'jie
真景象,zhen'jing'xiang
真念,zhen'nian
真气,zhen'qi
真七返,zhen'qi'fan
真铅真汞,zhen'qian'zhen'gong
真人起居法,zhen'ren'qi'ju'fa
真胎息,zhen'tai'xi
真息,zhen'xi
真心,zhen'xin
真性命,zhen'xing'ming
真坐,zhen'zuo
正觉,zheng'jue
正念,zheng'nian
止观法,zhi'guan'fa
制检还魄,zhi'jian'hai'po
治万病坐功诀,zhi'wan'bing'zuo'gong'jue
踵息,zhong'xi
自按摩法,zi'an'mo'fa
走火,zou'huo
祖宫,zu'gong
祖气,zu'qi
左洞真经按摩导引诀,zuo'dong'zhen'jing'an'mo'dao'yin'jue
坐功,zuo'gong
坐忘,zuo'wang
坐引,zuo'yin
左右开弓,zuo'you'kai'gong
