爱是万缘之根,ai'shi'wan'yuan'zhi'gen
便味如,bian'wei'ru
便销刚为柔,bian'xiao'gang'wei'rou
便兴似寒灰,bian'xing'si'han'hui
遍阅人情,bian'yue'ren'qing
便造物不能忌我,bian'zao'wu'bu'neng'ji'wo
便咫尺千里矣,bian'zhi'chi'qian'li'yi
便终身难植嘉苗矣,bian'zhong'shen'nan'zhi'jia'miao'yi
便终身无个进步,bian'zhong'shen'wu'ge'jin'bu
兵刃戈矛,bing'ren'ge'mao
病受于人所不见,bing'shou'yu'ren'suo'bu'jian
拨开世上尘氛,bo'kai'shi'shang'chen'fen
不摆脱,bu'bai'tuo
不必绝人以逃世,bu'bi'jue'ren'yi'tao'shi
不必绝欲,bu'bi'jue'yu
不必忙忙,bu'bi'mang'mang
不必扬扬,bu'bi'yang'yang
不担当,bu'dan'dang
不当过求,bu'dang'guo'qiu
不当有其语,bu'dang'you'qi'yu
不发人阴私,bu'fa'ren'yin'si
不拂人情,bu'fu'ren'qing
不复知,bu'fu'zhi
不患其不持重,bu'huan'qi'bu'chi'zhong
不患其不奋迅,bu'huan'qi'bu'fen'xun
不积诗书偏积玉,bu'ji'shi'shu'pian'ji'yu
不解读无字书,bu'jie'du'wu'zi'shu
不竭物力,bu'jie'wu'li
不尽,bu'jin
不尽之恩礼,bu'jin'zhi'en'li
不觉耳根尽彻,bu'jue'er'gen'jin'che
不可不,bu'ke'bu
不可乘快而多事,bu'ke'cheng'kuai'er'duo'shi
不可乘喜而轻诺,bu'ke'cheng'xi'er'qing'nuo
不可持好洁,bu'ke'chi'hao'jie
不可重为爱憎,bu'ke'chong'wei'ai'zeng
不可存一矫俗之心,bu'ke'cun'yi'jiao'su'zhi'xin
不可起一趋时之念,bu'ke'qi'yi'qu'shi'zhi'nian
不可少迁就,bu'ke'shao'qian'jiu
不可使人,bu'ke'shi'ren
不可使人不知,bu'ke'shi'ren'bu'zhi
不可随境而迁,bu'ke'sui'jing'er'qian
不可太分明,bu'ke'tai'fen'ming
不可太浓艳,bu'ke'tai'nong'yan
不可无含垢纳污之雅量,bu'ke'wu'han'gou'na'wu'zhi'ya'liang
不可无山林的气味,bu'ke'wu'shan'lin'de'qi'wei
不可因倦而鲜,bu'ke'yin'juan'er'xian
不可因醉而生目真,bu'ke'yin'zui'er'sheng'mu'zhen
不可有非分之福,bu'ke'you'fei'fen'zhi'fu
不可有过情之誉,bu'ke'you'guo'qing'zhi'yu
不可作一毫暧昧之状,bu'ke'zuo'yi'hao'ai'mei'zhi'zhuang
不昧己心,bu'mei'ji'xin
不猛然转念哉,bu'meng'ran'zhuan'nian'zai
不难在砥节,bu'nan'zai'di'jie
不难在推恩,bu'nan'zai'tui'en
不能绝欲,bu'neng'jue'yu
不能轻一轻富贵之心,bu'neng'qing'yi'qing'fu'gui'zhi'xin
不念人旧恶,bu'nian'ren'jiu'e
布袍暖于狐貉,bu'pao'nuan'yu'hu'hao
不然,bu'ran
不然操持未定,bu'ran'cao'chi'wei'ding
不然恐去昏昏之病,bu'ran'kong'qu'hun'hun'zhi'bing
不然纵一琴一鹤一花一竹,bu'ran'zong'yi'qin'yi'he'yi'hua'yi'zhu
不如保已成之业,bu'ru'bao'yi'cheng'zhi'ye
不如免一事之丑,bu'ru'mian'yi'shi'zhi'chou
不如释一人之怨,bu'ru'shi'yi'ren'zhi'yuan
不如无恶而致人毁,bu'ru'wu'e'er'zhi'ren'hui
不如鱼鸟解亲人,bu'ru'yu'niao'jie'qin'ren
不若难亲于始,bu'ruo'nan'qin'yu'shi
不若使其无背后之毁,bu'ruo'shi'qi'wu'bei'hou'zhi'hui
不若使其无久处,bu'ruo'shi'qi'wu'jiu'chu
不若小人之自新,bu'ruo'xiao'ren'zhi'zi'xin
不若直节而使人忌,bu'ruo'zhi'jie'er'shi'ren'ji
不若拙守,bu'ruo'zhuo'shou
不善,bu'shan
不生内变,bu'sheng'nei'bian
不是个好臣工,bu'shi'ge'hao'chen'gong
不是个好人家,bu'shi'ge'hao'ren'jia
不是个好士子,bu'shi'ge'hao'shi'zi
不受其煅,bu'shou'qi'duan
不思立好言行好事,bu'si'li'hao'yan'xing'hao'shi
不畏事障,bu'wei'shi'zhang
不烟不茗而自清芬,bu'yan'bu'ming'er'zi'qing'fen
不宜存半点隔阂之形,bu'yi'cun'ban'dian'ge'he'zhi'xing
不宜独任,bu'yi'du'ren
不宜居其名,bu'yi'ju'qi'ming
不宜轻弃,bu'yi'qing'qi
不宜全推,bu'yi'quan'tui
不宜认得太真,bu'yi'ren'de'tai'zhen
不宜先发,bu'yi'xian'fa
不宜预扬,bu'yi'yu'yang
不愿人怜,bu'yuan'ren'lian
不责人小过,bu'ze'ren'xiao'guo
不着得才是高手,bu'zhao'de'cai'shi'gao'shou
不知不饥不寒之,bu'zhi'bu'ji'bu'han'zhi
不知处阴而影自灭,bu'zhi'chu'yin'er'ying'zi'mie
不知今日我,bu'zhi'jin'ri'wo
不知敛翼而铃自息,bu'zhi'lian'yi'er'ling'zi'xi
不知弹无弦琴,bu'zhi'tan'wu'xian'qin
不知无名无位之乐为最真,bu'zhi'wu'ming'wu'wei'zhi'le'wei'zui'zhen
不知心体莹然,bu'zhi'xin'ti'ying'ran
不知意在无人,bu'zhi'yi'zai'wu'ren
不知足者凡境,bu'zhi'zu'zhe'fan'jing
彩笔描空,cai'bi'miao'kong
才避去神弓鬼矢,cai'bi'qu'shen'gong'gui'shi
才得超尘脱俗的趣味,cai'de'chao'chen'tuo'su'de'qu'wei
才分八斗,cai'fen'ba'dou
菜根谭,cai'gen'tan
才寄迹眼前,cai'ji'ji'yan'qian
才见本来面目,cai'jian'ben'lai'mian'mu
才见本来真体,cai'jian'ben'lai'zhen'ti
才见处一化,cai'jian'chu'yi'hua
才觉向欲路上去,cai'jue'xiang'yu'lu'shang'qu
才堪论出世,cai'kan'lun'chu'shi
才堪辟道义之门,cai'kan'pi'dao'yi'zhi'men
才可以任天下之负担,cai'ke'yi'ren'tian'xia'zhi'fu'dan
才可以忘纷华而甘淡泊也,cai'ke'yi'wang'fen'hua'er'gan'dan'bo'ye
才是高士的眼界,cai'shi'gao'shi'de'yan'jie
才是个安乐窝巢,cai'shi'ge'an'le'wo'chao
才是家庭的型范,cai'shi'jia'ting'de'xing'fan
才是进德修行的砥石,cai'shi'jin'de'xiu'xing'de'di'shi
才是了手工夫,cai'shi'liao'shou'gong'fu
才是乾坤的橐龠,cai'shi'qian'kun'de'tuo'yue
才是生成的德量,cai'shi'sheng'cheng'de'de'liang
才是性天中惠泽,cai'shi'xing'tian'zhong'hui'ze
才是学问的真,cai'shi'xue'wen'de'zhen
才是懿德,cai'shi'yi'de
才是真正英雄,cai'shi'zhen'zheng'ying'xiong
才脱骑虎之危,cai'tuo'qi'hu'zhi'wei
才为火内栽莲,cai'wei'huo'nei'zai'lian
才有个真受用,cai'you'ge'zhen'shou'yong
才有万变不穷之妙用,cai'you'wan'bian'bu'qiong'zhi'miao'yong
彩云易散琉璃脆,cai'yun'yi'san'liu'li'cui
才者德之奴用事矣,cai'zhe'de'zhi'nu'yong'shi'yi
才着工夫便起障,cai'zhe'gong'fu'bian'qi'zhang
藏而反炫耀,cang'er'fan'xuan'yao
苍蝇附骥,cang'ying'fu'ji
操持既坚,cao'chi'ji'jian
操存要有真宰,cao'cun'yao'you'zhen'zai
草际之烟光,cao'ji'zhi'yan'guang
操履要严明,cao'lv'yao'yan'ming
草木欣欣,cao'mu'xin'xin
操守要严明,cao'shou'yao'yan'ming
缠身心两自在者,chan'shen'xin'liang'zi'zai'zhe
禅师不落空寂,chan'shi'bu'luo'kong'ji
缠脱只在自心,chan'tuo'zhi'zai'zi'xin
常败于细微之事,chang'bai'yu'xi'wei'zhi'shi
常不及孤寒之子可以抗节致忠,chang'bu'ji'gu'han'zhi'zi'ke'yi'kang'jie'zhi'zhong
常不及山野之夫可以,chang'bu'ji'shan'ye'zhi'fu'ke'yi
常出悠闲镇定之士,chang'chu'you'xian'zhen'ding'zhi'shi
常多,chang'duo
常患畚迅而成卤莽,chang'huan'ben'xun'er'cheng'lu'mang
常患以持重而成退缩,chang'huan'yi'chi'zhong'er'cheng'tui'suo
常思林下的风味,chang'si'lin'xia'de'feng'wei
常思泉下的,chang'si'quan'xia'de
常向梦中呼醉客,chang'xiang'meng'zhong'hu'zui'ke
常向闲中先检点,chang'xiang'xian'zhong'xian'jian'dian
常疑好事皆虚事,chang'yi'hao'shi'jie'xu'shi
常因明而生暗,chang'yin'ming'er'sheng'an
常在明镜止水之中,chang'zai'ming'jing'zhi'shui'zhi'zhong
常自污出,chang'zi'wu'chu
车争险道,che'zheng'xian'dao
尘情,chen'qing
尘矣,chen'yi
成灰处共瓦砾何殊,cheng'hui'chu'gong'wa'li'he'shu
盛满之功,cheng'man'zhi'gong
惩贪者济之以欲,cheng'tan'zhe'ji'zhi'yi'yu
驰得尘俗之肩,chi'de'chen'su'zhi'jian
痴人每多福,chi'ren'mei'duo'fu
持身不可太皎洁,chi'shen'bu'ke'tai'jiao'jie
持身如泰山九鼎凝然不动,chi'shen'ru'tai'shan'jiu'ding'ning'ran'bu'dong
持身涉世,chi'shen'she'shi
憧憧之扰矣,chong'chong'zhi'rao'yi
宠利毋居人前,chong'li'wu'ju'ren'qian
宠辱不惊,chong'ru'bu'jing
仇边之弩易避,chou'bian'zhi'nu'yi'bi
触处都鱼跃鸢飞,chu'chu'dou'yu'yue'yuan'fei
处处皆厚,chu'chu'jie'hou
处处有碍,chu'chu'you'ai
处处有种真趣味,chu'chu'you'zhong'zhen'qu'wei
出此入彼,chu'ci'ru'bi
处得他好,chu'de'ta'hao
处富贵之地,chu'fu'gui'zhi'di
处父兄骨肉之变,chu'fu'xiong'gu'rou'zhi'bian
处己者触事皆成药石,chu'ji'zhe'chu'shi'jie'cheng'yao'shi
锄奸杜亻幸,chu'jian'du'dan'xing
处林泉之下,chu'lin'quan'zhi'xia
处乱世当圆,chu'luan'shi'dang'yuan
处明庭检饰者,chu'ming'ting'jian'shi'zhe
处闹,chu'nao
处起,chu'qi
处世不,chu'shi'bu
处世不退一步处,chu'shi'bu'tui'yi'bu'chu
处世而欲人感恩,chu'shi'er'yu'ren'gan'en
处世让一步为高,chu'shi'rang'yi'bu'wei'gao
出世之道,chu'shi'zhi'dao
出世之襟期,chu'shi'zhi'jin'qi
处叔季之世当方圆并用,chu'shu'ji'zhi'shi'dang'fang'yuan'bing'yong
处顺境内,chu'shun'jing'nei
触物皆有会心处,chu'wu'jie'you'hui'xin'chu
处下者形劳而,chu'xia'zhe'xing'lao'er
出一言解救之,chu'yi'yan'jie'jiu'zhi
出一言提醒之,chu'yi'yan'ti'xing'zhi
处治世宜方,chu'zhi'shi'yi'fang
船便安,chuan'bian'an
传神,chuan'shen
窗前一片浮青映白,chuang'qian'yi'pian'fu'qing'ying'bai
春生,chun'sheng
纯用机巧,chun'yong'ji'qiao
春至时和,chun'zhi'shi'he
此处拔除不净,ci'chu'ba'chu'bu'jing
此处能猛然转念,ci'chu'neng'meng'ran'zhuan'nian
此处若不当以冷肠,ci'chu'ruo'bu'dang'yi'leng'chang
此讥好名者,ci'ji'hao'ming'zhe
此皆是善念中戈矛,ci'jie'shi'shan'nian'zhong'ge'mao
此戒疏于虑者,ci'jie'shu'yu'lv'zhe
此警伤于察者,ci'jing'shang'yu'cha'zhe
次玲珑,ci'ling'long
此岂独诗文之工拙从此分哉吾见周密之人,ci'qi'du'shi'wen'zhi'gong'zhuo'cong'ci'fen'zai'wu'jian'zhou'mi'zhi'ren
此日最易过,ci'ri'zui'yi'guo
此身不再得,ci'shen'bu'zai'de
此身常放在闲处,ci'shen'chang'fang'zai'xian'chu
此是,ci'shi
此是彻上彻下得真意,ci'shi'che'shang'che'xia'de'zhen'yi
此事难言,ci'shi'nan'yan
此是涉世一极乐法,ci'shi'she'shi'yi'ji'le'fa
此释氏所谓不为法缠不为空,ci'shi'shi'suo'wei'bu'wei'fa'chan'bu'wei'kong
此是无彼无此得真机,ci'shi'wu'bi'wu'ci'de'zhen'ji
此心常安在静中,ci'xin'chang'an'zai'jing'zhong
此心常放得宽平,ci'xin'chang'fang'de'kuan'ping
此心常看得圆满,ci'xin'chang'kan'de'yuan'man
雌雄安在,ci'xiong'an'zai
此以淡泊全真也,ci'yi'dan'bo'quan'zhen'ye
从肥甘丧矣,cong'fei'gan'sang'yi
从静中观物动,cong'jing'zhong'guan'wu'dong
从空洞中自筑一藩蓠,cong'kong'dong'zhong'zi'zhu'yi'fan'li
从临深履薄中操出,cong'lin'shen'lv'bo'zhong'cao'chu
聪明人宜敛,cong'ming'ren'yi'lian
从热闹场中出几句清冷言语,cong're'nao'chang'zhong'chu'ji'ju'qing'leng'yan'yu
从五更枕席上参勘心体,cong'wu'geng'zhen'xi'shang'can'kan'xin'ti
催归尘土,cui'gui'chen'tu
翠筱傲严霜,cui'xiao'ao'yan'shuang
寸心洁白,cun'xin'jie'bai
存心若有半毫未净,cun'xin'ruo'you'ban'hao'wei'jing
大聪明的人,da'cong'ming'de'ren
大德者才之主,da'de'zhe'cai'zhi'zhu
大地尽属逍遥,da'di'jin'shu'xiao'yao
大恶多从柔处伏,da'e'duo'cong'rou'chu'fu
大烈鸿猷,da'lie'hong'you
大懵懂的人,da'meng'dong'de'ren
打破了方见真空,da'po'liao'fang'jian'zhen'kong
大巧无巧术,da'qiao'wu'qiao'shu
大人不可不畏,da'ren'bu'ke'bu'wei
达人当早回头,da'ren'dang'zao'hui'tou
达人当自辨之,da'ren'dang'zi'bian'zhi
达人的胸襟,da'ren'de'xiong'jin
达人观物外之物,da'ren'guan'wu'wai'zhi'wu
达人宜远刀头之蜜,da'ren'yi'yuan'dao'tou'zhi'mi
达士以之养性灵,da'shi'yi'zhi'yang'xing'ling
达士知处阴敛翼,da'shi'zhi'chu'yin'lian'yi
待恶人当,dai'e'ren'dang
待君子不难于恭,dai'jun'zi'bu'nan'yu'gong
待人而留有余,dai'ren'er'liu'you'yu
待人宽一分是福,dai'ren'kuan'yi'fen'shi'fu
待人无半毫矫伪欺隐,dai'ren'wu'ban'hao'jiao'wei'qi'yin
待人亦薄,dai'ren'yi'bao
待人亦厚,dai'ren'yi'hou
待善人宜宽,dai'shan'ren'yi'kuan
待小人不难于严,dai'xiao'ren'bu'nan'yu'yan
淡泊是高风,dan'bo'shi'gao'feng
淡薄之士,dan'bo'zhi'shi
淡泊之守,dan'bo'zhi'shou
淡不厌,dan'bu'yan
淡然无欲,dan'ran'wu'yu
当不得一个悔字,dang'bu'de'yi'ge'hui'zi
当不得一个矜字,dang'bu'de'yi'ge'jin'zi
当急回贪恋之首而猛舒愁苦之眉矣,dang'ji'hui'tan'lian'zhi'shou'er'meng'shu'chou'ku'zhi'mei'yi
当面错过,dang'mian'cuo'guo
荡念也,dang'nian'ye
当怒火欲水正腾沸时,dang'nu'huo'yu'shui'zheng'teng'fei'shi
当少壮之时,dang'shao'zhuang'zhi'shi
当是非邪正之交,dang'shi'fei'xie'zheng'zhi'jiao
当使其可从,dang'shi'qi'ke'cong
当随人而接引,dang'sui'ren'er'jie'yin
当随事而警惕,dang'sui'shi'er'jing'ti
当严责君子,dang'yan'ze'jun'zi
当因其,dang'yin'qi
当因其所明而渐通之,dang'yin'qi'suo'ming'er'jian'tong'zhi
当用逆之之法以制之,dang'yong'ni'zhi'zhi'fa'yi'zhi'zhi
当用顺之之法以调之,dang'yong'shun'zhi'zhi'fa'yi'tiao'zhi
当有其心,dang'you'qi'xin
当原其初心,dang'yuan'qi'chu'xin
当知割舍,dang'zhi'ge'she
到败处未免噬脐,dao'bai'chu'wei'mian'shi'qi
刀不损锷,dao'bu'sun'e
到得从多入少从有入无处,dao'de'cong'duo'ru'shao'cong'you'ru'wu'chu
道是一件公众的物事,dao'shi'yi'jian'gong'zhong'de'wu'shi
到死时反脱了一个厌字,dao'si'shi'fan'tuo'liao'yi'ge'yan'zi
到死时反增了一个,dao'si'shi'fan'zeng'liao'yi'ge
道义路上泯炎凉,dao'yi'lu'shang'min'yan'liang
得此意以持身涉世,de'ci'yi'yi'chi'shen'she'shi
得道,de'dao
得乾坤清纯之气,de'qian'kun'qing'chun'zhi'qi
得轻,de'qing
得趣不在多,de'qu'bu'zai'duo
得趣于笙歌腾沸之处,de'qu'yu'sheng'ge'teng'fei'zhi'chu
得失,de'shi
德损,de'sun
德业毋落人后,de'ye'wu'luo'ren'hou
得意便思有骄矜辞色否,de'yi'bian'si'you'jiao'jin'ci'se'fou
得一生无愧,de'yi'sheng'wu'kui
得意时便一,de'yi'shi'bian'yi
德者事业之基,de'zhe'shi'ye'zhi'ji
得真,de'zhen
登山耐险路,deng'shan'nai'xian'lu
提防才可以弥意外之变,di'fang'cai'ke'yi'mi'yi'wai'zhi'bian
砥节石厉行而不觉,di'jie'shi'li'xing'er'bu'jue
地宽天高,di'kuan'tian'gao
地之秽者多生物,di'zhi'hui'zhe'duo'sheng'wu
定不深心,ding'bu'shen'xin
鼎镬可及宠利之流,ding'huo'ke'ji'chong'li'zhi'liu
定云止水中,ding'yun'zhi'shui'zhong
定从烈火中煅来,ding'zong'lie'huo'zhong'duan'lai
动根,dong'gen
东海水曾闻无定波,dong'hai'shui'ceng'wen'wu'ding'bo
动时念想,dong'shi'nian'xiang
动中有受用,dong'zhong'you'shou'yong
都被残编断简封固了,dou'bei'can'bian'duan'jian'feng'gu'le
都被妖歌艳舞湮没了,dou'bei'yao'ge'yan'wu'yan'mo'le
妒忌之心,du'ji'zhi'xin
独居则形影自愧,du'ju'ze'xing'ying'zi'kui
读书不见圣贤,du'shu'bu'jian'sheng'xian
读书而寄,du'shu'er'ji
独行之操,du'xing'zhi'cao
渎之不能容纳,du'zhi'bu'neng'rong'na
独坐中堂,du'zuo'zhong'tang
顿令眼界俱空,dun'ling'yan'jie'ju'kong
多冰清玉洁,duo'bing'qing'yu'jie
多藏厚亡,duo'cang'hou'wang
多出机心,duo'chu'ji'xin
多集宽洪长厚之家,duo'ji'kuan'hong'chang'hou'zhi'jia
躲离了万丈红尘,duo'li'le'wan'zhang'hong'chen
多冒不祥之名,duo'mao'bu'xiang'zhi'ming
多能不如无能之全真,duo'neng'bu'ru'wu'neng'zhi'quan'zhen
多起于玩忽之人,duo'qi'yu'wan'hu'zhi'ren
多为放肆者所忌,duo'wei'fang'si'zhe'suo'ji
多虚圆之士,duo'xu'yuan'zhi'shi
多因速度,duo'yin'su'du
多栽桃李少栽荆,duo'zai'tao'li'shao'zai'jing
俄而歌残场罢,e'er'ge'can'chang'ba
俄而局尽子收,e'er'ju'jin'zi'shou
恶忌阴,e'ji'yin
蛾扑火,e'pu'huo
恶人未能轻去,e'ren'wei'neng'qing'qu
恶中犹有善路,e'zhong'you'you'shan'lu
恩仇不可太明,en'chou'bu'ke'tai'ming
恩里由来生害,en'li'you'lai'sheng'hai
恩宜自淡而浓,en'yi'zi'dan'er'nong
而不必岩栖穴处,er'bu'bi'yan'qi'xue'chu
而不可,er'bu'ke
而不可激烈,er'bu'ke'ji'lie
而不可疏狂,er'bu'ke'shu'kuang
而不可琐屑,er'bu'ke'suo'xie
而常自醉酒耽诗,er'chang'zi'zui'jiu'dan'shi
而超凡入圣,er'chao'fan'ru'sheng
而尘情终累乎理趣,er'chen'qing'zhong'lei'hu'li'qu
而鸱号鸟偏嗜腐鼠,er'chi'hao'niao'pian'shi'fu'shu
而恩里之戈难防,er'en'li'zhi'ge'nan'fang
而放于收摄之后,er'fang'yu'shou'she'zhi'hou
而飞蛾独投夜烛,er'fei'e'du'tou'ye'zhu
而过则不可不念,er'guo'ze'bu'ke'bu'nian
而好名不殊好利,er'hao'ming'bu'shu'hao'li
而患洁病之难治,er'huan'jie'bing'zhi'nan'zhi
而焦思何异焦声,er'jiao'si'he'yi'jiao'sheng
而节,er'jie
二境,er'jing
而精神万古如新,er'jing'shen'wan'gu'ru'xin
而君子乐自逆境中来,er'jun'zi'le'zi'ni'jing'zhong'lai
而君子忧从快意,er'jun'zi'you'cong'kuai'yi
而君子忧乐以理也,er'jun'zi'you'le'yi'li'ye
而康节云,er'kang'jie'yun
而空亦不受染,er'kong'yi'bu'shou'ran
而枯寂亦槁心之地,er'ku'ji'yi'gao'xin'zhi'di
而况尘中之尘血肉身驱且归泡影,er'kuang'chen'zhong'zhi'chen'xue'rou'shen'qu'qie'gui'pao'ying
而况影外之影非,er'kuang'ying'wai'zhi'ying'fei
而乐处之阱难脱,er'le'chu'zhi'jing'nan'tuo
而利导之,er'li'dao'zhi
而理趣反转为欲根,er'li'qu'fan'zhuan'wei'yu'gen
而忙于闲暇之时,er'mang'yu'xian'xia'zhi'shi
而朦胧正聪明之窟也,er'meng'long'zheng'cong'ming'zhi'ku'ye
耳目见闻为外贼,er'mu'jian'wen'wei'wai'zei
耳目虽拘而神情自旷,er'mu'sui'ju'er'shen'qing'zi'kuang
而难于不恶,er'nan'yu'bu'e
而难于有礼,er'nan'yu'you'li
而难在好礼,er'nan'zai'hao'li
而难在用情,er'nan'zai'yong'qing
而平地反为苦海,er'ping'di'fan'wei'ku'hai
而气节千载一时,er'qi'jie'qian'zai'yi'shi
而上品禅师又成一下品俗士矣,er'shang'pin'chan'shi'you'cheng'yi'xia'pin'su'shi'yi
而稍为退步,er'shao'wei'tui'bu
而盛德多不矜不伐也,er'sheng'de'duo'bu'jin'bu'fa'ye
而世人假俭以饰其吝,er'shi'ren'jia'jian'yi'shi'qi'lin
而世人借勤以济其贪,er'shi'ren'jie'qin'yi'ji'qi'tan
而受人毁者遭一番讪谤便加一番修省,er'shou'ren'hui'zhe'zao'yi'fan'shan'bang'bian'jia'yi'fan'xiu'xing
而受人欺者遇一番横逆便长一番器宇,er'shou'ren'qi'zhe'yu'yi'fan'heng'ni'bian'chang'yi'fan'qi'yu
而水亦不留痕,er'shui'yi'bu'liu'hen
而俗子徒玩其光华,er'su'zi'tu'wan'qi'guang'hua
而畏理障之难除,er'wei'li'zhang'zhi'nan'chu
而我无嗔喜,er'wo'wu'chen'xi
而我无欣厌,er'wo'wu'xin'yan
而喜其易合,er'xi'qi'yi'he
而心境之芥蒂未忘,er'xin'jing'zhi'jie'di'wei'wang
而岩亦是坦途,er'yan'yi'shi'tan'tu
而耀采于夏月,er'yao'cai'yu'xia'yue
而一念及病时,er'yi'nian'ji'bing'shi
而一想到死地,er'yi'xiang'dao'si'di
而饮露于秋风,er'yin'lu'yu'qiu'feng
而隐者功,er'yin'zhe'gong
而隐者祸深,er'yin'zhe'huo'shen
而庸夫徒赏其迹象,er'yong'fu'tu'shang'qi'ji'xiang
二语并存,er'yu'bing'cun
而怨则不可不忘,er'yuan'ze'bu'ke'bu'wang
而在己则不可恕,er'zai'ji'ze'bu'ke'shu
而在人则不可忍,er'zai'ren'ze'bu'ke'ren
而泽短,er'ze'duan
而致迟,er'zhi'chi
耳中常闻逆耳之言,er'zhong'chang'wen'ni'er'zhi'yan
而子美云,er'zi'mei'yun
泛驾之马可就驰驱,fan'jia'zhi'ma'ke'jiu'chi'qu
烦恼更何侵,fan'nao'geng'he'qin
反伤雅道,fan'shang'ya'dao
翻视之,fan'shi'zhi
反为小人营私之具矣,fan'wei'xiao'ren'ying'si'zhi'ju'yi
反笑鹏心奢侈,fan'xiao'peng'xin'she'chi
繁衍自功业来者,fan'yan'zi'gong'ye'lai'zhe
犯着又是谁,fan'zhe'you'shi'shui
帆只扬五分,fan'zhi'yang'wu'fen
芳菲园林看蜂忙,fang'fei'yuan'lin'kan'feng'mang
方解开地网天罗,fang'jie'kai'de'wang'tian'luo
方可摆脱得幻乾坤,fang'ke'bai'tuo'de'huan'qian'kun
