阿弗它性口炎,a'fu'ta'xing'kou'yan
打样膏,da'yang'gao
带柄毛刷,dai'bing'mao'shua
戴牙,dai'ya
戴牙须知,dai'ya'xu'zhi
带状疱疹,dai'zhuang'pao'zhen
单纯疱疹病毒,dan'chun'pao'zhen'bing'du
单纯性牙周炎,dan'chun'xing'ya'zhou'yan
单颌全口义齿,dan'he'quan'kou'yi'chi
单头汞合金充填器,dan'tou'gong'he'jin'chong'tian'qi
第二周可吃软食,di'er'zhou'ke'chi'ruan'shi
第三周可吃普食,di'san'zhou'ke'chi'pu'shi
第四周可吃硬食,di'si'zhou'ke'chi'ying'shi
低速车针,di'su'che'zhen
地图舌,di'tu'she
低位,di'wei
底位,di'wei
第一周只戴不嚼食,di'yi'zhou'zhi'dai'bu'jiao'shi
垫底器械,dian'di'qi'xie
碘仿,dian'fang
碘仿纱条,dian'fang'sha'tiao
电活力测定,dian'huo'li'ce'ding
电蜡勺,dian'la'shao
点状,dian'zhuang
叠腮式技工钳,die'sai'shi'ji'gong'qian
丁香油粘固粉,ding'xiang'you'zhan'gu'fen
丁字挺,ding'zi'ting
杜拉菲勒,du'la'fei'le
断根术,duan'gen'shu
对颌伸长牙调颌,dui'he'shen'chang'ya'tiao'he
对颌牙伸长,dui'he'ya'shen'chang
多层色复色牙,duo'ceng'se'fu'se'ya
多聚甲醛干髓材料,duo'ju'jia'quan'gan'sui'cai'liao
多生牙,duo'sheng'ya
多形渗出性红肿,duo'xing'shen'chu'xing'hong'zhong
腭侧龋,e'ce'qu
腭侧深龋,e'ce'shen'qu
恶臭,e'chou
峨眉骨凿,e'mei'gu'zao
腭面龋,e'mian'qu
腭面深龋,e'mian'shen'qu
恶性多形性腺瘤,e'xing'duo'xing'xing'xian'liu
二层色树脂牙,er'ceng'se'shu'zhi'ya
二类洞制备,er'lei'dong'zhi'bei
儿童牙外伤,er'tong'ya'wai'shang
儿童牙周组织病,er'tong'ya'zhou'zu'zhi'bing
二小时后吃东西,er'xiao'shi'hou'chi'dong'xi
二小时后吃饭,er'xiao'shi'hou'chi'fan
发烧,fa'shao
翻瓣术,fan'ban'shu
反颌,fan'he
翻起,fan'qi
芳淳藻酸盐印模材,fang'chun'zao'suan'yan'yin'mo'cai
放射痛,fang'she'tong
放射性骨坏死,fang'she'xing'gu'huai'si
放射性口炎,fang'she'xing'kou'yan
非创伤性玻璃离子水门汀,fei'chuang'shang'xing'bo'li'li'zi'shui'men'ting
肥大性龈炎,fei'da'xing'yin'yan
非龋性疾病,fei'qu'xing'ji'bing
酚醛树脂液,fen'quan'shu'zhi'ye
缝合,feng'he
封口机,feng'kou'ji
封物脱落,feng'wu'tuo'luo
封物完好,feng'wu'wan'hao
氟斑牙,fu'ban'ya
复发坏死性粘液腺周围炎,fu'fa'huai'si'xing'nian'ye'xian'zhou'wei'yan
复发性口疮,fu'fa'xing'kou'chuang
覆盖法,fu'gai'fa
覆盖全口义齿,fu'gai'quan'kou'yi'chi
覆盖义齿修复,fu'gai'yi'chi'xiu'fu
覆盖义齿修复取模,fu'gai'yi'chi'xiu'fu'qu'mo
复盖龈红肿,fu'gai'yin'hong'zhong
复合树脂充填,fu'he'shu'zhi'chong'tian
复合树酯充填,fu'he'shu'zhi'chong'tian
复合体补充装,fu'he'ti'bu'chong'zhuang
氟化钠糊剂,fu'hua'na'hu'ji
氟化钠糊剂涂布,fu'hua'na'hu'ji'tu'bu
氟化泡沫,fu'hua'pao'mo
呋喃西林冲洗,fu'nan'xi'lin'chong'xi
复喃西林冲洗,fu'nan'xi'lin'chong'xi
复取模,fu'qu'mo
复色,fu'se
氟牙症,fu'ya'zheng
复诊,fu'zhen
钙化,gai'hua
盖随剂双层基,gai'sui'ji'shuang'ceng'ji
盖髓术,gai'sui'shu
干槽症,gan'cao'zheng
干尸剂,gan'shi'ji
干尸剂磷酸锌基,gan'shi'ji'lin'suan'xin'ji
干髓术,gan'sui'shu
钢丝结扎术,gang'si'jie'za'shu
钢托修复,gang'tuo'xiu'fu
钢托修复取模,gang'tuo'xiu'fu'qu'mo
刚玉牙模,gang'yu'ya'mo
高分子量仿生牙托粉,gao'fen'zi'liang'fang'sheng'ya'tuo'fen
高速车针,gao'su'che'zhen
高速涡轮机,gao'su'wo'lun'ji
高位,gao'wei
高温高压灭菌器,gao'wen'gao'ya'mie'jun'qi
根测仪,gen'ce'yi
根充糊剂加牙胶尖根充,gen'chong'hu'ji'jia'ya'jiao'jian'gen'chong
根充仪根管马达,gen'chong'yi'gen'guan'ma'da
根管测量台,gen'guan'ce'liang'tai
根管长度测量仪,gen'guan'chang'du'ce'liang'yi
根管充填器,gen'guan'chong'tian'qi
根管锉,gen'guan'cuo
根管锉盒,gen'guan'cuo'he
根管糊剂,gen'guan'hu'ji
根冠糊剂充填,gen'guan'hu'ji'chong'tian
根管糊剂充填,gen'guan'hu'ji'chong'tian
根管糊剂加碘仿加牙胶尖充填,gen'guan'hu'ji'jia'dian'fang'jia'ya'jiao'jian'chong'tian
根管糊剂加牙胶尖,gen'guan'hu'ji'jia'ya'jiao'jian
根管清洁糊剂,gen'guan'qing'jie'hu'ji
根管探针,gen'guan'tan'zhen
根管治疗,gen'guan'zhi'liao
根管治疗术,gen'guan'zhi'liao'shu
根管桩,gen'guan'zhuang
根尖病,gen'jian'bing
根尖病复诊,gen'jian'bing'fu'zhen
根尖部不肿胀不充血,gen'jian'bu'bu'zhong'zhang'bu'chong'xue
根尖部肿胀前庭沟变浅,gen'jian'bu'zhong'zhang'qian'ting'gou'bian'qian
根尖囊肿,gen'jian'nang'zhong
根尖切除术,gen'jian'qie'chu'shu
根尖区,gen'jian'qu
根尖区喇叭口,gen'jian'qu'la'ba'kou
根尖区粘膜红肿,gen'jian'qu'nian'mo'hong'zhong
根尖无稀疏区,gen'jian'wu'xi'shu'qu
根尖牙周联合病变,gen'jian'ya'zhou'lian'he'bing'bian
根尖阴影,gen'jian'yin'ying
根尖诱导成形术,gen'jian'you'dao'cheng'xing'shu
根尖有阴影,gen'jian'you'yin'ying
根尖周病,gen'jian'zhou'bing
根尖周炎,gen'jian'zhou'yan
根折,gen'zhe
汞合金充填器,gong'he'jin'chong'tian'qi
汞中毒,gong'zhong'du
沟纹舌,gou'wen'she
沟状,gou'zhuang
固定可摘联合义齿,gu'ding'ke'zhai'lian'he'yi'chi
固定修复体的基牙,gu'ding'xiu'fu'ti'de'ji'ya
固定义齿,gu'ding'yi'chi
骨尖,gu'jian
骨孔测试器,gu'kong'ce'shi'qi
骨窿突,gu'long'tu
骨隆突修整术,gu'long'tu'xiu'zheng'shu
骨凸,gu'tu
固位体,gu'wei'ti
固位稳定原理,gu'wei'wen'ding'yuan'li
骨纤维异常增殖症,gu'xian'wei'yi'chang'zeng'zhi'zheng
固有层,gu'you'ceng
骨折愈合的机理,gu'zhe'yu'he'de'ji'li
骨折愈合的特点,gu'zhe'yu'he'de'te'dian
刮爬复位,gua'pa'fu'wei
刮治器,gua'zhi'qi
冠壁缺损至龈下,guan'bi'que'sun'zhi'yin'xia
关节外强直,guan'jie'wai'qiang'zhi
冠周脓肿,guan'zhou'nong'zhong
冠周炎,guan'zhou'yan
灌注模型,guan'zhu'mo'xing
光固化,guang'gu'hua
光固化充填,guang'gu'hua'chong'tian
光固化雕刻刀,guang'gu'hua'diao'ke'dao
光固化机,guang'gu'hua'ji
光固化树脂,guang'gu'hua'shu'zhi
光纤高速手机,guang'xian'gao'su'shou'ji
光泽度,guang'ze'du
过小牙,guo'xiao'ya
胲下淋巴结,hai'xia'lin'ba'jie
胲下淋巴结肿大,hai'xia'lin'ba'jie'zhong'da
焊接技术,han'jie'ji'shu
焊接枪,han'jie'qiang
寒天恒温器,han'tian'heng'wen'qi
杭州奥杰,hang'zhou'ao'jie
毫米,hao'mi
颌骨结核梅毒,he'gu'jie'he'mei'du
颌骨育畸形,he'gu'yu'ji'xing
颌关系错颌,he'guan'xi'cuo'he
颌关系错误,he'guan'xi'cuo'wu
颌关系过低,he'guan'xi'guo'di
颌关系过高,he'guan'xi'guo'gao
颌关系异常,he'guan'xi'yi'chang
合金助焊剂,he'jin'zhu'han'ji
合理的排牙有利于固位的形态,he'li'de'pai'ya'you'li'yu'gu'wei'de'xing'tai
颌面部放线菌病,he'mian'bu'fang'xian'jun'bing
颌面部火器伤的致伤因素,he'mian'bu'huo'qi'shang'de'zhi'shang'yin'su
颌面部间隙感染,he'mian'bu'jian'xi'gan'ran
颌面部缺损修复,he'mian'bu'que'sun'xiu'fu
颌面部整复手术,he'mian'bu'zheng'fu'shou'shu
颌面磨耗,he'mian'mo'hao
颌面龋,he'mian'qu
颌面深龋,he'mian'shen'qu
颌面严重磨耗,he'mian'yan'zhong'mo'hao
颌平面板,he'ping'mian'ban
颌平面歪,he'ping'mian'wai
颌位关系的记录,he'wei'guan'xi'de'ji'lu
颌位关系的转移,he'wei'guan'xi'de'zhuan'yi
颌下淋巴结,he'xia'lin'ba'jie
颌下淋巴结不肿大,he'xia'lin'ba'jie'bu'zhong'da
颌下淋巴结肿大,he'xia'lin'ba'jie'zhong'da
颌下腺,he'xia'xian
颌支托窝制备,he'zhi'tuo'wo'zhi'bei
颌周间隙感染,he'zhou'jian'xi'gan'ran
红蜡片,hong'la'pian
红肿,hong'zhong
后垫区,hou'dian'qu
后牙根管桩,hou'ya'gen'guan'zhuang
沪鸽牙,hu'ge'ya
呼吸遇冷风酸痛,hu'xi'yu'leng'feng'suan'tong
化脓性根尖周炎,hua'nong'xing'gen'jian'zhou'yan
化脓性颌骨骨髓炎,hua'nong'xing'he'gu'gu'sui'yan
花纹蜡片,hua'wen'la'pian
坏死性龈口炎,huai'si'xing'yin'kou'yan
黄褐色,huang'he'se
黄金瓷牙制备,huang'jin'ci'ya'zhi'bei
黄金冠,huang'jin'guan
黄金托修复,huang'jin'tuo'xiu'fu
黄金托修复取模,huang'jin'tuo'xiu'fu'qu'mo
混合锉,hun'he'cuo
活动牙托,huo'dong'ya'tuo
活力,huo'li
活力有无,huo'li'you'wu
活髓牙漂白术,huo'sui'ya'piao'bai'zhu
基础医学,ji'chu'yi'xue
系带区,ji'dai'qu
基底膜复合物,ji'di'mo'fu'he'wu
技工打磨机,ji'gong'da'mo'ji
技工榔头,ji'gong'lang'tou
技工抛磨机,ji'gong'pao'mo'ji
极固宁,ji'gu'ning
即刻义齿修复模,ji'ke'yi'chi'xiu'fu'mo
棘轮单向扳手,ji'lun'dan'xiang'ban'shou
肌上皮瘤,ji'shang'pi'liu
即时全口义齿,ji'shi'quan'kou'yi'chi
即时义齿修复,ji'shi'yi'chi'xiu'fu
及髓,ji'sui
及髓颈部龋,ji'sui'jing'bu'qu
基托,ji'tuo
基托范围,ji'tuo'fan'wei
畸形,ji'xing
急性根尖炎,ji'xing'gen'jian'yan
急性根尖周炎,ji'xing'gen'jian'zhou'yan
急性化脓性腮腺炎,ji'xing'hua'nong'xing'sai'xian'yan
急性假膜型,ji'xing'jia'mo'xing
急性淋巴结炎,ji'xing'lin'ba'jie'yan
畸形舌侧窝,ji'xing'she'ce'wo
急性萎缩型,ji'xing'wei'suo'xing
急性牙髓炎,ji'xing'ya'sui'yan
基牙,ji'ya
基牙扭转,ji'ya'niu'zhuan
基牙情况良好,ji'ya'qing'kuang'liang'hao
基牙倾斜,ji'ya'qing'xie
基牙尚好,ji'ya'shang'hao
基牙松动,ji'ya'song'dong
基牙稳定,ji'ya'wen'ding
基牙向缺牙区倾斜,ji'ya'xiang'que'ya'qu'qing'xie
机用扩大锉,ji'yong'kuo'da'cuo
机用扩孔钻,ji'yong'kuo'kong'zuan
颊侧颈部锲状缺损,jia'ce'jing'bu'qie'zhuang'que'sun
颊侧龋,jia'ce'qu
加瓷边烤瓷牙修复法,jia'ci'bian'kao'ci'ya'xiu'fu'fa
甲基丙烯酸甲酯类塑料用于修复体的使用技术,jia'ji'bing'xi'suan'jia'zhi'lei'su'liao'yong'yu'xiu'fu'ti'de'shi'yong'ji'shu
加聚硅橡胶印模材,jia'ju'gui'xiang'jiao'yin'mo'cai
加蜡牙线,jia'la'ya'xian
颊瘘,jia'lou
颊瘘形成,jia'lou'xing'cheng
颊面龋,jia'mian'qu
颊面深龋,jia'mian'shen'qu
加热牙胶充填系统,jia're'ya'jiao'chong'tian'xi'tong
夹砂纸针,jia'sha'zhi'zhen
夹石针,jia'shi'zhen
假牙咀嚼不适,jia'ya'ju'jue'bu'shi
假牙咀嚼疼痛,jia'ya'ju'jue'teng'tong
间接贴面粘结修复的基本技术,jian'jie'tie'mian'nian'jie'xiu'fu'de'ji'ben'ji'shu
尖锐湿疣,jian'rui'shi'you
间隙大,jian'xi'da
尖牙冠,jian'ya'guan
建议,jian'yi
胶托修复,jiao'tuo'xiu'fu
胶托修复取模,jiao'tuo'xiu'fu'qu'mo
矫形丝,jiao'xing'si
接触性口炎,jie'chu'xing'kou'yan
解剖式咬合器,jie'pou'shi'yao'he'qi
洁牙机,jie'ya'ji
结扎软丝,jie'za'ruan'si
结扎丝绷紧器,jie'za'si'beng'jin'qi
介质测量台,jie'zhi'ce'liang'tai
洁治器,jie'zhi'qi
金瓷套修复法,jin'ci'tao'xiu'fu'fa
金瓷牙固定桥制备,jin'ci'ya'gu'ding'qiao'zhi'bei
金钢砂车针,jin'gang'sha'che'zhen
金刚砂片,jin'gang'sha'pian
金冠剪,jin'guan'jian
金冠破除钳,jin'guan'po'chu'qian
近颌面龋,jin'he'mian'qu
近颌面深龋,jin'he'mian'shen'qu
禁忌症,jin'ji'zheng
进口牙,jin'kou'ya
进口粘固剂粘固,jin'kou'zhan'gu'ji'zhan'gu
近切角深龋,jin'qie'jiao'shen'qu
金属柄牙挺,jin'shu'bing'ya'ting
近髓,jin'sui
金托修复取模,jin'tuo'xiu'fu'qu'mo
近中邻颌面深龋,jin'zhong'lin'he'mian'shen'qu
近中邻面龋,jin'zhong'lin'mian'qu
近中邻面深龋,jin'zhong'lin'mian'shen'qu
近中斜位阻生,jin'zhong'xie'wei'zu'sheng
颈部龋,jing'bu'qu
颈部深龋,jing'bu'shen'qu
局部脓肿切开,ju'bu'nong'zhong'qie'kai
局部牙托,ju'bu'ya'tuo
局部龈上洁治术,ju'bu'yin'shang'jie'zhi'shu
局部龈下刮治术,ju'bu'yin'xia'gua'zhi'shu
咀嚼痛,ju'jue'tong
剧烈痛,ju'lie'tong
局麻下,ju'ma'xia
局麻下拔除,ju'ma'xia'ba'chu
局麻下切开凿骨劈牙挺出,ju'ma'xia'qie'kai'zao'gu'pi'ya'ting'chu
局麻下去冠髓,ju'ma'xia'qu'guan'sui
聚羧酸锌,ju'suo'suan'xin
聚羧酸锌水门汀,ju'suo'suan'xin'shui'men'ting
菌斑,jun'ban
卡环蜡,ka'huan'la
卡环钳,ka'huan'qian
卡环太松,ka'huan'tai'song
卡瑞斯玛,ka'rui'si'ma
卡它性龈炎,ka'ta'xing'yin'yan
开放,kai'fang
烤瓷包埋料,kao'ci'bao'mai'liao
烤瓷包埋液,kao'ci'bao'mai'ye
烤瓷修复体的制作技术,kao'ci'xiu'fu'ti'de'zhi'zuo'ji'shu
烤瓷藻酸盐印模材,kao'ci'zao'suan'yan'yin'mo'cai
柯伯脂含氟涂膜,ke'bo'zhi'han'fu'tu'mo
刻度探针,ke'du'tan'zhen
可调磨锥状螺纹种植体,ke'tiao'mo'zhui'zhuang'luo'wen'zhong'zhi'ti
可摘部分义齿,ke'zhai'bu'fen'yi'chi
空管,kong'guan
空心取骨环钻,kong'xin'qu'gu'huan'zuan
口臭,kou'chou
口底,kou'di
口呼吸增生性龈炎,kou'hu'xi'zeng'sheng'xing'yin'yan
口角炎,kou'jiao'yan
口镜柄,kou'jing'bing
口镜头,kou'jing'tou
口腔白斑病,kou'qiang'bai'ban'bing
口腔白色角化病,kou'qiang'bai'se'jiao'hua'bing
口腔本部,kou'qiang'ben'bu
口腔扁平苔癣,kou'qiang'bian'ping'tai'xuan
口腔单纯疱疹,kou'qiang'dan'chun'pao'zhen
口腔颌面部的囊肿,kou'qiang'he'mian'bu'de'nang'zhong
口腔颌面部感染,kou'qiang'he'mian'bu'gan'ran
口腔颌面部后天资畸形和缺损,kou'qiang'he'mian'bu'hou'tian'zi'ji'xing'he'que'sun
口腔颌面部局麻操作方法,kou'qiang'he'mian'bu'ju'ma'cao'zuo'fang'fa
口腔颌面部囊肿,kou'qiang'he'mian'bu'nang'zhong
口腔颌面部损伤,kou'qiang'he'mian'bu'sun'shang
口腔颌面部损伤的急救处理原则,kou'qiang'he'mian'bu'sun'shang'de'ji'jiu'chu'li'yuan'ze
口腔颌面部肿瘤,kou'qiang'he'mian'bu'zhong'liu
口腔颌面材料麻醉与镇痛,kou'qiang'he'mian'cai'liao'ma'zui'yu'zhen'tong
口腔颌面外科学,kou'qiang'he'mian'wai'ke'xue
口腔颌面外临床检查,kou'qiang'he'mian'wai'lin'chuang'jian'cha
口腔红斑病,kou'qiang'hong'ban'bing
口腔检查盘,kou'qiang'jian'cha'pan
口腔结核,kou'qiang'jie'he
口腔解剖生理学,kou'qiang'jie'pou'sheng'li'xue
口腔局部麻醉技术,kou'qiang'ju'bu'ma'zui'ji'shu
口腔囊肿摘除术,kou'qiang'nang'zhong'zhai'chu'shu
口腔粘膜癌,kou'qiang'nian'mo'ai
口腔粘膜斑纹类疾病,kou'qiang'nian'mo'ban'wen'lei'ji'bing
口腔粘膜变态反应疾病,kou'qiang'nian'mo'bian'tai'fan'ying'ji'bing
口腔粘膜病,kou'qiang'nian'mo'bing
口腔粘膜大疱类疾病,kou'qiang'nian'mo'da'pao'lei'ji'bing
口腔粘膜大疱性类天疱疮,kou'qiang'nian'mo'da'pao'xing'lei'tian'pao'chuang
口腔粘膜的屏障功能,kou'qiang'nian'mo'de'ping'zhang'gong'neng
口腔粘膜肉芽肿性疾病,kou'qiang'nian'mo'rou'ya'zhong'xing'ji'bing
口腔粘膜色素异常,kou'qiang'nian'mo'se'su'yi'chang
口腔粘膜上皮组织,kou'qiang'nian'mo'shang'pi'zu'zhi
口腔念珠菌病,kou'qiang'nian'zhu'jun'bing
口腔前庭,kou'qiang'qian'ting
口腔上颌窦瘘修补术,kou'qiang'shang'he'dou'lou'xiu'bu'shu
口腔卫生情况,kou'qiang'wei'sheng'qing'kuang
口腔修复学,kou'qiang'xiu'fu'xue
口腔修复学是研究用符合生理的人工修复方法修复口腔和颌面,kou'qiang'xiu'fu'xue'shi'yan'jiu'yong'fu'he'sheng'li'de'ren'gong'xiu'fu'fang'fa'xiu'fu'kou'qiang'he'he'mian
口腔预备,kou'qiang'yu'bei
口腔正畸学,kou'qiang'zheng'ji'xue
口腔种植的分子生物学基础,kou'qiang'zhong'zhi'de'fen'zi'sheng'wu'xue'ji'chu
口腔种植手术,kou'qiang'zhong'zhi'shou'shu
口腔组织病理学,kou'qiang'zu'zhi'bing'li'xue
叩痛,kou'tong
口外弓,kou'wai'gong
跨过边缘脊,kua'guo'bian'yuan'ji
跨过边缘嵴,kua'guo'bian'yuan'ji
眶底骨折,kuang'di'gu'zhe
溃疡,kui'yang
扩大锉,kuo'da'cuo
扩大凝胶,kuo'da'ning'jiao
扩大液,kuo'da'ye
扩大针,kuo'da'zhen
扩大针测量器,kuo'da'zhen'ce'liang'qi
扩散途径,kuo'san'tu'jing
蜡片,la'pian
蜡线条,la'xian'tiao
蜡型工具,la'xing'gong'ju
兰馨藻酸盐印模材,lan'xin'zao'suan'yan'yin'mo'cai
蕾状期,lei'zhuang'qi
冷冻麻醉,leng'dong'ma'zui
冷热刺激痛,leng're'ci'ji'tong
冷热酸痛,leng're'suan'tong
冷热痛,leng're'tong
冷热诊刺激痛,leng're'zhen'ci'ji'tong
冷热诊剧烈痛,leng're'zhen'ju'lie'tong
冷热诊无不适,leng're'zhen'wu'bu'shi
冷诊,leng'zhen
冷诊酸痛,leng'zhen'suan'tong
立式牙钻机,li'shi'ya'zuan'ji
李一弗病,li'yi'fu'bing
连接体,lian'jie'ti
连体式牙科治疗机,lian'ti'shi'ya'ke'zhi'liao'ji
连体式牙科综合治疗机,lian'ti'shi'ya'ke'zong'he'zhi'liao'ji
良好,liang'hao
淋巴管瘤,lin'ba'guan'liu
淋巴上皮病,lin'ba'shang'pi'bing
临床光固化修补,lin'chuang'guang'gu'hua'xiu'bu
临床修补,lin'chuang'xiu'bu
临时冠,lin'shi'guan
磷酸包埋料,lin'suan'bao'mai'liao
磷酸包埋液,lin'suan'bao'mai'ye
磷酸锌封,lin'suan'xin'feng
磷酸锌封口,lin'suan'xin'feng'kou
磷酸锌基,lin'suan'xin'ji
磷酸锌粘固,lin'suan'xin'zhan'gu
磷酸锌粘固粉,lin'suan'xin'zhan'gu'fen
磷酸锌粘固液,lin'suan'xin'zhan'gu'ye
磷中毒,lin'zhong'du
鳞状细胞癌,lin'zhuang'xi'bao'ai
菱形舌,ling'xing'she
六方基桩,liu'fang'ji'zhuang
六方连杆,liu'fang'lian'gan
硵亚明冲洗,lu'ya'ming'chong'xi
螺旋扩弓器,luo'xuan'kuo'gong'qi
螺旋药输送针,luo'xuan'yao'shu'song'zhen
铝盒,lv'he
铝核瓷全冠,lv'he'ci'quan'guan
氯亚明冲洗,lv'ya'ming'chong'xi
埋伏,mai'fu
慢性肥厚型,man'xing'fei'hou'xing
慢性根尖囊肿,man'xing'gen'jian'nang'zhong
慢性根尖脓肿,man'xing'gen'jian'nong'zhong
慢性根尖肉芽肿,man'xing'gen'jian'rou'ya'zhong
慢性根尖炎,man'xing'gen'jian'yan
慢性根尖炎急性发作,man'xing'gen'jian'yan'ji'xing'fa'zuo
慢性根尖周炎,man'xing'gen'jian'zhou'yan
慢性淋巴结炎的诊断及鉴别诊断,man'xing'lin'ba'jie'yan'de'zhen'duan'ji'jian'bie'zhen'duan
慢性涎腺炎,man'xing'xian'xian'yan
慢性牙髓炎,man'xing'ya'sui'yan
慢性牙髓炎急性发作,man'xing'ya'sui'yan'ji'xing'fa'zuo
盲袋双氧水加生理盐水交替冲洗,mang'dai'shuang'yang'shui'jia'sheng'li'yan'shui'jiao'ti'chong'xi
毛舌,mao'she
帽状期,mao'zhuang'qi
美国烧瓷牙制备,mei'guo'shao'ci'ya'zhi'bei
每周复诊一次,mei'zhou'fu'zhen'yi'ci
扪痛,men'tong
门诊严格执行拔牙前三问三查制度,men'zhen'yan'ge'zhi'xing'ba'ya'qian'san'wen'san'cha'zhi'du
