阿维,a'wei
单甲脒,dan'jia'mi
淡紫拟青霉,dan'zi'ni'qing'mei
稻丰散,dao'feng'san
稻瘟净,dao'wen'jing
稻瘟灵,dao'wen'ling
稻瘟酰胺,dao'wen'xian'an
稻瘟酯,dao'wen'zhi
敌百虫,di'bai'chong
地虫硫磷,di'chong'liu'lin
敌磺钠,di'huang'na
低聚糖素,di'ju'tang'su
敌菌丹,di'jun'dan
敌菌灵,di'jun'ling
敌枯双,di'ku'shuang
敌瘟磷,di'wen'lin
地衣芽孢杆菌,di'yi'ya'bao'gan'jun
丁吡吗啉,ding'bi'ma'lin
丁氟螨酯,ding'fu'man'zhi
啶菌噁唑,ding'jun'e'zuo
丁硫克百威,ding'liu'ke'bai'wei
丁醚脲,ding'mi'niao
丁烯氟虫腈,ding'xi'fu'chong'jing
丁香菌酯,ding'xiang'jun'zhi
啶氧菌酯,ding'yang'jun'zhi
丁子香酚,ding'zi'xiang'fen
东莨菪,dong'lang'dang
毒氟磷,du'fu'lin
毒杀芬,du'sha'fen
杜仲甙,du'zhong'dai
短短小芽孢杆菌,duan'duan'xiao'ya'bao'gan'jun
对氯二甲苯酚,dui'lv'er'jia'ben'fen
多菌灵磺酸盐,duo'jun'ling'huang'suan'yan
多硫化钡,duo'liu'hua'bei
多氯萘类,duo'lv'nai'lei
多粘类芽孢杆菌,duo'zhan'lei'ya'bao'gan'jun
噁虫威,e'chong'wei
噁霜灵,e'shuang'ling
噁唑菌酮,e'zuo'jun'tong
二苯胺,er'ben'an
儿茶素,er'cha'su
二甲基二硫醚,er'jia'ji'er'liu'mi
二硫氰基甲烷,er'liu'qing'ji'jia'wan
二氯苯醚菊酯,er'lv'ben'mi'ju'zhi
二氯异氰尿酸钠,er'lv'yi'qing'niao'suan'na
耳霉菌,er'mei'jun
二嗪磷,er'qin'lin
二氰蒽醌,er'qing'en'kun
二十碳烯酮,er'shi'tan'xi'tong
二溴磷,er'xiu'lin
二溴氯丙烷,er'xiu'lv'bing'wan
二氧化氯,er'yang'hua'lv
发硫磷,fa'liu'lin
放射土壤杆菌,fang'she'tu'rang'gan'jun
仿生安,fang'sheng'an
放线菌酮,fang'xian'jun'tong
粉唑醇,fen'zuo'chun
氟胺氰菊酯,fu'an'qing'ju'zhi
氟吡菌胺,fu'bi'jun'an
氟丙菊酯,fu'bing'ju'zhi
氟虫腈,fu'chong'jing
伏虫隆,fu'chong'long
氟虫脲,fu'chong'niao
氟啶胺,fu'ding'an
氟啶虫酰胺,fu'ding'chong'xian'an
氟硅菊酯,fu'gui'ju'zhi
氟化钠,fu'hua'na
氟环唑,fu'huan'zuo
氟菌唑,fu'jun'zuo
氟吗啉,fu'ma'lin
氟螨,fu'man
氟螨嗪,fu'man'qin
福美甲胂,fu'mei'jia'shen
福美胂,fu'mei'shen
福美锌,fu'mei'xin
呋喃虫酰肼,fu'nan'chong'xian'jing
氟氰戊菊酯,fu'qing'wu'ju'zhi
伏杀硫磷,fu'sha'liu'lin
氟酰胺,fu'xian'an
呋线威,fu'xian'wei
腐殖酸,fu'zhi'suan
腐殖酸钠,fu'zhi'suan'na
腐殖酸铜,fu'zhi'suan'tong
高锰酸钾,gao'meng'suan'jia
高效反式氯氰菊酯,gao'xiao'fan'shi'lv'qing'ju'zhi
高脂膜,gao'zhi'mo
咯菌腈,ge'jun'jing
汞化合物,gong'hua'he'wu
公主岭霉素,gong'zhu'ling'mei'su
菇类蛋白多糖,gu'lei'dan'bai'duo'tang
寡雄腐霉菌,gua'xiong'fu'mei'jun
硅噻菌胺,gui'sai'jun'an
硅藻土,gui'zao'tu
果面表光,guo'mian'biao'guang
过氧乙酸,guo'yang'yi'suan
韩乐宁暂定,han'le'ning'zan'ding
红铃虫性诱素,hong'ling'chong'xing'you'su
厚孢轮枝菌,hou'bao'lun'zhi'jun
琥胶肥酸铜,hu'jiao'fei'suan'tong
胡椒基丁醚,hu'jiao'ji'ding'mi
琥珀酸铜,hu'po'suan'tong
华光霉素,hua'guang'mei'su
化合物,hua'he'wu
环丙唑醇,huan'bing'zuo'chun
环己基甲酸锌,huan'ji'ji'jia'suan'xin
黄腐酸,huang'fu'suan
磺化全氟辛烷锂,huang'hua'quan'fu'xin'wan'li
黄芩甙,huang'qin'dai
挥发油,hui'fa'you
茴蒿素,hui'hao'su
混合氨基酸镁,hun'he'an'ji'suan'mei
混合氨基酸锰,hun'he'an'ji'suan'meng
混合氨基酸铜,hun'he'an'ji'suan'tong
混合氨基酸铜锌锰镁,hun'he'an'ji'suan'tong'xin'meng'mei
混合氨基酸锌,hun'he'an'ji'suan'xin
混合脂肪酸,hun'he'zhi'fang'suan
混灭威,hun'mie'wei
几丁聚糖,ji'ding'ju'tang
机油,ji'you
甲氨基阿维菌素,jia'an'ji'a'wei'jun'su
甲氨基阿维菌素苯甲酸盐,jia'an'ji'a'wei'jun'su'ben'jia'suan'yan
甲拌磷,jia'ban'lin
假单孢菌,jia'dan'bao'jun
甲呋酰胺,jia'fu'xian'an
甲磺虫腙,jia'huang'chong'zong
甲基毒死蜱,jia'ji'du'si'pi
甲基立枯磷,jia'ji'li'ku'lin
甲基硫环磷,jia'ji'liu'huan'lin
甲基嘧啶磷,jia'ji'mi'ding'lin
甲基胂酸锌,jia'ji'shen'suan'xin
甲基十八烯,jia'ji'shi'ba'xi
甲基辛硫磷,jia'ji'xin'liu'lin
甲猛素,jia'meng'su
甲萘威,jia'nai'wei
甲羟鎓,jia'qiang'weng
甲霜灵,jia'shuang'ling
甲维,jia'wei
甲维盐,jia'wei'yan
甲香菌酯,jia'xiang'jun'zhi
甲氧滴滴涕,jia'yang'di'di'ti
碱式硫酸铜,jian'shi'liu'suan'tong
焦亚硫酸钠,jiao'ya'liu'suan'na
捷安肽素暂定,jie'an'tai'su'zan'ding
金核霉素,jin'he'mei'su
腈苯唑,jing'ben'zuo
井冈霉素,jing'gang'mei'a
井冈霉素,jing'gang'mei'su
精高效氯氟氰菊酯,jing'gao'xiao'lv'fu'qing'ju'zhi
精甲霜灵,jing'jia'shuang'ling
腈菌唑,jing'jun'zuo
京尼平甙,jing'ni'ping'dai
聚半乳糖醛酸酶,ju'ban'ru'tang'quan'suan'mei
菌毒清,jun'du'qing
菌核净,jun'he'jing
开蓬,kai'peng
莰酮,kan'tong
抗蚜威,kang'ya'wei
克百威,ke'bai'wei
克菌丹,ke'jun'dan
克菌壮,ke'jun'zhuang
可可油,ke'ke'you
苦豆子总碱,ku'dou'zi'zong'jian
苦皮藤素,ku'pi'teng'su
苦参碱,ku'shen'jian
矿物油,kuang'wu'you
喹啉铜,kui'lin'tong
喹硫磷,kui'liu'lin
喹螨醚,kui'man'mi
辣根素,la'gen'su
辣椒碱,la'jiao'jian
蜡质芽孢杆菌,la'zhi'ya'bao'gan'jun
莨菪碱,lang'dang'jian
狼毒素,lang'du'su
乐果,le'guo
乐杀螨,le'sha'man
乐斯灵暂定名,le'si'ling'zan'ding'ming
类产碱假单孢菌,lei'chan'jian'jia'dan'bao'jun
雷公藤甲素,lei'gong'teng'jia'su
藜芦碱,li'lu'jian
联苯肼酯,lian'ben'jing'zhi
联苯三唑醇,lian'ben'san'zuo'chun
链霉素,lian'mei'su
楝素,lian'su
邻苯基苯酚,lin'ben'ji'ben'fen
邻苯基苯酚钠,lin'ben'ji'ben'fen'na
林丹,lin'dan
磷化铝,lin'hua'lv
磷化镁,lin'hua'mei
磷化氢,lin'hua'qing
邻甲氧基酚,lin'jia'yang'ji'fen
邻烯丙基苯酚,lin'xi'bing'ji'ben'fen
邻酰胺,lin'xian'an
硫丙磷,liu'bing'lin
硫代碳酸钠,liu'dai'tan'suan'na
硫丹,liu'dan
硫氟肟醚,liu'fu'wo'mi
硫环磷,liu'huan'lin
硫磺,liu'huang
六氯苯,liu'lv'ben
硫双威,liu'shuang'wei
硫酸链霉素,liu'suan'lian'mei'su
硫酸四氨络合锌,liu'suan'si'an'luo'he'xin
硫酸铜,liu'suan'tong
硫酸铜钙,liu'suan'tong'gai
硫酸锌,liu'suan'xin
硫肟醚,liu'wo'mi
硫线磷,liu'xian'lin
浏阳霉素,liu'yang'mei'su
络氨铜,luo'an'tong
螺虫乙酯,luo'chong'yi'zhi
螺螨酯,luo'man'zhi
氯胺磷,lv'an'lin
氯苯嘧啶醇,lv'ben'mi'ding'chun
氯苯肟唑建议,lv'ben'wo'zuo'jian'yi
氯虫苯甲酰胺,lv'chong'ben'jia'xian'an
氯虫酰肼,lv'chong'xian'jing
氯丹,lv'dan
氯啶菌酯,lv'ding'jun'zhi
绿僵菌,lv'jiang'jun
氯菊酯,lv'ju'zhi
氯霉素,lv'mei'su
氯氰菊酯,lv'qing'ju'zhi
氯溴异氰尿酸,lv'xiu'yi'qing'niao'suan
氯亚胺硫磷,lv'ya'an'liu'lin
氯唑磷,lv'zuo'lin
马拉硫磷,ma'la'liu'lin
马钱子碱,ma'qian'zi'jian
螨胺磷,man'an'lin
猛杀威,meng'sha'wei
嘧啶核苷类抗菌素,mi'ding'he'gan'lei'kang'jun'su
嘧啶磷,mi'ding'lin
醚菊酯,mi'ju'zhi
嘧菌环胺,mi'jun'huan'an
醚菌酯,mi'jun'zhi
嘧菌酯,mi'jun'zhi
嘧螨酯,mi'man'zhi
嘧肽霉素,mi'tai'mei'su
咪鲜胺锰盐,mi'xian'an'meng'yan
棉铃虫病毒基因工程株号,mian'ling'chong'bing'du'ji'yin'gong'cheng'zhu'hao
棉铃虫核型多角体病毒,mian'ling'chong'he'xing'duo'jiao'ti'bing'du
棉隆,mian'long
灭害威,mie'hai'wei
灭菌丹,mie'jun'dan
灭菌唑,mie'jun'zuo
灭瘟素,mie'wen'su
灭线磷,mie'xian'lin
灭锈胺,mie'xiu'an
灭蚁灵,mie'yi'ling
木霉菌,mu'mei'jun
苜蓿银纹夜蛾核型多角体病毒,mu'xu'yin'wen'ye'e'he'xing'duo'jiao'ti'bing'du
木烟碱,mu'yan'jian
纳他霉素,na'ta'mei'su
闹羊花素,nao'yang'hua'su
内吸磷,nei'xi'lin
粘虫核型多角体病毒,nian'chong'he'xing'duo'jiao'ti'bing'du
粘虫颗粒体病毒,nian'chong'ke'li'ti'bing'du
柠檬醛,ning'meng'quan
柠檬酸铜,ning'meng'suan'tong
宁南霉素,ning'nan'mei'su
牛心朴子生物碱,niu'xin'pu'zi'sheng'wu'jian
葡聚寡糖素,pu'ju'gua'tang'su
葡聚烯糖,pu'ju'xi'tang
七氟菊酯,qi'fu'ju'zhi
七氯,qi'lv
羟基二甲基壬酮,qiang'ji'er'jia'ji'ren'tong
氰氨化钙,qing'an'hua'gai
青岛星牌,qing'dao'xing'pai
氰氟虫腙,qing'fu'chong'zong
氰化钠,qing'hua'na
氰霜唑,qing'shuang'zuo
氰戊菊酯,qing'wu'ju'zhi
氰烯菌酯,qing'xi'jun'zhi
氢氧化铜,qing'yang'hua'tong
氢氧化铜氯化钙重盐,qing'yang'hua'tong'lv'hua'gai'zhong'yan
球孢白僵菌,qiu'bao'bai'jiang'jun
去氢枞酸铜,qu'qing'cong'suan'tong
炔螨特,que'man'te
炔咪菊酯,que'mi'ju'zhi
壬菌铜,ren'jun'tong
瑞拉菌素,rui'la'jun'su
瑞香狼毒素,rui'xiang'lang'du'su
噻虫胺,sai'chong'an
噻虫啉,sai'chong'lin
噻虫嗪,sai'chong'qin
噻菌灵,sai'jun'ling
噻菌茂,sai'jun'mao
噻菌铜,sai'jun'tong
噻霉酮,sai'mei'tong
噻嗪酮,sai'qin'tong
噻唑膦,sai'zuo'lin
噻唑锌,sai'zuo'xin
三苯基氢氧化锡,san'ben'ji'qing'yang'hua'xi
三苯基乙酸锡,san'ben'ji'yi'suan'xi
三氮唑核苷,san'dan'zuo'he'gan
三氟甲吡醚,san'fu'jia'bi'mi
三环锡,san'huan'xi
三环唑,san'huan'zuo
三磷锡,san'lin'xi
三硫磷,san'liu'lin
三氯杀螨砜,san'lv'sha'man'feng
三氯异氰尿酸,san'lv'yi'qing'niao'suan
三乙膦酸铝,san'yi'lin'suan'lv
三唑醇,san'zuo'chun
三唑酮,san'zuo'tong
杀虫安,sha'chong'an
杀虫单,sha'chong'dan
杀虫单铵,sha'chong'dan'an
杀虫钉,sha'chong'ding
杀虫环,sha'chong'huan
杀虫磺,sha'chong'huang
杀虫脒,sha'chong'mi
杀虫双,sha'chong'shuang
杀铃脲,sha'ling'niao
杀螨特,sha'man'te
杀螟丹,sha'ming'dan
杀螟腈,sha'ming'jing
杀螟硫磷,sha'ming'liu'lin
杀线威,sha'xian'wei
山莨菪碱,shan'liang'dang'jian
蛇床子素,she'chuang'zi'su
申嗪霉素,shen'qin'mei'su
砷制剂,shen'zhi'ji
十二碳烯醇,shi'er'tan'xi'chun
十二烷基苄基二甲基氯化铵,shi'er'wan'ji'bian'ji'er'jia'ji'lv'hua'an
十二烷基硫酸钠,shi'er'wan'ji'liu'suan'na
石蜡油,shi'la'you
石硫合剂,shi'liu'he'ji
虱螨脲,shi'man'niao
十三吗啉,shi'san'ma'lin
十四碳二烯醇,shi'si'tan'er'xi'chun
十四碳二烯乙酸酯,shi'si'tan'er'xi'yi'suan'zhi
双胍三辛烷基苯磺酸盐,shuang'gua'san'xin'wan'ji'ben'huang'suan'yan
双胍辛胺,shuang'gua'xin'an
双甲脒,shuang'jia'mi
霜霉威乙膦酸盐,shuang'mei'wei'yi'lin'suan'yan
霜脲氰,shuang'niao'qing
双炔酰菌胺,shuang'que'xian'jun'an
水胺硫磷,shui'an'liu'lin
水胆矾,shui'dan'fan
水合霉素,shui'he'mei'su
水杨菌胺,shui'yang'jun'an
水杨酸,shui'yang'suan
水杨酸钠,shui'yang'suan'na
四氟甲醚菊酯,si'fu'jia'mi'ju'zhi
四氯苯酞,si'lv'ben'tai
四螨嗪,si'man'qin
四霉素,si'mei'su
四溴菊酯,si'xiu'ju'zhi
松碱柴油,song'jian'chai'you
松毛虫质型多角体病毒,song'mao'chong'zhi'xing'duo'jiao'ti'bing'du
松脂酸钠,song'zhi'suan'na
松脂酸铜,song'zhi'suan'tong
速灭磷,su'mie'lin
速灭威,su'mie'wei
速杀硫磷,su'sha'liu'lin
苏云金杆菌,su'yun'jin'gan'jun
苏云金杆菌以色列亚种,su'yun'jin'gan'jun'yi'se'lie'ya'zhong
碳氯灵,tan'lv'ling
特丁硫磷,te'ding'liu'lin
特普,te'pu
涕灭威,ti'mie'wei
田安,tian'an
甜菜夜蛾核型多角体病毒,tian'cai'ye'e'he'xing'duo'jiao'ti'bing'du
烃基二甲基氯化铵,ting'ji'er'jia'ji'lv'hua'an
土菌灵,tu'jun'ling
王铜,wang'tong
萎锈灵,wei'xiu'ling
肟菌酯,wo'jun'zhi
戊菊酯,wu'ju'zhi
戊菌唑,wu'jun'zuo
五氯酚,wu'lv'fen
五氯硝基苯,wu'lv'xiao'ji'ben
无水硫酸铜,wu'shui'liu'suan'tong
武夷菌素,wu'yi'jun'su
烯丙苯噻唑,xi'bing'ben'sai'zuo
烯啶虫胺,xi'ding'chong'an
烯肟菌胺,xi'wo'jun'an
烯肟菌酯,xi'wo'jun'zhi
烯唑醇,xi'zuo'chun
酰胺唑,xian'an'zuo
先正达,xian'zheng'da
香芹酚,xiang'qin'fen
小檗碱,xiao'bo'jian
小菜蛾颗粒体病毒,xiao'cai'e'ke'li'ti'bing'du
硝虫硫磷,xiao'chong'liu'lin
硝基腐殖酸铜,xiao'ji'fu'zhi'suan'tong
缬霉威,xie'mei'wei
斜纹夜蛾核型多角体病毒,xie'wen'ye'e'he'xing'duo'jiao'ti'bing'du
辛硫磷,xin'liu'lin
新烟碱,xin'yan'jian
星牌,xing'pai
溴苯磷,xiu'ben'lin
溴氟菊酯,xiu'fu'ju'zhi
溴氯二甲基脲酸,xiu'lv'er'jia'ji'niao'suan
溴螨酯,xiu'man'zhi
溴灭菊酯,xiu'mie'ju'zhi
溴氰菊酯,xiu'qing'ju'zhi
溴硝醇,xiu'xiao'chun
亚胺硫磷,ya'an'liu'lin
亚胺唑,ya'an'zuo
芽孢杆菌,ya'bao'gan'jun
亚磷酸钾,ya'lin'suan'jia
蚜灭磷,ya'mie'lin
烟碱,yan'jian
盐酸四环素,yan'suan'si'huan'su
氧化钙,yang'hua'gai
氧化苦参碱,yang'hua'ku'shen'jian
氧化亚铜,yang'hua'ya'tong
氧乐果,yang'le'guo
叶枯净,ye'ku'jing
野油菜黄单胞菌夜盗蛾变种,ye'you'cai'huang'dan'bao'jun'ye'dao'e'bian'zhong
异艾剂,yi'ai'ji
乙拌磷,yi'ban'lin
乙虫腈,yi'chong'jing
抑虫肼,yi'chong'jing
异稻瘟净,yi'dao'wen'jing
乙酸十二碳烯醇酯,yi'e'shi'er'tan'xi'chun'zhi
伊枯草菌素,yi'ku'cao'jun'a
乙膦酸,yi'lin'suan
乙硫苯威,yi'liu'ben'wei
乙硫磷,yi'liu'lin
乙螨唑,yi'man'zuo
乙霉威,yi'mei'wei
抑霉唑,yi'mei'zuo
乙嘧酚,yi'mi'fen
乙氰菊酯,yi'qing'ju'zhi
乙蒜素,yi'suan'su
依维菌素,yi'wei'jun'su
乙烯菌核利,yi'xi'jun'he'li
乙酰甲胺磷,yi'xian'jia'an'lin
异羊角扭甙,yi'yang'jiao'niu'dai
乙酯杀螨醇,yi'zhi'sha'man'chun
茚虫威,yin'chong'wei
印楝素,yin'lian'su
银泰暂定,yin'tai'zan'ding
银杏酚,yin'xing'fen
蝇毒磷,ying'du'lin
荧光假单胞杆菌,ying'guang'jia'dan'bao'gan'jun
诱虫烯,you'chong'xi
油酸,you'suan
油桐尺蠖核型多角体病毒,you'tong'chi'huo'he'xing'duo'jiao'ti'bing'du
右旋反式胺菊酯,you'xuan'fan'shi'an'ju'zhi
右旋炔咪菊酯,you'xuan'que'mi'ju'zhi
愈创木酚,yu'chuang'mu'fen
鱼藤酮,yu'teng'tong
藻酸丙二醇酯,zao'suan'bing'er'chun'zhi
治螟磷,zhi'ming'lin
制蚜菌素,zhi'ya'jun'su
中草药,zhong'cao'yao
仲丁威,zhong'ding'wei
重铬酸钾,zhong'ge'suan'jia
中生菌素,zhong'sheng'jun'su
唑虫酰胺,zuo'chong'xian'an
唑菌酯,zuo'jun'zhi
唑蚜威,zuo'ya'wei
