爱恶欲,ai'wu'yu
始诛纣,shi'zhu'zhou
首孝弟,shou'xiao'di
受周禅,shou'zhou'chan
述圣言,shu'sheng'yan
书之奥,shu'zhi'ao
说仁义,shuo'ren'yi
四百年,si'bai'nian
四百载,si'bai'zai
四书熟,si'shu'shu
宋齐继,song'qi'ji
宋犹存,song'you'cun
苏老泉,su'lao'quan
所当执,suo'dang'zhi
汤伐夏,tang'fa'xia
唐高祖,tang'gao'zu
唐刘晏,tang'liu'yan
唐有虞,tang'you'yu
天地人,tian'di'ren
通古今,tong'gu'jin
头悬梁,tou'xuan'liang
王纲堕,wang'gang'duo
王莽篡,wang'mang'cuan
为东汉,wei'dong'han
为南朝,wei'nan'chao
为人子,wei'ren'zi
魏蜀吴,wei'shu'wu
为学者,wei'xue'zhe
惟一经,wei'yi'jing
文中子,wen'zhong'zi
我教子,wo'jiao'zi
我周公,wo'zhou'gong
五霸强,wu'ba'qiang
五子者,wu'zi'zhe
习礼仪,xi'li'yi
昔孟母,xi'meng'mu
戏无益,xi'wu'yi
习相远,xi'xiang'yuan
夕于斯,xi'yu'si
昔仲尼,xi'zhong'ni
夏传子,xia'chuan'zi
夏有禹,xia'you'yu
下泽民,xia'ze'min
显父母,xian'fu'mu
香九龄,xiang'jiu'ling
详训诂,xiang'xun'gu
相揖逊,xiang'yi'xun
孝经通,xiao'jing'tong
小学终,xiao'xue'zhong
孝于亲,xiao'yu'qin
削竹简,xiao'zhu'jian
谢道韫,xie'dao'yun
心而惟,xin'er'wei
性本善,xing'ben'shan
兴高齐,xing'gao'qi
性乃迁,xing'nai'qian
性相近,xing'xiang'jin
兄则友,xiong'ze'you
须讲究,xu'jiang'jiu
学不缀,xue'bu'zhui
学且勤,xue'qie'qin
炎宋兴,yan'song'xing
养不教,yang'bu'jiao
扬名声,yang'ming'sheng
一而十,yi'er'shi
宜立志,yi'li'zhi
宜勉力,yi'mian'li
亦若是,yi'ruo'shi
一同灭,yi'tong'mie
一土宇,yi'tu'yu
宜先知,yi'xian'zhi
宜早思,yi'zao'si
莹八岁,ying'ba'sui
应乎中,ying'hu'zhong
膺景命,ying'jing'ming
嬴秦氏,ying'qin'shi
庸不易,yong'bu'yi
永乐嗣,yong'le'si
幼不学,you'bu'xue
有典谟,you'dian'mo
幼而学,you'er'xue
有公羊,you'gong'yang
有彀梁,you'gou'liang
有归藏,you'gui'cang
犹悔迟,you'hui'chi
犹苦卓,you'ku'zhuo
有连山,you'lian'shan
有誓命,you'shi'ming
有宋世,you'song'shi
有为者,you'wei'zhe
有训诰,you'xun'gao
有荀杨,you'xun'yang
有义方,you'yi'fang
友与朋,you'yu'peng
有周易,you'zhou'yi
有左氏,you'zuo'shi
寓褒贬,yu'bao'bian
玉不琢,yu'bu'zhuo
与丝竹,yu'si'zhu
宇文周,yu'wen'zhou
裕于后,yu'yu'hou
曰哀惧,yue'ai'ju
曰春夏,yue'chun'xia
曰国风,yue'guo'feng
曰南北,yue'nan'bei
曰秋冬,yue'qiu'dong
曰仁义,yue'ren'yi
曰水火,yue'shui'huo
曰西东,yue'xi'dong
曰喜怒,yue'xi'nu
曰雅颂,yue'ya'song
运不穷,yun'bu'qiong
择邻处,ze'lin'chu
长幼序,zhang'you'xu
赵中令,zhao'zhong'ling
争汉鼎,zheng'han'ding
至黄帝,zhi'huang'di
知某数,zhi'mou'shu
至平治,zhi'ping'zhi
至四书,zhi'si'shu
至孝平,zhi'xiao'ping
至宣统,zhi'xuan'tong
至元曾,zhi'yuan'ceng
至元兴,zhi'yuan'xing
知终始,zhi'zhong'shi
至纣亡,zhi'zhou'wang
中不偏,zhong'bu'pian
众称异,zhong'cheng'yi
终于献,zhong'yu'xian
终战国,zhong'zhan'guo
周文王,zhou'wen'wang
周武王,zhou'wu'wang
周辙东,zhou'zhe'dong
注礼记,zhu'li'ji
著六官,zhu'liu'guan
壮而行,zhuang'er'xing
锥刺股,zhui'ci'gu
子不学,zi'bu'xue
子而孙,zi'er'sun
自勤苦,zi'qin'ku
子思笔,zi'si'bi
自羲农,zi'xi'nong
自修齐,zi'xiu'qi
自子孙,zi'zi'sun
最长久,zui'chang'jiu
作大学,zuo'da'xue
作正字,zuo'zheng'zi
作中庸,zuo'zhong'yong
作周礼,zuo'zhou'li
