阿玛尼,a'ma'ni
不懂干嘛,bu'dong'gan'ma
不懂咯,bu'dong'ge
不懂看,bu'dong'kan
不懂路,bu'dong'lu
不懂咩,bu'dong'mie
不懂哪里,bu'dong'na'li
不懂你了,bu'dong'ni'le
不懂你咯,bu'dong'ni'lo
不懂你们,bu'dong'ni'men
不懂你哦,bu'dong'ni'o
不懂捏,bu'dong'nie
不懂哦,bu'dong'o
不懂去,bu'dong'qu
不懂去哪,bu'dong'qu'na
不懂去哪里,bu'dong'qu'na'li
不懂什么时候,bu'dong'shen'me'shi'hou
不懂是,bu'dong'shi
不懂是不是,bu'dong'shi'bu'shi
不懂是谁,bu'dong'shi'shui
不懂说,bu'dong'shuo
不懂说什么,bu'dong'shuo'shen'me
不懂他,bu'dong'ta
不懂他们,bu'dong'ta'men
不懂玩,bu'dong'wan
不懂为什么,bu'dong'wei'shen'me
不懂喔,bu'dong'wo
不懂现在,bu'dong'xian'zai
不懂写,bu'dong'xie
不懂用,bu'dong'yong
不懂有没有,bu'dong'you'mei'you
不懂在哪,bu'dong'zai'na
不懂在哪里,bu'dong'zai'na'li
不懂怎么,bu'dong'zen'me
不懂怎么说,bu'dong'zen'me'shuo
不懂怎么说了,bu'dong'zen'me'shuo'le
不懂做,bu'dong'zuo
不懂做什么,bu'dong'zuo'shen'me
不多好,bu'duo'hao
不分我,bu'fen'wo
不给你去,bu'gei'ni'qu
不给去,bu'gei'qu
不给问,bu'gei'wen
不给想,bu'gei'xiang
不给笑,bu'gei'xiao
不更加,bu'geng'jia
不够电,bu'gou'dian
不够力,bu'gou'li
不够人,bu'gou'ren
不好捏,bu'hao'nie
不喝得,bu'he'de
不合适你,bu'he'shi'ni
不合适我,bu'he'shi'wo
不黑懂,bu'hei'dong
不见过,bu'jian'guo
不见回,bu'jian'hui
不见有,bu'jian'you
不就得咯,bu'jiu'de'ge
不就懂,bu'jiu'dong
不就懂了,bu'jiu'dong'le
不来南宁,bu'lai'nan'ning
布兰卡,bu'lan'ka
不卖得,bu'mai'de
不去得,bu'qu'de
不去玩,bu'qu'wan
不去玩啊,bu'qu'wan'a
不去玩吗,bu'qu'wan'ma
不去约会,bu'qu'yue'hui
布泉,bu'quan
不是捏,bu'shi'nie
不说那么多,bu'shuo'na'me'duo
不说先了,bu'shuo'xian'le
不算得,bu'suan'de
不要得,bu'yao'de
不要喂,bu'yao'wei
不要这样为,bu'yao'zhe'yang'wei
不瘾,bu'yin
不在南宁,bu'zai'nan'ning
不做工,bu'zuo'gong
菜茶茉,cai'cha'mo
才得,cai'de
才得空,cai'de'kong
才得了,cai'de'le
才得走,cai'de'zou
才得吃,cai'dei'chi
才得睡,cai'dei'shui
才懂,cai'dong
财经学院,cai'jing'xue'yuan
菜市,cai'shi
财院,cai'yuan
惨哦,can'o
餐纸,can'zhi
苍梧县,cang'wu'xian
草花梨,cao'hua'li
岑溪,cen'xi
岑溪市,cen'xi'shi
岑中,cen'zhong
查档,cha'dang
茶道夫,cha'dao'fu
茶花园,cha'hua'yuan
茶花园路,cha'hua'yuan'lu
差火,cha'huo
槎路,cha'lu
差某多,cha'mou'duo
叉烧粉,cha'shao'fen
尝不忘,chang'bu'wang
畅春湖,chang'chun'hu
长岗,chang'gang
长罡,chang'gang
长岗村,chang'gang'cun
长岗岭,chang'gang'ling
长堽路,chang'gang'lu
长岗路,chang'gang'lu
长顾虑,chang'gu'lv
长湖,chang'hu
长湖路,chang'hu'lu
长江医院,chang'jiang'yi'yuan
昌泰,chang'tai
长洲区,chang'zhou'qu
朝阳广场,chao'yang'guang'chang
车没电,che'mei'dian
陈东村,chen'dong'cun
陈副,chen'fu
澄碧湖,cheng'bi'hu
称斤,cheng'jin
诚如金,cheng'ru'jin
城市碧园,cheng'shi'bi'yuan
城市便捷,cheng'shi'bian'jie
城市春天,cheng'shi'chun'tian
城市来了,cheng'shi'lai'le
澄泰,cheng'tai
城厢镇,cheng'xiang'zhen
撑衣杆,cheng'yi'gan
吃饱先,chi'bao'xian
吃炒粉,chi'chao'fen
吃戳,chi'chuo
吃东西没有,chi'dong'xi'mei'you
吃东西先,chi'dong'xi'xian
吃粉,chi'fen
吃粉了,chi'fen'le
吃粉去,chi'fen'qu
吃个粉,chi'ge'fen
吃果,chi'guo
痴嘿,chi'hei
吃了粉,chi'le'fen
吃螺丝粉,chi'luo'si'fen
吃某,chi'mou
吃田螺,chi'tian'luo
吃完粉,chi'wan'fen
吃为,chi'wei
吃夜,chi'ye
吃一餐,chi'yi'can
吃鱼生,chi'yu'sheng
吃云吞,chi'yun'tun
吃住饭,chi'zhu'fan
吃住了,chi'zhu'le
冲不得,chong'bu'de
重重复复,chong'chong'fu'fu
充得,chong'de
充住,chong'zhu
崇左,chong'zuo
崇左的,chong'zuo'de
崇左了,chong'zuo'le
崇左市,chong'zuo'shi
丑多,chou'duo
出得去,chu'de'qu
出口话,chu'kou'hua
出来到,chu'lai'dao
出来咩,chu'lai'mie
出来某,chu'lai'mou
出来为,chu'lai'wei
出来先,chu'lai'xian
出驴,chu'lv
出门先,chu'men'xian
出某,chu'mou
出南宁,chu'nan'ning
出去先,chu'qu'xian
出外地,chu'wai'di
出外面,chu'wai'mian
穿住,chuan'zhu
吹大炮,chui'da'pao
吹风筒,chui'feng'tong
戳毛,chuo'mao
戳去,chuo'qu
戳屎,chuo'shi
戳说,chuo'shuo
戳头,chuo'tou
次把,ci'ba
从北海,cong'bei'hai
从桂林,cong'gui'lin
从柳州,cong'liu'zhou
从南宁,cong'nan'ning
粗口话,cu'kou'hua
醋血鸭,cu'xue'ya
翠湖新城,cui'hu'xin'cheng
存得,cun'de
村干,cun'gan
村话,cun'hua
大把多,da'ba'duo
大把多人,da'ba'duo'ren
大板二区,da'ban'er'qu
大板楼,da'ban'lou
大阪一区,da'ban'yi'qu
大比大,da'bi'da
大肠包小肠,da'chang'bao'xiao'chang
大戳,da'chuo
大大声,da'da'sheng
大地飞歌,da'di'fei'ge
打粉,da'fen
搭公车,da'gong'che
大观天下,da'guan'tian'xia
大广西,da'guang'xi
大国手,da'guo'shou
大和平,da'he'ping
大化,da'hua
大惠丰,da'hui'feng
大鸡村,da'ji'cun
大嘉汇,da'jia'hui
大君宜,da'jun'yi
达开,da'kai
大坑口,da'keng'kou
大口九,da'kou'jiu
打赖死,da'lai'si
大岭路,da'ling'lu
大龙湖,da'long'hu
大明山,da'ming'shan
大南宁,da'nan'ning
大平坡,da'ping'po
打气排球,da'qi'pai'qiu
大容山,da'rong'shan
大榕树,da'rong'shu
大沙田,da'sha'tian
大商汇,da'shang'hui
大树脚,da'shu'jiao
打死你去,da'si'ni'qu
打死去,da'si'qu
大王岭,da'wang'ling
大王滩,da'wang'tan
大维,da'wei
搭我去,da'wo'qu
大新,da'xin
大新县,da'xin'xian
大学东路,da'xue'dong'lu
大学西路,da'xue'xi'lu
大英雄,da'ying'xiong
打油茶,da'you'cha
大鱼丰,da'yu'feng
大月饼,da'yue'bing
大站车,da'zhan'che
打证,da'zheng
黛慕,dai'mu
带女,dai'nv
但不懂,dan'bu'dong
淡村,dan'cun
淡村路,dan'cun'lu
淡村市场,dan'cun'shi'chang
单间配套,dan'jian'pei'tao
丹泉,dan'quan
但是不懂,dan'shi'bu'dong
单位房,dan'wei'fang
到百色,dao'bai'se
到北海,dao'bei'hai
到不懂,dao'bu'dong
到长沙,dao'chang'sha
到广西,dao'guang'xi
到桂林,dao'gui'lin
到几时,dao'ji'shi
到来宾,dao'lai'bin
到琅东,dao'lang'dong
到柳州,dao'liu'zhou
到南宁,dao'nan'ning
到南宁了,dao'nan'ning'le
到市中心,dao'shi'zhong'xin
到西大,dao'xi'da
到夜,dao'ye
到玉林,dao'yu'lin
稻之源,dao'zhi'yuan
得啊,de'a
德保,de'bao
德保县,de'bao'xian
的啵,de'bo
得不,de'bu
得不得,de'bu'de
得不得啊,de'bu'de'a
得不得空,de'bu'de'kong
得的话,de'de'hua
得滴,de'di
得房,de'fang
的黑文,de'hei'wen
得就得,de'jiu'dei
得空,de'kong
得空不,de'kong'bu
得空吗,de'kong'ma
得空去,de'kong'qu
得空先,de'kong'xian
得啦得啦,de'la'de'la
得了没,de'le'mei
得了没有,de'le'mei'you
得了吗,de'liao'ma
得么,de'me
得没,de'mei
得没得,de'mei'de
得没有,de'mei'you
得某,de'mou
得钱,de'qian
德天,de'tian
德天瀑布,de'tian'pu'bu
得证,de'zheng
德政路,de'zheng'lu
得吃了,dei'chi'le
等罢,deng'ba
等公车,deng'gong'che
等会先,deng'hui'xian
等下去哪里,deng'xia'qu'na'li
等下人家,deng'xia'ren'jia
等下是,deng'xia'shi
等下我过去,deng'xia'wo'guo'qu
等下我就,deng'xia'wo'jiu
等下先,deng'xia'xian
等下小,deng'xia'xiao
等住,deng'zhu
等住你,deng'zhu'ni
地超,di'chao
地洞口,di'dong'kou
地高,di'gao
蒂丽雪斯,di'li'xue'si
地贫,di'pin
迪斯迪,di'si'di
地王,di'wang
地委,di'wei
抵值,di'zhi
颠逼,dian'bi
掂不掂,dian'bu'dian
电车,dian'che
电车了,dian'che'le
电车去,dian'che'qu
电单,dian'dan
电单车,dian'dan'che
颠的,dian'de
颠颠的,dian'dian'de
颠多,dian'duo
颠公,dian'gong
颠狗,dian'gou
电龟,dian'gui
颠黑,dian'hei
电科,dian'ke
癫老,dian'lao
电力系,dian'li'xi
电脑试,dian'nao'shi
癫婆,dian'po
电网公司,dian'wang'gong'si
癫仔,dian'zai
点这样,dian'zhe'yang
电子科技广场,dian'zi'ke'ji'guang'chang
叼逼,diao'bi
叼错,diao'cuo
叼干,diao'gan
叼杠,diao'gang
叼嘿,diao'hei
叼克,diao'ke
叼你妈,diao'ni'ma
吊完针,diao'wan'zhen
蝶山区,die'shan'qu
顶不得,ding'bu'de
顶不顺,ding'bu'shun
定定坐,ding'ding'zuo
丢那黑,diu'na'hei
丢那妈,diu'na'ma
丢那声,diu'na'sheng
丢那星,diu'na'xing
丢你黑,diu'ni'hei
丢你妈,diu'ni'ma
东宝路,dong'bao'lu
东方园,dong'fang'yuan
东方月皇,dong'fang'yue'huang
东搞西搞,dong'gao'xi'gao
东葛,dong'ge
东葛店,dong'ge'dian
东葛路,dong'ge'lu
东沟岭,dong'gou'ling
懂就得,dong'jiu'dei
东看西看,dong'kan'xi'kan
东兰,dong'lan
东兰县,dong'lan'xian
懂路,dong'lu
懂没有,dong'mei'you
东盟,dong'meng
东盟博览会,dong'meng'bo'lan'hui
东盟国际,dong'meng'guo'ji
东盟商务区,dong'meng'shang'wu'qu
东摸西摸,dong'mo'xi'mo
懂去,dong'qu
东三里,dong'san'li
东问西问,dong'wen'xi'wen
东西先,dong'xi'xian
东校园,dong'xiao'yuan
东兴,dong'xing
东兴市,dong'xing'shi
东一里,dong'yi'li
都安,dou'an
都不出声,dou'bu'chu'sheng
都不戳,dou'bu'chuo
都不得,dou'bu'de
都不得吃,dou'bu'de'chi
都不得空,dou'bu'de'kong
都不得去,dou'bu'de'qu
都不懂你,dou'bu'dong'ni
都不肥,dou'bu'fei
都不黑,dou'bu'hei
都不见,dou'bu'jian
都不见你,dou'bu'jian'ni
都不见人,dou'bu'jian'ren
都不见他,dou'bu'jian'ta
都不煮,dou'bu'zhu
都得空,dou'de'kong
都得了,dou'dei'le
豆腐酿,dou'fu'niang
都还不懂,dou'hai'bu'dong
都还没得,dou'hai'mei'de
都见你,dou'jian'ni
豆浆王子,dou'jiang'wang'zi
都没有空,dou'mei'you'kong
都在南宁,dou'zai'nan'ning
都安县,du'an'xian
独吃独生疮,du'chi'du'sheng'chuang
都市花园,du'shi'hua'yuan
渡头桥,du'tou'qiao
段考,duan'kao
对没起,dui'mei'qi
对南宁,dui'nan'ning
蹲住,dun'zhu
多戳鱼,duo'chuo'yu
多多人,duo'duo'ren
多黑鱼,duo'hei'yu
多还少补,duo'huan'shao'bu
躲酒,duo'jiu
多少点,duo'shao'dian
多少点了,duo'shao'dian'le
多少闷,duo'shao'men
恶黑心,e'hei'xin
恶心多,e'xin'duo
恶心哦,e'xin'o
嗯叼,en'diao
二级路,er'ji'lu
二三中,er'san'zhong
二运站,er'yun'zhan
发不得,fa'bu'de
发烂杂,fa'lan'za
发廊仔,fa'lang'zai
发气了,fa'qi'le
发肉紧,fa'rou'jin
发喂,fa'wei
发住,fa'zhu
烦烦的,fan'fan'de
烦恼丝,fan'nao'si
烦哦,fan'o
房博会,fang'bo'hui
放车,fang'che
防城,fang'cheng
防城港,fang'cheng'gang
防城港市,fang'cheng'gang'shi
防城区,fang'cheng'qu
房改办,fang'gai'ban
放好车,fang'hao'che
放鸡岛,fang'ji'dao
方块队,fang'kuai'dui
放药,fang'yao
肥不起来,fei'bu'qi'lai
翡翠园,fei'cui'yuan
肥到家,fei'dao'jia
肥得,fei'de
肥多,fei'duo
飞鹅,fei'e
飞凤,fei'feng
肥黑,fei'hei
飞机佬,fei'ji'lao
肥克,fei'ke
肥诺诺,fei'nuo'nuo
分边,fen'bian
分标,fen'biao
粉虫,fen'chong
粉店,fen'dian
粉饺,fen'jiao
分数条,fen'shu'tiao
粉摊,fen'tan
粉之都,fen'zhi'du
封包,feng'bao
封胡,feng'hu
凤凰宾馆,feng'huang'bin'guan
凤凰谷,feng'huang'gu
凤岭,feng'ling
凤岭北,feng'ling'bei
封钱,feng'qian
凤山,feng'shan
封山育林,feng'shan'yu'lin
凤尾菇,feng'wei'gu
凤翔路,feng'xiang'lu
风雨桥,feng'yu'qiao
佛子岭,fo'zi'ling
佛子山,fo'zi'shan
福安家,fu'an'jia
富安居,fu'an'ju
富川,fu'chuan
富贵卷,fu'gui'juan
复记老友,fu'ji'lao'you
福建路口,fu'jian'lu'kou
福建园,fu'jian'yuan
福楼,fu'lou
富满地,fu'man'di
福满花园,fu'man'hua'yuan
芙蓉蛋,fu'rong'dan
扶绥,fu'sui
扶绥县,fu'sui'xian
肤阴洁,fu'yin'jie
改天先,gai'tian'xian
干戳,gan'chuo
柑果,gan'guo
甘家界,gan'jia'jie
干捞粉,gan'lao'fen
干捞面,gan'lao'mian
干嘛不得,gan'ma'bu'de
干嘛春,gan'ma'chun
干嘛戳,gan'ma'chuo
干嘛得,gan'ma'de
干嘛鬼,gan'ma'gui
干嘛黑,gan'ma'hei
干嘛卵,gan'ma'luan
干嘛捏,gan'ma'nie
干事长,gan'shi'zhang
甘蔗地,gan'zhe'di
港北区,gang'bei'qu
刚到南宁,gang'dao'nan'ning
刚得,gang'de
刚懂,gang'dong
刚好合适,gang'hao'he'shi
刚回来到,gang'hui'lai'dao
港口区,gang'kou'qu
港南区,gang'nan'qu
刚洗得,gang'xi'de
刚洗完出来,gang'xi'wan'chu'lai
刚洗澡出来,gang'xi'zao'chu'lai
搞不掂,gao'bu'dian
搞不见,gao'bu'jian
搞跌,gao'die
搞废,gao'fei
高峰林场,gao'feng'lin'chang
高峰路,gao'feng'lu
高记,gao'ji
高街,gao'jie
高新苑,gao'xin'yuan
搞这种,gao'zhe'zhong
搞住,gao'zhu
歌巢,ge'chao
葛村,ge'cun
葛村路,ge'cun'lu
割稻谷,ge'dao'gu
个个都说,ge'ge'dou'shuo
格桑花,ge'sang'hua
咯为,ge'wei
格子微,ge'zi'wei
给我为,gei'wo'wei
跟友女,gen'you'nv
亘子,gen'zi
更多年,geng'duo'nian
更加多,geng'jia'duo
更加了,geng'jia'le
更么,geng'me
更要紧,geng'yao'jin
更夜,geng'ye
更子,geng'zi
公车,gong'che
公车费,gong'che'fei
公车了,gong'che'le
公车去,gong'che'qu
公车上,gong'che'shang
公车站,gong'che'zhan
恭城,gong'cheng
共和路,gong'he'lu
公鸡蛋,gong'ji'dan
公平街,gong'ping'jie
公园大地,gong'yuan'da'di
狗叼,gou'diao
狗叼出,gou'diao'chu
狗叼的,gou'diao'de
够没有,gou'mei'you
够去,gou'qu
够人了,gou'ren'le
狗肉节,gou'rou'jie
够水,gou'shui
够瘾,gou'yin
谷埠,gu'bu
谷埠街,gu'bu'jie
古城店,gu'cheng'dian
古城路,gu'cheng'lu
古城路口,gu'cheng'lu'kou
古典鸡,gu'dian'ji
古东,gu'dong
姑婆山,gu'po'shan
古潭,gu'tan
寡公,gua'gong
怪石滩,guai'shi'tan
冠超市,guan'chao'shi
观澜溪谷,guan'lan'xi'gu
冠通,guan'tong
冠头岭,guan'tou'ling
广西,guang'xi
广西百色,guang'xi'bai'se
广西北海,guang'xi'bei'hai
广西财经,guang'xi'cai'jing
广西财经学院,guang'xi'cai'jing'xue'yuan
广西大学,guang'xi'da'xue
广西的,guang'xi'de
广西电视台,guang'xi'dian'shi'tai
广西电网,guang'xi'dian'wang
广西电信,guang'xi'dian'xin
广西分公司,guang'xi'fen'gong'si
广西公务员,guang'xi'gong'wu'yuan
广西工学院,guang'xi'gong'xue'yuan
广西桂林,guang'xi'gui'lin
广西机电,guang'xi'ji'dian
广西科技大学,guang'xi'ke'ji'da'xue
广西了,guang'xi'le
广西联通,guang'xi'lian'tong
广西民族,guang'xi'min'zu
广西民族大学,guang'xi'min'zu'da'xue
广西南宁,guang'xi'nan'ning
广西南宁市,guang'xi'nan'ning'shi
广西呢,guang'xi'ne
广西区,guang'xi'qu
广西人,guang'xi'ren
广西人才,guang'xi'ren'cai
广西人才市场,guang'xi'ren'cai'shi'chang
广西人才网,guang'xi'ren'cai'wang
广西人事考试网,guang'xi'ren'shi'kao'shi'wang
广西日报,guang'xi'ri'bao
广西日报社,guang'xi'ri'bao'she
广西省,guang'xi'sheng
广西师大,guang'xi'shi'da
广西师范,guang'xi'shi'fan
广西师范大学,guang'xi'shi'fan'da'xue
广西师范学院,guang'xi'shi'fan'xue'yuan
广西台,guang'xi'tai
广西外国语,guang'xi'wai'guo'yu
广西外国语学院,guang'xi'wai'guo'yu'xue'yuan
广西卫视,guang'xi'wei'shi
广西梧州,guang'xi'wu'zhou
广西一,guang'xi'yi
广西移动,guang'xi'yi'dong
广西医科大,guang'xi'yi'ke'da
广西医科大学,guang'xi'yi'ke'da'xue
广西艺术,guang'xi'yi'shu
广西艺术学院,guang'xi'yi'shu'xue'yuan
广西玉林,guang'xi'yu'lin
广西中医学院,guang'xi'zhong'yi'xue'yuan
广西中医药,guang'xi'zhong'yi'yao
广西中医药大学,guang'xi'zhong'yi'yao'da'xue
广西壮族,guang'xi'zhuang'zu
广西壮族自治区,guang'xi'zhuang'zu'zi'zhi'qu
广艺,guang'yi
广影,guang'ying
广缘,guang'yuan
广园路,guang'yuan'lu
广职,guang'zhi
圭贝路,gui'bei'lu
龟背桥,gui'bei'qiao
龟车,gui'che
桂春路,gui'chun'lu
桂登,gui'deng
桂电,gui'dian
鬼懂,gui'dong
贵多,gui'duo
贵港,gui'gang
贵港的,gui'gang'de
贵港了,gui'gang'le
贵港人,gui'gang'ren
贵港市,gui'gang'shi
贵高,gui'gao
桂林,gui'lin
桂林啊,gui'lin'a
桂林吧,gui'lin'ba
桂林的,gui'lin'de
桂林电子,gui'lin'dian'zi
桂林话,gui'lin'hua
桂林啦,gui'lin'la
桂林了,gui'lin'le
桂林理工,gui'lin'li'gong
桂林理工大学,gui'lin'li'gong'da'xue
桂林妹,gui'lin'mei
桂林米粉,gui'lin'mi'fen
桂林呢,gui'lin'ne
桂林人,gui'lin'ren
桂林市,gui'lin'shi
桂林玩,gui'lin'wan
桂林医学院,gui'lin'yi'xue'yuan
桂林银行,gui'lin'yin'hang
桂林仔,gui'lin'zai
桂林站,gui'lin'zhan
桂平,gui'ping
桂平市,gui'ping'shi
桂通,gui'tong
桂雅路,gui'ya'lu
桂医,gui'yi
鬼远,gui'yuan
滚地板,gun'di'ban
过店里,guo'dian'li
过公司,guo'gong'si
锅锅旺,guo'guo'wang
国海证券,guo'hai'zheng'quan
过几天先,guo'ji'tian'xian
国教楼,guo'jiao'lou
国教院,guo'jiao'yuan
过来到,guo'lai'dao
过来咩,guo'lai'mie
过来为,guo'lai'wei
过来先,guo'lai'xian
过隆,guo'long
国贸中心,guo'mao'zhong'xin
过那边,guo'na'bian
过哪里,guo'na'li
过南宁,guo'nan'ning
过你家,guo'ni'jia
过你那里,guo'ni'na'li
过期无效,guo'qi'wu'xiao
过去到,guo'qu'dao
过去给你,guo'qu'gei'ni
过去了哦,guo'qu'le'o
郭声琨,guo'sheng'kun
果摊,guo'tan
过我家,guo'wo'jia
过我这里,guo'wo'zhe'li
还不得啊,hai'bu'de'a
还不懂,hai'bu'dong
还不懂呢,hai'bu'dong'ne
还不要紧,hai'bu'yao'jin
海城区,hai'cheng'qu
嗨大,hai'da
还好过,hai'hao'guo
海吉星,hai'ji'xing
还没得,hai'mei'de
还没得吃,hai'mei'de'chi
还没有得,hai'mei'you'de
还没有空,hai'mei'you'kong
还是不得,hai'shi'bu'de
海鲜市场,hai'xian'shi'chang
海鸭蛋,hai'ya'dan
海渊,hai'yuan
还在咩,hai'zai'mie
还在南宁,hai'zai'nan'ning
瀚林,han'lin
瀚林华府,han'lin'hua'fu
旱鸭,han'ya
喊咋咋,han'za'za
喊喳喳,han'zha'zha
航洋,hang'yang
航洋国际,hang'yang'guo'ji
号场,hao'chang
好滴滴,hao'di'di
好颠,hao'dian
号房,hao'fang
好歌城,hao'ge'cheng
好合成,hao'he'cheng
好黑多,hao'hei'duo
好久不吃,hao'jiu'bu'chi
好久不吃了,hao'jiu'bu'chi'le
好久不得,hao'jiu'bu'de
好久不去,hao'jiu'bu'qu
好久没得,hao'jiu'mei'de
好懒得,hao'lan'de
好了捏,hao'le'nie
好卵烦,hao'luan'fan
好某,hao'mou
好三八,hao'san'ba
好玩咩,hao'wan'mie
好为,hao'wei
好要紧,hao'yao'jin
好友女,hao'you'nv
好友缘,hao'you'yuan
和安,he'an
何必问,he'bi'wen
河池,he'chi
河池的,he'chi'de
河池市,he'chi'shi
河池学院,he'chi'xue'yuan
河堤路,he'di'lu
和吉,he'ji
贺街,he'jie
和久,he'jiu
喝酒多,he'jiu'duo
喝咩了,he'mie'le
河内,he'nei
和平商场,he'ping'shang'chang
合浦,he'pu
合浦县,he'pu'xian
合山,he'shan
合山市,he'shan'shi
合适你,he'shi'ni
河缇,he'ti
喝野,he'ye
荷叶饭,he'ye'fan
喝油茶,he'you'cha
和友女,he'you'nv
贺州,he'zhou
贺州市,he'zhou'shi
贺州学院,he'zhou'xue'yuan
喝住,he'zhu
黑憋,hei'bie
黑潮,hei'chao
黑咯,hei'ge
嘿话,hei'hua
