阿特斯,a'te'si
到学,dao'xue
到学了,dao'xue'le
到偃师,dao'yan'shi
得次,de'ci
得次了,de'ci'le
德尔康,de'er'kang
德赛帝伦,de'sai'di'lun
德亭,de'ting
德园,de'yuan
帝都国际,di'du'guo'ji
帝都国际城,di'du'guo'ji'cheng
帝都一号,di'du'yi'hao
迪尼斯,di'ni'si
地邪,di'xie
第一大街,di'yi'da'jie
第一中医院,di'yi'zhong'yi'yuan
佃庄,dian'zhuang
鼎鼎红,ding'ding'hong
定鼎路,ding'ding'lu
定个表,ding'ge'biao
定型枕,ding'xing'zhen
订住,ding'zhu
定住了,ding'zhu'le
丢蛋鸡,diu'dan'ji
东车站,dong'che'zhan
东方二中,dong'fang'er'zhong
东方高中,dong'fang'gao'zhong
东方今报,dong'fang'jin'bao
东方今典,dong'fang'jin'dian
东方医院,dong'fang'yi'yuan
东海证券,dong'hai'zheng'quan
东花坛,dong'hua'tan
东马沟,dong'ma'gou
东升二中,dong'sheng'er'zhong
董王庄,dong'wang'zhuang
东下池,dong'xia'chi
东周百货,dong'zhou'bai'huo
都不美,dou'bu'mei
豆腐汤,dou'fu'tang
都该走了,dou'gai'zou'le
都干点啥,dou'gan'dian'sha
都给那,dou'gei'na
都可大,dou'ke'da
都可多,dou'ke'duo
都可贵,dou'ke'gui
都可好,dou'ke'hao
都可好看,dou'ke'hao'kan
都可累,dou'ke'lei
都可冷,dou'ke'leng
都可忙,dou'ke'mang
都可美,dou'ke'mei
都可难受,dou'ke'nan'shou
都可热,dou'ke're
都可疼,dou'ke'teng
都可晚,dou'ke'wan
都可想,dou'ke'xiang
都木人,dou'mu'ren
都木事,dou'mu'shi
都那吧,dou'na'ba
逗你类,dou'ni'lei
都去学,dou'qu'xue
都是满,dou'shi'man
都是们,dou'shi'men
都是疼的,dou'shi'teng'de
都是这,dou'shi'zhe
都在洛阳,dou'zai'luo'yang
都咱俩,dou'zan'lia
都中,dou'zhong
都中啦,dou'zhong'la
都中了,dou'zhong'le
毒疙瘩,du'ge'da
独孤眼,du'gu'yan
独孤远,du'gu'yuan
杜康,du'kang
杜康大道,du'kang'da'dao
杜康酒,du'kang'jiu
杜楼,du'lou
独耍,du'shua
肚子可疼,du'zi'ke'teng
段村,duan'cun
对挂,dui'gua
对洛阳,dui'luo'yang
对我可好,dui'wo'ke'hao
对我说说,dui'wo'shuo'shuo
多不美,duo'bu'mei
多大时候,duo'da'shi'hou
多好吧,duo'hao'ba
多好看吧,duo'hao'kan'ba
多美吧,duo'mei'ba
多美来,duo'mei'lai
多美了,duo'mei'le
多美奇,duo'mei'qi
二郎庙,er'lang'miao
二里头,er'li'tou
耳暖,er'nuan
二十三中,er'shi'san'zhong
二实验,er'shi'yan
发了了,fa'le'le
发新社,fa'xin'she
芳林路,fang'lin'lu
放你那屁,fang'ni'na'pi
菲英特,fei'ying'te
枫丹白露,feng'dan'bai'lu
风可大,feng'ke'da
风老大,feng'lao'da
丰李镇,feng'li'zhen
凤翔山庄,feng'xiang'shan'zhuang
枫叶国际,feng'ye'guo'ji
富地国际,fu'di'guo'ji
府店镇,fu'dian'zhen
符家屯,fu'jia'tun
伏牛山,fu'niu'shan
富雅东方,fu'ya'dong'fang
该挨了,gai'ai'le
该过年,gai'guo'nian
该过年了,gai'guo'nian'le
该家,gai'jia
该开学了,gai'kai'xue'le
该哪儿,gai'na'er
该那类,gai'na'lei
该哪里,gai'na'li
该哪呢,gai'na'ne
该那抓,gai'na'zhua
该去学,gai'qu'xue
该去学了,gai'qu'xue'le
该一块,gai'yi'kuai
干面皮,gan'mian'pi
钢材城,gang'cai'cheng
钢厂路,gang'chang'lu
杠次,gang'ci
刚到洛阳,gang'dao'luo'yang
高村,gao'cun
高价饭,gao'jia'fan
戈美其,ge'mei'qi
哥那蛋,ge'na'dan
个哪来,ge'na'lai
个那类,ge'na'lei
个那抓来,ge'na'zhua'lai
各异人,ge'yi'ren
葛寨,ge'zhai
给洛阳,gei'luo'yang
给那,gei'na
给哪儿,gei'na'er
给那干啥,gei'na'gan'sha
给拿来,gei'na'lai
给那类,gei'na'lei
给哪里,gei'na'li
给你那,gei'ni'na
给学,gei'xue
跟你喷,gen'ni'pen
跟谁去了,gen'shui'qu'le
耿晶晶,geng'jing'jing
拱被窝,gong'bei'wo
公疗医院,gong'liao'yi'yuan
工人俱乐部,gong'ren'ju'le'bu
缑氏镇,gou'shi'zhen
顾不住,gu'bu'zhu
古城路,gu'cheng'lu
古城天街,gu'cheng'tian'jie
古城乡,gu'cheng'xiang
古女,gu'nv
谷水,gu'shui
谷水西,gu'shui'xi
顾县镇,gu'xian'zhen
怪不美,guai'bu'mei
乖乖呀,guai'guai'ya
拐回去,guai'hui'qu
怪近,guai'jin
怪精,guai'jing
怪快,guai'kuai
怪美,guai'mei
怪呀,guai'ya
关林,guan'lin
关林的,guan'lin'de
关林街,guan'lin'jie
关林了,guan'lin'le
关林路,guan'lin'lu
关林庙,guan'lin'miao
关林市场,guan'lin'shi'chang
关林站,guan'lin'zhan
关林镇,guan'lin'zhen
管你来,guan'ni'lai
管你累,guan'ni'lei
管你里,guan'ni'li
管他来,guan'ta'lai
管他累,guan'ta'lei
关系可好,guan'xi'ke'hao
关系美,guan'xi'mei
观音堂,guan'yin'tang
光掉,guang'diao
光叫,guang'jiao
广利街,guang'li'jie
广文路,guang'wen'lu
广州市场,guang'zhou'shi'chang
鬼咋,gui'za
国宝花园,guo'bao'hua'yuan
锅大侠,guo'da'xia
过的痕迹,guo'de'hen'ji
国花园,guo'hua'yuan
过星期,guo'xing'qi
过星期了,guo'xing'qi'le
过星期天,guo'xing'qi'tian
过一段吧,guo'yi'duan'ba
郭寨,guo'zhai
还不剩,hai'bu'sheng
还不睡来,hai'bu'shui'lai
还可大,hai'ke'da
还可多,hai'ke'duo
还可困,hai'ke'kun
还可累,hai'ke'lei
还可冷,hai'ke'leng
还可热,hai'ke're
还可疼,hai'ke'teng
还没说住,hai'mei'shuo'zhu
还那类,hai'na'lei
还去学,hai'qu'xue
还上着班,hai'shang'zhe'ban
还小着,hai'xiao'zhe
还有可多,hai'you'ke'duo
还在洛阳,hai'zai'luo'yang
孩子家,hai'zi'jia
孩子睡没,hai'zi'shui'mei
憨不憨,han'bu'han
韩彩云,han'cai'yun
汉宫路,han'gong'lu
函谷关,han'gu'guan
憨闺女,han'gui'nv
憨水,han'shui
汉屯路,han'tun'lu
憨样子,han'yang'zi
憨子,han'zi
憨子闺女,han'zi'gui'nv
憨子气,han'zi'qi
憨子样,han'zi'yang
航空城,hang'kong'cheng
好的乖,hao'de'guai
好了乖,hao'le'guai
豪爽来,hao'shuang'lai
好一生,hao'yi'sheng
好咋,hao'za
荷包缝合,he'bao'feng'he
河柴,he'chai
何村,he'cun
和伙计,he'huo'ji
喝酒累,he'jiu'lei
河科大,he'ke'da
喝了点汤,he'le'dian'tang
喝喽,he'lou
河洛,he'luo
河洛路,he'luo'lu
河洛世家,he'luo'shi'jia
河洛中学,he'luo'zhong'xue
河南,he'nan
河南电信,he'nan'dian'xin
河南高考,he'nan'gao'kao
河南科技,he'nan'ke'ji
河南科技大学,he'nan'ke'ji'da'xue
河南联通,he'nan'lian'tong
河南洛阳,he'nan'luo'yang
河南洛阳的,he'nan'luo'yang'de
河南人事,he'nan'ren'shi
河南省洛阳市,he'nan'sheng'luo'yang'shi
河南省偃师市,he'nan'sheng'yan'shi'shi
河南一,he'nan'yi
河南移动,he'nan'yi'dong
河滩,he'tan
喝汤吧,he'tang'ba
喝汤去,he'tang'qu
喝一会,he'yi'hui
喝晕,he'yun
喝晕啦,he'yun'la
喝晕了,he'yun'le
喝晕没,he'yun'mei
黑地,hei'di
很不美,hen'bu'mei
恒大绿洲,heng'da'lv'zhou
恒凯,heng'kai
横水,heng'shui
红场,hong'chang
红东方,hong'dong'fang
鸿洁,hong'jie
宏进,hong'jin
鸿泉,hong'quan
鸿泉宾馆,hong'quan'bin'guan
红山乡,hong'shan'xiang
红薯面,hong'shu'mian
红薯面条,hong'shu'mian'tiao
红子鸡,hong'zi'ji
后河,hou'he
厚载门街,hou'zai'men'jie
后庄,hou'zhuang
湖北菜,hu'bei'cai
虎头山,hu'tou'shan
糊涂面,hu'tu'mian
糊涂面条,hu'tu'mian'tiao
华杯赛,hua'bei'sai
华富商,hua'fu'shang
华林新村,hua'lin'xin'cun
华夏广场,hua'xia'guang'chang
槐庙村,huai'miao'cun
槐树街,huai'shu'jie
黄河滩,huang'he'tan
皇家国际,huang'jia'guo'ji
皇家永利,huang'jia'yong'li
黄梅路,huang'mei'lu
黄面汤,huang'mian'tang
慌啥,huang'sha
辉蛋,hui'dan
回家不回,hui'jia'bu'hui
回家累,hui'jia'lei
回来累,hui'lai'lei
回来秒,hui'lai'miao
回洛阳,hui'luo'yang
回洛阳了,hui'luo'yang'le
会盟镇,hui'meng'zhen
回去累,hui'qu'lei
回去秒,hui'qu'miao
回县城,hui'xian'cheng
回偃师,hui'yan'shi
回族区,hui'zu'qu
火爆鸡筋,huo'bao'ji'jin
伙计,huo'ji
伙计的,huo'ji'de
伙计家,huo'ji'jia
伙计了,huo'ji'le
伙计们,huo'ji'men
伙计说,huo'ji'shuo
火炬大厦,huo'ju'da'sha
鸡蛋茶,ji'dan'cha
几点去学,ji'dian'qu'xue
吉凡红,ji'fan'hong
鸡冠洞,ji'guan'dong
吉利区,ji'li'qu
济源,ji'yuan
济源的,ji'yuan'de
济源了,ji'yuan'le
济源市,ji'yuan'shi
家电市场,jia'dian'shi'chang
夹马营,jia'ma'ying
夹住吧,jia'zhu'ba
架子车,jia'zi'che
贱才,jian'cai
涧东路,jian'dong'lu
健康西路,jian'kang'xi'lu
涧西,jian'xi
涧西的,jian'xi'de
涧西区,jian'xi'qu
贱样子,jian'yang'zi
建源,jian'yuan
建筑对,jian'zhu'dui
浆面条,jiang'mian'tiao
叫俺们,jiao'an'men
叫河,jiao'he
叫你看看,jiao'ni'kan'kan
椒太郎,jiao'tai'lang
叫我看看,jiao'wo'kan'kan
叫我看看你,jiao'wo'kan'kan'ni
叫我听听,jiao'wo'ting'ting
叫我玩玩,jiao'wo'wan'wan
叫我问问,jiao'wo'wen'wen
叫我想想,jiao'wo'xiang'xiang
接不成,jie'bu'cheng
借不来,jie'bu'lai
解放路口,jie'fang'lu'kou
接接我,jie'jie'wo
接住你,jie'zhu'ni
进被窝没,jin'bei'wo'mei
金城寨,jin'cheng'zhai
金城寨街,jin'cheng'zhai'jie
靳村,jin'cun
金谷园,jin'gu'yuan
金谷园路,jin'gu'yuan'lu
金莱克,jin'lai'ke
锦屏镇,jin'ping'zhen
今世福,jin'shi'fu
今天可冷,jin'tian'ke'leng
今天可热,jin'tian'ke're
今天洛阳,jin'tian'luo'yang
金业路,jin'ye'lu
锦远,jin'yuan
景华路,jing'hua'lu
荆山,jing'shan
京熙帝景,jing'xi'di'jing
菁园,jing'yuan
九朝古都,jiu'chao'gu'du
九店,jiu'dian
九都,jiu'du
九都东路,jiu'du'dong'lu
九都路,jiu'du'lu
九都西路,jiu'du'xi'lu
九嘉,jiu'jia
就去学了,jiu'qu'xue'le
就是满,jiu'shi'man
就是们,jiu'shi'men
九县六区,jiu'xian'liu'qu
就在洛阳,jiu'zai'luo'yang
聚客隆,ju'ke'long
居业,ju'ye
崛山,jue'shan
卡巴依,ka'ba'yi
卡萨米亚,ka'sa'mi'ya
凯芙特,kai'fu'te
凯撒宫,kai'sa'gong
凯顺,kai'shun
凯旋东路,kai'xuan'dong'lu
凯旋路,kai'xuan'lu
凯旋西路,kai'xuan'xi'lu
开元大道,kai'yuan'da'dao
开元名郡,kai'yuan'ming'jun
开元校区,kai'yuan'xiao'qu
看见秒,kan'jian'miao
看了了,kan'le'le
看洛阳,kan'luo'yang
看没意思,kan'mei'yi'si
看牡丹,kan'mu'dan
看难看,kan'nan'kan
看你说的吧,kan'ni'shuo'de'ba
看你说那,kan'ni'shuo'na
看无聊,kan'wu'liao
看着不赖,kan'zhe'bu'lai
看着可,kan'zhe'ke
看着可美,kan'zhe'ke'mei
看着咋样,kan'zhe'za'yang
康百万,kang'bai'wan
康乐宝,kang'le'bao
靠你妈,kao'ni'ma
靠你捏,kao'ni'nie
考死你,kao'si'ni
靠呀,kao'ya
可饱,ke'bao
可崩溃,ke'beng'kui
可别扭,ke'bie'niu
可薄,ke'bo
可不带劲,ke'bu'dai'jin
可不方便,ke'bu'fang'bian
可不高兴,ke'bu'gao'xing
可不好意思,ke'bu'hao'yi'si
可不开心,ke'bu'kai'xin
可不美,ke'bu'mei
可不舒服,ke'bu'shu'fu
可不爽,ke'bu'shuang
可不习惯,ke'bu'xi'guan
可不想去,ke'bu'xiang'qu
可不中,ke'bu'zhong
可草,ke'cao
可差,ke'cha
可长,ke'chang
可长时间,ke'chang'shi'jian
可长时间了,ke'chang'shi'jian'le
可吵,ke'chao
可撑,ke'cheng
可愁,ke'chou
可愁人,ke'chou'ren
可次,ke'ci
可刺激,ke'ci'ji
咳凑,ke'cou
可搓,ke'cuo
可捣蛋,ke'dao'dan
可低,ke'di
可丢人,ke'diu'ren
可短,ke'duan
可多啊,ke'duo'a
可多次,ke'duo'ci
可多东西,ke'duo'dong'xi
可多话,ke'duo'hua
可多可多,ke'duo'ke'duo
可多钱,ke'duo'qian
可多人,ke'duo'ren
可多事,ke'duo'shi
可多水,ke'duo'shui
可饿,ke'e
可恶心,ke'e'xin
可二,ke'er
科二上,ke'er'shang
科二下,ke'er'xia
可烦躁,ke'fan'zao
可疯,ke'feng
可复杂,ke'fu'za
可感动,ke'gan'dong
可尴尬,ke'gan'ga
可感人,ke'gan'ren
可搞笑,ke'gao'xiao
可过分,ke'guo'fen
可害怕,ke'hai'pa
可憨,ke'han
可好奇,ke'hao'qi
可好笑,ke'hao'xiao
可黑,ke'hei
可狠,ke'hen
可红,ke'hong
可厚,ke'hou
可慌,ke'huang
科几,ke'ji
可激动,ke'ji'dong
可假,ke'jia
可贱,ke'jian
可简单,ke'jian'dan
可近,ke'jin
可紧张,ke'jin'zhang
可精,ke'jing
可经典,ke'jing'dian
可纠结,ke'jiu'jie
可渴,ke'ke
可可居,ke'ke'ju
可瞌睡,ke'ke'shui
可肯,ke'ken
可恐怖,ke'kong'bu
可快,ke'kuai
可宽,ke'kuan
可亏,ke'kui
可垃圾,ke'la'ji
可累,ke'lei
可累吧,ke'lei'ba
可冷吧,ke'leng'ba
可凉快,ke'liang'kuai
可忙吧,ke'mang'ba
可美,ke'mei
可美吧,ke'mei'ba
可没劲,ke'mei'jin
可没意思,ke'mei'yi'si
可迷茫,ke'mi'mang
可木,ke'mu
可木意思,ke'mu'yi'si
可难吃,ke'nan'chi
可难过,ke'nan'guo
可难喝,ke'nan'he
可难看,ke'nan'kan
可难受,ke'nan'shou
可难听,ke'nan'ting
可难闻,ke'nan'wen
可能不可能,ke'neng'bu'ke'neng
可便宜,ke'pian'yi
可奇怪,ke'qi'guai
可去求,ke'qu'qiu
可去求了,ke'qu'qiu'le
可撒比,ke'sa'bi
可傻逼,ke'sha'bi
可晒,ke'shai
可伤心,ke'shang'xin
可生气,ke'sheng'qi
可湿,ke'shi
课时练,ke'shi'lian
可是能,ke'shi'neng
可失望,ke'shi'wang
可是中,ke'shi'zhong
可熟悉,ke'shu'xi
瞌睡吧,ke'shui'ba
瞌睡不瞌睡,ke'shui'bu'ke'shui
瞌睡劲,ke'shui'jin
可死鬼,ke'si'gui
可疼,ke'teng
可痛苦,ke'tong'ku
可猥琐,ke'wei'suo
可无聊,ke'wu'liao
可无聊啊,ke'wu'liao'a
可无奈,ke'wu'nai
可无语,ke'wu'yu
可瞎,ke'xia
可像,ke'xiang
可想吃,ke'xiang'chi
可想看,ke'xiang'kan
可想哭,ke'xiang'ku
客香来,ke'xiang'lai
可想你,ke'xiang'ni
可想去,ke'xiang'qu
可想死,ke'xiang'si
可想吐,ke'xiang'tu
可想笑,ke'xiang'xiao
可想要,ke'xiang'yao
可想知道,ke'xiang'zhi'dao
可小,ke'xiao
可心焦,ke'xin'jiao
可压抑,ke'ya'yi
科一,ke'yi
可一般,ke'yi'ban
可幼稚,ke'you'zhi
可郁闷,ke'yu'men
可远,ke'yuan
可早以前,ke'zao'yi'qian
可着急,ke'zhao'ji
磕住,ke'zhu
肯基诺,ken'ji'nuo
吭声了,keng'sheng'le
坑住,keng'zhu
孔繁荣,kong'fan'rong
寇店,kou'dian
口福居,kou'fu'ju
扣手机,kou'shou'ji
快道,kuai'dao
快该,kuai'gai
快乐地,kuai'le'de
快速通道,kuai'su'tong'dao
宽带我世界,kuan'dai'wo'shi'jie
矿口,kuang'kou
矿山厂,kuang'shan'chang
昆吾园,kun'wu'yuan
拉结婚,la'jie'hun
来俺家,lai'an'jia
来俺家吧,lai'an'jia'ba
来俺这,lai'an'zhe
来不是,lai'bu'shi
来关林,lai'guan'lin
来吉利,lai'ji'li
来老城,lai'lao'cheng
来栾川,lai'luan'chuan
来洛阳,lai'luo'yang
来洛阳吧,lai'luo'yang'ba
来洛阳了,lai'luo'yang'le
来洛阳玩,lai'luo'yang'wan
来县城,lai'xian'cheng
来学,lai'xue
来学了,lai'xue'le
来偃师,lai'yan'shi
懒省事,lan'sheng'shi
浪白,lang'bai
浪才,lang'cai
浪蛋,lang'dan
浪底,lang'di
浪死你,lang'si'ni
老不得劲,lao'bu'de'jin
老不好看,lao'bu'hao'kan
老不好意思,lao'bu'hao'yi'si
老不美,lao'bu'mei
老不想,lao'bu'xiang
老城,lao'cheng
老城吧,lao'cheng'ba
老城的,lao'cheng'de
老城店,lao'cheng'dian
老城了,lao'cheng'le
老城区,lao'cheng'qu
老次,lao'ci
老搓,lao'cuo
老大张,lao'da'zhang
老捣蛋,lao'dao'dan
老低,lao'di
老丢人,lao'diu'ren
老饿,lao'e
老害羞,lao'hai'xiu
老花钱,lao'hua'qian
老会说,lao'hui'shuo
老集,lao'ji
老寂寞,lao'ji'mo
老紧,lao'jin
老君山,lao'jun'shan
老渴,lao'ke
老瞌睡,lao'ke'shui
老亏,lao'kui
老垃圾,lao'la'ji
老洛阳,lao'luo'yang
老忙,lao'mang
老么意思,lao'me'yi'si
老美啊,lao'mei'a
老美吧,lao'mei'ba
老没事,lao'mei'shi
老美呀,lao'mei'ya
老没意思,lao'mei'yi'si
捞面条,lao'mian'tiao
老木意思,lao'mu'yi'si
老难看,lao'nan'kan
老难受,lao'nan'shou
老难听,lao'nan'ting
老呛,lao'qiang
老死鬼,lao'si'gui
老无聊,lao'wu'liao
老瞎,lao'xia
老想你,lao'xiang'ni
老想起,lao'xiang'qi
老咋,lao'za
老着急,lao'zhao'ji
捞住,lao'zhu
老拽,lao'zhuai
老捉急,lao'zhuo'ji
了不美,le'bu'mei
了不爽,le'bu'shuang
了长时间,le'chang'shi'jian
了多人,le'duo'ren
了搞笑,le'gao'xiao
了乖,le'guai
了简单,le'jian'dan
了瞌睡,le'ke'shui
了没意思,le'mei'yi'si
了难看,le'nan'kan
了想去,le'xiang'qu
类不是,lei'bu'shi
雷河,lei'he
雷静,lei'jing
类呀,lei'ya
丽春路,li'chun'lu
丽春西路,li'chun'xi'lu
李村,li'cun
李村镇,li'cun'zhen
利锋,li'feng
利豪,li'hao
李豁子,li'huo'zi
丽景门,li'jing'men
李楼,li'lou
李楼乡,li'lou'xiang
离洛阳,li'luo'yang
丽新路,li'xin'lu
连霍高速,lian'huo'gao'su
联盟路,lian'meng'lu
联盟路口,lian'meng'lu'kou
脸皮子,lian'pi'zi
连汤肉片,lian'tang'rou'pian
莲庄,lian'zhuang
林安,lin'an
临汝镇,lin'ru'zhen
林校,lin'xiao
凌波桥,ling'bo'qiao
零号路,ling'hao'lu
灵山寺,ling'shan'si
陵园路,ling'yuan'lu
刘富村,liu'fu'cun
柳泉,liu'quan
刘秀坟,liu'xiu'fen
六冶,liu'ye
龙和,long'he
龙鳞路,long'lin'lu
龙门,long'men
龙门大道,long'men'da'dao
龙门的,long'men'de
龙门了,long'men'le
龙门山,long'men'shan
龙门石窟,long'men'shi'ku
龙门一号,long'men'yi'hao
龙门站,long'men'zhan
龙门镇,long'men'zhen
隆盛路,long'sheng'lu
龙潭大峡谷,long'tan'da'xia'gu
龙潭沟,long'tan'gou
龙潭峡,long'tan'xia
龙翔街,long'xiang'jie
龙峪湾,long'yu'wan
陆村,lu'cun
六合国际,lu'he'guo'ji
陆浑,lu'hun
陆浑水库,lu'hun'shui'ku
卢舍那,lu'she'na
卢氏,lu'shi
卤猪肉,lu'zhu'rou
栾川,luan'chuan
栾川吧,luan'chuan'ba
栾川的,luan'chuan'de
栾川了,luan'chuan'le
栾川县,luan'chuan'xian
栾一,luan'yi
洛八办,luo'ba'ban
洛百,luo'bai
洛北,luo'bei
洛玻,luo'bo
洛大,luo'da
洛丹,luo'dan
洛钢,luo'gang
洛河,luo'he
洛河滩,luo'he'tan
洛龙,luo'long
洛龙路,luo'long'lu
洛龙区,luo'long'qu
洛南新区,luo'nan'xin'qu
洛宁,luo'ning
洛宁吧,luo'ning'ba
洛宁的,luo'ning'de
洛宁县,luo'ning'xian
洛浦,luo'pu
洛浦公园,luo'pu'gong'yuan
洛浦路,luo'pu'lu
洛神路,luo'shen'lu
洛师,luo'shi
洛铜,luo'tong
洛阳,luo'yang
洛阳啊,luo'yang'a
洛阳奥斯卡,luo'yang'ao'si'ka
洛阳吧,luo'yang'ba
洛阳百姓网,luo'yang'bai'xing'wang
洛阳不,luo'yang'bu
洛阳城,luo'yang'cheng
洛阳城事,luo'yang'cheng'shi
