阿拉办事处,a'la'ban'shi'chu
波罗小区,bo'luo'xiao'qu
采莲河,cai'lian'he
采莲路,cai'lian'lu
蔡陆村,cai'lu'cun
财神庙,cai'shen'miao
仓园巷,cang'yuan'xiang
草海,cao'hai
曹家桥,cao'jia'qiao
岔街,cha'jie
岔街街口,cha'jie'jie'kou
岔路口,cha'lu'kou
茶旺山,cha'wang'shan
厂啊公路岔口,chang'a'gong'lu'cha'kou
长村,chang'cun
昌宏路,chang'hong'lu
昌宏路口,chang'hong'lu'kou
厂口乡政府,chang'kou'xiang'zheng'fu
长坡,chang'po
长坡村委会,chang'po'cun'wei'hui
长坡二社,chang'po'er'she
长寿路口,chang'shou'lu'kou
昌源北路口,chang'yuan'bei'lu'kou
昌源路口,chang'yuan'lu'kou
昌源中路,chang'yuan'zhong'lu
昌源中路口,chang'yuan'zhong'lu'kou
车家壁,che'jia'bi
陈顾村,chen'gu'cun
陈家营,chen'jia'ying
陈家庄,chen'jia'zhuang
呈贡,cheng'gong
呈贡大学城,cheng'gong'da'xue'cheng
呈贡龙街,cheng'gong'long'jie
呈贡三岔口,cheng'gong'san'cha'kou
呈贡三中,cheng'gong'san'zhong
呈贡体育训练基地,cheng'gong'ti'yu'xun'lian'ji'di
呈贡县法院,cheng'gong'xian'fa'yuan
呈贡新城管委会,cheng'gong'xin'cheng'guan'wei'hui
呈贡新校区,cheng'gong'xin'xiao'qu
船房村,chuan'fang'cun
船房村口,chuan'fang'cun'kou
船房村四社,chuan'fang'cun'si'she
船房村五社老区,chuan'fang'cun'wu'she'lao'qu
船房村五社新区,chuan'fang'cun'wu'she'xin'qu
船房小区,chuan'fang'xiao'qu
穿金路,chuan'jin'lu
穿金路口,chuan'jin'lu'kou
穿金路南段,chuan'jin'lu'nan'duan
穿心鼓楼,chuan'xin'gu'lou
春城路,chun'cheng'lu
春晖小区,chun'hui'xiao'qu
春雨路,chun'yu'lu
春雨路口,chun'yu'lu'kou
春苑小区,chun'yuan'xiao'qu
茨坝,ci'ba
茨坝路口,ci'ba'lu'kou
茨坝清真寺,ci'ba'qing'zhen'si
茨坝新村,ci'ba'xin'cun
茨勾,ci'gou
翠湖北路,cui'hu'bei'lu
翠湖东门,cui'hu'dong'men
翠湖南路,cui'hu'nan'lu
大凹子村东,da'ao'zi'cun'dong
大凹子村西,da'ao'zi'cun'xi
大坝村,da'ba'cun
大白庙村,da'bai'miao'cun
大板桥明音寺,da'ban'qiao'ming'yin'si
大板桥镇,da'ban'qiao'zhen
大冲村,da'chong'cun
大冲村口,da'chong'cun'kou
大村,da'cun
大鼓楼,da'gu'lou
大观楼,da'guan'lou
大观楼南园,da'guan'lou'nan'yuan
大观路,da'guan'lu
大观路口,da'guan'lu'kou
大观桥,da'guan'qiao
大观商业城,da'guan'shang'ye'cheng
大河果园,da'he'guo'yuan
大花桥村,da'hua'qiao'cun
大箐,da'jing
大洛羊,da'luo'yang
大麦塘村,da'mai'tang'cun
大墨雨,da'mo'yu
大普吉村,da'pu'ji'cun
大桥村,da'qiao'cun
大桥新村,da'qiao'xin'cun
大商汇,da'shang'hui
大石坝,da'shi'ba
大石坝村,da'shi'ba'cun
大树后营,da'shu'hou'ying
大树营,da'shu'ying
大树营后营,da'shu'ying'hou'ying
大树营中营,da'shu'ying'zhong'ying
大塘子,da'tang'zi
大兴小学,da'xing'xiao'xue
大修厂,da'xiu'chang
大月角村,da'yue'jiao'cun
大庄村,da'zhuang'cun
丹霞路,dan'xia'lu
丹霞路口,dan'xia'lu'kou
得胜桥,de'sheng'qiao
德缘小区,de'yuan'xiao'qu
灯泡厂,deng'pao'chang
第二污水厂,di'er'wu'shui'chang
地台寺,di'tai'si
地质学校,di'zhi'xue'xiao
滇宝医院,dian'bao'yi'yuan
滇池度假区实验学校,dian'chi'du'jia'qu'shi'yan'xue'xiao
滇池路,dian'chi'lu
滇池路口,dian'chi'lu'kou
滇池名古屋,dian'chi'ming'gu'wu
滇池卫城,dian'chi'wei'cheng
滇池卫城幼儿园,dian'chi'wei'cheng'you'er'yuan
电杆厂,dian'gan'chang
电缆厂生活区,dian'lan'chang'sheng'huo'qu
电缆厂生活区北,dian'lan'chang'sheng'huo'qu'bei
电缆厂生活区南,dian'lan'chang'sheng'huo'qu'nan
滇缅大道,dian'mian'da'dao
甸头村,dian'tou'cun
电线厂,dian'xian'chang
电子技术学院,dian'zi'ji'shu'xue'yuan
叠春苑,die'chun'yuan
丁家湾,ding'jia'wan
丁字坡,ding'zi'po
东部客运站,dong'bu'ke'yun'zhan
东大村,dong'da'cun
东大河,dong'da'he
东段,dong'duan
东风广场,dong'feng'guang'chang
东风西路,dong'feng'xi'lu
东风西路口,dong'feng'xi'lu'kou
东风巷,dong'feng'xiang
东风巷口,dong'feng'xiang'kou
东华小区,dong'hua'xiao'qu
董家湾,dong'jia'wan
东郊黄土坡,dong'jiao'huang'tu'po
东聚建材城,dong'ju'jian'cai'cheng
东廊村,dong'lang'cun
东陆饭店,dong'lu'fan'dian
东陆桥,dong'lu'qiao
东三环,dong'san'huan
东三环招呼站,dong'san'huan'zhao'hu'zhan
东寺街,dong'si'jie
东寺街南口,dong'si'jie'nan'kou
洞天乐园,dong'tian'le'yuan
动物研究所,dong'wu'yan'jiu'suo
动物园后门,dong'wu'yuan'hou'men
东骧神骏万泰小区,dong'xiang'shen'jun'wan'tai'xiao'qu
东站,dong'zhan
豆腐营,dou'fu'ying
斗南,dou'nan
斗南路口,dou'nan'lu'kou
陡坡村,dou'po'cun
杜家营,du'jia'ying
读书铺,du'shu'pu
独秧田,du'yang'tian
端仕街,duan'shi'jie
对碓村,dui'dui'cun
对锅头村,dui'guo'tou'cun
二环北路,er'huan'bei'lu
二环南路,er'huan'nan'lu
二环西路,er'huan'xi'lu
珥玑路口,er'ji'lu'kou
二十八公里,er'shi'ba'gong'li
二十三中,er'shi'san'zhong
二十一中,er'shi'yi'zhong
二庄村,er'zhuang'cun
发禄村,fa'lu'cun
发禄村口,fa'lu'cun'kou
范家场,fan'jia'chang
范家村,fan'jia'cun
防腐厂,fang'fu'chang
仿江南水乡,fang'jiang'nan'shui'xiang
凤凰村,feng'huang'cun
凤凰新村,feng'huang'xin'cun
丰宁小区,feng'ning'xiao'qu
凤煮街,feng'zhu'jie
凤煮街北,feng'zhu'jie'bei
凤煮街南,feng'zhu'jie'nan
福保村,fu'bao'cun
福保文化城,fu'bao'wen'hua'cheng
福达路口,fu'da'lu'kou
福发路口,fu'fa'lu'kou
福发路中段,fu'fa'lu'zhong'duan
福海,fu'hai
福海乡,fu'hai'xiang
福景花园,fu'jing'hua'yuan
府甬道,fu'yong'dao
府甬道口,fu'yong'dao'kou
嘎纳小镇,ga'na'xiao'zhen
干沟路口,gan'gou'lu'kou
干海子,gan'hai'zi
干休所,gan'xiu'suo
岗头村,gang'tou'cun
高地村,gao'di'cun
高家庄,gao'jia'zhuang
高庙村,gao'miao'cun
高新开发区,gao'xin'kai'fa'qu
高新开发区管委会,gao'xin'kai'fa'qu'guan'wei'hui
高新区管委会,gao'xin'qu'guan'wei'hui
高峣,gao'yao
高峣村,gao'yao'cun
高朱村,gao'zhu'cun
公家村,gong'jia'cun
公家村口,gong'jia'cun'kou
公交村口卡充值中心,gong'jiao'cun'kou'ka'chong'zhi'zhong'xin
公交海口车场,gong'jiao'hai'kou'che'chang
公汽车场,gong'qi'che'chang
公汽大板桥车场,gong'qi'da'ban'qiao'che'chang
公汽修理厂,gong'qi'xiu'li'chang
工人新村,gong'ren'xin'cun
工人医院,gong'ren'yi'yuan
谷律村委会,gu'lv'cun'wei'hui
官宝路口,guan'bao'lu'kou
官渡古镇,guan'du'gu'zhen
官渡广场,guan'du'guang'chang
官渡街道办事处,guan'du'jie'dao'ban'shi'chu
官渡老街,guan'du'lao'jie
官渡区委,guan'du'qu'wei
官渡区医院,guan'du'qu'yi'yuan
官渡中路,guan'du'zhong'lu
官房大酒店,guan'fang'da'jiu'dian
关高路口,guan'gao'lu'kou
观海休闲园,guan'hai'xiu'xian'yuan
观景路,guan'jing'lu
关景路,guan'jing'lu
关岭路,guan'ling'lu
官南大道,guan'nan'da'dao
关南路,guan'nan'lu
官南路,guan'nan'lu
官南路口,guan'nan'lu'kou
关上,guan'shang
关上东路,guan'shang'dong'lu
关上东路北段,guan'shang'dong'lu'bei'duan
关上东路中段,guan'shang'dong'lu'zhong'duan
关上南路,guan'shang'nan'lu
关上西路口,guan'shang'xi'lu'kou
关上中路,guan'shang'zhong'lu
关锁村,guan'suo'cun
关锁中心学校,guan'suo'zhong'xin'xue'xiao
关通路口,guan'tong'lu'kou
官小路,guan'xiao'lu
官小路口,guan'xiao'lu'kou
官小路南口,guan'xiao'lu'nan'kou
关兴路,guan'xing'lu
关兴路口,guan'xing'lu'kou
关一小,guan'yi'xiao
观音洞,guan'yin'dong
观音山,guan'yin'shan
观音寺,guan'yin'si
关雨路口,guan'yu'lu'kou
广福立交北,guang'fu'li'jiao'bei
广福路,guang'fu'lu
广福路口,guang'fu'lu'kou
广卫村路口,guang'wei'cun'lu'kou
贵昆路,gui'kun'lu
贵研铂业,gui'yan'bo'ye
贵研泊业,gui'yan'bo'ye
过磅房,guo'bang'fang
过磅房岔口,guo'bang'fang'cha'kou
国防路,guo'fang'lu
国际花园,guo'ji'hua'yuan
郭家凹,guo'jia'ao
郭家庄,guo'jia'zhuang
国贸路,guo'mao'lu
国贸路口,guo'mao'lu'kou
国贸中心,guo'mao'zhong'xin
哈马者村,ha'ma'zhe'cun
海宝岔口,hai'bao'cha'kou
海边沟,hai'bian'gou
海埂,hai'geng
海埂别墅区,hai'geng'bie'shu'qu
海梗别墅区,hai'geng'bie'shu'qu
海埂大坝,hai'geng'da'ba
海梗大坝,hai'geng'da'ba
海埂公园,hai'geng'gong'yuan
海梗公园,hai'geng'gong'yuan
海埂路,hai'geng'lu
海埂旅游索道站,hai'geng'lv'you'suo'dao'zhan
海埂体训基地,hai'geng'ti'xun'ji'di
海口,hai'kou
海口大桥,hai'kou'da'qiao
海口公交车场,hai'kou'gong'jiao'che'chang
海口水泥厂,hai'kou'shui'ni'chang
海口镇政府,hai'kou'zhen'zheng'fu
海屯路,hai'tun'lu
海屯路口,hai'tun'lu'kou
海乡,hai'xiang
海源北路,hai'yuan'bei'lu
海源北路中段,hai'yuan'bei'lu'zhong'duan
海源村,hai'yuan'cun
海源寺,hai'yuan'si
海源寺车场,hai'yuan'si'che'chang
海源新村,hai'yuan'xin'cun
海源中路,hai'yuan'zhong'lu
海源中路口,hai'yuan'zhong'lu'kou
海源庄,hai'yuan'zhuang
海子村,hai'zi'cun
韩家湾,han'jia'wan
韩家小村,han'jia'xiao'cun
航天城,hang'tian'cheng
航运码头,hang'yun'ma'tou
豪都家具商场,hao'dou'jia'ju'shang'chang
豪都家具商城,hao'dou'jia'ju'shang'cheng
河底村,he'di'cun
和甸营村,he'dian'ying'cun
和平村,he'ping'cun
和平新村,he'ping'xin'cun
和清村,he'qing'cun
荷塘月色小区,he'tang'yue'se'xiao'qu
核桃箐口,he'tao'jing'kou
河外村,he'wai'cun
河尾村,he'wei'cun
河尾大村,he'wei'da'cun
河尾小村,he'wei'xiao'cun
黑林铺,hei'lin'pu
黑龙潭,hei'long'tan
恒森家私城,heng'sen'jia'si'cheng
恒威游泳馆,heng'wei'you'yong'guan
虹福家园,hong'fu'jia'yuan
红会医院,hong'hui'yi'yuan
洪家营,hong'jia'ying
红锦路,hong'jin'lu
红景路,hong'jing'lu
红康路,hong'kang'lu
红菱路,hong'ling'lu
红泥凹,hong'ni'ao
宏仁村,hong'ren'cun
虹山村口,hong'shan'cun'kou
虹山东路,hong'shan'dong'lu
虹山南路,hong'shan'nan'lu
虹山新村,hong'shan'xin'cun
红水塘,hong'shui'tang
红塔路口,hong'ta'lu'kou
红塔体育中心,hong'ta'ti'yu'zhong'xin
红塔西路,hong'ta'xi'lu
红外路口,hong'wai'lu'kou
洪源路,hong'yuan'lu
红云路,hong'yun'lu
鸿运小区,hong'yun'xiao'qu
红云小区,hong'yun'xiao'qu
后所,hou'suo
后新街,hou'xin'jie
护国路,hu'guo'lu
护国桥,hu'guo'qiao
湖景小镇,hu'jing'xiao'zhen
湖畔之梦小区,hu'pan'zhi'meng'xiao'qu
滑草场,hua'cao'chang
华昌路,hua'chang'lu
华昌路口,hua'chang'lu'kou
化城路口,hua'cheng'lu'kou
华春苑,hua'chun'yuan
花红园大村,hua'hong'yuan'da'cun
华龙人家小区,hua'long'ren'jia'xiao'qu
华山东路,hua'shan'dong'lu
华山东路口,hua'shan'dong'lu'kou
华山南路,hua'shan'nan'lu
华山西路,hua'shan'xi'lu
华夏中专,hua'xia'zhong'zhuan
华夏中专学校,hua'xia'zhong'zhuan'xue'xiao
花渔沟北,hua'yu'gou'bei
花渔沟南,hua'yu'gou'nan
花渔沟中段,hua'yu'gou'zhong'duan
环城北路,huan'cheng'bei'lu
环城北路口,huan'cheng'bei'lu'kou
环城东路,huan'cheng'dong'lu
环城东路口,huan'cheng'dong'lu'kou
环城南路,huan'cheng'nan'lu
环城南路口,huan'cheng'nan'lu'kou
环城西路,huan'cheng'xi'lu
环城西路口,huan'cheng'xi'lu'kou
环西路口,huan'xi'lu'kou
环西桥,huan'xi'qiao
黄家医圈,huang'jia'yi'quan
黄龙箐,huang'long'jing
黄土坡,huang'tu'po
黄土坡后街,huang'tu'po'hou'jie
恢厂,hui'chang
回龙村口,hui'long'cun'kou
晖湾,hui'wan
火车北站,huo'che'bei'zhan
火电公司,huo'dian'gong'si
积善北路北口,ji'shan'bei'lu'bei'kou
积善北路南口,ji'shan'bei'lu'nan'kou
积善村南,ji'shan'cun'nan
积善路,ji'shan'lu
积善上村,ji'shan'shang'cun
积善下村,ji'shan'xia'cun
积善中村,ji'shan'zhong'cun
吉祥西路口,ji'xiang'xi'lu'kou
吉祥中路口,ji'xiang'zhong'lu'kou
积肖村,ji'xiao'cun
机械闸,ji'xie'zha
机修连,ji'xiu'lian
加工厂,jia'gong'chang
嘉和科技,jia'he'ke'ji
嘉禾科技,jia'he'ke'ji
佳湖花园,jia'hu'hua'yuan
家乐福,jia'le'fu
佳园小区,jia'yuan'xiao'qu
加州枫景小区,jia'zhou'feng'jing'xiao'qu
加洲枫景小区,jia'zhou'feng'jing'xiao'qu
建工三村,jian'gong'san'cun
建设路,jian'she'lu
江岸三区,jiang'an'san'qu
江岸小区,jiang'an'xiao'qu
江东花城,jiang'dong'hua'cheng
江东花园,jiang'dong'hua'yuan
江东花园北路,jiang'dong'hua'yuan'bei'lu
江东商业街,jiang'dong'shang'ye'jie
江东四季园,jiang'dong'si'ji'yuan
江东小康城,jiang'dong'xiao'kang'cheng
教场北路,jiao'chang'bei'lu
教场北路口,jiao'chang'bei'lu'kou
教场东路,jiao'chang'dong'lu
教场路口,jiao'chang'lu'kou
教场西路口,jiao'chang'xi'lu'kou
教场中路,jiao'chang'zhong'lu
教场中路口,jiao'chang'zhong'lu'kou
茭菱路,jiao'ling'lu
茭菱路口,jiao'ling'lu'kou
交三桥,jiao'san'qiao
交通学校,jiao'tong'xue'xiao
郊野公园,jiao'ye'gong'yuan
教益路口,jiao'yi'lu'kou
金澳门娱乐城,jin'ao'men'yu'le'cheng
金碧路,jin'bi'lu
金碧路口,jin'bi'lu'kou
晋城,jin'cheng
金殿,jin'dian
金殿大坝,jin'dian'da'ba
金殿水库,jin'dian'shui'ku
金鼎园,jin'ding'yuan
近华浦路,jin'hua'pu'lu
近华浦路口,jin'hua'pu'lu'kou
金家村,jin'jia'cun
金家山,jin'jia'shan
金江路,jin'jiang'lu
金江路口,jin'jiang'lu'kou
金菊路,jin'ju'lu
金康园,jin'kang'yuan
金马村,jin'ma'cun
金马坊,jin'ma'fang
金马立交桥,jin'ma'li'jiao'qiao
金马寺,jin'ma'si
金马文化村,jin'ma'wen'hua'cun
金马正昌果品交易市场,jin'ma'zheng'chang'guo'pin'jiao'yi'shi'chang
金牛小区,jin'niu'xiao'qu
金牛小区南门,jin'niu'xiao'qu'nan'men
金牌村,jin'pai'cun
金秋路,jin'qiu'lu
金泉汽车广场,jin'quan'qi'che'guang'chang
金色大道,jin'se'da'dao
金色交响家园,jin'se'jiao'xiang'jia'yuan
金沙路口,jin'sha'lu'kou
金沙湾,jin'sha'wan
金沙小区,jin'sha'xiao'qu
金世纪摩配城,jin'shi'ji'mo'pei'cheng
金实西区,jin'shi'xi'qu
金实小区,jin'shi'xiao'qu
金水湾,jin'shui'wan
金水湾小区,jin'shui'wan'xiao'qu
金太路,jin'tai'lu
金瓦路,jin'wa'lu
金瓦路口,jin'wa'lu'kou
金夏路,jin'xia'lu
金星东门,jin'xing'dong'men
金星立交桥,jin'xing'li'jiao'qiao
金星啤酒厂,jin'xing'pi'jiu'chang
金星西门,jin'xing'xi'men
锦秀山庄小区,jin'xiu'shan'zhuang'xiao'qu
锦绣山庄小区,jin'xiu'shan'zhuang'xiao'qu
锦绣庄园,jin'xiu'zhuang'yuan
锦绣庄园小区,jin'xiu'zhuang'yuan'xiao'qu
金鹰购物中心,jin'ying'gou'wu'zhong'xin
金源大道,jin'yuan'da'dao
金源购物中心,jin'yuan'gou'wu'zhong'xin
锦苑花园,jin'yuan'hua'yuan
金苑商厦,jin'yuan'shang'sha
金汁路,jin'zhi'lu
金庄路,jin'zhuang'lu
警官学院,jing'guan'xue'yuan
靖国路口,jing'guo'lu'kou
经济技术开发区,jing'ji'ji'shu'kai'fa'qu
经开区管委会,jing'kai'qu'guan'wei'hui
经牛路口,jing'niu'lu'kou
经桥路,jing'qiao'lu
旧车交易市场,jiu'che'jiao'yi'shi'chang
旧寨,jiu'zhai
菊花村,ju'hua'cun
菊华立交桥,ju'hua'li'jiao'qiao
军区高原训练基地,jun'qu'gao'yuan'xun'lian'ji'di
康复医院,kang'fu'yi'yuan
康盛电器城,kang'sheng'dian'qi'cheng
客车改装厂,ke'che'gai'zhuang'chang
科发路口,ke'fa'lu'kou
科光路,ke'guang'lu
科光路口,ke'guang'lu'kou
科技孵化园,ke'ji'fu'hua'yuan
科技馆,ke'ji'guan
科技路口,ke'ji'lu'kou
科锦路,ke'jin'lu
科开路口,ke'kai'lu'kou
科普路,ke'pu'lu
科盛路,ke'sheng'lu
空军医院,kong'jun'yi'yuan
昆船北大门,kun'chuan'bei'da'men
昆船北区,kun'chuan'bei'qu
昆船工业区,kun'chuan'gong'ye'qu
昆船南门,kun'chuan'nan'men
昆船培训中心,kun'chuan'pei'xun'zhong'xin
昆大线路口,kun'da'xian'lu'kou
昆都北门,kun'du'bei'men
昆都南门,kun'du'nan'men
昆富路,kun'fu'lu
昆钢,kun'gang
昆岭路,kun'ling'lu
昆岭路口,kun'ling'lu'kou
昆禄路口,kun'lu'lu'kou
昆洛路,kun'luo'lu
昆洛路二号招呼站,kun'luo'lu'er'hao'zhao'hu'zhan
昆洛路口,kun'luo'lu'kou
昆洛路三号招呼站,kun'luo'lu'san'hao'zhao'hu'zhan
昆洛路一号招呼站,kun'luo'lu'yi'hao'zhao'hu'zhan
昆明玻璃厂,kun'ming'bo'li'chang
昆明地质勘探院,kun'ming'di'zhi'kan'tan'yuan
昆明滇池国家旅游度假区管委会,kun'ming'dian'chi'guo'jia'lv'you'du'jia'qu'guan'wei'hui
昆明动物园,kun'ming'dong'wu'yuan
昆明动物园后门,kun'ming'dong'wu'yuan'hou'men
昆明发电厂,kun'ming'fa'dian'chang
昆明肝病医院,kun'ming'gan'bing'yi'yuan
昆明化肥厂,kun'ming'hua'fei'chang
昆明卷烟厂,kun'ming'juan'yan'chang
昆明理工大学,kun'ming'li'gong'da'xue
昆明理工大学白龙区,kun'ming'li'gong'da'xue'bai'long'qu
昆明理工大学北门,kun'ming'li'gong'da'xue'bei'men
昆明理工大学津桥学院,kun'ming'li'gong'da'xue'jin'qiao'xue'yuan
昆明理工大学西区,kun'ming'li'gong'da'xue'xi'qu
昆明皮肤病医院,kun'ming'pi'fu'bing'yi'yuan
昆明市输送机械公司,kun'ming'shi'shu'song'ji'xie'gong'si
昆明铣床厂,kun'ming'xi'chuang'chang
昆明学院,kun'ming'xue'yuan
昆明询识学校,kun'ming'xun'shi'xue'xiao
昆明站,kun'ming'zhan
昆明植物园,kun'ming'zhi'wu'yuan
昆曲岔口,kun'qu'cha'kou
昆曲路口,kun'qu'lu'kou
昆瑞公路口,kun'rui'gong'lu'kou
昆瑞路,kun'rui'lu
昆沙路口,kun'sha'lu'kou
昆石高速管理处,kun'shi'gao'su'guan'li'chu
昆师路,kun'shi'lu
昆师路口,kun'shi'lu'kou
昆十一中,kun'shi'yi'zhong
昆十中,kun'shi'zhong
昆五中,kun'wu'zhong
昆纤公司,kun'xian'gong'si
昆烟二部,kun'yan'er'bu
昆阳,kun'yang
昆阳磷肥厂,kun'yang'lin'fei'chang
昆药集团,kun'yao'ji'tuan
昆医附二院,kun'yi'fu'er'yuan
昆医附一院,kun'yi'fu'yi'yuan
兰龙潭,lan'long'tan
老年活动中心,lao'nian'huo'dong'zhong'xin
李长官村,li'chang'guan'cun
李家场,li'jia'chang
李家地,li'jia'di
李家湾,li'jia'wan
丽江路口,li'jiang'lu'kou
丽景园东路,li'jing'yuan'dong'lu
里仁村,li'ren'cun
里仁村委会,li'ren'cun'wei'hui
里仁大村,li'ren'da'cun
里仁小村,li'ren'xiao'cun
里仁新村,li'ren'xin'cun
里仁中段,li'ren'zhong'duan
理想小镇,li'xiang'xiao'zhen
丽阳星城,li'yang'xing'cheng
丽苑路,li'yuan'lu
丽苑路西段,li'yuan'lu'xi'duan
李子坪,li'zi'ping
莲花宾馆,lian'hua'bin'guan
莲花池,lian'hua'chi
联盟大酒店,lian'meng'da'jiu'dian
联盟路,lian'meng'lu
联盟路口,lian'meng'lu'kou
联通大厦,lian'tong'da'sha
梁家河,liang'jia'he
梁家河车场,liang'jia'he'che'chang
凉亭,liang'ting
梁源路,liang'yuan'lu
梁源三区,liang'yuan'san'qu
梁源小区,liang'yuan'xiao'qu
疗养院,liao'yang'yuan
林科所,lin'ke'suo
霖雨路,lin'yu'lu
霖雨桥,lin'yu'qiao
霖雨桥东,lin'yu'qiao'dong
六谷村,liu'gu'cun
六甲,liu'jia
刘家营,liu'jia'ying
刘家营新区,liu'jia'ying'xin'qu
柳苑,liu'yuan
龙宝寺,long'bao'si
龙都疗养中心,long'du'liao'yang'zhong'xin
龙津药业,long'jin'yao'ye
龙马东,long'ma'dong
龙马西,long'ma'xi
龙马中,long'ma'zhong
龙门村,long'men'cun
龙庆贰村,long'qing'er'cun
龙庆头村,long'qing'tou'cun
龙泉花园,long'quan'hua'yuan
龙泉路,long'quan'lu
龙泉住宅区,long'quan'zhu'zhai'qu
龙泉住宅小区,long'quan'zhu'zhai'xiao'qu
龙潭,long'tan
龙头街,long'tou'jie
龙头街口,long'tou'jie'kou
龙翔街口,long'xiang'jie'kou
龙院村,long'yuan'cun
芦柴湾,lu'chai'wan
陆广路,lu'guang'lu
陆家场,lu'jia'chang
陆家村,lu'jia'cun
陆家村村委会,lu'jia'cun'cun'wei'hui
陆家村委会,lu'jia'cun'wei'hui
卢家营,lu'jia'ying
陆家营村,lu'jia'ying'cun
陆军学院,lu'jun'xue'yuan
鲁塔村,lu'ta'cun
路西,lu'xi
绿营地,lu'ying'di
螺峰街,luo'feng'jie
洛龙村,luo'long'cun
落索坡村,luo'suo'po'cun
落索坡村口,luo'suo'po'cun'kou
落索坡村中段,luo'suo'po'cun'zhong'duan
绿世界,lv'shi'jie
旅游学校,lv'you'xue'xiao
麻莪村,ma'e'cun
马房村,ma'fang'cun
马家堆,ma'jia'dui
马街,ma'jie
马街北路,ma'jie'bei'lu
马街村,ma'jie'cun
马街上村,ma'jie'shang'cun
马街中村,ma'jie'zhong'cun
马金堡,ma'jin'bao
马金铺,ma'jin'pu
马洒营,ma'sa'ying
马市口,ma'shi'kou
麻园,ma'yuan
麦冲村,mai'chong'cun
麦地村,mai'di'cun
梅江路口,mei'jiang'lu'kou
美丽新世界,mei'li'xin'shi'jie
美丽新世界小区,mei'li'xin'shi'jie'xiao'qu
弥勒寺,mi'le'si
民航机场,min'hang'ji'chang
民航路,min'hang'lu
民航路口,min'hang'lu'kou
岷山,min'shan
岷山车场,min'shan'che'chang
民胜村,min'sheng'cun
民院路,min'yuan'lu
明波村,ming'bo'cun
明波家具超市,ming'bo'jia'ju'chao'shi
明波驾校,ming'bo'jia'xiao
明波建材灯具市场,ming'bo'jian'cai'deng'ju'shi'chang
明波立交桥,ming'bo'li'jiao'qiao
明波路,ming'bo'lu
茗春苑,ming'chun'yuan
明河路,ming'he'lu
明河路口,ming'he'lu'kou
明河路下段,ming'he'lu'xia'duan
明河路中段,ming'he'lu'zhong'duan
明朗,ming'lang
明朗加油站,ming'lang'jia'you'zhan
明朗渔园岔口,ming'lang'yu'yuan'cha'kou
鸣泉收费站,ming'quan'shou'fei'zhan
明通巷,ming'tong'xiang
明通小学,ming'tong'xiao'xue
名宅东辰苑小区,ming'zhai'dong'chen'yuan'xiao'qu
名宅东辰苑小区小区,ming'zhai'dong'chen'yuan'xiao'qu'xiao'qu
墨雨,mo'yu
耐火材料厂,nai'huo'cai'liao'chang
南坝路,nan'ba'lu
南方学校,nan'fang'xue'xiao
南路,nan'lu
南屏街东口,nan'ping'jie'dong'kou
南屏街东口北,nan'ping'jie'dong'kou'bei
