艾箱灸,ai'xiang'jiu
白血病残留病灶检测,bai'xue'bing'can'liu'bing'zao'jian'ce
白血病抗原检测,bai'xue'bing'kang'yuan'jian'ce
白血病免疫分型,bai'xue'bing'mian'yi'fen'xing
半侧颜面萎缩整形术,ban'ce'yan'mian'wei'suo'zheng'xing'shu
半肝切除术,ban'gan'qie'chu'shu
半骨盆切除人工半骨盆置换术,ban'gu'pen'qie'chu'ren'gong'ban'gu'pen'zhi'huan'shu
半骨盆切除术,ban'gu'pen'qie'chu'shu
瘢痕畸形矫正术,ban'hen'ji'xing'jiao'zheng'shu
半身照射,ban'shen'zhao'she
斑贴试验,ban'tie'shi'yan
半牙切除术,ban'ya'qie'chu'shu
半月板切除术,ban'yue'ban'qie'chu'shu
斑疹伤寒抗体测定,ban'zhen'shang'han'kang'ti'ce'ding
瓣周漏修补术,ban'zhou'lou'xiu'bu'shu
保留瓣膜的主动脉根部替换术,bao'liu'ban'mo'de'zhu'dong'mai'gen'bu'ti'huan'shu
暴露疗法和半暴露疗法,bao'lu'liao'fa'he'ban'bao'lu'liao'fa
包皮环切术,bao'pi'huan'qie'shu
孢子丝菌血清学试验,bao'zi'si'jun'xue'qing'xue'shi'yan
钡灌肠大肠造影,bei'guan'chang'da'chang'zao'ying
贲门癌扩大根治术,ben'men'ai'kuo'da'gen'zhi'shu
贲门癌切除术,ben'men'ai'qie'chu'shu
鼻部分缺损修复术,bi'bu'fen'que'sun'xiu'fu'shu
鼻部其他手术,bi'bu'qi'ta'shou'shu
鼻部神经封闭术,bi'bu'shen'jing'feng'bi'shu
鼻部手术,bi'bu'shou'shu
鼻部特殊治疗,bi'bu'te'shu'zhi'liao
鼻部诊疗,bi'bu'zhen'liao
鼻侧壁移位伴骨质充填术,bi'ce'bi'yi'wei'ban'gu'zhi'chong'tian'shu
臂丛神经损伤神经探查松解术,bi'cong'shen'jing'sun'shang'shen'jing'tan'cha'song'jie'shu
臂丛神经损伤神经移位术,bi'cong'shen'jing'sun'shang'shen'jing'yi'wei'shu
臂丛神经损伤游离神经移植术,bi'cong'shen'jing'sun'shang'you'li'shen'jing'yi'zhi'shu
鼻窦冲洗,bi'dou'chong'xi
鼻窦异物取出术,bi'dou'yi'wu'qu'chu'shu
鼻额管扩张术,bi'e'guan'kuo'zhang'shu
鼻分泌物细胞检测,bi'fen'mi'wu'xi'bao'jian'ce
鼻负压置换治疗,bi'fu'ya'zhi'huan'zhi'liao
鼻骨骨折整复术,bi'gu'gu'zhe'zheng'fu'shu
鼻继发畸形修复术,bi'ji'fa'ji'xing'xiu'fu'shu
鼻畸形矫正术,bi'ji'xing'jiao'zheng'shu
鼻孔闭锁修复术,bi'kong'bi'suo'xiu'fu'shu
闭孔神经内收肌切断术,bi'kong'shen'jing'nei'shou'ji'qie'duan'shu
闭孔神经切断术,bi'kong'shen'jing'qie'duan'shu
鼻泪道再通术,bi'lei'dao'zai'tong'shu
鼻内蝶窦开放手术,bi'nei'die'dou'kai'fang'shou'shu
鼻内额窦开放手术,bi'nei'e'dou'kai'fang'shou'shu
鼻内镜检查,bi'nei'jing'jian'cha
鼻内镜手术后检查处理,bi'nei'jing'shou'shu'hou'jian'cha'chu'li
鼻内脑膜脑膨出颅底修补术,bi'nei'nao'mo'nao'peng'chu'lu'di'xiu'bu'shu
鼻内筛窦开放手术,bi'nei'shai'dou'kai'fang'shou'shu
鼻粘膜激发试验,bi'nian'mo'ji'fa'shi'yan
鼻前庭囊肿切除术,bi'qian'ting'nang'zhong'qie'chu'shu
鼻腔冲洗,bi'qiang'chong'xi
鼻腔泪囊吻合术,bi'qiang'lei'nang'wen'he'shu
鼻腔取活检术,bi'qiang'qu'huo'jian'shu
鼻腔异物取出术,bi'qiang'yi'wu'qu'chu'shu
鼻腔粘连分离术,bi'qiang'zhan'lian'fen'li'shu
闭塞血管激光再通术,bi'se'xue'guan'ji'guang'zai'tong'shu
鼻饲管置管,bi'si'guan'zhi'guan
鼻外蝶窦开放手术,bi'wai'die'dou'kai'fang'shou'shu
鼻外额窦开放手术,bi'wai'e'dou'kai'fang'shou'shu
鼻外脑膜脑膨出颅底修补术,bi'wai'nao'mo'nao'peng'chu'lu'di'xiu'bu'shu
鼻外筛窦开放手术,bi'wai'shai'dou'kai'fang'shou'shu
鼻外伤清创缝合术,bi'wai'shang'qing'chuang'feng'he'shu
鼻外视神经减压术,bi'wai'shi'shen'jing'jian'ya'shu
鼻息肉摘除术,bi'xi'rou'zhai'chu'shu
鼻咽部活检术,bi'yan'bu'huo'jian'shu
鼻异物取出,bi'yi'wu'qu'chu
鼻翼肿瘤切除成形术,bi'yi'zhong'liu'qie'chu'cheng'xing'shu
避孕药皮下埋植术,bi'yun'yao'pi'xia'mai'zhi'shu
鼻再造术,bi'zai'zao'shu
鼻中隔穿孔修补术,bi'zhong'ge'chuan'kong'xiu'bu'shu
鼻中隔矫正术,bi'zhong'ge'jiao'zheng'shu
鼻中隔粘膜划痕术,bi'zhong'ge'nian'mo'hua'hen'shu
鼻中隔软骨取骨术,bi'zhong'ge'ruan'gu'qu'gu'shu
鼻中隔血肿切开引流术,bi'zhong'ge'xue'zhong'qie'kai'yin'liu'shu
鼻阻力测定,bi'zu'li'ce'ding
苄胺唑啉阻滞试验,bian'an'zuo'lin'zu'zhi'shi'yan
便秘及腹泻的生物反馈治疗,bian'mi'ji'fu'xie'de'sheng'wu'fan'kui'zhi'liao
扁桃体和腺样体手术,bian'tao'ti'he'xian'yang'ti'shou'shu
扁桃体烙法治疗,bian'tao'ti'lao'fa'zhi'liao
扁桃体切除术,bian'tao'ti'qie'chu'shu
扁桃体周围脓肿切开引流术,bian'tao'ti'zhou'wei'nong'zhong'qie'kai'yin'liu'shu
变性术,bian'xing'shu
变应原测定,bian'ying'yuan'ce'ding
变应原皮内试验,bian'ying'yuan'pi'nei'shi'yan
辩证施膳指导,bian'zheng'shi'shan'zhi'dao
标测心电图,biao'ce'xin'dian'tu
表层角膜镜片镶嵌术,biao'ceng'jiao'mo'jing'pian'xiang'qian'shu
髌骨半脱位外侧切开松解术,bin'gu'ban'tuo'wei'wai'ce'qie'kai'song'jie'shu
髌骨骨折切开复位内固定术,bin'gu'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
髌股关节病变软骨切除软骨下钻孔术,bin'gu'guan'jie'bing'bian'ruan'gu'qie'chu'ruan'gu'xia'zuan'kong'shu
髌骨脱位成形术,bin'gu'tuo'wei'cheng'xing'shu
髌骨肿瘤截除术,bin'gu'zhong'liu'jie'chu'shu
髌韧带成形术,bin'ren'dai'cheng'xing'shu
冰冻切片检查与诊断,bing'dong'qie'pian'jian'cha'yu'zhen'duan
病毒培养与鉴定,bing'du'pei'yang'yu'jian'ding
病毒血清学试验,bing'du'xue'qing'xue'shi'yan
病房空调降温费,bing'fang'kong'tiao'jiang'wen'fei
病房取暖费,bing'fang'qu'nuan'fei
病理大体标本摄影,bing'li'da'ti'biao'ben'she'ying
病理体视学检查与图像分析,bing'li'ti'shi'xue'jian'cha'yu'tu'xiang'fen'xi
病原体乳胶凝集试验快速检测,bing'yuan'ti'ru'jiao'ning'ji'shi'yan'kuai'su'jian'ce
并指分离术,bing'zhi'fen'li'shu
玻璃体穿刺抽液术,bo'li'ti'chuan'ci'chou'ye'shu
玻璃体内猪囊尾蚴取出术,bo'li'ti'nei'zhu'nang'wei'you'qu'chu'shu
玻璃体切除术,bo'li'ti'qie'chu'shu
波氏法咽鼓管吹张,bo'shi'fa'yan'gu'guan'chui'zhang
补偿物设计及制作,bu'chang'wu'she'ji'ji'zhi'zuo
部分断耳再植术,bu'fen'duan'er'zai'zhi'shu
部分型肺静脉畸形引流矫治术,bu'fen'xing'fei'jing'mai'ji'xing'yin'liu'jiao'zhi'shu
部分型心内膜垫缺损矫治术,bu'fen'xing'xin'nei'mo'dian'que'sun'jiao'zhi'shu
不规则野大面积照射,bu'gui'ze'ye'da'mian'ji'zhao'she
不加热血清反应素试验,bu'jia're'xue'qing'fan'ying'su'shi'yan
布加氏综合症病变段切除术,bu'jia'shi'zong'he'zheng'bing'bian'duan'qie'chu'shu
布加氏综合症膈膜切除术,bu'jia'shi'zong'he'zheng'ge'mo'qie'chu'shu
布加氏综合症根治术,bu'jia'shi'zong'he'zheng'gen'zhi'shu
布加综合症肠房人工血管转流术,bu'jia'zong'he'zheng'chang'fang'ren'gong'xue'guan'zhuan'liu'shu
布加综合症肠颈人工血管转流术,bu'jia'zong'he'zheng'chang'jing'ren'gong'xue'guan'zhuan'liu'shu
布加综合症经股静脉右房联合破膜术,bu'jia'zong'he'zheng'jing'gu'jing'mai'you'fang'lian'he'po'mo'shu
布加综合症经右房破膜术,bu'jia'zong'he'zheng'jing'you'fang'po'mo'shu
布加综合症腔肠房人工血管转流术,bu'jia'zong'he'zheng'qiang'chang'fang'ren'gong'xue'guan'zhuan'liu'shu
布加综合症腔房人工血管转流术,bu'jia'zong'he'zheng'qiang'fang'ren'gong'xue'guan'zhuan'liu'shu
不良修复体拆除,bu'liang'xiu'fu'ti'chai'chu
布氏杆菌凝集试验,bu'shi'gan'jun'ning'ji'shi'yan
步态分析检查,bu'tai'fen'xi'jian'cha
不稳定血红蛋白测定,bu'wen'ding'xue'hong'dan'bai'ce'ding
彩色打印照片,cai'se'da'yin'zhao'pian
彩色多普勒超声常规检查,cai'se'duo'pu'le'chao'sheng'chang'gui'jian'cha
彩色多普勒超声特殊检查,cai'se'duo'pu'le'chao'sheng'te'shu'jian'cha
彩色胶片照相,cai'se'jiao'pian'zhao'xiang
采自体血及保存,cai'zi'ti'xue'ji'bao'cun
残端修整术,can'duan'xiu'zheng'shu
残气容积测定,can'qi'rong'ji'ce'ding
舱内抢救,cang'nei'qiang'jiu
舱外高流量吸氧,cang'wai'gao'liu'liang'xi'yang
侧副韧带挛缩切断术,ce'fu'ren'dai'luan'suo'qie'duan'shu
侧腱束劈开交叉缝合术,ce'jian'shu'pi'kai'jiao'cha'feng'he'shu
侧颅底切除术,ce'lu'di'qie'chu'shu
侧脑室穿刺术,ce'nao'shi'chuan'ci'shu
侧脑室分流术,ce'nao'shi'fen'liu'shu
侧脑室连续镇痛,ce'nao'shi'lian'xu'zhen'tong
测色仪检查,ce'se'yi'jian'cha
层流洁净病房床位费,ceng'liu'jie'jing'bing'fang'chuang'wei'fei
拆除固定装置,chai'chu'gu'ding'zhuang'zhi
拆冠桥,chai'guan'qiao
拆桩,chai'zhuang
产后刮宫术,chan'hou'gua'gong'shu
产前检查,chan'qian'jian'cha
馋针,chan'zhen
长鼻镜检查,chang'bi'jing'jian'cha
肠储存袋成形术,chang'chu'cun'dai'cheng'xing'shu
肠道蛋白丢失显像,chang'dao'dan'bai'diu'shi'xian'xiang
肠道原位膀胱术,chang'dao'yuan'wei'pang'guang'shu
肠倒置术,chang'dao'zhi'shu
肠毒素检测,chang'du'su'jian'ce
肠管代输尿管术,chang'guan'dai'shu'niao'guan'shu
常规经食管超声心动图,chang'gui'jing'shi'guan'chao'sheng'xin'dong'tu
常规面颌像检查,chang'gui'mian'he'xiang'jian'cha
常规心电图检查,chang'gui'xin'dian'tu'jian'cha
常规药敏定性试验,chang'gui'yao'min'ding'xing'shi'yan
肠瘘切除术,chang'lou'qie'chu'shu
肠扭转肠套叠复位术,chang'niu'zhuan'chang'tao'die'fu'wei'shu
肠切除术,chang'qie'chu'shu
肠套叠充气造影及整复,chang'tao'die'chong'qi'zao'ying'ji'zheng'fu
肠套叠手法复位,chang'tao'die'shou'fa'fu'wei
常温冬眠治疗监测,chang'wen'dong'mian'zhi'liao'jian'ce
场效应治疗,chang'xiao'ying'zhi'liao
肠造瘘还纳术,chang'zao'lou'hai'na'shu
肠粘连松解术,chang'zhan'lian'song'jie'shu
超短波短波治疗,chao'duan'bo'duan'bo'zhi'liao
超声波治疗,chao'sheng'bo'zhi'liao
超声多幅照相,chao'sheng'duo'fu'zhao'xiang
超声计算机图文报告,chao'sheng'ji'suan'ji'tu'wen'bao'gao
超声检查实时录像,chao'sheng'jian'cha'shi'shi'lu'xiang
超声胃镜检查术,chao'sheng'wei'jing'jian'cha'shu
超声雾化,chao'sheng'wu'hua
陈旧性会阴裂伤修补术,chen'jiu'xing'hui'yin'lie'shang'xiu'bu'shu
陈旧性肘关节前脱位切开复位术,chen'jiu'xing'zhou'guan'jie'qian'tuo'wei'qie'kai'fu'wei'shu
成骨不全多段截骨术,cheng'gu'bu'quan'duo'duan'jie'gu'shu
尺骨短缩术,chi'gu'duan'suo'shu
耻骨后前列腺切除术,chi'gu'hou'qian'lie'xian'qie'chu'shu
耻骨上前列腺切除术,chi'gu'shang'qian'lie'xian'qie'chu'shu
尺骨头桡骨茎突切除术,chi'gu'tou'rao'gu'jing'tu'qie'chu'shu
尺骨延长术,chi'gu'yan'chang'shu
尺骨鹰嘴骨折切开复位内固定术,chi'gu'ying'zui'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
耻骨与坐骨肿瘤切除术,chi'gu'yu'zuo'gu'zhong'liu'qie'chu'shu
耻骨直肠肌松解术,chi'gu'zhi'chang'ji'song'jie'shu
迟期成分检查,chi'qi'cheng'fen'jian'cha
尺桡骨骨折不愈合切开植骨内固定术,chi'rao'gu'gu'zhe'bu'yu'he'qie'kai'zhi'gu'nei'gu'ding'shu
尺桡骨肿瘤切除及骨重建术,chi'rao'gu'zhong'liu'qie'chu'ji'gu'chong'jian'shu
持续冲洗,chi'xu'chong'xi
持续关节腔冲洗,chi'xu'guan'jie'qiang'chong'xi
持续呼吸功能检测,chi'xu'hu'xi'gong'neng'jian'ce
持续有创性血压监测,chi'xu'you'chuang'xing'xue'ya'jian'ce
齿龈成形术,chi'yin'cheng'xing'shu
冲动行为干预治疗,chong'dong'xing'wei'gan'yu'zhi'liao
重复尿道切除术,chong'fu'niao'dao'qie'chu'shu
重复肾重复输尿管切除术,chong'fu'shen'chong'fu'shu'niao'guan'qie'chu'shu
重睑成形术,chong'jian'cheng'xing'shu
充填式无张力疝修补术,chong'tian'shi'wu'zhang'li'shan'xiu'bu'shu
充填体抛光术,chong'tian'ti'pao'guang'shu
冲洗结膜囊,chong'xi'jie'mo'nang
处女膜切开术,chu'nv'mo'qie'kai'shu
处女膜修复术,chu'nv'mo'xiu'fu'shu
触痛仪检查,chu'tong'yi'jian'cha
出血时间测定,chu'xie'shi'jian'ce'ding
出诊,chu'zhen
除皱术,chu'zhou'shu
触珠蛋白测定,chu'zhu'dan'bai'ce'ding
穿刺组织活检检查与诊断,chuan'ci'zu'zhi'huo'jian'jian'cha'yu'zhen'duan
传染病访视,chuan'ran'bing'fang'shi
床边简易肺功能测定,chuang'bian'jian'yi'fei'gong'neng'ce'ding
床旁超声心动图,chuang'pang'chao'sheng'xin'dong'tu
床旁透视与术中透视,chuang'pang'tou'shi'yu'shu'zhong'tou'shi
垂体后叶功能试验,chui'ti'hou'ye'gong'neng'shi'yan
垂体瘤切除术,chui'ti'liu'qie'chu'shu
垂体细胞移植术,chui'ti'xi'bao'yi'zhi'shu
垂体兴奋试验,chui'ti'xing'fen'shi'yan
垂体抑制试验,chui'ti'yi'zhi'shi'yan
垂直半喉切除术及喉功能重建术,chui'zhi'ban'hou'qie'chu'shu'ji'hou'gong'neng'chong'jian'shu
垂直超半喉切除术及喉功能重建术,chui'zhi'chao'ban'hou'qie'chu'shu'ji'hou'gong'neng'chong'jian'shu
锤状指修复术,chui'zhuang'zhi'xiu'fu'shu
唇弓制备,chun'gong'zhi'bei
唇畸形矫正术,chun'ji'xing'jiao'zheng'shu
唇颊沟加深术,chun'jia'gou'jia'shen'shu
唇缺损修复术,chun'que'sun'xiu'fu'shu
唇外翻矫正术,chun'wai'fan'jiao'zheng'shu
纯音短增量敏感指数试验,chun'yin'duan'zeng'liang'min'gan'zhi'shu'shi'yan
纯音衰减试验,chun'yin'shuai'jian'shi'yan
纯音听阈测定,chun'yin'ting'yu'ce'ding
雌二醇测定,ci'er'chun'ce'ding
磁共振平扫,ci'gong'zhen'ping'sao
磁共振心脏功能检查,ci'gong'zhen'xin'zang'gong'neng'jian'cha
磁共振增强扫描,ci'gong'zhen'zeng'qiang'sao'miao
次广泛子宫切除术,ci'guang'fan'zi'gong'qie'chu'shu
磁疗,ci'liao
磁热疗法,ci're'liao'fa
雌三醇测定,ci'san'chun'ce'ding
磁石试验,ci'shi'shi'yan
雌酮测定,ci'tong'ce'ding
促红细胞生成素测定,cu'hong'xi'bao'sheng'cheng'su'ce'ding
促甲状腺激素兴奋显像,cu'jia'zhuang'xian'ji'su'xing'fen'xian'xiang
促甲状腺素受体抗体测定,cu'jia'zhuang'xian'su'shou'ti'kang'ti'ce'ding
促射精电动按摩,cu'she'jing'dian'dong'an'mo
醋酸白试验,cu'suan'bai'shi'yan
催产素滴注引产术,cui'chan'su'di'zhu'yin'chan'shu
催眠治疗,cui'mian'zhi'liao
大关节,da'guan'jie
大换药,da'huan'yao
大脑半球切除术,da'nao'ban'qiu'qie'chu'shu
大抢救,da'qiang'jiu
大清创缝合,da'qing'chuang'feng'he
大腿截肢术,da'tui'jie'zhi'shu
大网膜颅内移植术,da'wang'mo'lu'nei'yi'zhi'shu
大网膜游离移植术,da'wang'mo'you'li'yi'zhi'shu
大隐静脉耻骨上转流术,da'yin'jing'mai'chi'gu'shang'zhuan'liu'shu
带瓣全程主动脉人工血管置换术,dai'ban'quan'cheng'zhu'dong'mai'ren'gong'xue'guan'zhi'huan'shu
代偿头位测定,dai'chang'tou'wei'ce'ding
带蒂复合组织瓣成形术,dai'di'fu'he'zu'zhi'ban'cheng'xing'shu
带蒂肌瓣切取移植术,dai'di'ji'ban'qie'qu'yi'zhi'shu
带蒂肌皮瓣切取移植术,dai'di'ji'pi'ban'qie'qu'yi'zhi'shu
带蒂筋膜瓣切取移植术,dai'di'jin'mo'ban'qie'qu'yi'zhi'shu
带蒂皮瓣二期断蒂术,dai'di'pi'ban'er'qi'duan'di'shu
带蒂轴型皮瓣切取移植术,dai'di'zhou'xing'pi'ban'qie'qu'yi'zhi'shu
带环制备,dai'huan'zhi'bei
带毛囊皮瓣移植术,dai'mao'nang'pi'ban'yi'zhi'shu
带毛囊游离皮肤移植术,dai'mao'nang'you'li'pi'fu'yi'zhi'shu
带血管蒂肌蒂骨骺移植术,dai'xue'guan'di'ji'di'gu'hou'yi'zhi'shu
带血管蒂游离神经移植术,dai'xue'guan'di'you'li'shen'jing'yi'zhi'shu
带血管游离骨移植颌骨重建术,dai'xue'guan'you'li'gu'yi'zhi'he'gu'chong'jian'shu
带血运骨皮瓣切取移植术,dai'xue'yun'gu'pi'ban'qie'qu'yi'zhi'shu
带真皮血管网游离皮片切取术,dai'zhen'pi'xue'guan'wang'you'li'pi'pian'qie'qu'shu
蛋白质测定,dan'bai'zhi'ce'ding
单瓣二瓣后退腭裂修复术,dan'ban'er'ban'hou'tui'e'lie'xiu'fu'shu
单侧不完全唇裂修复术,dan'ce'bu'wan'quan'chun'lie'xiu'fu'shu
单侧唇腭裂序列正畸治疗,dan'ce'chun'e'lie'xu'lie'zheng'ji'zhi'liao
单侧完全唇裂修复术,dan'ce'wan'quan'chun'lie'xiu'fu'shu
单纯脑动静脉瘘栓塞术,dan'chun'nao'dong'jing'mai'lou'shuan'se'shu
单纯疱疹病毒抗体测定,dan'chun'pao'zhen'bing'du'kang'ti'ce'ding
单纯乳房切除术,dan'chun'ru'fang'qie'chu'shu
单纯乳突凿开术,dan'chun'ru'tu'zao'kai'shu
单纯性外阴切除术,dan'chun'xing'wai'yin'qie'chu'shu
胆道镜检查,dan'dao'jing'jian'cha
胆道球囊扩张术,dan'dao'qiu'nang'kuo'zhang'shu
胆道手术,dan'dao'shou'shu
胆道支架置入术,dan'dao'zhi'jia'zhi'ru'shu
胆管修补成形术,dan'guan'xiu'bu'cheng'xing'shu
胆管移植术,dan'guan'yi'zhi'shu
单颌牙弓夹板拆除术,dan'he'ya'gong'jia'ban'chai'chu'shu
单精子卵泡注射,dan'jing'zi'luan'pao'zhu'she
单精子显微镜下卵细胞内授精术,dan'jing'zi'xian'wei'jing'xia'luan'xi'bao'nei'shou'jing'shu
胆囊肠吻合术,dan'nang'chang'wen'he'shu
胆囊和胆道收缩功能检查,dan'nang'he'dan'dao'shou'suo'gong'neng'jian'cha
胆囊切除术,dan'nang'qie'chu'shu
胆囊收缩素测定,dan'nang'shou'suo'su'ce'ding
胆囊造瘘术,dan'nang'zao'lou'shu
单人舱治疗,dan'ren'cang'zhi'liao
单人间床位费,dan'ren'jian'chuang'wei'fei
胆酸测定,dan'suan'ce'ding
单胎顺产接生,dan'tai'shun'chan'jie'sheng
单纤维肌电图,dan'xian'wei'ji'dian'tu
单项补体测定,dan'xiang'bu'ti'ce'ding
单心室分隔术,dan'xin'shi'fen'ge'shu
胆总管囊肿外引流术,dan'zong'guan'nang'zhong'wai'yin'liu'shu
导管法咽鼓管吹张,dao'guan'fa'yan'gu'guan'chui'zhang
导尿,dao'niao
镫骨肌反射衰减试验,deng'gu'ji'fan'she'shuai'jian'shi'yan
镫骨手术,deng'gu'shou'shu
灯火灸,deng'huo'jiu
等速肌力测定,deng'su'ji'li'ce'ding
等速肌力训练,deng'su'ji'li'xun'lian
第二跖骨头修整成形术,di'er'zhi'gu'tou'xiu'zheng'cheng'xing'shu
低钙试验,di'gai'shi'yan
骶骨肿瘤骶骨部分切除术,di'gu'zhong'liu'di'gu'bu'fen'qie'chu'shu
骶骨肿瘤骶骨次全切除术,di'gu'zhong'liu'di'gu'ci'quan'qie'chu'shu
骶骨肿瘤骶骨全切除及骶骨重建术,di'gu'zhong'liu'di'gu'quan'qie'chu'ji'di'gu'chong'jian'shu
骶管滴注,di'guan'di'zhu
低磷试验,di'lin'shi'yan
低钠试验,di'na'shi'yan
低频脉冲电治疗,di'pin'mai'chong'dian'zhi'liao
骶髂关节结核病灶清除术,di'qia'guan'jie'jie'he'bing'zao'qing'chu'shu
地塞米松抑制试验,di'sai'mi'song'yi'zhi'shi'yan
地塞米松抑制试验肾上腺皮质显像,di'sai'mi'song'yi'zhi'shi'yan'shen'shang'xian'pi'zhi'xian'xiang
低视力助视器试验,di'shi'li'zhu'shi'qi'shi'yan
第四脑室肿瘤切除术,di'si'nao'shi'zhong'liu'qie'chu'shu
低位肛瘘切除术,di'wei'gang'lou'qie'chu'shu
低氧放疗耐力测定,di'yang'fang'liao'nai'li'ce'ding
第一秒平静吸气口腔闭合压测定,di'yi'miao'ping'jing'xi'qi'kou'qiang'bi'he'ya'ce'ding
电按摩,dian'an'mo
电动起立床训练,dian'dong'qi'li'chuang'xun'lian
电耳镜检查,dian'er'jing'jian'cha
淀粉酶测定,dian'fen'mei'ce'ding
电解倒睫,dian'jie'dao'jie
电解脱毛治疗,dian'jie'tuo'mao'zhi'liao
电脑血糖监测,dian'nao'xue'tang'jian'ce
癫痫病灶切除术,dian'xian'bing'zao'qie'chu'shu
癫痫刀手术,dian'xian'dao'shou'shu
电休克治疗,dian'xiu'ke'zhi'liao
电针,dian'zhen
电诊断,dian'zhen'duan
电子耳蜗编程,dian'zi'er'wo'bian'cheng
电子耳蜗植入术,dian'zi'er'wo'zhi'ru'shu
电子骨盆内测量,dian'zi'gu'pen'nei'ce'liang
电子生物反馈疗法,dian'zi'sheng'wu'fan'kui'liao'fa
蝶窦穿刺活检术,die'dou'chuan'ci'huo'jian'shu
耵聍冲洗,ding'ning'chong'xi
定向冠脉内膜旋切术,ding'xiang'guan'mai'nei'mo'xuan'qie'shu
定向条件反射测定,ding'xiang'tiao'jian'fan'she'ce'ding
动静脉人工内瘘成形术,dong'jing'mai'ren'gong'nei'lou'cheng'xing'shu
动静脉人工内瘘人工血管转流术,dong'jing'mai'ren'gong'nei'lou'ren'gong'xue'guan'zhuan'liu'shu
动静脉置管护理,dong'jing'mai'zhi'guan'hu'li
动脉穿刺置管术,dong'mai'chuan'ci'zhi'guan'shu
动脉导管闭合术,dong'mai'dao'guan'bi'he'shu
动脉加压注射,dong'mai'jia'ya'zhu'she
动脉内压力监测,dong'mai'nei'ya'li'jian'ce
动脉显像,dong'mai'xian'xiang
动态脑电图,dong'tai'nao'dian'tu
动态心电图,dong'tai'xin'dian'tu
动态血压监测,dong'tai'xue'ya'jian'ce
窦道及瘘管造影,dou'dao'ji'lou'guan'zao'ying
镀金加工,du'jin'jia'gong
断指再植术,duan'zhi'zai'zhi'shu
断肢再植术,duan'zhi'zai'zhi'shu
对比敏感度检查,dui'bi'min'gan'du'jian'cha
多参数监护无抽搐电休克治疗,duo'can'shu'jian'hu'wu'chou'chu'dian'xiu'ke'zhi'liao
多处软脑膜下横纤维切断术,duo'chu'ruan'nao'mo'xia'heng'xian'wei'qie'duan'shu
多功能神经肌肉功能监测,duo'gong'neng'shen'jing'ji'rou'gong'neng'jian'ce
多轨迹断层肌电图,duo'gui'ji'duan'ceng'ji'dian'tu
多囊肾去顶减压术,duo'nang'shen'qu'ding'jian'ya'shu
多普勒小儿血压检测,duo'pu'le'xiao'er'xue'ya'jian'ce
多胎接生,duo'tai'jie'sheng
腭部肿物局部扩大切除术,e'bu'zhong'wu'ju'bu'kuo'da'qie'chu'shu
腭帆缩短术,e'fan'suo'duan'shu
腭弓成形术,e'gong'cheng'xing'shu
腭护板导板矫治,e'hu'ban'dao'ban'jiao'zhi
腭裂兰氏修复术,e'lie'lan'shi'xiu'fu'shu
腭裂术后语音训练治疗,e'lie'shu'hou'yu'yin'xun'lian'zhi'liao
腭瘘修补术,e'lou'xiu'bu'shu
