阿赖耶识,a'lai'ye'shi
果相违可得因,guo'xiang'wei'ke'de'yin
果相违所遍可得,guo'xiang'wei'suo'bian'ke'de
果相违因,guo'xiang'wei'yin
果相违自性可得,guo'xiang'wei'zi'xing'ke'de
果因,guo'yin
合理结合论,he'li'jie'he'lun
合理犹豫,he'li'you'yu
合理遮遣趋入心,he'li'zhe'qian'qu'ru'xin
恒常不变实有,heng'chang'bu'bian'shi'you
后陈,hou'chen
后成,hou'cheng
互绝相违,hu'jue'xiang'wei
互绝相违论式,hu'jue'xiang'wei'lun'shi
互绝相违应成,hu'jue'xiang'wei'ying'cheng
回遮,hui'zhe
活动场所,huo'dong'chang'suo
惑乱因,huo'luan'yin
极成比量,ji'cheng'bi'liang
极成相违,ji'cheng'xiang'wei
极成因,ji'cheng'yin
计度,ji'du
极迥色,ji'jiong'se
集量论,ji'liang'lun
集量论释,ji'liang'lun'shi
极略色,ji'lue'se
记说声,ji'shuo'sheng
记诵,ji'song
极微尘,ji'wei'chen
假立名,jia'li'ming
假名,jia'ming
假有,jia'you
假有三法,jia'you'san'fa
见功能现量,jian'gong'neng'xian'liang
间接领悟,jian'jie'ling'wu
间接相违,jian'jie'xiang'wei
间接影射,jian'jie'ying'she
诘过论式,jie'guo'lun'shi
金刚屑因,jin'gang'xie'yin
近取因,jin'qu'yin
净尽差别因,jing'jin'cha'bie'yin
境自相遣余,jing'zi'xiang'qian'yu
九句因,jiu'ju'yin
九种不并存相违应成,jiu'zhong'bu'bing'cun'xiang'wei'ying'cheng
俱不遣,ju'bu'qian
俱定新缘论,ju'ding'xin'yuan'lun
具广大无垢集量论疏,ju'guang'da'wu'gou'ji'liang'lun'shu
俱生香,ju'sheng'xiang
俱生因,ju'sheng'yin
俱有因,ju'you'yin
俱有缘,ju'you'yuan
聚总,ju'zong
抉择法与有法论,jue'ze'fa'yu'you'fa'lun
可现不可得因,ke'xian'bu'ke'de'yin
肯定,ken'ding
了相,le'xiang
乐欲,le'yu
类同,lei'tong
类总,lei'zong
离分别,li'fen'bie
立量,li'liang
立论者负处,li'lun'zhe'fu'chu
理门,li'men
立能或理由,li'neng'huo'li'you
利他圆满,li'ta'yuan'man
离系果,li'xi'guo
离系子,li'xi'zi
离一异因,li'yi'yi'yin
理由不定伺察意,li'you'bu'ding'si'cha'yi
理由相违伺察意,li'you'xiang'wei'si'cha'yi
立者,li'zhe
立宗,li'zong
量大夫,liang'da'fu
量果,liang'guo
量句义明显注,liang'ju'yi'ming'xian'zhu
量抉择创,liang'jue'ze'chuang
量理宝藏,liang'li'bao'zang
量理海论,liang'li'hai'lun
量理庄严论,liang'li'zhuang'yan'lun
量识相违,liang'shi'xiang'wei
量学,liang'xue
量学理滴论,liang'xue'li'di'lun
量因明,liang'yin'ming
量与果及所量三者,liang'yu'guo'ji'suo'liang'san'zhe
两支论轨,liang'zhi'lun'gui
两种负处,liang'zhong'fu'chu
领纳力,ling'na'li
另有限制别有否定,ling'you'xian'zhi'bie'you'fou'ding
六尘质聚,liu'chen'zhi'ju
六识,liu'shi
六识界,liu'shi'jie
六味,liu'wei
六诤论,liu'zheng'lun
六种对立可得因,liu'zhong'dui'li'ke'de'yin
六种共不定因,liu'zhong'gong'bu'ding'yin
六种事境不成因,liu'zhong'shi'jing'bu'cheng'yin
龙域,long'yu
论轨,lun'gui
论式,lun'shi
名号位,ming'hao'wei
明说,ming'shuo
明文叙述,ming'wen'xu'shu
名物,ming'wu
名相,ming'xiang
名言分别,ming'yan'fen'bie
名言共相,ming'yan'gong'xiang
名言共相分别,ming'yan'gong'xiang'fen'bie
名言位,ming'yan'wei
明知,ming'zhi
恼六根本烦恼,nao'liu'gen'ben'fan'nao
内遍,nei'bian
内净色,nei'jing'se
内境物质,nei'jing'wu'zhi
内六处,nei'liu'chu
内六界,nei'liu'jie
内色,nei'se
内心遣余,nei'xin'qian'yu
能遍,neng'bian
能遍不可得因,neng'bian'bu'ke'de'yin
能遍不可得应成,neng'bian'bu'ke'de'ying'cheng
能遍对立可得因,neng'bian'dui'li'ke'de'yin
能遍相违果可得,neng'bian'xiang'wei'guo'ke'de
能遍相违果位可得应成,neng'bian'xiang'wei'guo'wei'ke'de'ying'cheng
能遍相违所遍可得,neng'bian'xiang'wei'suo'bian'ke'de
能遍相违所遍可得应成,neng'bian'xiang'wei'suo'bian'ke'de'ying'cheng
能遍相违自性可得,neng'bian'xiang'wei'zi'xing'ke'de
能遍相违自性可得应成,neng'bian'xiang'wei'zi'xing'ke'de'ying'cheng
能别不极成,neng'bie'bu'ji'cheng
能立,neng'li
能立不遣,neng'li'bu'qian
能立反体同类,neng'li'fan'ti'tong'lei
能立所立两俱不遣,neng'li'suo'li'liang'ju'bu'qian
能立应成,neng'li'ying'cheng
能立证成,neng'li'zheng'cheng
能破,neng'po
能诠声,neng'quan'sheng
能生,neng'sheng
能显解脱道,neng'xian'jie'tuo'dao
能作因,neng'zuo'yin
逆倒周遍,ni'dao'zhou'bian
逆能立因,ni'neng'li'yin
逆缘,ni'yuan
逆正周遍,ni'zheng'zhou'bian
念忆念,nian'yi'nian
排除矛盾,pai'chu'mao'dun
平等香气,ping'deng'xiang'qi
平整,ping'zheng
瓶之反体,ping'zhi'fan'ti
破除,po'chu
破立遮止,po'li'zhe'zhi
破四句生因,po'si'ju'sheng'yin
破有无生因,po'you'wu'sheng'yin
七法界,qi'fa'jie
七种识界,qi'zhong'shi'jie
七种心识,qi'zhong'xin'shi
遣余,qian'yu
遣余论,qian'yu'lun
亲果不可得因,qin'guo'bu'ke'de'yin
亲果直接果,qin'guo'zhi'jie'guo
亲近取因,qin'jin'qu'yin
亲因证成果因,qin'yin'zheng'cheng'guo'yin
亲因直接因,qin'yin'zhi'jie'yin
清净依他起,qing'jing'yi'ta'qi
诠聚声,quan'ju'sheng
诠类声,quan'lei'sheng
诠能别声,quan'neng'bie'sheng
诠体声,quan'ti'sheng
诠有法声,quan'you'fa'sheng
确定破观待因,que'ding'po'guan'dai'yin
染污意,ran'wu'yi
认可,ren'ke
人我执,ren'wo'zhi
人无我,ren'wu'wo
任意,ren'yi
容是所知,rong'shi'suo'zhi
如实缘体心,ru'shi'yuan'ti'xin
如说,ru'shuo
三比量,san'bi'liang
三察清净圣言,san'cha'qing'jing'sheng'yan
三类反体法,san'lei'fan'ti'fa
三量,san'liang
三轮,san'lun
三所量分,san'suo'liang'fen
三违理量,san'wei'li'liang
三相三性,san'xiang'san'xing
三相违,san'xiang'wei
三因,san'yin
三真如,san'zhen'ru
三真因,san'zhen'yin
三种不成因,san'zhong'bu'cheng'yin
三种不引能立应成,san'zhong'bu'yin'neng'li'ying'cheng
三种反体同一不成,san'zhong'fan'ti'tong'yi'bu'cheng
三种观待论者不成,san'zhong'guan'dai'lun'zhe'bu'cheng
三种似论式,san'zhong'si'lun'shi
三种似因,san'zhong'si'yin
三种他定量,san'zhong'ta'ding'liang
三种悟果智,san'zhong'wu'guo'zhi
三种无为,san'zhong'wu'wei
三种现识,san'zhong'xian'shi
三种相违果位可得应成,san'zhong'xiang'wei'guo'wei'ke'de'ying'cheng
三种相违所遍可得应成,san'zhong'xiang'wei'suo'bian'ke'de'ying'cheng
三种相违因,san'zhong'xiang'wei'yin
三种相违自性可得应成,san'zhong'xiang'wei'zi'xing'ke'de'ying'cheng
三种心中不成,san'zhong'xin'zhong'bu'cheng
三种有境,san'zhong'you'jing
三种真因,san'zhong'zhen'yin
色处,se'chu
色蕴,se'yun
舌根,she'gen
舌根现识,she'gen'xian'shi
舌净色根,she'jing'se'gen
摄类单元,she'lei'dan'yuan
舌识,she'shi
摄真实性释难,she'zhen'shi'xing'shi'nan
摄真实性颂,she'zhen'shi'xing'song
身根,shen'gen
身根现识,shen'gen'xian'shi
身净色根,shen'jing'se'gen
身识,shen'shi
身受,shen'shou
声常宗,sheng'chang'zong
胜解,sheng'jie
胜论师,sheng'lun'shi
声闻瑜伽现前智,sheng'wen'yu'jia'xian'qian'zhi
圣言量,sheng'yan'liang
声义俱现分别心,sheng'yi'ju'xian'fen'bie'xin
十八界,shi'ba'jie
十八种招引能立应成,shi'ba'zhong'zhao'yin'neng'li'ying'cheng
是等遍,shi'deng'bian
时地自性不共,shi'di'zi'xing'bu'gong
十二处,shi'er'chu
十二种不并存相违论式,shi'er'zhong'bu'bing'cun'xiang'wei'lun'shi
实法,shi'fa
事反体,shi'fan'ti
实境,shi'jing
事境不成,shi'jing'bu'cheng
实境分别心,shi'jing'fen'bie'xin
视觉根现识,shi'jue'gen'xian'shi
视觉意现识,shi'jue'yi'xian'shi
事理相违,shi'li'xiang'wei
释量论,shi'liang'lun
释量论庄严疏,shi'liang'lun'zhuang'yan'shu
释量论庄严疏注,shi'liang'lun'zhuang'yan'shu'zhu
释量论自注,shi'liang'lun'zi'zhu
十六法界,shi'liu'fa'jie
实名,shi'ming
世亲,shi'qin
十色界,shi'se'jie
事势比量,shi'shi'bi'liang
事势道理,shi'shi'dao'li
实事反体,shi'shi'fan'ti
事势因,shi'shi'yin
实事智,shi'shi'zhi
实事自反,shi'shi'zi'fan
十四种招引他类应成,shi'si'zhong'zhao'yin'ta'lei'ying'cheng
事物分别,shi'wu'fen'bie
事相,shi'xiang
实性远离事,shi'xing'yuan'li'shi
示寻有情声,shi'xun'you'qing'sheng
时隐蔽,shi'yin'bi
士用果,shi'yong'guo
实有,shi'you
实有法,shi'you'fa
实有名,shi'you'ming
识蕴,shi'yun
是则皆是,shi'ze'jie'shi
实质,shi'zhi
实质法,shi'zhi'fa
识知了知,shi'zhi'liao'zhi
受所引色,shou'suo'yin'se
受蕴,shou'yun
疏果间接果,shu'guo'jian'jie'guo
疏近取因间接近取因,shu'jin'qu'yin'jian'jie'jin'qu'yin
数论师,shu'lun'shi
疏因间接因,shu'yin'jian'jie'yin
属着,shu'zhe
顺倒周遍,shun'dao'zhou'bian
顺势认可,shun'shi'ren'ke
顺缘有利条件,shun'yuan'you'li'tiao'jian
顺正周遍,shun'zheng'zhou'bian
说断派,shuo'duan'pai
似比量,si'bi'liang
伺察,si'cha
伺察识,si'cha'shi
伺察意,si'cha'yi
四大种触,si'da'zhong'chu
四倒周遍,si'dao'zhou'bian
四根本显色,si'gen'ben'xian'se
思慧,si'hui
似论式似论轨,si'lun'shi'si'lun'gui
似能立,si'neng'li
似能破,si'neng'po
似所立,si'suo'li
思所生慧,si'suo'sheng'hui
四同一四同,si'tong'yi'si'tong
似现量,si'xian'liang
四现识,si'xian'shi
四相违,si'xiang'wei
四异,si'yi
似异法喻,si'yi'fa'yu
似因,si'yin
似因之一,si'yin'zhi'yi
似应成,si'ying'cheng
似喻,si'yu
四缘,si'yuan
思择语,si'ze'yu
四正周遍,si'zheng'zhou'bian
四种共不定因,si'zhong'gong'bu'ding'yin
四种实有,si'zhong'shi'you
四种似应成,si'zhong'si'ying'cheng
四种习气,si'zhong'xi'qi
四种相违果可得,si'zhong'xiang'wei'guo'ke'de
四种相违所遍可得,si'zhong'xiang'wei'suo'bian'ke'de
四种相违因,si'zhong'xiang'wei'yin
四种相违自性可得,si'zhong'xiang'wei'zi'xing'ke'de
四种心识,si'zhong'xin'shi
四种因遍俱立应成,si'zhong'yin'bian'ju'li'ying'cheng
四种因色,si'zhong'yin'se
四种招引自类应成,si'zhong'zhao'yin'zi'lei'ying'cheng
四种正不定因,si'zhong'zheng'bu'ding'yin
诵法藏法,song'fa'zang'fa
随从心,sui'cong'xin
随欲,sui'yu
所遍内涵,suo'bian'nei'han
所遍能遍相违,suo'bian'neng'bian'xiang'wei
所别不极成,suo'bie'bu'ji'cheng
所举因不成,suo'ju'yin'bu'cheng
所了相,suo'le'xiang
所了相闻,suo'le'xiang'wen
所立不遣,suo'li'bu'qian
所立法,suo'li'fa
所立事,suo'li'shi
所立无,suo'li'wu
所立有法,suo'li'you'fa
所立宗,suo'li'zong
所量,suo'liang
所破反体同类,suo'po'fan'ti'tong'lei
所破因,suo'po'yin
所取境,suo'qu'jing
所取行相,suo'qu'xing'xiang
所诠,suo'quan
所生,suo'sheng
所行所行处,suo'xing'suo'xing'chu
所缘境,suo'yuan'jing
所缘缘,suo'yuan'yuan
所诤事,suo'zheng'shi
所知,suo'zhi
他定量,ta'ding'liang
体同面异,ti'tong'mian'yi
天然香,tian'ran'xiang
听觉根现识,ting'jue'gen'xian'shi
听觉意现识,ting'jue'yi'xian'shi
同法论轨,tong'fa'lun'gui
同分,tong'fen
同分因,tong'fen'yin
同类习气,tong'lei'xi'qi
同类因,tong'lei'yin
同品,tong'pin
同品遍,tong'pin'bian
同品遍异品遍不遍,tong'pin'bian'yi'pin'bian'bu'bian
同品定无异品遍有因,tong'pin'ding'wu'yi'pin'bian'you'yin
同品定无异品有非有因,tong'pin'ding'wu'yi'pin'you'fei'you'yin
同品异品两俱遍有,tong'pin'yi'pin'liang'ju'bian'you
同品异品两俱有非有,tong'pin'yi'pin'liang'ju'you'fei'you
同品有非有,tong'pin'you'fei'you
同体相属,tong'ti'xiang'zhu
同位,tong'wei
同一,tong'yi
统一不可得因,tong'yi'bu'ke'de'yin
统一不可得因四种论式,tong'yi'bu'ke'de'yin'si'zhong'lun'shi
同异二品无定因,tong'yi'er'pin'wu'ding'yin
推理八句义,tui'li'ba'ju'yi
推理八事,tui'li'ba'shi
推理气,tui'li'qi
推理学,tui'li'xue
推论,tui'lun
推知,tui'zhi
外境,wai'jing
外境物质,wai'jing'wu'zhi
外六处,wai'liu'chu
外六界,wai'liu'jie
外色,wai'se
外延,wai'yan
唯遍不成,wei'bian'bu'cheng
微尘,wei'chen
味处,wei'chu
违倒周遍,wei'dao'zhou'bian
味觉根现识,wei'jue'gen'xian'shi
味觉意现识,wei'jue'yi'xian'shi
为他比量,wei'ta'bi'liang
为他因,wei'ta'yin
微细色法,wei'xi'se'fa
唯因不成,wei'yin'bu'cheng
违越,wei'yue
违正周遍,wei'zheng'zhou'bian
为自比量,wei'zi'bi'liang
闻慧,wen'hui
闻所生分别,wen'suo'sheng'fen'bie
闻所生分别心,wen'suo'sheng'fen'bie'xin
闻所生慧,wen'suo'sheng'hui
我见习气,wo'jian'xi'qi
我执,wo'zhi
无变异圆成实性,wu'bian'yi'yuan'cheng'shi'xing
五别境,wu'bie'jing
五大因,wu'da'yin
无方分尘质,wu'fang'fen'chen'zhi
无分别错乱意识,wu'fen'bie'cuo'luan'yi'shi
无分别颠倒识,wu'fen'bie'dian'dao'shi
无分别识,wu'fen'bie'shi
无垢正理,wu'gou'zheng'li
五果,wu'guo
五果因,wu'guo'yin
悟果智,wu'guo'zhi
无合喻,wu'he'yu
无记,wu'ji
无记声,wu'ji'sheng
无理由伺察意,wu'li'you'si'cha'yi
五门识,wu'men'shi
雾气,wu'qi
无时分剎那,wu'shi'fen'cha'na
五十一心所,wu'shi'yi'xin'suo
无实有,wu'shi'you
无所立事,wu'suo'li'shi
悟他,wu'ta
悟他论疏,wu'ta'lun'shu
物体,wu'ti
悟心,wu'xin
无因可得应成,wu'yin'ke'de'ying'cheng
悟因心,wu'yin'xin
五蕴,wu'yun
无遮,wu'zhe
无遮遣余,wu'zhe'qian'yu
物质,wu'zhi
无执受大种声,wu'zhi'shou'da'zhong'sheng
五种法处所摄色,wu'zhong'fa'chu'suo'she'se
五种根现识,wu'zhong'gen'xian'shi
五种似异法喻,wu'zhong'si'yi'fa'yu
五种意现识,wu'zhong'yi'xian'shi
无着,wu'zhuo
细末,xi'mo
习气,xi'qi
细色,xi'se
现而不悟,xian'er'bu'wu
现而不悟根现识,xian'er'bu'wu'gen'xian'shi
现而不悟意现识,xian'er'bu'wu'yi'xian'shi
现而不悟自证分,xian'er'bu'wu'zi'zheng'fen
现量,xian'liang
现量抵触,xian'liang'di'chu
现量果,xian'liang'guo
现量相违,xian'liang'xiang'wei
现前分,xian'qian'fen
现前识,xian'qian'shi
现前再决识,xian'qian'zai'jue'shi
陷入违越,xian'ru'wei'yue
显色,xian'se
现识三步,xian'shi'san'bu
显现境,xian'xian'jing
显因三相,xian'yin'san'xiang
显因真实性论,xian'yin'zhen'shi'xing'lun
先因证成果因,xian'yin'zheng'cheng'guo'yin
限制词,xian'zhi'ci
相成就遍计所执,xiang'cheng'jiu'bian'ji'suo'zhi
香处,xiang'chu
香气,xiang'qi
相违所遍可得应成,xiang'wei'suo'bian'ke'de'ying'cheng
相违因,xiang'wei'yin
相违有余,xiang'wei'you'yu
相续,xiang'xu
相应根,xiang'ying'gen
相应行,xiang'ying'xing
相应因,xiang'ying'yin
想蕴,xiang'yun
相属,xiang'zhu
消除,xiao'chu
小观量,xiao'guan'liang
信解,xin'jie
心境不成,xin'jing'bu'cheng
心类学,xin'lei'xue
心量,xin'liang
心名用三法,xin'ming'yong'san'fa
心识作用,xin'shi'zuo'yong
心受,xin'shou
心思,xin'si
心所,xin'suo
心王,xin'wang
信许比量,xin'xu'bi'liang
信许因,xin'xu'yin
性名事相,xing'ming'shi'xiang
形色,xing'se
性同,xing'tong
性相,xing'xiang
性相名相八门遍有,xing'xiang'ming'xiang'ba'men'bian'you
性异,xing'yi
行蕴,xing'yun
嗅觉根现识,xiu'jue'gen'xian'shi
嗅觉意现识,xiu'jue'yi'xian'shi
修所生分别心,xiu'suo'sheng'fen'bie'xin
修所生慧,xiu'suo'sheng'hui
修习慧,xiu'xi'hui
寻思,xun'si
寻思者,xun'si'zhe
眼根,yan'gen
眼根现识,yan'gen'xian'shi
眼净色根,yan'jing'se'gen
颜色,yan'shai
眼识,yan'shi
烟雾,yan'wu
言语分别,yan'yu'fen'bie
言语时,yan'yu'shi
异不相同,yi'bu'xiang'tong
意处,yi'chu
异法论式,yi'fa'lun'shi
依法同一,yi'fa'tong'yi
依反体分成的两种相违,yi'fan'ti'fen'cheng'de'liang'zhong'xiang'wei
依方式分成的两种相违,yi'fang'shi'fen'cheng'de'liang'zhong'xiang'wei
意根,yi'gen
异共相,yi'gong'xiang
异共相分别,yi'gong'xiang'fen'bie
意界,yi'jie
异类,yi'lei
异品,yi'pin
异品遍有,yi'pin'bian'you
异品定无同品遍有,yi'pin'ding'wu'tong'pin'bian'you
异品非有,yi'pin'fei'you
异品周遍,yi'pin'zhou'bian
意识,yi'shi
意识现量,yi'shi'xian'liang
异熟果,yi'shu'guo
异熟因,yi'shu'yin
义体境体,yi'ti'jing'ti
意现识,yi'xian'shi
意言习气,yi'yan'xi'qi
依因同一,yi'yin'tong'yi
依因相属不成,yi'yin'xiang'zhu'bu'cheng
依因相属犹豫不成,yi'yin'xiang'zhu'you'yu'bu'cheng
异喻,yi'yu
已证已违,yi'zheng'yi'wei
因遍俱不成,yin'bian'ju'bu'cheng
因遍俱成,yin'bian'ju'cheng
因遍俱依量成,yin'bian'ju'yi'liang'cheng
因遍俱依许成,yin'bian'ju'yi'xu'cheng
隐藏分,yin'cang'fen
因滴论,yin'di'lun
因滴论广注,yin'di'lun'guang'zhu
因滴论释,yin'di'lun'shi
因法,yin'fa
因法八周遍,yin'fa'ba'zhou'bian
因法立量,yin'fa'li'liang
因法事因法及事三者,yin'fa'shi'yin'fa'ji'shi'san'zhe
因法同一,yin'fa'tong'yi
因法推知果因,yin'fa'tui'zhi'guo'yin
因反体,yin'fan'ti
因类论著,yin'lei'lun'zhu
因理,yin'li
