阿济格等人,a'ji'ge'deng'ren
皇太极逐步建立,huang'tai'ji'zhu'bu'jian'li
皇太极注意,huang'tai'ji'zhu'yi
皇族家谱,huang'zu'jia'pu
讳弘历,hui'hong'li
惠陵,hui'ling
惠征,hui'zheng
惠征之女,hui'zheng'zhi'nv
或毁灭,huo'hui'mie
既播下了,ji'bo'xia'le
继承帝位,ji'cheng'di'wei
集大成之作,ji'da'cheng'zhi'zuo
济尔哈朗,ji'er'ha'lang
继后金汗位,ji'hou'jin'han'wei
积极进取,ji'ji'jin'qu
及库页岛被沙俄侵占,ji'ku'ye'dao'bei'sha'e'qin'zhan
继联即皇帝位,ji'lian'ji'huang'di'wei
及其部众,ji'qi'bu'zhong
及其附属岛屿钓鱼岛赤尾屿等,ji'qi'fu'shu'dao'yu'diao'yu'dao'chi'wei'yu'deng
即位,ji'wei
继位人,ji'wei'ren
集中整理检查修改和销毁,ji'zhong'zheng'li'jian'cha'xiu'gai'he'xiao'hui
记注本朝政事,ji'zhu'ben'chao'zheng'shi
加强中央集权,jia'qiang'zhong'yang'ji'quan
嘉庆四年,jia'qing'si'nian
建国称汗,jian'guo'cheng'han
建国号大清,jian'guo'hao'da'qing
建立过,jian'li'guo
建立金,jian'li'jin
建立了八旗,jian'li'le'ba'qi
建立了由,jian'li'le'you
建立联系等手段,jian'li'lian'xi'deng'shou'duan
建立清国,jian'li'qing'guo
减免捐税,jian'mian'juan'shui
坚实基础,jian'shi'ji'chu
奸污属下妇女,jian'wu'shu'xia'fu'nv
建元之谜,jian'yuan'zhi'mi
建州,jian'zhou
建州部,jian'zhou'bu
建州部被迫南迁,jian'zhou'bu'bei'po'nan'qian
建州部首领时,jian'zhou'bu'shou'ling'shi
建州部与,jian'zhou'bu'yu
江都和约,jiang'du'he'yue
讲经注史,jiang'jing'zhu'shi
将领纷纷,jiang'ling'fen'fen
将其终身幽禁,jiang'qi'zhong'shen'you'jin
将西部边界,jiang'xi'bu'bian'jie
疆域,jiang'yu
杰出帝王,jie'chu'di'wang
解除后顾之忧,jie'chu'hou'gu'zhi'you
阶级矛盾,jie'ji'mao'dun
结束后,jie'shu'hou
仅次于,jin'ci'yu
近代史上,jin'dai'shi'shang
今河北卢龙,jin'he'bei'lu'long
今河北省,jin'he'bei'sheng
进入了,jin'ru'le
进入了它的衰落时期,jin'ru'le'ta'de'shuai'luo'shi'qi
仅剩宁远,jin'sheng'ning'yuan
仅剩他和代善两人,jin'sheng'ta'he'dai'shan'liang'ren
今四平,jin'si'ping
锦匣,jin'xia
近些年,jin'xie'nian
进行篡改,jin'xing'cuan'gai
进行了,jin'xing'le
进行了一次,jin'xing'le'yi'ci
进行侵略扩张的政策,jin'xing'qin'lue'kuo'zhang'de'zheng'ce
近一个世纪以来,jin'yi'ge'shi'ji'yi'lai
金银百余万两,jin'yin'bai'yu'wan'liang
竟拔刀相向,jing'ba'dao'xiang'xiang
经过几次征战,jing'guo'ji'ci'zheng'zhan
经过几年的努力,jing'guo'ji'nian'de'nu'li
经济繁荣,jing'ji'fan'rong
经济富庶,jing'ji'fu'shu
就被搁下,jiu'bei'ge'xia
九年初,jiu'nian'chu
聚居地,ju'ju'di
俱南面坐,ju'nan'mian'zuo
举行考试,ju'xing'kao'shi
均为蒙古族的,jun'wei'meng'gu'zu'de
喀喇沁,ka'la'qin
开创了一个时代,kai'chuang'le'yi'ge'shi'dai
开读,kai'du
开放通商口岸,kai'fang'tong'shang'kou'an
开始着手控制,kai'shi'zhuo'shou'kong'zhi
抗拒者被戮,kang'ju'zhe'bei'lu
康乾盛世,kang'qian'sheng'shi
康乾时期,kang'qian'shi'qi
康熙帝,kang'xi'di
康熙年间,kang'xi'nian'jian
康熙五十年,kang'xi'wu'shi'nian
科尔沁,ke'er'qin
可见当时,ke'jian'dang'shi
可能是,ke'neng'shi
空前高涨,kong'qian'gao'zhang
口角时,kou'jue'shi
困守松山城,kun'shou'song'shan'cheng
扩充为,kuo'chong'wei
扩张至锦州,kuo'zhang'zhi'jin'zhou
拉开越来越大的距离,la'kai'yue'lai'yue'da'de'ju'li
历时九载的,li'shi'jiu'zai'de
历史人物,li'shi'ren'wu
历史舞台,li'shi'wu'tai
历史疑案,li'shi'yi'an
历史之谜,li'shi'zhi'mi
立五宫,li'wu'gong
李渊,li'yuan
离主条例,li'zhu'tiao'li
李自成,li'zi'cheng
李自成农民军,li'zi'cheng'nong'min'jun
李自成在,li'zi'cheng'zai
量才录用,liang'cai'lu'yong
粮草被夺,liang'cao'bei'duo
两路突围,liang'lu'tu'wei
粮食基本上,liang'shi'ji'ben'shang
辽东实行,liao'dong'shi'xing
辽东指挥使司,liao'dong'zhi'hui'shi'si
辽宁省新宾县境内,liao'ning'sheng'xin'bin'xian'jing'nei
林丹汗势力大衰,lin'dan'han'shi'li'da'shuai
林丹汗在,lin'dan'han'zai
林丹汗子,lin'dan'han'zi
刘邦,liu'bang
六十年,liu'shi'nian
隆科多,long'ke'duo
虏获人口,lu'huo'ren'kou
掠夺人畜十八万,lue'duo'ren'chu'shi'ba'wan
沦为,lun'wei
论著小说,lun'zhu'xiao'shuo
落后于,luo'hou'yu
屡败盟誓,lv'bai'meng'shi
率三万大军,lv'san'wan'da'jun
率一万人,lv'yi'wan'ren
满汉文人组成的,man'han'wen'ren'zu'cheng'de
满族入关后,man'zu'ru'guan'hou
满族失去了,man'zu'shi'qu'le
满族要想,man'zu'yao'xiang
莽古尔泰,mang'gu'er'tai
莽古尔泰同,mang'gu'er'tai'tong
盲目自大,mang'mu'zi'da
冒功滥荐,mao'gong'lan'jian
每备御止给,mei'bei'yu'zhi'gei
猛哥帖木儿,meng'ge'tie'mu'er
猛哥帖木儿被杀,meng'ge'tie'mu'er'bei'sha
蒙古八旗和汉军八旗,meng'gu'ba'qi'he'han'jun'ba'qi
蒙古封建,meng'gu'feng'jian
蒙古和朝鲜,meng'gu'he'chao'xian
蒙古族的,meng'gu'zu'de
密约降清,mi'yue'jiang'qing
密诏,mi'zhao
庙号,miao'hao
庙号世宗,miao'hao'shi'zong
愍皇帝,min'huang'di
民族精神,min'zu'jing'shen
命阿敏,ming'a'min
明朝,ming'chao
明朝洪武时,ming'chao'hong'wu'shi
明朝降官降将的作用,ming'chao'jiang'guan'xiang'jiang'de'zuo'yong
明朝将领的降顺,ming'chao'jiang'ling'de'xiang'shun
明朝原版,ming'chao'yuan'ban
明朝在关外,ming'chao'zai'guan'wai
明崇祯,ming'chong'zhen
明崇祯帝自杀,ming'chong'zhen'di'zi'sha
明崇祯九年,ming'chong'zhen'jiu'nian
明嘉靖,ming'jia'jing
明末战乱,ming'mo'zhan'luan
明太祖,ming'tai'zu
明天启六年,ming'tian'qi'liu'nian
明廷派蓟辽总督,ming'ting'pai'ji'liao'zong'du
明万历,ming'wan'li
明万历十一年,ming'wan'li'shi'yi'nian
明万历四十六年,ming'wan'li'si'shi'liu'nian
明万历四十四年,ming'wan'li'si'shi'si'nian
末代皇帝,mo'dai'huang'di
末皇帝,mo'huang'di
莫先安民,mo'xian'an'min
某出版社,mou'chu'ban'she
那拉家族,na'la'jia'zu
南面独坐,nan'mian'du'zuo
南起南海诸岛,nan'qi'nan'hai'zhu'dao
南迁后,nan'qian'hou
南下压迫建州,nan'xia'ya'po'jian'zhou
南至南海诸岛,nan'zhi'nan'hai'zhu'dao
内部由于,nei'bu'you'yu
内地和边疆,nei'di'he'bian'jiang
内国史院,nei'guo'shi'yuan
内弘文院,nei'hong'wen'yuan
内秘书院,nei'mi'shu'yuan
内三院,nei'san'yuan
能够自给,neng'gou'zi'ji
尼布楚条约,ni'bu'chu'tiao'yue
年八月初九,nian'ba'yue'chu'jiu
年才,nian'cai
年的,nian'de
年二月十八日,nian'er'yue'shi'ba'ri
年号,nian'hao
年号雍正,nian'hao'yong'zheng
年皇太极病死,nian'huang'tai'ji'bing'si
捻军起义,nian'jun'qi'yi
年退位,nian'tui'wei
年以上,nian'yi'shang
年在沈阳,nian'zai'shen'yang
年在位,nian'zai'wei
宁远一线,ning'yuan'yi'xian
牛二头,niu'er'tou
农民军,nong'min'jun
农业有了较大发展,nong'ye'you'le'jiao'da'fa'zhan
努尔哈赤,nu'er'ha'chi
努尔哈赤不仅,nu'er'ha'chi'bu'jin
努尔哈赤传,nu'er'ha'chi'chuan
努尔哈赤的,nu'er'ha'chi'de
努尔哈赤第八子,nu'er'ha'chi'di'ba'zi
努尔哈赤对外,nu'er'ha'chi'dui'wai
努尔哈赤六世祖,nu'er'ha'chi'liu'shi'zu
努尔哈赤陌生,nu'er'ha'chi'mo'sheng
努尔哈赤是,nu'er'ha'chi'shi
努尔哈赤死后,nu'er'ha'chi'si'hou
努尔哈赤所,nu'er'ha'chi'suo
努尔哈赤以,nu'er'ha'chi'yi
努尔哈赤在,nu'er'ha'chi'zai
努尔哈赤作为,nu'er'ha'chi'zuo'wei
懦弱自卑,nuo'ruo'zi'bei
女真,nv'zhen
女真部,nv'zhen'bu
女真各部,nv'zhen'ge'bu
女真族,nv'zhen'zu
炮伤之谜,pao'shang'zhi'mi
蓬勃发展,peng'bo'fa'zhan
平定准噶尔回部,ping'ding'zhun'ga'er'hui'bu
迫使朝鲜签订,po'shi'chao'xian'qian'ding
溥仪,pu'yi
溥仪墓,pu'yi'mu
起兵反明,qi'bing'fan'ming
七大恨,qi'da'hen
弃守滦州,qi'shou'luan'zhou
祺祥,qi'xiang
起义结束了,qi'yi'jie'shu'le
其余汉人分屯别居,qi'yu'han'ren'fen'tun'bie'ju
其中凡,qi'zhong'fan
其中规定,qi'zhong'gui'ding
其中著名的,qi'zhong'zhu'ming'de
七子,qi'zi
迁都北京,qian'du'bei'jing
前后在位,qian'hou'zai'wei
乾隆,qian'long
乾隆帝,qian'long'di
乾隆二十四年记录,qian'long'er'shi'si'nian'ji'lu
乾隆六十年,qian'long'liu'shi'nian
乾隆于,qian'long'yu
乾隆在位,qian'long'zai'wei
乾隆中叶,qian'long'zhong'ye
前仆后继,qian'pu'hou'ji
秦皇,qin'huang
侵略明朝,qin'lue'ming'chao
亲率十万大军入侵朝鲜,qin'lv'shi'wan'da'jun'ru'qin'chao'xian
秦始皇以下,qin'shi'huang'yi'xia
清朝,qing'chao
清朝被推翻,qing'chao'bei'tui'fan
清朝的,qing'chao'de
清朝的疆域,qing'chao'de'jiang'yu
清朝第十一个皇帝,qing'chao'di'shi'yi'ge'huang'di
清朝建立,qing'chao'jian'li
清朝疆域,qing'chao'jiang'yu
清朝历史,qing'chao'li'shi
清朝灭亡,qing'chao'mie'wang
清朝入关,qing'chao'ru'guan
清朝入关后,qing'chao'ru'guan'hou
清朝时期,qing'chao'shi'qi
清朝晚期,qing'chao'wan'qi
清朝正式建立,qing'chao'zheng'shi'jian'li
清朝中期,qing'chao'zhong'qi
清初,qing'chu
清代,qing'dai
清代人口,qing'dai'ren'kou
清代入关,qing'dai'ru'guan
清代自入关后,qing'dai'zi'ru'guan'hou
清帝,qing'di
清高宗弘历,qing'gao'zong'hong'li
青海大草滩,qing'hai'da'cao'tan
清军,qing'jun
清军入关,qing'jun'ru'guan
清理和总结,qing'li'he'zong'jie
清穆宗同治,qing'mu'zong'tong'zhi
清圣祖,qing'sheng'zu
清史学家,qing'shi'xue'jia
清世宗,qing'shi'zong
清太祖,qing'tai'zu
清太祖努尔哈赤第八子,qing'tai'zu'nu'er'ha'chi'di'ba'zi
清天命,qing'tian'ming
清统治者,qing'tong'zhi'zhe
清王朝,qing'wang'chao
清文宗,qing'wen'zong
清西陵,qing'xi'ling
清逊帝,qing'xun'di
清中叶以后,qing'zhong'ye'yi'hou
取出锦匣,qu'chu'jin'xia
取得了汗的,qu'de'le'han'de
取得了蒙古,qu'de'le'meng'gu
去解疑吧,qu'jie'yi'ba
去研究,qu'yan'jiu
取自,qu'zi
权力分散,quan'li'fen'san
全盛时期,quan'sheng'shi'qi
确定满族族名,que'ding'man'zu'zu'ming
却永远失传,que'yong'yuan'shi'chuan
群臣,qun'chen
人口众多的,ren'kou'zhong'duo'de
人口最众多,ren'kou'zui'zhong'duo
人们对,ren'men'dui
人们研究,ren'men'yan'jiu
人民负担更为沉重,ren'min'fu'dan'geng'wei'chen'zhong
日益暴露,ri'yi'bao'lu
日子时,ri'zi'shi
荣禄,rong'lu
入关,ru'guan
入关后,ru'guan'hou
乳名兰儿,ru'ming'lan'er
入侵朝鲜,ru'qin'chao'xian
入主中原,ru'zhu'zhong'yuan
萨尔浒之战,sa'er'hu'zhi'zhan
三大贝勒,san'da'bei'le
三十八年,san'shi'ba'nian
丧失大量国土,sang'shi'da'liang'guo'tu
僧俗头领,seng'su'tou'ling
杀子之谜,sha'zi'zhi'mi
擅杀人命,shan'sha'ren'ming
上层分子,shang'ceng'fen'zi
尚可喜,shang'ke'xi
上面写着,shang'mian'xie'zhe
社会矛盾,she'hui'mao'dun
社会生产力,she'hui'sheng'chan'li
设立,she'li
设立吏,she'li'li
慑之以兵,she'zhi'yi'bing
身份和地位,shen'fen'he'di'wei
身世之谜,shen'shi'zhi'mi
沈阳东陵,shen'yang'dong'ling
生产凋敝,sheng'chan'diao'bi
生于,sheng'yu
生于康熙,sheng'yu'kang'xi
使百姓能,shi'bai'xing'neng
史称后金,shi'cheng'hou'jin
史称康雍乾盛世,shi'cheng'kang'yong'qian'sheng'shi
使大量,shi'da'liang
是个奇迹,shi'ge'qi'ji
使汉族人民,shi'han'zu'ren'min
谥号,shi'hao
