爱河,ai'he
东村村口,dong'cun'cun'kou
东海林街,dong'hai'lin'jie
东海燃气,dong'hai'ran'qi
东海燃气有限公司,dong'hai'ran'qi'you'xian'gong'si
东河畜牧场,dong'he'xu'mu'chang
东河畜牧场一区,dong'he'xu'mu'chang'yi'qu
东六清福街,dong'liu'qing'fu'jie
东六条路,dong'liu'tiao'lu
东六新安街,dong'liu'xin'an'jie
东七条路,dong'qi'tiao'lu
东三福民街,dong'san'fu'min'jie
东三景福街,dong'san'jing'fu'jie
东三牡丹街,dong'san'mu'dan'jie
东三条路,dong'san'tiao'lu
东三新安街,dong'san'xin'an'jie
东圣林桥,dong'sheng'lin'qiao
东四福民街,dong'si'fu'min'jie
东四条路,dong'si'tiao'lu
东四小食品,dong'si'xiao'shi'pin
东四小食品批发,dong'si'xiao'shi'pin'pi'fa
东五福民街,dong'wu'fu'min'jie
东五清福小区,dong'wu'qing'fu'xiao'qu
东五条路,dong'wu'tiao'lu
东沿江街,dong'yan'jiang'jie
东杨木业公司,dong'yang'mu'ye'gong'si
东一条路,dong'yi'tiao'lu
二地质队,er'di'zhi'dui
二发电厂医院,er'fa'dian'chang'yi'yuan
二发电家属区,er'fa'dian'jia'shu'qu
儿童公园,er'tong'gong'yuan
阀门总厂,fa'men'zong'chang
放牛沟,fang'niu'gou
飞机场,fei'ji'chang
飞云防盗门经销处,fei'yun'fang'dao'men'jing'xiao'chu
妇产儿童一分院,fu'chan'er'tong'yi'fen'yuan
妇产儿童医院,fu'chan'er'tong'yi'yuan
福民街,fu'min'jie
富强,fu'qiang
钢纸公司,gang'zhi'gong'si
高压开关厂,gao'ya'kai'guan'chang
公交公司,gong'jiao'gong'si
公交汽车修配厂,gong'jiao'qi'che'xiu'pei'chang
工农村,gong'nong'cun
光华街,guang'hua'jie
光华小区,guang'hua'xiao'qu
广汽本田博凯店,guang'qi'ben'tian'bo'kai'dian
海浪,hai'lang
海浪小区,hai'lang'xiao'qu
黑龙江商业职业学院,hei'long'jiang'shang'ye'zhi'ye'xue'yuan
黑龙江幼专,hei'long'jiang'you'zhuan
恒丰小学,heng'feng'xiao'xue
恒丰纸业,heng'feng'zhi'ye
红博购物广场,hong'bo'gou'wu'guang'chang
红光市场,hong'guang'shi'chang
红旗二分院,hong'qi'er'fen'yuan
红旗医院,hong'qi'yi'yuan
红旗医院二分院,hong'qi'yi'yuan'er'fen'yuan
虹桥医院,hong'qiao'yi'yuan
宏远木业,hong'yuan'mu'ye
桦林供销社,hua'lin'gong'xiao'she
桦林西,hua'lin'xi
桦林医院,hua'lin'yi'yuan
华隆城市花园,hua'long'cheng'shi'hua'yuan
华森木业,hua'sen'mu'ye
华威小区,hua'wei'xiao'qu
华鑫精工机械厂,hua'xin'jing'gong'ji'xie'chang
皇都郦景,huang'du'li'jing
黄花,huang'hua
黄花小区,huang'hua'xiao'qu
黄金部队小区,huang'jin'bu'dui'xiao'qu
汇通锅炉,hui'tong'guo'lu
火车北站,huo'che'bei'zhan
火车头体育场,huo'che'tou'ti'yu'chang
火车站,huo'che'zhan
火车站东,huo'che'zhan'dong
火车站西,huo'che'zhan'xi
货物处,huo'wu'chu
货运中心,huo'yun'zhong'xin
机车工厂,ji'che'gong'chang
机车市场,ji'che'shi'chang
机车水库,ji'che'shui'ku
机车招待所,ji'che'zhao'dai'suo
机车中学,ji'che'zhong'xue
机动车交易中心,ji'dong'che'jiao'yi'zhong'xin
技师学院,ji'shi'xue'yuan
机务段,ji'wu'duan
吉祥花园小区,ji'xiang'hua'yuan'xiao'qu
机械公司,ji'xie'gong'si
集装箱货场,ji'zhuang'xiang'huo'chang
家具材料厂,jia'ju'cai'liao'chang
佳通轮胎公司,jia'tong'lun'tai'gong'si
检查站,jian'cha'zhan
建福小区,jian'fu'xiao'qu
建工机械,jian'gong'ji'xie
监管支队,jian'guan'zhi'dui
尖山子,jian'shan'zi
监狱,jian'yu
建筑保温材料厂,jian'zhu'bao'wen'cai'liao'chang
建筑研究院,jian'zhu'yan'jiu'yuan
江滨大街,jiang'bin'da'jie
江滨公园,jiang'bin'gong'yuan
江堤路,jiang'di'lu
江都饭店,jiang'du'fan'dian
江南医院,jiang'nan'yi'yuan
江西村,jiang'xi'cun
江西道口,jiang'xi'dao'kou
交通希望小学,jiao'tong'xi'wang'xiao'xue
交通指挥中心,jiao'tong'zhi'hui'zhong'xin
金钢钻有限公司,jin'gang'zuan'you'xian'gong'si
景福街,jing'fu'jie
警苑小区北门,jing'yuan'xiao'qu'bei'men
九医院,jiu'yi'yuan
卷烟材料厂,juan'yan'cai'liao'chang
军马场,jun'ma'chang
卡路屯,ka'lu'tun
卡路屯口,ka'lu'tun'kou
康安路,kang'an'lu
康佳公司,kang'jia'gong'si
康佳街,kang'jia'jie
空调机厂,kong'tiao'ji'chang
矿山北站,kuang'shan'bei'zhan
矿山机械厂,kuang'shan'ji'xie'chang
矿山南站,kuang'shan'nan'zhan
沥青厂,li'qing'chang
立新街,li'xin'jie
莲花泡金河湾小区,lian'hua'pao'jin'he'wan'xiao'qu
炼油厂,lian'you'chang
粮食局青年点,liang'shi'ju'qing'nian'dian
林副特产研究所,lin'fu'te'chan'yan'jiu'suo
林机小区,lin'ji'xiao'qu
林业医院,lin'ye'yi'yuan
林业印刷厂,lin'ye'yin'shua'chang
林业职业学院,lin'ye'zhi'ye'xue'yuan
灵泰药店,ling'tai'yao'dian
灵泰药业,ling'tai'yao'ye
六峰湖小区,liu'feng'hu'xiao'qu
绿地世际城,lv'di'shi'ji'cheng
绿苑小区,lv'yuan'xiao'qu
麻花沟,ma'hua'gou
毛牛河,mao'niu'he
乜河街,mie'he'jie
民航大厦,min'hang'da'sha
民族文化广场,min'zu'wen'hua'guang'chang
明星广场,ming'xing'guang'chang
明月路,ming'yue'lu
明月西路,ming'yue'xi'lu
磨刀石站,mo'dao'shi'zhan
木材加工厂,mu'cai'jia'gong'chang
牡丹峰,mu'dan'feng
牡丹江大学,mu'dan'jiang'da'xue
牡丹江机场,mu'dan'jiang'ji'chang
牡丹江卫生学校,mu'dan'jiang'wei'sheng'xue'xiao
牡丹江医学院,mu'dan'jiang'yi'xue'yuan
木工机械厂,mu'gong'ji'xie'chang
牡林电视大学,mu'lin'dian'shi'da'xue
耐火厂,nai'huo'chang
南城子,nan'cheng'zi
南方商城,nan'fang'shang'cheng
南湖公园,nan'hu'gong'yuan
南市街口,nan'shi'jie'kou
南小屯,nan'xiao'tun
脑科医院,nao'ke'yi'yuan
农经学院,nong'jing'xue'yuan
欧亚翻译学校,ou'ya'fan'yi'xue'xiao
啤酒厂,pi'jiu'chang
平安街东六条路,ping'an'jie'dong'liu'tiao'lu
平安街东七条路,ping'an'jie'dong'qi'tiao'lu
平安街东三条路,ping'an'jie'dong'san'tiao'lu
平安街东五条路,ping'an'jie'dong'wu'tiao'lu
七星公馆,qi'xing'gong'guan
七星街,qi'xing'jie
桥头村,qiao'tou'cun
桥头村商店,qiao'tou'cun'shang'dian
桥头村市场,qiao'tou'cun'shi'chang
清福街,qing'fu'jie
清福小区,qing'fu'xiao'qu
青梅,qing'mei
青梅林校,qing'mei'lin'xiao
庆明二路,qing'ming'er'lu
青少年宫,qing'shao'nian'gong
清心堂药店,qing'xin'tang'yao'dian
清真寺,qing'zhen'si
劝业场,quan'ye'chang
热电公司,re'dian'gong'si
人民公园,ren'min'gong'yuan
人民公园北门,ren'min'gong'yuan'bei'men
人民公园东门,ren'min'gong'yuan'dong'men
日照街,ri'zhao'jie
三家子,san'jia'zi
三期道口,san'qi'dao'kou
上海大众维修,shang'hai'da'zhong'wei'xiu
上海印象,shang'hai'yin'xiang
商业职业学院,shang'ye'zhi'ye'xue'yuan
烧锅,shao'guo
省电力学校,sheng'dian'li'xue'xiao
圣戈班陶瓷公司,sheng'ge'ban'tao'ci'gong'si
胜利村,sheng'li'cun
圣林西街,sheng'lin'xi'jie
圣林新华路口,sheng'lin'xin'hua'lu'kou
师范学院,shi'fan'xue'yuan
市骨科医院,shi'gu'ke'yi'yuan
世纪家园小区,shi'ji'jia'yuan'xiao'qu
市汽轮机辅机厂,shi'qi'lun'ji'fu'ji'chang
市图书馆,shi'tu'shu'guan
市委党校,shi'wei'dang'xiao
书刊印刷厂,shu'kan'yin'shua'chang
帅千广场,shuai'qian'guang'chang
水利打井队,shui'li'da'jing'dui
水利四处,shui'li'si'chu
水利四处住宅区,shui'li'si'chu'zhu'zhai'qu
水泥制品厂,shui'ni'zhi'pin'chang
四道,si'dao
松城调味品厂,song'cheng'tiao'wei'pin'chang
天安路,tian'an'lu
天合石油,tian'he'shi'you
天轮钢丝厂,tian'lun'gang'si'chang
天晴街口,tian'qing'jie'kou
田园外语学校,tian'yuan'wai'yu'xue'xiao
铁岭河,tie'ling'he
铁岭河市场,tie'ling'he'shi'chang
铁岭河邮局,tie'ling'he'you'ju
铁路建材厂,tie'lu'jian'cai'chang
铁路农场,tie'lu'nong'chang
铁三,tie'san
通乡路,tong'xiang'lu
望江楼,wang'jiang'lou
望园小区,wang'yuan'xiao'qu
温春火车站,wen'chun'huo'che'zhan
温春市场,wen'chun'shi'chang
温春水泥厂大门,wen'chun'shui'ni'chang'da'men
温春镇口,wen'chun'zhen'kou
温春镇卫生院,wen'chun'zhen'wei'sheng'yuan
温春镇政府,wen'chun'zhen'zheng'fu
文化大厦,wen'hua'da'sha
文化宫,wen'hua'gong
文化广场,wen'hua'guang'chang
文化广场东站,wen'hua'guang'chang'dong'zhan
文化广场西站,wen'hua'guang'chang'xi'zhan
文化街口,wen'hua'jie'kou
五公里,wu'gong'li
污水处理厂,wu'shui'chu'li'chang
乌苏里路,wu'su'li'lu
西爱民街,xi'ai'min'jie
西八条路,xi'ba'tiao'lu
西二七星街,xi'er'qi'xing'jie
西二条路,xi'er'tiao'lu
西九条路,xi'jiu'tiao'lu
西立交铁道口,xi'li'jiao'tie'dao'kou
西林路,xi'lin'lu
西林路口,xi'lin'lu'kou
西六条路,xi'liu'tiao'lu
西牡丹街,xi'mu'dan'jie
西平安街,xi'ping'an'jie
西七条路,xi'qi'tiao'lu
西三条路,xi'san'tiao'lu
西十二条路,xi'shi'er'tiao'lu
西十条路,xi'shi'tiao'lu
西十一条路,xi'shi'yi'tiao'lu
西四条路,xi'si'tiao'lu
西天晴街,xi'tian'qing'jie
西五条路,xi'wu'tiao'lu
西新安街,xi'xin'an'jie
西新荣街,xi'xin'rong'jie
西苑村,xi'yuan'cun
先锋小学,xian'feng'xiao'xue
先锋医院,xian'feng'yi'yuan
先锋医院分院,xian'feng'yi'yuan'fen'yuan
橡胶厂,xiang'jiao'chang
祥伦街民安路口,xiang'lun'jie'min'an'lu'kou
详伦街民安路口,xiang'lun'jie'min'an'lu'kou
向阳街,xiang'yang'jie
小莫,xiao'mo
小团村,xiao'tuan'cun
晓云街,xiao'yun'jie
新安街口,xin'an'jie'kou
新长安小区,xin'chang'an'xiao'qu
新立,xin'li
新立街,xin'li'jie
新立小区,xin'li'xiao'qu
新玛特购物广场,xin'ma'te'gou'wu'guang'chang
新荣街,xin'rong'jie
新荣小区,xin'rong'xiao'qu
新兴村,xin'xing'cun
心血管病医院,xin'xue'guan'bing'yi'yuan
心血管医院,xin'xue'guan'yi'yuan
新阳绿洲康城,xin'yang'lv'zhou'kang'cheng
新阳绿洲康城东门,xin'yang'lv'zhou'kang'cheng'dong'men
鑫业染织公司,xin'ye'ran'zhi'gong'si
兴隆防盗门厂,xing'long'fang'dao'men'chang
兴隆街东口,xing'long'jie'dong'kou
兴隆街乌苏里路,xing'long'jie'wu'su'li'lu
兴隆乡政府,xing'long'xiang'zheng'fu
兴平路,xing'ping'lu
兴平路口,xing'ping'lu'kou
兴中东三路,xing'zhong'dong'san'lu
兴中路,xing'zhong'lu
雪城驾校,xue'cheng'jia'xiao
烟机厂,yan'ji'chang
沿江中心校,yan'jiang'zhong'xin'xiao
阳光财产保险,yang'guang'cai'chan'bao'xian
阳明法院,yang'ming'fa'yuan
阳明公园,yang'ming'gong'yuan
阳明区政府,yang'ming'qu'zheng'fu
阳明小区,yang'ming'xiao'qu
亿佳缘纸业公司,yi'jia'yuan'zhi'ye'gong'si
医学院附属二院,yi'xue'yuan'fu'shu'er'yuan
亿隹缘纸业公司,yi'zhui'yuan'zhi'ye'gong'si
垠博钻机配件公司,yin'bo'zuan'ji'pei'jian'gong'si
裕民村大树花园,yu'min'cun'da'shu'hua'yuan
园丁小区,yuan'ding'xiao'qu
远东广场小区,yuan'dong'guang'chang'xiao'qu
圆通讲寺,yuan'tong'jiang'si
月牙湖,yue'ya'hu
正大彩钢公司,zheng'da'cai'gang'gong'si
正大机电,zheng'da'ji'dian
正骨医院,zheng'gu'yi'yuan
制药厂,zhi'yao'chang
中德管业,zhong'de'guan'ye
中华路,zhong'hua'lu
中华路口,zhong'hua'lu'kou
中华路小学,zhong'hua'lu'xiao'xue
中华路转盘道,zhong'hua'lu'zhuan'pan'dao
肿瘤医院,zhong'liu'yi'yuan
中乜河大棚,zhong'mie'he'da'peng
中医院,zhong'yi'yuan
紫光小学,zi'guang'xiao'xue
综合批发市场,zong'he'pi'fa'shi'chang
