阿尔卡地亚,a'er'ka'di'ya
车篮子,che'lan'zi
陈楼,chen'lou
城岗,cheng'gang
成功大厦,cheng'gong'da'sha
成侯,cheng'hou
撑劲,cheng'jin
程庄,cheng'zhuang
吃饱吗,chi'bao'ma
吃饱那,chi'bao'na
吃大席,chi'da'xi
吃福,chi'fu
吃喜面,chi'xi'mian
吃着来,chi'zhe'lai
愁人吧,chou'ren'ba
愁人不,chou'ren'bu
愁人子,chou'ren'zi
出来包,chu'lai'bao
楚王陵,chu'wang'ling
川锅一号,chuan'guo'yi'hao
戳喽,chuo'lou
次弄,ci'nong
从徐州,cong'xu'zhou
翠湖御景,cui'hu'yu'jing
崔寨,cui'zhai
崔庄,cui'zhuang
搓灰,cuo'hui
大坝头,da'ba'tou
打吊水,da'diao'shui
大洞山,da'dong'shan
大福源,da'fu'yuan
打广场,da'guang'chang
大郭庄,da'guo'zhuang
大黄山,da'huang'shan
大黄山镇,da'huang'shan'zhen
大课堂,da'ke'tang
大联系,da'lian'xi
大龙湖,da'long'hu
大庙,da'miao
大庙镇,da'miao'zhen
大彭镇,da'peng'zhen
大邳帝国,da'pi'di'guo
大沙河,da'sha'he
打水呢,da'shui'ne
大唐街,da'tang'jie
大屯,da'tun
大屯煤电公司,da'tun'mei'dian'gong'si
大屯镇,da'tun'zhen
打完水,da'wan'shui
大吴,da'wu
大吴镇,da'wu'zhen
大席,da'xi
大许镇,da'xu'zhen
大徐州,da'xu'zhou
大丫,da'ya
大鸭林,da'ya'lin
打印时间,da'yin'shi'jian
大浴场,da'yu'chang
带来家,dai'lai'jia
戴圩镇,dai'xu'zhen
戴庄,dai'zhuang
单晶硅,dan'jing'gui
单楼,dan'lou
党站,dang'zhan
到地方了吗,dao'di'fang'le'ma
到丰县,dao'feng'xian
到家吗,dao'jia'ma
到江苏,dao'jiang'su
到矿大,dao'kuang'da
倒马井,dao'ma'jing
倒弄,dao'nong
到沛县,dao'pei'xian
到市中心,dao'shi'zhong'xin
到新沂,dao'xin'yi
到徐州,dao'xu'zhou
到徐州了,dao'xu'zhou'le
德客乐,de'ke'le
得有意,de'you'yi
等你来到,deng'ni'lai'dao
等你来家,deng'ni'lai'jia
等着来,deng'zhe'lai
堤北,di'bei
地超,di'chao
迪迪一派,di'di'yi'pai
帝都大厦,di'du'da'sha
地锅,di'guo
地锅鸡,di'guo'ji
弟几个,di'ji'ge
帝景城,di'jing'cheng
地下道,di'xia'dao
地邪,di'xie
电子桩,dian'zi'zhuang
刁店,diao'dian
掉脑子,diao'nao'zi
吊日的,diao'ri'de
爹楼,die'lou
丁楼,ding'lou
腚眼子,ding'yan'zi
丁庄,ding'zhuang
东店子,dong'dian'zi
东方美地,dong'fang'mei'di
东环岛,dong'huan'dao
东南郡,dong'nan'jun
洞山,dong'shan
董庄,dong'zhuang
都不孬,dou'bu'nao
都才好,dou'cai'hao
都能死,dou'neng'si
都是带,dou'shi'dai
斗是的,dou'shi'de
督公湖,du'gong'hu
都市晨报,du'shi'chen'bao
短信呼,duan'xin'hu
段庄,duan'zhuang
对包,dui'bao
对吭,dui'keng
对你讲,dui'ni'jiang
对是的,dui'shi'de
多管局,duo'guan'ju
多晶硅,duo'jing'gui
多俊,duo'jun
多热了,duo're'le
多些钱,duo'xie'qian
多着来,duo'zhe'lai
嗯管,en'guan
二环北路,er'huan'bei'lu
二环西路,er'huan'xi'lu
二院了,er'yuan'le
二职高,er'zhi'gao
发双,fa'shuang
反不能,fan'bu'neng
范楼,fan'lou
烦人吧,fan'ren'ba
烦人包,fan'ren'bao
泛亚大厦,fan'ya'da'sha
费叫,fei'jiao
费觉,fei'jue
丰财,feng'cai
凤城镇,feng'cheng'zhen
丰储街,feng'chu'jie
风华园,feng'hua'yuan
凤凰书城,feng'huang'shu'cheng
逢会,feng'hui
逢集,feng'ji
峰景,feng'jing
凤鸣路,feng'ming'lu
风尚米兰,feng'shang'mi'lan
丰县,feng'xian
丰县的,feng'xian'de
丰县了,feng'xian'le
冯庄,feng'zhuang
富春路,fu'chun'lu
富国街,fu'guo'jie
富丽花园,fu'li'hua'yuan
福林渔港,fu'lin'yu'gang
福泰隆,fu'tai'long
服务人员,fu'wu'ren'yuan
复兴北路,fu'xing'bei'lu
复兴南路,fu'xing'nan'lu
伏羊节,fu'yang'jie
福源国际,fu'yuan'guo'ji
干哈的,gan'ha'de
干哈来,gan'ha'lai
干急,gan'ji
干嘛带,gan'ma'dai
干嘛来,gan'ma'lai
干嘛来你,gan'ma'lai'ni
干嘛去的,gan'ma'qu'de
干啥来,gan'sha'lai
干啥去的,gan'sha'qu'de
干熊的,gan'xiong'de
干月人,gan'yue'ren
干姊妹,gan'zi'mei
刚到店,gang'dao'dian
刚来家,gang'lai'jia
港头,gang'tou
高党,gao'dang
高皇,gao'huang
高集,gao'ji
告你讲,gao'ni'jiang
告我讲,gao'wo'jiang
歌风,ge'feng
搁家,ge'jia
各家了,ge'jia'le
个嘛了,ge'ma'le
个么带,ge'me'dai
个哪的,ge'na'de
搁哪来,ge'na'lai
个哪了,ge'na'le
个哪里,ge'na'li
个一起,ge'yi'qi
给我啦啦,gei'wo'la'la
跟谁个,gen'shui'ge
更毁,geng'hui
工程兵,gong'cheng'bing
工人村,gong'ren'cun
工人医院,gong'ren'yi'yuan
供销大厦,gong'xiao'da'sha
公园巷,gong'yuan'xiang
沟北头,gou'bei'tou
鼓楼花园,gu'lou'hua'yuan
鼓楼区,gu'lou'qu
古彭大厦,gu'peng'da'sha
古彭广场,gu'peng'guang'chang
谷子地,gu'zi'di
挂水了,gua'shui'le
挂水呢,gua'shui'ne
挂水去,gua'shui'qu
挂头,gua'tou
挂完水,gua'wan'shui
怪长,guai'chang
怪大,guai'da
怪好来,guai'hao'lai
怪会,guai'hui
怪俊,guai'jun
怪快,guai'kuai
怪快来,guai'kuai'lai
怪忙,guai'mang
拐妮子,guai'ni'zi
管吧,guan'ba
管白,guan'bai
管包,guan'bao
管不,guan'bu
官称,guan'cheng
管管管,guan'guan'guan
官湖,guan'hu
官湖镇,guan'hu'zhen
管了吧,guan'le'ba
官山,guan'shan
观音机场,guan'yin'ji'chang
光荣巷,guang'rong'xiang
广山,guang'shan
贵邦,gui'bang
龟山,gui'shan
龟山汉墓,gui'shan'han'mu
滚孙揍的,gun'sun'zou'de
锅饼,guo'bing
国基城邦,guo'ji'cheng'bang
郭楼,guo'lou
郭庄路,guo'zhuang'lu
还不错来,hai'bu'cuo'lai
还不孬,hai'bu'nao
还不少来,hai'bu'shao'lai
还不睡觉的,hai'bu'shui'jiao'de
还不知道来,hai'bu'zhi'dao'lai
还可吧,hai'ke'ba
还来家,hai'lai'jia
还嫩娘,hai'nen'niang
还是带,hai'shi'dai
还行来,hai'xing'lai
海荧,hai'ying
还在徐州,hai'zai'xu'zhou
还真的来,hai'zhen'de'lai
憨比,han'bi
汉城公园,han'cheng'gong'yuan
汉城国际,han'cheng'guo'ji
汉府雅园,han'fu'ya'yuan
憨孩子,han'hai'zi
憨幌子,han'huang'zi
憨家伙,han'jia'huo
韩金城,han'jin'cheng
汉墓,han'mu
憨妮子,han'ni'zi
憨娘们,han'niang'men
韩山,han'shan
汉王,han'wang
汉王府,han'wang'fu
汉王镇,han'wang'zhen
憨丫,han'ya
憨样,han'yang
憨样子,han'yang'zi
汉园,han'yuan
韩庄,han'zhuang
憨子,han'zi
好包,hao'bao
好滴噶,hao'di'ga
好狠了,hao'hen'le
好看包,hao'kan'bao
好孬,hao'nao
豪绅嘉苑,hao'shen'jia'yuan
好玩包,hao'wan'bao
郝寨,hao'zhai
合沟,he'gou
和集,he'ji
阖家了,he'jia'le
喝米线,he'mi'xian
和平大桥,he'ping'da'qiao
和平桥,he'ping'qiao
和平新村,he'ping'xin'cun
合群桥,he'qun'qiao
赫斯,he'si
和徐州,he'xu'zhou
黑埠,hei'bu
黑个,hei'ge
嘿呼,hei'hu
黑户我,hei'hu'wo
红海椒,hong'hai'jiao
红跑车,hong'pao'che
宏图三胞,hong'tu'san'bao
侯集,hou'ji
侯山窝,hou'shan'wo
后校,hou'xiao
湖北路,hu'bei'lu
户部山,hu'bu'shan
胡扯八道,hu'che'ba'dao
胡扯的,hu'che'de
胡大祥,hu'da'xiang
胡吊,hu'diao
胡吊扯,hu'diao'che
呼死你,hu'si'ni
胡寨,hu'zhai
华润苏果,hua'run'su'guo
华商会,hua'shang'hui
华佗医院,hua'tuo'yi'yuan
化校,hua'xiao
花园饭店,hua'yuan'fan'dian
淮海,huai'hai
淮海堂,huai'hai'tang
淮海网,huai'hai'wang
淮海西路,huai'hai'xi'lu
淮海战役,huai'hai'zhan'yi
欢乐买,huan'le'mai
欢死了,huan'si'le
欢一,huan'yi
皇藏峪,huang'cang'yu
皇城大厦,huang'cheng'da'sha
黄河南路,huang'he'nan'lu
黄河新村,huang'he'xin'cun
黄河沿,huang'he'yan
黄集,huang'ji
黄楼,huang'lou
黄山垄,huang'shan'long
黄山新村,huang'shan'xin'cun
回到徐州,hui'dao'xu'zhou
回丰县,hui'feng'xian
回贾汪,hui'jia'wang
惠民小区,hui'min'xiao'qu
回沛县,hui'pei'xian
回新沂,hui'xin'yi
回徐州,hui'xu'zhou
回徐州了,hui'xu'zhou'le
婚前酒,hun'qian'jiu
几部日,ji'bu'ri
急得啥,ji'de'sha
鸡嘎嘎,ji'ga'ga
鸡嘎子,ji'ga'zi
纪念塔,ji'nian'ta
鸡丝面,ji'si'mian
鸡锁骨,ji'suo'gu
家底子,jia'di'zi
夹河,jia'he
夹河街,jia'he'jie
夹河矿,jia'he'kuang
嘉慧园,jia'hui'yuan
架架势,jia'jia'shi
加勒比,jia'le'bi
架梅,jia'mei
家美时,jia'mei'shi
贾汪,jia'wang
贾汪的,jia'wang'de
贾汪了,jia'wang'le
贾汪区,jia'wang'qu
家育星,jia'yu'xing
建国西路,jian'guo'xi'lu
建国小区,jian'guo'xiao'qu
健美丽人,jian'mei'li'ren
建筑学院,jian'zhu'xue'yuan
江南绿洲,jiang'nan'lv'zhou
江师大,jiang'shi'da
江苏高考,jiang'su'gao'kao
江苏建筑,jiang'su'jian'zhu
江苏教育,jiang'su'jiao'yu
江苏联通,jiang'su'lian'tong
江苏省徐州市,jiang'su'sheng'xu'zhou'shi
江苏师大,jiang'su'shi'da
江苏师范,jiang'su'shi'fan
江苏师范大学,jiang'su'shi'fan'da'xue
江苏体彩,jiang'su'ti'cai
江苏徐州,jiang'su'xu'zhou
江苏徐州的,jiang'su'xu'zhou'de
江苏徐州市,jiang'su'xu'zhou'shi
江苏一,jiang'su'yi
江苏移动,jiang'su'yi'dong
江苏银行,jiang'su'yin'hang
江庄,jiang'zhuang
交管网,jiao'guan'wang
叫口,jiao'kou
焦山,jiao'shan
姐比,jie'bi
金地,jin'di
金地店,jin'di'dian
金地国际,jin'di'guo'ji
金地商都,jin'di'shang'du
金富豪,jin'fu'hao
金奎,jin'kui
金龙湖,jin'long'hu
金山福地,jin'shan'fu'di
金山钱,jin'shan'qian
金山桥,jin'shan'qiao
今生有约,jin'sheng'you'yue
锦绣滨湖,jin'xiu'bin'hu
锦绣华庭,jin'xiu'hua'ting
锦绣家园,jin'xiu'jia'yuan
锦绣年华,jin'xiu'nian'hua
锦绣山水,jin'xiu'shan'shui
金鹰,jin'ying
就才好,jiu'cai'hao
就搁,jiu'ge
就管,jiu'guan
就管了,jiu'guan'le
九里,jiu'li
九里峰景,jiu'li'feng'jing
九里湖,jiu'li'hu
九里区,jiu'li'qu
九里山,jiu'li'shan
九龙湖,jiu'long'hu
九七医院,jiu'qi'yi'yuan
就说你的,jiu'shuo'ni'de
就问问的,jiu'wen'wen'de
酒晕子,jiu'yun'zi
就在徐州,jiu'zai'xu'zhou
九州大厦,jiu'zhou'da'sha
九州大学,jiu'zhou'da'xue
舅揍里,jiu'zou'li
居乐园,ju'le'yuan
巨山,ju'shan
卷皮,juan'pi
觉不到,jue'bu'dao
觉不着,jue'bu'zhao
觉喽,jue'lou
开明市场,kai'ming'shi'chang
凯撒宫,kai'sa'gong
开元四季,kai'yuan'si'ji
看好吗,kan'hao'ma
看夜,kan'ye
康乐园,kang'le'yuan
康馨园,kang'xin'yuan
靠你娘,kao'ni'niang
烤肉筋,kao'rou'jin
可不孬,ke'bu'nao
科文学院,ke'wen'xue'yuan
空后,kong'hou
空后校,kong'hou'xiao
孔庄,kong'zhuang
孔庄矿,kong'zhuang'kuang
口算网,kou'suan'wang
哭啥的,ku'sha'de
裤头子,ku'tou'zi
跨建行,kua'jian'hang
快胡,kuai'hu
快忽的,kuai'hu'de
矿大,kuang'da
矿大了,kuang'da'le
矿加,kuang'jia
矿三院,kuang'san'yuan
矿山路,kuang'shan'lu
矿业大学,kuang'ye'da'xue
矿一,kuang'yi
奎河,kui'he
奎山,kui'shan
奎园,kui'yuan
拉的啥,la'de'sha
拉点别的,la'dian'bie'de
拉点别的吧,la'dian'bie'de'ba
拉呱,la'gua
拉呱的,la'gua'de
拉呱来,la'gua'lai
拉呱了,la'gua'le
拉呱呢,la'gua'ne
啦花了,la'hua'le
拉拉呱,la'la'gua
啦啦话,la'la'hua
啦啥,la'sha
辣子村,la'zi'cun
来到家,lai'dao'jia
来丰县,lai'feng'xian
来家吧,lai'jia'ba
来假的,lai'jia'de
来家啦,lai'jia'la
来家了吗,lai'jia'le'ma
来矿大,lai'kuang'da
赖赖哄,lai'lai'hong
来沛县,lai'pei'xian
来邳州,lai'pi'zhou
来是的,lai'shi'de
来睢宁,lai'sui'ning
来他的,lai'ta'de
来新沂,lai'xin'yi
来徐州,lai'xu'zhou
来徐州吧,lai'xu'zhou'ba
来徐州了,lai'xu'zhou'le
蓝枪鱼,lan'qiang'yu
浪劲,lang'jin
老东门,lao'dong'men
老拐子,lao'guai'zi
老驾,lao'jia
老矿,lao'kuang
老矿大,lao'kuang'da
烙馍村,lao'mo'cun
烙馍馍,lao'mo'mo
老岳头,lao'yue'tou
老证,lao'zheng
老姊妹,lao'zi'mei
了包,le'bao
了吭,le'keng
了心思,le'xin'si
累包,lei'bao
累毁,lei'hui
冷包,leng'bao
立达路,li'da'lu
利国,li'guo
利国镇,li'guo'zhen
李集,li'ji
里脊肉饼,li'ji'rou'bing
李口,li'kou
离徐州,li'xu'zhou
李寨,li'zhai
连云港的,lian'yun'gang'de
连云港了,lian'yun'gang'le
粮管所,liang'guan'suo
两来风,liang'lai'feng
两山口,liang'shan'kou
凉影,liang'ying
梁寨,liang'zhai
凌城,ling'cheng
零障碍,ling'zhang'ai
刘集镇,liu'ji'zhen
刘楼,liu'lou
柳泉,liu'quan
柳泉镇,liu'quan'zhen
刘王楼,liu'wang'lou
柳新镇,liu'xin'zhen
六叶,liu'ye
六叶子,liu'ye'zi
溜着玩,liu'zhe'wan
龙固,long'gu
龙固镇,long'gu'zhen
龙商天骄,long'shang'tian'jiao
喽白,lou'bai
喽呗,lou'bei
鹿楼,lu'lou
鹿湾,lu'wan
路牙石,lu'ya'shi
鹿庄,lu'zhuang
乱着玩,luan'zhe'wan
骆马湖,luo'ma'hu
骆驼山,luo'tuo'shan
绿地世纪城,lv'di'shi'ji'cheng
绿健,lv'jian
马场湖,ma'chang'hu
妈个巴子,ma'ge'ba'zi
妈个比,ma'ge'bi
妈个比的,ma'ge'bi'de
麻辣酱,ma'la'jiang
马陵山,ma'ling'shan
马楼,ma'lou
马上马,ma'shang'ma
马市街,ma'shi'jie
骂谁的,ma'shui'de
马西岭,ma'xi'ling
麦乐星,mai'le'xing
麦莎,mai'sha
卖味,mai'wei
慢呼,man'hu
忙包,mang'bao
忙啥来,mang'sha'lai
毛包,mao'bao
毛晨,mao'chen
茅村,mao'cun
茅村镇,mao'cun'zhen
毛迪,mao'di
毛家菜,mao'jia'cai
毛洁,mao'jie
毛妮,mao'ni
毛琪,mao'qi
毛晴,mao'qing
毛婷,mao'ting
毛丫,mao'ya
毛莹,mao'ying
毛雨,mao'yu
毛庄,mao'zhuang
没吃来,mei'chi'lai
美的城,mei'di'cheng
煤电,mei'dian
煤电公司,mei'dian'gong'si
煤港路,mei'gang'lu
煤建,mei'jian
煤建路,mei'jian'lu
没来急,mei'lai'ji
没来家,mei'lai'jia
没太有,mei'tai'you
梅庄,mei'zhuang
孟家沟,meng'jia'gou
孟庄,meng'zhuang
米汁,mi'zhi
面筋汤,mian'jin'tang
面水,mian'shui
民安园,min'an'yuan
民富园,min'fu'yuan
民康园,min'kang'yuan
民祥园,min'xiang'yuan
民馨园,min'xin'yuan
民怡园,min'yi'yuan
民主路,min'zhu'lu
民主南路,min'zhu'nan'lu
明哲家,ming'zhe'jia
茗钻坊,ming'zuan'fang
魔锅坊,mo'guo'fang
墨河,mo'he
抹泪,mo'lei
莫奇卡托,mo'qi'ka'tuo
默字,mo'zi
某边,mou'bian
某什么,mou'shen'me
母鸡汤,mu'ji'tang
那不才好,na'bu'cai'hao
那不用问了,na'bu'yong'wen'le
那管,na'guan
那毁了,na'hui'le
那伙计,na'huo'ji
拿劲,na'jin
那就管,na'jiu'guan
那么很,na'me'hen
那么俊,na'me'jun
那么滋,na'me'zi
那散了,na'san'le
那谁知道你,na'shui'zhi'dao'ni
那也管,na'ye'guan
哪一会,na'yi'hui
那杂志,na'za'zhi
那怎么办了,na'zen'me'ban'le
奶比,nai'bi
奶奶个比,nai'nai'ge'bi
南湖校区,nan'hu'xiao'qu
南主楼,nan'zhu'lou
孬的,nao'de
孬好,nao'hao
孬货,nao'huo
孬吗,nao'ma
孬熊,nao'xiong
嫩对象,nen'dui'xiang
嫩儿,nen'er
嫩妈妈,nen'ma'ma
能蛋,neng'dan
能蛋蛋,neng'dan'dan
能捣,neng'dao
能豆,neng'dou
能豆子,neng'dou'zi
能烦死,neng'fan'si
能孩,neng'hai
能好嘛,neng'hao'ma
能来到,neng'lai'dao
能来及,neng'lai'ji
能死你了,neng'si'ni'le
能些,neng'xie
能远,neng'yuan
你不睡的,ni'bu'shui'de
你不睡觉的,ni'bu'shui'jiao'de
你不说话的,ni'bu'shuo'hua'de
你吃饭吗,ni'chi'fan'ma
你毒,ni'du
你毒了,ni'du'le
你多能,ni'duo'neng
你干嘛来,ni'gan'ma'lai
你干嘛去的,ni'gan'ma'qu'de
你干啥来,ni'gan'sha'lai
你干什么来,ni'gan'shen'me'lai
你搁,ni'ge
你个比,ni'ge'bi
你个逼样的,ni'ge'bi'yang'de
你个点,ni'ge'dian
你个家,ni'ge'jia
你个哪,ni'ge'na
你搁哪来,ni'ge'na'lai
你个哪了,ni'ge'na'le
你个样,ni'ge'yang
你还怪,ni'hai'guai
你还来吧,ni'hai'lai'ba
你还去吧,ni'hai'qu'ba
你憨,ni'han
你胡扯,ni'hu'che
你俊,ni'jun
你来包,ni'lai'bao
你来家,ni'lai'jia
你来徐州,ni'lai'xu'zhou
你两人,ni'liang'ren
你骂谁的,ni'ma'shui'de
你忙啥来,ni'mang'sha'lai
你嫩娘,ni'nen'niang
你弄么,ni'nong'me
你沛县,ni'pei'xian
你去包,ni'qu'bao
你去哪的,ni'qu'na'de
你上天,ni'shang'tian
你少脑子,ni'shao'nao'zi
你谁个,ni'shei'ge
你是徐州,ni'shi'xu'zhou
你说谁的,ni'shuo'shui'de
你同位,ni'tong'wei
你望你,ni'wang'ni
你往往,ni'wang'wang
你想干嘛的,ni'xiang'gan'ma'de
你徐州,ni'xu'zhou
你徐州的,ni'xu'zhou'de
你在徐州,ni'zai'xu'zhou
你怎么吃的,ni'zen'me'chi'de
你真的假的,ni'zhen'de'jia'de
你真管,ni'zhen'guan
你真假,ni'zhen'jia
你真假的,ni'zhen'jia'de
你真胎,ni'zhen'tai
你知道包,ni'zhi'dao'bao
你抓紧,ni'zhua'jin
你抓来,ni'zhua'lai
碾庄,nian'zhuang
娘隔壁,niang'ge'bi
牛蒡,niu'bang
牛蒡茶,niu'bang'cha
弄长,nong'chang
弄带,nong'dai
弄多人,nong'duo'ren
弄么,nong'me
弄么多,nong'me'duo
弄么快,nong'me'kuai
弄晚,nong'wan
弄熊,nong'xiong
弄熊来,nong'xiong'lai
女人街,nv'ren'jie
欧蓓莎,ou'bei'sha
欧洲商城,ou'zhou'shang'cheng
爬墙头,pa'qiang'tou
牌楼,pai'lou
潘安湖,pan'an'hu
蟠桃,pan'tao
蟠桃花园,pan'tao'hua'yuan
庞庄,pang'zhuang
炮车,pao'che
跑马汤,pao'ma'tang
沛城,pei'cheng
沛城镇,pei'cheng'zhen
沛初中,pei'chu'zhong
沛高,pei'gao
沛公园,pei'gong'yuan
沛县,pei'xian
沛县吧,pei'xian'ba
沛县的,pei'xian'de
沛县了,pei'xian'le
沛县呢,pei'xian'ne
沛县人,pei'xian'ren
陪晓得,pei'xiao'de
彭城,peng'cheng
彭城饭店,peng'cheng'fan'dian
彭城广场,peng'cheng'guang'chang
彭城路,peng'cheng'lu
彭城社区,peng'cheng'she'qu
彭城视窗,peng'cheng'shi'chuang
彭城晚报,peng'cheng'wan'bao
彭城一号,peng'cheng'yi'hao
彭园,peng'yuan
彭祖园,peng'zu'yuan
皮草城,pi'cao'cheng
邳城,pi'cheng
皮带秤,pi'dai'cheng
屁噔噔,pi'deng'deng
皮疼,pi'teng
邳县,pi'xian
邳州,pi'zhou
邳州的,pi'zhou'de
邳州了,pi'zhou'le
邳州论坛,pi'zhou'lun'tan
邳州人,pi'zhou'ren
邳州市,pi'zhou'shi
邳州天气,pi'zhou'tian'qi
骗你玩的,pian'ni'wan'de
拼钱,pin'qian
平楼,ping'lou
七彩街,qi'cai'jie
栖凤园,qi'feng'yuan
七里沟,qi'li'gou
栖山,qi'shan
旗山矿,qi'shan'kuang
七叶子,qi'ye'zi
千刀肉,qian'dao'rou
钱脑子,qian'nao'zi
前王,qian'wang
千禧坊,qian'xi'fang
乔家湖,qiao'jia'hu
亲爱里,qin'ai'li
秦洪桥,qin'hong'qiao
轻工路,qing'gong'lu
青山泉,qing'shan'quan
青山算,qing'shan'suan
庆云桥,qing'yun'qiao
去包,qu'bao
去店,qu'dian
去丰县,qu'feng'xian
去加勒比,qu'jia'le'bi
去贾汪,qu'jia'wang
去金鹰,qu'jin'ying
去矿大,qu'kuang'da
去连云港,qu'lian'yun'gang
去哪的,qu'na'de
去哪玩的,qu'na'wan'de
去沛县,qu'pei'xian
去是的,qu'shi'de
去市中心,qu'shi'zhong'xin
去宿迁,qu'su'qian
去新沂,qu'xin'yi
去徐州,qu'xu'zhou
去徐州了,qu'xu'zhou'le
去云龙湖,qu'yun'long'hu
泉山,quan'shan
泉山公园,quan'shan'gong'yuan
泉山美墅,quan'shan'mei'shu
泉山区,quan'shan'qu
泉山校区,quan'shan'xiao'qu
权台,quan'tai
群益,qun'yi
人才好,ren'cai'hao
人才家园,ren'cai'jia'yuan
人来吧,ren'lai'ba
人民商场,ren'min'shang'chang
人孬,ren'nao
人情礼节,ren'qing'li'jie
仁兄弟,ren'xiong'di
任庄,ren'zhuang
如意家园,ru'yi'jia'yuan
润发一世,run'fa'yi'shi
散边去,san'bian'qu
三河尖,san'he'jian
散事,san'shi
三十一中,san'shi'yi'zhong
三宿舍,san'su'she
散完,san'wan
三小龙,san'xiao'long
散熊,san'xiong
散熊吧,san'xiong'ba
散熊了,san'xiong'le
三丫,san'ya
骚呱,sao'gua
森林海,sen'lin'hai
森人,sen'ren
沙沟湖,sha'gou'hu
啥幌子,sha'huang'zi
沙集,sha'ji
沙集镇,sha'ji'zhen
沙庄,sha'zhuang
沙左,sha'zuo
衫国演义,shan'guo'yan'yi
山窝,shan'wo
上房,shang'fang
上活,shang'huo
上哪的,shang'na'de
上哪去的,shang'na'qu'de
上沛县,shang'pei'xian
尚仕名邸,shang'shi'ming'di
商务城,shang'wu'cheng
上徐州,shang'xu'zhou
邵店,shao'dian
少华街,shao'hua'jie
少脑子,shao'nao'zi
烧稀饭,shao'xi'fan
舍本,she'ben
舍钱,she'qian
谁个,shei'ge
什么带,shen'me'dai
什么汗,shen'me'han
什么幌子,shen'me'huang'zi
什么子,shen'me'zi
升辉,sheng'hui
省控线,sheng'kong'xian
圣人蛋,sheng'ren'dan
是包,shi'bao
师大北门,shi'da'bei'men
是的班,shi'de'ban
是的包,shi'de'bao
是的不,shi'de'bu
是的吗,shi'de'ma
是滴包,shi'di'bao
是滴不,shi'di'bu
是滴吗,shi'di'ma
史店,shi'dian
时集,shi'ji
