爱而不能令,ai'er'bu'neng'ling
不可用也,bu'ke'yong'ye
不可知则敌所备者多,bu'ke'zhi'ze'di'suo'bei'zhe'duo
不利,bu'li
不令而信,bu'ling'er'xin
不能得地利,bu'neng'de'di'li
不能得地之利,bu'neng'de'di'zhi'li
不能得人之用矣,bu'neng'de'ren'zhi'yong'yi
不能使敌之必可胜,bu'neng'shi'di'zhi'bi'ke'sheng
不能行军,bu'neng'xing'jun
不能行军不用乡导者,bu'neng'xing'jun'bu'yong'xiang'dao'zhe
不能豫交不知山林险阻沮泽,bu'neng'yu'jiao'bu'zhi'shan'lin'xian'zu'ju'ze
不能预交不知山林险阻沮泽之形者,bu'neng'yu'jiao'bu'zhi'shan'lin'xian'zu'ju'ze'zhi'xing'zhe
不求而得,bu'qiu'er'de
不仁之至也,bu'ren'zhi'zhi'ye
不受,bu'shou
不忒者,bu'te'zhe
不养天下之权,bu'yang'tian'xia'zhi'quan
不意,bu'yi
不贻不知彼而知己,bu'yi'bu'zhi'bi'er'zhi'ji
不盈而从之,bu'ying'er'cong'zhi
不用乡导,bu'yong'xiang'dao
不约而亲,bu'yue'er'qin
不责于人故能择人而任势,bu'ze'yu'ren'gu'neng'ze'ren'er'ren'shi
不知此而用战者必败,bu'zhi'ci'er'yong'zhan'zhe'bi'bai
不知敌之,bu'zhi'di'zhi
不知军之不可以进而谓之进,bu'zhi'jun'zhi'bu'ke'yi'jin'er'wei'zhi'jin
不知军之不可以退而谓之退,bu'zhi'jun'zhi'bu'ke'yi'tui'er'wei'zhi'tui
不知战日,bu'zhi'zhan'ri
不知之者不胜,bu'zhi'zhi'zhe'bu'sheng
财竭则急于丘役,cai'jie'ze'ji'yu'qiu'yi
常山,chang'shan
车贲,che'ben
车甲之奉,che'jia'zhi'feng
车杂而乘之,che'za'er'cheng'zhi
车战得车十乘以上,che'zhan'de'che'shi'cheng'yi'shang
陈兵纵横,chen'bing'zong'heng
陈也无约而请和者,chen'ye'wu'yue'er'qing'he'zhe
乘人之不及,cheng'ren'zhi'bu'ji
称生胜,cheng'sheng'sheng
称胜者之战民也,cheng'sheng'zhe'zhi'zhan'min'ye
城有所不攻,cheng'you'suo'bu'gong
驰车千驷,chi'che'qian'si
冲其虚也退,chong'qi'xu'ye'tui
出而不胜,chu'er'bu'sheng
出而胜之,chu'er'sheng'zhi
出其,chu'qi
出其所必趋,chu'qi'suo'bi'qu
出征千里,chu'zheng'qian'li
垂瓦,chui'wa
此安国全军之道也,ci'an'guo'quan'jun'zhi'dao'ye
此兵家之胜,ci'bing'jia'zhi'sheng
此兵之利,ci'bing'zhi'li
此处斥泽之军也,ci'chu'chi'ze'zhi'jun'ye
此处平陆之军也,ci'chu'ping'lu'zhi'jun'ye
此处山之军也,ci'chu'shan'zhi'jun'ye
此处水上之军也,ci'chu'shui'shang'zhi'jun'ye
次伐交,ci'fa'jiao
此伏奸之所处也,ci'fu'jian'zhi'suo'chu'ye
此攻之灾也,ci'gong'zhi'zai'ye
此军争之法也,ci'jun'zheng'zhi'fa'ye
此谋攻之法也,ci'mou'gong'zhi'fa'ye
此谓将军之事也,ci'wei'jiang'jun'zhi'shi'ye
此五者,ci'wu'zhe
此用兵之法也,ci'yong'bing'zhi'fa'ye
此用众之,ci'yong'zhong'zhi
此治变者也,ci'zhi'bian'zhe'ye
此治力者也,ci'zhi'li'zhe'ye
此治气者也,ci'zhi'qi'zhe'ye
此治心者也,ci'zhi'xin'zhe'ye
此知迂直之计者也,ci'zhi'yu'zhi'zhi'ji'zhe'ye
存亡之道,cun'wang'zhi'dao
大敌之擒也,da'di'zhi'qin'ye
大吏怒而不服,da'li'nu'er'bu'fu
待而勿攻,dai'er'wu'gong
带甲十万,dai'jia'shi'wan
待劳,dai'lao
待其定也,dai'qi'ding'ye
怠于道,dai'yu'dao
待之无恃其不攻,dai'zhi'wu'shi'qi'bu'gong
当其同舟而济而遇风,dang'qi'tong'zhou'er'ji'er'yu'feng
当吾二十石,dang'wu'er'shi'shi
当吾二十钟杆,dang'wu'er'shi'zhong'gan
道兼行,dao'jian'xing
道者,dao'zhe
得算多也未战而庙算不胜者,de'suan'duo'ye'wei'zhan'er'miao'suan'bu'sheng'zhe
得算少也,de'suan'shao'ye
敌背之,di'bei'zhi
敌必从之予之,di'bi'cong'zhi'yu'zhi
敌必取之,di'bi'qu'zhi
敌不得与我战者,di'bu'de'yu'wo'zhan'zhe
敌不及拒,di'bu'ji'ju
敌不知其所攻,di'bu'zhi'qi'suo'gong
敌不知其所守善守者,di'bu'zhi'qi'suo'shou'shan'shou'zhe
敌分为十,di'fen'wei'shi
敌近而静者,di'jin'er'jing'zhe
敌近之吾迎之,di'jin'zhi'wu'ying'zhi
敌人开阖,di'ren'kai'he
敌人开户后如脱兔,di'ren'kai'hu'hou'ru'tuo'tu
敌若有备,di'ruo'you'bei
地生度,di'sheng'du
敌虽高垒深沟,di'sui'gao'lei'shen'gou
敌虽利我,di'sui'li'wo
敌虽众,di'sui'zhong
敌所,di'suo
敌无备,di'wu'bei
地形第十,di'xing'di'shi
地形有通者有挂者有支者有隘者有险者有远者,di'xing'you'tong'zhe'you'gua'zhe'you'zhi'zhe'you'ai'zhe'you'xian'zhe'you'yuan'zhe
地有所不争,di'you'suo'bu'zheng
敌则能战之,di'ze'neng'zhan'zhi
地则无绝,di'ze'wu'jue
地之道也,di'zhi'dao'ye
地之理也,di'zhi'li'ye
地之助也,di'zhi'zhu'ye
动而不迷,dong'er'bu'mi
动如雷震,dong'ru'lei'zhen
动者,dong'zhe
斗乱而不可乱浑浑沌沌,dou'luan'er'bu'ke'luan'hun'hun'dun'dun
度生量,du'sheng'liang
盾矛橹,dun'mao'lu
多算胜少算,duo'suan'sheng'shao'suan
而爱爵禄百金,er'ai'jue'lu'bai'jin
而备之,er'bei'zhi
饵兵勿食,er'bing'wu'shi
而不可败,er'bu'ke'bai
而不可为,er'bu'ke'wei
而不可追者,er'bu'ke'zhui'zhe
而不利,er'bu'li
而不失敌之败也,er'bu'shi'di'zhi'bai'ye
而不危也天者,er'bu'wei'ye'tian'zhe
而不知地形之不可以战,er'bu'zhi'di'xing'zhi'bu'ke'yi'zhan
而不知敌之不可击,er'bu'zhi'di'zhi'bu'ke'ji
而不知吾卒之,er'bu'zhi'wu'zu'zhi
而城不,er'cheng'bu
而发其机,er'fa'qi'ji
而况于无算乎吾以此观之,er'kuang'yu'wu'suan'hu'wu'yi'ci'guan'zhi
而况远者数十里,er'kuang'yuan'zhe'shu'shi'li
而利于主,er'li'yu'zhu
而示之不能,er'shi'zhi'bu'neng
而索其情,er'suo'qi'qing
而索其情一曰道,er'suo'qi'qing'yi'yue'dao
而应形于无穷,er'ying'xing'yu'wu'qiong
而诱之以利,er'you'zhi'yi'li
二曰火积,er'yue'huo'ji
二曰量,er'yue'liang
二曰天,er'yue'tian
而制胜,er'zhi'sheng
伐大国,fa'da'guo
发火有时,fa'huo'you'shi
法令孰行,fa'ling'shu'xing
法也,fa'ye
发于内,fa'yu'nei
凡兵有走者有驰者有陷者有崩者有乱者有北者,fan'bing'you'zou'zhe'you'chi'zhe'you'xian'zhe'you'beng'zhe'you'luan'zhe'you'bei'zhe
凡处军相敌,fan'chu'jun'xiang'di
凡此,fan'ci
凡此六者,fan'ci'liu'zhe
凡此四军之利,fan'ci'si'jun'zhi'li
凡此四宿者,fan'ci'si'su'zhe
凡此五,fan'ci'wu
凡此五者,fan'ci'wu'zhe
泛地吾将进其途,fan'di'wu'jiang'jin'qi'tu
泛地无舍,fan'di'wu'she
凡地有绝涧天井天牢天罗天陷天隙,fan'di'you'jue'jian'tian'jing'tian'lao'tian'luo'tian'xian'tian'xi
泛地则行,fan'di'ze'xing
凡火攻,fan'huo'gong
凡火攻有五一曰火人,fan'huo'gong'you'wu'yi'yue'huo'ren
凡军必知五火之变,fan'jun'bi'zhi'wu'huo'zhi'bian
凡军好高而恶下,fan'jun'hao'gao'er'e'xia
凡难,fan'nan
犯三军之众,fan'san'jun'zhi'zhong
凡为客之道,fan'wei'ke'zhi'dao
凡先处战地而待敌者佚,fan'xian'chu'zhan'di'er'dai'di'zhe'yi
凡兴师十万,fan'xing'shi'shi'wan
凡用兵之法,fan'yong'bing'zhi'fa
凡战者,fan'zhan'zhe
犯之以事,fan'zhi'yi'shi
凡治众如治寡,fan'zhi'zhong'ru'zhi'gua
方则止,fang'ze'zhi
非霸王之兵也,fei'ba'wang'zhi'bing'ye
非得不用,fei'dei'bu'yong
非恶货也无余命,fei'e'huo'ye'wu'yu'ming
非恶寿也,fei'e'shou'ye
非民之将也,fei'min'zhi'jiang'ye
非善之善也不战而屈人之兵,fei'shan'zhi'shan'ye'bu'zhan'er'qu'ren'zhi'bing
非善之善者也战胜而天下曰善,fei'shan'zhi'shan'zhe'ye'zhan'sheng'er'tian'xia'yue'shan
非天地,fei'tian'di
非危不战,fei'wei'bu'zhan
纷纷纭纭,fen'fen'yun'yun
分数是也斗众如斗寡,fen'shu'shi'ye'dou'zhong'ru'dou'gua
忿速可侮,fen'su'ke'wu
分众,fen'zhong
风起之日也,feng'qi'zhi'ri'ye
风止,feng'zhi
夫霸王之兵,fu'ba'wang'zhi'bing
夫兵久而国利者,fu'bing'jiu'er'guo'li'zhe
夫兵形象水,fu'bing'xing'xiang'shui
夫地形者,fu'di'xing'zhe
夫钝兵挫锐,fu'dun'bing'cuo'rui
夫将者,fu'jiang'zhe
夫金鼓旌,fu'jin'gu'jing
覆军杀将,fu'jun'sha'jiang
夫势均,fu'shi'jun
夫惟无虑而易敌者,fu'wei'wu'lv'er'yi'di'zhe
夫未战而庙算胜者,fu'wei'zhan'er'miao'suan'sheng'zhe
夫吴人与越人相恶也,fu'wu'ren'yu'yue'ren'xiang'e'ye
辅隙则国必弱,fu'xi'ze'guo'bi'ruo
覆也尘高而锐者,fu'ye'chen'gao'er'rui'zhe
伏也兽骇者,fu'ye'shou'hai'zhe
夫用兵之法,fu'yong'bing'zhi'fa
夫战胜攻取而不惰其功者凶,fu'zhan'sheng'gong'qu'er'bu'duo'qi'gong'zhe'xiong
夫众陷于害,fu'zhong'xian'yu'hai
辅周则国必强,fu'zhou'ze'guo'bi'qiang
敢问兵可使如率然乎,gan'wen'bing'ke'shi'ru'shuai'ran'hu
敢问敌众而整将来,gan'wen'di'zhong'er'zheng'jiang'lai
高陵勿向,gao'ling'wu'xiang
革车千乘,ge'che'qian'sheng
革其谋,ge'qi'mou
攻城则力屈,gong'cheng'ze'li'qu
攻城之法,gong'cheng'zhi'fa
公家之奉,gong'jia'zhi'feng
攻其所,gong'qi'suo
攻其所不,gong'qi'suo'bu
攻其所不守也,gong'qi'suo'bu'shou'ye
攻其无备,gong'qi'wu'bei
攻也,gong'ye
攻则有余,gong'ze'you'yu
故备前则后寡,gu'bei'qian'ze'hou'gua
故兵不顿而利可全,gu'bing'bu'dun'er'li'ke'quan
故兵贵胜,gu'bing'gui'sheng
故兵闻拙速,gu'bing'wen'zhuo'su
故兵无常势,gu'bing'wu'chang'shi
故兵以诈立,gu'bing'yi'zha'li
故兵之情围则御,gu'bing'zhi'qing'wei'ze'yu
故不尽知用兵之害者,gu'bu'jin'zhi'yong'bing'zhi'hai'zhe
故不知诸侯之谋者,gu'bu'zhi'zhu'hou'zhi'mou'zhe
故策之而知得失之计,gu'ce'zhi'er'zhi'de'shi'zhi'ji
故敌佚能劳之,gu'di'yi'neng'lao'zhi
故合,gu'he
故将通于九变之利者,gu'jiang'tong'yu'jiu'bian'zhi'li'zhe
故将有五危,gu'jiang'you'wu'wei
故进不求名,gu'jin'bu'qiu'ming
故经之以五事,gu'jing'zhi'yi'wu'shi
故举秋毫不为多力,gu'ju'qiu'hao'bu'wei'duo'li
故军食可足也,gu'jun'shi'ke'zu'ye
故君之所以患于军者三,gu'jun'zhi'suo'yi'huan'yu'jun'zhe'san
故可以与之赴深溪视卒如爱子,gu'ke'yi'yu'zhi'fu'shen'xi'shi'zu'ru'ai'zi
故可与之俱死,gu'ke'yu'zhi'ju'si
故明主慎之,gu'ming'zhu'shen'zhi
故能,gu'neng
故能为敌之司命,gu'neng'wei'di'zhi'si'ming
故能为胜败之政,gu'neng'wei'sheng'bai'zhi'zheng
故能自保而全胜也,gu'neng'zi'bao'er'quan'sheng'ye
故其疾如风,gu'qi'ji'ru'feng
故其战胜不复,gu'qi'zhan'sheng'bu'fu
故其战胜不忒,gu'qi'zhan'sheng'bu'te
故杀敌者,gu'sha'di'zhe
故善,gu'shan
故善出奇者,gu'shan'chu'qi'zhe
故善动敌者,gu'shan'dong'di'zhe
故善攻者,gu'shan'gong'zhe
故善用兵者,gu'shan'yong'bing'zhe
故善战人之势,gu'shan'zhan'ren'zhi'shi
故善战者,gu'shan'zhan'zhe
故善战者之胜也,gu'shan'zhan'zhe'zhi'sheng'ye
故上兵伐谋,gu'shang'bing'fa'mou
故胜兵若以镒称铢,gu'sheng'bing'ruo'yi'yi'cheng'zhu
故为兵之事,gu'wei'bing'zhi'shi
故为之金鼓视不相见,gu'wei'zhi'jin'gu'shi'bu'xiang'jian
故为之旌旗,gu'wei'zhi'jing'qi
故我欲战,gu'wo'yu'zhan
故五行无常胜,gu'wu'xing'wu'chang'sheng
故校,gu'xiao
故小敌之坚,gu'xiao'di'zhi'jian
故形兵之极,gu'xing'bing'zhi'ji
故形人而我无,gu'xing'ren'er'wo'wu
故夜战多金鼓,gu'ye'zhan'duo'jin'gu
故以火佐攻者明,gu'yi'huo'zuo'gong'zhe'ming
故用兵之法,gu'yong'bing'zhi'fa
故迂其途,gu'yu'qi'tu
故曰明主虑之,gu'yue'ming'zhu'lv'zhi
故曰胜可为也,gu'yue'sheng'ke'wei'ye
故曰胜可知,gu'yue'sheng'ke'zhi
故曰知彼知己,gu'yue'zhi'bi'zhi'ji
故曰知己知彼,gu'yue'zhi'ji'zhi'bi
故战道必胜,gu'zhan'dao'bi'sheng
故知兵者,gu'zhi'bing'zhe
故知兵之将,gu'zhi'bing'zhi'jiang
故智将务食于敌,gu'zhi'jiang'wu'shi'yu'di
古之善用兵者,gu'zhi'shan'yong'bing'zhe
故知胜有五知可以战与不可以战者胜,gu'zhi'sheng'you'wu'zhi'ke'yi'zhan'yu'bu'ke'yi'zhan'zhe'sheng
古之所谓善,gu'zhi'suo'wei'shan
故知战之地,gu'zhi'zhan'zhi'di
挂形,gua'xing
寡者,gua'zhe
乖其所之也,guai'qi'suo'zhi'ye
诡道也,gui'dao'ye
贵贱不相救,gui'jian'bu'xiang'jiu
贵卖则百姓财竭,gui'mai'ze'bai'xing'cai'jie
归师勿,gui'shi'wu
贵阳而贱阴,gui'yang'er'jian'yin
国而非久也,guo'er'fei'jiu'ye
国家安危之主也,guo'jia'an'wei'zhi'zhu'ye
过则从,guo'ze'cong
国之,guo'zhi
国之宝也,guo'zhi'bao'ye
国之大事,guo'zhi'da'shi
国之辅也,guo'zhi'fu'ye
害之也,hai'zhi'ye
行于无人之地也攻而必取者,hang'yu'wu'ren'zhi'di'ye'gong'er'bi'qu'zhe
合军聚合,he'jun'ju'he
合军聚众,he'jun'ju'zhong
合于利而,he'yu'li'er
合于利而动,he'yu'li'er'dong
后不能救前,hou'bu'neng'jiu'qian
后处战地而趋战者劳,hou'chu'zhan'di'er'qu'zhan'zhe'lao
厚而不能使,hou'er'bu'neng'shi
后人发,hou'ren'fa
候之而知动静之,hou'zhi'er'zhi'dong'jing'zhi
黄帝之所以胜四帝也,huang'di'zhi'suo'yi'sheng'si'di'ye
毁人之,hui'ren'zhi
火发上风,huo'fa'shang'feng
火攻第十二,huo'gong'di'shi'er
火可发于外,huo'ke'fa'yu'wai
惑且疑,huo'qie'yi
货也,huo'ye
箕壁翼轸也,ji'bi'yi'zhen'ye
击寡者,ji'gua'zhe
忌加艹头,ji'jia'cao'tou
积力,ji'li
计利以听,ji'li'yi'ting
击其惰归,ji'qi'duo'gui
极其火力,ji'qi'huo'li
击其首则尾至,ji'qi'shou'ze'wei'zhi
击其尾则首至,ji'qi'wei'ze'shou'zhi
击其中则首尾俱至,ji'qi'zhong'ze'shou'wei'ju'zhi
激水之疾,ji'shui'zhi'ji
计险隘远近,ji'xian'ai'yuan'jin
饥也汲而先饮者,ji'ye'ji'er'xian'yin'zhe
己之私,ji'zhi'si
甲胄矢弓,jia'zhou'shi'gong
见利而不进者,jian'li'er'bu'jin'zhe
践墨随敌,jian'mo'sui'di
见日月不为明目,jian'ri'yue'bu'wei'ming'mu
见胜不过众人之所知,jian'sheng'bu'guo'zhong'ren'zhi'suo'zhi
将不可以愠而攻战,jiang'bu'ke'yi'yun'er'gong'zhan
将不胜其忿而蚁附之,jiang'bu'sheng'qi'fen'er'yi'fu'zhi
将不知其能,jiang'bu'zhi'qi'neng
将不重也旌旗,jiang'bu'zhong'ye'jing'qi
将军可夺心,jiang'jun'ke'duo'xin
将军之事,jiang'jun'zhi'shi
将莫不闻,jiang'mo'bu'wen
将能而君不御者胜,jiang'neng'er'jun'bu'yu'zhe'sheng
将受命于君,jiang'shou'ming'yu'jun
将孰有能,jiang'shu'you'neng
将听吾计,jiang'ting'wu'ji
将之过也,jiang'zhi'guo'ye
将之至任,jiang'zhi'zhi'ren
教道不明,jiao'dao'bu'ming
交地吾将固其结,jiao'di'wu'jiang'gu'qi'jie
交地吾将谨其守,jiao'di'wu'jiang'jin'qi'shou
交和而舍,jiao'he'er'she
胶漆之材,jiao'qi'zhi'cai
角之而知有余不足之处,jiao'zhi'er'zhi'you'yu'bu'zu'zhi'chu
节如发机,jie'ru'fa'ji
节也,jie'ye
戒也,jie'ye
进而不可御者,jin'er'bu'ke'yu'zhe
近而示之远,jin'er'shi'zhi'yuan
禁祥去疑,jin'xiang'qu'yi
谨养而勿劳,jin'yang'er'wu'lao
进也辞强而进驱者,jin'ye'ci'qiang'er'jin'qu'zhe
近者数里乎,jin'zhe'shu'li'hu
静以幽,jing'yi'you
劲者先,jing'zhe'xian
窘也数罚者,jiong'ye'shu'fa'zhe
久暴师则国用不足,jiu'bao'shi'ze'guo'yong'bu'zu
九变第八,jiu'bian'di'ba
九地第十一,jiu'di'di'shi'yi
九地之变,jiu'di'zhi'bian
久而不合,jiu'er'bu'he
举而不穷,ju'er'bu'qiong
举军而争利则不及,ju'jun'er'zheng'li'ze'bu'ji
具器械,ju'qi'xie
聚三军之众,ju'san'jun'zhi'zhong
倦也杀马肉食者,juan'ye'sha'ma'rou'shi'zhe
绝斥泽,jue'chi'ze
绝地无留,jue'di'wu'liu
绝地也四彻者,jue'di'ye'si'che'zhe
绝山依谷,jue'shan'yi'gu
绝水必远水,jue'shui'bi'yuan'shui
君命有所,jun'ming'you'suo
军旁有险阻潢井蒹葭,jun'pang'you'xian'zu'huang'jing'jian'jia
军无百疾,jun'wu'bai'ji
军无粮也悬不返其舍者,jun'wu'liang'ye'xuan'bu'fan'qi'she'zhe
军形第四,jun'xing'di'si
军有所不击,jun'you'suo'bu'ji
军争第七,jun'zheng'di'qi
军争为利,jun'zheng'wei'li
军政曰言不相闻,jun'zheng'yue'yan'bu'xiang'wen
军争之难者,jun'zheng'zhi'nan'zhe
可从而从之,ke'cong'er'cong'zhi
可从则上,ke'cong'ze'shang
客绝水而来,ke'jue'shui'er'lai
可胜在敌,ke'sheng'zai'di
可胜者,ke'sheng'zhe
可使必受敌而,ke'shi'bi'shou'di'er
可使无斗,ke'shi'wu'dou
渴也,ke'ye
可以往,ke'yi'wang
可与之生,ke'yu'zhi'sheng
可与之死,ke'yu'zhi'si
恐也军扰者,kong'ye'jun'rao'zhe
困也先暴而后,kun'ye'xian'bao'er'hou
廓地分利,kuo'di'fen'li
来也卑而广者,lai'ye'bei'er'guang'zhe
来也众草多障者,lai'ye'zhong'cao'duo'zhang'zhe
劳也鸟集者,lao'ye'niao'ji'zhe
利不动,li'bu'dong
利而诱之,li'er'you'zhi
利粮道,li'liang'dao
力屈中原内虚于家,li'qu'zhong'yuan'nei'xu'yu'jia
利也众树,li'ye'zhong'shu
立于不败之地,li'yu'bu'bai'zhi'di
厉于廊庙之上,li'yu'lang'miao'zhi'shang
利之也能使敌人不得至者,li'zhi'ye'neng'shi'di'ren'bu'de'zhi'zhe
吏卒无,li'zu'wu
廉洁可辱,lian'jie'ke'ru
粮不三载,liang'bu'san'zai
良将惰之,liang'jiang'duo'zhi
良将警之,liang'jiang'jing'zhi
量生数,liang'sheng'shu
料敌制胜,liao'di'zhi'sheng
令半渡而击之利,ling'ban'du'er'ji'zhi'li
令敌半出而击之利,ling'di'ban'chu'er'ji'zhi'li
令发之日,ling'fa'zhi'ri
令民于上同意,ling'min'yu'shang'tong'yi
令素行以教其民,ling'su'xing'yi'jiao'qi'min
令素行者,ling'su'xing'zhe
六者,liu'zhe
留之将不听吾计,liu'zhi'jiang'bu'ting'wu'ji
乱而不能治,luan'er'bu'neng'zhi
乱而取之,luan'er'qu'zhi
乱生于治,luan'sheng'yu'zhi
乱也吏怒者,luan'ye'li'nu'zhe
掠乡,lue'xiang
掠于饶野,lue'yu'rao'ye
马埋轮,ma'mai'lun
每战必败,mei'zhan'bi'bai
民不服,min'bu'fu
民既专一,min'ji'zhuan'yi
民之司命,min'zhi'si'ming
命曰费留,ming'yue'fei'liu
莫难于军争,mo'nan'yu'jun'zheng
莫知所之,mo'zhi'suo'zhi
莫知吾所以制胜之形,mo'zhi'wu'suo'yi'zhi'sheng'zhi'xing
谋攻第三,mou'gong'di'san
谋也,mou'ye
暮气归,mu'qi'gui
木石,mu'shi
乃为之势,nai'wei'zhi'shi
难以返,nan'yi'fan
难知如阴,nan'zhi'ru'yin
内外骚动,nei'wai'sao'dong
能使敌人前后不相及,neng'shi'di'ren'qian'hou'bu'xiang'ji
能使敌人自至者,neng'shi'di'ren'zi'zhi'zhe
能为不可胜,neng'wei'bu'ke'sheng
能以众,neng'yi'zhong
能因敌变化而取胜者,neng'yin'di'bian'hua'er'qu'sheng'zhe
能愚士卒之耳目,neng'yu'shi'zu'zhi'er'mu
怒而挠之,nu'er'nao'zhi
怒可以复喜,nu'ke'yi'fu'xi
怒也取敌之利者,nu'ye'qu'di'zhi'li'zhe
譬如率然,pi'ru'shuai'ran
譬若骄子,pi'ruo'jiao'zi
疲者后,pi'zhe'hou
贫于师者远输,pin'yu'shi'zhe'yuan'shu
平陆处易,ping'lu'chu'yi
破国次之全军为上,po'guo'ci'zhi'quan'jun'wei'shang
破军罢马,po'jun'ba'ma
破军次之全旅为上,po'jun'ci'zhi'quan'lv'wei'shang
破旅次,po'lv'ci
破伍次之,po'wu'ci'zhi
破卒次之全伍为上,po'zu'ci'zhi'quan'wu'wei'shang
其次伐兵,qi'ci'fa'bing
其法半至三十里而争利,qi'fa'ban'zhi'san'shi'li'er'zheng'li
其法十一而至五十里而争,qi'fa'shi'yi'er'zhi'wu'shi'li'er'zheng
其国可隳,qi'guo'ke'hui
起火有日,qi'huo'you'ri
其节短,qi'jie'duan
七十万家,qi'shi'wan'jia
其所爱,qi'suo'ai
其所措胜,qi'suo'cuo'sheng
其下攻城,qi'xia'gong'cheng
其先得者而更其旌旗,qi'xian'de'zhe'er'geng'qi'jing'qi
其相救也如左右手,qi'xiang'jiu'ye'ru'zuo'you'shou
其徐如林,qi'xu'ru'lin
期也半进半退者,qi'ye'ban'jin'ban'tui'zhe
其用战也,qi'yong'zhan'ye
其战人也,qi'zhan'ren'ye
旗者,qi'zhe
奇正是也兵之所加,qi'zheng'shi'ye'bing'zhi'suo'jia
奇正相生,qi'zheng'xiang'sheng
齐之以武,qi'zhi'yi'wu
前不能救后,qian'bu'neng'jiu'hou
千里馈粮,qian'li'kui'liang
千里杀将,qian'li'sha'jiang
前死后生,qian'si'hou'sheng
浅则散,qian'ze'san
强而避之,qiang'er'bi'zhi
樵采也少而往来者,qiao'cai'ye'shao'er'wang'lai'zhe
怯生于勇,qie'sheng'yu'yong
