暴力的形而上学,bao'li'de'xing'er'shang'xue
存在与意识,cun'zai'yu'yi'shi
存在与正义,cun'zai'yu'zheng'yi
存在与知识,cun'zai'yu'zhi'shi
存在者的存在,cun'zai'zhe'de'cun'zai
大屠杀时代之后,da'tu'sha'shi'dai'zhi'hou
但是海德格尔,dan'shi'hai'de'ge'er
但他一直,dan'ta'yi'zhi
但真正,dan'zhen'zheng
的暴力和霸权,de'bao'li'he'ba'quan
的本体论,de'ben'ti'lun
的标题,de'biao'ti
的不同,de'bu'tong
的超越性之外思考,de'chao'yue'xing'zhi'wai'si'kao
的传统,de'chuan'tong
的动词性含义,de'dong'ci'xing'han'yi
的根本处境,de'gen'ben'chu'jing
的根本问题是,de'gen'ben'wen'ti'shi
的工作,de'gong'zuo
的海德格尔,de'hai'de'ge'er
的话说,de'hua'shuo
的基础,de'ji'chu
的激烈质问,de'ji'lie'zhi'wen
的敬畏,de'jing'wei
的卷首题词,de'juan'shou'ti'ci
德里达的,de'li'da'de
的理论知识,de'li'lun'zhi'shi
的伦理,de'lun'li
的那一哲学之所以为哲学,de'na'yi'zhe'xue'zhi'suo'yi'wei'zhe'xue
的努力下,de'nu'li'xia
的评注,de'ping'zhu
的亲近关系之中,de'qin'jin'guan'xi'zhi'zhong
的取向,de'qu'xiang
的善与正义,de'shan'yu'zheng'yi
的上帝,de'shang'di
的事实,de'shi'shi
的守护,de'shou'hu
的思想,de'si'xiang
的所牵系,de'suo'qian'xi
的他者,de'ta'zhe
的统治地位,de'tong'zhi'di'wei
的问题,de'wen'ti
的无限超越性,de'wu'xian'chao'yue'xing
的循环,de'xun'huan
的议题,de'yi'ti
的责任,de'ze'ren
的这个,de'zhe'ge
的正当性,de'zheng'dang'xing
的忠诚,de'zhong'cheng
的诸神之外,de'zhu'shen'zhi'wai
的自我历史,de'zi'wo'li'shi
等各种主题,deng'ge'zhong'zhu'ti
等章节,deng'zhang'jie
第一段话就是,di'yi'duan'hua'jiu'shi
第一哲学,di'yi'zhe'xue
第一哲学传统乃是,di'yi'zhe'xue'chuan'tong'nai'shi
都有其,dou'you'qi
对存在者,dui'cun'zai'zhe
对德里达说,dui'de'li'da'shuo
对神圣者,dui'shen'sheng'zhe
对他人的仇恨和,dui'ta'ren'de'chou'hen'he
对无限和他者,dui'wu'xian'he'ta'zhe
对希腊,dui'xi'la
对于列维纳斯而言,dui'yu'lie'wei'na'si'er'yan
对于列维纳斯来说,dui'yu'lie'wei'na'si'lai'shuo
而不是遭遇,er'bu'shi'zao'yu
而绝无可能通过,er'jue'wu'ke'neng'tong'guo
而是存在,er'shi'cun'zai
而是存在的,er'shi'cun'zai'de
而是对,er'shi'dui
而是帕斯卡所说的,er'shi'pa'si'ka'suo'shuo'de
而是神圣,er'shi'shen'sheng
二十世纪下半叶,er'shi'shi'ji'xia'ban'ye
而是一个,er'shi'yi'ge
而是犹太教的将其,er'shi'you'tai'jiao'de'jiang'qi
发端于希腊的,fa'duan'yu'xi'la'de
范式的规范化,fan'shi'de'gui'fan'hua
反犹主义,fan'you'zhu'yi
非暴力的关系,fei'bao'li'de'guan'xi
非肉身化的面貌之中,fei'rou'shen'hua'de'mian'mao'zhi'zhong
服从于,fu'cong'yu
改变了,gai'bian'le
高深不可见的上帝,gao'shen'bu'ke'jian'de'shang'di
更为古老,geng'wei'gu'lao
更为神圣,geng'wei'shen'sheng
更为无限,geng'wei'wu'xian
更为严肃,geng'wei'yan'su
更为源初的,geng'wei'yuan'chu'de
公开批判他,gong'kai'pi'pan'ta
关于存在的知识模式,guan'yu'cun'zai'de'zhi'shi'mo'shi
海德格尔及其,hai'de'ge'er'ji'qi
海德格尔所说的,hai'de'ge'er'suo'shuo'de
还有成千上万,hai'you'cheng'qian'shang'wan
毫无干系,hao'wu'gan'xi
荷尔德林的,he'er'de'lin'de
和海德格尔的,he'hai'de'ge'er'de
和无限的他者的,he'wu'xian'de'ta'zhe'de
和犹太人命运劫后余生,he'you'tai'ren'ming'yun'jie'hou'yu'sheng
和自我定位,he'zi'wo'ding'wei
或神学,huo'shen'xue
既不能在知识体系中,ji'bu'neng'zai'zhi'shi'ti'xi'zhong
既不是哲学,ji'bu'shi'zhe'xue
即面对,ji'mian'dui
系于解释学,ji'yu'jie'shi'xue
将犹太教,jiang'you'tai'jiao
教诲和训诫,jiao'hui'he'xun'jie
解构主义,jie'gou'zhu'yi
进而将哲学,jin'er'jiang'zhe'xue
尽管不再,jin'guan'bu'zai
尽管列维纳斯,jin'guan'lie'wei'na'si
尽管这,jin'guan'zhe
进行哲学思考,jin'xing'zhe'xue'si'kao
精神分析,jing'shen'fen'xi
敬畏绝对他者的传统,jing'wei'jue'dui'ta'zhe'de'chuan'tong
就寓于面貌之中的,jiu'yu'yu'mian'mao'zhi'zhong'de
旧约的上帝,jiu'yue'de'shang'di
旧约和塔木德,jiu'yue'he'ta'mu'de
绝对的超越性,jue'dui'de'chao'yue'xing
绝对的他者,jue'dui'de'ta'zhe
绝对精神,jue'dui'jing'shen
绝对他者,jue'dui'ta'zhe
看起来好像是一种,kan'qi'lai'hao'xiang'shi'yi'zhong
可以对比,ke'yi'dui'bi
来到哲学中的上帝,lai'dao'zhe'xue'zhong'de'shang'di
来描述,lai'miao'shu
来维持,lai'wei'chi
列维纳斯,lie'wei'na'si
列维纳斯毕生,lie'wei'na'si'bi'sheng
列维纳斯曾,lie'wei'na'si'ceng
列维纳斯从,lie'wei'na'si'cong
列维纳斯的,lie'wei'na'si'de
列维纳斯的伦理学,lie'wei'na'si'de'lun'li'xue
列维纳斯的伦理学实际上,lie'wei'na'si'de'lun'li'xue'shi'ji'shang
列维纳斯基于,lie'wei'na'si'ji'yu
列维纳斯坚持,lie'wei'na'si'jian'chi
列维纳斯试图,lie'wei'na'si'shi'tu
列维纳斯所思考的,lie'wei'na'si'suo'si'kao'de
列维纳斯相信,lie'wei'na'si'xiang'xin
列维纳斯引用的,lie'wei'na'si'yin'yong'de
列维纳斯又不得不,lie'wei'na'si'you'bu'de'bu
列维纳斯在,lie'wei'na'si'zai
列维纳斯在海德格尔,lie'wei'na'si'zai'hai'de'ge'er
列维纳斯这一,lie'wei'na'si'zhe'yi
邻人和上帝,lin'ren'he'shang'di
领悟或理解,ling'wu'huo'li'jie
另一方面思考的是,ling'yi'fang'mian'si'kao'de'shi
六百万犹太人,liu'bai'wan'you'tai'ren
伦理学差异,lun'li'xue'cha'yi
伦理学与面孔,lun'li'xue'yu'mian'kong
伦理学作为第一哲学,lun'li'xue'zuo'wei'di'yi'zhe'xue
伦理优先于,lun'li'you'xian'yu
逻格斯传统,luo'ge'si'chuan'tong
马里翁,ma'li'weng
没人会否认,mei'ren'hui'fou'ren
门课程,men'ke'cheng
面貌现象学,mian'mao'xian'xiang'xue
铭刻在神圣文本,ming'ke'zai'shen'sheng'wen'ben
那样向,na'yang'xiang
难以割舍,nan'yi'ge'she
你知道,ni'zhi'dao
年的两,nian'de'liang
扭转向,niu'zhuan'xiang
女性主义,nv'xing'zhu'yi
欧洲中心主义,ou'zhou'zhong'xin'zhu'yi
其中一百万是儿童,qi'zhong'yi'bai'wan'shi'er'tong
强大的知识传统,qiang'da'de'zhi'shi'chuan'tong
去认识上帝,qu'ren'shi'shang'di
却仍然使,que'reng'ran'shi
让我感兴趣的却不,rang'wo'gan'xing'qu'de'que'bu
人格关系优先于,ren'ge'guan'xi'you'xian'yu
人们常常,ren'men'chang'chang
仍然遵循,reng'ran'zun'xun
如此也就回答了,ru'ci'ye'jiu'hui'da'le
如果说海德格尔,ru'guo'shuo'hai'de'ge'er
如何迥异,ru'he'jiong'yi
如何思考,ru'he'si'kao
如何写作,ru'he'xie'zuo
如何言说,ru'he'yan'shuo
如何证成,ru'he'zheng'cheng
如其所是地,ru'qi'suo'shi'di
善与正义,shan'yu'zheng'yi
善与正义外在于且高于存在,shan'yu'zheng'yi'wai'zai'yu'qie'gao'yu'cun'zai
设定了,she'ding'le
深刻地,shen'ke'de
神圣的神性,shen'sheng'de'shen'xing
生存论的本体论,sheng'cun'lun'de'ben'ti'lun
是出于他对,shi'chu'yu'ta'dui
世界公民主义,shi'jie'gong'min'zhu'yi
是伦理学,shi'lun'li'xue
试图从,shi'tu'cong
试图返回到,shi'tu'fan'hui'dao
施行专制的哲学,shi'xing'zhuan'zhi'de'zhe'xue
是在其,shi'zai'qi
首先指向,shou'xian'zhi'xiang
思考和回应,si'kao'he'hui'ying
思考了,si'kao'le
死亡与时间,si'wang'yu'shi'jian
思想的,si'xiang'de
思想的发端,si'xiang'de'fa'duan
思想的可能性,si'xiang'de'ke'neng'xing
思想的无限可能性,si'xiang'de'wu'xian'ke'neng'xing
诉诸对存在,su'zhu'dui'cun'zai
所说的,suo'shuo'de
他必死在罪中,ta'bi'si'zai'zui'zhong
他并非,ta'bing'fei
它不是一个,ta'bu'shi'yi'ge
它的源初经验,ta'de'yuan'chu'jing'yan
他就必死,ta'jiu'bi'si
他就在海德格尔,ta'jiu'zai'hai'de'ge'er
塔木德,ta'mu'de
他人或他者,ta'ren'huo'ta'zhe
他试图,ta'shi'tu
他是显示,ta'shi'xian'shi
它是作为,ta'shi'zuo'wei
他素来所行的义不被纪念,ta'su'lai'suo'xing'de'yi'bu'bei'ji'nian
它也不能霸占,ta'ye'bu'neng'ba'zhan
它隐秘地,ta'yin'mi'di
他在存在,ta'zai'cun'zai
他在非,ta'zai'fei
它在思想中,ta'zai'si'xiang'zhong
他者的踪迹,ta'zhe'de'zong'ji
他者和邻人,ta'zhe'he'lin'ren
他者伦理学,ta'zhe'lun'li'xue
他真正的思想导师,ta'zhen'zheng'de'si'xiang'dao'shi
逃避存在的,tao'bi'cun'zai'de
同样死于,tong'yang'si'yu
屠杀的,tu'sha'de
托拉以及拉什,tuo'la'yi'ji'la'shi
为纪念,wei'ji'nian
为什么存在而不是虚无,wei'shen'me'cun'zai'er'bu'shi'xu'wu
为什么要哲学,wei'shen'me'yao'zhe'xue
问题本身或,wen'ti'ben'shen'huo
我从事,wo'cong'shi
我将绊脚石放在他面前,wo'jiang'ban'jiao'shi'fang'zai'ta'mian'qian
我却要向你讨他的血,wo'que'yao'xiang'ni'tao'ta'de'xue
我与邻人,wo'yu'lin'ren
无限不在场,wu'xian'bu'zai'chang
无限的,wu'xian'de
无限性的伦理关系,wu'xian'xing'de'lun'li'guan'xi
无需存在的上帝,wu'xu'cun'zai'de'shang'di
西方哲学的,xi'fang'zhe'xue'de
西方哲学方式,xi'fang'zhe'xue'fang'shi
希腊开端的,xi'la'kai'duan'de
系统化论证,xi'tong'hua'lun'zheng
显示他自身的上帝,xian'shi'ta'zi'shen'de'shang'di
现象学的方法,xian'xiang'xue'de'fang'fa
现象学地显示出,xian'xiang'xue'di'xian'shi'chu
相对于海德格尔,xiang'dui'yu'hai'de'ge'er
相对峙的格局之中,xiang'dui'zhi'de'ge'ju'zhi'zhong
信仰和,xin'yang'he
形而上学的,xing'er'shang'xue'de
延续了其,yan'xu'le'qi
也不能在存在史中,ye'bu'neng'zai'cun'zai'shi'zhong
也即对存在的,ye'ji'dui'cun'zai'de
也即上帝,ye'ji'shang'di
也就不能证成,ye'jiu'bu'neng'zheng'cheng
也许从未来的世纪来看,ye'xu'cong'wei'lai'de'shi'ji'lai'kan
也与牟宗三,ye'yu'mou'zong'san
一方面思考的是,yi'fang'mian'si'kao'de'shi
一个分支和附属,yi'ge'fen'zhi'he'fu'shu
以及对他人,yi'ji'dui'ta'ren
以及如何,yi'ji'ru'he
以伦理学,yi'lun'li'xue
义人何时离义而犯罪,yi'ren'he'shi'li'yi'er'fan'zui
以撒和雅各的上帝,yi'sa'he'ya'ge'de'shang'di
一文结尾,yi'wen'jie'wei
一文开始,yi'wen'kai'shi
意义问题,yi'yi'wen'ti
一直靠,yi'zhi'kao
异质文化,yi'zhi'wen'hua
因而证成了哲学自身的正当性,yin'er'zheng'cheng'le'zhe'xue'zi'shen'de'zheng'dang'xing
隐秘地,yin'mi'di
因你没有警戒他,yin'ni'mei'you'jing'jie'ta
用天主教思想家,yong'tian'zhu'jiao'si'xiang'jia
由道德进入,you'dao'de'jin'ru
又难以宽恕,you'nan'yi'kuan'shu
尤其是黑格尔的,you'qi'shi'hei'ge'er'de
尤其是塔木德,you'qi'shi'ta'mu'de
尤其是亚里士多德,you'qi'shi'ya'li'shi'duo'de
由死亡定义的时间,you'si'wang'ding'yi'de'shi'jian
犹太教传统,you'tai'jiao'chuan'tong
犹太教的,you'tai'jiao'de
犹太智慧,you'tai'zhi'hui
有限性的本体论,you'xian'xing'de'ben'ti'lun
优先于存在,you'xian'yu'cun'zai
与反叛,yu'fan'pan
与海德格尔,yu'hai'de'ge'er
于眷恋,yu'juan'lian
于他人,yu'ta'ren
与他人的,yu'ta'ren'de
与希腊哲学的,yu'xi'la'zhe'xue'de
与哲学的,yu'zhe'xue'de
原初经验,yuan'chu'jing'yan
元伦理学,yuan'lun'li'xue
在海德格尔的,zai'hai'de'ge'er'de
在它们的外部,zai'ta'men'de'wai'bu
再一次远离了,zai'yi'ci'yuan'li'le
在这一题记之后,zai'zhe'yi'ti'ji'zhi'hou
这就是他的伦理学的差异,zhe'jiu'shi'ta'de'lun'li'xue'de'cha'yi
这显示了,zhe'xian'shi'le
这些存在问题,zhe'xie'cun'zai'wen'ti
哲学本身,zhe'xue'ben'shen
哲学传统,zhe'xue'chuan'tong
哲学的问题不是,zhe'xue'de'wen'ti'bu'shi
哲学的希腊开端,zhe'xue'de'xi'la'kai'duan
哲学的终结,zhe'xue'de'zhong'jie
哲学家的,zhe'xue'jia'de
哲学家的上帝,zhe'xue'jia'de'shang'di
哲学事件,zhe'xue'shi'jian
哲学思考所面临的源初境况,zhe'xue'si'kao'suo'mian'lin'de'yuan'chu'jing'kuang
这也有助于,zhe'ye'you'zhu'yu
这一上帝,zhe'yi'shang'di
真正的无限,zhen'zheng'de'wu'xian
真正困扰人的哲学问题不再是,zhen'zheng'kun'rao'ren'de'zhe'xue'wen'ti'bu'zai'shi
证成自身的善与正义,zheng'cheng'zi'shen'de'shan'yu'zheng'yi
正如列维纳斯,zheng'ru'lie'wei'na'si
整体与无限形而上学优于存在论,zheng'ti'yu'wu'xian'xing'er'shang'xue'you'yu'cun'zai'lun
正义的伦理学,zheng'yi'de'lun'li'xue
政治哲学,zheng'zhi'zhe'xue
之上的,zhi'shang'de
知识体系的,zhi'shi'ti'xi'de
知识问题本身,zhi'shi'wen'ti'ben'shen
知识与规范之中,zhi'shi'yu'gui'fan'zhi'zhong
之外来,zhi'wai'lai
之外思考,zhi'wai'si'kao
中的亲友,zhong'de'qin'you
中的上帝,zhong'de'shang'di
中对海德格尔,zhong'dui'hai'de'ge'er
主题是,zhu'ti'shi
自身的正义,zi'shen'de'zheng'yi
自我理解,zi'wo'li'jie
踪迹和话语,zong'ji'he'hua'yu
踪迹之中,zong'ji'zhi'zhong
最重要的著作,zui'zhong'yao'de'zhu'zuo
遵循海德格尔的,zun'xun'hai'de'ge'er'de
作为第一哲学的本体论,zuo'wei'di'yi'zhe'xue'de'ben'ti'lun
作为第一哲学的存在问题,zuo'wei'di'yi'zhe'xue'de'cun'zai'wen'ti
作为第一哲学的伦理学,zuo'wei'di'yi'zhe'xue'de'lun'li'xue
作为第一哲学的形而上学,zuo'wei'di'yi'zhe'xue'de'xing'er'shang'xue
作为绝对,zuo'wei'jue'dui
做哲学的方式,zuo'zhe'xue'de'fang'shi
