阿赖耶识,a'lai'ye'shi
察识端倪,cha'shi'duan'ni
禅,chan
禅定,chan'ding
禅机,chan'ji
阐提,chan'ti
禅宗美学,chan'zong'mei'xue
常,chang
昌必有衰,chang'bi'you'shuai
常变,chang'bian
常道,chang'dao
常德,chang'de
常名,chang'ming
常权,chang'quan
常统常变,chang'tong'chang'bian
常无有,chang'wu'you
朝彻,chao'che
尘芥六合,chen'jie'lu'he
谶纬,chen'wei
陈朱之辩,chen'zhu'zhi'bian
诚,cheng
惩忿窒欲,cheng'fen'zhi'yu
承负,cheng'fu
澄怀味象,cheng'huai'wei'xiang
成极,cheng'ji
成己成物,cheng'ji'cheng'wu
程门立雪,cheng'men'li'xue
诚明,cheng'ming
成人,cheng'ren
成天地者气也,cheng'tian'di'zhe'qi'ye
乘物游心,cheng'wu'you'xin
成心,cheng'xin
诚意,cheng'yi
成于乐,cheng'yu'le
尺棰不尽,chi'chui'bu'jin
持戒,chi'jie
崇本息末,chong'ben'xi'mo
崇本抑末,chong'ben'yi'mo
冲淡,chong'dan
冲决网罗,chong'jue'wang'luo
冲气,chong'qi
充实之美,chong'shi'zhi'mei
崇有,chong'you
处静,chu'jing
触类是道,chu'lei'shi'dao
出世间,chu'shi'jian
传神,chuan'shen
传神记,chuan'shen'ji
穿衣吃饭即是人伦物理,chuan'yi'chi'fan'ji'shi'ren'lun'wu'li
纯客观法,chun'ke'guan'fa
辞,ci
慈悲,ci'bei
雌节,ci'jie
辞让之心,ci'rang'zhi'xin
雌雄刚柔之辨,ci'xiong'gang'rou'zhi'bian
此亦一是非,ci'yi'yi'shi'fei
猝然念得,cu'ran'nian'de
粹灵之气,cui'ling'zhi'qi
存神,cun'shen
存思,cun'si
存天理,cun'tian'li
存想,cun'xiang
存心,cun'xin
存疑主义,cun'yi'zhu'yi
大辩,da'bian
大别名,da'bie'ming
大胆假设小心求证,da'dan'jia'she'xiao'xin'qiu'zheng
达道,da'dao
大盗不止,da'dao'bu'zhi
打倒孔家店,da'dao'kong'jia'dian
达德,da'de
大动力,da'dong'li
大共名,da'gong'ming
大故,da'gu
大九州说,da'jiu'zhou'shuo
大理,da'li
达理明义,da'li'ming'yi
大美,da'mei
达名,da'ming
大贫小贫说,da'pin'xiao'pin'shuo
大巧,da'qiao
大清明,da'qing'ming
达生,da'sheng
达视洞听,da'shi'dong'ting
大体,da'ti
大同,da'tong
大同异,da'tong'yi
大象,da'xiang
大小俱足,da'xiao'ju'zu
大心,da'xin
大衍义,da'yan'yi
大衍之数,da'yan'zhi'shu
大一,da'yi
大一统,da'yi'tong
大音,da'yin
大用流行,da'yong'liu'xing
大丈夫,da'zhang'fu
大知大觉,da'zhi'da'jiao
大中之道,da'zhong'zhi'dao
单名与兼名,dan'ming'yu'jian'ming
丹书,dan'shu
担水砍柴无非妙道,dan'shui'kan'chai'wu'fei'miao'dao
当然,dang'ran
道,dao
道本器末,dao'ben'qi'mo
道不可变,dao'bu'ke'bian
道德,dao'de
道德革命,dao'de'ge'ming
道德天尊,dao'de'tian'zun
道法,dao'fa
道法自然,dao'fa'zi'ran
道纪,dao'ji
道即是艺,dao'ji'shi'yi
道稽万理,dao'ji'wan'li
倒见,dao'jian
道理,dao'li
道理相应,dao'li'xiang'ying
道器,dao'qi
道生顿悟义,dao'sheng'dun'wu'yi
道生法,dao'sheng'fa
道术,dao'shu
道枢,dao'shu
道体器用,dao'ti'qi'yong
道统说,dao'tong'shuo
道心,dao'xin
盗亦有道,dao'yi'you'dao
导引,dao'yin
道在物中,dao'zai'wu'zhong
德,de
德本财末,de'ben'cai'mo
得本知末,de'ben'zhi'mo
德操,de'cao
德力,de'li
德虐相成,de'nue'xiang'cheng
德先生,de'xian'sheng
得象忘言,de'xiang'wang'yan
德行,de'xing
德性之知,de'xing'zhi'zhi
得意忘象,de'yi'wang'xiang
德治,de'zhi
德智主义,de'zhi'zhu'yi
登高必自卑,deng'gao'bi'zi'bei
帝,di
地道,di'dao
地有常数,di'you'chang'shu
电气,dian'qi
定,ding
定慧,ding'hui
定名与虚位,ding'ming'yu'xu'wei
丁子有尾,ding'zi'you'wei
动,dong
动必有机,dong'bi'you'ji
动的逻辑,dong'de'luo'ji
动的文明,dong'de'wen'ming
动非自外,dong'fei'zi'wai
动静,dong'jing
动静互涵,dong'jing'hu'han
动静皆动,dong'jing'jie'dong
东西文化论战,dong'xi'wen'hua'lun'zhan
动心忍性,dong'xin'ren'xing
动则成昏,dong'ze'cheng'hun
独化,du'hua
独化于玄冥之境,du'hua'yu'xuan'ming'zhi'jing
独生而无所资借,du'sheng'er'wu'suo'zi'jie
独头无明,du'tou'wu'ming
独头意识,du'tou'yi'shi
独心,du'xin
独性,du'xing
笃行,du'xing
独知独觉,du'zhi'du'jue
端,duan
兑,dui
对待,dui'dai
对夺,dui'duo
对戡法,dui'kan'fa
对生,dui'sheng
对物,dui'wu
对争,dui'zheng
顿超直悟,dun'chao'zhi'wu
钝根,dun'gen
顿渐之争,dun'jian'zhi'zheng
顿了,dun'le
遁天背情,dun'tian'bei'qing
顿悟,dun'wu
多元认识论,duo'yuan'ren'shi'lun
多中一,duo'zhong'yi
恶,e
鹅湖之会,e'hu'zhi'hui
二柄,er'bing
二谛,er'di
二而一,er'er'yi
耳目之官,er'mu'zhi'guan
耳目之实,er'mu'zhi'shi
二无一,er'wu'yi
而指非指,er'zhi'fei'zhi
法,fa
法度,fa'du
法后王,fa'hou'wang
法界,fa'jie
法界缘起,fa'jie'yuan'qi
法生于义,fa'sheng'yu'yi
法式,fa'shi
法术势,fa'shu'shi
法天贵真,fa'tian'gui'zhen
法统,fa'tong
法先王,fa'xian'wang
法象,fa'xiang
法相,fa'xiang
法性,fa'xing
法眼,fa'yan
法执,fa'zhi
反,fan
泛爱万物,fan'ai'wan'wu
反本,fan'ben
范畴,fan'chou
犯而不校,fan'er'bu'jiao
反复,fan'fu
反观,fan'guan
泛架构主义,fan'jia'gou'zhu'yi
反经行权,fan'jing'xing'quan
烦恼障,fan'nao'zhang
反求诸己,fan'qiu'zhu'ji
反求自识,fan'qiu'zi'shi
反身而诚,fan'shen'er'cheng
凡物必合,fan'wu'bi'he
反衍,fan'yan
反因,fan'yin
反者道之动,fan'zhe'dao'zhi'dong
方便,fang'bian
放达,fang'da
方术,fang'shu
防微杜渐,fang'wei'du'jian
非道弘人,fei'dao'hong'ren
非攻,fei'gong
非乐,fei'le
非量,fei'liang
非命,fei'ming
非命尚力,fei'ming'shang'li
飞鸟之景未尝动,fei'niao'zhi'jing'wei'chang'dong
非耦,fei'ou
非气质无以见性,fei'qi'zhi'wu'yi'jian'xing
废然之静,fei'ran'zhi'jing
非人者必有以易之,fei'ren'zhe'bi'you'yi'yi'zhi
飞升,fei'sheng
非圣无法,fei'sheng'wu'fa
非汤武而薄周孔,fei'tang'wu'er'bo'zhou'kong
非以其名也,fei'yi'qi'ming'ye
分,fen
分理,fen'li
分命,fen'ming
分知分行,fen'zhi'fen'hang
奉常处变,feng'chang'chu'bian
风骨,feng'gu
风教,feng'jiao
奉天法古,feng'tian'fa'gu
佛法,fo'fa
佛性,fo'xing
复,fu
拂尘看净,fu'chen'kan'jing
富贵在钱,fu'gui'zai'qian
富贵在天,fu'gui'zai'tian
符箓,fu'lu
负面,fu'mian
复命,fu'ming
符命,fu'ming
符瑞,fu'rui
服食,fu'shi
符书,fu'shu
复性,fu'xing
符验,fu'yan
负阴而抱阳,fu'yin'er'bao'yang
付之天均,fu'zhi'tian'jun
改过迁善,gai'guo'qian'shan
概念,gai'nian
盖天说,gai'tian'shuo
改正朔,gai'zheng'shuo
感相,gan'xiang
感兴,gan'xing
刚,gang
刚柔,gang'rou
刚毅木讷,gang'yi'mu'ne
高岸为谷,gao'an'wei'gu
革,ge
革不必世,ge'bu'bi'shi
革故鼎新,ge'gu'ding'xin
格合外内,ge'he'wai'nei
革命,ge'ming
格式,ge'shi
革天,ge'tian
格物,ge'wu
格物致知,ge'wu'zhi'zhi
格心,ge'xin
格义,ge'yi
格致,ge'zhi
格致相因,ge'zhi'xiang'yin
艮,gen
根,gen
根由,gen'you
更化,geng'hua
耕战,geng'zhan
公案,gong'an
共比量,gong'bi'liang
公德,gong'de
工夫所至,gong'fu'suo'zhi
恭敬之心,gong'jing'zhi'xin
恭宽信敏惠,gong'kuan'xin'min'hui
公例,gong'li
功利,gong'li
共名与别名,gong'ming'yu'bie'ming
功能,gong'neng
弓矢从的,gong'shi'cong'de
攻守异势与攻取异术,gong'shou'yi'shi'yu'gong'qu'yi'shu
共相,gong'xiang
公心,gong'xin
公性,gong'xing
躬行践履,gong'xing'jian'lv
公性在独性中,gong'xing'zai'du'xing'zhong
公羊三世说,gong'yang'san'shi'shuo
公因,gong'yin
功用,gong'yong
狗非犬,gou'fei'quan
钩深致远,gou'shen'zhi'yuan
故,gu
孤驹未尝有母,gu'ju'wei'chang'you'mu
谷神,gu'shen
故生,gu'sheng
卦,gua
卦辞,gua'ci
卦气,gua'qi
寡欲,gua'yu
观,guan
官无常贵,guan'wu'chang'gui
观物之异以知天意,guan'wu'zhi'yi'yi'zhi'tian'yi
观象制器,guan'xiang'zhi'qi
光气,guang'qi
鬼,gui
规不可以为圆,gui'bu'ke'yi'wei'yuan
龟长于蛇,gui'chang'yu'she
归根,gui'gen
贵公去私,gui'gong'qu'si
贵己,gui'ji
归寂,gui'ji
鬼谋,gui'mou
贵齐,gui'qi
贵柔守雌,gui'rou'shou'ci
鬼神,gui'shen
贵生重己,gui'sheng'zhong'ji
贵无,gui'wu
贵无论,gui'wu'lun
贵一贱二,gui'yi'jian'er
贵因,gui'yin
贵知不贵行,gui'zhi'bu'gui'hang
果,guo
国粹,guo'cui
国故学,guo'gu'xue
过极失当,guo'ji'shi'dang
过犹不及,guo'you'bu'ji
过则舍矣,guo'ze'she'yi
汉传因明,han'chuan'yin'ming
邯郸学步,han'dan'xue'bu
汉盛于周,han'sheng'yu'zhou
涵养操存,han'yang'cao'cun
浩然之气,hao'ran'zhi'qi
昊天,hao'tian
好质恶饰,hao'zhi'e'shi
合,he
和,he
和而不流,he'er'bu'liu
和而不同,he'er'bu'tong
合二而一,he'er'er'yi
呵佛骂祖,he'fo'ma'zu
和乐如一,he'le'ru'yi
合理利己主义,he'li'li'ji'zhu'yi
阖辟,he'pi
和气,he'qi
和实生物,he'shi'sheng'wu
合同,he'tong
和同,he'tong
合同异,he'tong'yi
合外内之道,he'wai'nei'zhi'dao
和为贵,he'wei'gui
合一衍万,he'yi'yan'wan
恒转,heng'zhuan
洪范九畴,hong'fan'jiu'chou
厚生,hou'sheng
厚自尊贵之风,hou'zi'zun'gui'zhi'feng
户枢不蠹,hu'shu'bu'du
互有,hu'you
化,hua
化醇,hua'chun
化待,hua'dai
化工,hua'gong
化性起伪,hua'xing'qi'wei
幻化,huan'hua
环中,huan'zhong
黄白术,huang'bai'zhu
皇极,huang'ji
黄老,huang'lao
黄老道德之术,huang'lao'dao'de'zhi'shu
黄龙三关,huang'long'san'guan
皇上帝,huang'shang'di
皇天,huang'tian
慧,hui
慧观,hui'guan
会合宗教,hui'he'zong'jiao
回互不回互,hui'hu'bu'hui'hu
诲人不倦,hui'ren'bu'juan
毁誉之名,hui'yu'zhi'ming
会众合一,hui'zhong'he'yi
魂,hun
浑沌,hun'dun
浑论,hun'lun
魂魄,hun'po
魂气,hun'qi
浑天说,hun'tian'shuo
魂知,hun'zhi
或,huo
火不热,huo'bu're
祸福相倚,huo'fu'xiang'yi
火气一也,huo'qi'yi'ye
或使,huo'shi
火一元论,huo'yi'yuan'lun
火运水火,huo'yun'shui'huo
迹,ji
几,ji
机,ji
疾得成佛,ji'de'cheng'fo
即动而求静,ji'dong'er'qiu'jing
极而反,ji'er'fan
机锋,ji'feng
极高明而道中庸,ji'gao'ming'er'dao'zhong'yong
既济,ji'ji
积渐,ji'jian
积久贯通,ji'jiu'guan'tong
极乐世界,ji'le'shi'jie
济两明一,ji'liang'ming'yi
即民见天,ji'min'jian'tian
即其本体,ji'qi'ben'ti
鸡三足,ji'san'zu
继善成性,ji'shan'cheng'xing
即身成佛,ji'shen'cheng'fo
极深究几,ji'shen'jiu'ji
稽实定数,ji'shi'ding'shu
积水成渊,ji'shui'cheng'yuan
己所不欲,ji'suo'bu'yu
积土成山,ji'tu'cheng'shan
即万物之自虚,ji'wan'wu'zhi'zi'xu
极微,ji'wei
即物穷理,ji'wu'qiong'li
即物实测,ji'wu'shi'ce
机心,ji'xin
疾虚妄,ji'xu'wang
寄言出意,ji'yan'chu'yi
集义所生,ji'yi'suo'sheng
济有者皆有,ji'you'zhe'jie'you
己欲达而达人,ji'yu'da'er'da'ren
己欲立而立人,ji'yu'li'er'li'ren
及知而后知,ji'zhi'er'hou'zhi
寂知揭体,ji'zhi'jie'ti
假,jia
加,jia
架构,jia'gou
假名,jia'ming
假物,jia'wu
假象见意,jia'xiang'jian'yi
加一倍法,jia'yi'bei'fa
假有,jia'you
兼爱,jian'ai
坚白同异,jian'bai'tong'yi
兼别,jian'bie
减担,jian'dan
见独,jian'du
见分,jian'fen
渐化,jian'hua
渐了,jian'le
见利思义,jian'li'si'yi
见理于事,jian'li'yu'shi
兼名,jian'ming
减少兽性,jian'shao'shou'xing
鉴识,jian'shi
健顺,jian'shun
见素抱朴,jian'su'bao'pu
见体,jian'ti
渐悟,jian'wu
见侮不辱,jian'wu'bu'ru
见贤思齐,jian'xian'si'qi
兼相爱,jian'xiang'ai
间相胜,jian'xiang'sheng
践形,jian'xing
见性成佛,jian'xing'cheng'fo
兼以易别,jian'yi'yi'bie
贱有,jian'you
交轮几,jiao'lun'ji
交相利,jiao'xiang'li
教相判释,jiao'xiang'pan'shi
劫,jie
戒,jie
结,jie
解蔽,jie'bi
洁宫,jie'gong
戒律,jie'lv
竭天成能,jie'tian'cheng'neng
解脱,jie'tuo
接习,jie'xi
解衣般礴,jie'yi'ban'bo
节用,jie'yong
节欲反性,jie'yu'fan'xing
节葬,jie'zang
尽地力,jin'di'li
禁攻寝兵,jin'gong'qin'bing
进化论,jin'hua'lun
尽见,jin'jian
今日适越而昔来,jin'ri'shi'yue'er'xi'lai
尽善尽美,jin'shan'jin'mei
尽天地古今皆二,jin'tian'di'gu'jin'jie'er
尽心知性,jin'xin'zhi'xing
尽性,jin'xing
静,jing
精,jing
经,jing
敬德保民,jing'de'bao'min
静的文明,jing'de'wen'ming
静笃,jing'du
静观,jing'guan
敬鬼神而远之,jing'gui'shen'er'yuan'zhi
净化,jing'hua
境界,jing'jie
敬静工夫,jing'jing'gong'fu
精气,jing'qi
经权,jing'quan
精神,jing'shen
精神居形体,jing'shen'ju'xing'ti
精神科学,jing'shen'ke'xue
经世应务,jing'shi'ying'wu
经世致用,jing'shi'zhi'yong
精爽,jing'shuang
净土,jing'tu
静为躁君,jing'wei'zao'jun
经学即理学,jing'xue'ji'li'xue
经验,jing'yan
精义入神以致用,jing'yi'ru'shen'yi'zhi'yong
静因之道,jing'yin'zhi'dao
静则生慧,jing'ze'sheng'hui
境者心造,jing'zhe'xin'zao
景中情,jing'zhong'qing
久,jiu
九经,jiu'jing
究竟觉,jiu'jing'jue
九句因,jiu'ju'yin
九品莲台,jiu'pin'lian'tai
九守,jiu'shou
九思,jiu'si
九天,jiu'tian
举,ju
居安思危,ju'an'si'wei
举本统末,ju'ben'tong'mo
矩不方,ju'bu'fang
俱分进化,ju'fen'jin'hua
居敬,ju'jing
具体而微,ju'ti'er'wei
举一反三,ju'yi'fan'san
绝待,jue'dai
绝地天通,jue'di'tian'tong
绝迹玄会,jue'ji'xuan'hui
绝仁弃义,jue'ren'qi'yi
绝圣弃智,jue'sheng'qi'zhi
绝羡欲,jue'xian'yu
觉性,jue'xing
觉照,jue'zhao
君臣共治,jun'chen'gong'zhi
君臣无常位,jun'chen'wu'chang'wei
君火,jun'huo
君民一体,jun'min'yi'ti
君权神授,jun'quan'shen'shou
君为天下之大害,jun'wei'tian'xia'zhi'da'hai
君相道合,jun'xiang'dao'he
君形者,jun'xing'zhe
君子喻于义,jun'zi'yu'yu'yi
开明自营,kai'ming'zi'ying
开物成务,kai'wu'cheng'wu
坎,kan
克己复礼,ke'ji'fu'li
克己尽物,ke'ji'jin'wu
客形,ke'xing
科学的人生观,ke'xue'de'ren'sheng'guan
科学神,ke'xue'shen
科学实验的方法,ke'xue'shi'yan'de'fang'fa
科学与玄学论战,ke'xue'yu'xuan'xue'lun'zhan
空,kong
孔颜乐处,kong'yan'le'chu
空有,kong'you
口辩,kou'bian
旷达,kuang'da
狂狷,kuang'juan
况谓之名,kuang'wei'zhi'ming
揆端推类,kui'duan'tui'lei
坤,kun
赖其力者生,lai'qi'li'zhe'sheng
劳力者治于人,lao'li'zhe'zhi'yu'ren
劳心者治人,lao'xin'zhe'zhi'ren
了别,le'bie
乐观其反,le'guan'qi'fan
乐利主义,le'li'zhu'yi
乐天知命,le'tian'zhi'ming
类,lei
雷非天怒,lei'fei'tian'nu
类固不必可推知也,lei'gu'bu'bi'ke'tui'zhi'ye
类固相召,lei'gu'xiang'zhao
类名,lei'ming
类同,lei'tong
雷为火,lei'wei'huo
利,li
理,li
礼,li
离,li
理本气末,li'ben'qi'mo
理禀,li'bing
理乘气功,li'cheng'qi'gong
理存于欲,li'cun'yu'yu
立大本,li'da'ben
利根,li'gen
理根于气,li'gen'yu'qi
利合,li'he
理迹,li'ji
离坚白,li'jian'bai
力今胜古,li'jin'sheng'gu
理具于心,li'ju'yu'xin
理昧,li'mei
力命,li'ming
理明,li'ming
理气,li'qi
理气合一,li'qi'he'yi
理气同异,li'qi'tong'yi
立人极,li'ren'ji
理生气,li'sheng'qi
理事,li'shi
理势,li'shi
历史的方法,li'shi'de'fang'fa
理势合一,li'shi'he'yi
历史民族,li'shi'min'zu
理事无碍,li'shi'wu'ai
理统,li'tong
历物十事,li'wu'shi'shi
理先气后,li'xian'qi'hou
立象尽意,li'xiang'jin'yi
离心无境,li'xin'wu'jing
力行哲学,li'xing'zhe'xue
理义,li'yi
礼义,li'yi
礼仪,li'yi
理一分殊,li'yi'fen'shu
礼义廉耻,li'yi'lian'chi
丽以淫,li'yi'yin
丽以则,li'yi'ze
利用,li'yong
利用安身以崇德,li'yong'an'shen'yi'chong'de
理有穷通,li'you'qiong'tong
理欲,li'yu
理源,li'yuan
礼乐教化,li'yue'jiao'hua
理载于气,li'zai'yu'qi
理知,li'zhi
礼之用,li'zhi'yong
理主气从,li'zhu'qi'cong
炼丹,lian'dan
连环可解也,lian'huan'ke'jie'ye
炼气,lian'qi
炼形,lian'xing
连珠,lian'zhu
连珠式,lian'zhu'shi
连珠体,lian'zhu'ti
量,liang
两端贵先,liang'duan'gui'xian
两故化,liang'gu'hua
良贵,liang'gui
两行,liang'hang
两可之说,liang'ke'zhi'shuo
量论,liang'lun
良能,liang'neng
两刃相割,liang'ren'xiang'ge
量时制谊,liang'shi'zhi'yi
良心,liang'xin
两仪,liang'yi
良知,liang'zhi
量智,liang'zhi
良知现成,liang'zhi'xian'cheng
灵宝天尊,ling'bao'tian'zun
灵府,ling'fu
灵魂,ling'hun
灵明,ling'ming
灵气,ling'qi
灵人,ling'ren
灵台,ling'tai
六柄,liu'bing
六尘,liu'chen
六道,liu'dao
六德,liu'de
六度,liu'du
六分,liu'fen
六府,liu'fu
六根,liu'gen
六极,liu'ji
六境,liu'jing
六经皆史,liu'jing'jie'shi
六经未必为太阳,liu'jing'wei'bi'wei'tai'yang
六经注我,liu'jing'zhu'wo
六理,liu'li
六美,liu'mei
六逆,liu'ni
六气,liu'qi
六趣,liu'qu
六识,liu'shi
六十四卦,liu'shi'si'gua
流水不腐,liu'shui'bu'fu
六顺,liu'shun
六相缘起,liu'xiang'yuan'qi
六相圆融,liu'xiang'yuan'rong
六爻,liu'yao
龙虎,long'hu
隆正,long'zheng
陆沉,lu'chen
鲁问,lu'wen
乱极则治,luan'ji'ze'zhi
卵有毛,luan'you'mao
略知,lue'zhi
轮不碾地,lun'bu'nian'di
轮回,lun'hui
伦理,lun'li
落花之辨,luo'hua'zhi'bian
律,lv
虑求,lv'qiu
履事,lv'shi
马有卵,ma'you'luan
满空皆火,man'kong'jie'huo
芒,mang
矛盾之说,mao'dun'zhi'shuo
美刺,mei'ci
美善相乐,mei'shan'xiang'le
美质不饰,mei'zhi'bu'shi
梦幻人世,meng'huan'ren'shi
妙明真心,miao'ming'zhen'xin
妙悟,miao'wu
妙叶,miao'ye
灭度,mie'du
民胞物与,min'bao'wu'yu
民本,min'ben
民本君末,min'ben'jun'mo
民贵君轻,min'gui'jun'qing
民可使由之,min'ke'shi'you'zhi
民生,min'sheng
民生史观,min'sheng'shi'guan
民生哲学,min'sheng'zhe'xue
民无终贱,min'wu'zhong'jian
民之所欲,min'zhi'suo'yu
民主君客,min'zhu'jun'ke
命,ming
明,ming
名辩,ming'bian
明辨,ming'bian
命不可勉,ming'bu'ke'mian
明诚,ming'cheng
明诚合一,ming'cheng'he'yi
明耻,ming'chi
名达,ming'da
明胆异气,ming'dan'yi'qi
明道不计功,ming'dao'bu'ji'gong
明法审令,ming'fa'shen'ling
明分使群,ming'fen'shi'qun
名各顺于天,ming'ge'shun'yu'tian
明故,ming'gu
明鬼,ming'gui
冥极之知,ming'ji'zhi'zhi
明鉴,ming'jian
名教,ming'jiao
名教出于自然,ming'jiao'chu'yu'zi'ran
名教即自然,ming'jiao'ji'zi'ran
名教之乐,ming'jiao'zhi'le
名教自然之辨,ming'jiao'zi'ran'zhi'bian
名理,ming'li
冥然自合,ming'ran'zi'he
名色,ming'se
明善诚身,ming'shan'cheng'shen
名胜,ming'sheng
名生于真,ming'sheng'yu'zhen
名士,ming'shi
名实,ming'shi
名实耦,ming'shi'ou
名实相应,ming'shi'xiang'ying
名实之辩,ming'shi'zhi'bian
命题,ming'ti
明体达用之学,ming'ti'da'yong'zhi'xue
命物之名,ming'wu'zhi'ming
明心见性,ming'xin'jian'xing
溟涬,ming'xing
冥行妄作,ming'xing'wang'zuo
名有三科,ming'you'san'ke
命迂,ming'yu
明于天人之分,ming'yu'tian'ren'zhi'fen
明哲保身,ming'zhe'bao'shen
名逐物而迁,ming'zhu'wu'er'qian
墨箓,mo'lu
末那识,mo'na'shi
莫破质点,mo'po'zhi'dian
莫若以明,mo'ruo'yi'ming
莫为,mo'wei
侔,mou
目不见,mu'bu'jian
目识,mu'shi
目想,mu'xiang
纳甲,na'jia
南无,na'mo
拿证据来,na'zheng'ju'lai
南方无穷而有穷,nan'fang'wu'qiong'er'you'qiong
难自然好学论,nan'zi'ran'hao'xue'lun
脑气筋,nao'qi'jin
脑髓说,nao'sui'shuo
内成,nei'cheng
内丹,nei'dan
内界立法,nei'jie'li'fa
内美,nei'mei
内圣外王,nei'sheng'wai'wang
内视,nei'shi
内视反听,nei'shi'fan'ting
内外交相成之道,nei'wai'jiao'xiang'cheng'zhi'dao
内外相须,nei'wai'xiang'xu
内外之合,nei'wai'zhi'he
内省,nei'xing
内学,nei'xue
内游,nei'you
内籀,nei'zhou
能,neng
能必副所,neng'bi'fu'suo
能参,neng'can
能立,neng'li
能破,neng'po
能所,neng'suo
能知,neng'zhi
能知必能行,neng'zhi'bi'neng'xing
逆教,ni'jiao
念念生灭,nian'nian'sheng'mie
涅槃,nie'pan
偶,ou
耦立,ou'li
偶其类,ou'qi'lei
偶然,ou'ran
耦中有耦,ou'zhong'you'ou
偶自生,ou'zi'sheng
判教,pan'jiao
庞鸿,pang'hong
庖丁解牛,pao'ding'jie'niu
捧喝,peng'he
辟,pi
譬称,pi'cheng
否极泰来,pi'ji'tai'lai
平待,ping'dai
