埃文斯,ai'wen'si
搜集这方面,sou'ji'zhe'fang'mian
琐罗亚斯德教,suo'luo'ya'si'de'jiao
所以学者们,suo'yi'xue'zhe'men
索引性表达,suo'yin'xing'biao'da
所做的,suo'zuo'de
它包括,ta'bao'kuo
他观,ta'guan
它研究,ta'yan'jiu
体质类型,ti'zhi'lei'xing
体质人类学,ti'zhi'ren'lei'xue
体质人类学是,ti'zhi'ren'lei'xue'shi
体质人类学也,ti'zhi'ren'lei'xue'ye
通婚圈半径,tong'hun'quan'ban'jing
同时形成一些,tong'shi'xing'cheng'yi'xie
托马斯,tuo'ma'si
万物有灵论,wan'wu'you'ling'lun
王铭铭,wang'ming'ming
维柯斯计划,wei'ke'si'ji'hua
维模,wei'mo
文化比较研究,wen'hua'bi'jiao'yan'jiu
文化变迁,wen'hua'bian'qian
文化丛,wen'hua'cong
文化的角度,wen'hua'de'jiao'du
文化人类学,wen'hua'ren'lei'xue
文化人类学家,wen'hua'ren'lei'xue'jia
文化相对论,wen'hua'xiang'dui'lun
翁乃群,weng'nai'qun
沃尔夫假设,wo'er'fu'jia'she
吴文藻,wu'wen'zao
西太平洋上的航海者,xi'tai'ping'yang'shang'de'hang'hai'zhe
夏建中,xia'jian'zhong
狭义的文化人类学,xia'yi'de'wen'hua'ren'lei'xue
现存灵长类,xian'cun'ling'zhang'lei
现在的,xian'zai'de
相当于我们,xiang'dang'yu'wo'men
新教伦理,xin'jiao'lun'li
行为等内容,xing'wei'deng'nei'rong
性质及,xing'zhi'ji
许多理论,xu'duo'li'lun
许烺光,xu'lang'guang
学术传统,xue'shu'chuan'tong
学者开始,xue'zhe'kai'shi
亚里士多德,ya'li'shi'duo'de
亚文化,ya'wen'hua
演变规律,yan'bian'gui'lv
研究的学科,yan'jiu'de'xue'ke
研究人类,yan'jiu'ren'lei
研究人体,yan'jiu'ren'ti
研究则称为,yan'jiu'ze'cheng'wei
瑶老制,yao'lao'zhi
野外灵长动物,ye'wai'ling'chang'dong'wu
遗传学,yi'chuan'xue
已发展成,yi'fa'zhan'cheng
伊根,yi'gen
移情,yi'qing
异文化,yi'wen'hua
义序,yi'xu
用这个词,yong'zhe'ge'ci
有不同,you'bu'tong
有机团结,you'ji'tuan'jie
尤其是指对,you'qi'shi'zhi'dui
游群,you'qun
有时又统称为,you'shi'you'tong'cheng'wei
由探险家,you'tan'xian'jia
由于各国,you'yu'ge'guo
阈限阀,yu'xian'fa
语言学和民族学,yu'yan'xue'he'min'zu'xue
原始民族,yuan'shi'min'zu
原始艺术,yuan'shi'yi'shu
原始种族,yuan'shi'zhong'zu
晕轮效应,yun'lun'xiao'ying
在欧洲大陆,zai'ou'zhou'da'lu
在英国学术界,zai'ying'guo'xue'shu'jie
凿齿,zao'chi
张海洋,zhang'hai'yang
张向辉,zhang'xiang'hui
这部分内容,zhe'bu'fen'nei'rong
这些情况,zhe'xie'qing'kuang
这些遗骨,zhe'xie'yi'gu
整体观,zheng'ti'guan
指导性变迁,zhi'dao'xing'bian'qian
直方图,zhi'fang'tu
制品在,zhi'pin'zai
知识学问,zhi'shi'xue'wen
置信区间,zhi'xin'qu'jian
钟摆模式,zhong'bai'mo'shi
中华民族多元一体格局,zhong'hua'min'zu'duo'yuan'yi'ti'ge'ju
中去,zhong'qu
种种行为,zhong'zhong'xing'wei
种族差异,zhong'zu'cha'yi
诸方面,zhu'fang'mian
主位,zhu'wei
庄孔韶,zhuang'kong'shao
资本主义精神,zi'ben'zhu'yi'jing'shen
自观,zi'guan
宗教巫术,zong'jiao'wu'shu
最初是,zui'chu'shi
最具成就的工作,zui'ju'cheng'jiu'de'gong'zuo
最早见于,zui'zao'jian'yu
