爱华老年公寓,ai'hua'lao'nian'gong'yu
五里牌,wu'li'pai
五坡下,wu'po'xia
五星陶瓷公司,wu'xing'tao'ci'gong'si
五一村,wu'yi'cun
五中,wu'zhong
西门桥头,xi'men'qiao'tou
下柳源,xia'liu'yuan
峡石村,xia'shi'cun
峡石新村,xia'shi'xin'cun
峡石中央粮库,xia'shi'zhong'yang'liang'ku
湘东地税局,xiang'dong'di'shui'ju
湘东法院,xiang'dong'fa'yuan
湘东公安分局,xiang'dong'gong'an'fen'ju
湘东建设局,xiang'dong'jian'she'ju
湘东桥,xiang'dong'qiao
湘东区医院,xiang'dong'qu'yi'yuan
湘东邮支局,xiang'dong'you'zhi'ju
香溪美林,xiang'xi'mei'lin
象形湾,xiang'xing'wan
湘雅萍矿合作医院,xiang'ya'ping'kuang'he'zuo'yi'yuan
湘雅萍矿医院,xiang'ya'ping'kuang'yi'yuan
消防指挥中心,xiao'fang'zhi'hui'zhong'xin
新街,xin'jie
信用社,xin'yong'she
雅典花园,ya'dian'hua'yuan
烟冲,yan'chong
岩下,yan'xia
姚家坡,yao'jia'po
迎宾宾馆,ying'bin'bin'guan
永昌寺,yong'chang'si
雍家冲,yong'jia'chong
邮政局,you'zheng'ju
玉湖,yu'hu
玉湖新城,yu'hu'xin'cheng
余家祠,yu'jia'ci
源壁管理处,yuan'bi'guan'li'chu
站前东路,zhan'qian'dong'lu
张家大屋,zhang'jia'da'wu
朝阳花园,zhao'yang'hua'yuan
郑和路,zheng'he'lu
制药厂,zhi'yao'chang
中级人民法院,zhong'ji'ren'min'fa'yuan
中心幼儿园,zhong'xin'you'er'yuan
中医院,zhong'yi'yuan
