阿拉伯复兴社会主义,a'la'bo'fu'xing'she'hui'zhu'yi
领土管辖权,ling'tu'guan'xia'quan
领土毗连,ling'tu'pi'lian
领土完整,ling'tu'wan'zheng
陆基洲际导弹,lu'ji'zhou'ji'dao'dan
路易斯哈利,lu'yi'si'ha'li
罗马尼亚,luo'ma'ni'ya
洛美协定,luo'mei'xie'ding
罗斯福,luo'si'fu
马耳他首脑会谈成了冷战结束的象征,ma'er'ta'shou'nao'hui'tan'cheng'le'leng'zhan'jie'shu'de'xiang'zheng
马来西亚,ma'lai'xi'ya
马斯特里赫特条约,ma'si'te'li'he'te'tiao'yue
马歇尔,ma'xie'er
马歇尔计划,ma'xie'er'ji'hua
麦克阿瑟,mai'ke'a'se
麦克纳马拉,mai'ke'na'ma'la
麦克纳马拉的战争,mai'ke'na'ma'la'de'zhan'zheng
毛泽东,mao'ze'dong
美澳新安全条约,mei'ao'xin'an'quan'tiao'yue
美菲美蒋美韩共同防御条约,mei'fei'mei'jiang'mei'han'gong'tong'fang'yu'tiao'yue
美国第七舰队,mei'guo'di'qi'jian'dui
美国国务院,mei'guo'guo'wu'yuan
美国战略部队的现代化,mei'guo'zhan'lue'bu'dui'de'xian'dai'hua
美苏对抗,mei'su'dui'kang
美苏葛拉斯堡会晤,mei'su'ge'la'si'bao'hui'wu
美苏首脑维也纳会晤,mei'su'shou'nao'wei'ye'na'hui'wu
美苏主宰世界战略,mei'su'zhu'zai'shi'jie'zhan'lue
美泰军事援助协定,mei'tai'jun'shi'yuan'zhu'xie'ding
美洲国家政治军事集团,mei'zhou'guo'jia'zheng'zhi'jun'shi'ji'tuan
门户开放,men'hu'kai'fang
盟国管制委员会,meng'guo'guan'zhi'wei'yuan'hui
缅甸,mian'dian
民族国家,min'zu'guo'jia
民族解放阵线,min'zu'jie'fang'zhen'xian
慕尼黑,mu'ni'hei
穆斯林世界,mu'si'lin'shi'jie
纳赛尔,na'sai'er
难民营,nan'min'ying
南斯拉夫,nan'si'la'fu
南亚次大陆,nan'ya'ci'da'lu
尼赫鲁主义,ni'he'lu'zhu'yi
尼克松,ni'ke'song
尼克松主义,ni'ke'song'zhu'yi
年的波兹南事件与苏波关系,nian'de'bo'zi'nan'shi'jian'yu'su'bo'guan'xi
年第四次中东战争,nian'di'si'ci'zhong'dong'zhan'zheng
年日内瓦四国首脑会谈,nian'ri'nei'wa'si'guo'shou'nao'hui'tan
年苏联入侵捷克斯洛伐克,nian'su'lian'ru'qin'jie'ke'si'luo'fa'ke
年匈牙利事件与苏匈关系,nian'xiong'ya'li'shi'jian'yu'su'xiong'guan'xi
欧共体,ou'gong'ti
欧洲,ou'zhou
欧洲安全与合作会议,ou'zhou'an'quan'yu'he'zuo'hui'yi
欧洲的缓和,ou'zhou'de'huan'he
欧洲解放宣言,ou'zhou'jie'fang'xuan'yan
欧洲经济与货币联盟,ou'zhou'jing'ji'yu'huo'bi'lian'meng
欧洲契约计划,ou'zhou'qi'yue'ji'hua
欧洲中程核武器谈判,ou'zhou'zhong'cheng'he'wu'qi'tan'pan
齐奥塞斯库,qi'ao'sai'si'ku
契尔年科,qi'er'nian'ke
前工业社会,qian'gong'ye'she'hui
侨居国,qiao'ju'guo
氢弹,qing'dan
求得公平合理的解决,qiu'de'gong'ping'he'li'de'jie'jue
丘吉尔铁幕演说,qiu'ji'er'tie'mu'yan'shuo
取长补短,qu'chang'bu'duan
权力分配,quan'li'fen'pei
权力均衡,quan'li'jun'heng
权力与规范,quan'li'yu'gui'fan
全面禁止和彻底销毁核武器,quan'mian'jin'zhi'he'che'di'xiao'hui'he'wu'qi
全面战争,quan'mian'zhan'zheng
人民之间的联系和交流,ren'min'zhi'jian'de'lian'xi'he'jiao'liu
人权问题国际化,ren'quan'wen'ti'guo'ji'hua
日本,ri'ben
日夫科夫,ri'fu'ke'fu
日美安保条约,ri'mei'an'bao'tiao'yue
日美安全条约,ri'mei'an'quan'tiao'yue
日内瓦会议,ri'nei'wa'hui'yi
日内瓦精神,ri'nei'wa'jing'shen
三八线,san'ba'xian
三边战略,san'bian'zhan'lue
三角外交,san'jiao'wai'jiao
神圣不可侵犯,shen'sheng'bu'ke'qin'fan
生态灭绝,sheng'tai'mie'jue
世界和平运动,shi'jie'he'ping'yun'dong
世界一体化进程,shi'jie'yi'ti'hua'jin'cheng
实力,shi'li
十字军东征,shi'zi'jun'dong'zheng
舒曼计划,shu'man'ji'hua
双边和多边经济合作,shuang'bian'he'duo'bian'jing'ji'he'zuo
双边贸易,shuang'bian'mao'yi
双重国籍,shuang'chong'guo'ji
斯大林,si'da'lin
苏东解体,su'dong'jie'ti
苏加诺主义,su'jia'nuo'zhu'yi
苏联,su'lian
苏联的安全带政策,su'lian'de'an'quan'dai'zheng'ce
苏联挑起中苏边境冲突,su'lian'tiao'qi'zhong'su'bian'jing'chong'tu
苏维埃共和国与,su'wei'ai'gong'he'guo'yu
苏伊士运河,su'yi'shi'yun'he
苏中分裂,su'zhong'fen'lie
泰国,tai'guo
台湾问题,tai'wan'wen'ti
铁幕,tie'mu
铁幕演说,tie'mu'yan'shuo
铁托,tie'tuo
廷德曼斯报告,ting'de'man'si'bao'gao
通过外交途径进行谈判,tong'guo'wai'jiao'tu'jing'jin'xing'tan'pan
团结工会,tuan'jie'gong'hui
托管制度,tuo'guan'zhi'du
瓦文萨,wa'wen'sa
外层空间,wai'ceng'kong'jian
外交优势,wai'jiao'you'shi
外交政策,wai'jiao'zheng'ce
万隆会议,wan'long'hui'yi
维持现状,wei'chi'xian'zhuang
威尔逊,wei'er'xun
维护国家独立和主权完整,wei'hu'guo'jia'du'li'he'zhu'quan'wan'zheng
维护世界和平,wei'hu'shi'jie'he'ping
危机,wei'ji
威斯特伐利亚体系,wei'si'te'fa'li'ya'ti'xi
唯一合法政府,wei'yi'he'fa'zheng'fu
温斯顿丘吉尔,wen'si'dun'qiu'ji'er
无核世界的美梦,wu'he'shi'jie'de'mei'meng
吴庭艳,wu'ting'yan
无息和低息贷款,wu'xi'he'di'xi'dai'kuan
武装冲突,wu'zhuang'chong'tu
希腊危机,xi'la'wei'ji
西欧共同市场,xi'ou'gong'tong'shi'chang
相互确保摧毁,xiang'hu'que'bao'cui'hui
小亚细亚,xiao'ya'xi'ya
新老殖民主义,xin'lao'zhi'min'zhu'yi
新面貌防御政策,xin'mian'mao'fang'yu'zheng'ce
新面貌政策与大规模报复战略,xin'mian'mao'zheng'ce'yu'da'gui'mo'bao'fu'zhan'lue
新思维,xin'si'wei
新西兰,xin'xi'lan
星球大战,xing'qiu'da'zhan
兴衰,xing'shuai
匈牙利,xiong'ya'li
修正主义对外政策,xiu'zheng'zhu'yi'dui'wai'zheng'ce
雅尔塔会议,ya'er'ta'hui'yi
雅尔塔体系,ya'er'ta'ti'xi
亚非拉民族主义,ya'fei'la'min'zu'zhu'yi
雅温德协定,ya'wen'de'xie'ding
亚洲,ya'zhou
延期还本付息,yan'qi'huan'ben'fu'xi
叶利钦,ye'li'qin
伊朗,yi'lang
伊朗门事件,yi'lang'men'shi'jian
意识形态,yi'shi'xing'tai
印巴战争,yin'ba'zhan'zheng
印度,yin'du
引渡,yin'du
印度支那,yin'du'zhi'na
英国,ying'guo
用和平手段解决争端,yong'he'ping'shou'duan'jie'jue'zheng'duan
永久中立国,yong'jiu'zhong'li'guo
友好往来,you'hao'wang'lai
犹太复国主义,you'tai'fu'guo'zhu'yi
有限战争,you'xian'zhan'zheng
有争议的地区,you'zheng'yi'de'di'qu
与台湾关系法草案,yu'tai'wan'guan'xi'fa'cao'an
渔业资源,yu'ye'zi'yuan
原子弹垄断,yuan'zi'dan'long'duan
原子外交,yuan'zi'wai'jiao
越共,yue'gong
约翰逊,yue'han'xun
越盟,yue'meng
越南,yue'nan
越南民主共和国,yue'nan'min'zhu'gong'he'guo
越南战争,yue'nan'zhan'zheng
战略防御计划,zhan'lue'fang'yu'ji'hua
战略核均势,zhan'lue'he'jun'shi
战略核力量,zhan'lue'he'li'liang
战略平衡,zhan'lue'ping'heng
战略态势,zhan'lue'tai'shi
战争,zhan'zheng
战争边缘,zhan'zheng'bian'yuan
战争策源地,zhan'zheng'ce'yuan'di
战争升级策略,zhan'zheng'sheng'ji'ce'lue
战争越南化政策,zhan'zheng'yue'nan'hua'zheng'ce
照顾现实情况,zhao'gu'xian'shi'qing'kuang
珍珠港事件,zhen'zhu'gang'shi'jian
争霸,zheng'ba
政治多元化,zheng'zhi'duo'yuan'hua
政治犯,zheng'zhi'fan
政治清洗,zheng'zhi'qing'xi
政治逃犯,zheng'zhi'tao'fan
殖民统治,zhi'min'tong'zhi
中程核力量条约,zhong'cheng'he'li'liang'tiao'yue
中导条约,zhong'dao'tiao'yue
中导危机,zhong'dao'wei'ji
中等强国,zhong'deng'qiang'guo
中东,zhong'dong
中国,zhong'guo
中华民国,zhong'hua'min'guo
中间地带理论,zhong'jian'de'dai'li'lun
中立国,zhong'li'guo
中美关系,zhong'mei'guan'xi
中美洲危机,zhong'mei'zhou'wei'ji
中欧裁军会议,zhong'ou'cai'jun'hui'yi
中苏边界冲突,zhong'su'bian'jie'chong'tu
中苏交恶,zhong'su'jiao'wu
中苏结盟,zhong'su'jie'meng
中苏论战与苏联恶化中苏关系,zhong'su'lun'zhan'yu'su'lian'e'hua'zhong'su'guan'xi
中苏同盟,zhong'su'tong'meng
中央情报局,zhong'yang'qing'bao'ju
中印战争,zhong'yin'zhan'zheng
种族隔离,zhong'zu'ge'li
种族灭绝,zhong'zu'mie'jue
主权国家,zhu'quan'guo'jia
猪湾事件,zhu'wan'shi'jian
专属经济区,zhuan'shu'jing'ji'qu
专制主义,zhuan'zhi'zhu'yi
资本主义,zi'ben'zhu'yi
自我威慑政策,zi'wo'wei'she'zheng'ce
自由贸易,zi'you'mao'yi
自由战士,zi'you'zhan'shi
自由中国,zi'you'zhong'guo
综合国力,zong'he'guo'li
宗教战争,zong'jiao'zhan'zheng
总体战,zong'ti'zhan
宗主国,zong'zhu'guo
宗主权,zong'zhu'quan
最后通碟,zui'hou'tong'die
