啊被你,a'bei'ni
不大知道,bu'da'zhi'dao
不大准,bu'da'zhun
埠东村,bu'dong'cun
不方便接听,bu'fang'bian'jie'ting
不干么,bu'gan'me
不给你闹了,bu'gei'ni'nao'le
不管用呢,bu'guan'yong'ne
不和你似的,bu'he'ni'shi'de
不叫着我,bu'jiao'zhe'wo
不就行啊,bu'jiu'xing'a
不君君,bu'jun'jun
不开点,bu'kai'dian
不拉理,bu'la'li
不来感,bu'lai'gan
不来济南,bu'lai'ji'nan
不落落,bu'luo'luo
不落落了,bu'luo'luo'le
不落落你,bu'luo'luo'ni
不落落你了,bu'luo'luo'ni'le
不落落他,bu'luo'luo'ta
不落落我,bu'luo'luo'wo
不落落我了,bu'luo'luo'wo'le
不孬,bu'nao
不孬啊,bu'nao'a
不孬不孬,bu'nao'bu'nao
不孬了,bu'nao'le
不盼我点好,bu'pan'wo'dian'hao
不轻快,bu'qing'kuai
不是济南,bu'shi'ji'nan
不是济南的,bu'shi'ji'nan'de
不为么,bu'wei'me
不洗刷,bu'xi'shua
不显好,bu'xian'hao
不行蛮,bu'xing'man
不休班,bu'xiu'ban
布衣坊,bu'yi'fang
不愿吃,bu'yuan'chi
不愿出门,bu'yuan'chu'men
不愿出去,bu'yuan'chu'qu
不愿打,bu'yuan'da
不愿搭理,bu'yuan'da'li
不愿搭理你,bu'yuan'da'li'ni
不愿动,bu'yuan'dong
不愿动弹,bu'yuan'dong'tan
不愿干,bu'yuan'gan
不愿干了,bu'yuan'gan'le
不愿喝,bu'yuan'he
不愿回去,bu'yuan'hui'qu
不愿看,bu'yuan'kan
不愿理你,bu'yuan'li'ni
不愿起,bu'yuan'qi
不愿去,bu'yuan'qu
不愿去了,bu'yuan'qu'le
不愿上,bu'yuan'shang
不愿说话,bu'yuan'shuo'hua
不愿玩,bu'yuan'wan
不愿玩了,bu'yuan'wan'le
不愿写,bu'yuan'xie
不愿学,bu'yuan'xue
不愿用,bu'yuan'yong
不在济南,bu'zai'ji'nan
不在济南了,bu'zai'ji'nan'le
不再三,bu'zai'san
不正儿八经,bu'zheng'er'ba'jing
不知道为么,bu'zhi'dao'wei'me
菜饼,cai'bing
才不是来,cai'bu'shi'lai
彩虹湖,cai'hong'hu
采集信息,cai'ji'xin'xi
菜煎饼,cai'jian'bing
彩石,cai'shi
彩世界,cai'shi'jie
菜市南街,cai'shi'nan'jie
彩石溪,cai'shi'xi
彩石镇,cai'shi'zhen
财政学院,cai'zheng'xue'yuan
餐洗净,can'xi'jing
曹范,cao'fan
曹范镇,cao'fan'zhen
草房子,cao'fang'zi
操弄,cao'nong
草山岭,cao'shan'ling
曹县,cao'xian
测考,ce'kao
差不许多,cha'bu'xu'duo
叉号,cha'hao
查看房源信息,cha'kan'fang'yuan'xin'xi
岔路街,cha'lu'jie
差宿舍,cha'su'she
查体的,cha'ti'de
查体了,cha'ti'le
查完体,cha'wan'ti
茶叶市场,cha'ye'shi'chang
场场面面,chang'chang'mian'mian
常春藤,chang'chun'teng
昌乐,chang'le
长么样,chang'me'yang
长清,chang'qing
长清吧,chang'qing'ba
长清大学城,chang'qing'da'xue'cheng
长清的,chang'qing'de
长清了,chang'qing'le
长青呢,chang'qing'ne
长清区,chang'qing'qu
长清校区,chang'qing'xiao'qu
长清一中,chang'qing'yi'zhong
长盛,chang'sheng
长盛北区,chang'sheng'bei'qu
长生不死,chang'sheng'bu'si
长盛小区,chang'sheng'xiao'qu
长途汽车站,chang'tu'qi'che'zhan
长途汽车总站,chang'tu'qi'che'zong'zhan
长兴苑,chang'xing'yuan
炒焖饼,chao'men'bing
炒米店,chao'mi'dian
超然阁,chao'ran'ge
超然楼,chao'ran'lou
朝山,chao'shan
朝山街,chao'shan'jie
朝鲜面,chao'xian'mian
超意兴,chao'yi'xing
车站北街,che'zhan'bei'jie
车站街,che'zhan'jie
陈家楼,chen'jia'lou
沉住气,chen'zhu'qi
澄波湖,cheng'bo'hu
撑得上,cheng'de'shang
成丰桥,cheng'feng'qiao
诚惠,cheng'hui
诚基,cheng'ji
诚基中心,cheng'ji'zhong'xin
城南往事,cheng'nan'wang'shi
成瓶,cheng'ping
城市人家,cheng'shi'ren'jia
城市之音,cheng'shi'zhi'yin
成武县,cheng'wu'xian
吃饱饱了吗,chi'bao'bao'le'ma
吃的么,chi'de'me
吃的什么好好,chi'de'shen'me'hao'hao
吃饭来嘛,chi'fan'lai'ma
吃饭来么,chi'fan'lai'me
吃供,chi'gong
吃好好,chi'hao'hao
吃好好了,chi'hao'hao'le
吃么啊,chi'me'a
茌平,chi'ping
茌平县,chi'ping'xian
吃上药,chi'shang'yao
吃水饺,chi'shui'jiao
赤霞广场,chi'xia'guang'chang
吃羊肉串,chi'yang'rou'chuan
吃着饭呢,chi'zhe'fan'ne
吃着来,chi'zhe'lai
充氟,chong'fu
崇华路,chong'hua'lu
重庆鸡公煲,chong'qing'ji'gong'bao
重庆小天鹅,chong'qing'xiao'tian'e
充上话费,chong'shang'hua'fei
充上了吗,chong'shang'le'ma
充上钱,chong'shang'qian
冲月票,chong'yue'piao
臭大姐,chou'da'jie
愁的慌,chou'de'huang
愁得上,chou'de'shang
愁么,chou'me
臭妮妮,chou'ni'ni
臭妮子,chou'ni'zi
愁人吧,chou'ren'ba
愁死喽,chou'si'lou
臭玩意,chou'wan'yi
抽一颗,chou'yi'ke
出济南,chu'ji'nan
出么事,chu'me'shi
橱子,chu'zi
厨子里,chu'zi'li
船歌鱼,chuan'ge'yu
床头橱,chuang'tou'chu
春秋衣,chun'qiu'yi
春天花园,chun'tian'hua'yuan
此房源,ci'fang'yuan
刺挠,ci'nao
刺挠刺挠,ci'nao'ci'nao
刺挠你,ci'nao'ni
刺挠人,ci'nao'ren
刺挠他,ci'nao'ta
刺挠我,ci'nao'wo
次牛逼,ci'niu'bi
磁窑,ci'yao
丛丛,cong'cong
从德州,cong'de'zhou
从济南,cong'ji'nan
从济宁,cong'ji'ning
从哪了,cong'na'le
从哪呢,cong'na'ne
从日照,cong'ri'zhao
从泰安,cong'tai'an
从潍坊,cong'wei'fang
从学校里,cong'xue'xiao'li
从烟台,cong'yan'tai
葱油鱼,cong'you'yu
从章丘,cong'zhang'qiu
从淄博,cong'zi'bo
凑局,cou'ju
徂徕山,cu'lai'shan
翠峰苑,cui'feng'yuan
崔寨,cui'zhai
崔寨镇,cui'zhai'zhen
大杯茶,da'bei'cha
大地锐城,da'di'rui'cheng
打电话来嘛,da'dian'hua'lai'ma
打吊瓶呢,da'diao'ping'ne
大东边,da'dong'bian
打哆嗦,da'duo'suo
大佛头,da'fo'tou
打够级,da'gou'ji
大观园,da'guan'yuan
大观园了,da'guan'yuan'le
大韩情缘,da'han'qing'yuan
大济南,da'ji'nan
大济宁,da'ji'ning
大涧沟,da'jian'gou
大金新苑,da'jin'xin'yuan
大金庄,da'jin'zhuang
打就行,da'jiu'xing
大梁骨,da'liang'gu
大临沂,da'lin'yi
大米干饭,da'mi'gan'fan
大米面皮,da'mi'mian'pi
大明湖,da'ming'hu
大明湖东门,da'ming'hu'dong'men
大明湖了,da'ming'hu'le
大明家居,da'ming'jia'ju
大魔头,da'mo'tou
大桥路,da'qiao'lu
大桥镇,da'qiao'zhen
达人界,da'ren'jie
大日照,da'ri'zhao
大傻脸,da'sha'lian
大山东,da'shan'dong
打上车了吗,da'shang'che'le'ma
打上了吗,da'shang'le'ma
打上钱,da'shang'qian
打上针,da'shang'zhen
大少吧,da'shao'ba
达盛鑫苑,da'sheng'xin'yuan
大舜,da'shun
大舜天成,da'shun'tian'cheng
大体意思,da'ti'yi'si
大纬二路,da'wei'er'lu
大潍坊,da'wei'fang
大汶口,da'wen'kou
大西边,da'xi'bian
大辛庄,da'xin'zhuang
大学科技园,da'xue'ke'ji'yuan
大学写作,da'xue'xie'zuo
大演草,da'yan'cao
大烟台,da'yan'tai
大杨庄,da'yang'zhuang
大友宝,da'you'bao
大院传达,da'yuan'chuan'da
大约多长时间,da'yue'duo'chang'shi'jian
大约多钱,da'yue'duo'qian
打仗来,da'zhang'lai
大章丘,da'zhang'qiu
打针来,da'zhen'lai
大正路,da'zheng'lu
大智教育,da'zhi'jiao'yu
大智学校,da'zhi'xue'xiao
大众广场,da'zhong'guang'chang
大众人才,da'zhong'ren'cai
大众人才网,da'zhong'ren'cai'wang
大众日报,da'zhong'ri'bao
大众日报社,da'zhong'ri'bao'she
大众网,da'zhong'wang
大淄博,da'zi'bo
带好好,dai'hao'hao
岱庙,dai'miao
代收款,dai'shou'kuan
担山屯,dan'shan'tun
单双号,dan'shuang'hao
蛋酥卷,dan'su'juan
单位宿舍,dan'wei'su'she
党家镇,dang'jia'zhen
党家庄,dang'jia'zhuang
党校街,dang'xiao'jie
党杨路,dang'yang'lu
到长清,dao'chang'qing
道德街,dao'de'jie
捣鼓的,dao'gu'de
到和谐,dao'he'xie
到济南,dao'ji'nan
到济南的,dao'ji'nan'de
到济南了,dao'ji'nan'le
到济南了吗,dao'ji'nan'le'ma
到济宁,dao'ji'ning
道克图文,dao'ke'tu'wen
到莱芜,dao'lai'wu
到了济南,dao'le'ji'nan
到聊城,dao'liao'cheng
到临沂,dao'lin'yi
到明水,dao'ming'shui
到山师,dao'shan'shi
到泰安,dao'tai'an
到潍坊,dao'wei'fang
到潍坊了,dao'wei'fang'le
稻香园,dao'xiang'yuan
到章丘,dao'zhang'qiu
到淄博,dao'zi'bo
德百,de'bai
得定,de'ding
得利斯,de'li'si
德兴街,de'xing'jie
德裕,de'yu
德裕家园,de'yu'jia'yuan
德院,de'yuan
德职,de'zhi
德州,de'zhou
德州的,de'zhou'de
德州了,de'zhou'le
德州呢,de'zhou'ne
德州扒鸡,de'zhou'pa'ji
德州学院,de'zhou'xue'yuan
等烦了,deng'fan'le
等会可,deng'hui'ke
灯具市场,deng'ju'shi'chang
等你来济南,deng'ni'lai'ji'nan
登山证,deng'shan'zheng
等我会哈,deng'wo'hui'ha
等着点,deng'zhe'dian
等着来,deng'zhe'lai
地蛋,di'dan
地瓜丸,di'gua'wan
帝景苑,di'jing'yuan
堤口,di'kou
堤口路,di'kou'lu
堤口庄,di'kou'zhuang
地矿家园,di'kuang'jia'yuan
地摊子,di'tan'zi
地纬,di'wei
地下二,di'xia'er
地下一,di'xia'yi
地下银座,di'xia'yin'zuo
帝一麦,di'yi'mai
点贡,dian'gong
电建路,dian'jian'lu
甸柳,dian'liu
甸柳小区,dian'liu'xiao'qu
甸柳新村,dian'liu'xin'cun
甸柳一小,dian'liu'yi'xiao
甸柳一中,dian'liu'yi'zhong
甸柳庄,dian'liu'zhuang
甸一,dian'yi
雕刻机,diao'ke'ji
吊么,diao'me
刁山坡,diao'shan'po
掉鞋,diao'xie
掉渣饼,diao'zha'bing
刁镇,diao'zhen
蝶泉,die'quan
跌些,die'xie
丁豪广场,ding'hao'guang'chang
丁家庄,ding'jia'zhuang
定陶的,ding'tao'de
丁彦雨航,ding'yan'yu'hang
腚眼子,ding'yan'zi
东八里洼,dong'ba'li'wa
东昌府区,dong'chang'fu'qu
东昌湖,dong'chang'hu
东大学,dong'da'xue
冻得慌,dong'de'huang
冻得上,dong'de'shang
东阿,dong'e
东阿阿胶,dong'e'e'jiao
东阿县,dong'e'xian
东阿镇,dong'e'zhen
东方大厦,dong'fang'da'sha
东方肥牛王,dong'fang'fei'niu'wang
东方豪客,dong'fang'hao'ke
东方花园,dong'fang'hua'yuan
东方冷库,dong'fang'leng'ku
东方罗马,dong'fang'luo'ma
东方双语,dong'fang'shuang'yu
东方之韵,dong'fang'zhi'yun
东工商河路,dong'gong'shang'he'lu
东关大街,dong'guan'da'jie
东海龙,dong'hai'long
东环国际,dong'huan'guo'ji
东环国际广场,dong'huan'guo'ji'guang'chang
东环花园,dong'huan'hua'yuan
董家镇,dong'jia'zhen
东郊饭店,dong'jiao'fan'dian
东洛河,dong'luo'he
东泺河路,dong'luo'he'lu
东平湖,dong'ping'hu
东平县,dong'ping'xian
东三里,dong'san'li
东舍坊,dong'she'fang
东图,dong'tu
东外环,dong'wai'huan
东校,dong'xiao
东兴寓城,dong'xing'yu'cheng
东营,dong'ying
东营的,dong'ying'de
东营了,dong'ying'le
东宇花园,dong'yu'hua'yuan
东院,dong'yuan
东院区,dong'yuan'qu
都白搭,dou'bai'da
都不落落,dou'bu'luo'luo
都不孬,dou'bu'nao
都干么,dou'gan'me
都干么来,dou'gan'me'lai
都没大,dou'mei'da
斗母泉,dou'mu'quan
都是济南的,dou'shi'ji'nan'de
都休班,dou'xiu'ban
都在济南,dou'zai'ji'nan
都知不道,dou'zhi'bu'dao
堵的上,du'de'shang
都市女报,du'shi'nv'bao
都市新女报,du'shi'xin'nv'bao
段北,duan'bei
段店,duan'dian
段店镇,duan'dian'zhen
对活,dui'huo
对济南,dui'ji'nan
对起来,dui'qi'lai
多大年龄,duo'da'nian'ling
多但,duo'dan
多禾,duo'he
多喝水了吗,duo'he'shui'le'ma
多口子,duo'kou'zi
多钱来,duo'qian'lai
多少来,duo'shao'lai
多少钱来,duo'shao'qian'lai
垛石,duo'shi
垛石镇,duo'shi'zhen
垛庄,duo'zhuang
阿胶糕,e'jiao'gao
鹅庄,e'zhuang
嗯感慨,en'gan'kai
嗯好来,en'hao'lai
嗯行啊,en'xing'a
二环北路,er'huan'bei'lu
二环东,er'huan'dong
二环东路,er'huan'dong'lu
二环南,er'huan'nan
二环南路,er'huan'nan'lu
二环西,er'huan'xi
二环西路,er'huan'xi'lu
二妮子,er'ni'zi
二七南路,er'qi'nan'lu
二七新村,er'qi'xin'cun
二食,er'shi
二宿舍,er'su'she
二职专,er'zhi'zhuan
二专业,er'zhuan'ye
发房子,fa'fang'zi
法官学院,fa'guan'xue'yuan
发济南,fa'ji'nan
发就行,fa'jiu'xing
发丧,fa'sang
发祥福邸,fa'xiang'fu'di
发祥巷,fa'xiang'xiang
发展大厦,fa'zhan'da'sha
发展分,fa'zhan'fen
烦的上,fan'de'shang
烦气你,fan'qi'ni
烦人吧,fan'ren'ba
房地产网,fang'di'chan'wang
放屁吗,fang'pi'ma
放屁么,fang'pi'me
房探,fang'tan
房途网,fang'tu'wang
放下车,fang'xia'che
放心就行,fang'xin'jiu'xing
放一家,fang'yi'jia
房源信息,fang'yuan'xin'xi
房源易搜,fang'yuan'yi'sou
房主电话,fang'zhu'dian'hua
房主说,fang'zhu'shuo
房子还有,fang'zi'hai'you
肥城,fei'cheng
肥城的,fei'cheng'de
肥城市,fei'cheng'shi
翡翠东郡,fei'cui'dong'jun
翡翠郡,fei'cui'jun
翡翠困,fei'cui'kun
翡翠清河,fei'cui'qing'he
非顶,fei'ding
飞龙飞,fei'long'fei
肥牛王,fei'niu'wang
费斯托,fei'si'tuo
废头,fei'tou
非主流子,fei'zhu'liu'zi
分佣,fen'yong
丰奥,feng'ao
丰奥嘉园,feng'ao'jia'yuan
凤凰军事,feng'huang'jun'shi
凤凰山路,feng'huang'shan'lu
凤凰山庄,feng'huang'shan'zhuang
丰汇,feng'hui
凤鸣路,feng'ming'lu
峰山路,feng'shan'lu
风味楼,feng'wei'lou
风味茄子,feng'wei'qie'zi
凤栖第,feng'xi'di
佛山街,fo'shan'jie
佛山苑,fo'shan'yuan
弗罗曼,fu'luo'man
服气了,fu'qi'le
富群,fu'qun
芙蓉街,fu'rong'jie
福瑞达,fu'rui'da
福润多,fu'run'duo
福润康城,fu'run'kang'cheng
福泰,fu'tai
服务学习,fu'wu'xue'xi
富翔天地,fu'xiang'tian'di
福缘来,fu'yuan'lai
该干么,gai'gan'me
盖好我的小宝贝,gai'hao'wo'de'xiao'bao'bei
改合同,gai'he'tong
盖家,gai'jia
盖家沟,gai'jia'gou
盖佳花园,gai'jia'hua'yuan
干煸芸豆,gan'bian'yun'dou
干的么,gan'de'me
干点么,gan'dian'me
干烦了,gan'fan'le
干兼职,gan'jian'zhi
干买卖,gan'mai'mai
干么啊,gan'me'a
干么的,gan'me'de
干么活,gan'me'huo
干么啦,gan'me'la
干么来,gan'me'lai
干么来啊,gan'me'lai'a
干么来你,gan'me'lai'ni
干么了,gan'me'le
干么咧,gan'me'lie
干么呢,gan'me'ne
干么呢你,gan'me'ne'ni
干么去,gan'me'qu
干么去啊,gan'me'qu'a
干么去来,gan'me'qu'lai
干么去了,gan'me'qu'le
干么使,gan'me'shi
干么用,gan'me'yong
干啥来啊,gan'sha'lai'a
杆石桥,gan'shi'qiao
干熊呢,gan'xiong'ne
干院,gan'yuan
干着点,gan'zhe'dian
干值日,gan'zhi'ri
刚才吃饭来,gang'cai'chi'fan'lai
刚才打电话来,gang'cai'da'dian'hua'lai
钢城区,gang'cheng'qu
钢城新苑,gang'cheng'xin'yuan
刚吃饱了,gang'chi'bao'le
刚到济南,gang'dao'ji'nan
港沟,gang'gou
港沟镇,gang'gou'zhen
港华燃气,gang'hua'ran'qi
刚回济南,gang'hui'ji'nan
港基,gang'ji
刚来济南,gang'lai'ji'nan
港西路,gang'xi'lu
刚洗刷,gang'xi'shua
刚洗刷完,gang'xi'shua'wan
高档社区,gao'dang'she'qu
高第街,gao'di'jie
高而,gao'er
高官寨,gao'guan'zhai
高架路,gao'jia'lu
高墙王,gao'qiang'wang
高青县,gao'qing'xian
高税,gao'shui
高唐,gao'tang
高唐县,gao'tang'xian
搞喜,gao'xi
高新区的,gao'xin'qu'de
高新区了,gao'xin'qu'le
高新银座,gao'xin'yin'zuo
歌唱家,ge'chang'jia
葛家庄,ge'jia'zhuang
割了去,ge'le'qu
隔离衣,ge'li'yi
给济南,gei'ji'nan
给你充上,gei'ni'chong'shang
给你打电话来,gei'ni'da'dian'hua'lai
给你儿,gei'ni'er
给你买好好,gei'ni'mai'hao'hao
给你说来,gei'ni'shuo'lai
给他说一声,gei'ta'shuo'yi'sheng
给我充上,gei'wo'chong'shang
给我打电话来,gei'wo'da'dian'hua'lai
给我啦啦,gei'wo'la'la
给我你电话,gei'wo'ni'dian'hua
给我你手机,gei'wo'ni'shou'ji
给我你手机号,gei'wo'ni'shou'ji'hao
给我说就行,gei'wo'shuo'jiu'xing
给我说来,gei'wo'shuo'lai
给我说一声吧,gei'wo'shuo'yi'sheng'ba
给咱爹,gei'zan'die
跟济南,gen'ji'nan
耿晓峰,geng'xiao'feng
公话卡,gong'hua'ka
公家楼,gong'jia'lou
公交楼,gong'jiao'lou
公交总公司,gong'jiao'zong'gong'si
共青团路,gong'qing'tuan'lu
工人新村,gong'ren'xin'cun
工商河,gong'shang'he
巩晓彬,gong'xiao'bin
工业北,gong'ye'bei
工业北路,gong'ye'bei'lu
工业二路,gong'ye'er'lu
工业南,gong'ye'nan
工业南路,gong'ye'nan'lu
工艺美,gong'yi'mei
工艺美院,gong'yi'mei'yuan
公用事业局,gong'yong'shi'ye'ju
公众网,gong'zhong'wang
工装的,gong'zhuang'de
工装费,gong'zhuang'fei
够级,gou'ji
够级牌,gou'ji'pai
够劲了,gou'jin'le
够你了,gou'ni'le
狗屁孩子,gou'pi'hai'zi
狗死孩子,gou'si'hai'zi
姑爸爸,gu'ba'ba
古贝春,gu'bei'chun
鼓捣的,gu'dao'de
崮山,gu'shan
故乡一面坡,gu'xiang'yi'mian'po
崮云湖,gu'yun'hu
谷庄,gu'zhuang
挂着你,gua'zhe'ni
挂着我,gua'zhe'wo
乖乖晚安,guai'guai'wan'an
管我么事,guan'wo'me'shi
冠县,guan'xian
馆驿街,guan'yi'jie
管用吧,guan'yong'ba
官扎营,guan'zha'ying
冠芝霖,guan'zhi'lin
光出汗,guang'chu'han
光出去,guang'chu'qu
光给他,guang'gei'ta
光给我,guang'gei'wo
光合农场,guang'he'nong'chang
光加班,guang'jia'ban
光咳嗽,guang'ke'sou
光忙活,guang'mang'huo
光忙着,guang'mang'zhe
光欺负我,guang'qi'fu'wo
光让你,guang'rang'ni
广饶,guang'rao
光玩,guang'wan
光玩了,guang'wan'le
光玩手机,guang'wan'shou'ji
光玩游戏,guang'wan'you'xi
光学习,guang'xue'xi
广野,guang'ye
逛银座,guang'yin'zuo
光在家,guang'zai'jia
光在这,guang'zai'zhe
光站着,guang'zhan'zhe
光着腚,guang'zhe'ding
逛着玩,guang'zhe'wan
光这样,guang'zhe'yang
光知道吃,guang'zhi'dao'chi
光知道玩,guang'zhi'dao'wan
光做梦,guang'zuo'meng
光坐着,guang'zuo'zhe
归德,gui'de
归德镇,gui'de'zhen
贵点了,gui'dian'le
贵和,gui'he
贵和商厦,gui'he'shang'sha
国奥城,guo'ao'cheng
锅饼,guo'bing
郭店,guo'dian
郭店镇,guo'dian'zhen
郭芬,guo'fen
国际花都,guo'ji'hua'du
国际会展,guo'ji'hui'zhan
国际会展中心,guo'ji'hui'zhan'zhong'xin
国科,guo'ke
国棉一,guo'mian'yi
国棉一厂,guo'mian'yi'chang
过桥缘,guo'qiao'yuan
国网,guo'wang
国网技术学院,guo'wang'ji'shu'xue'yuan
过阴天,guo'yin'tian
哈德门,ha'de'men
哈哈么,ha'ha'me
哈考特,ha'kao'te
还不孬,hai'bu'nao
还不少来,hai'bu'shao'lai
还不一样吗,hai'bu'yi'yang'ma
海盗坡,hai'dao'po
海德公馆,hai'de'gong'guan
海尔绿城,hai'er'lv'cheng
还来济南,hai'lai'ji'nan
还没洗刷,hai'mei'xi'shua
海那城,hai'na'cheng
还难受吧,hai'nan'shou'ba
还能干么,hai'neng'gan'me
海参鲍鱼,hai'shen'bao'yu
还是济南,hai'shi'ji'nan
还疼吧,hai'teng'ba
还挺好来,hai'ting'hao'lai
还挺好呢,hai'ting'hao'ne
还挺快来,hai'ting'kuai'lai
还挺快呢,hai'ting'kuai'ne
还挺早呢,hai'ting'zao'ne
海蔚,hai'wei
