啊公平,a'gong'ping
成麻,cheng'ma
城南家园,cheng'nan'jia'yuan
城上城,cheng'shang'cheng
城头,cheng'tou
城头人,cheng'tou'ren
澄溪,cheng'xi
城一,cheng'yi
成渝,cheng'yu
成渝高速,cheng'yu'gao'su
吃安逸,chi'an'yi
吃包谷,chi'bao'gu
吃饱了的,chi'bao'le'de
吃饱没得,chi'bao'mei'de
吃不吃嘛,chi'bu'chi'ma
吃不嘛,chi'bu'ma
吃抄手,chi'chao'shou
吃串串,chi'chuan'chuan
吃的撒子,chi'de'sa'zi
吃的啥子,chi'de'sha'zi
吃多老,chi'duo'lao
吃饭不嘛,chi'fan'bu'ma
吃饭老,chi'fan'lao
吃饭了没的,chi'fan'le'mei'de
吃饭了哟,chi'fan'le'yo
吃饭迈,chi'fan'mai
吃饭没的,chi'fan'mei'de
吃饭没的嘛,chi'fan'mei'de'ma
吃饭没嘛,chi'fan'mei'ma
吃饭没有嘛,chi'fan'mei'you'ma
吃饭没有那,chi'fan'mei'you'na
吃饭没有哦,chi'fan'mei'you'o
吃饭怕,chi'fan'pa
吃饭撒,chi'fan'sa
吃饭哟,chi'fan'yo
吃嘎嘎,chi'ga'ga
吃干锅,chi'gan'guo
吃啦饭,chi'la'fan
吃老饭,chi'lao'fan
吃了的,chi'le'de
吃了点点,chi'le'dian'dian
吃了饭的,chi'le'fan'de
吃了饭没得,chi'le'fan'mei'de
吃了饭没有,chi'le'fan'mei'you
吃了回来,chi'le'hui'lai
吃了来,chi'le'lai
吃了没的,chi'le'mei'de
吃了撒,chi'le'sa
吃了药的,chi'le'yao'de
吃了哟,chi'le'yo
吃霉,chi'mei
吃没得,chi'mei'de
吃没得嘛,chi'mei'de'ma
吃霉了,chi'mei'le
吃怕,chi'pa
吃怕是,chi'pa'shi
吃皮,chi'pi
吃起,chi'qi
吃撒子,chi'sa'zi
吃撒子嘛,chi'sa'zi'ma
吃啥子,chi'sha'zi
吃啥子嘛,chi'sha'zi'ma
吃完饭没得,chi'wan'fan'mei'de
吃完老,chi'wan'lao
吃完没得,chi'wan'mei'de
吃咸点,chi'xian'dian
吃小面,chi'xiao'mian
吃药没得,chi'yao'mei'de
吃哟,chi'yo
吃涨了,chi'zhang'le
重百,chong'bai
充不到,chong'bu'dao
冲得到,chong'de'dao
重钢,chong'gang
冲哈,chong'ha
冲好多,chong'hao'duo
重交,chong'jiao
重来过,chong'lai'guo
充起了,chong'qi'le
重庆,chong'qing
重庆啊,chong'qing'a
重庆吧,chong'qing'ba
重庆八中,chong'qing'ba'zhong
重庆百货,chong'qing'bai'huo
重庆办,chong'qing'ban
重庆办事处,chong'qing'ban'shi'chu
重庆北,chong'qing'bei
重庆北碚,chong'qing'bei'bei
重庆北站,chong'qing'bei'zhan
重庆不,chong'qing'bu
重庆晨报,chong'qing'chen'bao
重庆大学,chong'qing'da'xue
重庆大学城,chong'qing'da'xue'cheng
重庆到,chong'qing'dao
重庆的,chong'qing'de
重庆地区,chong'qing'di'qu
重庆地图,chong'qing'di'tu
重庆电视台,chong'qing'dian'shi'tai
重庆电信,chong'qing'dian'xin
重庆分公司,chong'qing'fen'gong'si
重庆分行,chong'qing'fen'hang
重庆涪陵,chong'qing'fu'ling
重庆港,chong'qing'gang
重庆高考,chong'qing'gao'kao
重庆公交,chong'qing'gong'jiao
重庆工商,chong'qing'gong'shang
重庆工商大学,chong'qing'gong'shang'da'xue
重庆公司,chong'qing'gong'si
重庆购物狂,chong'qing'gou'wu'kuang
重庆好,chong'qing'hao
重庆好热,chong'qing'hao're
重庆合川,chong'qing'he'chuan
重庆话,chong'qing'hua
重庆机场,chong'qing'ji'chang
重庆江北,chong'qing'jiang'bei
重庆交大,chong'qing'jiao'da
重庆交通,chong'qing'jiao'tong
重庆交通大学,chong'qing'jiao'tong'da'xue
重庆科技,chong'qing'ke'ji
重庆科技学院,chong'qing'ke'ji'xue'yuan
重庆会计之家,chong'qing'kuai'ji'zhi'jia
重庆啦,chong'qing'la
重庆来,chong'qing'lai
重庆来了,chong'qing'lai'le
重庆了,chong'qing'le
重庆理工,chong'qing'li'gong
重庆理工大学,chong'qing'li'gong'da'xue
重庆联通,chong'qing'lian'tong
重庆吗,chong'qing'ma
重庆美女,chong'qing'mei'nv
重庆没有,chong'qing'mei'you
重庆妹子,chong'qing'mei'zi
重庆那,chong'qing'na
重庆哪里,chong'qing'na'li
重庆呢,chong'qing'ne
重庆哦,chong'qing'o
重庆去,chong'qing'qu
重庆热,chong'qing're
重庆人,chong'qing'ren
重庆人才网,chong'qing'ren'cai'wang
重庆人民,chong'qing'ren'min
重庆日报,chong'qing'ri'bao
重庆撒,chong'qing'sa
重庆三峡学院,chong'qing'san'xia'xue'yuan
重庆沙坪坝,chong'qing'sha'ping'ba
重庆上班,chong'qing'shang'ban
重庆市,chong'qing'shi
重庆市巴南区,chong'qing'shi'ba'nan'qu
重庆时报,chong'qing'shi'bao
重庆市北碚区,chong'qing'shi'bei'bei'qu
重庆师范,chong'qing'shi'fan
重庆师范大学,chong'qing'shi'fan'da'xue
重庆市涪陵区,chong'qing'shi'fu'ling'qu
重庆市江北区,chong'qing'shi'jiang'bei'qu
重庆市江津区,chong'qing'shi'jiang'jin'qu
重庆市九龙坡区,chong'qing'shi'jiu'long'po'qu
重庆市南岸区,chong'qing'shi'nan'an'qu
重庆市区,chong'qing'shi'qu
重庆市沙坪坝区,chong'qing'shi'sha'ping'ba'qu
重庆市万州区,chong'qing'shi'wan'zhou'qu
重庆市委,chong'qing'shi'wei
重庆市渝北区,chong'qing'shi'yu'bei'qu
重庆市渝中区,chong'qing'shi'yu'zhong'qu
重庆耍,chong'qing'shua
重庆台,chong'qing'tai
重庆天地,chong'qing'tian'di
重庆天气,chong'qing'tian'qi
重庆天气预报,chong'qing'tian'qi'yu'bao
重庆图书馆,chong'qing'tu'shu'guan
重庆玩,chong'qing'wan
重庆晚报,chong'qing'wan'bao
重庆万州,chong'qing'wan'zhou
重庆卫视,chong'qing'wei'shi
重庆文理,chong'qing'wen'li
重庆文理学院,chong'qing'wen'li'xue'yuan
重庆呀,chong'qing'ya
重庆也,chong'qing'ye
重庆移动,chong'qing'yi'dong
重庆医科,chong'qing'yi'ke
重庆医科大学,chong'qing'yi'ke'da'xue
重庆一区,chong'qing'yi'qu
重庆一中,chong'qing'yi'zhong
重庆银行,chong'qing'yin'hang
重庆永川,chong'qing'yong'chuan
重庆有,chong'qing'you
重庆邮电,chong'qing'you'dian
重庆邮电大学,chong'qing'you'dian'da'xue
重庆渝北,chong'qing'yu'bei
重庆站,chong'qing'zhan
重庆这边,chong'qing'zhe'bian
重庆主城,chong'qing'zhu'cheng
重师,chong'shi
崇文路,chong'wen'lu
重医,chong'yi
重医附一院,chong'yi'fu'yi'yuan
重邮,chong'you
丑的哭,chou'de'ku
出不到门,chu'bu'dao'men
初二中,chu'er'zhong
厨房制造,chu'fang'zhi'zao
出来不到,chu'lai'bu'dao
出来不到了,chu'lai'bu'dao'le
出来不嘛,chu'lai'bu'ma
出来得,chu'lai'de
出来得到,chu'lai'de'dao
出来得到不,chu'lai'de'dao'bu
出来老,chu'lai'lao
出来没得,chu'lai'mei'de
出来怕,chu'lai'pa
出来撒,chu'lai'sa
出来耍,chu'lai'shua
出来耍不,chu'lai'shua'bu
出来耍哈,chu'lai'shua'ha
出来耍了,chu'lai'shua'le
出来耍嘛,chu'lai'shua'ma
出来耍撒,chu'lai'shua'sa
出来哟,chu'lai'yo
出门老,chu'men'lao
出门没得,chu'men'mei'de
储奇门,chu'qi'men
出切,chu'qie
出切耍,chu'qie'shua
出去不到,chu'qu'bu'dao
出去撒,chu'qu'sa
出去耍,chu'qu'shua
出去耍不,chu'qu'shua'bu
出去耍了,chu'qu'shua'le
出撒子,chu'sa'zi
初三中,chu'san'zhong
出身社会,chu'shen'she'hui
出脱,chu'tuo
出脱了,chu'tuo'le
初一中,chu'yi'zhong
除渣费,chu'zha'fei
穿不得,chuan'bu'de
传不起,chuan'bu'qi
喘喘,chuan'chuan
穿的不,chuan'de'bu
川东,chuan'dong
穿好大,chuan'hao'da
川剧团,chuan'ju'tuan
穿了的,chuan'le'de
川美,chuan'mei
川普,chuan'pu
穿起,chuan'qi
穿起的,chuan'qi'de
穿撒子,chuan'sa'zi
穿啥子,chuan'sha'zi
川外,chuan'wai
川外的,chuan'wai'de
川维,chuan'wei
川西,chuan'xi
川渝,chuan'yu
创模,chuang'mo
吹得神,chui'de'shen
吹电话,chui'dian'hua
吹哈牛,chui'ha'niu
吹夸夸,chui'kua'kua
吹龙门阵,chui'long'men'zhen
吹撒子,chui'sa'zi
吹啥子,chui'sha'zi
锤子锤,chui'zi'chui
锤子得很,chui'zi'de'hen
锤子个,chui'zi'ge
锤子了,chui'zi'le
锤子哟,chui'zi'yo
春森,chun'sen
春森彼岸,chun'sen'bi'an
戳戳的,chuo'chuo'de
戳锅漏,chuo'guo'lou
糍粑,ci'ba
糍粑块,ci'ba'kuai
磁器口,ci'qi'kou
从重庆,cong'chong'qing
从好久,cong'hao'jiu
从来不得,cong'lai'bu'de
从沙坪坝,cong'sha'ping'ba
翠湖路,cui'hu'lu
催子,cui'zi
存不起,cun'bu'qi
村民小组,cun'min'xiao'zu
存起,cun'qi
存起了,cun'qi'le
寸滩,cun'tan
撮箕,cuo'ji
错没得,cuo'mei'de
错哟,cuo'yo
大巴山,da'ba'shan
打白,da'bai
打白沙气,da'bai'sha'qi
打不起字,da'bu'qi'zi
打不燃,da'bu'ran
打成麻,da'cheng'ma
打迟到,da'chi'dao
大重庆,da'chong'qing
打错老,da'cuo'lao
打打望,da'da'wang
打得来,da'de'lai
打得撇,da'de'pie
打得起,da'de'qi
大地名,da'di'ming
打地主,da'di'zhu
打电话嘛,da'dian'hua'ma
打电话没得,da'dian'hua'mei'de
打电话撒,da'dian'hua'sa
大渡口,da'du'kou
大渡口的,da'du'kou'de
大渡口区,da'du'kou'qu
打飞白,da'fei'bai
大风堡,da'feng'bao
大扶梯,da'fu'ti
大概好久,da'gai'hao'jiu
达钢,da'gang
大哥些,da'ge'xie
大公馆,da'gong'guan
打挂机,da'gua'ji
大观,da'guan
打过来嘛,da'guo'lai'ma
大哈儿,da'ha'er
打哈望,da'ha'wang
大河坝,da'he'ba
大很了,da'hen'le
大轰炸,da'hong'zha
打胡乱说,da'hu'luan'shuo
大黄路,da'huang'lu
打挤,da'ji
大江厂,da'jiang'chang
打接,da'jie
打接电话,da'jie'dian'hua
大进,da'jin
打金花,da'jin'hua
大舅娘,da'jiu'niang
大楷,da'kai
打来吃,da'lai'chi
打来吃了,da'lai'chi'le
大浪淘沙,da'lang'tao'sha
大老子,da'lao'zi
打了的,da'le'de
打了电话的,da'le'dian'hua'de
打了来,da'le'lai
打了牌,da'le'pai
大礼堂,da'li'tang
大龙山,da'long'shan
哒嘛,da'ma
大莽,da'mang
打没得,da'mei'de
大木花谷,da'mu'hua'gu
大木乡,da'mu'xiang
大脑壳,da'nao'ke
打你哈,da'ni'ha
打你哟,da'ni'yo
大坪,da'ping
打平伙,da'ping'huo
大坪了,da'ping'le
大坪医院,da'ping'yi'yuan
大坪正街,da'ping'zheng'jie
打铺盖,da'pu'gai
打起,da'qi
打起耍,da'qi'shua
大庆村,da'qing'cun
大融城,da'rong'cheng
打撒子,da'sa'zi
打扫清洁,da'sao'qing'jie
打啥子,da'sha'zi
大山村,da'shan'cun
打湿,da'shi
大石坝,da'shi'ba
大石路,da'shi'lu
打湿完了,da'shi'wan'le
打手冲,da'shou'chong
打算好久,da'suan'hao'jiu
大田湾,da'tian'wan
打痛了,da'tong'le
打娃儿,da'wa'er
打望,da'wang
打望了,da'wang'le
打我撒,da'wo'sa
大溪沟,da'xi'gou
大兴场,da'xing'chang
