阿信屋,a'xin'wu
帝京,di'jing
迪士尼,di'shi'ni
迪士尼乐园,di'shi'ni'le'yuan
迪斯尼,di'si'ni
第一城,di'yi'cheng
低於,di'yu
电邮,dian'you
叮叮车,ding'ding'che
东方日报,dong'fang'ri'bao
东华三院,dong'hua'san'yuan
东荟城,dong'hui'cheng
东铁线,dong'tie'xian
东亚,dong'ya
东亚银行,dong'ya'yin'hang
东涌,dong'yong
东闸,dong'zha
度假屋,du'jia'wu
杜莎,du'sha
杜莎夫人,du'sha'fu'ren
耳筒,er'tong
放榜,fang'bang
放工,fang'gong
房屋署,fang'wu'shu
飞香港,fei'xiang'gang
丰泽,feng'ze
复活节,fu'huo'jie
富泰,fu'tai
福田,fu'tian
福田口岸,fu'tian'kou'an
副学士,fu'xue'shi
咁好啦,gan'hao'la
港澳,gang'ao
港澳码头,gang'ao'ma'tou
港币,gang'bi
港大,gang'da
港岛,gang'dao
刚到酒店,gang'dao'jiu'dian
港府,gang'fu
港科,gang'ke
港科大,gang'ke'da
港女,gang'nv
港漂,gang'piao
港漂圈,gang'piao'quan
港元,gang'yuan
港中文,gang'zhong'wen
高登,gao'deng
跟著我,gen'zhu'wo
更表,geng'biao
功课,gong'ke
公众假期,gong'zhong'jia'qi
工作天,gong'zuo'tian
工作纸,gong'zuo'zhi
购物天堂,gou'wu'tian'tang
孤星泪,gu'xing'lei
关口,guan'kou
观塘,guan'tang
广东道,guang'dong'dao
广东话,guang'dong'hua
光管,guang'guan
广九,guang'jiu
过关啦,guo'guan'la
过海关,guo'hai'guan
国际漫游,guo'ji'man'you
过了关,guo'le'guan
国民教育,guo'min'jiao'yu
过深圳,guo'shen'zhen
过完关,guo'wan'guan
过香港,guo'xiang'gang
哈比人,ha'bi'ren
海滨南岸,hai'bin'nan'an
海港城,hai'gang'cheng
海天堂,hai'tian'tang
海洋公园,hai'yang'gong'yuan
还在香港,hai'zai'xiang'gang
好彩,hao'cai
好方便,hao'fang'bian
好好人,hao'hao'ren
好好味,hao'hao'wei
好灰,hao'hui
合共,he'gong
合夥人,he'huo'ren
荷里活,he'li'huo
合味道,he'wei'dao
何文田,he'wen'tian
黑色暴雨,hei'se'bao'yu
恒生,heng'sheng
恒生银行,heng'sheng'yin'hang
虹番,hong'fan
鸿福堂,hong'fu'tang
红勘,hong'kan
黄大仙,huang'da'xian
黄道益,huang'dao'yi
皇岗,huang'gang
皇岗口岸,huang'gang'kou'an
皇后大道,huang'hou'da'dao
黄埔花园,huang'pu'hua'yuan
皇室堡,huang'shi'bao
回大陆,hui'da'lu
回到酒店,hui'dao'jiu'dian
回覆,hui'fu
回覆你,hui'fu'ni
回港,hui'gang
回港证,hui'gang'zheng
惠康,hui'kang
回内地,hui'nei'di
回香港,hui'xiang'gang
回乡证,hui'xiang'zheng
夥伴,huo'ban
火炭,huo'tan
机场快线,ji'chang'kuai'xian
鸡蛋仔,ji'dan'zai
基督教,ji'du'jiao
鸡骨草,ji'gu'cao
藉口,ji'kou
吉野家,ji'ye'jia
即影即有,ji'ying'ji'you
基於,ji'yu
吉之岛,ji'zhi'dao
嘉湖,jia'hu
尖东,jian'dong
尖咀,jian'ju
健康院,jian'kang'yuan
坚尼地城,jian'ni'di'cheng
尖沙,jian'sha
尖沙咀,jian'sha'zui
将军澳,jiang'jun'ao
交流团,jiao'liu'tuan
叫啥五,jiao'sha'wu
交易广场,jiao'yi'guang'chang
浸会大学,jin'hui'da'xue
金句,jin'ju
金紫荆,jin'zi'jing
九巴,jiu'ba
酒店有,jiu'dian'you
九记,jiu'ji
九记牛腩,jiu'ji'niu'nan
九龙城,jiu'long'cheng
九龙塘,jiu'long'tang
九龙湾,jiu'long'wan
九龙站,jiu'long'zhan
九州港,jiu'zhou'gang
卡莱美,ka'lai'mei
柯士甸,ke'shi'dian
可唔可,ke'wu'ke
坑口,keng'kou
口岸,kou'an
口甜舌滑,kou'tian'she'hua
宽频,kuan'pin
葵涌,kui'yong
蜡像馆,la'xiang'guan
辣蟹,la'xie
来香港,lai'xiang'gang
兰芳园,lan'fang'yuan
兰桂坊,lan'gui'fang
朗豪,lang'hao
朗豪坊,lang'hao'fang
劳工处,lao'gong'chu
老人院,lao'ren'yuan
乐富,le'fu
叻叻,le'le
冷气机,leng'qi'ji
理大,li'da
立法会,li'fa'hui
鲤鱼门,li'yu'men
利苑,li'yuan
李兆基,li'zhao'ji
荔枝角,li'zhi'jiao
连卡佛,lian'ka'fo
联络人,lian'luo'ren
梁振英,liang'zhen'ying
列印,lie'yin
令到,ling'dao
岭南大学,ling'nan'da'xue
令女,ling'nv
流浮山,liu'fu'shan
龙城大药房,long'cheng'da'yao'fang
陆运会,lu'yun'hui
罗湖口岸,luo'hu'kou'an
骆克道,luo'ke'dao
落马洲,luo'ma'zhou
玛丽医院,ma'li'yi'yuan
麦当劳,mai'dang'lao
冇可能,mao'ke'neng
美丽都,mei'li'dou
美心,mei'xin
迷城,mi'cheng
咪得,mi'de
弥敦,mi'dun
米高,mi'gao
庙街,miao'jie
咩呀,mie'ya
明报,ming'bao
名城,ming'cheng
名店,ming'dian
明珠台,ming'zhu'tai
默书,mo'shu
男校,nan'xiao
南丫,nan'ya
南丫岛,nan'ya'dao
男仔,nan'zai
内地,nei'di
内地的,nei'di'de
内地人,nei'di'ren
内地生,nei'di'sheng
你啲,ni'di
你既,ni'ji
你来香港,ni'lai'xiang'gang
你冇,ni'mao
你收工,ni'shou'gong
你香港,ni'xiang'gang
你有冇,ni'you'mao
你在香港,ni'zai'xiang'gang
年班,nian'ban
牛奶公司,niu'nai'gong'si
牛头角,niu'tou'jiao
牛阵,niu'zhen
拍卡,pai'ka
跑马地,pao'ma'di
炮台山,pao'tai'shan
培英,pei'ying
盆菜,pen'cai
苹果日报,ping'guo'ri'bao
仆街,pu'jie
奇华,qi'hua
乾巴爹,qian'ba'die
乾杯,qian'bei
倩碧,qian'bi
乾多,qian'duo
千色,qian'se
千色店,qian'se'dian
浅水湾,qian'shui'wan
乾洗,qian'xi
乾燥,qian'zao
签注,qian'zhu
强积金,qiang'ji'jin
青马大桥,qing'ma'da'qiao
清水湾,qing'shui'wan
青衣,qing'yi
青衣城,qing'yi'cheng
去迪士尼,qu'di'shi'ni
屈机,qu'ji
去旺角,qu'wang'jiao
全港,quan'gang
全日,quan'ri
荃湾,quan'wan
荃湾线,quan'wan'xian
全香港,quan'xiang'gang
荃新天地,quan'xin'tian'di
仁安,ren'an
人山人海,ren'shan'ren'hai
日本城,ri'ben'cheng
日本料理,ri'ben'liao'li
日出康城,ri'chu'kang'cheng
日套餐,ri'tao'can
入境,ru'jing
入境处,ru'jing'chu
入境事务处,ru'jing'shi'wu'chu
入面,ru'mian
入息,ru'xi
赛马会,sai'ma'hui
三眼仔,san'yan'zai
沙巴,sha'ba
沙爹王,sha'die'wang
沙咀,sha'ju
莎莎,sha'sha
沙田,sha'tian
沙田围,sha'tian'wei
山道,shan'dao
山顶缆车,shan'ding'lan'che
善衡,shan'heng
上海街,shang'hai'jie
上水,shang'shui
上堂,shang'tang
筲箕湾,shao'ji'wan
烧味,shao'wei
蛇口,she'kou
深井,shen'jing
神魔之塔,shen'mo'zhi'ta
深水埗,shen'shui'bu
深圳机场,shen'zhen'ji'chang
深圳湾,shen'zhen'wan
圣诞假,sheng'dan'jia
圣公会,sheng'gong'hui
石澳,shi'ao
石川,shi'chuan
是次,shi'ci
施华洛世奇,shi'hua'luo'shi'qi
食家,shi'jia
时间廊,shi'jian'lang
十六番,shi'liu'fan
食肆,shi'si
石塘咀,shi'tang'ju
石硖尾,shi'xia'wei
是香港,shi'xiang'gang
手袋,shou'dai
受访者,shou'fang'zhe
收皮啦,shou'pi'la
收夜,shou'ye
暑课,shu'ke
数码通,shu'ma'tong
书院,shu'yuan
书展,shu'zhan
水货客,shui'huo'ke
水客,shui'ke
水奶,shui'nai
睡著啦,shui'zhu'la
伺服器,si'fu'qi
台北,tai'bei
太古,tai'gu
太古城,tai'gu'cheng
太古广场,tai'gu'guang'chang
太空馆,tai'kong'guan
太平山,tai'ping'shan
太平山顶,tai'ping'shan'ding
太子,tai'zi
谭仔,tan'zai
糖朝,tang'chao
唐楼,tang'lou
淘大,tao'da
讨论室,tao'lun'shi
提摩,ti'mo
添好运,tian'hao'yun
天后,tian'hou
甜品,tian'pin
天书奇谈,tian'shu'qi'tan
天水围,tian'shui'wei
天梯,tian'ti
天文台,tian'wen'tai
天喜丸,tian'xi'wan
天星码头,tian'xing'ma'tou
天星小轮,tian'xing'xiao'lun
调景岭,tiao'jing'ling
通菜街,tong'cai'jie
通粉,tong'fen
通利,tong'li
通利琴行,tong'li'qin'hang
铜锣湾,tong'luo'wan
通识,tong'shi
土瓜湾,tu'gua'wan
屯门,tun'men
玩唔玩,wan'wu'wan
湾仔,wan'zai
碗仔翅,wan'zai'chi
旺角,wang'jiao
旺角东,wang'jiao'dong
维多利亚港,wei'duo'li'ya'gang
维港,wei'gang
未呀,wei'ya
维园,wei'yuan
位元堂,wei'yuan'tang
文汇报,wen'hui'bao
温书,wen'shu
我到深圳,wo'dao'shen'zhen
我到香港,wo'dao'xiang'gang
我到香港了,wo'dao'xiang'gang'le
我都冇,wo'dou'mao
我都知,wo'dou'zhi
我返,wo'fan
我估,wo'gu
我过关,wo'guo'guan
我好中意,wo'hao'zhong'yi
我既,wo'ji
我今次,wo'jin'ci
我来香港,wo'lai'xiang'gang
我冇,wo'mao
我去香港,wo'qu'xiang'gang
我收工,wo'shou'gong
我香港,wo'xiang'gang
我想知,wo'xiang'zhi
我在香港,wo'zai'xiang'gang
我在账号,wo'zai'zhang'hao
我最中意,wo'zui'zhong'yi
五花茶,wu'hua'cha
唔知呀,wu'zhi'ya
洗版,xi'ban
西宝城,xi'bao'cheng
西贡,xi'gong
西九龙,xi'jiu'long
希慎,xi'shen
西史,xi'shi
西湾河,xi'wan'he
喺呀,xi'ya
西洋菜街,xi'yang'cai'jie
洗衣街,xi'yi'jie
先达,xian'da
先达广场,xian'da'guang'chang
现时,xian'shi
香港啊,xiang'gang'a
香港吧,xiang'gang'ba
香港城市大学,xiang'gang'cheng'shi'da'xue
香港大学,xiang'gang'da'xue
香港岛,xiang'gang'dao
香港的,xiang'gang'de
香港地铁,xiang'gang'di'tie
香港港,xiang'gang'gang
香港咯,xiang'gang'ge
香港航空,xiang'gang'hang'kong
香港号,xiang'gang'hao
香港机场,xiang'gang'ji'chang
香港浸会大学,xiang'gang'jin'hui'da'xue
香港卡,xiang'gang'ka
香港科技大学,xiang'gang'ke'ji'da'xue
香港啦,xiang'gang'la
香港了,xiang'gang'le
香港理工大学,xiang'gang'li'gong'da'xue
香港吗,xiang'gang'ma
香港呢,xiang'gang'ne
香港人,xiang'gang'ren
香港天气,xiang'gang'tian'qi
香港天文台,xiang'gang'tian'wen'tai
香港玩,xiang'gang'wan
香港呀,xiang'gang'ya
香港有,xiang'gang'you
香港仔,xiang'gang'zai
香港站,xiang'gang'zhan
香港这边,xiang'gang'zhe'bian
香港中文大学,xiang'gang'zhong'wen'da'xue
想知,xiang'zhi
想著你,xiang'zhu'ni
小巴,xiao'ba
小巴站,xiao'ba'zhan
消防局,xiao'fang'ju
校工,xiao'gong
小食,xiao'shi
小食部,xiao'shi'bu
小息,xiao'xi
新巴,xin'ba
信报,xin'bao
信德中心,xin'de'zhong'xin
新都城,xin'du'cheng
新港城,xin'gang'cheng
新港中心,xin'gang'zhong'xin
信和中心,xin'he'zhong'xin
新鸿基,xin'hong'ji
新界,xin'jie
新蒲岗,xin'pu'gang
新移民,xin'yi'min
星光,xing'guang
星光大道,xing'guang'da'dao
行山,xing'shan
修读,xiu'du
秀茂坪,xiu'mao'ping
选科,xuan'ke
雪糕车,xue'gao'che
雪花秀,xue'hua'xiu
学生机,xue'sheng'ji
学系,xue'xi
呀爸,ya'ba
呀哥,ya'ge
鸭寮街,ya'liao'jie
呀嘛,ya'ma
雅施,ya'shi
雅思,ya'si
眼残,yan'can
曳曳,ye'ye
意粉,yi'fen
意粉屋,yi'fen'wu
一夥,yi'huo
义顺,yi'shun
一田,yi'tian
印像,yin'xiang
英皇道,ying'huang'dao
影印,ying'yin
用家,yong'jia
永久居民,yong'jiu'ju'min
用於,yong'yu
油尖旺,you'jian'wang
油麻地,you'ma'di
有冇人,you'mao'ren
又一城,you'yi'cheng
由於,you'yu
优之良品,you'zhi'liang'pin
愉景湾,yu'jing'wan
余仁生,yu'ren'sheng
於是,yu'shi
圆方,yuan'fang
元朗,yuan'lang
阅读报告,yue'du'bao'gao
月结单,yue'jie'dan
月台,yue'tai
粤语课,yue'yu'ke
在大陆,zai'da'lu
在港,zai'gang
在过关,zai'guo'guan
在机场了,zai'ji'chang'le
在尖沙咀,zai'jian'sha'zui
在内地,zai'nei'di
在沙田,zai'sha'tian
在旺角,zai'wang'jiao
在香港,zai'xiang'gang
在香港了,zai'xiang'gang'le
在於,zai'yu
在账号,zai'zhang'hao
在中环,zai'zhong'huan
讃好,zan'hao
站著,zhan'zhu
粘著,zhan'zhu
兆康,zhao'kang
珍妮曲奇,zhen'ni'qu'qi
置地广场,zhi'di'guang'chang
指著,zhi'zhu
中伏,zhong'fu
中港城,zhong'gang'cheng
中港通,zhong'gang'tong
中国旅行社,zhong'guo'lv'xing'she
中环,zhong'huan
中联办,zhong'lian'ban
中旅社,zhong'lv'she
中史,zhong'shi
中文大学,zhong'wen'da'xue
中文书,zhong'wen'shu
中西区,zhong'xi'qu
钟意,zhong'yi
中英,zhong'ying
周大福,zhou'da'fu
周生生,zhou'sheng'sheng
朱古力,zhu'gu'li
著火,zhu'huo
专门店,zhuan'men'dian
专页,zhuan'ye
庄员,zhuang'yuan
卓悦,zhuo'yue
自修室,zi'xiu'shi
组爸,zu'ba
组聚,zu'ju
钻石山,zuan'shi'shan
最平,zui'ping
坐巴士,zuo'ba'shi
佐丹奴,zuo'dan'nu
左敦,zuo'dun
做咩事,zuo'mie'shi
做咩呀,zuo'mie'ya
