阿而胜之,a'er'sheng'zhi
百官无奸邪,bai'guan'wu'jian'xie
百官有常,bai'guan'you'chang
百官有司无所复,bai'guan'you'si'wu'suo'fu
百官之奉法无奸者,bai'guan'zhi'feng'fa'wu'jian'zhe
败胡貉,bai'hu'hao
白茎白秀,bai'jing'bai'xiu
白茎黑秀,bai'jing'hei'xiu
白茎青秀以蔓,bai'jing'qing'xiu'yi'man
百利不得,bai'li'bu'de
百吏皆失其端,bai'li'jie'shi'qi'duan
百里徯,bai'li'xi
百吏奚不喜之有,bai'li'xi'bu'xi'zhi'you
百吏严断,bai'li'yan'duan
百吏在朝,bai'li'zai'chao
百里之情通矣,bai'li'zhi'qing'tong'yi
白露下,bai'lu'xia
百虑其家,bai'lv'qi'jia
百亩不举,bai'mu'bu'ju
百亩之夫,bai'mu'zhi'fu
百匿伤上威,bai'ni'shang'shang'wei
百日餔,bai'ri'bu
百日不秇稷,bai'ri'bu'yi'ji
百三十三尺而至于泉,bai'san'shi'san'chi'er'zhi'yu'quan
百乘一宿之尽也,bai'sheng'yi'xiu'zhi'jin'ye
百事尽止,bai'shi'jin'zhi
百事治,bai'shi'zhi
败事之谋也,bai'shi'zhi'mou'ye
百四十尺而至于泉,bai'si'shi'chi'er'zhi'yu'quan
百岁伤神,bai'sui'shang'shen
百岁之后,bai'sui'zhi'hou
白徒三十人奉车两,bai'tu'san'shi'ren'feng'che'liang
百五尺而至于泉,bai'wu'chi'er'zhi'yu'quan
百物乃收,bai'wu'nai'shou
白心第三十八,bai'xin'di'san'shi'ba
百姓罢乏,bai'xing'ba'fa
百姓病,bai'xing'bing
百姓不安其居,bai'xing'bu'an'qi'ju
百姓不信其吏,bai'xing'bu'xin'qi'li
百姓不养,bai'xing'bu'yang
百姓不夭厉,bai'xing'bu'yao'li
百姓不用,bai'xing'bu'yong
百姓弗为使,bai'xing'fu'wei'shi
百姓化于下,bai'xing'hua'yu'xia
百姓辑睦听令道法以从其事,bai'xing'ji'mu'ting'ling'dao'fa'yi'cong'qi'shi
百姓疾怨,bai'xing'ji'yuan
百姓劳而不患也,bai'xing'lao'er'bu'huan'ye
百姓迷惑,bai'xing'mi'huo
百姓乃寿,bai'xing'nai'shou
百姓亲,bai'xing'qin
百姓群徒不从,bai'xing'qun'tu'bu'cong
百姓舍己以上为心者,bai'xing'she'ji'yi'shang'wei'xin'zhe
百姓谁敢敖,bai'xing'shui'gan'ao
百姓顺上而成俗,bai'xing'shun'shang'er'cheng'su
百姓所县命也,bai'xing'suo'xian'ming'ye
百姓无宝,bai'xing'wu'bao
百姓无圉敌之心,bai'xing'wu'yu'di'zhi'xin
百姓殷众,bai'xing'yin'zhong
百姓寓焉,bai'xing'yu'yan
百姓臧布帛,bai'xing'zang'bu'bo
百姓治,bai'xing'zhi
百姓之不田,bai'xing'zhi'bu'tian
百姓之恶人之有余忌也,bai'xing'zhi'e'ren'zhi'you'yu'ji'ye
百姓之力也,bai'xing'zhi'li'ye
百姓之所利也,bai'xing'zhi'suo'li'ye
百姓之争用,bai'xing'zhi'zheng'yong
百姓知主之从事于法也,bai'xing'zhi'zhu'zhi'cong'shi'yu'fa'ye
百姓自聚,bai'xing'zi'ju
百一十二尺而至于泉,bai'yi'shi'er'chi'er'zhi'yu'quan
百一十九尺而至于泉,bai'yi'shi'jiu'chi'er'zhi'yu'quan
败曰千金,bai'yue'qian'jin
百战百胜,bai'zhan'bai'sheng
白芷,bai'zhi
版法第七,ban'fa'di'qi
版法解第六十六,ban'fa'jie'di'liu'shi'liu
版法者,ban'fa'zhe
班禄赐予,ban'lu'ci'yu
半星,ban'xing
暴傲生怨,bao'ao'sheng'yuan
宝币奚为,bao'bi'xi'wei
宝不独见,bao'bu'du'jian
宝不独入,bao'bu'du'ru
饱不疾动,bao'bu'ji'dong
饱而不废,bao'er'bu'fei
宝法也,bao'fa'ye
暴工残之,bao'gong'can'zhi
保贵宠矜,bao'gui'chong'jin
暴慢之人,bao'man'zhi'ren
暴虐积则亡,bao'nue'ji'ze'wang
暴其发肤,bao'qi'fa'fu
暴人不胜,bao'ren'bu'sheng
鲍叔,bao'shu
抱蜀不言,bao'shu'bu'yan
抱蜀不言而庙堂既修,bao'shu'bu'yan'er'miao'tang'ji'xiu
鲍叔辞,bao'shu'ci
鲍叔辞曰,bao'shu'ci'yue
鲍叔对曰,bao'shu'dui'yue
鲍叔祓而浴之三,bao'shu'fu'er'yu'zhi'san
鲍叔进曰,bao'shu'jin'yue
鲍叔君子也,bao'shu'jun'zi'ye
鲍叔令车二十乘先,bao'shu'ling'che'er'shi'cheng'xian
鲍叔履其足曰,bao'shu'lv'qi'zu'yue
鲍叔乃告公其故图,bao'shu'nai'gao'gong'qi'gu'tu
鲍叔乃告小白曰,bao'shu'nai'gao'xiao'bai'yue
鲍叔乃誓曰,bao'shu'nai'shi'yue
鲍叔乃为前驱,bao'shu'nai'wei'qian'qu
鲍叔受而哭之,bao'shu'shou'er'ku'zhi
鲍叔谓管仲曰,bao'shu'wei'guan'zhong'yue
鲍叔相公子小白先入得国,bao'shu'xiang'gong'zi'xiao'bai'xian'ru'de'guo
鲍叔许诺,bao'shu'xu'nuo
鲍叔牙,bao'shu'ya
鲍叔牙奉杯而起曰,bao'shu'ya'feng'bei'er'qi'yue
鲍叔牙奉公子小白奔莒,bao'shu'ya'feng'gong'zi'xiao'bai'ben'ju
鲍叔牙之为人也好直,bao'shu'ya'zhi'wei'ren'ye'hao'zhi
鲍叔因此以作难,bao'shu'yin'ci'yi'zuo'nan
鲍叔御小白乘而出于莒,bao'shu'yu'xiao'bai'cheng'er'chu'yu'ju
鲍叔曰,bao'shu'yue
鲍叔至,bao'shu'zhi
鲍叔之为人何如,bao'shu'zhi'wei'ren'he'ru
鲍叔之为人也好直,bao'shu'zhi'wei'ren'ye'hao'zhi
鲍叔知无后事,bao'shu'zhi'wu'hou'shi
鲍叔之知,bao'shu'zhi'zhi
暴王之恶天下,bao'wang'zhi'e'tian'xia
暴王之所以失国家,bao'wang'zhi'suo'yi'shi'guo'jia
宝也,bao'ye
暴遇诸父,bao'yu'zhu'fu
饱则疾动,bao'ze'ji'dong
葆泽以处,bao'ze'yi'chu
报之以德,bao'zhi'yi'de
暴主迷君,bao'zhu'mi'jun
卑不可得,bei'bu'ke'de
备长存乎任贤,bei'chang'cun'hu'ren'xian
备存不攻,bei'cun'bu'gong
倍大臣,bei'da'chen
倍道兼行,bei'dao'jian'xing
倍道弃法,bei'dao'qi'fa
北狄,bei'di
卑而不威,bei'er'bu'wei
北伐狄,bei'fa'di
倍法而治,bei'fa'er'zhi
北伐孤竹,bei'fa'gu'zhu
北伐山戎,bei'fa'shan'rong
北方本图,bei'fang'ben'tu
北方副图,bei'fang'fu'tu
北方曰月,bei'fang'yue'yue
北郭有狗啀啀,bei'guo'you'gou'ai'ai
被及四固,bei'ji'si'gu
卑贱,bei'jian
卑贱不待尊贵而见,bei'jian'bu'dai'zun'gui'er'jian
卑贱畏敬,bei'jian'wei'jing
备具无常,bei'ju'wu'chang
备利而偷得,bei'li'er'tou'de
北里之禾,bei'li'zhi'he
倍屏而立,bei'ping'er'li
倍其公法,bei'qi'gong'fa
倍其官,bei'qi'guan
卑其爵位,bei'qi'jue'wei
卑其列,bei'qi'lie
备器械,bei'qi'xie
备其械器用,bei'qi'xie'qi'yong
倍人伦而禽兽行,bei'ren'lun'er'qin'shou'xing
卑人也,bei'ren'ye
卑身杂处隐行辟倚,bei'shen'za'chu'yin'xing'pi'yi
卑圣侮士,bei'sheng'wu'shi
被蓑以当铠鑐,bei'suo'yi'dang'kai'ru
被五色而游,bei'wu'se'er'you
卑也,bei'ye
备也,bei'ye
悖也,bei'ye
卑也者,bei'ye'zhe
卑者尊之充也,bei'zhe'zun'zhi'chong'ye
被治然后正,bei'zhi'ran'hou'zheng
北至于孤竹,bei'zhi'yu'gu'zhu
北至于海,bei'zhi'yu'hai
卑之余骄,bei'zhi'yu'jiao
北州侯莫来,bei'zhou'hou'mo'lai
北州侯莫至,bei'zhou'hou'mo'zhi
卑尊之交四,bei'zun'zhi'jiao'si
本兵之极也,ben'bing'zhi'ji'ye
本定独威,ben'ding'du'wei
本乎无妄之治,ben'hu'wu'wang'zhi'zhi
本理则国固,ben'li'ze'guo'gu
本乱则国危,ben'luan'ze'guo'wei
奔马之委辔,ben'ma'zhi'wei'pei
本莫要于令,ben'mo'yao'yu'ling
本其所生,ben'qi'suo'sheng
本善而末事起,ben'shan'er'mo'shi'qi
本事,ben'shi
本事不得立,ben'shi'bu'de'li
本于父,ben'yu'fu
本之殆也,ben'zhi'dai'ye
本治乱之所生,ben'zhi'luan'zhi'suo'sheng
本资少而末用多者,ben'zi'shao'er'mo'yong'duo'zhe
奔走而奉其败事,ben'zou'er'feng'qi'bai'shi
必彼是邪,bi'bi'shi'xie
必辨于天地之道,bi'bian'yu'tian'di'zhi'dao
必不杀也,bi'bu'sha'ye
必不胜也,bi'bu'sheng'ye
必不受也,bi'bu'shou'ye
必不为后矣,bi'bu'wei'hou'yi
必不吾予也,bi'bu'wu'yu'ye
必参于天地也,bi'can'yu'tian'di'ye
必参之于天地矣,bi'can'zhi'yu'tian'di'yi
必承其弊,bi'cheng'qi'bi
必从是儡亡乎,bi'cong'shi'lei'wang'hu
必待兵之胜也,bi'dai'bing'zhi'sheng'ye
必待近者之胜也,bi'dai'jin'zhe'zhi'sheng'ye
必待令之行也,bi'dai'ling'zhi'xing'ye
必待民之用也,bi'dai'min'zhi'yong'ye
必待万民之为用也,bi'dai'wan'min'zhi'wei'yong'ye
比党者诛,bi'dang'zhe'zhu
彼道不离,bi'dao'bu'li
彼道不远,bi'dao'bu'yuan
必道其道,bi'dao'qi'dao
彼道之情,bi'dao'zhi'qing
彼道自来,bi'dao'zi'lai
必得文威武官习,bi'de'wen'wei'wu'guan'xi
必得之事,bi'de'zhi'shi
必法立而令行也,bi'fa'li'er'ling'xing'ye
必反其性,bi'fan'qi'xing
必放之身然后行,bi'fang'zhi'shen'ran'hou'xing
必服道德而勿厌也,bi'fu'dao'de'er'wu'yan'ye
必负以耻,bi'fu'yi'chi
蔽盖者众,bi'gai'zhe'zhong
必观其所终,bi'guan'qi'suo'zhong
比官中之事,bi'guan'zhong'zhi'shi
必国富而粟多也,bi'guo'fu'er'su'duo'ye
必还山集谷,bi'hai'shan'ji'gu
闭祸在除怨,bi'huo'zai'chu'yuan
闭祸在除怨也,bi'huo'zai'chu'yuan'ye
闭货之门也,bi'huo'zhi'men'ye
彼积劳之臣,bi'ji'lao'zhi'chen
必计其所穷,bi'ji'qi'suo'qiong
必坚必固,bi'jian'bi'gu
必将勤管仲以劳其君愿,bi'jiang'qin'guan'zhong'yi'lao'qi'jun'yuan
必将杀之,bi'jiang'sha'zhi
必将致鲁之政,bi'jiang'zhi'lu'zhi'zheng
彼将自至,bi'jiang'zi'zhi
必交来,bi'jiao'lai
彼矜者,bi'jin'zhe
必就有德,bi'jiu'you'de
必宽必舒,bi'kuan'bi'shu
比耒耜谷芨,bi'lei'si'gu'ji
薜荔,bi'li
必立于胜地,bi'li'yu'sheng'di
必令忽相齐之右,bi'ling'hu'xiang'qi'zhi'you
蔽美扬恶,bi'mei'yang'e
必免子,bi'mian'zi
彼民不服法死制,bi'min'bu'fu'fa'si'zhi
彼民不足以守者,bi'min'bu'zu'yi'shou'zhe
彼民非谷不食,bi'min'fei'gu'bu'shi
必民乐其政也,bi'min'yue'qi'zheng'ye
必明经纪,bi'ming'jing'ji
必明其将,bi'ming'qi'jiang
必明其士,bi'ming'qi'shi
必明其一,bi'ming'qi'yi
必明其政,bi'ming'qi'zheng
必内自贼,bi'nei'zi'zei
必诺之言,bi'nuo'zhi'yan
必其将亡之道,bi'qi'jiang'wang'zhi'dao
闭其门,bi'qi'men
蔽欺侵凌,bi'qi'qin'ling
必齐也,bi'qi'ye
蔽欺之患,bi'qi'zhi'huan
比其自及也,bi'qi'zi'ji'ye
必且危之,bi'qie'wei'zhi
彼求地而予之,bi'qiu'di'er'yu'zhi
比若是者,bi'ruo'shi'zhe
蔽塞障逆之君者,bi'se'zhang'ni'zhi'jun'zhe
必杀之,bi'sha'zhi
彼善为国者,bi'shan'wei'guo'zhe
必赏而不迁者,bi'shang'er'bu'qian'zhe
必少有乐焉,bi'shao'you'le'yan
必设常主,bi'she'chang'zhu
必生于主,bi'sheng'yu'zhu
必使反乎安其位,bi'shi'fan'hu'an'qi'wei
必使有耻,bi'shi'you'chi
彼时有春秋,bi'shi'you'chun'qiu
必使有害,bi'shi'you'hai
避世之道,bi'shi'zhi'dao
必受其灾,bi'shou'qi'zai
比顺以敬,bi'shun'yi'jing
必顺于礼义,bi'shun'yu'li'yi
比岁荒,bi'sui'huang
比岁饥,bi'sui'ji
比岁歉,bi'sui'qian
必图国家,bi'tu'guo'jia
彼王者不夺民时,bi'wang'zhe'bu'duo'min'shi
彼为其君动也,bi'wei'qi'jun'dong'ye
必为天下致利除害也,bi'wei'tian'xia'zhi'li'chu'hai'ye
必为之囊,bi'wei'zhi'nang
彼下有立其私议自贵,bi'xia'you'li'qi'si'yi'zi'gui
薜下于萑,bi'xia'yu'huan
必先布德诸侯,bi'xian'bu'de'zhu'hou
必先菜羹,bi'xian'cai'geng
必先除其五害,bi'xian'chu'qi'wu'hai
必先定谋虑,bi'xian'ding'mou'lv
必先富民,bi'xian'fu'min
必先观国政,bi'xian'guan'guo'zheng
必先禁末作文巧,bi'xian'jin'mo'zuo'wen'qiao
必先令之失,bi'xian'ling'zhi'shi
必先论其器,bi'xian'lun'qi'qi
必先明之,bi'xian'ming'zhi
必先顺教,bi'xian'shun'jiao
必先于田宅,bi'xian'yu'tian'zhai
必先战而后攻,bi'xian'zhan'er'hou'gong
必先争谋,bi'xian'zheng'mou
必先争人,bi'xian'zheng'ren
比校民之有道者,bi'xiao'min'zhi'you'dao'zhe
彼心之情,bi'xin'zhi'qing
彼心之心,bi'xin'zhi'xin
彼幸而不得,bi'xing'er'bu'de
彼幸而得之,bi'xing'er'de'zhi
必修其理,bi'xiu'qi'li
必严其令,bi'yan'qi'ling
彼也,bi'ye
敝也,bi'ye
比也,bi'ye
彼野悉辟而民无积者,bi'ye'xi'pi'er'min'wu'ji'zhe
獘也者,bi'ye'zhe
必以反命,bi'yi'fan'ming
弊邑寡君愿生得之,bi'yi'gua'jun'yuan'sheng'de'zhi
彼以教士,bi'yi'jiao'shi
彼以良将,bi'yi'liang'jiang
必以彭生为说,bi'yi'peng'sheng'wei'shuo
必以平正,bi'yi'ping'zheng
必一其端,bi'yi'qi'duan
必以其欢,bi'yi'qi'huan
必以善终者也,bi'yi'shan'zhong'zhe'ye
必以时,bi'yi'shi
必以喜乐哀怒,bi'yi'xi'le'ai'nu
必以喜怒忧患,bi'yi'xi'nu'you'huan
必以忧乐喜怒欲利,bi'yi'you'le'xi'nu'yu'li
必以正平,bi'yi'zheng'ping
必因成形而论于人,bi'yin'cheng'xing'er'lun'yu'ren
必因天地之道,bi'yin'tian'di'zhi'dao
必用媒,bi'yong'mei
必用圣人,bi'yong'sheng'ren
必由奥始,bi'you'ao'shi
必有不可识虑之,bi'you'bu'ke'shi'lv'zhi
必由长始,bi'you'chang'shi
必由此始,bi'you'ci'shi
必有大殃,bi'you'da'yang
必有和之,bi'you'he'zhi
必有见功而后举之,bi'you'jian'gong'er'hou'ju'zhi
必有见过而后废之,bi'you'jian'guo'er'hou'fei'zhi
必有巨获,bi'you'ju'huo
必有可知之理,bi'you'ke'zhi'zhi'li
必有利也,bi'you'li'ye
必有内忧,bi'you'nei'you
必有外患,bi'you'wai'huan
必有万世之实,bi'you'wan'shi'zhi'shi
必有邪,bi'you'xie
必有以也,bi'you'yi'ye
必有战胜之器,bi'you'zhan'sheng'zhi'qi
必由中央之人,bi'you'zhong'yang'zhi'ren
必于不倾之地,bi'yu'bu'qing'zhi'di
必欲得其所好,bi'yu'de'qi'suo'hao
必于广川之上,bi'yu'guang'chuan'zhi'shang
彼欲贵,bi'yu'gui
彼欲利,bi'yu'li
彼欲勇,bi'yu'yong
彼欲知,bi'yu'zhi
闭则类,bi'ze'lei
彼政我将安移之,bi'zheng'wo'jiang'an'yi'zhi
必知富之事,bi'zhi'fu'zhi'shi
必知其疾,bi'zhi'qi'ji
彼知其将反于齐,bi'zhi'qi'jiang'fan'yu'qi
彼知其将反于齐也,bi'zhi'qi'jiang'fan'yu'qi'ye
必知强之数,bi'zhi'qiang'zhi'shu
必知胜之理,bi'zhi'sheng'zhi'li
彼知吾将用之,bi'zhi'wu'jiang'yong'zhi
比之于山,bi'zhi'yu'shan
比之于泽,bi'zhi'yu'ze
币之在子者以为谷而廪之州里,bi'zhi'zai'zi'zhe'yi'wei'gu'er'lin'zhi'zhou'li
彼智者知吾情伪,bi'zhi'zhe'zhi'wu'qing'wei
必知制之分,bi'zhi'zhi'zhi'fen
必重尽其民力,bi'zhong'jin'qi'min'li
必重用其国,bi'zhong'yong'qi'guo
必重用其民,bi'zhong'yong'qi'min
必周必密,bi'zhou'bi'mi
比周以相为慝,bi'zhou'yi'xiang'wei'te
必周于德,bi'zhou'yu'de
比周之人,bi'zhou'zhi'ren
必主与大臣之德行得于身也,bi'zhu'yu'da'chen'zhi'de'xing'de'yu'shen'ye
必主与大臣之德行失于身也,bi'zhu'yu'da'chen'zhi'de'xing'shi'yu'shen'ye
必诛者也,bi'zhu'zhe'ye
比缀以书,bi'zhui'yi'shu
必自此始矣,bi'zi'ci'shi'yi
必自身始,bi'zi'shen'shi
婢子曰,bi'zi'yue
必足三年之食,bi'zu'san'nian'zhi'shi
变不易智,bian'bu'yi'zhi
辨辞之刚柔,bian'ci'zhi'gang'rou
便地形,bian'di'xing
遍而有者,bian'er'you'zhe
变而足以成名,bian'er'zu'yi'cheng'ming
变更自为,bian'geng'zi'wei
辨功苦,bian'gong'ku
变故易常,bian'gu'yi'chang
便关市,bian'guan'shi
变化无日,bian'hua'wu'ri
变化则为生,bian'hua'ze'wei'sheng
边竟安,bian'jing'an
边竟之士修,bian'jing'zhi'shi'xiu
辩明礼义,bian'ming'li'yi
便辟,bian'pi
便僻不能食其意,bian'pi'bu'neng'shi'qi'yi
便辟得进,bian'pi'de'jin
便辟左右,bian'pi'zuo'you
遍其发挥,bian'qi'fa'hui
辨其功苦,bian'qi'gong'ku
变其美者应其时,bian'qi'mei'zhe'ying'qi'shi
便其势,bian'qi'shi
辩其顺逆,bian'qi'shun'ni
变俗易教,bian'su'yi'jiao
变无不至,bian'wu'bu'zhi
边信伤德,bian'xin'shang'de
便形躯,bian'xing'qu
辩以辩辞,bian'yi'bian'ci
变易风俗,bian'yi'feng'su
变易国常,bian'yi'guo'chang
辨于地利,bian'yu'di'li
辨于黄金之理,bian'yu'huang'jin'zhi'li
鞭之见血,bian'zhi'jian'xue
遍知天下,bian'zhi'tian'xia
表里遂通,biao'li'sui'tong
标然若秋云之远,biao'ran'ruo'qiu'yun'zhi'yuan
别苗莠,bie'miao'you
别男女,bie'nan'nv
别男女大小,bie'nan'nv'da'xiao
别疏数之差,bie'shu'shu'zhi'cha
宾事左右,bin'shi'zuo'you
宾属四海,bin'shu'si'hai
宾胥无,bin'xu'wu
宾胥无对曰,bin'xu'wu'dui'yue
宾胥无坚强以良,bin'xu'wu'jian'qiang'yi'liang
宾胥无谏曰,bin'xu'wu'jian'yue
宾胥无趋而进,bin'xu'wu'qu'er'jin
宾胥无为西土,bin'xu'wu'wei'xi'tu
宾胥无之为人也好善,bin'xu'wu'zhi'wei'ren'ye'hao'shan
兵必胜敌国矣,bing'bi'sheng'di'guo'yi
兵不必胜敌国,bing'bu'bi'sheng'di'guo
兵不废,bing'bu'fei
兵不呼儆,bing'bu'hu'jing
兵不解翳,bing'bu'jie'yi
兵不可以无主,bing'bu'ke'yi'wu'zhu
兵不强,bing'bu'qiang
兵不完利,bing'bu'wan'li
兵不信,bing'bu'xin
兵不虚胜,bing'bu'xu'sheng
兵不义不可,bing'bu'yi'bu'ke
兵车,bing'che
兵车之会六,bing'che'zhi'hui'liu
兵车之会三,bing'che'zhi'hui'san
柄尺不跪,bing'chi'bu'gui
并处而难得,bing'chu'er'nan'de
兵挫而地削,bing'cuo'er'di'xue
兵当废而不废,bing'dang'fei'er'bu'fei
兵法第十七,bing'fa'di'shi'qi
兵革不足,bing'ge'bu'zu
并歌舞之乐,bing'ge'wu'zhi'le
并歌舞之乐矣,bing'ge'wu'zhi'le'yi
兵甲彊力,bing'jia'jiang'li
兵甲之色也,bing'jia'zhi'se'ye
兵困于外,bing'kun'yu'wai
兵乱内作,bing'luan'nei'zuo
兵强而无义者,bing'qiang'er'wu'yi'zhe
兵强者战胜,bing'qiang'zhe'zhan'sheng
兵刃不用矣,bing'ren'bu'yong'yi
兵弱而士不厉,bing'ruo'er'shi'bu'li
兵尚戟,bing'shang'ji
兵尚剑,bing'shang'jian
兵尚矛,bing'shang'mao
兵尚胁盾,bing'shang'xie'dun
兵士不用,bing'shi'bu'yong
秉时养人,bing'shi'yang'ren
兵士之死节,bing'shi'zhi'si'jie
兵虽强,bing'sui'qiang
并通而不相陵,bing'tong'er'bu'xiang'ling
兵威而不止,bing'wei'er'bu'zhi
兵无主,bing'wu'zhu
并行以定甲士,bing'xing'yi'ding'jia'shi
兵有与分争,bing'you'yu'fen'zheng
兵远而畏,bing'yuan'er'wei
兵战胜之,bing'zhan'sheng'zhi
兵之出,bing'zhi'chu
兵之胜,bing'zhi'sheng
兵之守在人,bing'zhi'shou'zai'ren
兵主不足畏,bing'zhu'bu'zu'wei
兵主之事也,bing'zhu'zhi'shi'ye
薄百爵,bo'bai'jue
薄承瀷不满,bo'cheng'yi'bu'man
博出入,bo'chu'ru
薄德之君之府囊也,bo'de'zhi'jun'zhi'fu'nang'ye
博地多财,bo'di'duo'cai
博而不惛,bo'er'bu'hun
博而不失,bo'er'bu'shi
博分以致众,bo'fen'yi'zhi'zhong
薄赋敛,bo'fu'lian
薄乎其方也,bo'hu'qi'fang'ye
博民于生谷也,bo'min'yu'sheng'gu'ye
跛辟,bo'pi
搏气如神,bo'qi'ru'shen
駮食虎豹,bo'shi'hu'bao
薄税敛,bo'shui'lian
博学而不自反,bo'xue'er'bu'zi'fan
博夜也,bo'ye'ye
博一纯固,bo'yi'chun'gu
博于粮,bo'yu'liang
薄征敛,bo'zheng'lian
不爱则不亲,bu'ai'ze'bu'qin
不傲下,bu'ao'xia
不傲则不失,bu'ao'ze'bu'shi
不谤其君,bu'bang'qi'jun
不备待而得和,bu'bei'dai'er'de'he
不悖于理义,bu'bei'yu'li'yi
不蔽恶,bu'bi'e
不避贵贱美恶,bu'bi'gui'jian'mei'e
补弊久,bu'bi'jiu
不必为沮,bu'bi'wei'ju
不避小大强弱,bu'bi'xiao'da'qiang'ruo
不必信,bu'bi'xin
不必以先帝,bu'bi'yi'xian'di
不必正直,bu'bi'zheng'zhi
不必诛者也,bu'bi'zhu'zhe'ye
不变则无过,bu'bian'ze'wu'guo
不宾事左右,bu'bin'shi'zuo'you
布帛不足,bu'bo'bu'zu
