阿苯边唑,a'ben'bian'zuo
传染病报告,chuan'ran'bing'bao'gao
传染病报告本,chuan'ran'bing'bao'gao'ben
传染病报告表,chuan'ran'bing'bao'gao'biao
传染病报告卡,chuan'ran'bing'bao'gao'ka
传染病床,chuan'ran'bing'chuang
传染病登记,chuan'ran'bing'deng'ji
传染病登记本,chuan'ran'bing'deng'ji'ben
传染病登记表,chuan'ran'bing'deng'ji'biao
传染病登记簿,chuan'ran'bing'deng'ji'bu
传染病登记册,chuan'ran'bing'deng'ji'ce
传染病发病率,chuan'ran'bing'fa'bing'lv
传染病防治,chuan'ran'bing'fang'zhi
传染病防治法,chuan'ran'bing'fang'zhi'fa
传染病管理,chuan'ran'bing'guan'li
传染病监督,chuan'ran'bing'jian'du
传染病控制,chuan'ran'bing'kong'zhi
传染病漏报,chuan'ran'bing'lou'bao
传染病漏报调查,chuan'ran'bing'lou'bao'diao'cha
传染病漏报率,chuan'ran'bing'lou'bao'lv
传染病人,chuan'ran'bing'ren
传染病死亡率,chuan'ran'bing'si'wang'lv
传染病疫情,chuan'ran'bing'yi'qing
传染病疫情报告,chuan'ran'bing'yi'qing'bao'gao
传染病医院,chuan'ran'bing'yi'yuan
传染病预防,chuan'ran'bing'yu'fang
传染病院,chuan'ran'bing'yuan
传染病治疗,chuan'ran'bing'zhi'liao
传染方式,chuan'ran'fang'shi
传染概率,chuan'ran'gai'lv
传染过程,chuan'ran'guo'cheng
传染科,chuan'ran'ke
传染期,chuan'ran'qi
传染途径,chuan'ran'tu'jing
传染性,chuan'ran'xing
传染性非典型肺炎,chuan'ran'xing'fei'dian'xing'fei'yan
传染性疾病,chuan'ran'xing'ji'bing
传染性甲型肝炎,chuan'ran'xing'jia'xing'gan'yan
传染性乙型肝炎,chuan'ran'xing'yi'xing'gan'yan
传染源,chuan'ran'yuan
窗口期,chuang'kou'qi
创伤性感染,chuang'shang'xing'gan'ran
垂直传播,chui'zhi'chuan'bo
垂直传染,chui'zhi'chuan'ran
垂直感染,chui'zhi'gan'ran
纯蛋白衍生物,chun'dan'bai'yan'sheng'wu
磁共振成像,ci'gong'zhen'cheng'xiang
次氯酸钠,ci'lv'suan'na
粗死亡率,cu'si'wang'lv
村卫生室,cun'wei'sheng'shi
痤疮,cuo'chuang
大便标本,da'bian'biao'ben
大肠埃希菌,da'chang'ai'xi'jun
大肠埃希菌腹泻,da'chang'ai'xi'jun'fu'xie
大肠杆菌,da'chang'gan'jun
大肠菌群,da'chang'jun'qun
大骨节病,da'gu'jie'bing
大环内脂,da'huan'nei'zhi
大家鼠,da'jia'shu
大家蝇,da'jia'ying
大卡,da'ka
大卡册,da'ka'ce
大卡页,da'ka'ye
大劣按蚊,da'lie'an'wen
大林姬鼠,da'lin'ji'shu
大流行,da'liu'xing
大脑炎,da'nao'yan
大三阳,da'san'yang
大血管,da'xue'guan
大叶性肺炎,da'ye'xing'fei'yan
打印接种证,da'yin'jie'zhong'zheng
代表性,dai'biao'xing
带虫者,dai'chong'zhe
带菌动物,dai'jun'dong'wu
带菌时间,dai'jun'shi'jian
带菌者,dai'jun'zhe
代谢性疾病,dai'xie'xing'ji'bing
代谢性酸中毒,dai'xie'xing'suan'zhong'du
带状疱疹,dai'zhuang'pao'zhen
带状疱疹病毒,dai'zhuang'pao'zhen'bing'du
蛋白含量,dan'bai'han'liang
蛋白合成,dan'bai'he'cheng
蛋白酶,dan'bai'mei
蛋白尿,dan'bai'niao
蛋白质合成,dan'bai'zhi'he'cheng
单纯疱疹,dan'chun'pao'zhen
单纯疱疹病毒,dan'chun'pao'zhen'bing'du
胆道蛔虫,dan'dao'hui'chong
胆管,dan'guan
单核细胞,dan'he'xi'bao
胆红素,dan'hong'su
单价疫苗,dan'jia'yi'miao
单克隆抗体,dan'ke'long'kang'ti
胆囊,dan'nang
淡色库蚊,dan'se'ku'wen
胆石症,dan'shi'zheng
胆汁,dan'zhi
当月实种,dang'yue'shi'zhong
当月应种,dang'yue'ying'zhong
盗汗,dao'han
稻叶型,dao'ye'xing
登革热,deng'ge're
登革热病毒,deng'ge're'bing'du
登记率,deng'ji'lv
等级资料,deng'ji'zi'liao
等渗生理盐水,deng'shen'sheng'li'yan'shui
地巴唑,di'ba'zuo
地病,di'bing
地病科,di'bing'ke
滴虫,di'chong
低碘,di'dian
低碘性甲状腺肿,di'dian'xing'jia'zhuang'xian'zhong
滴度,di'du
地段卫生院,di'duan'wei'sheng'yuan
地方病,di'fang'bing
地方病防治,di'fang'bing'fang'zhi
地方病科,di'fang'bing'ke
地方病学,di'fang'bing'xue
地方性,di'fang'xing
地方性氟中毒,di'fang'xing'fu'zhong'du
地方性甲状腺肿,di'fang'xing'jia'zhuang'xian'zhong
地方性克汀病,di'fang'xing'ke'ting'bing
地方性流行,di'fang'xing'liu'xing
地方性砷中毒,di'fang'xing'shen'zhong'du
地方性心肌病,di'fang'xing'xin'ji'bing
低分子右旋糖酐,di'fen'zi'you'xuan'tang'gan
地区分布,di'qu'fen'bu
地区性,di'qu'xing
地塞米松,di'sai'mi'song
地鼠肾,di'shu'shen
低温冰柜,di'wen'bing'gui
低温冰箱,di'wen'bing'xiang
低血压,di'xue'ya
低压,di'ya
低盐饮食,di'yan'yin'shi
地中海贫血,di'zhong'hai'pin'xue
电解质平衡,dian'jie'zhi'ping'heng
电解质紊乱,dian'jie'zhi'wen'luan
碘缺乏病,dian'que'fa'bing
电渗析,dian'shen'xi
碘酸钾,dian'suan'jia
癫痫,dian'xian
典型,dian'xing
典型病例,dian'xing'bing'li
典型肺结核,dian'xing'fei'jie'he
典型麻疹,dian'xing'ma'zhen
碘盐,dian'yan
碘盐监测,dian'yan'jian'ce
调查接种率,diao'cha'jie'zhong'lv
调查摸底,diao'cha'mo'di
调查资料,diao'cha'zi'liao
丁胺卡那霉素,ding'an'ka'na'mei'su
定点医院,ding'dian'yi'yuan
定量研究,ding'liang'yan'jiu
定量资料,ding'liang'zi'liao
定期随访,ding'qi'sui'fang
定群研究,ding'qun'yan'jiu
定性研究,ding'xing'yan'jiu
定性资料,ding'xing'zi'liao
冬春季,dong'chun'ji
东方田鼠,dong'fang'tian'shu
冻干,dong'gan
冻干疫苗,dong'gan'yi'miao
动脉炎,dong'mai'yan
动脉硬化,dong'mai'ying'hua
动脉粥样硬化,dong'mai'zhou'yang'ying'hua
动物疾病,dong'wu'ji'bing
毒副作用,du'fu'zuo'yong
读卡器,du'ka'qi
杜克雷嗜血杆菌,du'ke'lei'shi'xue'gan'jun
毒力,du'li
毒力岛,du'li'dao
毒理学,du'li'xue
毒理学试验,du'li'xue'shi'yan
毒血症,du'xue'zheng
队列研究,dui'lie'yan'jiu
对照组,dui'zhao'zu
对症措施,dui'zheng'cuo'shi
对症治疗,dui'zheng'zhi'liao
顿挫型,dun'cuo'xing
顿服,dun'fu
多巴胺,duo'ba'an
多巴胺受体,duo'ba'an'shou'ti
多发病,duo'fa'bing
多发性神经炎,duo'fa'xing'shen'jing'yan
多汗,duo'han
多级抽样,duo'ji'chou'yang
多价疫苗,duo'jia'yi'miao
多聚酶,duo'ju'mei
多尿,duo'niao
多肽,duo'tai
多糖,duo'tang
多糖体疫苗,duo'tang'ti'yi'miao
多糖疫苗,duo'tang'yi'miao
多西环素,duo'xi'huan'su
多粘菌素,duo'zhan'jun'su
恶性疟,e'xing'nue
恶性疟疾,e'xing'nue'ji
恶性肿瘤,e'xing'zhong'liu
二倍体,er'bei'ti
二倍体细胞,er'bei'ti'xi'bao
二次感染,er'ci'gan'ran
二代病例,er'dai'bing'li
二级医院,er'ji'yi'yuan
二级预防,er'ji'yu'fang
儿科,er'ke
二类疫苗,er'lei'yi'miao
耳聋,er'long
儿童编号,er'tong'bian'hao
儿童编码,er'tong'bian'ma
儿童个案信息,er'tong'ge'an'xin'xi
儿童计划免疫,er'tong'ji'hua'mian'yi
儿童监护人,er'tong'jian'hu'ren
儿童接种信息,er'tong'jie'zhong'xin'xi
儿童信息,er'tong'xin'xi
儿童姓名,er'tong'xing'ming
儿童预防接种,er'tong'yu'fang'jie'zhong
儿童预防接种信息,er'tong'yu'fang'jie'zhong'xin'xi
儿童预防接种信息管理网络平台,er'tong'yu'fang'jie'zhong'xin'xi'guan'li'wang'luo'ping'tai
儿童预防接种信息管理系统,er'tong'yu'fang'jie'zhong'xin'xi'guan'li'xi'tong
儿童预防接种证,er'tong'yu'fang'jie'zhong'zheng
二项分布,er'xiang'fen'bu
二氧化氮,er'yang'hua'dan
二氧化硫,er'yang'hua'liu
二氧化氯,er'yang'hua'lv
发病初期,fa'bing'chu'qi
发病率,fa'bing'lv
发病期,fa'bing'qi
发病日期,fa'bing'ri'qi
发病原因,fa'bing'yuan'yin
发病者,fa'bing'zhe
法定报告人,fa'ding'bao'gao'ren
法定传染病,fa'ding'chuan'ran'bing
发绀,fa'gan
乏力,fa'li
发热,fa're
发热反应,fa're'fan'ying
发热性疾病,fa're'xing'ji'bing
发现率,fa'xian'lv
饭前便后,fan'qian'bian'hou
反渗透,fan'shen'tou
反应原性,fan'ying'yuan'xing
烦躁不安,fan'zao'bu'an
繁殖体,fan'zhi'ti
防保科,fang'bao'ke
防保所,fang'bao'suo
防保站,fang'bao'zhan
防保组织,fang'bao'zu'zhi
方差,fang'cha
防腐剂,fang'fu'ji
防护服,fang'hu'fu
防护口罩,fang'hu'kou'zhao
防护手套,fang'hu'shou'tao
防护用品,fang'hu'yong'pin
防痨科,fang'lao'ke
防痨门诊,fang'lao'men'zhen
防鼠,fang'shu
防伪标志,fang'wei'biao'zhi
防蚊,fang'wen
放线菌,fang'xian'jun
防疫,fang'yi
防疫措施,fang'yi'cuo'shi
防疫大夫,fang'yi'dai'fu
防疫科,fang'yi'ke
防疫医生,fang'yi'yi'sheng
防疫站,fang'yi'zhan
防蝇,fang'ying
防治,fang'zhi
防止并发症,fang'zhi'bing'fa'zheng
防治策略,fang'zhi'ce'lue
防治管理,fang'zhi'guan'li
防治机构,fang'zhi'ji'gou
防治重点,fang'zhi'zhong'dian
肺癌,fei'ai
非暴露组,fei'bao'lu'zu
肺部感染,fei'bu'gan'ran
腓肠肌,fei'chang'ji
非处方药,fei'chu'fang'yao
肺出血,fei'chu'xie
肥达氏反应,fei'da'shi'fan'ying
肥大细胞,fei'da'xi'bao
非典,fei'dian
非典病毒,fei'dian'bing'du
非典期间,fei'dian'qi'jian
非典型,fei'dian'xing
非典型肺炎,fei'dian'xing'fei'yan
肺感染,fei'gan'ran
肺结核,fei'jie'he
非淋菌性尿道炎,fei'lin'jun'xing'niao'dao'yan
非流行株,fei'liu'xing'zhu
飞沫传播,fei'mo'chuan'bo
飞沫传染,fei'mo'chuan'ran
肺脓肿,fei'nong'zhong
肥胖,fei'pang
肥胖率,fei'pang'lv
肺气肿,fei'qi'zhong
肺鼠疫,fei'shu'yi
肺栓塞,fei'shuan'sai
肺水肿,fei'shui'zhong
肺炭疽,fei'tan'ju
非特异性,fei'te'yi'xing
非特异性免疫,fei'te'yi'xing'mian'yi
非特异性免疫反应,fei'te'yi'xing'mian'yi'fan'ying
非吸附疫苗,fei'xi'fu'yi'miao
肺心病,fei'xin'bing
肺炎,fei'yan
肺炎多价疫苗,fei'yan'duo'jia'yi'miao
肺炎双菌,fei'yan'shuang'jun
肺炎双球菌,fei'yan'shuang'qiu'jun
肺炎疫苗,fei'yan'yi'miao
肺炎衣原体,fei'yan'yi'yuan'ti
肺炎支原体,fei'yan'zhi'yuan'ti
非赢利性医疗机构,fei'ying'li'xing'yi'liao'ji'gou
非洲绿猴,fei'zhou'lv'hou
粪便标本,fen'bian'biao'ben
粪便无害化,fen'bian'wu'hai'hua
分层抽样,fen'ceng'chou'yang
分类资料,fen'lei'zi'liao
分泌物,fen'mi'wu
分泌胰岛素,fen'mi'yi'dao'su
分枝杆菌,fen'zhi'gan'jun
疯狗,feng'gou
疯牛病,feng'niu'bing
风湿病,feng'shi'bing
风湿热,feng'shi're
风疹,feng'zhen
风疹病毒,feng'zhen'bing'du
风疹疫苗,feng'zhen'yi'miao
氟斑牙,fu'ban'ya
腹壁反射,fu'bi'fan'she
复发,fu'fa
氟骨病,fu'gu'bing
腹股沟,fu'gu'gou
氟骨症,fu'gu'zheng
氟含量,fu'han'liang
符合病例,fu'he'bing'li
氟化物,fu'hua'wu
副霍乱,fu'huo'luan
副局长,fu'ju'zhang
氟喹诺酮,fu'kui'nuo'tong
呋喃唑酮,fu'nan'zuo'tong
氟哌酸,fu'pai'suan
腹腔镜,fu'qiang'jing
父亲姓名,fu'qin'xing'ming
副溶血性弧菌,fu'rong'xue'xing'hu'jun
呋塞米,fu'sai'mi
副伤寒,fu'shang'han
福氏,fu'shi
腹痛,fu'tong
富硒,fu'xi
腹泻,fu'xie
腹泻病门诊,fu'xie'bing'men'zhen
腹泻性肠炎,fu'xie'xing'chang'yan
妇幼保健院,fu'you'bao'jian'yuan
腹胀,fu'zhang
复治,fu'zhi
复治病人,fu'zhi'bing'ren
复种,fu'zhong
氟中毒,fu'zhong'du
辅助临床检查,fu'zhu'lin'chuang'jian'cha
辅助临床诊断,fu'zhu'lin'chuang'zhen'duan
副主任,fu'zhu'ren
辅助诊断,fu'zhu'zhen'duan
钙化,gai'hua
改水,gai'shui
改水降氟,gai'shui'jiang'fu
肝癌,gan'ai
肝腹水,gan'fu'shui
肝功能,gan'gong'neng
杆菌,gan'jun
干咳,gan'ke
甘露醇,gan'lu'chun
肝脓肿,gan'nong'zhong
肝脾肿大,gan'pi'zhong'da
感染初期,gan'ran'chu'qi
感染概率,gan'ran'gai'lv
感染率,gan'ran'lv
感染期,gan'ran'qi
感染途径,gan'ran'tu'jing
感染性,gan'ran'xing
感染性腹泻,gan'ran'xing'fu'xie
感染性疾病,gan'ran'xing'ji'bing
感染性休克,gan'ran'xing'xiu'ke
感染因素,gan'ran'yin'su
感染者,gan'ran'zhe
干扰素,gan'rao'su
肝素,gan'su
肝细胞,gan'xi'bao
肝炎,gan'yan
肝炎病毒携带者,gan'yan'bing'du'xie'dai'zhe
肝硬化,gan'ying'hua
干预策略,gan'yu'ce'lue
干预措施,gan'yu'cuo'shi
干预评价,gan'yu'ping'jia
肝脏,gan'zang
肝掌,gan'zhang
高胆固醇,gao'dan'gu'chun
高胆固醇血症,gao'dan'gu'chun'xue'zheng
高碘,gao'dian
高碘水,gao'dian'shui
高碘性甲状腺肿,gao'dian'xing'jia'zhuang'xian'zhong
高度散发,gao'du'san'fa
高氟,gao'fu
高氟水,gao'fu'shui
高干队,gao'gan'dui
高甘油三脂,gao'gan'you'san'zhi
高锰酸钾,gao'meng'suan'jia
高热,gao're
高渗液,gao'shen'ye
高危地区,gao'wei'di'qu
高危人群,gao'wei'ren'qun
高危人群干预,gao'wei'ren'qun'gan'yu
高危人群干预队,gao'wei'ren'qun'gan'yu'dui
高硒食品,gao'xi'shi'pin
高血压,gao'xue'ya
高血压防治,gao'xue'ya'fang'zhi
高血脂,gao'xue'zhi
高血脂症,gao'xue'zhi'zheng
高压,gao'ya
高压灭菌,gao'ya'mie'jun
高压蒸汽灭菌,gao'ya'zheng'qi'mie'jun
高盐饮食,gao'yan'yin'shi
告知,gao'zhi
高致病性,gao'zhi'bing'xing
高致病性禽流感,gao'zhi'bing'xing'qin'liu'gan
告知义务,gao'zhi'yi'wu
个案,ge'an
个案调查,ge'an'diao'cha
个案调查表,ge'an'diao'cha'biao
革兰氏染色,ge'lan'shi'ran'se
革兰氏染色阳性,ge'lan'shi'ran'se'yang'xing
革兰氏染色阴性,ge'lan'shi'ran'se'yin'xing
革兰氏阳性,ge'lan'shi'yang'xing
革兰氏阴性,ge'lan'shi'yin'xing
葛兰素史克,ge'lan'su'shi'ke
隔离,ge'li
隔离病人,ge'li'bing'ren
隔离服,ge'li'fu
隔离治疗,ge'li'zhi'liao
格林巴利综合症,ge'lin'ba'li'zong'he'zheng
革螨,ge'man
个人防护,ge'ren'fang'hu
个人防护措施,ge'ren'fang'hu'cuo'shi
个人防护服,ge'ren'fang'hu'fu
个人防护用品,ge'ren'fang'hu'yong'pin
个人卫生习惯,ge'ren'wei'sheng'xi'guan
根本死因,gen'ben'si'yin
公共场所,gong'gong'chang'suo
公共卫生,gong'gong'wei'sheng
共济失调,gong'ji'shi'tiao
宫颈癌,gong'jing'ai
巩膜,gong'mo
