按摩,an'mo
神经系统疾病和伤残,shen'jing'xi'tong'ji'bing'he'shang'can
身心社会功能障碍,shen'xin'she'hui'gong'neng'zhang'ai
生物反馈疗法,sheng'wu'fan'kui'liao'fa
声音异常,sheng'yin'yi'chang
适应和代偿,shi'ying'he'dai'chang
手工操作劳动,shou'gong'cao'zuo'lao'dong
手损伤,shou'sun'shang
四肢瘫,si'zhi'tan
松弛疗法,song'chi'liao'fa
损伤,sun'shang
所在社区,suo'zai'she'qu
提高功能水平,ti'gao'gong'neng'shui'ping
提高生活质量,ti'gao'sheng'huo'zhi'liang
体疗士,ti'liao'shi
体疗师,ti'liao'shi
卫生部,wei'sheng'bu
文体活动,wen'ti'huo'dong
文体治疗,wen'ti'zhi'liao
文体治疗师,wen'ti'zhi'liao'shi
物理疗法,wu'li'liao'fa
物理因子疗法,wu'li'yin'zi'liao'fa
物品命名练习,wu'pin'ming'ming'lian'xi
现存,xian'cun
先天发育障碍,xian'tian'fa'yu'zhang'ai
小儿麻痹,xiao'er'ma'bi
心理辅导与治疗,xin'li'fu'dao'yu'zhi'liao
心理治疗师,xin'li'zhi'liao'shi
心理咨询,xin'li'zi'xun
形态功能障碍,xing'tai'gong'neng'zhang'ai
行为疗法,xing'wei'liao'fa
训练,xun'lian
研究对象,yan'jiu'dui'xiang
言语矫治师,yan'yu'jiao'zhi'shi
腰腿痛,yao'tui'tong
一级预防,yi'ji'yu'fang
医疗计划,yi'liao'ji'hua
医疗康复,yi'liao'kang'fu
医疗思想,yi'liao'si'xiang
医学模式,yi'xue'mo'shi
医院内康复,yi'yuan'nei'kang'fu
一专多能,yi'zhuan'duo'neng
音乐疗法,yin'yue'liao'fa
预防,yu'fang
预防康复,yu'fang'kang'fu
语言矫治,yu'yan'jiao'zhi
语言流畅度异常,yu'yan'liu'chang'du'yi'chang
语言异常,yu'yan'yi'chang
语言治疗士,yu'yan'zhi'liao'shi
语言治疗师,yu'yan'zhi'liao'shi
原发性高血压病,yuan'fa'xing'gao'xue'ya'bing
运动疗法,yun'dong'liao'fa
早期识别,zao'qi'shi'bie
照顾,zhao'gu
正规训练,zheng'gui'xun'lian
整体康复,zheng'ti'kang'fu
智力障碍,zhi'li'zhang'ai
治疗后期,zhi'liao'hou'qi
治疗近期,zhi'liao'jin'qi
治疗中期,zhi'liao'zhong'qi
职业康复,zhi'ye'kang'fu
中国残疾人联合会,zhong'guo'can'ji'ren'lian'he'hui
中国传统治疗,zhong'guo'chuan'tong'zhi'liao
中国康复医学,zhong'guo'kang'fu'yi'xue
周围神经疾病和损伤,zhou'wei'shen'jing'ji'bing'he'sun'shang
周围血管疾病,zhou'wei'xue'guan'ji'bing
住院,zhu'yuan
专科康复门诊,zhuan'ke'kang'fu'men'zhen
专科康复医院,zhuan'ke'kang'fu'yi'yuan
专科康复中心,zhuan'ke'kang'fu'zhong'xin
专业技术水平,zhuan'ye'ji'shu'shui'ping
专业人员,zhuan'ye'ren'yuan
自助具,zi'zhu'ju
综合协调,zong'he'xie'tiao
综合医院康复医学科管理规范,zong'he'yi'yuan'kang'fu'yi'xue'ke'guan'li'gui'fan
最佳状态,zui'jia'zhuang'tai
作业疗法,zuo'ye'liao'fa
作业治疗士,zuo'ye'zhi'liao'shi
作业治疗师,zuo'ye'zhi'liao'shi
