娭毑,ai'jie
金霞山,jin'xia'shan
金湘潭,jin'xiang'tan
金源小区,jin'yuan'xiao'qu
经管楼,jing'guan'lou
九大员,jiu'da'yuan
就港,jiu'gang
九华,jiu'hua
九汇,jiu'hui
就会要,jiu'hui'yao
九教,jiu'jiao
就要得,jiu'yao'de
聚富,ju'fu
菊花塘,ju'hua'tang
科大,ke'da
科大的,ke'da'de
磕痕,ke'hen
可以类,ke'yi'lei
快来咯,kuai'lai'lo
困不戳,kun'bu'chuo
来不吧,lai'bu'ba
来湖南,lai'hu'nan
来湘潭,lai'xiang'tan
莱茵城,lai'yin'cheng
岚园,lan'yuan
老弟嫂,lao'di'sao
了不咯,le'bu'lo
了撇,le'pie
累死去,lei'si'qu
栗山,li'shan
连不想,lian'bu'xiang
涟水桥,lian'shui'qiao
聊撇,liao'pie
灵泛,ling'fan
零药,ling'yao
龙别,long'bie
隆回,long'hui
娄底的,lou'di'de
麓山,lu'shan
乱港,luan'gang
卵味,luan'wei
妈的别,ma'de'bie
麻拐,ma'guai
马家河,ma'jia'he
麻辣肉,ma'la'rou
骂死去,ma'si'qu
麦迪龙,mai'di'long
蛮点,man'dian
蛮有味,man'you'wei
忙不咯,mang'bu'lo
冒吧,mao'ba
冒办法,mao'ban'fa
冒必要,mao'bi'yao
毛别,mao'bie
冒错,mao'cuo
冒得味,mao'de'wei
毛嗲嗲,mao'dia'dia
冒电,mao'dian
冒点味,mao'dian'wei
冒跌,mao'die
毛爹爹,mao'die'die
猫记,mao'ji
毛家饭店,mao'jia'fan'dian
冒看见,mao'kan'jian
冒空,mao'kong
冒类,mao'lei
冒咧,mao'lie
冒呢,mao'ne
冒恰,mao'qia
冒钱,mao'qian
冒切,mao'qie
冒人,mao'ren
冒什么,mao'shen'me
冒事,mao'shi
冒时间,mao'shi'jian
冒事做,mao'shi'zuo
毛田,mao'tian
毛坨,mao'tuo
冒问题,mao'wen'ti
冒意思,mao'yi'si
冒在,mao'zai
冒怎么,mao'zen'me
么噶,me'ga
么子时候,me'zi'shi'hou
没得味,mei'de'wei
没点味,mei'dian'wei
妹几,mei'ji
没类,mei'lei
梅林桥,mei'lin'qiao
梅桥,mei'qiao
没事累,mei'shi'lei
没事咧,mei'shi'lie
没有累,mei'you'lei
锰矿,meng'kuang
灭黑,mie'hei
铭鸿,ming'hong
莫宝,mo'bao
莫噶,mo'ga
莫咯,mo'ge
那个要你,na'ge'yao'ni
那肯定不,na'ken'ding'bu
哪里咯,na'li'ge
纳帕溪谷,na'pa'xi'gu
那是滴,na'shi'di
那算哒,na'suan'da
那算了咯,na'suan'le'ge
那也是咯,na'ye'shi'ge
难怪咯,nan'guai'ge
南国雨林,nan'guo'yu'lin
南俱,nan'ju
南盘岭,nan'pan'ling
南岳,nan'yue
楠竹山,nan'zhu'shan
脑壳晕,nao'ke'yun
你不随我,ni'bu'sui'wo
你出来咯,ni'chu'lai'ge
你港,ni'gang
你忙咯,ni'mang'ge
你恰,ni'qia
你去看咯,ni'qu'kan'lo
你去死咯,ni'qu'si'ge
你睡咯,ni'shui'lo
你堂客,ni'tang'ke
你玩咯,ni'wan'ge
你要不的,ni'yao'bu'de
你一概,ni'yi'gai
你在长沙,ni'zai'chang'sha
你在哪里吧,ni'zai'na'li'ba
你在哪里咯,ni'zai'na'li'ge
你在湘潭,ni'zai'xiang'tan
你崽崽,ni'zai'zai
你这别,ni'zhe'bie
你做的出,ni'zuo'de'chu
你做好事,ni'zuo'hao'shi
娘屋里,niang'wu'li
嬲别,niao'bie
牛别,niu'bie
牛头岭,niu'tou'ling
哦得了,o'de'le
哦该咯,o'gai'ge
怕是的,pa'shi'de
盘宝,pan'bao
盘底,pan'di
盘龙名府,pan'long'ming'fu
盘龙山庄,pan'long'shan'zhuang
跑胡子,pao'hu'zi
平安在线,ping'an'zai'xian
评奖评优,ping'jiang'ping'you
坪里,ping'li
平政路,ping'zheng'lu
婆婆子,po'po'zi
齐白石,qi'bai'shi
起来哒,qi'lai'da
七里八里,qi'li'ba'li
七里铺,qi'li'pu
起霉,qi'mei
棋梓桥,qi'zi'qiao
恰不得,qia'bu'de
恰醋,qia'cu
恰的,qia'de
恰点,qia'dian
恰饭,qia'fan
恰饭了,qia'fan'le
恰酒,qia'jiu
恰了,qia'le
恰完,qia'wan
恰完饭,qia'wan'fan
恰药,qia'yao
恰住,qia'zhu
前坪,qian'ping
强别,qiang'bie
切火,qie'huo
琴湖,qin'hu
青山桥,qing'shan'qiao
清水塘,qing'shui'tang
清溪镇,qing'xi'zhen
去步步高,qu'bu'bu'gao
去长沙,qu'chang'sha
去哒,qu'da
去死咯,qu'si'ge
去湘潭,qu'xiang'tan
去株洲,qu'zhu'zhou
泉塘,quan'tang
泉塘子,quan'tang'zi
群艺,qun'yi
热死去,re'si'qu
认跌,ren'die
三大桥,san'da'qiao
三角坪,san'jiao'ping
桑植,sang'zhi
骚别,sao'bie
色别,se'bie
杉山,sha'shan
沙子岭,sha'zi'ling
砂子塘,sha'zi'tang
山枣,shan'zao
韶峰,shao'feng
韶山,shao'shan
韶山东路,shao'shan'dong'lu
韶山市,shao'shan'shi
韶山乡,shao'shan'xiang
邵阳的,shao'yang'de
邵阳学院,shao'yang'xue'yuan
射埠,she'bu
舍得死,she'de'si
什么老,shen'me'lao
什么意思咯,shen'me'yi'si'ge
圣得西,sheng'de'xi
生日饭,sheng'ri'fan
石坝,shi'ba
十八总,shi'ba'zong
是摆,shi'bai
是的不,shi'de'bu
是的咯,shi'de'ge
是的看,shi'de'kan
是的老,shi'de'lao
是的类,shi'de'lei
是滴咯,shi'di'ge
是滴老,shi'di'lao
石鼓,shi'gu
世纪风,shi'ji'feng
十教,shi'jiao
石门,shi'men
时尚魔方,shi'shang'mo'fang
石潭,shi'tan
石潭镇,shi'tan'zhen
石燕湖,shi'yan'hu
实在咯,shi'zai'ge
守店子,shou'dian'zi
数学院,shu'xue'yuan
书院路,shu'yuan'lu
双板桥,shuang'ban'qiao
双马镇,shuang'ma'zhen
水府庙,shui'fu'miao
水果捞,shui'guo'lao
水艺,shui'yi
硕了,shuo'le
四大桥,si'da'qiao
四方坪,si'fang'ping
泗神庙,si'shen'miao
俗河,su'he
算八字,suan'ba'zi
算达,suan'da
算了咯,suan'le'ge
嗦粉,suo'fen
他港,ta'gang
太硕,tai'shuo
太硕了,tai'shuo'le
谈爱,tan'ai
谈爱了,tan'ai'le
谭城,tan'cheng
谭家山,tan'jia'shan
叹气子,tan'qi'zi
潭市,tan'shi
潭州,tan'zhou
塘渡口,tang'du'kou
堂客,tang'ke
堂客们,tang'ke'men
糖粒子,tang'li'zi
涛别,tao'bie
讨死嫌,tao'si'xian
天子山,tian'zi'shan
调口味,tiao'kou'wei
跳跳蛙,tiao'tiao'wa
通学,tong'xue
通学生,tong'xue'sheng
桐梓村,tong'zi'cun
涂家冲,tu'jia'chong
团活,tuan'huo
外语楼,wai'yu'lou
玩的咯,wan'de'ge
晚二,wan'er
万凯源,wan'kai'yuan
万利隆,wan'li'long
万楼,wan'lou
晚晚场,wan'wan'chang
晚夜班,wan'ye'ban
王作运,wang'zuo'yun
伟别,wei'bie
为哒,wei'da
问菜,wen'cai
文新院,wen'xin'yuan
我擦你,wo'ca'ni
我港,wo'gang
我告诉你咯,wo'gao'su'ni'lo
我跟你说咯,wo'gen'ni'shuo'ge
我会要,wo'hui'yao
我就说咯,wo'jiu'shuo'ge
我恰,wo'qia
我堂客,wo'tang'ke
我要恰,wo'yao'qia
我在步步高,wo'zai'bu'bu'gao
我在湖南,wo'zai'hu'nan
我在湘潭,wo'zai'xiang'tan
我崽崽,wo'zai'zai
武冈,wu'gang
五教,wu'jiao
五里堆,wu'li'dui
物理院,wu'li'yuan
屋门口,wu'men'kou
五医院,wu'yi'yuan
细别,xi'bie
熙春路,xi'chun'lu
洗货,xi'huo
细妹子,xi'mei'zi
希望大厦,xi'wang'da'sha
西维,xi'wei
细伢子,xi'ya'zi
下不得,xia'bu'de
下不得地,xia'bu'de'di
霞光,xia'guang
霞光山庄,xia'guang'shan'zhuang
霞光西路,xia'guang'xi'lu
下考,xia'kao
下摄司,xia'she'si
先锋乡,xian'feng'xiang
县一,xian'yi
县一中,xian'yi'zhong
乡霸,xiang'ba
湘大,xiang'da
湘电,xiang'dian
湘电集团,xiang'dian'ji'tuan
湘纺,xiang'fang
湘飞,xiang'fei
香干子,xiang'gan'zi
湘钢,xiang'gang
湘钢一中,xiang'gang'yi'zhong
湘哥,xiang'ge
湘机,xiang'ji
湘江,xiang'jiang
湘军,xiang'jun
乡里别,xiang'li'bie
想恰,xiang'qia
响水乡,xiang'shui'xiang
湘潭,xiang'tan
湘潭啊,xiang'tan'a
湘潭吧,xiang'tan'ba
湘潭不,xiang'tan'bu
湘潭大学,xiang'tan'da'xue
湘潭的,xiang'tan'de
湘潭话,xiang'tan'hua
湘潭火车站,xiang'tan'huo'che'zhan
湘潭了,xiang'tan'le
湘潭吗,xiang'tan'ma
湘潭呢,xiang'tan'ne
湘潭人,xiang'tan'ren
湘潭市,xiang'tan'shi
湘潭天气,xiang'tan'tian'qi
湘潭县,xiang'tan'xian
湘潭县一中,xiang'tan'xian'yi'zhong
湘潭站,xiang'tan'zhan
湘乡,xiang'xiang
湘乡话,xiang'xiang'hua
湘乡市,xiang'xiang'shi
小粒子,xiao'li'zi
小气别,xiao'qi'bie
笑死去,xiao'si'qu
校卫队,xiao'wei'dui
潇湘学院,xiao'xiang'xue'yuan
信不的,xin'bu'de
新高度,xin'gao'du
新公寓,xin'gong'yu
信工院,xin'gong'yuan
新三和,xin'san'he
兴教,xing'jiao
兴湘,xing'xiang
兴湘学院,xing'xiang'xue'yuan
学活,xue'huo
学考,xue'kao
雪致爱恋,xue'zhi'ai'lian
寻情记,xun'qing'ji
鸭霸王,ya'ba'wang
呀娘,ya'niang
沿江风光带,yan'jiang'feng'guang'dai
烟山,yan'shan
杨家桥,yang'jia'qiao
杨家山,yang'jia'shan
杨家湾,yang'jia'wan
杨林乡,yang'lin'xiang
杨梅洲,yang'mei'zhou
仰天湖,yang'tian'hu
杨裕兴,yang'yu'xing
要的吧,yao'de'ba
要的咯,yao'de'ge
要的撒,yao'de'sa
要跌,yao'die
窑岭,yao'ling
要恰,yao'qia
窑湾,yao'wan
也可以咯,ye'ke'yi'ge
也没味,ye'mei'wei
也是咯,ye'shi'lo
一大桥,yi'da'qiao
一得了,yi'de'le
逸夫楼,yi'fu'lou
一概,yi'gai
易家湾,yi'jia'wan
姨妈妈,yi'ma'ma
姨妹子,yi'mei'zi
一脑壳,yi'nao'ke
易俗河,yi'su'he
一田,yi'tian
一屋人,yi'wu'ren
一杂,yi'za
应院,ying'yuan
有点宝,you'dian'bao
有个时候,you'ge'shi'hou
友华,you'hua
有蛮久,you'man'jiu
友谊广场,you'yi'guang'chang
雨湖,yu'hu
雨湖公园,yu'hu'gong'yuan
雨湖区,yu'hu'qu
于今,yu'jin
园车,yuan'che
岳母娘,yue'mu'niang
岳塘,yue'tang
岳塘区,yue'tang'qu
云湖桥,yun'hu'qiao
云门寺,yun'men'si
崽不,zai'bu
在步步高,zai'bu'bu'gao
在不老,zai'bu'lao
在不咯,zai'bu'lo
在长沙,zai'chang'sha
崽戳,zai'chuo
崽撮,zai'cuo
在干嘛咯,zai'gan'ma'ge
在干什么咯,zai'gan'shen'me'ge
再港,zai'gang
在九华,zai'jiu'hua
在科大,zai'ke'da
在冒,zai'mao
在哪里咯,zai'na'li'ge
崽女,zai'nv
崽骗,zai'pian
崽骗你,zai'pian'ni
在韶山,zai'shao'shan
在邵阳,zai'shao'yang
在湘大,zai'xiang'da
在湘潭,zai'xiang'tan
在湘乡,zai'xiang'xiang
在易俗河,zai'yi'su'he
崽崽,zai'zai
在召唤,zai'zhao'huan
在株洲,zai'zhu'zhou
在做么子,zai'zuo'me'zi
早签,zao'qian
早签到,zao'qian'dao
怎么哒,zen'me'da
怎么类,zen'me'lei
召唤的,zhao'huan'de
昭山,zhao'shan
这别,zhe'bie
这一向,zhe'yi'xiang
这又没事,zhe'you'mei'shi
真的类,zhen'de'lei
志愿团,zhi'yuan'tuan
中路铺,zhong'lu'pu
中沙,zhong'sha
周别,zhou'bie
猪别,zhu'bie
竹埠港,zhu'bu'gang
竹鸡段,zhu'ji'duan
猪嬲的,zhu'niao'de
猪婆子,zhu'po'zi
株易路口,zhu'yi'lu'kou
株洲,zhu'zhou
株洲的,zhu'zhou'de
株洲了,zhu'zhou'le
株洲西,zhu'zhou'xi
专业周,zhuan'ye'zhou
装宝,zhuang'bao
自多,zi'duo
最有味,zui'you'wei
做不得,zuo'bu'de
做不得声,zuo'bu'de'sheng
做不赢,zuo'bu'ying
作古正经,zuo'gu'zheng'jing
做好事,zuo'hao'shi
做好事咯,zuo'hao'shi'ge
做介绍,zuo'jie'shao
做声,zuo'sheng
作死的,zuo'si'de
