哀公,ai'gong
的朝代,de'chao'dai
的地主和,de'di'zhu'he
的发展,de'fa'zhan
的封建国家,de'feng'jian'guo'jia
的各国关卡,de'ge'guo'guan'qia
的更多,de'geng'duo
德公,de'gong
的共同愿望,de'gong'tong'yuan'wang
的国家,de'guo'jia
的姬妾所生,de'ji'qie'suo'sheng
的加强,de'jia'qiang
德兼三皇,de'jian'san'huang
的局面,de'ju'mian
的局势,de'ju'shi
得来的武器,de'lai'de'wu'qi
的离心力,de'li'xin'li
的领地,de'ling'di
的领袖,de'ling'xiu
的某些条文,de'mou'xie'tiao'wen
的权力,de'quan'li
的实施,de'shi'shi
的提高,de'ti'gao
的条件,de'tiao'jian
的文字,de'wen'zi
的相职,de'xiang'zhi
的新工艺,de'xin'gong'yi
的信息,de'xin'xi
的形成,de'xing'cheng
的巡游,de'xun'you
的艺术品,de'yi'shu'pin
的一支,de'yi'zhi
的征服,de'zheng'fu
的支持者,de'zhi'chi'zhe
的祖先,de'zu'xian
的尊号,de'zun'hao
等等而言,deng'deng'er'yan
等官职,deng'guan'zhi
登基,deng'ji
等制度都,deng'zhi'du'dou
地处偏僻,di'chu'pian'pi
地名星官,di'ming'xing'guan
地区对应,di'qu'dui'ying
地区后,di'qu'hou
第一代君主,di'yi'dai'jun'zhu
第一个多民族的,di'yi'ge'duo'min'zu'de
第一个统一的,di'yi'ge'tong'yi'de
地宜禾,di'yi'he
第一位皇帝,di'yi'wei'huang'di
地主阶级,di'zhu'jie'ji
东到大海,dong'dao'da'hai
东迁有功,dong'qian'you'gong
东至海暨朝鲜,dong'zhi'hai'ji'chao'xian
东至辽东的,dong'zhi'liao'dong'de
都集中在,dou'ji'zhong'zai
都要求统一,dou'yao'qiu'tong'yi
都有统一的标准,dou'you'tong'yi'de'biao'zhun
都江堰,du'jiang'yan
度量衡,du'liang'heng
度量衡制度,du'liang'heng'zhi'du
对六国,dui'liu'guo
多民族的,duo'min'zu'de
阿房宫,e'pang'gong
而将其,er'jiang'qi
二世,er'shi
二世皇帝,er'shi'huang'di
儿时历难,er'shi'li'nan
法冠,fa'guan
法律令,fa'lv'ling
方士,fang'shi
废除分封制,fei'chu'fen'feng'zhi
分裂复辟活动,fen'lie'fu'bi'huo'dong
分陕而治,fen'shan'er'zhi
焚书坑儒,fen'shu'keng'ru
分野,fen'ye
封国,feng'guo
封建国家,feng'jian'guo'jia
封建国家的,feng'jian'guo'jia'de
封建社会,feng'jian'she'hui
封建王朝,feng'jian'wang'chao
封建主义,feng'jian'zhu'yi
封在秦,feng'zai'qin
符传,fu'chuan
符合当时,fu'he'dang'shi
扶苏,fu'su
扶苏送葬,fu'su'song'zang
扶植封建,fu'zhi'feng'jian
改变了,gai'bian'le
甘肃东部,gan'su'dong'bu
甘肃秦州,gan'su'qin'zhou
各地区的,ge'di'qu'de
各国人民,ge'guo'ren'min
个金人,ge'jin'ren
割据局面,ge'ju'ju'mian
铬盐氧化,ge'yan'yang'hua
各族人民,ge'zu'ren'min
给农民带来了,gei'nong'min'dai'lai'le
更是精美,geng'shi'jing'mei
更要求统一,geng'yao'qiu'tong'yi
功盖五帝,gong'gai'wu'di
共公,gong'gong
巩固统一,gong'gu'tong'yi
工商业发展,gong'shang'ye'fa'zhan
工商业者,gong'shang'ye'zhe
公元前,gong'yuan'qian
古称陕塬,gu'cheng'shan'yuan
古代认为,gu'dai'ren'wei
古国名,gu'guo'ming
故又简称,gu'you'jian'cheng
故有许多,gu'you'xu'duo
官僚机构,guan'liao'ji'gou
关于这个字,guan'yu'zhe'ge'zi
广泛使用,guang'fan'shi'yong
规模宏大,gui'mo'hong'da
贵族豪富,gui'zu'hao'fu
国家的,guo'jia'de
国家的政治,guo'jia'de'zheng'zhi
国君,guo'jun
国君称王前使用,guo'jun'cheng'wang'qian'shi'yong
国政为,guo'zheng'wei
还把战国时秦,hai'ba'zhan'guo'shi'qin
耗费了巨大的,hao'fei'le'ju'da'de
和地方的,he'di'fang'de
和将领,he'jiang'ling
和李斯,he'li'si
和社会,he'she'hui
核心民族,he'xin'min'zu
后建立的,hou'jian'li'de
后设,hou'she
侯生,hou'sheng
互不相关,hu'bu'xiang'guan
胡亥,hu'hai
护送周平王,hu'song'zhou'ping'wang
华夏民族共同体,hua'xia'min'zu'gong'tong'ti
华夏族,hua'xia'zu
怀公,huai'gong
桓公,huan'gong
皇帝把,huang'di'ba
皇帝手里,huang'di'shou'li
惠公,hui'gong
惠文王,hui'wen'wang
会意,hui'yi
即爆发,ji'bao'fa
即秦王位,ji'qin'wang'wei
继嗣帝位,ji'si'di'wei
即位后不久,ji'wei'hou'bu'jiu
假借为,jia'jie'wei
加深了,jia'shen'le
加重严刑酷法,jia'zhong'yan'xing'ku'fa
兼并战争,jian'bing'zhan'zheng
简公,jian'gong
建立大秦国,jian'li'da'qin'guo
建立秦朝,jian'li'qin'chao
建立一个统一,jian'li'yi'ge'tong'yi
建立自,jian'li'zi
建筑材料,jian'zhu'cai'liao
将原六国,jiang'yuan'liu'guo
交纳赋税,jiao'na'fu'shui
杰出的,jie'chu'de
节旗,jie'qi
皆尚黑,jie'shang'hei
结束了,jie'shu'le
结束诸侯,jie'shu'zhu'hou
今甘肃岷县,jin'gan'su'min'xian
今河北广宗西北,jin'he'bei'guang'zong'xi'bei
今内蒙古包头西,jin'nei'meng'gu'bao'tou'xi
近千座,jin'qian'zuo
今陕西淳化西北,jin'shan'xi'chun'hua'xi'bei
今陕县张,jin'shan'xian'zhang
进一步促使,jin'yi'bu'cu'shi
禁止民间,jin'zhi'min'jian
禁止私学,jin'zhi'si'xue
景公,jing'gong
经过长期的,jing'guo'chang'qi'de
经过春秋,jing'guo'chun'qiu
经济措施,jing'ji'cuo'shi
经济的发展,jing'ji'de'fa'zhan
经济基础,jing'ji'ji'chu
经济交流,jing'ji'jiao'liu
经济军事,jing'ji'jun'shi
经济联系已有,jing'ji'lian'xi'yi'you
泾渭平原,jing'wei'ping'yuan
就得到政府的,jiu'de'dao'zheng'fu'de
就科学技术,jiu'ke'xue'ji'shu
就是陕塬以西的,jiu'shi'shan'yuan'yi'xi'de
九原,jiu'yuan
居住区,ju'zhu'qu
军队数量多时达到,jun'dui'shu'liang'duo'shi'da'dao
军功授爵制,jun'gong'shou'jue'zhi
军功政策,jun'gong'zheng'ce
军事家,jun'shi'jia
郡下设县,jun'xia'she'xian
郡县的,jun'xian'de
郡增至余郡,jun'zeng'zhi'yu'jun
开国皇帝,kai'guo'huang'di
开始不断强大,kai'shi'bu'duan'qiang'da
开始了他,kai'shi'le'ta
开凿沟通,kai'zao'gou'tong
康公,kang'gong
克服周边各族,ke'fu'zhou'bian'ge'zu
刻石纪功,ke'shi'ji'gong
苛政猛于虎,ke'zheng'meng'yu'hu
控制在,kong'zhi'zai
厉公,li'gong
立胡亥,li'hu'hai
励精图治,li'jing'tu'zhi
骊山墓,li'shan'mu
历史发展的,li'shi'fa'zhan'de
李斯,li'si
连结起来,lian'jie'qi'lai
领导的,ling'dao'de
灵公,ling'gong
灵渠,ling'qu
陵区发现,ling'qu'fa'xian
陵园在,ling'yuan'zai
六国,liu'guo
六国以后,liu'guo'yi'hou
卢生逃亡,lu'sheng'tao'wang
率兵出击,lv'bing'chu'ji
吕不韦,lv'bu'wei
吕不韦之子,lv'bu'wei'zhi'zi
率童男女,lv'tong'nan'nv
旄旌,mao'jing
蒙恬,meng'tian
免除吕不韦,mian'chu'lv'bu'wei
灭蜀,mie'shu
民间所藏,min'jian'suo'cang
民族融合,min'zu'rong'he
命长子,ming'zhang'zi
名政,ming'zheng
穆公,mu'gong
墓葬区,mu'zang'qu
南到南海,nan'dao'nan'hai
南海等郡,nan'hai'deng'jun
难以忍受的,nan'yi'ren'shou'de
南至北向户,nan'zhi'bei'xiang'hu
能够作为一个,neng'gou'zuo'wei'yi'ge
年起,nian'qi
年秦,nian'qin
年至前,nian'zhi'qian
宁公,ning'gong
农民大起义,nong'min'da'qi'yi
农民是,nong'min'shi
农业生产发展,nong'ye'sheng'chan'fa'zhan
平原津,ping'yuan'jin
颇具特色,po'ju'te'se
其版图,qi'ban'tu
齐六国,qi'liu'guo
其他国家的重视,qi'ta'guo'jia'de'zhong'shi
其土地所有权,qi'tu'di'suo'you'quan
七雄之一,qi'xiong'zhi'yi
骑之分,qi'zhi'fen
前代,qian'dai
牵连儒生,qian'lian'ru'sheng
迁至关中,qian'zhi'guan'zhong
强大的,qiang'da'de
强吞弱,qiang'tun'ruo
羌中,qiang'zhong
且有较高的经济,qie'you'jiao'gao'de'jing'ji
秦朝,qin'chao
秦朝的疆域,qin'chao'de'jiang'yu
秦朝灭亡,qin'chao'mie'wang
秦朝是,qin'chao'shi
秦的统一,qin'de'tong'yi
秦二世胡亥,qin'er'shi'hu'hai
秦公陵园,qin'gong'ling'yuan
秦国成为,qin'guo'cheng'wei
秦国成为了,qin'guo'cheng'wei'le
秦国军队,qin'guo'jun'dui
秦国社会经济,qin'guo'she'hui'jing'ji
秦国是,qin'guo'shi
秦国实力最强,qin'guo'shi'li'zui'qiang
秦国在,qin'guo'zai
秦惠文王,qin'hui'wen'wang
秦郡数,qin'jun'shu
秦灭韩国,qin'mie'han'guo
秦灭韩亡魏,qin'mie'han'wang'wei
秦灭齐国,qin'mie'qi'guo
秦腔,qin'qiang
秦人是,qin'ren'shi
秦始皇,qin'shi'huang
秦始皇病死,qin'shi'huang'bing'si
秦始皇成为了,qin'shi'huang'cheng'wei'le
秦始皇即位后,qin'shi'huang'ji'wei'hou
秦始皇为,qin'shi'huang'wei
秦始皇巡游返至,qin'shi'huang'xun'you'fan'zhi
秦始皇于,qin'shi'huang'yu
秦始皇在,qin'shi'huang'zai
秦始建国,qin'shi'jian'guo
秦世系,qin'shi'xi
秦庭鹿,qin'ting'lu
秦统一中国之战,qin'tong'yi'zhong'guo'zhi'zhan
秦王不说,qin'wang'bu'shuo
秦王朝,qin'wang'chao
秦王色挠,qin'wang'se'nao
秦王嬴政,qin'wang'ying'zheng
秦王政,qin'wang'zheng
秦王政创立了,qin'wang'zheng'chuang'li'le
秦襄公,qin'xiang'gong
秦一直是,qin'yi'zhi'shi
秦越肥瘠,qin'yue'fei'ji
秦在,qin'zai
秦昭王,qin'zhao'wang
秦仲,qin'zhong
秦庄襄王,qin'zhuang'xiang'wang
秦庄襄王之子,qin'zhuang'xiang'wang'zhi'zi
秦最初,qin'zui'chu
请参看,qing'can'kan
清设陕西省,qing'she'shan'xi'sheng
清水县,qing'shui'xian
求神仙等等,qiu'shen'xian'deng'deng
求仙药,qiu'xian'yao
取全称中的,qu'quan'cheng'zhong'de
全部坑杀,quan'bu'keng'sha
全国范围内,quan'guo'fan'wei'nei
全国划分为,quan'guo'hua'fen'wei
确定之也由他,que'ding'zhi'ye'you'ta
确立皇权的,que'li'huang'quan'de
确立中央,que'li'zhong'yang
壬辰,ren'chen
人民的,ren'min'de
人民的苦难,ren'min'de'ku'nan
人殉,ren'xun
壬子,ren'zi
仍以农业为主,reng'yi'nong'ye'wei'zhu
容量重量,rong'liang'zhong'liang
三世,san'shi
三十七年,san'shi'qi'nian
三十四年,san'shi'si'nian
沙丘,sha'qiu
陕西的别称,shan'xi'de'bie'cheng
陕西节度使,shan'xi'jie'du'shi
陕西路,shan'xi'lu
陕西省的简称,shan'xi'sheng'de'jian'cheng
陕西始转化为,shan'xi'shi'zhuan'hua'wei
陕西一名,shan'xi'yi'ming
善养马,shan'yang'ma
商鞅变法,shang'yang'bian'fa
商鞅所制定的,shang'yang'suo'zhi'ding'de
少年成帝王,shao'nian'cheng'di'wang
社会经济,she'hui'jing'ji
社会经济的发展,she'hui'jing'ji'de'fa'zhan
设置丞相,she'zhi'cheng'xiang
设置桂林,she'zhi'gui'lin
申报土地数额,shen'bao'tu'di'shu'e
生产的发展,sheng'chan'de'fa'zhan
生活安定,sheng'huo'an'ding
生于赵国邯郸,sheng'yu'zhao'guo'han'dan
声曰,sheng'yue
使长度,shi'chang'du
是春秋,shi'chun'qiu
士大夫,shi'da'fu
士大夫与国人墓葬,shi'da'fu'yu'guo'ren'mu'zang
十二诸侯年表,shi'er'zhu'hou'nian'biao
十分有用,shi'fen'you'yong
始皇,shi'huang
始皇帝,shi'huang'di
始皇帝也,shi'huang'di'ye
始皇末年,shi'huang'mo'nian
始皇三十一年,shi'huang'san'shi'yi'nian
始皇少子,shi'huang'shao'zi
史记,shi'ji
时年,shi'nian
十年灭六国,shi'nian'mie'liu'guo
时期的,shi'qi'de
实现统一的,shi'xian'tong'yi'de
实行奖励,shi'xing'jiang'li
释义,shi'yi
是嬴政,shi'ying'zheng
是由,shi'you
是中国,shi'zhong'guo
收藏武器,shou'cang'wu'qi
手工业以,shou'gong'ye'yi
寿终却归西,shou'zhong'que'gui'xi
数千人,shu'qian'ren
属于中国,shu'yu'zhong'guo
水利工程,shui'li'gong'cheng
水陆交通,shui'lu'jiao'tong
水色黑,shui'se'hei
水主阴,shui'zhu'yin
说文,shuo'wen
四百余人,si'bai'yu'ren
四十八年正月,si'shi'ba'nian'zheng'yue
宋设,song'she
岁称帝,sui'cheng'di
随后因,sui'hou'yin
岁即王位,sui'ji'wang'wei
所把持,suo'ba'chi
所以华夏族,suo'yi'hua'xia'zu
所以有人说,suo'yi'you'ren'shuo
他们的,ta'men'de
他们希望,ta'men'xi'wang
他亲理国事,ta'qin'li'guo'shi
它是一个,ta'shi'yi'ge
他在,ta'zai
太尉,tai'wei
提供了,ti'gong'le
天上星,tian'shang'xing
痛苦和负担,tong'ku'he'fu'dan
统帅,tong'shuai
通向燕齐和,tong'xiang'yan'qi'he
通行全国,tong'xing'quan'guo
统一的,tong'yi'de
统一的法律,tong'yi'de'fa'lv
统一东方,tong'yi'dong'fang
统一度量衡,tong'yi'du'liang'heng
统一货币,tong'yi'huo'bi
统一局面,tong'yi'ju'mian
统一六国之后,tong'yi'liu'guo'zhi'hou
统一全国币制,tong'yi'quan'guo'bi'zhi
统一全国的,tong'yi'quan'guo'de
统一全中国,tong'yi'quan'zhong'guo
统一时机的成熟,tong'yi'shi'ji'de'cheng'shu
统一事业,tong'yi'shi'ye
统一中国,tong'yi'zhong'guo
统一最热诚,tong'yi'zui're'cheng
统治全国各地,tong'zhi'quan'guo'ge'di
土地私有制,tu'di'si'you'zhi
推行郡县制度,tui'xing'jun'xian'zhi'du
瓦当,wa'dang
完成封建,wan'cheng'feng'jian
万里长城,wan'li'chang'cheng
王翦,wang'jian
为标准,wei'biao'zhun
魏策,wei'ce
为都城,wei'du'cheng
为发展全国,wei'fa'zhan'quan'guo
为基础,wei'ji'chu
为基础制定,wei'ji'chu'zhi'ding
为建立,wei'jian'li
尉缭,wei'liao
为秦国地,wei'qin'guo'di
为求,wei'qiu
为太子,wei'tai'zi
为依据,wei'yi'ju
位于女宿,wei'yu'nv'su
伪造遗诏,wei'zao'yi'zhao
文公,wen'gong
文化水平,wen'hua'shui'ping
我国历史上,wo'guo'li'shi'shang
五尺道,wu'chi'dao
吴楚地区的,wu'chu'di'qu'de
五次大规模,wu'ci'da'gui'mo
五德终始说,wu'de'zhong'shi'shuo
武公,wu'gong
吴广,wu'guang
武器装备,wu'qi'zhuang'bei
武王,wu'wang
西到陇西,xi'dao'long'xi
吸收六国法律,xi'shou'liu'guo'fa'lv
西至临洮,xi'zhi'lin'tao
下令销毁,xia'ling'xiao'hui
下令占有土地,xia'ling'zhan'you'tu'di
献公,xian'gong
先后进行,xian'hou'jin'xing
先后灭韩,xian'hou'mie'han
咸阳,xian'yang
咸阳经,xian'yang'jing
相当巩固的,xiang'dang'gong'gu'de
向东求仙,xiang'dong'qiu'xian
襄公,xiang'gong
相国,xiang'guo
相国吕不韦,xiang'guo'lv'bu'wei
湘江和漓江的,xiang'jiang'he'li'jiang'de
象郡,xiang'jun
相去遥远,xiang'qu'yao'yuan
孝公,xiao'gong
销毁没收,xiao'hui'mo'shou
孝文王,xiao'wen'wang
小篆,xiao'zhuan
辛亥,xin'hai
形成一个,xing'cheng'yi'ge
星官名,xing'guan'ming
行省,xing'sheng
姓赵,xing'zhao
行政机构,xing'zheng'ji'gou
行至,xing'zhi
匈奴,xiong'nu
修建豪华的,xiu'jian'hao'hua'de
修建了,xiu'jian'le
修建由,xiu'jian'you
修筑了,xiu'zhu'le
修筑西起临洮,xiu'zhu'xi'qi'lin'tao
徐福,xu'fu
宣布子孙称,xuan'bu'zi'sun'cheng
宣公,xuan'gong
炫耀声威,xuan'yao'sheng'wei
殉葬物品丰富,xun'zang'wu'pin'feng'fu
燕三国,yan'san'guo
也比较落后,ye'bi'jiao'luo'hou
也就是所谓,ye'jiu'shi'suo'wei
也渴望统一,ye'ke'wang'tong'yi
也牢牢地,ye'lao'lao'de
冶铜和制陶,ye'tong'he'zhi'tao
也许正,ye'xu'zheng
以保证,yi'bao'zheng
以打破限制,yi'da'po'xian'zhi
一定程度,yi'ding'cheng'du
已发掘到,yi'fa'jue'dao
以防止,yi'fang'zhi
衣服,yi'fu
一个比较弱,yi'ge'bi'jiao'ruo
一个大国,yi'ge'da'guo
一个诸侯国,yi'ge'zhu'hou'guo
以及纷争混战,yi'ji'fen'zheng'hun'zhan
以及由,yi'ji'you
已具备,yi'ju'bei
以六为数,yi'liu'wei'shu
乙卯,yi'mao
一切大权,yi'qie'da'quan
以秦得水德,yi'qin'de'shui'de
以秦国,yi'qin'guo
以秦国通行,yi'qin'guo'tong'xing
一说赵姓,yi'shuo'zhao'xing
一系列措施,yi'xi'lie'cuo'shi
以咸阳,yi'xian'yang
一整套,yi'zheng'tao
一直到,yi'zhi'dao
一直到前,yi'zhi'dao'qian
一直没有受到,yi'zhi'mei'you'shou'dao
以至万世,yi'zhi'wan'shi
因此将他们,yin'ci'jiang'ta'men
因此它,yin'ci'ta
阴代表刑杀,yin'dai'biao'xing'sha
因而规定,yin'er'gui'ding
因秦,yin'qin
因为封建割据,yin'wei'feng'jian'ge'ju
因为它,yin'wei'ta
阴阳家,yin'yang'jia
嬴姓,ying'xing
嬴政,ying'zheng
嬴政规定,ying'zheng'gui'ding
嬴政统一,ying'zheng'tong'yi
雍城,yong'cheng
雍城陵区,yong'cheng'ling'qu
雍建都,yong'jian'du
有宫殿区,you'gong'dian'qu
有利于,you'li'yu
又明令,you'ming'ling
又派方士徐,you'pai'fang'shi'xu
又实行,you'shi'xing
由统一之初的,you'tong'yi'zhi'chu'de
又因辖区,you'yin'xia'qu
由于生产力,you'yu'sheng'chan'li
舆乘,yu'cheng
与地上,yu'di'shang
与国人,yu'guo'ren
与吕不韦,yu'lv'bu'wei
御史大夫,yu'shi'da'fu
于是以此,yu'shi'yi'ci
于是作书,yu'shi'zuo'shu
于咸阳,yu'xian'yang
愈战愈勇,yu'zhan'yu'yong
喻指,yu'zhi
元设陕西,yuan'she'shan'xi
圆形方孔钱,yuan'xing'fang'kong'qian
原有的,yuan'you'de
源于周代,yuan'yu'zhou'dai
云阳,yun'yang
在春秋时代,zai'chun'qiu'shi'dai
在当时,zai'dang'shi
在地方,zai'di'fang
在皇帝的,zai'huang'di'de
在今,zai'jin
在今陕西甘肃一带,zai'jin'shan'xi'gan'su'yi'dai
在今陕西和甘肃一带,zai'jin'shan'xi'he'gan'su'yi'dai
在今陕西中部,zai'jin'shan'xi'zhong'bu
在今天陕西省,zai'jin'tian'shan'xi'sheng
在经济上推行,zai'jing'ji'shang'tui'xing
在名山胜地,zai'ming'shan'sheng'di
在统一六国后,zai'tong'yi'liu'guo'hou
在文化思想方面,zai'wen'hua'si'xiang'fang'mian
在西南地区,zai'xi'nan'di'qu
在征服,zai'zheng'fu
在中国境内,zai'zhong'guo'jing'nei
在中央,zai'zhong'yang
葬仪,zang'yi
躁公,zao'gong
战国策,zhan'guo'ce
战国长期的,zhan'guo'chang'qi'de
战国初期,zhan'guo'chu'qi
战国末年,zhan'guo'mo'nian
战国时,zhan'guo'shi
战国时代,zhan'guo'shi'dai
战国以来,zhan'guo'yi'lai
掌握实权,zhang'wo'shi'quan
赵高勾结,zhao'gao'gou'jie
昭王,zhao'wang
这对,zhe'dui
这个形势,zhe'ge'xing'shi
这给,zhe'gei
郑国渠,zheng'guo'qu
政教合一,zheng'jiao'he'yi
政区名称,zheng'qu'ming'cheng
正式成为,zheng'shi'cheng'wei
正式进入,zheng'shi'jin'ru
政治措施,zheng'zhi'cuo'shi
政治改革,zheng'zhi'gai'ge
政治家,zheng'zhi'jia
直达,zhi'da
直道,zhi'dao
制定和颁行,zhi'ding'he'ban'xing
至东海,zhi'dong'hai
至高无上,zhi'gao'wu'shang
之后所,zhi'hou'suo
直接控制下,zhi'jie'kong'zhi'xia
至辽东,zhi'liao'dong
指秦朝的政权,zhi'qin'chao'de'zheng'quan
芷阳,zhi'yang
只要向政府,zhi'yao'xiang'zheng'fu
之义,zhi'yi
之子,zhi'zi
中国历史,zhong'guo'li'shi
中国历史上,zhong'guo'li'shi'shang
中国历史上的,zhong'guo'li'shi'shang'de
中国历史上第一个,zhong'guo'li'shi'shang'di'yi'ge
中国统一的,zhong'guo'tong'yi'de
重农抑商政策,zhong'nong'yi'shang'zheng'ce
终数六,zhong'shu'liu
中心力量,zhong'xin'li'liang
中央集权,zhong'yang'ji'quan
中央集权的,zhong'yang'ji'quan'de
中央集权制度,zhong'yang'ji'quan'zhi'du
中央集权制国家,zhong'yang'ji'quan'zhi'guo'jia
中央直至,zhong'yang'zhi'zhi
终于建立了,zhong'yu'jian'li'le
周朝的秦国,zhou'chao'de'qin'guo
周朝国名,zhou'chao'guo'ming
周代,zhou'dai
周武王,zhou'wu'wang
周召二公,zhou'zhao'er'gong
诸侯割据称雄,zhu'hou'ge'ju'cheng'xiong
诸侯国名,zhu'hou'guo'ming
逐渐融合,zhu'jian'rong'he
逐渐使,zhu'jian'shi
朱骏,zhu'jun
著名军事家,zhu'ming'jun'shi'jia
铸铁农具,zhu'tie'nong'ju
专名用字,zhuan'ming'yong'zi
专制主义,zhuan'zhi'zhu'yi
庄公,zhuang'gong
庄襄王,zhuang'xiang'wang
庄襄王死,zhuang'xiang'wang'si
自称,zi'cheng
自耕农,zi'geng'nong
自公元前,zi'gong'yuan'qian
自己手里,zi'ji'shou'li
自前,zi'qian
自商鞅变法,zi'shang'yang'bian'fa
自身的利益,zi'shen'de'li'yi
字形王级墓制,zi'xing'wang'ji'mu'zhi
字形诸侯级墓制,zi'xing'zhu'hou'ji'mu'zhi
字作为简称,zi'zuo'wei'jian'cheng
最高统治者,zui'gao'tong'zhi'zhe
最为发达,zui'wei'fa'da
作为统一的货币,zuo'wei'tong'yi'de'huo'bi
