阿海,a'hai
单位流量,dan'wei'liu'liang
单位水力矩,dan'wei'shui'li'ju
单位水推力,dan'wei'shui'tui'li
单位转速,dan'wei'zhuan'su
导电管,dao'dian'guan
导水机构,dao'shui'ji'gou
导水机构部分,dao'shui'ji'gou'bu'fen
导水机构中心线,dao'shui'ji'gou'zhong'xin'xian
导叶,dao'ye
导叶臂,dao'ye'bi
导叶端面密封,dao'ye'duan'mian'mi'feng
导叶分布圆,dao'ye'fen'bu'yuan
导叶高度,dao'ye'gao'du
导叶过载保护,dao'ye'guo'zai'bao'hu
导叶过载保护装置,dao'ye'guo'zai'bao'hu'zhuang'zhi
导叶接力器,dao'ye'jie'li'qi
导叶开口,dao'ye'kai'kou
导叶立面密封,dao'ye'li'mian'mi'feng
导叶力特性,dao'ye'li'te'xing
导叶连杆,dao'ye'lian'gan
导叶调节装置,dao'ye'tiao'jie'zhuang'zhi
导叶限位,dao'ye'xian'wei
导叶限位块,dao'ye'xian'wei'kuai
导叶止推轴承,dao'ye'zhi'tui'zhou'cheng
导叶止推装置,dao'ye'zhi'tui'zhuang'zhi
导叶轴,dao'ye'zhou
导叶轴承,dao'ye'zhou'cheng
导叶轴密封,dao'ye'zhou'mi'feng
导轴承,dao'zhou'cheng
导轴承中心线,dao'zhou'cheng'zhong'xin'xian
等离子切割机,deng'li'zi'qie'ge'ji
灯泡式水轮机,deng'pao'shi'shui'lun'ji
灯泡体,deng'pao'ti
灯泡体支柱,deng'pao'ti'zhi'zhu
低负荷非正常运行区,di'fu'he'fei'zheng'chang'yun'xing'qu
底环,di'huan
底角板,di'jiao'ban
低压测量断面,di'ya'ce'liang'duan'mian
第一部分附录,di'yi'bu'fen'fu'lu
垫板,dian'ban
点焊,dian'han
电焊件,dian'han'jian
电焊件退火工艺守则,dian'han'jian'tui'huo'gong'yi'shou'ze
电弧点焊,dian'hu'dian'han
电弧缝焊,dian'hu'feng'han
电弧焊,dian'hu'han
电极,dian'ji
垫片,dian'pian
垫平,dian'ping
电气焊,dian'qi'han
垫条,dian'tiao
垫稳,dian'wen
电渣焊,dian'zha'han
电渣焊电极,dian'zha'han'dian'ji
电站空化系数,dian'zhan'kong'hua'xi'shu
电站水头,dian'zhan'shui'tou
电站最大水头,dian'zhan'zui'da'shui'tou
电站最小水头,dian'zhan'zui'xiao'shui'tou
电子设备厂,dian'zi'she'bei'chang
电子束焊,dian'zi'shu'han
电阻焊电极,dian'zu'han'dian'ji
吊耳,diao'er
刁丽英,diao'li'ying
吊攀,diao'pan
吊装,diao'zhuang
吊装中心体,diao'zhuang'zhong'xin'ti
顶盖,ding'gai
顶环板,ding'huan'ban
顶油管,ding'you'guan
定子机座,ding'zi'ji'zuo
定子铁芯,ding'zi'tie'xin
端板,duan'ban
端盖,duan'gai
锻件,duan'jian
短路焊,duan'lu'han
堆焊层,dui'han'ceng
堆焊缓冲层,dui'han'huan'chong'ceng
对接接头,dui'jie'jie'tou
对正,dui'zheng
多股电极,duo'gu'dian'ji
多级式蓄能泵,duo'ji'shi'xu'neng'beng
多级水泵水轮机,duo'ji'shui'beng'shui'lun'ji
额定比转速,e'ding'bi'zhuan'su
额定功率,e'ding'gong'lv
额定流量,e'ding'liu'liang
额定水头,e'ding'shui'tou
额定值,e'ding'zhi
额定转速,e'ding'zhuan'su
发出最大功率的流量,fa'chu'zui'da'gong'lv'de'liu'liang
发出最大功率的水头,fa'chu'zui'da'gong'lv'de'shui'tou
法兰板,fa'lan'ban
发射涂料焊条,fa'she'tu'liao'han'tiao
反击式水轮机,fan'ji'shi'shui'lun'ji
反击式水轮机空蚀评定,fan'ji'shi'shui'lun'ji'kong'shi'ping'ding
翻身架,fan'shen'jia
反向止推轴承,fan'xiang'zhi'tui'zhou'cheng
方钢,fang'gang
方钢拉筋,fang'gang'la'jin
放样,fang'yang
放样线,fang'yang'xian
防止变形,fang'zhi'bian'xing
飞逸工况,fei'yi'gong'kuang
飞逸试验,fei'yi'shi'yan
飞逸特性曲线,fei'yi'te'xing'qu'xian
飞逸转速,fei'yi'zhuan'su
非正常运行的功率上限,fei'zheng'chang'yun'xing'de'gong'lv'shang'xian
非正常运行的功率下限,fei'zheng'chang'yun'xing'de'gong'lv'xia'xian
分半键,fen'ban'jian
分瓣式中间环,fen'ban'shi'zhong'jian'huan
分瓣数,fen'ban'shu
分厂,fen'chang
分段退步焊接,fen'duan'tui'bu'han'jie
分流管,fen'liu'guan
风铲,feng'chan
封底,feng'di
枫树坝,feng'shu'ba
凤滩,feng'tan
腹板,fu'ban
付康,fu'kang
附录,fu'lu
负载试验,fu'zai'shi'yan
副轴,fu'zhou
盖板,gai'ban
甘洪丰,gan'hong'feng
感应焊,gan'ying'han
钢板,gang'ban
钢板热成型工艺守则,gang'ban're'cheng'xing'gong'yi'shou'ze
钢琴线,gang'qin'xian
高程,gao'cheng
高压测量断面,gao'ya'ce'liang'duan'mian
高压顶油管,gao'ya'ding'you'guan
高压油顶起,gao'ya'you'ding'qi
各层,ge'ceng
割出坡口,ge'chu'po'kou
葛为民,ge'wei'min
割渣,ge'zha
公称型线,gong'cheng'xing'xian
工具螺钉,gong'ju'luo'ding
工况,gong'kuang
功率,gong'lv
工艺部,gong'yi'bu
工艺守则,gong'yi'shou'ze
固定导叶,gu'ding'dao'ye
固定抗磨止漏环,gu'ding'kang'mo'zhi'lou'huan
固定可拆卸构件,gu'ding'ke'chai'xie'gou'jian
固定止漏环,gu'ding'zhi'lou'huan
官地,guan'di
关富雷,guan'fu'lei
灌江砂后加热弯形,guan'jiang'sha'hou'jia're'wan'xing
贯流式,guan'liu'shi
贯流式水轮机,guan'liu'shi'shui'lun'ji
管形座,guan'xing'zuo
管形座内壳,guan'xing'zuo'nei'ke
观音岩,guan'yin'yan
滚板机,gun'ban'ji
滚压成形,gun'ya'cheng'xing
过渡过程,guo'du'guo'cheng
过流面,guo'liu'mian
过流面积,guo'liu'mian'ji
焊缝,han'feng
焊缝搭焊点,han'feng'da'han'dian
焊剂,han'ji
焊机,han'ji
焊角尺寸,han'jiao'chi'cun
焊接工艺规范,han'jie'gong'yi'gui'fan
焊接工艺规范参照,han'jie'gong'yi'gui'fan'can'zhao
焊接规范,han'jie'gui'fan
焊接滚轮架,han'jie'gun'lun'jia
焊接结构,han'jie'jie'gou
焊接结构自由公差标准,han'jie'jie'gou'zi'you'gong'cha'biao'zhun
焊接面,han'jie'mian
焊接顺序,han'jie'shun'xu
焊接位置,han'jie'wei'zhi
焊瘤,han'liu
焊前预热,han'qian'yu're
焊丝,han'si
焊态,han'tai
焊透,han'tou
焊至图纸尺寸,han'zhi'tu'zhi'chi'cun
合缝错牙,he'feng'cuo'ya
合缝面,he'feng'mian
合缝面法兰,he'feng'mian'fa'lan
合格后转加工,he'ge'hou'zhuan'jia'gong
盒型筋,he'xing'jin
横焊,heng'han
洪都拉斯,hong'du'la'si
后焊法,hou'han'fa
蝴蝶阀,hu'die'fa
弧焊电极,hu'han'dian'ji
弧伤,hu'shang
划通风孔位置线,hua'tong'feng'kong'wei'zhi'xian
划线割掉成型余量,hua'xian'ge'diao'cheng'xing'yu'liang
环板,huan'ban
环板半径,huan'ban'ban'jing
环缝,huan'feng
环焊缝,huan'han'feng
环筋,huan'jin
环境压力,huan'jing'ya'li
换算的空蚀保证量,huan'suan'de'kong'shi'bao'zheng'liang
回送导叶,hui'song'dao'ye
回送环,hui'song'huan
混合气体保护焊,hun'he'qi'ti'bao'hu'han
混流式,hun'liu'shi
混流式水轮机,hun'liu'shi'shui'lun'ji
混流式蓄能泵,hun'liu'shi'xu'neng'beng
混流式转轮公称直径,hun'liu'shi'zhuan'lun'gong'cheng'zhi'jing
活动导叶,huo'dong'dao'ye
活性焊剂,huo'xing'han'ji
基础环,ji'chu'huan
机动焊,ji'dong'han
积分平均效率,ji'fen'ping'jun'xiao'lv
机壳,ji'ke
机壳盖,ji'ke'gai
机坑,ji'keng
机坑里衬,ji'keng'li'chen
基准运行时间,ji'zhun'yun'xing'shi'jian
机组,ji'zu
加强筋板,jia'qiang'jin'ban
加强圈,jia'qiang'quan
加权平均水头,jia'quan'ping'jun'shui'tou
加权平均效率,jia'quan'ping'jun'xiao'lv
贾瑞燕,jia'rui'yan
夹渣,jia'zha
检查涂漆质量,jian'cha'tu'qi'zhi'liang
检查样板,jian'cha'yang'ban
检查样板架,jian'cha'yang'ban'jia
剪床,jian'chuang
剪断销,jian'duan'xiao
检修密封,jian'xiu'mi'feng
检修平台,jian'xiu'ping'tai
江砂,jiang'sha
江砂使用前烘干,jiang'sha'shi'yong'qian'hong'gan
角钢,jiao'gang
角焊缝,jiao'han'feng
角接接头,jiao'jie'jie'tou
角向,jiao'xiang
角向砂轮机,jiao'xiang'sha'lun'ji
结构部件,jie'gou'bu'jian
接合,jie'he
解体,jie'ti
接头,jie'tou
接头熔深,jie'tou'rong'shen
节圆直径,jie'yuan'zhi'jing
进出水室,jin'chu'shui'shi
进口角度,jin'kou'jiao'du
进口流道,jin'kou'liu'dao
锦屏,jin'ping
金属极,jin'shu'ji
金属芯焊丝,jin'shu'xin'han'si
进水阀门公称直径,jin'shui'fa'men'gong'cheng'zhi'jing
进水阀门基本技术条件,jin'shui'fa'men'ji'ben'ji'shu'tiao'jian
净水头,jing'shui'tou
径向力,jing'xiang'li
井字梁,jing'zi'liang
锯床,ju'chuang
绝对压力,jue'dui'ya'li
均压管,jun'ya'guan
卡基娃,ka'ji'wa
卡里巴,ka'li'ba
开口,kai'kou
看线,kan'xian
抗磨板,kang'mo'ban
可更换导叶,ke'geng'huan'dao'ye
科卡科多辛克雷,ke'ka'ke'duo'xin'ke'lei
可逆式水轮机,ke'ni'shi'shui'lun'ji
可调式水利机械,ke'tiao'shi'shui'li'ji'xie
空化,kong'hua
空化和空蚀,kong'hua'he'kong'shi
空化试验,kong'hua'shi'yan
空化裕量,kong'hua'yu'liang
空蚀,kong'shi
空蚀保证量,kong'shi'bao'zheng'liang
空蚀保证期,kong'shi'bao'zheng'qi
空蚀量,kong'shi'liang
空蚀面积,kong'shi'mian'ji
空蚀面积保证系数,kong'shi'mian'ji'bao'zheng'xi'shu
空蚀深度,kong'shi'shen'du
空蚀深度保证系数,kong'shi'shen'du'bao'zheng'xi'shu
空蚀体积,kong'shi'ti'ji
空蚀质量,kong'shi'zhi'liang
空蚀质量保证系数,kong'shi'zhi'liang'bao'zheng'xi'shu
空载工况,kong'zai'gong'kuang
控制环,kong'zhi'huan
控制设备事业部,kong'zhi'she'bei'shi'ye'bu
空中翻身,kong'zhong'fan'shen
扩散管,kuo'san'guan
扩散环,kuo'san'huan
扩散室,kuo'san'shi
廊道,lang'dao
乐昌峡,le'chang'xia
肋板,lei'ban
类型,lei'xing
冷作,leng'zuo
立焊,li'han
立焊缝,li'han'feng
立筋,li'jin
立圈,li'quan
李荣生,li'rong'sheng
立式机组,li'shi'ji'zu
力特性,li'te'xing
力特性试验,li'te'xing'shi'yan
溧阳,li'yang
联动机构,lian'dong'ji'gou
连杆,lian'gan
连接板,lian'jie'ban
联轴螺钉,lian'zhou'luo'ding
联轴螺栓,lian'zhou'luo'shuan
两瓣,liang'ban
梁旭阳,liang'xu'yang
裂纹,lie'wen
临界空化系数,lin'jie'kong'hua'xi'shu
临界气蚀系数,lin'jie'qi'shi'xi'shu
林磊,lin'lei
流道参数,liu'dao'can'shu
流量,liu'liang
柳树沟,liu'shu'gou
刘玉兰,liu'yu'lan
龙开口,long'kai'kou
卢昌福,lu'chang'fu
轮毂,lun'gu
轮盘,lun'pan
轮叶,lun'ye
裸电极,luo'dian'ji
螺孔,luo'kong
螺纹孔,luo'wen'kong
螺旋拉紧器,luo'xuan'la'jin'qi
吕胜海,lv'sheng'hai
马里费鲁,ma'li'fei'lu
马丘比丘,ma'qiu'bi'qiu
脉冲焊,mai'chong'han
埋弧焊,mai'hu'han
埋弧焊机,mai'hu'han'ji
埋入部件,mai'ru'bu'jian
毛水头,mao'shui'tou
米尺,mi'chi
名称,ming'cheng
名义尺寸,ming'yi'chi'cun
摩擦焊,mo'ca'han
摩擦装置,mo'ca'zhuang'zhi
磨蚀,mo'shi
磨损,mo'sun
模型,mo'xing
模型机,mo'xing'ji
模型试验,mo'xing'shi'yan
模型验收试验,mo'xing'yan'shou'shi'yan
模型验收试验规程,mo'xing'yan'shou'shi'yan'gui'cheng
母材,mu'cai
沐若,mu'ruo
沐若生态小机,mu'ruo'sheng'tai'xiao'ji
耐压试验,nai'ya'shi'yan
内导环,nei'dao'huan
内导水环,nei'dao'shui'huan
内顶盖,nei'ding'gai
内径千分尺,nei'jing'qian'fen'chi
内配水环,nei'pei'shui'huan
内圆,nei'yuan
内藏式喷针接力器,nei'zang'shi'pen'zhen'jie'li'qi
内罩,nei'zhao
糯扎渡,nuo'zha'du
爬焊,pa'han
排出高度,pai'chu'gao'du
排水管,pai'shui'guan
盘形阀,pan'xing'fa
旁通阀,pang'tong'fa
泡头,pao'tou
泡头球壁,pao'tou'qiu'bi
泡头球壁压模,pao'tou'qiu'bi'ya'mu
配割,pei'ge
配割余量,pei'ge'yu'liang
喷丸室,pen'wan'shi
喷针,pen'zhen
喷针杆,pen'zhen'gan
喷针接力器,pen'zhen'jie'li'qi
喷针头,pen'zhen'tou
喷针折向器反馈器,pen'zhen'zhe'xiang'qi'fan'kui'qi
喷嘴,pen'zui
喷嘴口,pen'zui'kou
喷嘴体,pen'zui'ti
喷嘴罩,pen'zui'zhao
喷嘴支管,pen'zui'zhi'guan
喷嘴装配,pen'zui'zhuang'pei
偏流器,pian'liu'qi
拼焊缝,pin'han'feng
拼焊坡口朝上,pin'han'po'kou'chao'shang
频率,pin'lv
平板蝶阀,ping'ban'die'fa
平焊,ping'han
平均流速,ping'jun'liu'su
平行度,ping'xing'du
坡口,po'kou
坡口焊缝,po'kou'han'feng
坡口线,po'kou'xian
起吊管,qi'diao'guan
汽发,qi'fa
气割面,qi'ge'mian
气割枪,qi'ge'qiang
汽化压力,qi'hua'ya'li
气蚀,qi'shi
气蚀磨损,qi'shi'mo'sun
气蚀损坏,qi'shi'sun'huai
其它部件,qi'ta'bu'jian
气体垫,qi'ti'dian
千斤顶,qian'jin'ding
铅坠,qian'zhui
乔宏来,qiao'hong'lai
切割机辅助工具,qie'ge'ji'fu'zhu'gong'ju
秦坤涛,qin'kun'tao
清根,qing'gen
清理,qing'li
清理修整部分及割渣,qing'li'xiu'zheng'bu'fen'ji'ge'zha
球阀,qiu'fa
球缺形壁,qiu'que'xing'bi
全贯流式水轮机,quan'guan'liu'shi'shui'lun'ji
缺陷,que'xian
燃料气体,ran'liao'qi'ti
热滚校圆,re'gun'xiao'yuan
热影响区,re'ying'xiang'qu
熔滴过渡,rong'di'guo'du
熔合,rong'he
熔合线,rong'he'xian
熔化极气体保护焊,rong'hua'ji'qi'ti'bao'hu'han
熔化喷焊,rong'hua'pen'han
熔化性填塞,rong'hua'xing'tian'sai
熔宽,rong'kuan
熔深,rong'shen
熔嘴电渣焊,rong'zui'dian'zha'han
砂轮机,sha'lun'ji
砂轮机打磨光滑,sha'lun'ji'da'mo'guang'hua
筛紧,shai'jin
扇形球壁,shan'xing'qiu'bi
上阿特巴拉,shang'a'te'ba'la
上齿压板,shang'chi'ya'ban
上齿压板装焊胎具,shang'chi'ya'ban'zhuang'han'tai'ju
上导轴承,shang'dao'zhou'cheng
上导轴承座,shang'dao'zhou'cheng'zuo
上冠,shang'guan
上环板,shang'huan'ban
上机架,shang'ji'jia
上机壳,shang'ji'ke
上筋板,shang'jin'ban
上下环板,shang'xia'huan'ban
上翼板,shang'yi'ban
上圆板,shang'yuan'ban
舌板,she'ban
设计比转速,she'ji'bi'zhuan'su
设计部,she'ji'bu
设计洪水位,she'ji'hong'shui'wei
设计名义尺寸,she'ji'ming'yi'chi'cun
设计水头,she'ji'shui'tou
设计尾水位,she'ji'wei'shui'wei
射流入射角,she'liu'ru'she'jiao
射流椭圆,she'liu'tuo'yuan
射流直径,she'liu'zhi'jing
射流直径比,she'liu'zhi'jing'bi
施焊,shi'han
实际尺寸,shi'ji'chi'cun
实际运行时间,shi'ji'yun'xing'shi'jian
试件,shi'jian
石棉绳,shi'mian'sheng
实体,shi'ti
试验方面,shi'yan'fang'mian
试验类型,shi'yan'lei'xing
十字型,shi'zi'xing
手工焊,shou'gong'han
手工开坡口,shou'gong'kai'po'kou
手拉葫芦,shou'la'hu'lu
受油器,shou'you'qi
竖筋,shu'jin
竖井贯流式水轮机,shu'jing'guan'liu'shi'shui'lun'ji
竖井头,shu'jing'tou
数控气割机,shu'kong'qi'ge'ji
数控气割下料,shu'kong'qi'ge'xia'liao
甩负荷试验,shuai'fu'he'shi'yan
双幅板转子支架,shuang'fu'ban'zhuan'zi'zhi'jia
双击式水轮机,shuang'ji'shi'shui'lun'ji
双面焊搭接接头,shuang'mian'han'da'jie'jie'tou
双面焊对接接头,shuang'mian'han'dui'jie'jie'tou
水泵水轮机,shui'beng'shui'lun'ji
水泵水轮机全特性,shui'beng'shui'lun'ji'quan'te'xing
水锤,shui'chui
水的重度,shui'de'zhong'du
水电,shui'dian
水电加工,shui'dian'jia'gong
水斗,shui'dou
水斗式水轮机,shui'dou'shi'shui'lun'ji
水利机械,shui'li'ji'xie
水轮机,shui'lun'ji
水轮机比转速,shui'lun'ji'bi'zhuan'su
水轮机出口测量断面,shui'lun'ji'chu'kou'ce'liang'duan'mian
水轮机出口面积,shui'lun'ji'chu'kou'mian'ji
水轮机出口压强,shui'lun'ji'chu'kou'ya'qiang
水轮机的比转速,shui'lun'ji'de'bi'zhuan'su
水轮机额定输出功率,shui'lun'ji'e'ding'shu'chu'gong'lv
水轮机飞逸转速,shui'lun'ji'fei'yi'zhuan'su
水轮机功率,shui'lun'ji'gong'lv
水轮机功率试验,shui'lun'ji'gong'lv'shi'yan
水轮机基本技术条件,shui'lun'ji'ji'ben'ji'shu'tiao'jian
水轮机技术保证,shui'lun'ji'ji'shu'bao'zheng
水轮机机械效率,shui'lun'ji'ji'xie'xiao'lv
水轮机加权平均效率,shui'lun'ji'jia'quan'ping'jun'xiao'lv
水轮机进口测量断面,shui'lun'ji'jin'kou'ce'liang'duan'mian
水轮机进口面积,shui'lun'ji'jin'kou'mian'ji
水轮机进口压强,shui'lun'ji'jin'kou'ya'qiang
水轮机空化系数,shui'lun'ji'kong'hua'xi'shu
水轮机空载流量,shui'lun'ji'kong'zai'liu'liang
水轮机流量,shui'lun'ji'liu'liang
水轮机试验,shui'lun'ji'shi'yan
水轮机输出功率,shui'lun'ji'shu'chu'gong'lv
水轮机输入功率,shui'lun'ji'shu'ru'gong'lv
水轮机水力效率,shui'lun'ji'shui'li'xiao'lv
水轮机水头,shui'lun'ji'shui'tou
水轮机效率,shui'lun'ji'xiao'lv
水轮机正常运行区,shui'lun'ji'zheng'chang'yun'xing'qu
水轮机转轮公称直径,shui'lun'ji'zhuan'lun'gong'cheng'zhi'jing
水轮机转速,shui'lun'ji'zhuan'su
水轮机最大瞬态压力,shui'lun'ji'zui'da'shun'tai'ya'li
水轮机最大瞬态转速,shui'lun'ji'zui'da'shun'tai'zhuan'su
水头,shui'tou
水推力,shui'tui'li
水位,shui'wei
水准仪,shui'zhun'yi
瞬态压力变化率,shun'tai'ya'li'bian'hua'lv
瞬态转速变化率,shun'tai'zhuan'su'bian'hua'lv
死水位,si'shui'wei
速度比能,su'du'bi'neng
速度水头,su'du'shui'tou
胎具,tai'ju
碳电极,tan'dian'ji
碳弧气刨机,tan'hu'qi'bao'ji
探伤,tan'shang
套材,tao'cai
陶瓷衬垫,tao'ci'chen'dian
套料,tao'liao
特性曲线,te'xing'qu'xian
特性试验,te'xing'shi'yan
填充金属,tian'chong'jin'shu
调节保证,tiao'jie'bao'zheng
调节装置,tiao'jie'zhuang'zhi
调平,tiao'ping
调速轴,tiao'su'zhou
铁素体数值,tie'su'ti'shu'zhi
铁丸,tie'wan
通风孔,tong'feng'kong
通风孔位置线,tong'feng'kong'wei'zhi'xian
通流部件技术条件,tong'liu'bu'jian'ji'shu'tiao'jian
投影线,tou'ying'xian
凸凹缺陷,tu'ao'que'xian
涂料焊条,tu'liao'han'tiao
涂漆,tu'qi
退火,tui'huo
退火炉,tui'huo'lu
推拉杆,tui'la'gan
托口,tuo'kou
椭圆筒,tuo'yuan'tong
外壁,wai'bi
外导环,wai'dao'huan
外导水环,wai'dao'shui'huan
外径千分尺,wai'jing'qian'fen'chi
外壳,wai'ke
外伸式喷针接力器,wai'shen'shi'pen'zhen'jie'li'qi
完全熔合,wan'quan'rong'he
王江,wang'jiang
围板,wei'ban
魏方锴,wei'fang'kai
未焊透,wei'han'tou
未熔合,wei'rong'he
尾水管,wei'shui'guan
尾水管补气系统,wei'shui'guan'bu'qi'xi'tong
尾水管补气装置,wei'shui'guan'bu'qi'zhuang'zhi
尾水管进口段,wei'shui'guan'jin'kou'duan
尾水管扩散段,wei'shui'guan'kuo'san'duan
尾水管廊道,wei'shui'guan'lang'dao
尾水管里衬,wei'shui'guan'li'chen
尾水管弯管,wei'shui'guan'wan'guan
尾水管支墩,wei'shui'guan'zhi'dun
尾水管支墩里衬,wei'shui'guan'zhi'dun'li'chen
尾水管肘管,wei'shui'guan'zhou'guan
尾水管锥管,wei'shui'guan'zhui'guan
尾水廊道,wei'shui'lang'dao
位置比能,wei'zhi'bi'neng
位置水头,wei'zhi'shui'tou
位置线,wei'zhi'xian
温控柜,wen'kong'gui
蜗壳,wo'ke
蜗壳包角,wo'ke'bao'jiao
蜗壳鼻端,wo'ke'bi'duan
蜗室,wo'shi
钨极,wu'ji
钨极气体保护焊,wu'ji'qi'ti'bao'hu'han
吸出高度,xi'chu'gao'du
溪洛渡,xi'luo'du
吸入高度,xi'ru'gao'du
吸水管,xi'shui'guan
吸水管进口段,xi'shui'guan'jin'kou'duan
吸水管扩散段,xi'shui'guan'kuo'san'duan
吸水管里衬,xi'shui'guan'li'chen
吸水管弯管,xi'shui'guan'wan'guan
吸水管支墩,xi'shui'guan'zhi'dun
吸水管支墩里衬,xi'shui'guan'zhi'dun'li'chen
吸水管肘管,xi'shui'guan'zhou'guan
吸水管锥管,xi'shui'guan'zhui'guan
下齿压板,xia'chi'ya'ban
下齿压板装焊胎具,xia'chi'ya'ban'zhuang'han'tai'ju
下环,xia'huan
下环板,xia'huan'ban
下机架,xia'ji'jia
下机坑,xia'ji'keng
下筋板,xia'jin'ban
下序,xia'xu
下序工作,xia'xu'gong'zuo
下圆板,xia'yuan'ban
下转变温度,xia'zhuan'bian'wen'du
弦距,xian'ju
线圈,xian'quan
相对效率,xiang'dui'xiao'lv
相贯线,xiang'guan'xian
向家坝左岸,xiang'jia'ba'zuo'an
响水涧,xiang'shui'jian
相似工况,xiang'si'gong'kuang
小孔焊接术,xiao'kong'han'jie'shu
效率,xiao'lv
效率试验,xiao'lv'shi'yan
消泡箱,xiao'pao'xiang
校圆,xiao'yuan
校直,xiao'zhi
斜击式水轮机,xie'ji'shi'shui'lun'ji
协联工况,xie'lian'gong'kuang
协联装置,xie'lian'zhuang'zhi
斜流定桨式水轮机,xie'liu'ding'jiang'shi'shui'lun'ji
斜流式水轮机,xie'liu'shi'shui'lun'ji
斜流式蓄能泵,xie'liu'shi'xu'neng'beng
斜流转桨式水轮机,xie'liu'zhuan'jiang'shi'shui'lun'ji
泄水锥,xie'shui'zhui
性能参数,xing'neng'can'shu
性能试验,xing'neng'shi'yan
型线偏差,xing'xian'pian'cha
修割,xiu'ge
修整部分,xiu'zheng'bu'fen
修整切割过程,xiu'zheng'qie'ge'guo'cheng
蓄能泵,xu'neng'beng
蓄能泵出口测量断面,xu'neng'beng'chu'kou'ce'liang'duan'mian
蓄能泵的流量比转速,xu'neng'beng'de'liu'liang'bi'zhuan'su
蓄能泵的输出功率,xu'neng'beng'de'shu'chu'gong'lv
蓄能泵的输入功率,xu'neng'beng'de'shu'ru'gong'lv
蓄能泵反向飞逸转速,xu'neng'beng'fan'xiang'fei'yi'zhuan'su
蓄能泵机械效率,xu'neng'beng'ji'xie'xiao'lv
蓄能泵进口测量断面,xu'neng'beng'jin'kou'ce'liang'duan'mian
蓄能泵净吸上扬程,xu'neng'beng'jing'xi'shang'yang'cheng
蓄能泵空化系数,xu'neng'beng'kong'hua'xi'shu
蓄能泵空化余量,xu'neng'beng'kong'hua'yu'liang
蓄能泵零流量功率,xu'neng'beng'ling'liu'liang'gong'lv
蓄能泵零流量扬程,xu'neng'beng'ling'liu'liang'yang'cheng
蓄能泵流量,xu'neng'beng'liu'liang
蓄能泵水力效率,xu'neng'beng'shui'li'xiao'lv
蓄能泵吸入扬程损失,xu'neng'beng'xi'ru'yang'cheng'sun'shi
蓄能泵扬程,xu'neng'beng'yang'cheng
蓄能泵最大流量,xu'neng'beng'zui'da'liu'liang
蓄能泵最大输入功率,xu'neng'beng'zui'da'shu'ru'gong'lv
