安东将军,an'dong'jiang'jun
称霸秦陇,cheng'ba'qin'long
称臣于,cheng'chen'yu
乘船三十余道,cheng'chuan'san'shi'yu'dao
成德,cheng'de
称帝大成国,cheng'di'da'cheng'guo
称帝后,cheng'di'hou
称帝于开封,cheng'di'yu'kai'feng
称东都,cheng'dong'du
成都平原和,cheng'du'ping'yuan'he
成都尹,cheng'du'yin
成汉,cheng'han
乘机诱而取之,cheng'ji'you'er'qu'zhi
承钧,cheng'jun
称其大者,cheng'qi'da'zhe
乘胜,cheng'sheng
乘势南下,cheng'shi'nan'xia
称王建国,cheng'wang'jian'guo
称为打草谷,cheng'wei'da'cao'gu
成为继,cheng'wei'ji
乘苑马,cheng'yuan'ma
称之为,cheng'zhi'wei
称之为北朝,cheng'zhi'wei'bei'chao
称之为南朝,cheng'zhi'wei'nan'chao
斥责石勒,chi'ze'shi'le
重建蜀国,chong'jian'shu'guo
宠任伶官宦官,chong'ren'ling'guan'huan'guan
崇信道教巫术,chong'xin'dao'jiao'wu'shu
仇池,chou'chi
仇池国,chou'chi'guo
出兵讨平,chu'bing'tao'ping
楚地,chu'di
除掉了,chu'diao'le
出身贫寒,chu'shen'pin'han
楚王,chu'wang
楚元王交,chu'yuan'wang'jiao
出镇邺都,chu'zhen'ye'dou
传三帝,chuan'san'di
传四主,chuan'si'zhu
创立者,chuang'li'zhe
婼羌,chuo'qiang
次北伐,ci'bei'fa
赐名,ci'ming
次年初,ci'nian'chu
从而结束了,cong'er'jie'shu'le
从公元,cong'gong'yuan
从梁陈之际开始,cong'liang'chen'zhi'ji'kai'shi
从事耕田,cong'shi'geng'tian
促进了北方,cu'jin'le'bei'fang
促使人民,cu'shi'ren'min
存勗,cun'xu
存在时间,cun'zai'shi'jian
打败后燕,da'bai'hou'yan
大部分族人,da'bu'fen'zu'ren
大长和,da'chang'he
大将军,da'jiang'jun
大晋皇帝,da'jin'huang'di
大举改革,da'ju'gai'ge
大举实行汉化,da'ju'shi'xing'han'hua
大军向寿春,da'jun'xiang'shou'chun
大军徐回,da'jun'xu'hui
大理国,da'li'guo
大片土地,da'pian'tu'di
大失民心,da'shi'min'xin
大天兴,da'tian'xing
大夏,da'xia
大小战事不停,da'xiao'zhan'shi'bu'ting
大义宁,da'yi'ning
大中六年,da'zhong'liu'nian
大冢宰,da'zhong'zai
大族,da'zu
代国,dai'guo
代郡武川,dai'jun'wu'chuan
代齐称帝,dai'qi'cheng'di
代为,dai'wei
代政权,dai'zheng'quan
但军粮不济,dan'jun'liang'bu'ji
但刘暾,dan'liu'tun
但却按兵不动,dan'que'an'bing'bu'dong
但石勒,dan'shi'le
但他们,dan'ta'men
但未获便尔,dan'wei'huo'bian'er
但这,dan'zhe
砀山,dang'shan
砀山午沟里,dang'shan'wu'gou'li
当时石勒,dang'shi'shi'le
党于,dang'yu
的不断深入,de'bu'duan'shen'ru
的部将,de'bu'jiang
的部下,de'bu'xia
的泛称,de'fan'cheng
的反对,de'fan'dui
的割据,de'ge'ju
的更迭,de'geng'die
的故地,de'gu'di
得国,de'guo
得淮南江北十四州,de'huai'nan'jiang'bei'shi'si'zhou
的皇帝,de'huang'di
的继承者,de'ji'cheng'zhe
的将军,de'jiang'jun
的教训,de'jiao'xun
的阶段,de'jie'duan
的京城,de'jing'cheng
的经济,de'jing'ji
的精神,de'jing'shen
的局面,de'ju'mian
的君主,de'jun'zhu
的来源,de'lai'yuan
的力量,de'li'liang
的历史,de'li'shi
的女婿,de'nv'xu
得其城,de'qi'cheng
的侵扰,de'qin'rao
的倾向,de'qing'xiang
的少数民族,de'shao'shu'min'zu
的尸体,de'shi'ti
的衰落,de'shuai'luo
的孙子,de'sun'zi
的王朝,de'wang'chao
的延续,de'yan'xu
的义军,de'yi'jun
的意思,de'yi'si
的一朝,de'yi'zhao
的主要对手,de'zhu'yao'dui'shou
等广大地区,deng'guang'da'de'qu
登基后,deng'ji'hou
等权臣,deng'quan'chen
等镇,deng'zhen
等州,deng'zhou
第二十五世孙,di'er'shi'wu'shi'sun
地瘠民贫,di'ji'min'pin
第三个朝代,di'san'ge'chao'dai
第三子,di'san'zi
氐帅,di'shuai
帝王更换极快,di'wang'geng'huan'ji'kuai
氐裔,di'yi
第一个王朝,di'yi'ge'wang'chao
氐族,di'zu
调兵派役,diao'bing'pai'yi
刁膺,diao'ying
迭经战乱,die'jing'zhan'luan
定都,ding'du
定都开封,ding'du'kai'feng
定江南,ding'jiang'nan
定州一战,ding'zhou'yi'zhan
董昌,dong'chang
东川节度使,dong'chuan'jie'du'shi
东都洛阳,dong'du'luo'yang
东汉以后,dong'han'yi'hou
东昏侯,dong'hun'hou
东进,dong'jin
东晋,dong'jin
东晋皇帝,dong'jin'huang'di
东晋南朝,dong'jin'nan'chao
东晋十六国,dong'jin'shi'liu'guo
东晋又派,dong'jin'you'pai
东京开封府,dong'jing'kai'feng'fu
东起海滨,dong'qi'hai'bin
东魏,dong'wei
东西川节度使,dong'xi'chuan'jie'du'shi
董璋,dong'zhang
东至潮州,dong'zhi'chao'zhou
东至三峡,dong'zhi'san'xia
都广陵,dou'guang'ling
都建康,dou'jian'kang
都开封,dou'kai'feng
都洛阳,dou'luo'yang
都番禺,dou'pan'yu
都是羯人,dou'shi'jie'ren
都于盛乐,dou'yu'sheng'le
都长安,dou'zhang'an
督并,du'bing
都督诸军,du'du'zhu'jun
督抚诸将,du'fu'zhu'jiang
都金陵,du'jin'ling
杜绝请托,du'jue'qing'tuo
独立行动,du'li'xing'dong
督率大军,du'shuai'da'jun
短短的,duan'duan'de
对内整饬朝政,dui'nei'zheng'chi'chao'zheng
对契丹,dui'qi'dan
对外结好邻邦,dui'wai'jie'hao'lin'bang
多被邻道所占,duo'bei'lin'dao'suo'zhan
夺得王位,duo'de'wang'wei
夺取皇位,duo'qu'huang'wei
夺取了帝位,duo'qu'le'di'wei
鄂东南,e'dong'nan
儿辈,er'bei
而不知,er'bu'zhi
而返,er'fan
而少部分,er'shao'bu'fen
二十八年,er'shi'ba'nian
二十八州,er'shi'ba'zhou
而石勒兵攻,er'shi'le'bing'gong
二十五年,er'shi'wu'nian
二十馀年间,er'shi'yu'nian'jian
而严重破坏,er'yan'zhong'po'huai
二赵,er'zhao
二支,er'zhi
二州,er'zhou
尔朱荣,er'zhu'rong
尔朱氏,er'zhu'shi
尔朱天光,er'zhu'tian'guang
发兵南下渡江,fa'bing'nan'xia'du'jiang
发动叛乱,fa'dong'pan'luan
发动政变,fa'dong'zheng'bian
发伏兵,fa'fu'bing
伐叛怀服,fa'pan'huai'fu
反而让,fan'er'rang
反汉,fan'han
反晋,fan'jin
凡一百,fan'yi'bai
凡一百四十九年,fan'yi'bai'si'shi'jiu'nian
藩镇林立,fan'zhen'lin'li
防备契丹,fang'bei'qi'dan
放免,fang'mian
访求贤才,fang'qiu'xian'cai
废除苛敛,fei'chu'ke'lian
废帝高殷,fei'di'gao'yin
废帝自立,fei'di'zi'li
废掉了,fei'diao'le
废吴帝,fei'wu'di
分等收税,fen'deng'shou'shui
纷纷南下,fen'fen'nan'xia
分裂和内战,fen'lie'he'nei'zhan
分裂时期,fen'lie'shi'qi
分裂为,fen'lie'wei
焚掠一空,fen'lue'yi'kong
封陈王,feng'chen'wang
封为,feng'wei
凤翔,feng'xiang
扶风,fu'feng
苻健,fu'jian
赋敛苛重,fu'lian'ke'zhong
俘虏石重贵,fu'lu'shi'zhong'gui
缚取,fu'qu
服属於匈奴,fu'shu'yu'xiong'nu
赴宴于,fu'yan'yu
赋役繁重,fu'yi'fan'zhong
复有,fu'you
改称汉,gai'cheng'han
改称为,gai'cheng'wei
改革鲜卑旧俗的措施,gai'ge'xian'bei'jiu'su'de'cuo'shi
改国号,gai'guo'hao
改国号陈,gai'guo'hao'chen
改国号大辽,gai'guo'hao'da'liao
改国号唐,gai'guo'hao'tang
改国号为,gai'guo'hao'wei
改国号为汉,gai'guo'hao'wei'han
改国号为隋,gai'guo'hao'wei'sui
改名为晃,gai'ming'wei'huang
改姓名为,gai'xing'ming'wei
改元大同,gai'yuan'da'tong
改元大统,gai'yuan'da'tong
改元开平,gai'yuan'kai'ping
改元升元,gai'yuan'sheng'yuan
改元天福,gai'yuan'tian'fu
改元同光,gai'yuan'tong'guang
甘肃平凉,gan'su'ping'liang
甘州回鹘,gan'zhou'hui'hu
高鼻深目,gao'bi'shen'mu
高恒,gao'heng
高欢,gao'huan
高季兴,gao'ji'xing
高梁,gao'liang
高骈,gao'pian
高氏,gao'shi
高纬,gao'wei
高演,gao'yan
高洋,gao'yang
高殷,gao'yin
高湛,gao'zhan
高祖,gao'zu
各赐,ge'ci
各割据政权,ge'ge'ju'zheng'quan
各将,ge'jiang
割据的,ge'ju'de
割据后,ge'ju'hou
割据政权,ge'ju'zheng'quan
个人享国,ge'ren'xiang'guo
葛荣,ge'rong
各少数族,ge'shao'shu'zu
各有其主,ge'you'qi'zhu
各有胜负,ge'you'sheng'fu
更彻底的,geng'che'di'de
庚午年,geng'wu'nian
恭帝,gong'di
公获苟晞而赦之,gong'huo'gou'xi'er'she'zhi
公开卖官鬻爵,gong'kai'mai'guan'yu'jue
攻克太原,gong'ke'tai'yuan
攻掠,gong'lue
攻灭前蜀,gong'mie'qian'shu
攻破金陵,gong'po'jin'ling
攻取东川,gong'qu'dong'chuan
攻取河北,gong'qu'he'bei
攻入开封,gong'ru'kai'feng
攻入洛阳,gong'ru'luo'yang
公师藩,gong'shi'fan
公师藩失败,gong'shi'fan'shi'bai
共十四君,gong'shi'si'jun
拱手献给,gong'shou'xian'gei
公私困竭,gong'si'kun'jie
共同消灭,gong'tong'xiao'mie
共为羽翼,gong'wei'yu'yi
攻下开封,gong'xia'kai'feng
攻下邺城,gong'xia'ye'cheng
攻陷帝都,gong'xian'di'du
共享国,gong'xiang'guo
共在位,gong'zai'wei
攻占开封,gong'zhan'kai'feng
勾结契丹,gou'jie'qi'dan
苟晞,gou'xi
苟晞部,gou'xi'bu
姑母,gu'mu
固人情之所乐,gu'ren'qing'zhi'suo'le
故石勒决策,gu'shi'le'jue'ce
故意说,gu'yi'shuo
姑臧,gu'zang
关陇,guan'long
观其控御之怀犹盛,guan'qi'kong'yu'zhi'huai'you'sheng
观王公有青州之心,guan'wang'gong'you'qing'zhou'zhi'xin
关西大行台,guan'xi'da'xing'tai
广募士卒,guang'mu'shi'zu
广事耕垦,guang'shi'geng'ken
广顺,guang'shun
广顺元年,guang'shun'yuan'nian
广顺元年正月,guang'shun'yuan'nian'zheng'yue
光天元年,guang'tian'yuan'nian
归附他的,gui'fu'ta'de
归附朱温,gui'fu'zhu'wen
桂管的梧贺等州,gui'guan'de'wu'he'deng'zhou
归魏,gui'wei
归义军,gui'yi'jun
国号,guo'hao
国号陈,guo'hao'chen
国号大齐,guo'hao'da'qi
国号汉,guo'hao'han
国号晋,guo'hao'jin
国号梁,guo'hao'liang
国号辽,guo'hao'liao
国号齐,guo'hao'qi
国号蜀,guo'hao'shu
国号宋,guo'hao'song
国号唐,guo'hao'tang
国号为,guo'hao'wei
国号越,guo'hao'yue
国号周,guo'hao'zhou
国家得以富强,guo'jia'de'yi'fu'qiang
国家分裂,guo'jia'fen'lie
国力微弱,guo'li'wei'ruo
国力迅速衰败,guo'li'xun'su'shuai'bai
郭荣,guo'rong
国势败坏,guo'shi'bai'huai
国势日衰,guo'shi'ri'shuai
国土狭小,guo'tu'xia'xiao
郭威,guo'wei
国政,guo'zheng
国祚短暂,guo'zuo'duan'zan
还不满,hai'bu'man
还都开封,hai'dou'kai'feng
海上贸易,hai'shang'mao'yi
还数度,hai'shu'du
还兴办了,hai'xing'ban'le
汉代名相,han'dai'ming'xiang
汉帝刘聪,han'di'liu'cong
汉高帝,han'gao'di
捍海石塘,han'hai'shi'tang
汉化程度,han'hua'cheng'du
汉军,han'jun
汉军饥疫,han'jun'ji'yi
汉军中,han'jun'zhong
汉刘氏,han'liu'shi
汉魏六朝,han'wei'liu'chao
汉主刘渊,han'zhu'liu'yuan
汉族地主豪强,han'zu'di'zhu'hao'qiang
好大喜功,hao'da'xi'gong
贺拔岳,he'ba'yue
河北北部,he'bei'bei'bu
和北部地区,he'bei'bu'di'qu
河北三镇,he'bei'san'zhen
和北周,he'bei'zhou
和陈,he'chen
合称五代十国,he'cheng'wu'dai'shi'guo
河东节度使,he'dong'jie'du'shi
河东十二州,he'dong'shi'er'zhou
何惧进退无地乎,he'ju'jin'tui'wu'di'hu
赫连勃勃,he'lian'bo'bo
和林格尔,he'lin'ge'er
河洛,he'luo
何能为寇,he'neng'wei'kou
何其神也,he'qi'shen'ye
和秦川,he'qin'chuan
和亲政策,he'qin'zheng'ce
何如将军,he'ru'jiang'jun
河朔,he'shuo
河朔既定,he'shuo'ji'ding
何所及邪,he'suo'ji'xie
和鲜卑武人,he'xian'bei'wu'ren
河阳和洛阳,he'yang'he'luo'yang
河中与凤翔,he'zhong'yu'feng'xiang
横徵暴敛,heng'zheng'bao'lian
洪水氾滥,hong'shui'fan'lan
后改称,hou'gai'cheng
后汉,hou'han
后汉的,hou'han'de
后汉高祖,hou'han'gao'zu
后汉亡,hou'han'wang
后汉隐帝,hou'han'yin'di
后晋,hou'jin
后晋高祖,hou'jin'gao'zu
后晋灭亡,hou'jin'mie'wang
后晋时,hou'jin'shi
后晋与契丹,hou'jin'yu'qi'dan
侯景之乱,hou'jing'zhi'luan
后凉,hou'liang
后梁,hou'liang
后梁大将,hou'liang'da'jiang
后梁封,hou'liang'feng
后梁和后周,hou'liang'he'hou'zhou
后梁建国今山西,hou'liang'jian'guo'jin'shan'xi
后梁开平元年,hou'liang'kai'ping'yuan'nian
后梁内乱,hou'liang'nei'luan
后梁太祖,hou'liang'tai'zu
后梁亡,hou'liang'wang
后梁与晋,hou'liang'yu'jin
后梁贞明三年,hou'liang'zhen'ming'san'nian
后梁最小,hou'liang'zui'xiao
侯莫陈悦,hou'mo'chen'yue
后秦,hou'qin
后人称为,hou'ren'cheng'wei
后蜀,hou'shu
后虽欲悔,hou'sui'yu'hui
后唐,hou'tang
后唐封,hou'tang'feng
后唐明宗,hou'tang'ming'zong
后唐末帝,hou'tang'mo'di
后唐时,hou'tang'shi
后唐同光三年,hou'tang'tong'guang'san'nian
后唐亡天福二年,hou'tang'wang'tian'fu'er'nian
后唐以来,hou'tang'yi'lai
后唐最大,hou'tang'zui'da
后魏,hou'wei
后为南唐,hou'wei'nan'tang
后燕,hou'yan
后又,hou'you
后赵,hou'zhao
后赵建立者,hou'zhao'jian'li'zhe
后赵灭亡,hou'zhao'mie'wang
后赵势力强大,hou'zhao'shi'li'qiang'da
后周,hou'zhou
后周皇帝,hou'zhou'huang'di
后周太祖,hou'zhou'tai'zu
后主,hou'zhu
后主高纬,hou'zhu'gao'wei
后主李煜,hou'zhu'li'yu
护国永兴凤翔,hu'guo'yong'xing'feng'xiang
胡汉各族,hu'han'ge'zu
户口的,hu'kou'de
湖南节度使,hu'nan'jie'du'shi
湖南诸州,hu'nan'zhu'zhou
互有矛盾,hu'you'mao'dun
胡族为主,hu'zu'wei'zhu
华北地区的,hua'bei'di'qu'de
华北平原地区,hua'bei'ping'yuan'di'qu
淮南十四州,huai'nan'shi'si'zhou
宦官集团,huan'guan'ji'tuan
换取契丹援助,huan'qu'qi'dan'yuan'zhu
黄巢起义军,huang'chao'qi'yi'jun
黄巢之乱,huang'chao'zhi'luan
黄巢之乱后,huang'chao'zhi'luan'hou
黄河流域,huang'he'liu'yu
黄河中下游地区,huang'he'zhong'xia'you'de'qu
皇权,huang'quan
恢复和发展,hui'fu'he'fa'zhan
回鹘可汗,hui'hu'ke'han
回军北上,hui'jun'bei'shang
讳裕,hui'yu
击败后蜀,ji'bai'hou'shu
击败晋军,ji'bai'jin'jun
基本统一了,ji'ben'tong'yi'le
即帝位,ji'di'wei
即对,ji'dui
及后,ji'hou
几近半个世纪,ji'jin'ban'ge'shi'ji
及其继承人,ji'qi'ji'cheng'ren
汲桑,ji'sang
汲桑失败,ji'sang'shi'bai
汲桑以,ji'sang'yi
继统,ji'tong
即位之后,ji'wei'zhi'hou
即以,ji'yi
济阴王,ji'yin'wang
觊觎帝位,ji'yu'di'wei
集于寿春,ji'yu'shou'chun
纪瞻,ji'zhan
几支义军,ji'zhi'yi'jun
加封其为,jia'feng'qi'wei
加上新增置的,jia'shang'xin'zeng'zhi'de
枷押,jia'ya
加之统治者,jia'zhi'tong'zhi'zhe
家族背景,jia'zu'bei'jing
建安二十一年,jian'an'er'shi'yi'nian
建都,jian'du
建都成都,jian'du'cheng'du
建都开封,jian'du'kai'feng
建都邺,jian'du'ye
建都云中,jian'du'yun'zhong
监国,jian'guo
建国大秦,jian'guo'da'qin
建国于,jian'guo'yu
建康,jian'kang
建立北凉,jian'li'bei'liang
建立北宋,jian'li'bei'song
建立北魏,jian'li'bei'wei
建立大夏,jian'li'da'xia
建立的,jian'li'de
建立功勋,jian'li'gong'xun
建立后梁,jian'li'hou'liang
建立后赵,jian'li'hou'zhao
建立据点,jian'li'ju'dian
建立齐,jian'li'qi
建立契丹国,jian'li'qi'dan'guo
建隆四年,jian'long'si'nian
建年号为,jian'nian'hao'wei
减轻赋敛,jian'qing'fu'lian
建业,jian'ye
建议先,jian'yi'xian
建元明德,jian'yuan'ming'de
建元天保,jian'yuan'tian'bao
将北魏辖区,jiang'bei'wei'xia'qu
将出帝迁往北方后,jiang'chu'di'qian'wang'bei'fang'hou
江汉,jiang'han
江汉之间,jiang'han'zhi'jian
江淮地区,jiang'huai'di'qu
将军何其怯乎,jiang'jun'he'qi'qie'hu
江陵,jiang'ling
江南兵力,jiang'nan'bing'li
降唐,jiang'tang
将为我害,jiang'wei'wo'hai
江西和皖南,jiang'xi'he'wan'nan
将相冲突,jiang'xiang'chong'tu
降于,jiang'yu
疆域最大,jiang'yu'zui'da
骄兵之计,jiao'bing'zhi'ji
较大的势力,jiao'da'de'shi'li
交泰元年,jiao'tai'yuan'nian
交战不休,jiao'zhan'bu'xiu
交战时,jiao'zhan'shi
节度使,jie'du'shi
结辽为援,jie'liao'wei'yuan
羯人,jie'ren
藉以牵制,jie'yi'qian'zhi
戒约子孙,jie'yue'zi'sun
羯族,jie'zu
今安徽砀山,jin'an'hui'dang'shan
今安徽寿县,jin'an'hui'shou'xian
金帛,jin'bo
今不图之,jin'bu'tu'zhi
今大同,jin'da'tong
晋帝,jin'di
进而占有,jin'er'zhan'you
今甘肃成县西,jin'gan'su'cheng'xian'xi
今甘肃武威,jin'gan'su'wu'wei
今河北,jin'he'bei
今河北省,jin'he'bei'sheng
今河北邢台,jin'he'bei'xing'tai
今河南,jin'he'nan
今河南安阳,jin'he'nan'an'yang
今河南开封,jin'he'nan'kai'feng
今河南睢县东南,jin'he'nan'sui'xian'dong'nan
今河南项城西,jin'he'nan'xiang'cheng'xi
今河南新蔡西北,jin'he'nan'xin'cai'xi'bei
今河南许昌东,jin'he'nan'xu'chang'dong
金虎台,jin'hu'tai
今江苏,jin'jiang'su
今江苏丹阳,jin'jiang'su'dan'yang
今江苏南京,jin'jiang'su'nan'jing
今晋南豫北,jin'jin'nan'yu'bei
进据,jin'ju
晋琅玡王司马睿,jin'lang'ya'wang'si'ma'rui
今南京,jin'nan'jing
今内蒙古,jin'nei'meng'gu
今内蒙古和林格尔,jin'nei'meng'gu'he'lin'ge'er
今内蒙古武川西,jin'nei'meng'gu'wu'chuan'xi
今年要,jin'nian'yao
今青海,jin'qing'hai
晋人,jin'ren
近三十年,jin'san'shi'nian
尽杀,jin'sha
今山东,jin'shan'dong
今山西,jin'shan'xi
今山西大同,jin'shan'xi'da'tong
今山西境内,jin'shan'xi'jing'nei
今陕西西安市,jin'shan'xi'xi'an'shi
今山西忻州市北,jin'shan'xi'xin'zhou'shi'bei
今山西中部,jin'shan'xi'zhong'bu
晋室,jin'shi
今属,jin'shu
晋书,jin'shu
今属河南,jin'shu'he'nan
今苏联乌兹别克,jin'su'lian'wu'zi'bie'ke
今天以其便授我矣,jin'tian'yi'qi'bian'shou'wo'yi
晋王朝,jin'wang'chao
晋武帝,jin'wu'di
今新疆地区,jin'xin'jiang'di'qu
进行了一系列改革,jin'xing'le'yi'xi'lie'gai'ge
晋豫州,jin'yu'zhou
今云南地区,jin'yun'nan'di'qu
仅占有,jin'zhan'you
今浙江省,jin'zhe'jiang'sheng
晋之保寿春,jin'zhi'bao'shou'chun
禁止压良民为贱民,jin'zhi'ya'liang'min'wei'jian'min
今卒闻回军,jin'zu'wen'hui'jun
荆归峡三州,jing'gui'xia'san'zhou
经过多年的,jing'guo'duo'nian'de
经济繁荣,jing'ji'fan'rong
竟历,jing'li
荆南,jing'nan
荆南节度使,jing'nan'jie'du'shi
境内富实安定,jing'nei'fu'shi'an'ding
景延广,jing'yan'guang
就杀死了,jiu'sha'si'le
旧有习俗,jiu'you'xi'su
据汴州,ju'bian'zhou
据长安,ju'chang'an
据地,ju'di
据点必须选在北方,ju'dian'bi'xu'xuan'zai'bei'fang
据湖南,ju'hu'nan
据淮南,ju'huai'nan
惧将军之往击尔,ju'jiang'jun'zhi'wang'ji'er
据岭南,ju'ling'nan
惧明公踵其后,ju'ming'gong'zhong'qi'hou
具以上,ju'yi'shang
据有,ju'you
据有西自邕州,ju'you'xi'zi'yong'zhou
居于,ju'yu
居住在,ju'zhu'zai
决开黄河,jue'kai'huang'he
均不可,jun'bu'ke
君臣,jun'chen
均减田税,jun'jian'tian'shui
军吏,jun'li
军情紧急,jun'qing'jin'ji
军事才能,jun'shi'cai'neng
军事改革家,jun'shi'gai'ge'jia
军势稍弱,jun'shi'shao'ruo
郡县,jun'xian
均遭摧残,jun'zao'cui'can
开宝八年,kai'bao'ba'nian
开封府,kai'feng'fu
开封至洛阳,kai'feng'zhi'luo'yang
开国皇帝,kai'guo'huang'di
开垦荒田,kai'ken'huang'tian
铠马,kai'ma
开平三年,kai'ping'san'nian
开平元年,kai'ping'yuan'nian
开始改变,kai'shi'gai'bian
开运三年,kai'yun'san'nian
刻苦学习,ke'ku'xue'xi
课农造船,ke'nong'zao'chuan
可诱而灭之,ke'you'er'mie'zhi
苛重赋役,ke'zhong'fu'yi
苛重奴役,ke'zhong'nu'yi
恐曹嶷复至,kong'cao'yi'fu'zhi
孔苌,kong'chang
恐其叛走,kong'qi'pan'zou
恐其遂成前狗意也,kong'qi'sui'cheng'qian'gou'yi'ye
孔谦,kong'qian
宽刑薄赋,kuan'xing'bo'fu
夔安,kui'an
琅邪王司马睿,lang'xie'wang'si'ma'rui
累败,lei'bai
李从厚,li'cong'hou
李从珂,li'cong'ke
李从荣,li'cong'rong
李存勗,li'cun'xu
历二帝,li'er'di
立国之本,li'guo'zhi'ben
历经,li'jing
李璟,li'jing
立敬帝,li'jing'di
力量单薄,li'liang'dan'bo
李茂贞,li'mao'zhen
历史上,li'shi'shang
历史上把,li'shi'shang'ba
