矮子步,ai'zi'bu
获奖曲艺新作选,huo'jiang'qu'yi'xin'zuo'xuan
获奖曲艺作品选,huo'jiang'qu'yi'zuo'pin'xuan
获奖作品选,huo'jiang'zuo'pin'xuan
活命难,huo'ming'nan
火烧战船,huo'shao'zhan'chuan
活性命,huo'xing'ming
火焰山,huo'yan'shan
霍振邦,huo'zhen'bang
冀立昌,ji'li'chang
吉林二人转选,ji'lin'er'ren'zhuan'xuan
吉林省民间艺术团,ji'lin'sheng'min'jian'yi'shu'tuan
吉林省艺术研究所,ji'lin'sheng'yi'shu'yan'jiu'suo
冀年永,ji'nian'yong
妓女悲秋,ji'nv'bei'qiu
妓女诉苦,ji'nv'su'ku
几千冬,ji'qian'dong
纪书记私访,ji'shu'ji'si'fang
祭天,ji'tian
记下善人,ji'xia'shan'ren
纪晓风,ji'xiao'feng
假爹,jia'die
贾洪园,jia'hong'yuan
贾连吉,jia'lian'ji
家门口唱手,jia'men'kou'chang'shou
家门庭,jia'men'ting
贾小七,jia'xiao'qi
家业兴,jia'ye'xing
架子曲,jia'zi'qu
拣柴,jian'chai
见耗子告狸猫,jian'hao'zi'gao'li'mao
拣棉花,jian'mian'hua
肩上扭,jian'shang'niu
肩下掏花,jian'xia'tao'hua
见杨七郎打擂,jian'yang'qi'lang'da'lei
间走场,jian'zou'chang
姜宝军,jiang'bao'jun
姜宝库,jiang'bao'ku
讲编剧,jiang'bian'ju
疆场上,jiang'chang'shang
江东记,jiang'dong'ji
姜凤才,jiang'feng'cai
姜清文,jiang'qing'wen
江上情歌,jiang'shang'qing'ge
姜太公卖面,jiang'tai'gong'mai'mian
降下方,jiang'xia'fang
降香,jiang'xiang
姜须搬兵,jiang'xu'ban'bing
姜须进账调,jiang'xu'jin'zhang'tiao
姜振彦,jiang'zhen'yan
叫板,jiao'ban
交叉板,jiao'cha'ban
焦春方,jiao'chun'fang
叫夫郎,jiao'fu'lang
焦桂瑛,jiao'gui'ying
叫何名,jiao'he'ming
叫连声,jiao'lian'sheng
交流口,jiao'liu'kou
叫声狂,jiao'sheng'kuang
交手花,jiao'shou'hua
叫五更,jiao'wu'geng
饺子掐,jiao'zi'qia
结仇冤,jie'chou'yuan
借东风,jie'dong'feng
接儿媳,jie'er'xi
解疙瘩,jie'ge'da
接姑娘,jie'gu'niang
接闺女,jie'gui'nv
截江夺斗,jie'jiang'duo'dou
姐俩顶嘴,jie'lia'ding'zui
解罗裙带,jie'luo'qun'dai
借牛吹,jie'niu'chui
接婆婆,jie'po'po
接手间,jie'shou'jian
接手中,jie'shou'zhong
紧板,jin'ban
进城,jin'cheng
今古奇观,jin'gu'qi'guan
金猴打鬼,jin'hou'da'gui
金环记,jin'huan'ji
金精戏窦,jin'jing'xi'dou
靳蕾,jin'lei
金陵府,jin'ling'fu
金龙盘玉柱,jin'long'pan'yu'zhu
金牌调,jin'pai'tiao
金桥,jin'qiao
金秋硕果满枝头,jin'qiu'shuo'guo'man'zhi'tou
金秋月,jin'qiu'yue
金山寺,jin'shan'si
金士贵,jin'shi'gui
金鼠出洞,jin'shu'chu'dong
金童发配,jin'tong'fa'pei
金万秀,jin'wan'xiu
紧围裙带,jin'wei'qun'dai
锦绣家乡,jin'xiu'jia'xiang
进一言,jin'yi'yan
金吟,jin'yin
经百君,jing'bai'jun
敬德访白袍,jing'de'fang'bai'pao
惊上苍,jing'shang'cang
井台会,jing'tai'hui
九反朝阳,jiu'fan'zhao'yang
九腔十八调,jiu'qiang'shi'ba'tiao
酒一盅,jiu'yi'zhong
九子图,jiu'zi'tu
锯大缸,ju'da'gang
锯缸调,ju'gang'tiao
鞠家卖女,ju'jia'mai'nv
聚义厅,ju'yi'ting
捐宝,juan'bao
卷席筒,juan'xi'tong
绝活,jue'huo
君臣散,jun'chen'san
俊俏郎,jun'qiao'lang
君王伴,jun'wang'ban
开场码儿,kai'chang'ma'er
开发炒作,kai'fa'chao'zuo
开虎口,kai'hu'kou
开口唱,kai'kou'chang
开门双,kai'men'shuang
开明姑娘,kai'ming'gu'niang
开山救母,kai'shan'jiu'mu
开双扇,kai'shuang'shan
开堂码,kai'tang'ma
开庭之前,kai'ting'zhi'qian
开原县曲艺团,kai'yuan'xian'qu'yi'tuan
看罢多时,kan'ba'duo'shi
看财奴,kan'cai'nu
砍柴郎,kan'chai'lang
看春花,kan'chun'hua
看得真,kan'de'zhen
看分明,kan'fen'ming
看秧歌,kan'yang'ge
抗活的哥们吃犒劳,kang'huo'de'ge'men'chi'kao'lao
扛活难,kang'huo'nan
抗联夜袭肇源城,kang'lian'ye'xi'zhao'yuan'cheng
拷红,kao'hong
靠山调,kao'shan'tiao
可安宁,ke'an'ning
科诨,ke'hun
可怜的秋昏,ke'lian'de'qiu'hun
可怜的秋香,ke'lian'de'qiu'xiang
可心人,ke'xin'ren
科研迷,ke'yan'mi
客爷叫,ke'ye'jiao
孔明吊孝,kong'ming'diao'xiao
空中悬,kong'zhong'xuan
孔子却齐,kong'zi'que'qi
口内含,kou'nei'han
口相,kou'xiang
寇准斗潘妃,kou'zhun'dou'pan'fei
哭苍天,ku'cang'tian
哭柳,ku'liu
哭糜子,ku'mei'zi
苦中苦,ku'zhong'ku
挎膀转,kua'bang'zhuan
夸城管,kua'cheng'guan
挎大板,kua'da'ban
夸哈尔滨,kua'ha'er'bin
挎筐,kua'kuang
夸女婿,kua'nv'xu
夸媳妇,kua'xi'fu
夸沼气,kua'zhao'qi
夸总编,kua'zong'bian
快活林,kuai'huo'lin
快开腔,kuai'kai'qiang
快用饭,kuai'yong'fan
奎木狼星,kui'mu'lang'xing
奎星垣,kui'xing'yuan
困朦胧,kun'meng'long
坤曲子,kun'qu'zi
拉把成人,la'ba'cheng'ren
喇叭牌子,la'ba'pai'zi
喇叭戏,la'ba'xi
拉场戏,la'chang'xi
拉场戏集成,la'chang'xi'ji'cheng
拉肩,la'jian
拉锯,la'ju
拉君,la'jun
辣嫂丢鸡,la'sao'diu'ji
拉衣裳,la'yi'shang
蜡渣黄,la'zha'huang
来几盅,lai'ji'zhong
来清,lai'qing
来为君,lai'wei'jun
来用饭,lai'yong'fan
来招亲,lai'zhao'qin
拦车记,lan'che'ji
兰花缘,lan'hua'yuan
懒牤子接媳妇,lan'mang'zi'jie'xi'fu
蓝桥会,lan'qiao'hui
浪女回头,lang'nv'hui'tou
郎庆恒,lang'qing'heng
老憨受罚,lao'han'shou'fa
老虎学艺,lao'hu'xue'yi
老将传宝,lao'jiang'chuan'bao
老两口戒毒,lao'liang'kou'jie'du
老两口养牛,lao'liang'kou'yang'niu
老两口争灯,lao'liang'kou'zheng'deng
老柳进城,lao'liu'jin'cheng
老妈开嗙调,lao'ma'kai'beng'tiao
老牛钻山,lao'niu'zuan'shan
老少换妻,lao'shao'huan'qi
老鼠爱自然码,lao'shu'ai'zi'ran'ma
老树逢春,lao'shu'feng'chun
老太太背孩子,lao'tai'tai'bei'hai'zi
老田头看瓜,lao'tian'tou'kan'gua
老猪下凡逛肇源,lao'zhu'xia'fan'guang'zhao'yuan
泪悲啼,lei'bei'ti
雷承东,lei'cheng'dong
雷锋参军,lei'feng'can'jun
擂鼓战金山,lei'gu'zhan'jin'shan
理不当,li'bu'dang
理不端,li'bu'duan
理不公,li'bu'gong
离长安,li'chang'an
李昌会,li'chang'hui
李成和,li'cheng'he
李翠莲盘道,li'cui'lian'pan'dao
李二嫂摔桃,li'er'sao'shuai'tao
理发姑娘,li'fa'gu'niang
里翻花,li'fan'hua
立翻扇,li'fan'shan
李芳巧得妻,li'fang'qiao'de'qi
李凤歧,li'feng'qi
李桂香打柴,li'gui'xiang'da'chai
李桂仲,li'gui'zhong
里果,li'guo
李翰煜,li'han'yu
李浩仁,li'hao'ren
李洪富,li'hong'fu
李甲宝,li'jia'bao
李家喜,li'jia'xi
李景宽,li'jing'kuan
李逵夺鱼,li'kui'duo'yu
李历友,li'li'you
立两旁,li'liang'pang
狸猫换太子,li'mao'huan'tai'zi
理难容,li'nan'rong
里抛扇,li'pao'shan
里片花,li'pian'hua
李庆双积肥,li'qing'shuang'ji'fei
里绕花,li'rao'hua
李三娘打水,li'san'niang'da'shui
力杀死门,li'sha'si'men
梨山圣母,li'shan'sheng'mu
里上甩花,li'shang'shuai'hua
李士珍,li'shi'zhen
梨树县地方戏剧团,li'shu'xian'di'fang'xi'ju'tuan
李铁铭,li'tie'ming
里外绕花,li'wai'rao'hua
李唯忠,li'wei'zhong
里下甩花,li'xia'shuai'hua
李香莲卖画,li'xiang'lian'mai'hua
李孝存打虎,li'xiao'cun'da'hu
李晓权,li'xiao'quan
李信赠剑,li'xin'zeng'jian
隶雪梅吊孝,li'xue'mei'diao'xiao
李亚范,li'ya'fan
李月兰,li'yue'lan
立志篇,li'zhi'pian
立转绢,li'zhuan'juan
莲花落,lian'hua'lao
连环板,lian'huan'ban
连环计,lian'huan'ji
廉凯,lian'kai
连口,lian'kou
连桥会,lian'qiao'hui
脸挺长,lian'ting'chang
连心袄,lian'xin'ao
连心豆,lian'xin'dou
连心曲,lian'xin'qu
两边分,liang'bian'fen
梁德双,liang'de'shuang
两朵小红花,liang'duo'xiao'hong'hua
两个心眼,liang'ge'xin'yan
两家春,liang'jia'chun
两狼山,liang'lang'shan
梁赛金擀面,liang'sai'jin'gan'mian
亮纱窗,liang'sha'chuang
梁山伯五更,liang'shan'bo'wu'geng
凉调,liang'tiao
两样礼物,liang'yang'li'wu
辽北二人转资料,liao'bei'er'ren'zhuan'zi'liao
辽寇,liao'kou
辽阳市地方戏剧团,liao'yang'shi'di'fang'xi'ju'tuan
列国曲子,lie'guo'qu'zi
列两旁,lie'liang'pang
列四方,lie'si'fang
列一旁,lie'yi'pang
林冲发配,lin'chong'fa'pei
林国斌,lin'guo'bin
林教头风雪山神庙,lin'jiao'tou'feng'xue'shan'shen'miao
林铁锋,lin'tie'feng
临潼斗宝,lin'tong'dou'bao
林文田,lin'wen'tian
另改更,ling'gai'geng
另婚配,ling'hun'pei
零口,ling'kou
玲珑塔,ling'long'ta
领腔,ling'qiang
灵霄殿,ling'xiao'dian
留板,liu'ban
刘宝同,liu'bao'tong
刘备招亲,liu'bei'zhao'qin
留丑名,liu'chou'ming
柳春桃,liu'chun'tao
刘大全,liu'da'quan
留恶名,liu'e'ming
刘二姐拴娃娃,liu'er'jie'shuan'wa'wa
刘阜茂,liu'fu'mao
刘公案,liu'gong'an
柳河湾,liu'he'wan
刘会轶,liu'hui'yi
刘会义,liu'hui'yi
刘家曲子,liu'jia'qu'zi
刘金定大破迷魂阵,liu'jin'ding'da'po'mi'hun'zhen
刘金定观星,liu'jin'ding'guan'xing
刘金定力杀四门,liu'jin'ding'li'sha'si'men
刘金定探病,liu'jin'ding'tan'bing
刘老根儿剧场,liu'lao'gen'er'ju'chang
刘姥姥还乡,liu'lao'lao'huan'xiang
刘伶醉酒,liu'ling'zui'jiu
溜溜光,liu'liu'guang
溜溜空,liu'liu'kong
留骂名,liu'ma'ming
留美名,liu'mei'ming
柳眉弯,liu'mei'wan
流派,liu'pai
六品官,liu'pin'guan
溜平地,liu'ping'di
刘全进瓜,liu'quan'jin'gua
柳盛林,liu'sheng'lin
刘士信,liu'shi'xin
刘树岐,liu'shu'qi
刘书彰,liu'shu'zhang
刘同勋私访,liu'tong'xun'si'fang
刘伟斌,liu'wei'bin
刘文福,liu'wen'fu
刘文彤,liu'wen'tong
柳兴斌,liu'xing'bin
刘雅卿,liu'ya'qing
柳毅传书,liu'yi'chuan'shu
柳迎春守寒窑,liu'ying'chun'shou'han'yao
榴迎夫夺寒窑,liu'ying'fu'duo'han'yao
刘玉术,liu'yu'shu
刘毓馨,liu'yu'xin
六月雪,liu'yue'xue
刘云打母,liu'yun'da'mu
柳展雄抢亲,liu'zhan'xiong'qiang'qin
龙耳听,long'er'ting
龙凤关,long'feng'guan
龙凤配,long'feng'pei
龙江大板,long'jiang'da'ban
龙江剧院,long'jiang'ju'yuan
龙江县民间艺术团,long'jiang'xian'min'jian'yi'shu'tuan
龙马归槽,long'ma'gui'cao
龙心喜,long'xin'xi
漏风声,lou'feng'sheng
喽啰兵,lou'luo'bing
楼台会,lou'tai'hui
娄玉春,lou'yu'chun
楼遇春,lou'yu'chun
鲁达除霸,lu'da'chu'ba
芦花记,lu'hua'ji
露泪缘,lu'lei'yuan
鲁民富,lu'min'fu
路途景,lu'tu'jing
卢维庆,lu'wei'qing
陆宪文,lu'xian'wen
陆媛媛,lu'yuan'yuan
乱朝政,luan'chao'zheng
栾继承,luan'ji'cheng
罗成跪楼,luo'cheng'gui'lou
罗成叫关,luo'cheng'jiao'guan
罗成卖线,luo'cheng'mai'xian
罗成算卦,luo'cheng'suan'gua
罗成托梦,luo'cheng'tuo'meng
罗锅子抢亲,luo'guo'zi'qiang'qin
罗明林,luo'ming'lin
罗裙记,luo'qun'ji
啰嗦五更,luo'suo'wu'geng
洛阳桥,luo'yang'qiao
罗章跪楼,luo'zhang'gui'lou
吕痴,lv'chi
吕从旭,lv'cong'xu
吕大雁,lv'da'yan
吕鸿章,lv'hong'zhang
吕蒙正赶斋,lv'meng'zheng'gan'zhai
吕蒙正教学,lv'meng'zheng'jiao'xue
吕兴友,lv'xing'you
绿叶红花,lv'ye'hong'hua
吗啡针,ma'fei'zhen
马寡妇开店,ma'gua'fu'kai'dian
麻贵赏,ma'gui'shang
马金屏,ma'jin'ping
马老大推磨,ma'lao'da'tui'mo
麻丽娜,ma'li'na
妈妈糊涂,ma'ma'hu'tu
妈妈会,ma'ma'hui
马普安,ma'pu'an
马前泼水,ma'qian'po'shui
马全山,ma'quan'shan
马桃红,ma'tao'hong
马跳潭溪,ma'tiao'tan'xi
马小会,ma'xiao'hui
骂鸭,ma'ya
蚂蚱算卦,ma'zha'suan'gua
马者大推磨,ma'zhe'da'tui'mo
买菜卖菜,mai'cai'mai'cai
卖大布,mai'da'bu
买对联,mai'dui'lian
卖瓜记,mai'gua'ji
卖了孙贤,mai'le'sun'xian
买毛驴,mai'mao'lv
买牛记,mai'niu'ji
卖肉的唱手,mai'rou'de'chang'shou
埋汰口,mai'tai'kou
卖蟹,mai'xie
卖药追药,mai'yao'zhui'yao
买鱼,mai'yu
卖猪羔儿,mai'zhu'gao'er
卖子孙贤,mai'zi'sun'xian
慢板,man'ban
慢三眼,man'san'yan
满天飞板,man'tian'fei'ban
慢西城,man'xi'cheng
慢中紧,man'zhong'jin
忙搭躬,mang'da'gong
忙跪倒,mang'gui'dao
莽黄袍,mang'huang'pao
忙回话,mang'hui'hua
忙拣起,mang'jian'qi
忙开口,mang'kai'kou
忙牛阵,mang'niu'zhen
忙赔礼,mang'pei'li
忙施礼,mang'shi'li
忙下轿,mang'xia'jiao
忙追赶,mang'zhui'gan
没搭上,mei'da'shang
美发姑娘,mei'fa'gu'niang
美风楼,mei'feng'lou
美凤楼,mei'feng'lou
美猴王,mei'hou'wang
美女思情,mei'nv'si'qing
美人查关,mei'ren'cha'guan
没用餐,mei'yong'can
没用饭,mei'yong'fan
美又鲜,mei'you'xian
糜子,mei'zi
没踪影,mei'zong'ying
门上闩,men'shang'shuan
孟姜女寻夫,meng'jiang'nv'xun'fu
梦中寻夫,meng'zhong'xun'fu
蜜蜂记,mi'feng'ji
密建游宫,mi'jian'you'gong
蜜牌调,mi'pai'tiao
糜氏托孤,mi'shi'tuo'gu
面前存,mian'qian'cun
面前迎,mian'qian'ying
苗俊英,miao'jun'ying
苗中一,miao'zhong'yi
民国律,min'guo'lv
命残生,ming'can'sheng
酩酊醉,ming'ding'zui
命归阴,ming'gui'yin
明礼仪,ming'li'yi
命倾,ming'qing
名声扬,ming'sheng'yang
明一明,ming'yi'ming
命由天,ming'you'tian
名誉理事,ming'yu'li'shi
明月照高楼,ming'yue'zhao'gao'lou
摸鬓边子,mo'bin'bian'zi
摸鬓圈子,mo'bin'quan'zi
莫担惊,mo'dan'jing
磨房产子,mo'fang'chan'zi
茉莉花,mo'li'hua
莫心伤,mo'xin'shang
穆桂英搬兵,mu'gui'ying'ban'bing
穆桂英大破天门阵,mu'gui'ying'da'po'tian'men'zhen
穆桂英赔情,mu'gui'ying'pei'qing
穆桂英指路,mu'gui'ying'zhi'lu
穆柯寨,mu'ke'zhai
木兰从军,mu'lan'cong'jun
木兰归来,mu'lan'gui'lai
木兰荣归,mu'lan'rong'gui
目莲救母,mu'lian'jiu'mu
母女顶嘴,mu'nv'ding'zui
穆学彬,mu'xue'bin
母子比武,mu'zi'bi'wu
那炳臣,na'bing'chen
那炳晨,na'bing'chen
哪府并哪县,na'fu'bing'na'xian
那海涛,na'hai'tao
拿手心,na'shou'xin
那树森,na'shu'sen
拿完毕,na'wan'bi
拿蝎子,na'xie'zi
拿章程,na'zhang'cheng
奈何妨,nai'he'fang
南北和,nan'bei'he
南北和西东,nan'bei'he'xi'dong
南郭学艺,nan'guo'xue'yi
难讲话,nan'jiang'hua
难开张,nan'kai'zhang
男靠浪北靠唱,nan'kao'lang'bei'kao'chang
男女篇,nan'nv'pian
难睁眼,nan'zheng'yan
闹掰扯,nao'bai'che
铙钹,nao'bo
闹仓库,nao'cang'ku
闹洞房,nao'dong'fang
闹荒旱,nao'huang'han
闹酒桌,nao'jiu'zhuo
闹毛鱼塘,nao'mao'yu'tang
闹南监,nao'nan'jian
闹碾房,nao'nian'fang
闹三辈儿,nao'san'bei'er
闹洋洋,nao'yang'yang
闹鱼塘,nao'yu'tang
闹元宵,nao'yuan'xiao
尼姑思凡,ni'gu'si'fan
尼姑下山,ni'gu'xia'shan
倪梦达,ni'meng'da
倪世瑞,ni'shi'rui
你听言,ni'ting'yan
你听真,ni'ting'zhen
你听知,ni'ting'zhi
撵爹争爹,nian'die'zheng'die
念诗篇,nian'shi'pian
念书篇,nian'shu'pian
捏耳环子,nie'er'huan'zi
拧步,ning'bu
宁武关,ning'wu'guan
宁振英,ning'zhen'ying
牛得财告状,niu'de'cai'gao'zhuang
牛皋招亲,niu'gao'zhao'qin
牛郎织女,niu'lang'zhi'nv
扭位,niu'wei
扭腰,niu'yao
扭腰晃,niu'yao'huang
牛正江,niu'zheng'jiang
农村好风光,nong'cun'hao'feng'guang
农村剧团,nong'cun'ju'tuan
奴在婆家受折磨,nu'zai'po'jia'shou'zhe'mo
女钗裙,nv'chai'qun
女队长,nv'dui'chang
女娇娘,nv'jiao'niang
女开店,nv'kai'dian
女排赞,nv'pai'zan
女善人,nv'shan'ren
女贤良,nv'xian'liang
欧阳秀芝,ou'yang'xiu'zhi
爬墙头,pa'qiang'tou
拍门板,pai'men'ban
潘大鹏,pan'da'peng
潘桂梅,pan'gui'mei
攀亲家,pan'qin'jia
盼情郎,pan'qing'lang
盼情人,pan'qing'ren
盼孙子,pan'sun'zi
蟠桃会,pan'tao'hui
盼团圆,pan'tuan'yuan
盼五更,pan'wu'geng
潘杨姻缘,pan'yang'yin'yuan
潘永贵,pan'yong'gui
潘永翔,pan'yong'xiang
旁翻扇,pang'fan'shan
庞奉,pang'feng
旁立片花,pang'li'pian'hua
旁踢步,pang'ti'bu
旁展扭,pang'zhan'niu
庞壮国,pang'zhuang'guo
跑关东,pao'guan'dong
袍袖装,pao'xiu'zhuang
裴富,pei'fu
配夫君,pei'fu'jun
配夫男,pei'fu'nan
配夫妻,pei'fu'qi
赔牛,pei'niu
培养弟子,pei'yang'di'zi
裴兆祥,pei'zhao'xiang
碰肘相,peng'zhou'xiang
捧子劝夫,peng'zi'quan'fu
劈山救母,pi'shan'jiu'mu
片袖,pian'xiu
贫寒五更,pin'han'wu'geng
平蹬步,ping'deng'bu
平调,ping'diao
平翻扇,ping'fan'shan
评口,ping'kou
平口,ping'kou
评模范,ping'mo'fan
平抛绢,ping'pao'juan
平抛扇,ping'pao'shan
平腕,ping'wan
婆媳顶嘴,po'xi'ding'zui
铺地锦,pu'di'jin
扑蝠,pu'fu
扑蝴蝶,pu'hu'die
葡萄姻缘,pu'tao'yin'yuan
扑外弦,pu'wai'xian
气冲天,qi'chong'tian
齐二嫂串门,qi'er'sao'chuan'men
杞姑思凡,qi'gu'si'fan
齐跪倒,qi'gui'dao
戚浩,qi'hao
气红眼,qi'hong'yan
祁景芳,qi'jing'fang
起空云,qi'kong'yun
气口,qi'kou
齐兰亭,qi'lan'ting
七人贤,qi'ren'xian
七十二咳咳,qi'shi'er'hai'hai
气眼红,qi'yan'hong
奇冤婪,qi'yuan'lan
奇冤梦,qi'yuan'meng
七月七,qi'yue'qi
器乐曲牌,qi'yue'qu'pai
起在空,qi'zai'kong
前后扭,qian'hou'niu
前后绕花,qian'hou'rao'hua
前立片花,qian'li'pian'hua
千里送京娘,qian'li'song'jing'niang
千两银,qian'liang'yin
乾隆下江南,qian'long'xia'jiang'nan
前碰玉子,qian'peng'yu'zi
前绕花,qian'rao'hua
前踢步,qian'ti'bu
前展扭,qian'zhan'niu
千张纸,qian'zhang'zhi
抢板夺句,qiang'ban'duo'ju
墙头记,qiang'tou'ji
巧扳桩,qiao'ban'zhuang
巧机关,qiao'ji'guan
巧计生,qiao'ji'sheng
巧结鸳鸯,qiao'jie'yuan'yang
俏口,qiao'kou
瞧情郎,qiao'qing'lang
俏僧尼,qiao'seng'ni
乔书贵,qiao'shu'gui
桥头会,qiao'tou'hui
巧嘴儿,qiao'zui'er
且不表,qie'bu'biao
切身,qie'shen
亲儿女,qin'er'nv
秦洪义,qin'hong'yi
秦梦兰出嫁,qin'meng'lan'chu'jia
秦明石,qin'ming'shi
秦琼卖马,qin'qiong'mai'ma
秦香莲,qin'xiang'lian
秦雪梅吊孝,qin'xue'mei'diao'xiao
秦仲,qin'zhong
清板,qing'ban
青菜段,qing'cai'duan
青菜名,qing'cai'ming
请东家,qing'dong'jia
庆功楼,qing'gong'lou
清官断,qing'guan'duan
清烈传,qing'lie'chuan
清门,qing'men
情人迷,qing'ren'mi
青山育秀,qing'shan'yu'xiu
青石山,qing'shi'shan
情五更,qing'wu'geng
穷富论,qiong'fu'lun
求功名,qiu'gong'ming
求师,qiu'shi
去从良,qu'cong'liang
去存身,qu'cun'shen
娶姑娘,qu'gu'niang
去喊冤,qu'han'yuan
去交令,qu'jiao'ling
曲联体,qu'lian'ti
曲谱本二人转,qu'pu'ben'er'ren'zhuan
去求官,qu'qiu'guan
去逃荒,qu'tao'huang
去望风,qu'wang'feng
曲喜玲,qu'xi'ling
去歇凉,qu'xie'liang
曲艺活动,qu'yi'huo'dong
曲艺集,qu'yi'ji
曲艺卷,qu'yi'juan
曲艺新作选,qu'yi'xin'zuo'xuan
去征战,qu'zheng'zhan
全钵,quan'bo
全德报,quan'de'bao
劝夫郎,quan'fu'lang
全家光荣,quan'jia'guang'rong
劝郎别耍钱,quan'lang'bie'shua'qian
劝婆打碗,quan'po'da'wan
群唱,qun'chang
群舞,qun'wu
然国廉,ran'guo'lian
染黄泉,ran'huang'quan
让炕头,rang'kang'tou
绕腕,rao'wan
热客回头,re'ke'hui'tou
任长友,ren'chang'you
人老心红,ren'lao'xin'hong
人民大桥,ren'min'da'qiao
人民的好车站,ren'min'de'hao'che'zhan
认牛,ren'niu
人头告状,ren'tou'gao'zhuang
人物戏,ren'wu'xi
任艳双,ren'yan'shuang
人缘配,ren'yuan'pei
日落山,ri'luo'shan
如墨染,ru'mo'ran
软又酸,ruan'you'suan
软又暄,ruan'you'xuan
洒金扇,sa'jin'shan
塞挂,sai'gua
赛天仙,sai'tian'xian
散板,san'ban
三辈人,san'bei'ren
三不格,san'bu'ge
三场舞,san'chang'wu
三尺柜台,san'chi'gui'tai
三打白骨精,san'da'bai'gu'jing
三打赌,san'da'du
三打苏二姐,san'da'su'er'jie
三到刘家,san'dao'liu'jia
三对梨花枪,san'dui'li'hua'qiang
三顾茅芦,san'gu'mao'lu
三关认夫,san'guan'ren'fu
三国曲子,san'guo'qu'zi
三国五更,san'guo'wu'geng
散花乐,san'hua'le
三击掌,san'ji'zhang
三家喜,san'jia'xi
三加一,san'jia'yi
三荐曹参,san'jian'cao'can
三件废品,san'jian'fei'pin
三节板,san'jie'ban
三节烈,san'jie'lie
三看光荣榜,san'kan'guang'rong'bang
三品卿,san'pin'qing
三请樊梨花,san'qing'fan'li'hua
三让红旗,san'rang'hong'qi
三送鸡,san'song'ji
三调芭蕉扇,san'tiao'ba'jiao'shan
三贤,san'xian
三小戏,san'xiao'xi
三星归天,san'xing'gui'tian
三遇文化岗,san'yu'wen'hua'gang
三张彩礼单,san'zhang'cai'li'dan
三只鸡,san'zhi'ji
丧残生,sang'can'sheng
僧尼会,seng'ni'hui
纱窗外,sha'chuang'wai
傻大哥,sha'da'ge
杀狗,sha'gou
杀家,sha'jia
杀江,sha'jiang
沙金扇,sha'jin'shan
杀楼,sha'lou
杀庙,sha'miao
杀庙打杠子,sha'miao'da'gang'zi
傻相公,sha'xiang'gong
傻柱子接媳妇,sha'zhu'zi'jie'xi'fu
杀子报,sha'zi'bao
闪板,shan'ban
扇抛绢,shan'pao'juan
扇托绢,shan'tuo'juan
扇子相,shan'zi'xiang
上北楼,shang'bei'lou
上场,shang'chang
上金銮,shang'jin'luan
上口,shang'kou
上梁那天,shang'liang'na'tian
上楼房,shang'lou'fang
上抛绢,shang'pao'juan
上腿相,shang'tui'xiang
上下句曲体结构,shang'xia'ju'qu'ti'jie'gou
上下片花,shang'xia'pian'hua
上下绕花,shang'xia'rao'hua
尚玉凯,shang'yu'kai
上装,shang'zhuang
烧个光,shao'ge'guang
少金银,shao'jin'yin
捎书,shao'shu
佘太君辞朝,she'tai'jun'ci'chao
舌战群儒,she'zhan'qun'ru
佘致迪,she'zhi'di
身穿孝,shen'chuan'xiao
身段,shen'duan
身发抖,shen'fa'dou
审猫,shen'mao
身贫贱,shen'pin'jian
深山红花,shen'shan'hong'hua
审头刺汤,shen'tou'ci'tang
审问青羊,shen'wen'qing'yang
沈阳春花剧场,shen'yang'chun'hua'ju'chang
沈阳曲艺厅,shen'yang'qu'yi'ting
沈阳市四海升平茶社,shen'yang'shi'si'hai'sheng'ping'cha'she
审一番,shen'yi'fan
昇华,sheng'hua
升了天,sheng'le'tian
生巧计,sheng'qiao'ji
声声长,sheng'sheng'chang
生死板,sheng'si'ban
生死药,sheng'si'yao
生一计,sheng'yi'ji
十爱调,shi'ai'tiao
十八里相送,shi'ba'li'xiang'song
十八摸,shi'ba'mo
十补母重恩,shi'bu'mu'zhong'en
十补母重恩小冒,shi'bu'mu'zhong'en'xiao'mao
十不闲,shi'bu'xian
史春德,shi'chun'de
十大想,shi'da'xiang
十对花,shi'dui'hua
十二月打官司,shi'er'yue'da'guan'si
十二月倒花,shi'er'yue'dao'hua
市歌舞剧院办公室,shi'ge'wu'ju'yuan'ban'gong'shi
石桂琴,shi'gui'qin
史家庄,shi'jia'zhuang
石匠做碑,shi'jiang'zuo'bei
史连元,shi'lian'yuan
十六愁,shi'liu'chou
十美图放风筝,shi'mei'tu'fang'feng'zheng
实难言,shi'nan'yan
十女夸夫,shi'nv'kua'fu
时佩远,shi'pei'yuan
矢齐庙,shi'qi'miao
实情话,shi'qing'hua
十三道大辙,shi'san'dao'da'zhe
十三咳,shi'san'ke
十问十答,shi'wen'shi'da
是贤良,shi'xian'liang
湿衣裳,shi'yi'shang
事一宗,shi'yi'zong
拾婴记,shi'ying'ji
石玉玺,shi'yu'xi
拾玉镯,shi'yu'zhuo
十月春风传喜讯,shi'yue'chun'feng'zhuan'xi'xun
十字板,shi'zi'ban
十字步,shi'zi'bu
十字坡,shi'zi'po
十字绕花,shi'zi'rao'hua
受孤单,shou'gu'dan
收获时节,shou'huo'shi'jie
手绢,shou'juan
手绢相,shou'juan'xiang
受贫寒,shou'pin'han
受贫穷,shou'pin'qiong
手眼身法步,shou'yan'shen'fa'bu
手玉子,shou'yu'zi
