邦联制,bang'lian'zhi
国会,guo'hui
国家政权,guo'jia'zheng'quan
国体,guo'ti
韩国光州事件,han'guo'guang'zhou'shi'jian
韩国光洲事件,han'guo'guang'zhou'shi'jian
红色恐怖,hong'se'kong'bu
胡耀邦,hu'yao'bang
基本观点,ji'ben'guan'dian
既得利益集团,ji'de'li'yi'ji'tuan
集权政治,ji'quan'zheng'zhi
集团,ji'tuan
监国者,jian'guo'zhe
建立规范,jian'li'gui'fan
杰弗逊,jie'fu'xun
阶级,jie'ji
金朝,jin'chao
金代,jin'dai
精英,jing'ying
精英政治,jing'ying'zheng'zhi
君主,jun'zhu
君主立宪制,jun'zhu'li'xian'zhi
君主制,jun'zhu'zhi
可能是,ke'neng'shi
理论基础,li'lun'ji'chu
理想国,li'xiang'guo
利益党,li'yi'dang
利益集团,li'yi'ji'tuan
联邦党,lian'bang'dang
联邦共和国,lian'bang'gong'he'guo
联邦制,lian'bang'zhi
两党,liang'dang
两党制,liang'dang'zhi
辽朝,liao'chao
辽代,liao'dai
列宁式政党,lie'ning'shi'zheng'dang
列宁主义,lie'ning'zhu'yi
领袖独裁,ling'xiu'du'cai
领袖独裁制,ling'xiu'du'cai'zhi
领袖专政,ling'xiu'zhuan'zheng
领袖专制,ling'xiu'zhuan'zhi
六四,liu'si
六四事件,liu'si'shi'jian
六四天安门事件,liu'si'tian'an'men'shi'jian
马克思列宁主义,ma'ke'si'lie'ning'zhu'yi
马克思主义,ma'ke'si'zhu'yi
麦迪逊,mai'di'xun
毛泽东,mao'ze'dong
毛泽东思想,mao'ze'dong'si'xiang
美丽岛,mei'li'dao
美丽岛事件,mei'li'dao'shi'jian
孟德斯鸠,meng'de'si'jiu
民进党,min'jin'dang
民运,min'yun
民运分子,min'yun'fen'zi
民主党,min'zhu'dang
民主党派,min'zhu'dang'pai
民主共和国,min'zhu'gong'he'guo
民主共和制,min'zhu'gong'he'zhi
民主国家,min'zhu'guo'jia
民主化,min'zhu'hua
民主化进程,min'zhu'hua'jin'cheng
民主监督,min'zhu'jian'du
民主进步党,min'zhu'jin'bu'dang
民主思想,min'zhu'si'xiang
民主意识,min'zhu'yi'shi
民主运动,min'zhu'yun'dong
民主政治,min'zhu'zheng'zhi
民主制度,min'zhu'zhi'du
平民院,ping'min'yuan
秦城,qin'cheng
秦城监狱,qin'cheng'jian'yu
区府,qu'fu
权力制衡,quan'li'zhi'heng
人类社会,ren'lei'she'hui
人民共和国,ren'min'gong'he'guo
人权,ren'quan
人性,ren'xing
人治,ren'zhi
人专政,ren'zhuan'zheng
入仕,ru'shi
三权分立,san'quan'fen'li
上帝,shang'di
上议院,shang'yi'yuan
少数党,shao'shu'dang
少数派,shao'shu'pai
社会政治,she'hui'zheng'zhi
社会主义,she'hui'zhu'yi
社会主义制度,she'hui'zhu'yi'zhi'du
省委省府,sheng'wei'sheng'fu
省委省政府,sheng'wei'sheng'zheng'fu
市场经济,shi'chang'jing'ji
施特劳斯,shi'te'lao'si
市委市府,shi'wei'shi'fu
市委市政府,shi'wei'shi'zheng'fu
实行民主,shi'xing'min'zhu
属官,shu'guan
斯大林,si'da'lin
思想体系,si'xiang'ti'xi
苏格拉底,su'ge'la'di
台湾美丽岛事件,tai'wan'mei'li'dao'shi'jian
贪婪,tan'lan
特权,te'quan
天安门,tian'an'men
天安门事件,tian'an'men'shi'jian
统治,tong'zhi
统治阶级,tong'zhi'jie'ji
统治权,tong'zhi'quan
万古不易,wan'gu'bu'yi
王国,wang'guo
危害国家安全,wei'hai'guo'jia'an'quan
文集,wen'ji
文选,wen'xuan
西方,xi'fang
西方哲学,xi'fang'zhe'xue
西方政治,xi'fang'zheng'zhi
西方政治哲学,xi'fang'zheng'zhi'zhe'xue
西方政治制度,xi'fang'zheng'zhi'zhi'du
下议院,xia'yi'yuan
宪法,xian'fa
鲜明特色,xian'ming'te'se
县委县府,xian'wei'xian'fu
县委县政府,xian'wei'xian'zheng'fu
宪政,xian'zheng
乡党委,xiang'dang'wei
乡党委乡政府,xiang'dang'wei'xiang'zheng'fu
性恶论,xing'e'lun
性善论,xing'shan'lun
休谟,xiu'mo
修正,xiu'zheng
宣传煽动,xuan'chuan'shan'dong
训政,xun'zheng
研究对象,yan'jiu'dui'xiang
研究方法,yan'jiu'fang'fa
研究取向,yan'jiu'qu'xiang
一党,yi'dang
一党制,yi'dang'zhi
一党专政,yi'dang'zhuan'zheng
以德治国,yi'de'zhi'guo
以法治国,yi'fa'zhi'guo
依法治国,yi'fa'zhi'guo
一个,yi'ge
议会民主,yi'hui'min'zhu
议会政治,yi'hui'zheng'zhi
议会制,yi'hui'zhi
议会制的民主共和制,yi'hui'zhi'de'min'zhu'gong'he'zhi
议会制君主立宪制,yi'hui'zhi'jun'zhu'li'xian'zhi
异议,yi'yi
异议分子,yi'yi'fen'zi
异议人士,yi'yi'ren'shi
一元化,yi'yuan'hua
一元化领导,yi'yuan'hua'ling'dao
有力武器,you'li'wu'qi
在朝党,zai'chao'dang
在野党,zai'ye'dang
赵紫阳,zhao'zi'yang
哲学王,zhe'xue'wang
镇党委,zhen'dang'wei
镇党委镇政府,zhen'dang'wei'zhen'zheng'fu
镇压,zhen'ya
真知,zhen'zhi
政党,zheng'dang
政见,zheng'jian
政体,zheng'ti
政治发展,zheng'zhi'fa'zhan
政治反对派,zheng'zhi'fan'dui'pai
政治风波,zheng'zhi'feng'bo
政治寡头,zheng'zhi'gua'tou
政治家,zheng'zhi'jia
政治价值,zheng'zhi'jia'zhi
政治结构,zheng'zhi'jie'gou
政治科学家,zheng'zhi'ke'xue'jia
政治立场,zheng'zhi'li'chang
政治权力,zheng'zhi'quan'li
政治事物,zheng'zhi'shi'wu
政治思想,zheng'zhi'si'xiang
政治思想家,zheng'zhi'si'xiang'jia
政治统治者,zheng'zhi'tong'zhi'zhe
政治现实,zheng'zhi'xian'shi
政治现象,zheng'zhi'xian'xiang
政治协商,zheng'zhi'xie'shang
政治性,zheng'zhi'xing
政治学家,zheng'zhi'xue'jia
政治哲学,zheng'zhi'zhe'xue
政治制度,zheng'zhi'zhi'du
制度设计,zhi'du'she'ji
中国传统,zhong'guo'chuan'tong
中国共产党,zhong'guo'gong'chan'dang
中国国民党,zhong'guo'guo'min'dang
中国六四事件,zhong'guo'liu'si'shi'jian
中国六四天安门事件,zhong'guo'liu'si'tian'an'men'shi'jian
中国民主党,zhong'guo'min'zhu'dang
中间偏右,zhong'jian'pian'you
中间偏左,zhong'jian'pian'zuo
中央党部,zhong'yang'dang'bu
中央集权,zhong'yang'ji'quan
中央集权制,zhong'yang'ji'quan'zhi
中央委员,zhong'yang'wei'yuan
中央委员会,zhong'yang'wei'yuan'hui
众议院,zhong'yi'yuan
主流意识,zhu'liu'yi'shi
专政,zhuan'zheng
专制国家,zhuan'zhi'guo'jia
专制理论,zhuan'zhi'li'lun
专制思想,zhuan'zhi'si'xiang
专制统治,zhuan'zhi'tong'zhi
专制意识,zhuan'zhi'yi'shi
专制政权,zhuan'zhi'zheng'quan
专制政治,zhuan'zhi'zheng'zhi
专制制度,zhuan'zhi'zhi'du
资本主义,zi'ben'zhu'yi
资本主义制度,zi'ben'zhu'yi'zhi'du
自民党,zi'min'dang
自私,zi'si
自由,zi'you
自由民主党,zi'you'min'zhu'dang
总统制,zong'tong'zhi
总统制的民主共和制,zong'tong'zhi'de'min'zhu'gong'he'zhi
遵循规律,zun'xun'gui'lv
