阿里,a'li
能否面,neng'fou'mian
尼吉,ni'ji
尼玛次仁,ni'ma'ci'ren
尼木,ni'mu
尼木县,ni'mu'xian
尼洋河,ni'yang'he
你在拉萨,ni'zai'la'sa
娘热路,niang're'lu
娘热乡,niang're'xiang
聂拉木,nie'la'mu
农牧民,nong'mu'min
农牧区,nong'mu'qu
农牧厅,nong'mu'ting
怒江,nu'jiang
诺布,nuo'bu
诺诗兰,nuo'shi'lan
哦过,o'guo
哦米,o'mi
哦子,o'zi
哦组,o'zu
哦作,o'zuo
欧珠,ou'zhu
潘多,pan'duo
旁多,pang'duo
旁多乡,pang'duo'xiang
平措,ping'cuo
普布,pu'bu
普布次仁,pu'bu'ci'ren
普赤,pu'chi
普次,pu'ci
普普风,pu'pu'feng
强巴,qiang'ba
强珍,qiang'zhen
俏夫人,qiao'fu'ren
青稞酒,qing'ke'jiu
青年旅社,qing'nian'lv'she
青藏铁路,qing'zang'tie'lu
青藏线,qing'zang'xian
琼达,qiong'da
琼结县,qiong'jie'xian
区党委,qu'dang'wei
区公司,qu'gong'si
去拉萨,qu'la'sa
去林芝,qu'lin'zhi
曲桑,qu'sang
曲水,qu'shui
曲水县,qu'shui'xian
曲松县,qu'song'xian
曲珍,qu'zhen
群培,qun'pei
然乌,ran'wu
然乌湖,ran'wu'hu
仁布,ren'bu
仁布县,ren'bu'xian
日多,ri'duo
日喀则,ri'ka'ze
日喀则地区,ri'ka'ze'di'qu
日喀则市,ri'ka'ze'shi
日客则,ri'ke'ze
萨嘎,sa'ga
萨迦县,sa'jia'xian
赛马场,sai'ma'chang
三夫户外,san'fu'hu'wai
桑布,sang'bu
桑旦,sang'dan
桑吉,sang'ji
桑姆,sang'mu
桑日,sang'ri
桑日县,sang'ri'xian
桑耶寺,sang'ye'si
桑珠,sang'zhu
色非,se'fei
色拉,se'la
色拉路,se'la'lu
色拉寺,se'la'si
山南地区,shan'nan'di'qu
上拉萨,shang'la'sa
神湖,shen'hu
申扎县,shen'zha'xian
圣湖,sheng'hu
生态小区,sheng'tai'xiao'qu
石锅鸡,shi'guo'ji
狮泉河,shi'quan'he
师校,shi'xiao
双湖,shuang'hu
松多,song'duo
松赞干布,song'zan'gan'bu
酥油茶,su'you'cha
索朗,suo'lang
索朗次仁,suo'lang'ci'ren
太阳岛,tai'yang'dao
唐古拉,tang'gu'la
唐古拉山,tang'gu'la'shan
唐卡,tang'ka
甜茶,tian'cha
天海夜市,tian'hai'ye'shi
通麦,tong'mai
团结新村,tuan'jie'xin'cun
旺堆,wang'dui
旺杰,wang'jie
旺久,wang'jiu
旺姆,wang'mu
文成公主,wen'cheng'gong'zhu
我在拉萨,wo'zai'la'sa
我在西藏,wo'zai'xi'zang
无人区,wu'ren'qu
西宁西,xi'ning'xi
西藏,xi'zang
西藏博物馆,xi'zang'bo'wu'guan
西藏大学,xi'zang'da'xue
西藏的,xi'zang'de
西藏电视台,xi'zang'dian'shi'tai
西藏拉萨,xi'zang'la'sa
西藏拉萨市,xi'zang'la'sa'shi
西藏日报,xi'zang'ri'bao
西藏王,xi'zang'wang
仙足岛,xian'zu'dao
小昭寺,xiao'zhao'si
谢通门,xie'tong'men
谢通门县,xie'tong'men'xian
雪顿,xue'dun
雪顿节,xue'dun'jie
雪新村,xue'xin'cun
雪域高原,xue'yu'gao'yuan
亚东县,ya'dong'xian
雅鲁,ya'lu
雅鲁藏布,ya'lu'zang'bu
雅鲁藏布江,ya'lu'zang'bu'jiang
羊八井,yang'ba'jing
羊湖,yang'hu
央吉,yang'ji
央金,yang'jin
羊卓雍错,yang'zhuo'yong'cuo
药王山,yao'wang'shan
益西,yi'xi
雍布拉康,yong'bu'la'kang
玉包子,yu'bao'zi
宇拓路,yu'tuo'lu
援藏,yuan'zang
在拉萨,zai'la'sa
在林芝,zai'lin'zhi
在西藏,zai'xi'zang
藏北,zang'bei
藏历年,zang'li'nian
藏历新年,zang'li'xin'nian
藏羚羊,zang'ling'yang
藏民族,zang'min'zu
藏式,zang'shi
藏文,zang'wen
藏戏,zang'xi
藏香猪,zang'xiang'zhu
藏药,zang'yao
藏医,zang'yi
藏医院,zang'yi'yuan
藏装,zang'zhuang
藏族,zang'zu
藏族人,zang'zu'ren
扎巴,zha'ba
扎达,zha'da
扎多,zha'duo
扎基,zha'ji
扎基寺,zha'ji'si
扎桑,zha'sang
扎什伦布寺,zha'shi'lun'bu'si
扎西,zha'xi
扎西次仁,zha'xi'ci'ren
扎西德勒,zha'xi'de'le
扎西顿珠,zha'xi'dun'zhu
扎西拉姆,zha'xi'la'mu
占堆,zhan'dui
樟木,zhang'mu
哲蚌寺,zhe'bang'si
中康,zhong'kang
中流砥柱,zhong'liu'di'zhu
周转房,zhou'zhuan'fang
住村,zhu'cun
驻村,zhu'cun
珠峰,zhu'feng
珠穆朗玛峰,zhu'mu'lang'ma'feng
住宿区,zhu'su'qu
转经,zhuan'jing
转经筒,zhuan'jing'tong
卓嘎,zhuo'ga
卓玛,zhuo'ma
宗吉,zong'ji
