爱的供养,ai'de'gong'yang
我裤子脱了你就给我看这,wo'ku'zi'tuo'le'ni'jiu'gei'wo'kan'zhe
我练功发自真心,wo'lian'gong'fa'zi'zhen'xin
我上电视啦,wo'shang'dian'shi'la
我胸大我先讲,wo'xiong'da'wo'xian'jiang
我要给你生猴子,wo'yao'gei'ni'sheng'hou'zi
我醉了,wo'zui'le
无形装逼最为致命,wu'xing'zhuang'bi'zui'wei'zhi'ming
洗剪吹,xi'jian'chui
西木野真姬,xi'mu'ye'zhen'ji
西内,xi'nei
下作的乳量,xia'zuo'de'ru'liang
掀桌,xian'zhuo
小泉花阳,xiao'quan'hua'yang
小受,xiao'shou
小学生,xiao'xue'sheng
新番,xin'fan
新日暮里,xin'ri'mu'li
心塞,xin'sai
心塞塞的,xin'sai'sai'de
心塞塞塞塞塞的,xin'sai'sai'sai'sai'sai'de
星空凛,xing'kong'lin
胸不平何以平天下,xiong'bu'ping'he'yi'ping'tian'xia
兄贵,xiong'gui
秀吉,xiu'ji
绚濑绘里,xuan'lai'hui'li
巡音,xun'yin
雅蠛蝶,ya'mie'die
言和,yan'he
吔屎,ye'shi
易建联,yi'jian'lian
一库一库,yi'ku'yi'ku
异性恋,yi'xing'lian
一血,yi'xue
有沟必火,you'gou'bi'huo
油腻的师姐,you'ni'de'shi'jie
幼女,you'nv
忧桑,you'sang
游泳教练,you'yong'jiao'lian
御姐,yu'jie
元首,yuan'shou
园田海未,yuan'tian'hai'wei
允许我做一个悲伤的表情,yun'xu'wo'zuo'yi'ge'bei'shang'de'biao'qing
允许我做一个被上的表情,yun'xu'wo'zuo'yi'ge'bei'shang'de'biao'qing
赞美之心你做得很不错嘛,zan'mei'zhi'xin'ni'zuo'de'hen'bu'cuo'ma
造福人类,zao'fu'ren'lei
炸鸡块君,zha'ji'kuai'jun
渣男,zha'nan
渣渣,zha'zha
张全蛋,zhang'quan'dan
找到组织了,zhao'dao'zu'zhi'le
沼跃鱼,zhao'yue'yu
哲学,zhe'xue
哲学三信,zhe'xue'san'xin
正面肛,zheng'mian'gang
正太,zheng'tai
中二病,zhong'er'bing
诸葛村夫,zhu'ge'cun'fu
装逼,zhuang'bi
自古肉番出燃曲,zi'gu'rou'fan'chu'ran'qu
醉了,zui'le
作死,zuo'si
