阿弓玛的传说,a'gong'ma'de'chuan'shuo
承德的传说,cheng'de'de'chuan'shuo
城墙上的大碾盘,cheng'qiang'shang'de'da'nian'pan
吃水酒的起源,chi'shui'jiu'de'qi'yuan
赤孜拉妩的传说,chi'zi'la'wu'de'chuan'shuo
崇人抛鼎寻不死药,chong'ren'pao'ding'xun'bu'si'yao
储秀宫的仙鹤,chu'xiu'gong'de'xian'he
吹木叶的来历,chui'mu'ye'de'lai'li
慈禧的传说,ci'xi'de'chuan'shuo
从化温泉的传说,cong'hua'wen'quan'de'chuan'shuo
大孤山和龙头山,da'gu'shan'he'long'tou'shan
大红袍,da'hong'pao
大理石和玉带云的传说,da'li'shi'he'yu'dai'yun'de'chuan'shuo
大理四景的传说,da'li'si'jing'de'chuan'shuo
大连的传说,da'lian'de'chuan'shuo
大牛店的传说,da'niu'dian'de'chuan'shuo
达惹罕,da're'han
大十面的传说,da'shi'mian'de'chuan'shuo
大藤峡的传说,da'teng'xia'de'chuan'shuo
大王与玉女,da'wang'yu'yu'nv
大雾梁歌会的由来,da'wu'liang'ge'hui'de'you'lai
大相国寺的传说,da'xiang'guo'si'de'chuan'shuo
大鱼泉,da'yu'quan
戴手镯的来历,dai'shou'zhuo'de'lai'li
代壮士智降黄河王,dai'zhuang'shi'zhi'jiang'huang'he'wang
傣族男子为什么要纹身,dai'zu'nan'zi'wei'shen'me'yao'wen'shen
当归,dang'gui
党参的来历,dang'shen'de'lai'li
刀代的宝剑,dao'dai'de'bao'jian
稻花洲,dao'hua'zhou
得勒玛发山的传说,de'le'ma'fa'shan'de'chuan'shuo
迪万和娘花,di'wan'he'niang'hua
吊锣山,diao'luo'shan
爹爹苦,die'die'ku
顶卡花,ding'ka'hua
董父养龙,dong'fu'yang'long
东汉末黄巾起义的传说,dong'han'mo'huang'jin'qi'yi'de'chuan'shuo
东西的传说,dong'xi'de'chuan'shuo
董小宛的传说,dong'xiao'wan'de'chuan'shuo
都柳江的传说,dou'liu'jiang'de'chuan'shuo
都玛沙莪,dou'ma'sha'e
都一处的由来,dou'yi'chu'de'you'lai
杜甫的传说,du'fu'de'chuan'shuo
杜甫墓的传说,du'fu'mu'de'chuan'shuo
杜康造酒的传说,du'kang'zao'jiu'de'chuan'shuo
独秀峰拴马桩,du'xiu'feng'shuan'ma'zhuang
端节的由来,duan'jie'de'you'lai
段青天的传说,duan'qing'tian'de'chuan'shuo
端午节挂葛藤的来历,duan'wu'jie'gua'ge'teng'de'lai'li
端阳寒马节的传说,duan'yang'han'ma'jie'de'chuan'shuo
堆沙节和泼水节,dui'sha'jie'he'po'shui'jie
多将军的传说,duo'jiang'jun'de'chuan'shuo
鹅銮鼻和望夫石,e'luan'bi'he'wang'fu'shi
俄曲河边的传说,e'qu'he'bian'de'chuan'shuo
恩爱石,en'ai'shi
耳环的来历,er'huan'de'lai'li
法海出家的传说,fa'hai'chu'jia'de'chuan'shuo
法轮寺的天地佛,fa'lun'si'de'tian'di'fo
矾山,fan'shan
饭鱼,fan'yu
范仲淹的传说,fan'zhong'yan'de'chuan'shuo
方百花的传说,fang'bai'hua'de'chuan'shuo
飞来峰,fei'lai'feng
飞来寺的传说,fei'lai'si'de'chuan'shuo
飞鸾桥,fei'luan'qiao
凤穿牡丹,feng'chuan'mu'dan
封缸酒,feng'gang'jiu
凤凰楼匾文的传说,feng'huang'lou'bian'wen'de'chuan'shuo
凤凰山和鬼龙潭,feng'huang'shan'he'gui'long'tan
凤凰是怎么离开人类的,feng'huang'shi'zen'me'li'kai'ren'lei'de
凤凰松的传说,feng'huang'song'de'chuan'shuo
风穴寺的传说,feng'xue'si'de'chuan'shuo
风雨桥的传说,feng'yu'qiao'de'chuan'shuo
风雨亭里的传说,feng'yu'ting'li'de'chuan'shuo
风中的槟榔树阿美人关于舞蹈来历的传说,feng'zhong'de'bing'lang'shu'a'mei'ren'guan'yu'wu'dao'lai'li'de'chuan'shuo
覆船山,fu'chuan'shan
福建的传说,fu'jian'de'chuan'shuo
驸马坟的传说,fu'ma'fen'de'chuan'shuo
妇女左胸别针的传说,fu'nv'zuo'xiong'bie'zhen'de'chuan'shuo
傅青主的传说,fu'qing'zhu'de'chuan'shuo
傅山的传说,fu'shan'de'chuan'shuo
府台和府成的传说,fu'tai'he'fu'cheng'de'chuan'shuo
负图寺的传说,fu'tu'si'de'chuan'shuo
伏羲兄妹的传说,fu'xi'xiong'mei'de'chuan'shuo
嘎仙洞和窟窿山的传说,ga'xian'dong'he'ku'long'shan'de'chuan'shuo
澉浦铜钟,gan'pu'tong'zhong
甘泉,gan'quan
高底木鞋的来历,gao'di'mu'xie'de'lai'li
高高的樟树,gao'gao'de'zhang'shu
高桂英的传说,gao'gui'ying'de'chuan'shuo
高山族为什么住在山上,gao'shan'zu'wei'shen'me'zhu'zai'shan'shang
高燕青的传说,gao'yan'qing'de'chuan'shuo
咯日一八石关于碌碡来历的传说,ge'ri'yi'ba'shi'guan'yu'liu'zhou'lai'li'de'chuan'shuo
格萨尔王的传说,ge'sa'er'wang'de'chuan'shuo
哥喂鸟,ge'wei'niao
哥窑和弟窑,ge'yao'he'di'yao
根古,gen'gu
宫殿群鸦,gong'dian'qun'ya
共共山,gong'gong'shan
公鹿河的传说,gong'lu'he'de'chuan'shuo
公明山,gong'ming'shan
缑山和升仙观,gou'shan'he'sheng'xian'guan
顾恺之的传说,gu'kai'zhi'de'chuan'shuo
鼓楼的故事,gu'lou'de'gu'shi
顾尚之的传说,gu'shang'zhi'de'chuan'shuo
孤竹的传说,gu'zhu'de'chuan'shuo
谷子的传说,gu'zi'de'chuan'shuo
谷子的故事,gu'zi'de'gu'shi
瓜州的传说,gua'zhou'de'chuan'shuo
关帝庙的由来,guan'di'miao'de'you'lai
关陵古柏的传说,guan'ling'gu'bai'de'chuan'shuo
关门山,guan'men'shan
广福王的故事,guang'fu'wang'de'gu'shi
光孝寺与海珠石,guang'xiao'si'yu'hai'zhu'shi
广阳城的传说,guang'yang'cheng'de'chuan'shuo
广州的传说,guang'zhou'de'chuan'shuo
广州为什么叫五羊城,guang'zhou'wei'shen'me'jiao'wu'yang'cheng
桂花岭的传说,gui'hua'ling'de'chuan'shuo
桂林山水为什么甲天下,gui'lin'shan'shui'wei'shen'me'jia'tian'xia
龟岩,gui'yan
滚龙坝,gun'long'ba
哈北丝和火种,ha'bei'si'he'huo'zhong
哈尼族为什么没有文字,ha'ni'zu'wei'shen'me'mei'you'wen'zi
哈萨克民族名称的传说,ha'sa'ke'min'zu'ming'cheng'de'chuan'shuo
海林察的传说,hai'lin'cha'de'chuan'shuo
海鸥的传说,hai'ou'de'chuan'shuo
海水为什么是咸的,hai'shui'wei'shen'me'shi'xian'de
海牙寨的故事,hai'ya'zhai'de'gu'shi
海燕的传说,hai'yan'de'chuan'shuo
韩信的传说,han'xin'de'chuan'shuo
杭州的传说,hang'zhou'de'chuan'shuo
豪尼人的祖先,hao'ni'ren'de'zu'xian
河堤柳的传说,he'di'liu'de'chuan'shuo
合欢路,he'huan'lu
喝酒嚼槟榔的规矩,he'jiu'jiao'bing'lang'de'gui'ju
呵罗湖,he'luo'hu
黑娘娘的传说,hei'niang'niang'de'chuan'shuo
红果与白刺,hong'guo'yu'bai'ci
红河与藤条江,hong'he'yu'teng'tiao'jiang
红滩瀑布,hong'tan'pu'bu
侯大苟的传说,hou'da'gou'de'chuan'shuo
侯山,hou'shan
葫芦笙的故事,hu'lu'sheng'de'gu'shi
虎妻,hu'qi
虎跳峡的传说,hu'tiao'xia'de'chuan'shuo
护心帕的来历,hu'xin'pa'de'lai'li
护珠斜塔,hu'zhu'xie'ta
花儿的传说,hua'er'de'chuan'shuo
花莲烽火,hua'lian'feng'huo
划龙船的传说,hua'long'chuan'de'chuan'shuo
桦树精求亲,hua'shu'jing'qiu'qin
华佗的传说,hua'tuo'de'chuan'shuo
淮安茶馓,huai'an'cha'san
还珠洞,huan'zhu'dong
黄大王的传说,huang'da'wang'de'chuan'shuo
黄道婆在崖州,huang'dao'po'zai'ya'zhou
皇姑屯的传说,huang'gu'tun'de'chuan'shuo
黄果树瀑布的传说,huang'guo'shu'pu'bu'de'chuan'shuo
黄精,huang'jing
黄母祠和黄道婆墓,huang'mu'ci'he'huang'dao'po'mu
黄浦江上望娘滩,huang'pu'jiang'shang'wang'niang'tan
黄土岗是怎么成为花乡的,huang'tu'gang'shi'zen'me'cheng'wei'hua'xiang'de
黄溪茶,huang'xi'cha
黄歇黄浦江和春申江,huang'xie'huang'pu'jiang'he'chun'shen'jiang
会唱歌的嘎巴朗河,hui'chang'ge'de'ga'ba'lang'he
火把节,huo'ba'jie
火把节的传说,huo'ba'jie'de'chuan'shuo
火把节的由来,huo'ba'jie'de'you'lai
火烧松明楼,huo'shao'song'ming'lou
火神节,huo'shen'jie
祭护寨神,ji'hu'zhai'shen
机匠沟,ji'jiang'gou
鸡陵参的传说,ji'ling'can'de'chuan'shuo
鸡笼屿,ji'long'yu
济南的传说,ji'nan'de'chuan'shuo
祭山神的由来,ji'shan'shen'de'you'lai
积善寺和薛八缸,ji'shan'si'he'xue'ba'gang
稼,jia
贾岛的传说,jia'dao'de'chuan'shuo
架壑桥,jia'he'qiao
加岭传奇,jia'ling'chuan'qi
家乡肉美,jia'xiang'rou'mei
箭独木的传说,jian'du'mu'de'chuan'shuo
健康保护神的传说,jian'kang'bao'hu'shen'de'chuan'shuo
将军泡子,jiang'jun'pao'zi
姜梓林的传说,jiang'zi'lin'de'chuan'shuo
胶州湾的传说,jiao'zhou'wan'de'chuan'shuo
疥疤石,jie'ba'shi
结婚拴线的来历,jie'hun'shuan'xian'de'lai'li
解缙的传说,jie'jin'de'chuan'shuo
姐妹山,jie'mei'shan
姐妹温泉的传说,jie'mei'wen'quan'de'chuan'shuo
接笋峰,jie'sun'feng
金地藏建寺,jin'di'cang'jian'si
金凤凰,jin'feng'huang
金瓜石,jin'gua'shi
金光洞,jin'guang'dong
金龟朝北斗,jin'gui'chao'bei'dou
金和尚收徒,jin'he'shang'shou'tu
金鸡和龙马,jin'ji'he'long'ma
金鸡岭,jin'ji'ling
金鸡山,jin'ji'shan
金犁头,jin'li'tou
金龙出大洞,jin'long'chu'da'dong
金牛山的传说,jin'niu'shan'de'chuan'shuo
金牛石,jin'niu'shi
金钱树,jin'qian'shu
金色的铓锣,jin'se'de'mang'luo
金沙江和玉龙山,jin'sha'jiang'he'yu'long'shan
金沙泉,jin'sha'quan
金王的传说,jin'wang'de'chuan'shuo
金鸭子,jin'ya'zi
金钥匙,jin'yao'shi
金银花,jin'yin'hua
禁钟楼的传说,jin'zhong'lou'de'chuan'shuo
镜泊湖的传说,jing'bo'hu'de'chuan'shuo
京岛的传说,jing'dao'de'chuan'shuo
景洪黎明之城,jing'hong'li'ming'zhi'cheng
净瓶山,jing'ping'shan
韭菜蒜葱的传说,jiu'cai'suan'cong'de'chuan'shuo
九华山得名的由来,jiu'hua'shan'de'ming'de'you'lai
九江的传说,jiu'jiang'de'chuan'shuo
九龙壁的传说,jiu'long'bi'de'chuan'shuo
九隆王,jiu'long'wang
九马画山,jiu'ma'hua'shan
九门传奇,jiu'men'chuan'qi
救太阳,jiu'tai'yang
酒坛峰,jiu'tan'feng
九仙李,jiu'xian'li
救月亮,jiu'yue'liang
九子战妖,jiu'zi'zhan'yao
隽李,jun'li
开天辟地的传说,kai'tian'pi'di'de'chuan'shuo
开元寺与海潮庵,kai'yuan'si'yu'hai'chao'an
柯尔克孜巴依,ke'er'ke'zi'ba'yi
垦王山,ken'wang'shan
口弦的故事,kou'xian'de'gu'shi
昆仑石,kun'lun'shi
拉祜人的大印,la'hu'ren'de'da'yin
拉什海,la'shi'hai
蜡台,la'tai
蓝靛的来历,lan'dian'de'lai'li
懒猴是怎样来的,lan'hou'shi'zen'yang'lai'de
狼姑娘,lang'gu'niang
老鸹岩,lao'gua'yan
老罕王为何葬东陵,lao'han'wang'wei'he'zang'dong'ling
老龙口的传说,lao'long'kou'de'chuan'shuo
老母猪窝,lao'mu'zhu'wo
崂山的传说,lao'shan'de'chuan'shuo
老鹰趴壁,lao'ying'pa'bi
雷公根,lei'gong'gen
李白的传说,li'bai'de'chuan'shuo
李德裕的传说,li'de'yu'de'chuan'shuo
李后主的传说,li'hou'zhu'de'chuan'shuo
李连贵熏肉大饼的来历,li'lian'gui'xun'rou'da'bing'de'lai'li
黎母山传说,li'mu'shan'chuan'shuo
李清照的传说,li'qing'zhao'de'chuan'shuo
李时珍的传说,li'shi'zhen'de'chuan'shuo
澧县的孟姜女传说,li'xian'de'meng'jiang'nv'chuan'shuo
鲤鱼胡同的来历,li'yu'hu'tong'de'lai'li
李元发的传说,li'yuan'fa'de'chuan'shuo
莲花池的传说,lian'hua'chi'de'chuan'shuo
梁红玉的传说,liang'hong'yu'de'chuan'shuo
两粒光闪闪的圆蛋,liang'li'guang'shan'shan'de'yuan'dan
亮马桥,liang'ma'qiao
猎神,lie'shen
林河酒的传说,lin'he'jiu'de'chuan'shuo
灵境胡同,ling'jing'hu'tong
陵水县名的由来,ling'shui'xian'ming'de'you'lai
刘伯温的传说,liu'bo'wen'de'chuan'shuo
刘伯温建北京城,liu'bo'wen'jian'bei'jing'cheng
刘金芳的传说,liu'jin'fang'de'chuan'shuo
六品叶沟,liu'pin'ye'gou
刘绍方的传说,liu'shao'fang'de'chuan'shuo
刘守真的传说,liu'shou'zhen'de'chuan'shuo
刘禹锡的传说,liu'yu'xi'de'chuan'shuo
留园奇石,liu'yuan'qi'shi
柳宗元的传说,liu'zong'yuan'de'chuan'shuo
龙鼻水,long'bi'shui
龙蚕,long'can
龙池鲫鱼的传说,long'chi'ji'yu'de'chuan'shuo
龙池山,long'chi'shan
龙凤沟,long'feng'gou
龙角山和虎头岭,long'jiao'shan'he'hu'tou'ling
龙井茶与虎跑泉,long'jing'cha'yu'hu'pao'quan
龙门的传说,long'men'de'chuan'shuo
龙门石窟的传说,long'men'shi'ku'de'chuan'shuo
龙女树,long'nv'shu
龙旗和八旗,long'qi'he'ba'qi
龙陷塘,long'xian'tang
龙珠井,long'zhu'jing
陆大用的传说,lu'da'yong'de'chuan'shuo
芦笛岩,lu'di'yan
芦沟晓月,lu'gou'xiao'yue
泸沽湖的传说,lu'gu'hu'de'chuan'shuo
陆家嘴的传说,lu'jia'zui'de'chuan'shuo
鲁妹造伞,lu'mei'zao'san
卢舍那大佛像的传说,lu'she'na'da'fo'xiang'de'chuan'shuo
芦笙的传说,lu'sheng'de'chuan'shuo
芦笙的故事,lu'sheng'de'gu'shi
落笔洞,luo'bi'dong
罗浮山风物传说,luo'fu'shan'feng'wu'chuan'shuo
洛龙歌布曲鸟,luo'long'ge'bu'qu'niao
洛神的传说,luo'shen'de'chuan'shuo
罗神公公和罗神奶奶,luo'shen'gong'gong'he'luo'shen'nai'nai
洛阳牡丹的传说,luo'yang'mu'dan'de'chuan'shuo
罗一塆与八河溪,luo'yi'wan'yu'ba'he'xi
落印潭,luo'yin'tan
吕洞宾与绍兴香糕,lv'dong'bin'yu'shao'xing'xiang'gao
马鞍山下三只羊,ma'an'shan'xia'san'zhi'yang
马坟的传说,ma'fen'de'chuan'shuo
马伏波与白马井,ma'fu'bo'yu'bai'ma'jing
马倌桥的故事,ma'guan'qiao'de'gu'shi
妈勒访天边,ma'le'fang'tian'bian
玛璐咖咖嘎朵,ma'lu'ka'ka'ga'duo
马娘娘的传说,ma'niang'niang'de'chuan'shuo
马头琴,ma'tou'qin
马头岩,ma'tou'yan
马祖庙的传说,ma'zu'miao'de'chuan'shuo
卖马不卖笼头的由来,mai'ma'bu'mai'long'tou'de'you'lai
猫鼻鹅銮与澎湖列岛,mao'bi'e'luan'yu'peng'hu'lie'dao
卯节的来历,mao'jie'de'lai'li
泖塔金牛,mao'ta'jin'niu
梅花鹿,mei'hua'lu
梅梁与梅龙桥,mei'liang'yu'mei'long'qiao
美人石,mei'ren'shi
梅圣俞的传说,mei'sheng'yu'de'chuan'shuo
门坎哨,men'kan'shao
孟姜女的传说,meng'jiang'nv'de'chuan'shuo
蒙居红特,meng'ju'hong'te
朦胧桥,meng'long'qiao
孟征捉猴子,meng'zheng'zhuo'hou'zi
米钵山的传说,mi'bo'shan'de'chuan'shuo
米芾的传说,mi'fu'de'chuan'shuo
明末李自成起义的传说,ming'mo'li'zi'cheng'qi'yi'de'chuan'shuo
明末张献忠起义的传说,ming'mo'zhang'xian'zhong'qi'yi'de'chuan'shuo
莫搓搓的由来,mo'cuo'cuo'de'you'lai
莫干山,mo'gan'shan
摩批,mo'pi
木城传奇覃佳耀的传说,mu'cheng'chuan'qi'tan'jia'yao'de'chuan'shuo
穆桂英的传说,mu'gui'ying'de'chuan'shuo
木兰的传说,mu'lan'de'chuan'shuo
木雀舞,mu'que'wu
纳布娄斯,na'bu'lou'si
那家馆的白肉血肠,na'jia'guan'de'bai'rou'xue'chang
纳西朵儿,na'xi'duo'er
奶光湖的传说,nai'guang'hu'de'chuan'shuo
男扮女装祭护寨神的来历,nan'ban'nv'zhuang'ji'hu'zhai'shen'de'lai'li
南果梨,nan'guo'li
南宋杨么起义的传说,nan'song'yang'me'qi'yi'de'chuan'shuo
南天湖的传说,nan'tian'hu'de'chuan'shuo
泥塑师吴潘强的传说,ni'su'shi'wu'pan'qiang'de'chuan'shuo
黏耗子,nian'hao'zi
捻军起义的传说,nian'jun'qi'yi'de'chuan'shuo
鸟吊山,niao'diao'shan
牛狗鸡和粮食,niu'gou'ji'he'liang'shi
牛屎乌,niu'shi'wu
牛为什么没有上门牙,niu'wei'shen'me'mei'you'shang'men'ya
牛尾寨,niu'wei'zhai
牛庄城,niu'zhuang'cheng
侬智高的传说,nong'zhi'gao'de'chuan'shuo
努尔哈赤的传说,nu'er'ha'chi'de'chuan'shuo
怒尤的传说,nu'you'de'chuan'shuo
女儿礁,nv'er'jiao
女儿寨传说,nv'er'zhai'chuan'shuo
女神贡堂拉姆的传说,nv'shen'gong'tang'la'mu'de'chuan'shuo
女须的传说,nv'xu'de'chuan'shuo
女真族源传说,nv'zhen'zu'yuan'chuan'shuo
瓯江和江心屿,ou'jiang'he'jiang'xin'yu
欧阳修的传说,ou'yang'xiu'de'chuan'shuo
欧冶子铸剑,ou'ye'zi'zhu'jian
盘古的传说,pan'gu'de'chuan'shuo
盘王的传说,pan'wang'de'chuan'shuo
彭公爵主的传说,peng'gong'jue'zhu'de'chuan'shuo
彭胡与白沙,peng'hu'yu'bai'sha
琵琶峰,pi'pa'feng
琵琶鬼的来历,pi'pa'gui'de'lai'li
屏风山上金鸡啼,ping'feng'shan'shang'jin'ji'ti
破壁而飞,po'bi'er'fei
坡囝,po'jian
泼水节,po'shui'jie
泼雪泉,po'xue'quan
普舍树,pu'she'shu
菩圣坳,pu'sheng'ao
七布潭,qi'bu'tan
七女峰,qi'nv'feng
骑石树,qi'shi'shu
七星草,qi'xing'cao
七星披肩的来历,qi'xing'pi'jian'de'lai'li
七星岩的传说,qi'xing'yan'de'chuan'shuo
七指岭的传说,qi'zhi'ling'de'chuan'shuo
千朵莲花山,qian'duo'lian'hua'shan
千家峒的传说,qian'jia'dong'de'chuan'shuo
乾隆和刘墉的传说,qian'long'he'liu'yong'de'chuan'shuo
浅浅的沐乃河,qian'qian'de'mu'nai'he
钱清江,qian'qing'jiang
千山的来历,qian'shan'de'lai'li
千山温泉,qian'shan'wen'quan
乔半寡的故事,qiao'ban'gua'de'gu'shi
秦公主的传说,qin'gong'zhu'de'chuan'shuo
秦末陈胜吴广起义的传说,qin'mo'chen'sheng'wu'guang'qi'yi'de'chuan'shuo
琴潭晚奏,qin'tan'wan'zou
青格勒太子的传说,qing'ge'le'tai'zi'de'chuan'shuo
青海湖的传说,qing'hai'hu'de'chuan'shuo
青稞种子的由来,qing'ke'zhong'zi'de'you'lai
青山挂雪毛笔庄,qing'shan'gua'xue'mao'bi'zhuang
清水河,qing'shui'he
清水江与红水河,qing'shui'jiang'yu'hong'shui'he
清甜的奥尔科河,qing'tian'de'ao'er'ke'he
青云敬业小蓬莱,qing'yun'jing'ye'xiao'peng'lai
穷快活姜应芳的传说,qiong'kuai'huo'jiang'ying'fang'de'chuan'shuo
秋瑾的传说,qiu'jin'de'chuan'shuo
屈原的传说,qu'yuan'de'chuan'shuo
人的来历,ren'de'lai'li
人的手指为什么长短不齐,ren'de'shou'zhi'wei'shen'me'chang'duan'bu'qi
人鬼分家,ren'gui'fen'jia
人类迁徙记,ren'lei'qian'xi'ji
人崖的传说,ren'ya'de'chuan'shuo
日月峰,ri'yue'feng
箬帽峰,ruo'mao'feng
若耶溪上郑公风,ruo'ye'xi'shang'zheng'gong'feng
萨布素废除恶俗的传说,sa'bu'su'fei'chu'e'su'de'chuan'shuo
萨布素驯牛的传说,sa'bu'su'xun'niu'de'chuan'shuo
萨尔阿玛珂,sa'er'a'ma'ke
萨吉尔迪汗的传说两则,sa'ji'er'di'han'de'chuan'shuo'liang'ze
萨满神鼓的来历,sa'man'shen'gu'de'lai'li
三百马的学费,san'bai'ma'de'xue'fei
三岔河,san'cha'he
三岛传说,san'dao'chuan'shuo
三斧石,san'fu'shi
三九的传说,san'jiu'de'chuan'shuo
三砬子峰,san'la'zi'feng
三女找太阳,san'nv'zhao'tai'yang
三牌楼路,san'pai'lou'lu
三七的传说,san'qi'de'chuan'shuo
三青鸟,san'qing'niao
三太子和龙泉寺,san'tai'zi'he'long'quan'si
三危佛光,san'wei'fo'guang
三危山的传说,san'wei'shan'de'chuan'shuo
三峡的传说,san'xia'de'chuan'shuo
三月挂青的来由,san'yue'gua'qing'de'lai'you
三月街的传说,san'yue'jie'de'chuan'shuo
三月三的传说,san'yue'san'de'chuan'shuo
三姊妹,san'zi'mei
山兰稻种,shan'lan'dao'zhong
山神百纳查的传说,shan'shen'bai'na'cha'de'chuan'shuo
山鹰姑娘,shan'ying'gu'niang
上海小刀会起义的传说,shang'hai'xiao'dao'hui'qi'yi'de'chuan'shuo
上马石,shang'ma'shi
上丈屯,shang'zhang'tun
娋娘岩的传说,shao'niang'yan'de'chuan'shuo
射摩的传说,she'mo'de'chuan'shuo
蛇是财神的由来,she'shi'cai'shen'de'you'lai
佘氏婆婆,she'shi'po'po
舍卧克的传说,she'wo'ke'de'chuan'shuo
神蚌和崇明,shen'bang'he'chong'ming
神农的传说,shen'nong'de'chuan'shuo
神女助建九环桥,shen'nv'zhu'jian'jiu'huan'qiao
沈佺期的传说,shen'quan'qi'de'chuan'shuo
神头三大王的传说,shen'tou'san'da'wang'de'chuan'shuo
沈周的传说,shen'zhou'de'chuan'shuo
石崇和他的金谷园,shi'chong'he'ta'de'jin'gu'yuan
石顶真取天河水,shi'ding'zhen'qu'tian'he'shui
石和尚,shi'he'shang
石蜡和大风垭,shi'la'he'da'feng'ya
石林的传说,shi'lin'de'chuan'shuo
石马洞,shi'ma'dong
石磨的传说,shi'mo'de'chuan'shuo
石人的传说,shi'ren'de'chuan'shuo
狮子回头望虎丘,shi'zi'hui'tou'wang'hu'qiu
氏族来源的传说,shi'zu'lai'yuan'de'chuan'shuo
手鼓的传说,shou'gu'de'chuan'shuo
瘦岭的故事,shou'ling'de'gu'shi
兽铜铃的传说,shou'tong'ling'de'chuan'shuo
首阳山,shou'yang'shan
舒姑泉,shu'gu'quan
甩糠包的来历,shuai'kang'bao'de'lai'li
双镜池,shuang'jing'chi
双女石,shuang'nv'shi
双狮抢球,shuang'shi'qiang'qiu
水笕,shui'jian
水牛犁田的传说,shui'niu'li'tian'de'chuan'shuo
水杉的传说,shui'shan'de'chuan'shuo
谁是山林的主人,shui'shi'shan'lin'de'zhu'ren
水仙花的传说,shui'xian'hua'de'chuan'shuo
顺治出生和出家的传说,shun'zhi'chu'sheng'he'chu'jia'de'chuan'shuo
顺治康熙雍正的传说,shun'zhi'kang'xi'yong'zheng'de'chuan'shuo
四个大力士求亲,si'ge'da'li'shi'qiu'qin
蛳为什么住在田里,si'wei'shen'me'zhu'zai'tian'li
四仙岩和会仙岩,si'xian'yan'he'hui'xian'yan
四也挑歌传侗乡,si'ye'tiao'ge'chuan'dong'xiang
松柏灵,song'bai'ling
苏东坡的传说,su'dong'po'de'chuan'shuo
苏莱卡乌奇坎,su'lai'ka'wu'qi'kan
苏小妹的传说,su'xiao'mei'de'chuan'shuo
苏小小传说,su'xiao'xiao'chuan'shuo
素馨花的传说,su'xin'hua'de'chuan'shuo
苏州的传说,su'zhou'de'chuan'shuo
隋末王薄起义的传说,sui'mo'wang'bao'qi'yi'de'chuan'shuo
隋塔,sui'ta
孙思邈的传说,sun'si'miao'de'chuan'shuo
塔城热巴舞的来历,ta'cheng're'ba'wu'de'lai'li
台风的传说,tai'feng'de'chuan'shuo
