爱国治民,ai'guo'zhi'min
此三者以为文不足,ci'san'zhe'yi'wei'wen'bu'zu
此外,ci'wai
此外为数不多之处,ci'wai'wei'shu'bu'duo'zhi'chu
挫其锐,cuo'qi'rui
大白若辱,da'bai'ruo'ru
大邦不过欲兼畜人,da'bang'bu'guo'yu'jian'chu'ren
大邦者下流,da'bang'zhe'xia'liu
大辩若讷,da'bian'ruo'ne
大成若缺,da'cheng'ruo'que
大道泛兮,da'dao'fan'xi
大道废,da'dao'fei
大道甚夷,da'dao'shen'yi
大方无隅,da'fang'wu'yu
大军之后,da'jun'zhi'hou
大器晚成,da'qi'wan'cheng
大巧若拙,da'qiao'ruo'zhuo
大象无形,da'xiang'wu'xing
大笑之,da'xiao'zhi
大音希声,da'yin'xi'sheng
大盈若冲,da'ying'ruo'chong
大曰逝,da'yue'shi
大者宜为下,da'zhe'yi'wei'xia
大直若屈,da'zhi'ruo'qu
打字输入而成,da'zi'shu'ru'er'cheng
带利,dai'li
带利剑,dai'li'jian
淡乎其无味,dan'hu'qi'wu'wei
但论及,dan'lun'ji
但论及能总括中华民族的基,dan'lun'ji'neng'zong'kuo'zhong'hua'min'zu'de'ji
但融汇于儒,dan'rong'hui'yu'ru
澹兮其若海,dan'xi'qi'ruo'hai
当其无,dang'qi'wu
当首数,dang'shou'shu
当首数老子的,dang'shou'shu'lao'zi'de
道常无名朴,dao'chang'wu'ming'pu
道常无为而无不为,dao'chang'wu'wei'er'wu'bu'wei
道冲,dao'chong
道德经,dao'de'jing
道法自然,dao'fa'zi'ran
道可道,dao'ke'dao
道乃久,dao'nai'jiu
道生一,dao'sheng'yi
道生之,dao'sheng'zhi
道亦乐得之,dao'yi'le'de'zhi
道隐无名,dao'yin'wu'ming
盗贼多有,dao'zei'duo'you
盗贼无,dao'zei'wu
盗贼无有,dao'zei'wu'you
道者万物之奥,dao'zhe'wan'wu'zhi'ao
道之出口,dao'zhi'chu'kou
道之华,dao'zhi'hua
道之为物,dao'zhi'wei'wu
道之尊,dao'zhi'zun
的版本,de'ban'ben
的版本以及诸多的注,de'ban'ben'yi'ji'zhu'duo'de'zhu
的帛书本及傅奕本等古本,de'bo'shu'ben'ji'fu'yi'ben'deng'gu'ben
德畜之,de'chu'zhi
的宏大框架,de'hong'da'kuang'jia
德善,de'shan
得所欲,de'suo'yu
的五千文字,de'wu'qian'wen'zi
德信,de'xin
德亦乐得之,de'yi'le'de'zhi
得与亡孰病,de'yu'wang'shu'bing
德者,de'zhe
德之贵,de'zhi'gui
德之厚,de'zhi'hou
得之若惊,dei'zhi'ruo'jing
第八章,di'ba'zhang
涤除玄鉴,di'chu'xuan'jian
地大,di'da
地得一以宁,di'de'yi'yi'ning
第二十八章,di'er'shi'ba'zhang
第二十二章,di'er'shi'er'zhang
第二十九章,di'er'shi'jiu'zhang
第二十六章,di'er'shi'liu'zhang
第二十七章,di'er'shi'qi'zhang
第二十三章,di'er'shi'san'zhang
第二十四章,di'er'shi'si'zhang
第二十五章,di'er'shi'wu'zhang
第二十一章,di'er'shi'yi'zhang
第二十章,di'er'shi'zhang
第二章,di'er'zhang
地法天,di'fa'tian
第九章,di'jiu'zhang
第六十八章,di'liu'shi'ba'zhang
第六十二章,di'liu'shi'er'zhang
第六十六章,di'liu'shi'liu'zhang
第六十七章,di'liu'shi'qi'zhang
第六十三章,di'liu'shi'san'zhang
第六十四章,di'liu'shi'si'zhang
第六十五章,di'liu'shi'wu'zhang
第六十一章,di'liu'shi'yi'zhang
第六十章,di'liu'shi'zhang
第六章,di'liu'zhang
第七章,di'qi'zhang
第三十八章,di'san'shi'ba'zhang
第三十二章,di'san'shi'er'zhang
第三十九章,di'san'shi'jiu'zhang
第三十六章,di'san'shi'liu'zhang
第三十七章,di'san'shi'qi'zhang
第三十三章,di'san'shi'san'zhang
第三十四章,di'san'shi'si'zhang
第三十五章,di'san'shi'wu'zhang
第三十一章,di'san'shi'yi'zhang
第三十章,di'san'shi'zhang
第三章,di'san'zhang
第十八章,di'shi'ba'zhang
第十二章,di'shi'er'zhang
第十九章,di'shi'jiu'zhang
第十六章,di'shi'liu'zhang
第十七章,di'shi'qi'zhang
第十三章,di'shi'san'zhang
第十四章,di'shi'si'zhang
第十五章,di'shi'wu'zhang
第十一章,di'shi'yi'zhang
第十章,di'shi'zhang
第四十八章,di'si'shi'ba'zhang
第四十二章,di'si'shi'er'zhang
第四十九章,di'si'shi'jiu'zhang
第四十六章,di'si'shi'liu'zhang
第四十七章,di'si'shi'qi'zhang
第四十三章,di'si'shi'san'zhang
第四十四章,di'si'shi'si'zhang
第四十五章,di'si'shi'wu'zhang
第四十一章,di'si'shi'yi'zhang
第四十章,di'si'shi'zhang
第四章,di'si'zhang
第五十八章,di'wu'shi'ba'zhang
第五十二章,di'wu'shi'er'zhang
第五十九章,di'wu'shi'jiu'zhang
第五十六章,di'wu'shi'liu'zhang
第五十七章,di'wu'shi'qi'zhang
第五十三章,di'wu'shi'san'zhang
第五十四章,di'wu'shi'si'zhang
第五十五章,di'wu'shi'wu'zhang
第五十一章,di'wu'shi'yi'zhang
第五十章,di'wu'shi'zhang
地无以宁,di'wu'yi'ning
第五章,di'wu'zhang
第一章,di'yi'zhang
电子版说明,dian'zi'ban'shuo'ming
动而愈出,dong'er'yu'chu
动善时,dong'shan'shi
动之于,dong'zhi'yu
毒虫不螫,du'chong'bu'shi
独立而不改,du'li'er'bu'gai
沌沌兮,dun'dun'xi
敦兮其若朴,dun'xi'qi'ruo'pu
多藏必厚亡,duo'cang'bi'hou'wang
多如牛毛,duo'ru'niu'mao
多言数穷,duo'yan'shu'qiong
多易必多难,duo'yi'bi'duo'nan
多则惑,duo'ze'huo
而贵食母,er'gui'shi'mu
而况于人乎,er'kuang'yu'ren'hu
而乱之首,er'luan'zhi'shou
而美之者,er'mei'zhi'zhe
而民弥贫,er'min'mi'pin
而民自富,er'min'zi'fu
而民自化,er'min'zi'hua
而民自朴,er'min'zi'pu
而民自正,er'min'zi'zheng
而人好径,er'ren'hao'jing
而人居其一焉,er'ren'ju'qi'yi'yan
二生三,er'sheng'san
而王公以为称,er'wang'gong'yi'wei'cheng
而我独若遗,er'wo'du'ruo'yi
而我独顽且鄙,er'wo'du'wan'qie'bi
而以身轻天下,er'yi'shen'qing'tian'xia
而用之或不盈,er'yong'zhi'huo'bu'ying
而愚之始,er'yu'zhi'shi
二曰俭,er'yue'jian
法令滋彰,fa'ling'zi'zhang
凡国标码表中,fan'guo'biao'ma'biao'zhong
凡国标码表中无对应的少数汉字,fan'guo'biao'ma'biao'zhong'wu'dui'ying'de'shao'shu'han'zi
反者道之动,fan'zhe'dao'zhi'dong
方法论,fang'fa'lun
方法论的宏大框架,fang'fa'lun'de'hong'da'kuang'jia
非常道,fei'chang'dao
非常名,fei'chang'ming
非道也哉,fei'dao'ye'zai
非乎,fei'hu
非君子之器,fei'jun'zi'zhi'qi
非其鬼不神,fei'qi'gui'bu'shen
非其神不伤,fei'qi'shen'bu'shang
非其神不伤人,fei'qi'shen'bu'shang'ren
非以明民,fei'yi'ming'min
非以其无私邪,fei'yi'qi'wu'si'xie
分院编,fen'yuan'bian
福,fu
夫兵者,fu'bing'zhe
夫慈以战则胜,fu'ci'yi'zhan'ze'sheng
富贵而骄,fu'gui'er'jiao
复归其明,fu'gui'qi'ming
复归于朴,fu'gui'yu'pu
复归于物,fu'gui'yu'wu
复归于无极,fu'gui'yu'wu'ji
复归于婴儿,fu'gui'yu'ying'er
符号代之,fu'hao'dai'zhi
夫何故,fu'he'gu
夫将不欲,fu'jiang'bu'yu
夫乐杀人者,fu'le'sha'ren'zhe
夫礼者,fu'li'zhe
夫两不相伤,fu'liang'bu'xiang'shang
夫两者各,fu'liang'zhe'ge
复命曰常,fu'ming'yue'chang
夫莫之命而常自然,fu'mo'zhi'ming'er'chang'zi'ran
夫轻诺必寡信,fu'qing'nuo'bi'gua'xin
复守其母,fu'shou'qi'mu
夫唯不可识,fu'wei'bu'ke'shi
夫唯不盈,fu'wei'bu'ying
夫唯不争,fu'wei'bu'zheng
夫唯大,fu'wei'da
夫唯道,fu'wei'dao
夫唯弗居,fu'wei'fu'ju
夫为啬,fu'wei'se
服文采,fu'wen'cai
夫物或行或随,fu'wu'huo'xing'huo'sui
夫物芸芸,fu'wu'yun'yun
福兮祸之所伏,fu'xi'huo'zhi'suo'fu
夫亦将知止,fu'yi'jiang'zhi'zhi
盖闻善摄生者,gai'wen'shan'she'sheng'zhe
高下相盈,gao'xia'xiang'ying
高以下为基,gao'yi'xia'wei'ji
各复归其根,ge'fu'gui'qi'gen
根据历代,gen'ju'li'dai
根据历代校诂学者可取的见解,gen'ju'li'dai'xiao'gu'xue'zhe'ke'qu'de'jian'jie
功成而不居,gong'cheng'er'bu'ju
功成而不有,gong'cheng'er'bu'you
功成事遂,gong'cheng'shi'sui
公乃全,gong'nai'quan
功遂身退,gong'sui'shen'tui
共一毂,gong'yi'gu
构造出了,gou'zao'chu'le
构造出了一个朴素,gou'zao'chu'liao'yi'ge'pu'su
骨,gu
故,gu
古本,gu'ben
故不可得而,gu'bu'ke'de'er
故不可得而亲,gu'bu'ke'de'er'qin
故长,gu'chang
故常无,gu'chang'wu
故从事于道者,gu'cong'shi'yu'dao'zhe
故大邦以下小邦,gu'da'bang'yi'xia'xiao'bang
故大智不割,gu'da'zhi'bu'ge
故道大,gu'dao'da
故道生之,gu'dao'sheng'zhi
故德交归焉,gu'de'jiao'gui'yan
谷得一以,gu'de'yi'yi
谷得一以生,gu'de'yi'yi'sheng
固柢,gu'di
故贵以贱为本,gu'gui'yi'jian'wei'ben
故贵以身为天下,gu'gui'yi'shen'wei'tian'xia
故混而为一,gu'hun'er'wei'yi
故或下,gu'huo'xia
故几于道,gu'ji'yu'dao
故建言有之,gu'jian'yan'you'zhi
故立天子,gu'li'tian'zi
故令有所属,gu'ling'you'suo'shu
故明,gu'ming
故能蔽而新成,gu'neng'bi'er'xin'cheng
故能长生,gu'neng'chang'sheng
故能成,gu'neng'cheng
故能成器长,gu'neng'cheng'qi'chang
故能成其大,gu'neng'cheng'qi'da
故能为百谷王,gu'neng'wei'bai'gu'wang
故飘风不终朝,gu'piao'feng'bu'zhong'chao
故强为之容,gu'qiang'wei'zhi'rong
故去彼取此,gu'qu'bi'qu'ci
骨弱筋柔而握固,gu'ruo'jin'rou'er'wo'gu
故善人者,gu'shan'ren'zhe
谷神不死,gu'shen'bu'si
故圣人云,gu'sheng'ren'yun
故失道而后德,gu'shi'dao'er'hou'de
故似不肖,gu'si'bu'xiao
故天下莫能与之争,gu'tian'xia'mo'neng'yu'zhi'zheng
故为天下贵,gu'wei'tian'xia'gui
故无败,gu'wu'bai
故物或损之而益,gu'wu'huo'sun'zhi'er'yi
故无弃人,gu'wu'qi'ren
故无弃物,gu'wu'qi'wu
故无失,gu'wu'shi
谷无以盈,gu'wu'yi'ying
故无尤,gu'wu'you
故以身观身,gu'yi'shen'guan'shen
故以智治国,gu'yi'zhi'zhi'guo
鼓应校定文原是,gu'ying'xiao'ding'wen'yuan'shi
故有道者不处,gu'you'dao'zhe'bu'chu
故有功,gu'you'gong
故有之以为利,gu'you'zhi'yi'wei'li
故彰,gu'zhang
古之善为道者,gu'zhi'shan'wei'dao'zhe
古之所谓,gu'zhi'suo'wei
古之所以贵此道者何,gu'zhi'suo'yi'gui'ci'dao'zhe'he
故致誉无誉,gu'zhi'yu'wu'yu
故知足不辱,gu'zhi'zu'bu'ru
故知足之足,gu'zhi'zu'zhi'zu
故终无难矣,gu'zhong'wu'nan'yi
寡,gua
广德若不足,guang'de'ruo'bu'zu
光而不耀,guang'er'bu'yao
贵大患若身,gui'da'huan'ruo'shen
归根曰静,gui'gen'yue'jing
果而,guo'er
果而勿伐,guo'er'wu'fa
果而勿骄,guo'er'wu'jiao
果而勿矜,guo'er'wu'jin
果而勿强,guo'er'wu'qiang
国家昏,guo'jia'hun
国家昏乱,guo'jia'hun'luan
国家滋昏,guo'jia'zi'hun
过客止,guo'ke'zhi
国之,guo'zhi
国之福,guo'zhi'fu
国之利器不可以示人,guo'zhi'li'qi'bu'ke'yi'shi'ren
国之贼,guo'zhi'zei
孩之,hai'zhi
含,han
含德之厚,han'de'zhi'hou
汗牛充栋,han'niu'chong'dong
寒胜热,han'sheng're
行于大道,hang'yu'da'dao
好话不在言多,hao'hua'bu'zai'yan'duo
和,he
合抱之木,he'bao'zhi'mu
何患,he'huan
和其光,he'qi'guang
何弃之有,he'qi'zhi'you
何谓宠辱若惊,he'wei'chong'ru'ruo'jing
何谓贵大患若身,he'wei'gui'da'huan'ruo'shen
和之至也,he'zhi'zhi'ye
恒也,heng'ye
侯得一以为天下正,hou'de'yi'yi'wei'tian'xia'zheng
侯王若能守之,hou'wang'ruo'neng'shou'zhi
侯王无以正,hou'wang'wu'yi'zheng
虎无所用其爪,hu'wu'suo'yong'qi'zhao
惚兮恍兮,hu'xi'huang'xi
化而欲作,hua'er'yu'zuo
华夏文明,hua'xia'wen'ming
涣兮其若凌释,huan'xi'qi'ruo'ling'shi
黄山分院编,huang'shan'fen'yuan'bian
荒兮,huang'xi
恍兮惚兮,huang'xi'hu'xi
混兮其若浊,hun'xi'qi'ruo'zhuo
豁达,huo'da
祸莫大于不知足,huo'mo'da'yu'bu'zhi'zu
或强或羸,huo'qiang'huo'lei
祸兮福之所倚,huo'xi'fu'zhi'suo'yi
或下而取,huo'xia'er'qu
或嘘或吹,huo'xu'huo'chui
或益之而损,huo'yi'zhi'er'sun
或载或隳,huo'zai'huo'hui
基本传统,ji'ben'chuan'tong
基本肌骨,ji'ben'ji'gu
既得其母,ji'de'qi'mu
及傅奕本等,ji'fu'yi'ben'deng
济其事,ji'qi'shi
及其有事,ji'qi'you'shi
吉事尚左,ji'shi'shang'zuo
及吾无身,ji'wu'wu'shen
寂兮寥兮,ji'xi'liao'xi
甲兵,jia'bing
加以订,jia'yi'ding
加以订正,jia'yi'ding'zheng
贱,jian
剑,jian
建德若偷,jian'de'ruo'tou
俭故能广,jian'gu'neng'guang
简洁优美,jian'jie'you'mei
见素抱朴,jian'su'bao'pu
见天道,jian'tian'dao
见小曰明,jian'xiao'yue'ming
江海之所以能为百谷王者,jiang'hai'zhi'suo'yi'neng'wei'bai'gu'wang'zhe
将恐废,jiang'kong'fei
将恐竭,jiang'kong'jie
将恐蹶,jiang'kong'jue
将恐裂,jiang'kong'lie
将恐灭,jiang'kong'mie
将恐歇,jiang'kong'xie
江南文化书院,jiang'nan'wen'hua'shu'yuan
将以愚之,jiang'yi'yu'zhi
将欲废之,jiang'yu'fei'zhi
将欲取天下而为之,jiang'yu'qu'tian'xia'er'wei'zhi
将欲取之,jiang'yu'qu'zhi
将欲弱之,jiang'yu'ruo'zhi
将欲歙之,jiang'yu'she'zhi
将镇之以无名之朴,jiang'zhen'zhi'yi'wu'ming'zhi'pu
教授所著,jiao'shou'suo'zhu
解其纷,jie'qi'fen
洁优美的五千文字,jie'you'mei'de'wu'qian'wen'zi
皆知善之为善,jie'zhi'shan'zhi'wei'shan
进道若退,jin'dao'ruo'tui
尽管汗牛充栋,jin'guan'han'niu'chong'dong
今舍慈且勇,jin'she'ci'qie'yong
谨识,jin'shi
仅以简,jin'yi'jian
金玉满堂,jin'yu'man'tang
荆棘生焉,jing'ji'sheng'yan
静胜躁,jing'sheng'zao
静为躁君,jing'wei'zao'jun
静曰复命,jing'yue'fu'ming
精之至也,jing'zhi'zhi'ye
九层之台,jiu'ceng'zhi'tai
九九八十一章,jiu'jiu'ba'shi'yi'zhang
咎莫大于欲得,jiu'mo'da'yu'yu'de
久矣其细,jiu'yi'qi'xi
居善地,ju'shan'di
攫鸟不搏,jue'niao'bu'bo
绝巧弃利,jue'qiao'qi'li
绝仁弃义,jue'ren'qi'yi
绝圣弃智,jue'sheng'qi'zhi
绝学,jue'xue
均以,jun'yi
君子居则贵左,jun'zi'ju'ze'gui'zuo
开其兑,kai'qi'dui
可,ke
可名为大,ke'ming'wei'da
可名于小,ke'ming'yu'xiao
可取的见解,ke'qu'de'jian'jie
可以长久,ke'yi'chang'jiu
可以为天地母,ke'yi'wei'tian'di'mu
可以有国,ke'yi'you'guo
孔德之容,kong'de'zhi'rong
跨者不行,kua'zhe'bu'xing
旷兮其若谷,kuang'xi'qi'ruo'gu
老,lao
老子,lao'zi
老子的,lao'zi'de
乐得之,le'de'zhi
乐与饵,le'yu'er
累累兮,lei'lei'xi
李晓渝,li'xiao'yu
廉而不刿,lian'er'bu'gui
零零散散,ling'ling'san'san
零零散散打字输入而,ling'ling'san'san'da'zi'shu'ru'er
令人,ling'ren
令人行妨,ling'ren'hang'fang
流传下来的遗产,liu'chuan'xia'lai'de'yi'chan
六亲不和,liu'qin'bu'he
路行不遇兕虎,lu'xing'bu'yu'si'hu
乱,luan
珞珞如石,luo'luo'ru'shi
旅美学者,lv'mei'xue'zhe
美国超级超导对撞机实验室,mei'guo'chao'ji'chao'dao'dui'zhuang'ji'shi'yan'shi
没身,mei'shen
没身不殆,mei'shen'bu'dai
美行可以加人,mei'xing'ke'yi'jia'ren
美言可以市尊,mei'yan'ke'yi'shi'zun
美之与恶,mei'zhi'yu'e
猛兽不据,meng'shou'bu'ju
绵绵若存,mian'mian'ruo'cun
民复孝慈,min'fu'xiao'ci
民利百倍,min'li'bai'bei
民莫之令而自均,min'mo'zhi'ling'er'zi'jun
民心不乱,min'xin'bu'luan
民之从事,min'zhi'cong'shi
民之难治,min'zhi'nan'zhi
明,ming
明白四达,ming'bai'si'da
明道若昧,ming'dao'ruo'mei
名可名,ming'ke'ming
名亦既有,ming'yi'ji'you
名与身孰亲,ming'yu'shen'shu'qin
名曰微,ming'yue'wei
名曰希,ming'yue'xi
名曰夷,ming'yue'yi
莫若啬,mo'ruo'se
莫之能守,mo'zhi'neng'shou
莫知其极,mo'zhi'qi'ji
奈何万乘之主,nai'he'wan'sheng'zhi'zhu
难得之货,nan'de'zhi'huo
难易相成,nan'yi'xiang'cheng
能如疵乎,neng'ru'ci'hu
能如婴儿乎,neng'ru'ying'er'hu
能为雌乎,neng'wei'ci'hu
能无离乎,neng'wu'li'hu
能无为乎,neng'wu'wei'hu
能无知乎,neng'wu'zhi'hu
能知古始,neng'zhi'gu'shi
能总括,neng'zong'kuo
年文明流传下来的遗产,nian'wen'ming'liu'chuan'xia'lai'de'yi'chan
譬道之在天下,pi'dao'zhi'zai'tian'xia
偏将军居左,pian'jiang'jun'ju'zuo
飘逸的,piao'yi'de
飘逸的宇宙观,piao'yi'de'yu'zhou'guan
牝常以静胜牡,pin'chang'yi'jing'sheng'mu
朴散则为器,pu'san'ze'wei'qi
其安易持,qi'an'yi'chi
其出弥远,qi'chu'mi'yuan
其次,qi'ci
其脆易泮,qi'cui'yi'pan
其德乃,qi'de'nai
其德乃长,qi'de'nai'chang
其德乃丰,qi'de'nai'feng
其德乃普,qi'de'nai'pu
其德乃馀,qi'de'nai'yu
其德乃真,qi'de'nai'zhen
其鬼不神,qi'gui'bu'shen
其精炼的,qi'jing'lian'de
其精炼的九九八十一章,qi'jing'lian'de'jiu'jiu'ba'shi'yi'zhang
其精甚真,qi'jing'shen'zhen
其可左右,qi'ke'zuo'you
其民淳淳,qi'min'chun'chun
其民缺缺,qi'min'que'que
其名不去,qi'ming'bu'qu
其日固久,qi'ri'gu'jiu
其上不,qi'shang'bu
其神不伤人,qi'shen'bu'shang'ren
其实,qi'shi
其事好远,qi'shi'hao'yuan
其私,qi'si
其未央哉,qi'wei'yang'zai
其微易散,qi'wei'yi'san
其未兆,qi'wei'zhao
其未兆易谋,qi'wei'zhao'yi'mou
奇物,qi'wu
其无正也,qi'wu'zheng'ye
其下不昧,qi'xia'bu'mei
岂虚言,qi'xu'yan
岂虚言哉,qi'xu'yan'zai
其用不弊,qi'yong'bu'bi
其用不穷,qi'yong'bu'qiong
其犹橐龠乎,qi'you'tuo'yue'hu
起于累土,qi'yu'lei'tu
其在道也,qi'zai'dao'ye
企者不立,qi'zhe'bu'li
其政察察,qi'zheng'cha'cha
其政闷闷,qi'zheng'men'men
其知弥少,qi'zhi'mi'shao
其致之也,qi'zhi'zhi'ye
其中有,qi'zhong'you
其中有精,qi'zhong'you'jing
其中有名有姓,qi'zhong'you'ming'you'xing
其中有名有姓藏之名山者,qi'zhong'you'ming'you'xing'cang'zhi'ming'shan'zhe
其中有物,qi'zhong'you'wu
其中有象,qi'zhong'you'xiang
其中有信,qi'zhong'you'xin
其资,qi'zi
千百年来,qian'bai'nian'lai
前后相,qian'hou'xiang
前后相随,qian'hou'xiang'sui
千里之行,qian'li'zhi'xing
前识者,qian'shi'zhe
强梁者不得其死,qiang'liang'zhe'bu'de'qi'si
强其骨,qiang'qi'gu
强为之名曰大,qiang'wei'zhi'ming'yue'da
强行者有志,qiang'xing'zhe'you'zhi
强字之曰道,qiang'zi'zhi'yue'dao
亲,qin
勤而行之,qin'er'xing'zhi
亲而誉之,qin'er'yu'zhi
清静为天下正,qing'jing'wei'tian'xia'zheng
轻则失根,qing'ze'shi'gen
求以得,qiu'yi'de
去奢,qu'she
去泰,qu'tai
取天下常以无事,qu'tian'xia'chang'yi'wu'shi
曲则全,qu'ze'quan
曲则全者,qu'ze'quan'zhe
全乃天,quan'nai'tian
却走马以粪,que'zou'ma'yi'fen
然后乃至大顺,ran'hou'nai'zhi'da'shun
人,ren
人多伎巧,ren'duo'ji'qiao
人多利器,ren'duo'li'qi
人法地,ren'fa'di
人生观,ren'sheng'guan
人亦大,ren'yi'da
人之不善,ren'zhi'bu'shan
人之迷,ren'zhi'mi
人之生,ren'zhi'sheng
人之所恶,ren'zhi'suo'e
人之所教,ren'zhi'suo'jiao
人之所畏,ren'zhi'suo'wei
戎马生于郊,rong'ma'sheng'yu'jiao
容乃公,rong'nai'gong
柔弱胜刚强,rou'ruo'sheng'gang'qiang
如春登台,ru'chun'deng'tai
入军不被,ru'jun'bu'bei
儒释,ru'shi
如享太牢,ru'xiang'tai'lao
如婴儿之未孩,ru'ying'er'zhi'wei'hai
若比,ruo'bi
若存若亡,ruo'cun'ruo'wang
弱筋柔而握固,ruo'jin'rou'er'wo'gu
若可寄天下,ruo'ke'ji'tian'xia
若可托天下,ruo'ke'tuo'tian'xia
若烹小鲜,ruo'peng'xiao'xian
弱其志,ruo'qi'zhi
若无所归,ruo'wu'suo'gui
若肖,ruo'xiao
弱者道之用,ruo'zhe'dao'zhi'yong
塞其兑,sai'qi'dui
三百种之多,san'bai'zhong'zhi'duo
三生万物,san'sheng'wan'wu
三十辐,san'shi'fu
三曰不敢为天下先,san'yue'bu'gan'wei'tian'xia'xian
三者不可致诘,san'zhe'bu'ke'zhi'jie
