暗冲暗会尤为喜,an'chong'an'hui'you'wei'xi
得龙而运,de'long'er'yun
德胜才者局合君子之风,de'sheng'cai'zhe'ju'he'jun'zi'zhi'feng
得水而清,de'shui'er'qing
地道,di'dao
地道有燥湿,di'dao'you'zao'shi
地全三物,di'quan'san'wu
地润天和,di'run'tian'he
地生天者,di'sheng'tian'zhe
滴天髓,di'tian'sui
地旺喜静,di'wang'xi'jing
地位,di'wei
地支,di'zhi
丁火柔中,ding'huo'rou'zhong
定人祸福与灾祥,ding'ren'huo'fu'yu'zai'xiang
独象喜行化地,du'xiang'xi'xing'hua'di
多成多败度晨昏,duo'cheng'duo'bai'du'chen'hun
恩怨,en'yuan
而财神要旺,er'cai'shen'yao'wang
而化神要昌,er'hua'shen'yao'chang
而有相成者存,er'you'xiang'cheng'zhe'cun
而有相持者在,er'you'xiang'chi'zhe'zai
而于五行之妙,er'yu'wu'xing'zhi'miao
反局,fan'ju
方局,fang'ju
方是方兮局是局,fang'shi'fang'xi'ju'shi'ju
分藩司牧财官和,fen'fan'si'mu'cai'guan'he
奋郁,fen'yu
逢辛反怯,feng'xin'fan'qie
富贵福寿,fu'gui'fu'shou
父母,fu'mu
父母或降与或替,fu'mu'huo'jiang'yu'huo'ti
夫妻,fu'qi
夫妻因缘宿世来,fu'qi'yin'yuan'su'shi'lai
干支总论,gan'zhi'zong'lun
刚健为最,gang'jian'wei'zui
刚柔,gang'rou
刚中之德,gang'zhong'zhi'de
庚金带煞,geng'jin'dai'sha
庚寅癸丑,geng'yin'gui'chou
功化斯神,gong'hua'si'shen
孤儿异性能出类,gu'er'yi'xing'neng'chu'lei
关内有织女,guan'nei'you'zhi'nv
管取生平富贵真,guan'qu'sheng'ping'fu'gui'zhen
官杀,guan'sha
官杀混杂来问我,guan'sha'hun'za'lai'wen'wo
关外有牛郎,guan'wai'you'niu'lang
官星还不见,guan'xing'hai'bu'jian
官星有理会,guan'xing'you'li'hui
贵乎损上以益下,gui'hu'sun'shang'yi'yi'xia
贵乎损下而益上,gui'hu'sun'xia'er'yi'shang
癸水至弱,gui'shui'zhi'ruo
还须道路光亨,hai'xu'dao'lu'guang'heng
寒暖,han'nuan
寒则冷嗽,han'ze'leng'sou
寒则喜丁,han'ze'xi'ding
何处起根源,he'chu'qi'gen'yuan
和好视其孰切,he'hao'shi'qi'shu'qie
合局,he'ju
合壬而忠,he'ren'er'zhong
何事裙钗恣意留,he'shi'qun'chai'zi'yi'liu
何为冲,he'wei'chong
何为好,he'wei'hao
何为和,he'wei'he
何为战,he'wei'zhan
合戊见火,he'wu'jian'huo
合有宜不宜合多不为奇,he'you'yi'bu'yi'he'duo'bu'wei'qi
何知其人富,he'zhi'qi'ren'fu
何知其人贵,he'zhi'qi'ren'gui
何知其人吉,he'zhi'qi'ren'ji
何知其人贱,he'zhi'qi'ren'jian
何知其人贫,he'zhi'qi'ren'pin
何知其人寿,he'zhi'qi'ren'shou
何知其人凶,he'zhi'qi'ren'xiong
何知其人夭,he'zhi'qi'ren'yao
何知章,he'zhi'zhang
虎马犬乡,hu'ma'quan'xiang
化得真者只论化,hua'de'zhen'zhe'zhi'lun'hua
化神还有几般话,hua'shen'hai'you'ji'ban'hua
化象,hua'xiang
化象斯真,hua'xiang'si'zhen
化则有情,hua'ze'you'qing
怀丁抱丙,huai'ding'bao'bing
火炽乘龙,huo'chi'cheng'long
火烈而性燥者遇金水之激,huo'lie'er'xing'zao'zhe'yu'jin'shui'zhi'ji
火少火晦,huo'shao'huo'hui
火土印绶,huo'tu'yin'shou
火燥物病,huo'zao'wu'bing
疾病,ji'bing
机括此中求,ji'kuo'ci'zhong'qiu
忌神入五脏而病凶,ji'shen'ru'wu'zang'er'bing'xiong
吉神太露,ji'shen'tai'lu
忌神辗转攻,ji'shen'zhan'zhuan'gong
既识中和之正理,ji'shi'zhong'he'zhi'zheng'li
己土卑湿,ji'tu'bei'shi
基之定方也,ji'zhi'ding'fang'ye
既中且正,ji'zhong'qie'zheng
假从,jia'cong
假从亦可发其身,jia'cong'yi'ke'fa'qi'shen
假化,jia'hua
假化之人亦多贵,jia'hua'zhi'ren'yi'duo'gui
甲来成灭,jia'lai'cheng'mie
甲木参天,jia'mu'can'tian
假神,jia'shen
甲申戊寅,jia'shen'wu'yin
假神休要乱真神,jia'shen'xiu'yao'luan'zhen'shen
兼论食伤八格定,jian'lun'shi'shang'ba'ge'ding
金多金光,jin'duo'jin'guang
金见水以流通,jin'jian'shui'yi'liu'tong
金水枯伤而肾经虚,jin'shui'ku'shang'er'shen'jing'xu
金水伤官,jin'shui'shang'guan
进兮退兮宜抑扬,jin'xi'tui'xi'yi'yi'yang
精神,jing'shen
静翕动辟,jing'xi'dong'pi
局混方兮有纯庇,ju'hun'fang'xi'you'chun'bi
局中显奋发之机者,ju'zhong'xian'fen'fa'zhi'ji'zhe
君不可抗也,jun'bu'ke'kang'ye
君赖臣生理最微儿能救母泄天机,jun'lai'chen'sheng'li'zui'wei'er'neng'jiu'mu'xie'tian'ji
君象,jun'xiang
坎离,kan'li
坎离宰天地之中气,kan'li'zai'tian'di'zhi'zhong'qi
可春可秋,ke'chun'ke'qiu
可见不可见,ke'jian'bu'ke'jian
可秋可冬,ke'qiu'ke'dong
客神游六经而灾小,ke'shen'you'liu'jing'er'zai'xiao
跨凤乘猴,kua'feng'cheng'hou
刲羊解牛,kui'yang'jie'niu
坤元合德机缄通,kun'yuan'he'de'ji'jian'tong
乐水之盈,le'shui'zhi'ying
理承气行岂有常,li'cheng'qi'xing'qi'you'chang
理气,li'qi
两气合而成象,liang'qi'he'er'cheng'xiang
两意情通中有媒,liang'yi'qing'tong'zhong'you'mei
令上寻其聚得真,ling'shang'xun'qi'ju'de'zhen
流到何方住,liu'dao'he'fang'zhu
六亲论,liu'qin'lun
论财论杀论精神,lun'cai'lun'sha'lun'jing'shen
论夫论子要安详,lun'fu'lun'zi'yao'an'xiang
论痰多木火,lun'tan'duo'mu'huo
洛书流行之用,luo'shu'liu'xing'zhi'yong
满盘浊气令人苦,man'pan'zhuo'qi'ling'ren'ku
莫混局,mo'hun'ju
木不受水者血病,mu'bu'shou'shui'zhe'xue'bing
母慈灭子关因异夫健何为又怕妻,mu'ci'mie'zi'guan'yin'yi'fu'jian'he'wei'you'pa'qi
母象,mu'xiang
内性昭融,nei'xing'zhao'rong
能煅庚金,neng'duan'geng'jin
能扶社稷,neng'fu'she'ji
能救生灵,neng'jiu'sheng'ling
能泄金气,neng'xie'jin'qi
能赢甲兄,neng'ying'jia'xiong
能知旺衰之真机,neng'zhi'wang'shuai'zhi'zhen'ji
逆生之序见闲神而狂,ni'sheng'zhi'xu'jian'xian'shen'er'kuang
女命章,nv'ming'zhang
怕冲宜静,pa'chong'yi'jing
配合,pei'he
配合干支仔细详,pei'he'gan'zhi'zi'xi'xiang
否泰每经年,pi'tai'mei'jing'nian
譬之墓地,pi'zhi'mu'di
譬之宅也,pi'zhi'zhai'ye
其法不可执一,qi'fa'bu'ke'zhi'yi
气静平和妇道章,qi'jing'ping'he'fu'dao'zhang
其理信之有也,qi'li'xin'zhi'you'ye
骑马亦忧,qi'ma'yi'you
其气势而已矣,qi'qi'shi'er'yi'yi
气势攸长无削丧,qi'shi'you'chang'wu'xue'sang
欺霜侮雪,qi'shuang'wu'xue
其于三命之奥,qi'yu'san'ming'zhi'ao
起争夺之风,qi'zheng'duo'zhi'feng
气浊神枯了,qi'zhuo'shen'ku'le
强寡而敌众者,qiang'gua'er'di'zhong'zhe
强众而敌寡者,qiang'zhong'er'di'gua'zhe
清纯格局神气多,qing'chun'ge'ju'shen'qi'duo
清得尽时黄榜客,qing'de'jin'shi'huang'bang'ke
清气,qing'qi
清气还嫌官不起,qing'qi'hai'xian'guan'bu'qi
秋不容土,qiu'bu'rong'tu
全象喜行财地,quan'xiang'xi'xing'cai'di
热则风痰,re'ze'feng'tan
热则痰火,re'ze'tan'huo
热则喜母,re'ze'xi'mu
人道,ren'dao
人道得之,ren'dao'de'zhi
人道行之,ren'dao'xing'zhi
任君策马朝天阙,ren'jun'ce'ma'chao'tian'que
刃煞神清气势特,ren'sha'shen'qing'qi'shi'te
壬水通河,ren'shui'tong'he
人有精神,ren'you'jing'shen
人元为用事之神,ren'yuan'wei'yong'shi'zhi'shen
日干得气遇财星,ri'gan'de'qi'yu'cai'xing
柔刚不一也,rou'gang'bu'yi'ye
如有嫡母,ru'you'di'mu
若然方局一齐来,ruo'ran'fang'ju'yi'qi'lai
若要物旺,ruo'yao'wu'wang
若在艮坤,ruo'zai'gen'kun
三奇二德虚好语,san'qi'er'de'xu'hao'yu
杀关虽有不伤身,sha'guan'sui'you'bu'shang'shen
善为制者,shan'wei'zhi'zhe
伤官,shang'guan
伤官格清则谦和浊则刚猛,shang'guan'ge'qing'ze'qian'he'zhuo'ze'gang'meng
伤官见官最难辨,shang'guan'jian'guan'zui'nan'bian
上下贵乎情协,shang'xia'gui'hu'qing'xie
神舒意畅,shen'shu'yi'chang
生成品汇,sheng'cheng'pin'hui
生地库地皆非福,sheng'di'ku'di'jie'fei'fu
生毒郁火金,sheng'du'yu'huo'jin
生方怕动库宜开,sheng'fang'pa'dong'ku'yi'kai
生时,sheng'shi
生时乃归缩之地,sheng'shi'nai'gui'suo'zhi'di
生育万物,sheng'yu'wan'wu
势不两立,shi'bu'liang'li
始克谐成大顺之风,shi'ke'xie'cheng'da'shun'zhi'feng
时来寒谷也回春,shi'lai'han'gu'ye'hui'chun
始其所始,shi'qi'suo'shi
始有瓜瓞无疆之庆,shi'you'gua'die'wu'jiang'zhi'qing
势在成乎众,shi'zai'cheng'hu'zhong
势在去其寡,shi'zai'qu'qi'gua
时支枯者虎头蛇尾,shi'zhi'ku'zhe'hu'tou'she'wei
输于乙妹,shu'yu'yi'mei
衰而不穷,shuai'er'bu'qiong
衰神冲旺旺神发,shuai'shen'chong'wang'wang'shen'fa
衰旺,shuai'wang
水奔而性柔者当火土之神,shui'ben'er'xing'rou'zhe'dang'huo'tu'zhi'shen
水奔南而软怯,shui'ben'nan'er'ruan'qie
水猖显节,shui'chang'xian'jie
水宕骑虎,shui'dang'qi'hu
水木相胜而脾胃泄,shui'mu'xiang'sheng'er'pi'wei'xie
水润物生,shui'run'wu'sheng
顺局,shun'ju
顺逆,shun'ni
顺逆不齐也,shun'ni'bu'qi'ye
顺逆之机须理会,shun'ni'zhi'ji'xu'li'hui
顺生之机遇击神而抗,shun'sheng'zhi'ji'yu'ji'shen'er'kang
顺则吉兮凶则悖,shun'ze'ji'xi'xiong'ze'bei
思过半矣,si'guo'ban'yi
四柱和平易养成,si'zhu'he'ping'yi'yang'cheng
速达显灾祥,su'da'xian'zai'xiang
虽存浊气亦中式,sui'cun'zhuo'qi'yi'zhong'shi
虽然遥立意寻追,sui'ran'yao'li'yi'xun'zhui
岁月所关果非细,sui'yue'suo'guan'guo'fei'xi
岁运,sui'yun
台阁勋劳百世传,tai'ge'xun'lao'bai'shi'chuan
藤罗系甲,teng'luo'xi'jia
提纲不与真神照,ti'gang'bu'yu'zhen'shen'zhao
体用,ti'yong
提用财神看重轻,ti'yong'cai'shen'kan'zhong'qing
天道,tian'dao
天道有寒暖,tian'dao'you'han'nuan
天地顺遂而精粹者昌,tian'di'shun'sui'er'jing'cui'zhe'chang
天干,tian'gan
天合地者,tian'he'di'zhe
天全一气,tian'quan'yi'qi
天然清气发机权,tian'ran'qing'qi'fa'ji'quan
天衰怕冲,tian'shuai'pa'chong
天战犹自可地战急如火,tian'zhan'you'zi'ke'di'zhan'ji'ru'huo
通根透癸,tong'gen'tou'gui
通关,tong'guan
通神论,tong'shen'lun
土不受火者气伤,tu'bu'shou'huo'zhe'qi'shang
土干则脆,tu'gan'ze'cui
土润则生,tu'run'ze'sheng
土众成慈,tu'zhong'cheng'ci
脱胎要火,tuo'tai'yao'huo
万物司命,wan'wu'si'ming
旺而不烈,wang'er'bu'lie
旺者冲衰衰者拔,wang'zhe'chong'shuai'shuai'zhe'ba
畏土之叠,wei'tu'zhi'die
巍巍科第迈迈伦,wei'wei'ke'di'mai'mai'lun
温润而清,wen'run'er'qing
吾儿成气构门闾,wu'er'cheng'qi'gou'men'lv
无气不戾性情中和,wu'qi'bu'li'xing'qing'zhong'he
五气聚而成形,wu'qi'ju'er'cheng'xing
五气偏全定吉凶,wu'qi'pian'quan'ding'ji'xiong
戊土固重,wu'tu'gu'zhong
五行和者一世无灾,wu'xing'he'zhe'yi'shi'wu'zai
五阳从气不从势,wu'yang'cong'qi'bu'cong'shi
五阳皆阳丙为最,wu'yang'jie'yang'bing'wei'zui
五阴从势无情义,wu'yin'cong'shi'wu'qing'yi
五阴皆阴癸为至,wu'yin'jie'yin'gui'wei'zhi
喜神看与杀相连,xi'shen'kan'yu'sha'xiang'lian
喜神为辅弼,xi'shen'wei'fu'bi
喜神有意傍天财,xi'shen'you'yi'bang'tian'cai
下篇,xia'pian
咸池驿马半推详,xian'chi'yi'ma'ban'tui'xiang
先观帝载与神功,xian'guan'di'zai'yu'shen'gong
闲神,xian'shen
象不可破也,xiang'bu'ke'po'ye
象内多沉埋之气者,xiang'nei'duo'chen'mai'zhi'qi'zhe
相邀入洞房,xiang'yao'ru'dong'fang
小儿,xiao'er
辛金软弱,xin'jin'ruan'ruo
心郁志灰,xin'yu'zhi'hui
形不可害也,xing'bu'ke'hai'ye
性定元神厚,xing'ding'yuan'shen'hou
性情,xing'qing
形全者宜损其有余,xing'quan'zhe'yi'sun'qi'you'yu
形缺者宜补其不足,xing'que'zhe'yi'bu'qi'bu'zu
形象,xing'xiang
刑与穿兮动不动,xing'yu'chuan'xi'dong'bu'dong
行运喜南或喜北,xing'yun'xi'nan'huo'xi'bei
兄弟,xiong'di
兄弟谁废与谁兴,xiong'di'shui'fei'yu'shui'xing
凶物深藏,xiong'wu'shen'cang
秀才不是尘凡子,xiu'cai'bu'shi'chen'fan'zi
休囚系乎运尤系乎岁,xiu'qiu'xi'hu'yun'you'xi'hu'sui
须是干头无反复,xu'shi'gan'tou'wu'fan'fu
虚湿之地,xu'shi'zhi'di
血气乱者平生多疾,xue'qi'luan'zhe'ping'sheng'duo'ji
阳乘阳位阳气昌,yang'cheng'yang'wei'yang'qi'chang
阳干动且强,yang'gan'dong'qie'qiang
阳明遇金郁而多烦,yang'ming'yu'jin'yu'er'duo'fan
羊刃局战则逞威弱则怕事,yang'ren'ju'zhan'ze'cheng'wei'ruo'ze'pa'shi
阳浊藏火包而多滞,yang'zhuo'cang'huo'bao'er'duo'zhi
要得方,yao'de'fang
要紧之场作自家,yao'jin'zhi'chang'zuo'zi'jia
要与人间开聋聩,yao'yu'ren'jian'kai'long'kui
要在扶之抑之得其宜,yao'zai'fu'zhi'yi'zhi'de'qi'yi
要在损之益之得其中,yao'zai'sun'zhi'yi'zhi'de'qi'zhong
也从清浊分形影,ye'cong'qing'zhuo'fen'xing'ying
也作两神兴旺,ye'zuo'liang'shen'xing'wang
一出门来只见儿,yi'chu'men'lai'zhi'jian'er
一二闲神用去么,yi'er'xian'shen'yong'qu'me
一个玄机暗里存,yi'ge'xuan'ji'an'li'cun
一局清枯也苦人,yi'ju'qing'ku'ye'ku'ren
异路功名莫说轻,yi'lu'gong'ming'mo'shuo'qing
乙木虽柔,yi'mu'sui'rou
一清到底有精神,yi'qing'dao'di'you'jing'shen
宜助宜帮,yi'zhu'yi'bang
阴乘阴位阴气盛,yin'cheng'yin'wei'yin'qi'sheng
隐显,yin'xian
阴阳乖悖而混乱者亡,yin'yang'guai'bei'er'hun'luan'zhe'wang
阴阳顺逆之说,yin'yang'shun'ni'zhi'shuo
阴支静且专,yin'zhi'jing'qie'zhuan
影响遥系既为虚,ying'xiang'yao'xi'ji'wei'xu
永乎无穷,yong'hu'wu'qiong
用若无为碌碌人,yong'ruo'wu'wei'lu'lu'ren
用神多者性情不常,yong'shen'duo'zhe'xing'qing'bu'chang
有可有不可,you'ke'you'bu'ke
有情却被人离间,you'qing'que'bei'ren'li'jian
有全能焉,you'quan'neng'yan
欲识三元万法宗,yu'shi'san'yuan'wan'fa'zong
源流,yuan'liu
怨起恩中死不灰,yuan'qi'en'zhong'si'bu'hui
月令,yue'ling
月令乃提纲之府,yue'ling'nai'ti'gang'zhi'fu
杂气财官不可拘,za'qi'cai'guan'bu'ke'ju
再肇贞元之会胚胎嗣续之机,zai'zhao'zhen'yuan'zhi'hui'pei'tai'si'xu'zhi'ji
造化起于元亦止于贞,zao'hua'qi'yu'yuan'yi'zhi'yu'zhen
燥湿,zao'shi
燥则皮痒,zao'ze'pi'yang
宅之定向也,zhai'zhi'ding'xiang'ye
战冲视其孰降,zhan'chong'shi'qi'shu'jiang
战局,zhan'ju
真从之象有几人,zhen'cong'zhi'xiang'you'ji'ren
震兑,zhen'dui
震兑主仁义之真机,zhen'dui'zhu'ren'yi'zhi'zhen'ji
真假参差难辩论,zhen'jia'cen'ci'nan'bian'lun
真神,zhen'shen
真神得用平生贵,zhen'shen'dei'yong'ping'sheng'gui
真为杀印相生,zhen'wei'sha'yin'xiang'sheng
贞元,zhen'yuan
知慈母恤孤之道,zhi'ci'mu'xu'gu'zhi'dao
至刚者东火转北,zhi'gang'zhe'dong'huo'zhuan'bei
知来亦知去,zhi'lai'yi'zhi'qu
植立千古,zhi'li'qian'gu
知命,zhi'ming
支神祇以冲为重,zhi'shen'qi'yi'chong'wei'zhong
知孝子奉亲之方,zhi'xiao'zi'feng'qin'zhi'fang
只要吾儿又得儿,zhi'yao'wu'er'you'dei'er
众寡,zhong'gua
中和,zhong'he
终其所终,zhong'qi'suo'zhong
中正蓄藏,zhong'zheng'xu'cang
周流不滞,zhou'liu'bu'zhi
浊乱偏枯性情乖逆,zhuo'luan'pian'ku'xing'qing'guai'ni
浊气,zhuo'qi
子女,zi'nv
子女根枝一世传,zi'nv'gen'zhi'yi'shi'chuan
子象,zi'xiang
最拗者西水还南,zui'niu'zhe'xi'shui'hai'nan
最要行程安顿,zui'yao'xing'cheng'an'dun
左边右边空碌碌,zuo'bian'you'bian'kong'lu'lu
左右贵乎同志,zuo'you'gui'hu'tong'zhi
