爱国主义重点,ai'guo'zhu'yi'zhong'dian
第二单元生产劳动与经营,di'er'dan'yuan'sheng'chan'lao'dong'yu'jing'ying
第二课文化对人的影响,di'er'ke'wen'hua'dui'ren'de'ying'xiang
第二课我国公民的政治参与,di'er'ke'wo'guo'gong'min'de'zheng'zhi'can'yu
第六课我国的政党制度,di'liu'ke'wo'guo'de'zheng'dang'zhi'du
第六课我们的中华文化,di'liu'ke'wo'men'de'zhong'hua'wen'hua
第七课我们的民族精神,di'qi'ke'wo'men'de'min'zu'jing'shen
第三单元收入与分配,di'san'dan'yuan'shou'ru'yu'fen'pei
第三课文化的多样性与文化传播,di'san'ke'wen'hua'de'duo'yang'xing'yu'wen'hua'chuan'bo
第三课我国政府是人民的政府,di'san'ke'wo'guo'zheng'fu'shi'ren'min'de'zheng'fu
第十课文化发展的中心环节,di'shi'ke'wen'hua'fa'zhan'de'zhong'xin'huan'jie
第四单元发展社会主义市场经济,di'si'dan'yuan'fa'zhan'she'hui'zhu'yi'shi'chang'jing'ji
第四课文化的继承性与文化发展,di'si'ke'wen'hua'de'ji'cheng'xing'yu'wen'hua'fa'zhan
第四课我国政府受人民的监督,di'si'ke'wo'guo'zheng'fu'shou'ren'min'de'jian'du
地位领导和执政地位,di'wei'ling'dao'he'zhi'zheng'di'wei
地位是我国的一项基本政治制度,di'wei'shi'wo'guo'de'yi'xiang'ji'ben'zheng'zhi'zhi'du
第五课文化创新,di'wu'ke'wen'hua'chuang'xin
第五课我国的人民代表大会制度,di'wu'ke'wo'guo'de'ren'min'dai'biao'da'hui'zhi'du
第一单元生活与消费,di'yi'dan'yuan'sheng'huo'yu'xiao'fei
第一课文化与社会,di'yi'ke'wen'hua'yu'she'hui
第一制定正确的经营战略,di'yi'zhi'ding'zheng'que'de'jing'ying'zhan'lue
独树一帜的文学艺术,du'shu'yi'zhi'de'wen'xue'yi'shu
对待传统文化的正确态度是,dui'dai'chuan'tong'wen'hua'de'zheng'que'tai'du'shi
对待文化多样性的正确态度重点,dui'dai'wen'hua'duo'yang'xing'de'zheng'que'tai'du'zhong'dian
对人民生活的影响,dui'ren'min'sheng'huo'de'ying'xiang
对生产经营的影响,dui'sheng'chan'jing'ying'de'ying'xiang
多民族文化对中华文化的意义,duo'min'zu'wen'hua'dui'zhong'hua'wen'hua'de'yi'yi
多样性的表现记忆,duo'yang'xing'de'biao'xian'ji'yi
二发展辩证法的总特征之二条,er'fa'zhan'bian'zheng'fa'de'zong'te'zheng'zhi'er'tiao
二社会主义市场经济,er'she'hui'zhu'yi'shi'chang'jing'ji
二收入分配与社会公平,er'shou'ru'fen'pei'yu'she'hui'gong'ping
二我国的基本经济制度,er'wo'guo'de'ji'ben'jing'ji'zhi'du
二信用工具和外汇,er'xin'yong'gong'ju'he'wai'hui
发展的普遍性世界是永恒发展的,fa'zhan'de'pu'bian'xing'shi'jie'shi'yong'heng'fa'zhan'de
发展的总趋势前进性与曲折性,fa'zhan'de'zong'qu'shi'qian'jin'xing'yu'qu'zhe'xing
方法论坚持群众观点和群众路线,fang'fa'lun'jian'chi'qun'zhong'guan'dian'he'qun'zhong'lu'xian
方法论意义,fang'fa'lun'yi'yi
非公有制经济,fei'gong'you'zhi'jing'ji
分配政策制定合理的分配政策,fen'pei'zheng'ce'zhi'ding'he'li'de'fen'pei'zheng'ce
符合社会主义的本质要求,fu'he'she'hui'zhu'yi'de'ben'zhi'yao'qiu
腐朽文化,fu'xiu'wen'hua
负责受人民监督,fu'ze'shou'ren'min'jian'du
高三政治政治生活复习,gao'san'zheng'zhi'zheng'zhi'sheng'huo'fu'xi
个人所得税的作用,ge'ren'suo'de'shui'de'zuo'yong
公民参与民主决策的重大意义,gong'min'can'yu'min'zhu'jue'ce'de'zhong'da'yi'yi
公民权利和义务的关系,gong'min'quan'li'he'yi'wu'de'guan'xi
公民实行民主监督的意义,gong'min'shi'xing'min'zhu'jian'du'de'yi'yi
公民向政府求助的意义,gong'min'xiang'zheng'fu'qiu'zhu'de'yi'yi
公民怎样行使监督权,gong'min'zen'yang'xing'shi'jian'du'quan
公民政治生活的主要内容,gong'min'zheng'zhi'sheng'huo'de'zhu'yao'nei'rong
公司,gong'si
公司的兼并或破产,gong'si'de'jian'bing'huo'po'chan
公司的经营,gong'si'de'jing'ying
公司经营成功的因素,gong'si'jing'ying'cheng'gong'de'yin'su
公有制经济,gong'you'zhi'jing'ji
工作的宗旨为人民服务,gong'zuo'de'zong'zhi'wei'ren'min'fu'wu
构成要素人口领土政权主权,gou'cheng'yao'su'ren'kou'ling'tu'zheng'quan'zhu'quan
股票高风险高收益同在,gu'piao'gao'feng'xian'gao'shou'yi'tong'zai
规范市场秩序,gui'fan'shi'chang'zhi'xu
规律的客观性和普遍性,gui'lv'de'ke'guan'xing'he'pu'bian'xing
国际政治经济新秩序的基本内涵,guo'ji'zheng'zhi'jing'ji'xin'zhi'xu'de'ji'ben'nei'han
国际组织分类和作用,guo'ji'zu'zhi'fen'lei'he'zuo'yong
国家的一切权力属于人民,guo'jia'de'yi'qie'quan'li'shu'yu'ren'min
还可从以下角度考虑,hai'ke'cong'yi'xia'jiao'du'kao'lv
含义及目的利润,han'yi'ji'mu'di'li'run
含义用于交换的劳动产品,han'yi'yong'yu'jiao'huan'de'lao'dong'chan'pin
宏观调控,hong'guan'tiao'kong
弘扬科学精神,hong'yang'ke'xue'jing'shen
弘扬科学精神的要求,hong'yang'ke'xue'jing'shen'de'yao'qiu
弘扬中华民族精神的必要性重点,hong'yang'zhong'hua'min'zu'jing'shen'de'bi'yao'xing'zhong'dian
货币的含义及本质,huo'bi'de'han'yi'ji'ben'zhi
货币流通次数货币流通次数,huo'bi'liu'tong'ci'shu'huo'bi'liu'tong'ci'shu
基本立场独立自主,ji'ben'li'chang'du'li'zi'zhu
基本内容,ji'ben'nei'rong
基本形式竞争合作冲突,ji'ben'xing'shi'jing'zheng'he'zuo'chong'tu
基本职能形式观念上的货币,ji'ben'zhi'neng'xing'shi'guan'nian'shang'de'huo'bi
继承性相对稳定性鲜明的民族性,ji'cheng'xing'xiang'dui'wen'ding'xing'xian'ming'de'min'zu'xing
加强社会主义核心价值体系建设,jia'qiang'she'hui'zhu'yi'he'xin'jia'zhi'ti'xi'jian'she
价值观的导向作用,jia'zhi'guan'de'dao'xiang'zuo'yong
价值规律来源学科网,jia'zhi'gui'lv'lai'yuan'xue'ke'wang
价值决定价格,jia'zhi'jue'ding'jia'ge
坚持独立自主自力更生的原则,jian'chi'du'li'zi'zhu'zi'li'geng'sheng'de'yuan'ze
坚持两点论和重点论相统一,jian'chi'liang'dian'lun'he'zhong'dian'lun'xiang'tong'yi
坚持权利与义务统一的原则,jian'chi'quan'li'yu'yi'wu'tong'yi'de'yuan'ze
坚持文化创新四个途径,jian'chi'wen'hua'chuang'xin'si'ge'tu'jing
监督机构监事会进行监督,jian'du'ji'gou'jian'shi'hui'jin'xing'jian'du
建设和谐文化培养文明风尚,jian'she'he'xie'wen'hua'pei'yang'wen'ming'feng'shang
建设社会主义核心价值体系重点,jian'she'she'hui'zhu'yi'he'xin'jia'zhi'ti'xi'zhong'dian
建设社会主义精神文明,jian'she'she'hui'zhu'yi'jing'shen'wen'ming
解决途径,jie'jue'tu'jing
结算方式现金结算和转账结算,jie'suan'fang'shi'xian'jin'jie'suan'he'zhuan'zhang'jie'suan
进行企业兼并或企业联合,jin'xing'qi'ye'jian'bing'huo'qi'ye'lian'he
经济生活知识点复习梳理,jing'ji'sheng'huo'zhi'shi'dian'fu'xi'shu'li
就业,jiu'ye
具体表现在以下三个方面,ju'ti'biao'xian'zai'yi'xia'san'ge'fang'mian
科学发展观,ke'xue'fa'zhan'guan
劳动者的权益,lao'dong'zhe'de'quan'yi
类型国债金融债券和企业债券,lei'xing'guo'zhai'jin'rong'zhai'quan'he'qi'ye'zhai'quan
类型人身保险和财产保险,lei'xing'ren'shen'bao'xian'he'cai'chan'bao'xian
历史唯物主义唯物史观,li'shi'wei'wu'zhu'yi'wei'wu'shi'guan
联合国的性质宗旨原则和作用,lian'he'guo'de'xing'zhi'zong'zhi'yuan'ze'he'zuo'yong
联系的多样性,lian'xi'de'duo'yang'xing
联系的客观性,lian'xi'de'ke'guan'xing
联系的普遍性,lian'xi'de'pu'bian'xing
两大基本规律的矛盾运动原理,liang'da'ji'ben'gui'lv'de'mao'dun'yun'dong'yuan'li
量入为出适度消费,liang'ru'wei'chu'shi'du'xiao'fei
六股票债券和保险,liu'gu'piao'zhai'quan'he'bao'xian
六积极参与国际经济竞争与合作,liu'ji'ji'can'yu'guo'ji'jing'ji'jing'zheng'yu'he'zuo
六树立正确的消费观,liu'shu'li'zheng'que'de'xiao'fei'guan
流通手段形式现实的货币,liu'tong'shou'duan'xing'shi'xian'shi'de'huo'bi
六依法纳税,liu'yi'fa'na'shui
落后文化,luo'hou'wen'hua
矛盾的次要方面,mao'dun'de'ci'yao'fang'mian
矛盾的含义,mao'dun'de'han'yi
矛盾的普遍性,mao'dun'de'pu'bian'xing
矛盾的特殊性,mao'dun'de'te'shu'xing
矛盾的同一性与斗争性,mao'dun'de'tong'yi'xing'yu'dou'zheng'xing
矛盾的主要方面,mao'dun'de'zhu'yao'fang'mian
民主和专政的辨证关系,min'zhu'he'zhuan'zheng'de'bian'zheng'guan'xi
民主集中制,min'zhu'ji'zhong'zhi
民族区域自治制度,min'zu'qu'yu'zi'zhi'zhi'du
农村村民如何实现村民自治,nong'cun'cun'min'ru'he'shi'xian'cun'min'zi'zhi
其公式流通中所需要的货币量,qi'gong'shi'liu'tong'zhong'suo'xu'yao'de'huo'bi'liang
企业,qi'ye
企业联合强强联合,qi'ye'lian'he'qiang'qiang'lian'he
勤俭节约艰苦奋斗,qin'jian'jie'yue'jian'ku'fen'dou
勤劳勇敢表现和作用理解,qin'lao'yong'gan'biao'xian'he'zuo'yong'li'jie
区别一府两院与人民代表大会,qu'bie'yi'fu'liang'yuan'yu'ren'min'dai'biao'da'hui
全国人民代表大会性质地位,quan'guo'ren'min'dai'biao'da'hui'xing'zhi'di'wei
全面改善人民生活,quan'mian'gai'shan'ren'min'sheng'huo
全面小康的经济建设目标,quan'mian'xiao'kang'de'jing'ji'jian'she'mu'biao
人大代表的权利和义务,ren'da'dai'biao'de'quan'li'he'yi'wu
人民代表大会的性质和职权,ren'min'dai'biao'da'hui'de'xing'zhi'he'zhi'quan
人民当家作主的政治制度有,ren'min'dang'jia'zuo'zhu'de'zheng'zhi'zhi'du'you
人民民主专政的社会主义国家,ren'min'min'zhu'zhuan'zheng'de'she'hui'zhu'yi'guo'jia
人民群众是历史的创造者,ren'min'qun'zhong'shi'li'shi'de'chuang'zao'zhe
人民政协的性质和职能,ren'min'zheng'xie'de'xing'zhi'he'zhi'neng
人生价值观,ren'sheng'jia'zhi'guan
认识论,ren'shi'lun
融资资金融通的过程,rong'zi'zi'jin'rong'tong'de'guo'cheng
如何规范市场经济秩序,ru'he'gui'fan'shi'chang'jing'ji'zhi'xu
如何提高开放型经济发展水平,ru'he'ti'gao'kai'fang'xing'jing'ji'fa'zhan'shui'ping
如何有效制约和监督权力,ru'he'you'xiao'zhi'yue'he'jian'du'quan'li
如何做到一切从实际出发,ru'he'zuo'dao'yi'qie'cong'shi'ji'chu'fa
三财政收入与支出,san'cai'zheng'shou'ru'yu'zhi'chu
三公司的经营,san'gong'si'de'jing'ying
三全面建成小康社会的经济目标,san'quan'mian'jian'cheng'xiao'kang'she'hui'de'jing'ji'mu'biao
三影响价格的因素,san'ying'xiang'jia'ge'de'yin'su
商品,shang'pin
商业活动人口迁徙教育,shang'ye'huo'dong'ren'kou'qian'xi'jiao'yu
商业银行,shang'ye'yin'hang
社会存在和社会意识的辩证关系,she'hui'cun'zai'he'she'hui'yi'shi'de'bian'zheng'guan'xi
社会听证制度有利于决策利民,she'hui'ting'zheng'zhi'du'you'li'yu'jue'ce'li'min
社会主义荣辱观重点,she'hui'zhu'yi'rong'ru'guan'zhong'dian
社会主义市场经济的基本特征,she'hui'zhu'yi'shi'chang'jing'ji'de'ji'ben'te'zheng
什么的中华民族精神重点,shen'me'de'zhong'hua'min'zu'jing'shen'zhong'dian
什么是大众文化重点,shen'me'shi'da'zhong'wen'hua'zhong'dian
什么是落后文化和腐朽文化重点,shen'me'shi'luo'hou'wen'hua'he'fu'xiu'wen'hua'zhong'dian
生活与哲学原理与方法论,sheng'huo'yu'zhe'xue'yuan'li'yu'fang'fa'lun
市场调节的局限性,shi'chang'tiao'jie'de'ju'xian'xing
是否正确处理权利和义务的关系,shi'fou'zheng'que'chu'li'quan'li'he'yi'wu'de'guan'xi
实践与认识的辩证关系,shi'jian'yu'ren'shi'de'bian'zheng'guan'xi
收入分配公平,shou'ru'fen'pei'gong'ping
税收的种类,shui'shou'de'zhong'lei
四财政巨大作用,si'cai'zheng'ju'da'zuo'yong
四创新条,si'chuang'xin'tiao
四价格变动的影响,si'jia'ge'bian'dong'de'ying'xiang
思想道德建设,si'xiang'dao'de'jian'she
四新时代的劳动者,si'xin'shi'dai'de'lao'dong'zhe
提高开放型经济水平,ti'gao'kai'fang'xing'jing'ji'shui'ping
提供社会公共服务的职能,ti'gong'she'hui'gong'gong'fu'wu'de'zhi'neng
团结统一表现和作用理解,tuan'jie'tong'yi'biao'xian'he'zuo'yong'li'jie
外汇储备贬值,wai'hui'chu'bei'bian'zhi
为什么要对政府权力进行监督,wei'shen'me'yao'dui'zheng'fu'quan'li'jin'xing'jian'du
为什么要坚持人民民主专政,wei'shen'me'yao'jian'chi'ren'min'min'zhu'zhuan'zheng
唯物论条,wei'wu'lun'tiao
文化传播的途径记忆,wen'hua'chuan'bo'de'tu'jing'ji'yi
文化创新的途径重点,wen'hua'chuang'xin'de'tu'jing'zhong'dian
文化创新的作用和意义重点,wen'hua'chuang'xin'de'zuo'yong'he'yi'yi'zhong'dian
文化创新四个的途径,wen'hua'chuang'xin'si'ge'de'tu'jing
文化的多样性的含义与原因理解,wen'hua'de'duo'yang'xing'de'han'yi'yu'yuan'yin'li'jie
文化的继承的表现形式记忆,wen'hua'de'ji'cheng'de'biao'xian'xing'shi'ji'yi
文化对社会的作用,wen'hua'dui'she'hui'de'zuo'yong
文化多样性的地位记忆,wen'hua'duo'yang'xing'de'di'wei'ji'yi
文化发展的方向科学发展观,wen'hua'fa'zhan'de'fang'xiang'ke'xue'fa'zhan'guan
文化发展的实质就在于文化创新,wen'hua'fa'zhan'de'shi'zhi'jiu'zai'yu'wen'hua'chuang'xin
文化继承与文化发展的关系记忆,wen'hua'ji'cheng'yu'wen'hua'fa'zhan'de'guan'xi'ji'yi
文化生活复习提纲,wen'hua'sheng'huo'fu'xi'ti'gang
文化是民族的又是世界的重点,wen'hua'shi'min'zu'de'you'shi'shi'jie'de'zhong'dian
文化与经济相互交融,wen'hua'yu'jing'ji'xiang'hu'jiao'rong
文化与经济政治相互影响,wen'hua'yu'jing'ji'zheng'zhi'xiang'hu'ying'xiang
文化与政治相互交融,wen'hua'yu'zheng'zhi'xiang'hu'jiao'rong
我国的外交政策,wo'guo'de'wai'jiao'zheng'ce
我国的宗教政策,wo'guo'de'zong'jiao'zheng'ce
我国人民民主的特点及表现,wo'guo'ren'min'min'zhu'de'te'dian'ji'biao'xian
我国是统一的多民族国家,wo'guo'shi'tong'yi'de'duo'min'zu'guo'jia
五储蓄存款和商业银行,wu'chu'xu'cun'kuan'he'shang'ye'yin'hang
五面对经济全球化,wu'mian'dui'jing'ji'quan'qiu'hua
五税收及其种类,wu'shui'shou'ji'qi'zhong'lei
五消费及其类型,wu'xiao'fei'ji'qi'lei'xing
物质与意识辩证关系原理,wu'zhi'yu'yi'shi'bian'zheng'guan'xi'yuan'li
消费类型,xiao'fei'lei'xing
消费为生产创造出新的劳动力,xiao'fei'wei'sheng'chan'chuang'zao'chu'xin'de'lao'dong'li
新型的民族关系是什么,xin'xing'de'min'zu'guan'xi'shi'shen'me
性质债务证书,xing'zhi'zhai'wu'zheng'shu
性质最高国家权力机关,xing'zhi'zui'gao'guo'jia'quan'li'ji'guan
依法纳税的必要性,yi'fa'na'shui'de'bi'yao'xing
一发展生产满足消费,yi'fa'zhan'sheng'chan'man'zu'xiao'fei
一揭开货币的神秘面纱,yi'jie'kai'huo'bi'de'shen'mi'mian'sha
一市场配置资源,yi'shi'chang'pei'zhi'zi'yuan
意识的能动作用,yi'shi'de'neng'dong'zuo'yong
一文化的内涵特点形式理解,yi'wen'hua'de'nei'han'te'dian'xing'shi'li'jie
有利于出国旅游或到国外留学,you'li'yu'chu'guo'lv'you'huo'dao'guo'wai'liu'xue
有利于提高外债偿还能力,you'li'yu'ti'gao'wai'zhai'chang'huan'neng'li
有权威政府的表现,you'quan'wei'zheng'fu'de'biao'xian
优秀文化能促进人的全面发展,you'xiu'wen'hua'neng'cu'jin'ren'de'quan'mian'fa'zhan
优秀文化能丰富人的精神世界,you'xiu'wen'hua'neng'feng'fu'ren'de'jing'shen'shi'jie
优秀文化能增强人的精神力量,you'xiu'wen'hua'neng'zeng'qiang'ren'de'jing'shen'li'liang
优秀文化塑造人生,you'xiu'wen'hua'su'zao'ren'sheng
优越性,you'yue'xing
原理内容物质决定意识,yuan'li'nei'rong'wu'zhi'jue'ding'yi'shi
原因,yuan'yin
原则各生产要素按贡献参与分配,yuan'ze'ge'sheng'chan'yao'su'an'gong'xian'can'yu'fen'pei
载体跨国公司,zai'ti'kua'guo'gong'si
怎样处理效率与公平的关系,zen'yang'chu'li'xiao'lv'yu'gong'ping'de'guan'xi
怎样发展大众文化概括,zen'yang'fa'zhan'da'zhong'wen'hua'gai'kuo
怎样实现收入分配的公平,zen'yang'shi'xian'shou'ru'fen'pei'de'gong'ping
增强公有制主体地位的措施,zeng'qiang'gong'you'zhi'zhu'ti'di'wei'de'cuo'shi
增强依法纳税的意识,zeng'qiang'yi'fa'na'shui'de'yi'shi
增值税的作用,zeng'zhi'shui'de'zuo'yong
债券稳健的投资,zhai'quan'wen'jian'de'tou'zi
掌握系统优化的方法,zhang'wo'xi'tong'you'hua'de'fang'fa
真理是具体的有条件的,zhen'li'shi'ju'ti'de'you'tiao'jian'de
政策必须坚决抵制依法取缔,zheng'ce'bi'xu'jian'jue'di'zhi'yi'fa'qu'di
政府工作的基本原则对人民负责,zheng'fu'gong'zuo'de'ji'ben'yuan'ze'dui'ren'min'fu'ze
政府权威的决定因素,zheng'fu'quan'wei'de'jue'ding'yin'su
正确对待传统文化的意义,zheng'que'dui'dai'chuan'tong'wen'hua'de'yi'yi
正确理解我国的宗教政策,zheng'que'li'jie'wo'guo'de'zong'jiao'zheng'ce
整体和部分的辩证关系,zheng'ti'he'bu'fen'de'bian'zheng'guan'xi
纸币,zhi'bi
支票转账支票和现金支票,zhi'piao'zhuan'zhang'zhi'piao'he'xian'jin'zhi'piao
执政理念以人为本执政为民,zhi'zheng'li'nian'yi'ren'wei'ben'zhi'zheng'wei'min
中国关于国际新秩序的主张,zhong'guo'guan'yu'guo'ji'xin'zhi'xu'de'zhu'zhang
中国如何走和平发展道路,zhong'guo'ru'he'zou'he'ping'fa'zhan'dao'lu
中国在联合国中的作用,zhong'guo'zai'lian'he'guo'zhong'de'zuo'yong
中国走和平发展道路的意义,zhong'guo'zou'he'ping'fa'zhan'dao'lu'de'yi'yi
中国走和平发展的道路,zhong'guo'zou'he'ping'fa'zhan'de'dao'lu
中华民族精神的基本内涵,zhong'hua'min'zu'jing'shen'de'ji'ben'nei'han
中华民族精神的重要性重点,zhong'hua'min'zu'jing'shen'de'zhong'yao'xing'zhong'dian
中华文化博大精深组合重点,zhong'hua'wen'hua'bo'da'jing'shen'zu'he'zhong'dian
中华文化的独特性,zhong'hua'wen'hua'de'du'te'xing
中华文化的区域性,zhong'hua'wen'hua'de'qu'yu'xing
重要性重点,zhong'yao'xing'zhong'dian
主要表现收入分配的相对平等,zhu'yao'biao'xian'shou'ru'fen'pei'de'xiang'dui'ping'deng
主要矛盾,zhu'yao'mao'dun
主要内容重点,zhu'yao'nei'rong'zhong'dian
注意财政政策的运用,zhu'yi'cai'zheng'zheng'ce'de'yun'yong
注意人民币升值的影响,zhu'yi'ren'min'bi'sheng'zhi'de'ying'xiang
注意如何进行文化创新重点,zhu'yi'ru'he'jin'xing'wen'hua'chuang'xin'zhong'dian
追求更高的思想道德目标,zhui'qiu'geng'gao'de'si'xiang'dao'de'mu'biao
自强不息表现和作用理解,zi'qiang'bu'xi'biao'xian'he'zuo'yong'li'jie
总体小康,zong'ti'xiao'kang
宗旨全心全意为人民服务,zong'zhi'quan'xin'quan'yi'wei'ren'min'fu'wu
宗旨维护世界和平促进共同发展,zong'zhi'wei'hu'shi'jie'he'ping'cu'jin'gong'tong'fa'zhan
尊重文化多样性的意义重点,zun'zhong'wen'hua'duo'yang'xing'de'yi'yi'zhong'dian
