艾封人之子也,ai'feng'ren'zhi'zi'ye
不贱佞谄,bu'jian'ning'chan
不见其诚己而发,bu'jian'qi'cheng'ji'er'fa
不践其土,bu'jian'qi'tu
不见水端,bu'jian'shui'duan
不贱贪污,bu'jian'tan'wu
不监于道,bu'jian'yu'dao
不监于体,bu'jian'yu'ti
不监于心,bu'jian'yu'xin
不将不逆,bu'jiang'bu'ni
不近贵富,bu'jin'gui'fu
不近人情焉,bu'jin'ren'qing'yan
不矜于同而矜于治,bu'jin'yu'tong'er'jin'yu'zhi
不就利,bu'jiu'li
不拘一世之利以为己私分,bu'ju'yi'shi'zhi'li'yi'wei'ji'si'fen
不惧之实,bu'ju'zhi'shi
不开人之天,bu'kai'ren'zhi'tian
不考不鸣,bu'kao'bu'ming
不可,bu'ke
不可不察也,bu'ke'bu'cha'ye
不可耻乎,bu'ke'chi'hu
不可得也,bu'ke'de'ye
不可多取,bu'ke'duo'qu
不可乎不可,bu'ke'hu'bu'ke
不可解于心,bu'ke'jie'yu'xin
不可亏也,bu'ke'kui'ye
不可内于灵台,bu'ke'nei'yu'ling'tai
不可入于灵府,bu'ke'ru'yu'ling'fu
不可使复之也,bu'ke'shi'fu'zhi'ye
不可听也,bu'ke'ting'ye
不可为量数,bu'ke'wei'liang'shu
不可为象,bu'ke'wei'xiang
不可围者,bu'ke'wei'zhe
不可以加矣,bu'ke'yi'jia'yi
不可一日不为乎,bu'ke'yi'ri'bu'wei'hu
不可以适河,bu'ke'yi'shi'he
不可以物,bu'ke'yi'wu
不可以言传也,bu'ke'yi'yan'chuan'ye
不可以有崖,bu'ke'yi'you'ya
不可于不可,bu'ke'yu'bu'ke
不可止也,bu'ke'zhi'ye
不可知者也,bu'ke'zhi'zhe'ye
不哭亦足矣,bu'ku'yi'zu'yi
不馈而忘人,bu'kui'er'wang'ren
不乐寿,bu'le'shou
不离不劳,bu'li'bu'lao
不利货财,bu'li'huo'cai
不明于道者,bu'ming'yu'dao'zhe
不明于天者,bu'ming'yu'tian'zhe
不谟士,bu'mo'shi
不乃为大盗积者也,bu'nai'wei'da'dao'ji'zhe'ye
不内变,bu'nei'bian
不能避刳肠之患,bu'neng'bi'ku'chang'zhi'huan
不能出气,bu'neng'chu'qi
不能过也,bu'neng'guo'ye
不能让禄,bu'neng'rang'lu
不能让名,bu'neng'rang'ming
不能容人者无亲,bu'neng'rong'ren'zhe'wu'qin
不能说其志意,bu'neng'shuo'qi'zhi'yi
不能无为也,bu'neng'wu'wei'ye
不能以言读其所自化,bu'neng'yi'yan'du'qi'suo'zi'hua
不能与人柄,bu'neng'yu'ren'bing
不能自胜而强不从者,bu'neng'zi'sheng'er'qiang'bu'cong'zhe
不能自胜则从,bu'neng'zi'sheng'ze'cong
不逆寡,bu'ni'gua
不念本养寿命者也,bu'nian'ben'yang'shou'ming'zhe'ye
不蕲畜乎樊中,bu'qi'chu'hu'fan'zhong
不期精粗焉,bu'qi'jing'cu'yan
不蕲哭而哭者,bu'qi'ku'er'ku'zhe
不迁其德,bu'qian'qi'de
不求其所终,bu'qiu'qi'suo'zhong
不求文以待形,bu'qiu'wen'yi'dai'xing
不然,bu'ran
不然于不然,bu'ran'yu'bu'ran
不然则已,bu'ran'ze'yi
不仁也,bu'ren'ye
不任则不利,bu'ren'ze'bu'li
不仁则害人,bu'ren'ze'hai'ren
步仞之丘陵,bu'ren'zhi'qiu'ling
不仁之人,bu'ren'zhi'ren
不容身于天下,bu'rong'shen'yu'tian'xia
不荣通,bu'rong'tong
不如避之,bu'ru'bi'zhi
不如两忘而闭其所誉,bu'ru'liang'wang'er'bi'qi'suo'yu
不如两忘而化其道,bu'ru'liang'wang'er'hua'qi'dao
不如食以糠糟而错之牢柙之中,bu'ru'shi'yi'kang'zao'er'cuo'zhi'lao'xia'zhi'zhong
不如相忘于江湖,bu'ru'xiang'wang'yu'jiang'hu
不入则止,bu'ru'ze'zhi
不如众技众矣,bu'ru'zhong'ji'zhong'yi
不若非其父者也,bu'ruo'fei'qi'fu'zhe'ye
不若其所不知,bu'ruo'qi'suo'bu'zhi
不若审之,bu'ruo'shen'zhi
不若是而已,bu'ruo'shi'er'yi
不若未生之时,bu'ruo'wei'sheng'zhi'shi
不若相忘于江湖,bu'ruo'xiang'wang'yu'jiang'hu
不若以非马喻马之非马也,bu'ruo'yi'fei'ma'yu'ma'zhi'fei'ma'ye
不若以非指喻指之非指也,bu'ruo'yi'fei'zhi'yu'zhi'zhi'fei'zhi'ye
不若刖之则易,bu'ruo'yue'zhi'ze'yi
不善也,bu'shan'ye
不上不下,bu'shang'bu'xia
不赏而民劝,bu'shang'er'min'quan
不伤物者,bu'shang'wu'zhe
不尚贤,bu'shang'xian
不识今之言者,bu'shi'jin'zhi'yan'zhe
不使能,bu'shi'neng
不恃其成,bu'shi'qi'cheng
不识其二,bu'shi'qi'er
不失其性命之情,bu'shi'qi'xing'ming'zhi'qing
不食五谷,bu'shi'wu'gu
不事于世,bu'shi'yu'shi
不受其禄,bu'shou'qi'lu
不受于外,bu'shou'yu'wai
捕鼠不如狸,bu'shu'bu'ru'li
不顺于理,bu'shun'yu'li
不似,bu'si
不似尔向之自多于水乎,bu'si'er'xiang'zhi'zi'duo'yu'shui'hu
不似豪末之在于马体乎,bu'si'hao'mo'zhi'zai'yu'ma'ti'hu
不思虑,bu'si'lv
不随其所废,bu'sui'qi'suo'fei
不听国家之政,bu'ting'guo'jia'zhi'zheng
不同其事,bu'tong'qi'shi
不同同之之谓大,bu'tong'tong'zhi'zhi'wei'da
不通于道者,bu'tong'yu'dao'zhe
不推,bu'tui
不外从,bu'wai'cong
不忘其所始,bu'wang'qi'suo'shi
不亡以待尽,bu'wang'yi'dai'jin
不为爱人,bu'wei'ai'ren
不为福先,bu'wei'fu'xian
不为功名,bu'wei'gong'ming
不违害,bu'wei'hai
不位乎其形,bu'wei'hu'qi'xing
不为祸始,bu'wei'huo'shi
不违其度,bu'wei'qi'du
不为穷约趋俗,bu'wei'qiong'yue'qu'su
不为社者,bu'wei'she'zhe
不闻治天下也,bu'wen'zhi'tian'xia'ye
不务生之所无以为,bu'wu'sheng'zhi'suo'wu'yi'wei
不物于易者也,bu'wu'yu'yi'zhe'ye
不务知之所无奈何,bu'wu'zhi'zhi'suo'wu'nai'he
不喜求,bu'xi'qiu
不相与为怪,bu'xiang'yu'wei'guai
不相与为谋,bu'xiang'yu'wei'mou
不相与为事,bu'xiang'yu'wei'shi
不肖则欺,bu'xiao'ze'qi
不信则不任,bu'xin'ze'bu'ren
不幸遇饿虎,bu'xing'yu'e'hu
不形之形,bu'xing'zhi'xing
不雄成,bu'xiong'cheng
不修而物不能离焉,bu'xiu'er'wu'bu'neng'li'yan
不徐不疾,bu'xu'bu'ji
不厌其天,bu'yan'qi'tian
不厌深眇而已矣,bu'yan'shen'miao'er'yi'yi
不言则齐,bu'yan'ze'qi
不夭斤斧,bu'yao'jin'fu
不亦悲乎,bu'yi'bei'hu
不以辩饰知,bu'yi'bian'shi'zhi
不亦大乎,bu'yi'da'hu
不以多少进退者,bu'yi'duo'shao'jin'tui'zhe
不亦拂乎,bu'yi'fu'hu
不以故自持,bu'yi'gu'zi'chi
不亦过乎,bu'yi'guo'hu
不亦惑乎,bu'yi'huo'hu
不亦劳乎,bu'yi'lao'hu
不以利自累也,bu'yi'li'zi'lei'ye
不以美害生,bu'yi'mei'hai'sheng
不亦难乎,bu'yi'nan'hu
不亦去人滋久,bu'yi'qu'ren'zi'jiu
不以人入天,bu'yi'ren'ru'tian
不以人物利害相撄,bu'yi'ren'wu'li'hai'xiang'ying
不以人之卑自高也,bu'yi'ren'zhi'bei'zi'gao'ye
不以人之坏自成也,bu'yi'ren'zhi'huai'zi'cheng'ye
不以人助天,bu'yi'ren'zhu'tian
不亦善乎而问之也,bu'yi'shan'hu'er'wen'zhi'ye
不亦甚乎,bu'yi'shen'hu
不益生,bu'yi'sheng
不以生生死,bu'yi'sheng'sheng'si
不以事害己,bu'yi'shi'hai'ji
不以死死生,bu'yi'si'si'sheng
不以所用养害所养,bu'yi'suo'yong'yang'hai'suo'yang
不以万物易蜩之翼,bu'yi'wan'wu'yi'tiao'zhi'yi
不以王天下为己处显,bu'yi'wang'tian'xia'wei'ji'chu'xian
不以物挫志之谓完,bu'yi'wu'cuo'zhi'zhi'wei'wan
不以物易己也,bu'yi'wu'yi'ji'ye
不亦小乎,bu'yi'xiao'hu
不以旬数矣,bu'yi'xun'shu'yi
不亦迂夫,bu'yi'yu'fu
不亦远乎,bu'yi'yuan'hu
不以遭时自利也,bu'yi'zao'shi'zi'li'ye
不义则不生,bu'yi'ze'bu'sheng
不义则伤彼,bu'yi'ze'shang'bi
不亦知乎,bu'yi'zhi'hu
不以知穷德,bu'yi'zhi'qiong'de
不以知穷天下,bu'yi'zhi'qiong'tian'xia
不应诸侯之际,bu'ying'zhu'hou'zhi'ji
不游乎太虚,bu'you'hu'tai'xu
不与化为人,bu'yu'hua'wei'ren
不与己同则反,bu'yu'ji'tong'ze'fan
不与民共利,bu'yu'min'gong'li
不豫谋,bu'yu'mou
不与物交,bu'yu'wu'jiao
不与之为怪,bu'yu'zhi'wei'guai
不与之为谋,bu'yu'zhi'wei'mou
不缘道,bu'yuan'dao
不怨飘瓦,bu'yuan'piao'wa
不原其所起,bu'yuan'qi'suo'qi
不愿仕,bu'yuan'shi
不杂则清,bu'za'ze'qing
不择地而安之,bu'ze'di'er'an'zhi
不择事而安之,bu'ze'shi'er'an'zhi
不择所出,bu'ze'suo'chu
不爪翦,bu'zhao'jian
不折镆干,bu'zhe'mo'gan
不争,bu'zheng
不知答也,bu'zhi'da'ye
不知道也,bu'zhi'dao'ye
不知端倪,bu'zhi'duan'ni
不知恶死,bu'zhi'e'si
不知而后知之,bu'zhi'er'hou'zhi'zhi
不织而衣,bu'zhi'er'yi
不知复有夫人也,bu'zhi'fu'you'fu'ren'ye
不知何时已而不虚,bu'zhi'he'shi'yi'er'bu'xu
不知何时止而不盈,bu'zhi'he'shi'zhi'er'bu'ying
不至乎孩而始谁,bu'zhi'hu'hai'er'shi'shui
不至乎期年,bu'zhi'hu'ji'nian
不知乎人谓我朱愚,bu'zhi'hu'ren'wei'wo'zhu'yu
不知就后,bu'zhi'jiu'hou
不知就先,bu'zhi'jiu'xian
不知礼之所将,bu'zhi'li'zhi'suo'jiang
不知论之不及与,bu'zhi'lun'zhi'bu'ji'yu
不知其本也,bu'zhi'qi'ben'ye
不知其不胜任也,bu'zhi'qi'bu'sheng'ren'ye
不知其父,bu'zhi'qi'fu
不知其几千里也,bu'zhi'qi'ji'qian'li'ye
不知其尽也,bu'zhi'qi'jin'ye
不知其梦也,bu'zhi'qi'meng'ye
不知其始也,bu'zhi'qi'shi'ye
不知其谁何,bu'zhi'qi'shui'he
不知其谁氏之子,bu'zhi'qi'shui'shi'zhi'zi
不知其所,bu'zhi'qi'suo
不知其与是类乎,bu'zhi'qi'yu'shi'lei'hu
不知深矣,bu'zhi'shen'yi
不知生,bu'zhi'sheng
不知说生,bu'zhi'shuo'sheng
不知所如往,bu'zhi'suo'ru'wang
不知所以死,bu'zhi'suo'yi'si
不治天下,bu'zhi'tian'xia
不知屠者之一旦鼓臂布草操烟火,bu'zhi'tu'zhe'zhi'yi'dan'gu'bi'bu'cao'cao'yan'huo
不知问是也,bu'zhi'wen'shi'ye
