啊波,a'bo
么是,me'shi
焖肉,men'rou
米线,mi'xian
民中,min'zhong
明珠百货,ming'zhu'bai'huo
哪点,na'dian
哪哈,na'ha
那哈,na'ha
哪哈又说,na'ha'you'shuo
耐不住,nai'bu'zhu
呢很,ne'hen
你给是,ni'gei'shi
你休息,ni'xiu'xi
嬢嬢,niang'niang
牛肝菌,niu'gan'jun
弄坝菜,nong'ba'cai
怕吃不成,pa'chi'bu'cheng
怕是,pa'shi
婆娘,po'niang
普气,pu'qi
普气都不有,pu'qi'dou'bu'you
七里蜂,qi'li'feng
气象路,qi'xiang'lu
认不得,ren'bu'de
认大小,ren'da'xiao
认得,ren'de
人民商场,ren'min'shang'chang
洒州,sa'zhou
三大爹,san'da'die
三大妈,san'da'ma
三家村,san'jia'cun
三家塘,san'jia'tang
三尖山,san'jian'shan
三街,san'jie
三舅母,san'jiu'mu
三弦,san'xian
三耶,san'ye
三中,san'zhong
砂锅米线,sha'guo'mi'xian
杀鸡,sha'ji
杀鸡吃,sha'ji'chi
沙桥,sha'qiao
杀猪吃,sha'zhu'chi
杀猪饭,sha'zhu'fan
山萝卜地,shan'luo'bo'di
上五街,shang'wu'jie
烧粑粑,shao'ba'ba
烧包,shao'bao
烧豆腐,shao'dou'fu
烧蜂子,shao'feng'zi
烧香,shao'xiang
烧纸,shao'zhi
神戳戳,shen'chuo'chuo
神戳戳呢,shen'chuo'chuo'ne
树花,shu'hua
树莋,shu'zuo
水闸口,shui'zha'kou
说么说,shuo'me'shuo
说那哈么说,shuo'na'ha'me'shuo
说媳妇,shuo'xi'fu
说彝话,shuo'yi'hua
送亲,song'qin
松茸,song'rong
送祝米,song'zhu'mi
送祖,song'zu
算啦,suan'la
酸辣子,suan'la'zi
算了,suan'le
算求,suan'qiu
酸汤,suan'tang
他爹,ta'die
他妈,ta'ma
太雀啦,tai'que'la
太资了,tai'zi'le
糖果钱,tang'guo'qian
唐梨花,tang'li'hua
桃园,tao'yuan
桃园湖,tao'yuan'hu
蹄筋,ti'jin
甜菜,tian'cai
天生坝,tian'sheng'ba
天台,tian'tai
天天杀猪菜,tian'tian'sha'zhu'cai
跳歌,tiao'ge
铜牛,tong'niu
土鸡,tu'ji
团结路,tuan'jie'lu
退车马,tui'che'ma
腿子,tui'zi
妥甸,tuo'dian
妥甸酱油,tuo'dian'jiang'you
望木兰,wang'mu'lan
无法,wu'fa
务俗,wu'su
稀豆粉,xi'dou'fen
西山公园,xi'shan'gong'yuan
西舍路,xi'she'lu
瞎讲,xia'jiang
献饭,xian'fan
先这种,xian'zhe'zhong
弦子,xian'zi
小白菌,xiao'bai'jun
小宝羊汤锅,xiao'bao'yang'tang'guo
晓不得,xiao'bu'de
小炒,xiao'chao
小妹子,xiao'mei'zi
小团山,xiao'tuan'shan
小灶酒,xiao'zao'jiu
新龙江,xin'long'jiang
新世纪,xin'shi'ji
腌芭蕉,yan'ba'jiao
腌菜,yan'cai
腌辣子,yan'la'zi
腌梨,yan'li
芫荽,yan'sui
腌腌菜,yan'yan'cai
羊汤锅,yang'tang'guo
洋芋,yang'yu
要不成,yao'bu'cheng
要得成,yao'de'cheng
要么,yao'me
一翻半,yi'fan'ban
一锅,yi'guo
一锅烟,yi'guo'yan
彝海公园,yi'hai'gong'yuan
一号桥,yi'hao'qiao
彝话,yi'hua
一回,yi'hui
一回要不成,yi'hui'yao'bu'cheng
彝人,yi'ren
彝人古镇,yi'ren'gu'zhen
彝人饮食文化街,yi'ren'yin'shi'wen'hua'jie
一台,yi'tai
彝文,yi'wen
彝语,yi'yu
一中,yi'zhong
彝州,yi'zhou
一组,yi'zu
彝族,yi'zu
阴东山,yin'dong'shan
饮食文化街,yin'shi'wen'hua'jie
营盘,ying'pan
油腐乳,you'fu'ru
有普气,you'pu'qi
油肉,you'rou
油渣,you'zha
咋个,za'ge
咋个了,za'ge'le
咋个些,za'ge'xie
咋个整,za'ge'zheng
杂酱,za'jiang
杂碎,za'sui
咂烟,za'yan
砸磳,za'zeng
在哪点,zai'na'dian
栽烟,zai'yan
早点,zao'dian
糟辣子,zao'la'zi
则耳根,ze'er'gen
扎郎,zha'lang
扎吗拢统,zha'ma'long'tong
扎实,zha'shi
找菌子,zhao'jun'zi
这种,zhe'zhong
这种么,zhe'zhong'me
整不成,zheng'bu'cheng
整得成,zheng'de'cheng
正月十五,zheng'yue'shi'wu
肿脖子,zhong'bo'zi
中大街,zhong'da'jie
肿酒,zhong'jiu
中山,zhong'shan
州医院,zhou'yi'yuan
州中医院,zhou'zhong'yi'yuan
祝米,zhu'mi
竹叶,zhu'ye
装肠子,zhuang'chang'zi
壮底,zhuang'di
装烟,zhuang'yan
资得很,zi'de'hen
资啦,zi'la
资了,zi'le
资呢很,zi'ne'hen
紫溪,zi'xi
紫溪山,zi'xi'shan
祖公,zu'gong
