阿爸父,a'ba'fu
被提升天,bei'ti'sheng'tian
被天使看见,bei'tian'shi'kan'jian
被一切异教之风摇动,bei'yi'qie'yi'jiao'zhi'feng'yao'dong
背约,bei'yue
背约的罪,bei'yue'de'zui
被造,bei'zao
被造的,bei'zao'de
被造界,bei'zao'jie
被造物,bei'zao'wu
被造者,bei'zao'zhe
被咒诅,bei'zhou'zu
被主指示,bei'zhu'zhi'shi
本不是要我们沾染污秽,ben'bu'shi'yao'wo'men'zhan'ran'wu'hui
畚斗,ben'dou
本乎,ben'hu
本乎恩,ben'hu'en
本乎应许,ben'hu'ying'xu
奔跑,ben'pao
本是神的大能,ben'shi'shen'de'da'neng
本是信实的,ben'shi'xin'shi'de
本体,ben'ti
本体的真像,ben'ti'de'zhen'xiang
本为可怒之子,ben'wei'ke'nu'zhi'zi
本有,ben'you
本于信,ben'yu'xin
本于信以致于信,ben'yu'xin'yi'zhi'yu'xin
臂膀,bi'bang
必被,bi'bei
比别人更坏,bi'bie'ren'geng'huai
必成就,bi'cheng'jiu
必成全这工,bi'cheng'quan'zhe'gong
彼此,bi'ci
彼此包容,bi'ci'bao'rong
彼此搭配,bi'ci'da'pei
彼此对说,bi'ci'dui'shuo
彼此服侍,bi'ci'fu'shi
彼此和睦,bi'ci'he'mu
彼此合一,bi'ci'he'yi
彼此教导,bi'ci'jiao'dao
彼此联接,bi'ci'lian'jie
彼此联络,bi'ci'lian'luo
彼此劝慰,bi'ci'quan'wei
彼此饶恕,bi'ci'rao'shu
彼此惹气,bi'ci're'qi
彼此顺服,bi'ci'shun'fu
彼此相爱,bi'ci'xiang'ai
彼此相待,bi'ci'xiang'dai
彼此相顾,bi'ci'xiang'gu
彼此相顾联络成为一体,bi'ci'xiang'gu'lian'luo'cheng'wei'yi'ti
必从情欲收败坏,bi'cong'qing'yu'shou'bai'huai
必从圣灵收永生,bi'cong'sheng'ling'shou'yong'sheng
彼得,bi'de
彼得后书,bi'de'hou'shu
彼得前书,bi'de'qian'shu
必定,bi'ding
彼后,bi'hou
闭口,bi'kou
必临到,bi'lin'dao
必临到那悖逆之子,bi'lin'dao'na'bei'ni'zhi'zi
逼迫,bi'po
逼迫教会,bi'po'jiao'hui
逼迫耶稣,bi'po'ye'su
彼前,bi'qian
必然得救,bi'ran'de'jiu
必受,bi'shou
必死,bi'si
必死的,bi'si'de
必死的身体,bi'si'de'shen'ti
必死无疑,bi'si'wu'yi
必先复活,bi'xian'fu'huo
必须重生,bi'xu'chong'sheng
必须端庄,bi'xu'duan'zhuang
必要得着生命之光,bi'yao'de'zhao'sheng'ming'zhi'guang
必有离道反教的事,bi'you'li'dao'fan'jiao'de'shi
必有人离弃真道,bi'you'ren'li'qi'zhen'dao
必有童女怀孕生子,bi'you'tong'nv'huai'yun'sheng'zi
必在,bi'zai
比自己强,bi'zi'ji'qiang
辩驳,bian'bo
变成豆腐,bian'cheng'dou'fu
便成就了和睦,bian'cheng'jiu'le'he'mu
辨道,bian'dao
变豆腐,bian'dou'fu
编歌的人够损的,bian'ge'de'ren'gou'sun'de
便叫身体渐渐增长,bian'jiao'shen'ti'jian'jian'zeng'zhang
遍满地面,bian'man'di'mian
辩明,bian'ming
辩明福音,bian'ming'fu'yin
辩明证实福音,bian'ming'zheng'shi'fu'yin
鞭伤,bian'shang
便是基督耶稣的好执事,bian'shi'ji'du'ye'su'de'hao'zhi'shi
表明,biao'ming
表明是褒义词,biao'ming'shi'bao'yi'ci
表现是贬义词,biao'xian'shi'bian'yi'ci
别国的话,bie'guo'de'hua
别人比我更好,bie'ren'bi'wo'geng'hao
别人眼中的刺,bie'ren'yan'zhong'de'ci
别人眼中挑刺,bie'ren'yan'zhong'tiao'ci
憋住,bie'zhu
并不诚实,bing'bu'cheng'shi
并不分,bing'bu'fen
并不是,bing'bu'shi
并不是出于自己,bing'bu'shi'chu'yu'zi'ji
并不是与属血气的争战,bing'bu'shi'yu'shu'xue'qi'de'zheng'zhan
并充足的信心,bing'chong'zu'de'xin'xin
并戴上救恩的头盔,bing'dai'shang'jiu'en'de'tou'kui
并靠着耶稣基督,bing'kao'zhe'ye'su'ji'du
并起假誓的,bing'qi'jia'shi'de
并且成就了一切,bing'qie'cheng'jiu'le'yi'qie
并学基督的忍耐,bing'xue'ji'du'de'ren'nai
并要在此警醒不倦,bing'yao'zai'ci'jing'xing'bu'juan
并要在此专心,bing'yao'zai'ci'zhuan'xin
并有那大罪人,bing'you'na'da'zui'ren
波阿斯,bo'a'si
擘饼,bo'bing
驳不倒,bo'bu'dao
驳不倒的理,bo'bu'dao'de'li
簸箕,bo'ji
伯拉大河,bo'la'da'he
伯利恒,bo'li'heng
伯特利,bo'te'li
伯特利的先知门徒,bo'te'li'de'xian'zhi'men'tu
不爱世界,bu'ai'shi'jie
不按规矩,bu'an'gui'ju
不被,bu'bei
不被定罪,bu'bei'ding'zui
不被死拘禁,bu'bei'si'ju'jin
不本乎,bu'ben'hu
不本乎信,bu'ben'hu'xin
不必再立根基,bu'bi'zai'li'gen'ji
不拆不行,bu'chai'bu'xing
不持定元首,bu'chi'ding'yuan'shou
不穿衣服迎合挨冻的律,bu'chuan'yi'fu'ying'he'ai'dong'de'lv
不打人,bu'da'ren
不单,bu'dan
不但是今世的,bu'dan'shi'jin'shi'de
不但自己去行,bu'dan'zi'ji'qu'xing
不得称义,bu'de'cheng'yi
不得经过,bu'de'jing'guo
不定罪,bu'ding'zui
不动摇,bu'dong'yao
不独在乎言语,bu'du'zai'hu'yan'yu
不法的,bu'fa'de
不法的人,bu'fa'de'ren
不法的事,bu'fa'de'shi
不法的隐意,bu'fa'de'yin'yi
不法之人的手,bu'fa'zhi'ren'de'shou
不犯,bu'fan
不顾性命,bu'gu'xing'ming
不好喝酒,bu'hao'he'jiu
不记念,bu'ji'nian
不记念才叫恩典,bu'ji'nian'cai'jiao'en'dian
不计算人的恶,bu'ji'suan'ren'de'e
不洁,bu'jie
不洁的,bu'jie'de
不拘,bu'ju
不惧怕,bu'ju'pa
不拘是我们口传的,bu'ju'shi'wo'men'kou'chuan'de
不拘在,bu'ju'zai
不靠着肉体的,bu'kao'zhe'rou'ti'de
不可尝,bu'ke'chang
不可尝不可拿不可摸,bu'ke'chang'bu'ke'na'bu'ke'mo
不可传异教,bu'ke'chuan'yi'jiao
不可含怒到日落,bu'ke'han'nu'dao'ri'luo
不可加添,bu'ke'jia'tian
不可叫人小看你年轻,bu'ke'jiao'ren'xiao'kan'ni'nian'qing
不可结党,bu'ke'jie'dang
不可摸,bu'ke'mo
不可拿,bu'ke'na
不可起贪心,bu'ke'qi'tan'xin
不可丧志,bu'ke'sang'zhi
不可删减,bu'ke'shan'jian
不可贪图虚度的荣耀,bu'ke'tan'tu'xu'du'de'rong'yao
不可严责老年人,bu'ke'yan'ze'lao'nian'ren
不可以重建,bu'ke'yi'chong'jian
不可以重新建造,bu'ke'yi'chong'xin'jian'zao
不可以建,bu'ke'yi'jian
不怜悯人,bu'lian'min'ren
不领受,bu'ling'shou
补满,bu'man
补满基督患难的缺欠,bu'man'ji'du'huan'nan'de'que'qian
补满你们信心的不足,bu'man'ni'men'xin'xin'de'bu'zu
补满缺欠,bu'man'que'qian
不灭亡了,bu'mie'wang'le
不能成义,bu'neng'cheng'yi
不能重新懊悔,bu'neng'chong'xin'ao'hui
不能都进天国,bu'neng'dou'jin'tian'guo
不能救人,bu'neng'jiu'ren
不能凭,bu'neng'ping
不能凭换,bu'neng'ping'huan
不能凭立功之法,bu'neng'ping'li'gong'zhi'fa
不能凭守,bu'neng'ping'shou
不能凭行为,bu'neng'ping'xing'wei
不能凭赚,bu'neng'ping'zhuan
不能朽坏,bu'neng'xiu'huai
不能重钉十架,bu'neng'zhong'ding'shi'jia
不能重钉十字架,bu'neng'zhong'ding'shi'zi'jia
不凭,bu'ping
不凭眼见,bu'ping'yan'jian
不虔,bu'qian
不虔诚,bu'qian'cheng
不虔诚和犯罪的,bu'qian'cheng'he'fan'zui'de
不轻易发怒,bu'qing'yi'fa'nu
不求,bu'qiu
不求自己的益处,bu'qiu'zi'ji'de'yi'chu
不丧胆,bu'sang'dan
不圣洁,bu'sheng'jie
不圣洁和恋世俗的,bu'sheng'jie'he'lian'shi'su'de
不是出于错误,bu'shi'chu'yu'cuo'wu
不是出于我们,bu'shi'chu'yu'wo'men
不是出于污秽,bu'shi'chu'yu'wu'hui
不是出于行为,bu'shi'chu'yu'xing'wei
不是出于自己,bu'shi'chu'yu'zi'ji
不是给人作的,bu'shi'gei'ren'zuo'de
不是难守的,bu'shi'nan'shou'de
不是人手所行的割礼,bu'shi'ren'shou'suo'xing'de'ge'li
不是神的,bu'shi'shen'de
不是要加一些规条,bu'shi'yao'jia'yi'xie'gui'tiao
不是一个肢体,bu'shi'yi'ge'zhi'ti
不是因行律法,bu'shi'yin'xing'lv'fa
不是找精神寄托,bu'shi'zhao'jing'shen'ji'tuo
不是照属肉体的条例,bu'shi'zhao'shu'rou'ti'de'tiao'li
不是照属肉体条例,bu'shi'zhao'shu'rou'ti'tiao'li
不守,bu'shou
不守规矩的人,bu'shou'gui'ju'de'ren
不守诫命,bu'shou'jie'ming
不守律法,bu'shou'lv'fa
不属,bu'shu
不属乎,bu'shu'hu
不属乎肉体,bu'shu'hu'rou'ti
不属肉体,bu'shu'rou'ti
不属神,bu'shu'shen
不属世界,bu'shu'shi'jie
不说谗言,bu'shuo'chan'yan
不算,bu'suan
不算恩典,bu'suan'en'dian
不算有罪,bu'suan'you'zui
不算罪,bu'suan'zui
不贪不义之财,bu'tan'bu'yi'zhi'cai
不贪财,bu'tan'cai
不喜欢不义,bu'xi'huan'bu'yi
不协调,bu'xie'tiao
不信,bu'xin
不信不明白的时候,bu'xin'bu'ming'bai'de'shi'hou
不信的,bu'xin'de
不信的恶心,bu'xin'de'e'xin
不信的时候,bu'xin'de'shi'hou
不信的罪已经定了,bu'xin'de'zui'yi'jing'ding'le
不信父,bu'xin'fu
不信父与子,bu'xin'fu'yu'zi
不信基督,bu'xin'ji'du
不信神,bu'xin'shen
不信我,bu'xin'wo
不信耶稣,bu'xin'ye'su
不信真理,bu'xin'zhen'li
不信主,bu'xin'zhu
不信子,bu'xin'zi
不要被,bu'yao'bei
不要被人虚浮的话欺哄,bu'yao'bei'ren'xu'fu'de'hua'qi'hong
不要单顾自己的事,bu'yao'dan'gu'zi'ji'de'shi
不要回头,bu'yao'hui'tou
不要看,bu'yao'kan
不要藐视先知的讲论,bu'yao'miao'shi'xian'zhi'de'jiang'lun
不要怕他们,bu'yao'pa'ta'men
不要轻易动心,bu'yao'qing'yi'dong'xin
不要惹儿女的气,bu'yao're'er'nv'de'qi
不要像,bu'yao'xiang
不要像愚昧人,bu'yao'xiang'yu'mei'ren
不要消灭圣灵的感动,bu'yao'xiao'mie'sheng'ling'de'gan'dong
不要销灭圣灵的感动,bu'yao'xiao'mie'sheng'ling'de'gan'dong
不要用人的标准,bu'yao'yong'ren'de'biao'zhun
不要用人的标准衡量人,bu'yao'yong'ren'de'biao'zhun'heng'liang'ren
不要用我的,bu'yao'yong'wo'de
不要用我的标准,bu'yao'yong'wo'de'biao'zhun
不要用我的标准衡量人,bu'yao'yong'wo'de'biao'zhun'heng'liang'ren
不要用我的有色眼镜,bu'yao'yong'wo'de'you'se'yan'jing
不要在别人眼中挑刺,bu'yao'zai'bie'ren'yan'zhong'tiao'ci
不要再犯罪了,bu'yao'zai'fan'zui'le
不要再像,bu'yao'zai'xiang
不要再像外邦人,bu'yao'zai'xiang'wai'bang'ren
不要只在眼前事奉,bu'yao'zhi'zai'yan'qian'shi'feng
不要只在眼前侍奉,bu'yao'zhi'zai'yan'qian'shi'feng
不要醉酒,bu'yao'zui'jiu
不要作,bu'yao'zuo
不要作糊涂人,bu'yao'zuo'hu'tu'ren
不要作声,bu'yao'zuo'sheng
不义,bu'yi
不义的,bu'yi'de
不以福音为耻,bu'yi'fu'yin'wei'chi
不一口两舌,bu'yi'kou'liang'she
不以为耻,bu'yi'wei'chi
不以为是人的道,bu'yi'wei'shi'ren'de'dao
不以自己,bu'yi'zi'ji
不因,bu'yin
不因酒滋事,bu'yin'jiu'zi'shi
不因行律法称义,bu'yin'xing'lv'fa'cheng'yi
不用肉,bu'yong'rou
不用肉体,bu'yong'rou'ti
不用肉体用灵,bu'yong'rou'ti'yong'ling
不用肉用灵,bu'yong'rou'yong'ling
不用再为罪献祭了,bu'yong'zai'wei'zui'xian'ji'le
不再,bu'zai
不在乎,bu'zai'hu
不在乎家道丰富,bu'zai'hu'jia'dao'feng'fu
不在乎人的行为,bu'zai'hu'ren'de'xing'wei
不在乎遵行,bu'zai'hu'zun'xing
不在乎遵行律法,bu'zai'hu'zun'xing'lv'fa
不再记念,bu'zai'ji'nian
不再觉得,bu'zai'jue'de
不再觉得有罪了,bu'zai'jue'de'you'zui'le
不在律法之下,bu'zai'lv'fa'zhi'xia
不在人为的义里,bu'zai'ren'wei'de'yi'li
不在师傅手下了,bu'zai'shi'fu'shou'xia'le
不再是我,bu'zai'shi'wo
不再有了,bu'zai'you'le
不再有了一次,bu'zai'you'le'yi'ci
不在约伯的好里,bu'zai'yue'bo'de'hao'li
不在约伯的良善里,bu'zai'yue'bo'de'liang'shan'li
不在约伯的善里,bu'zai'yue'bo'de'shan'li
不在约伯的义里,bu'zai'yue'bo'de'yi'li
不在约伯人为的义里,bu'zai'yue'bo'ren'wei'de'yi'li
不再作,bu'zai'zuo
不再作外人和客旅,bu'zai'zuo'wai'ren'he'ke'lv
不张狂,bu'zhang'kuang
不争竞,bu'zheng'jing
不至,bu'zhi
不知何为贪心,bu'zhi'he'wei'tan'xin
不知何为罪,bu'zhi'he'wei'zui
不至灭亡,bu'zhi'mie'wang
不至灭亡反得永生,bu'zhi'mie'wang'fan'de'yong'sheng
不至失迷,bu'zhi'shi'mi
不至于见死,bu'zhi'yu'jian'si
不至于死,bu'zhi'yu'si
不知罪,bu'zhi'zui
不住祷告,bu'zhu'dao'gao
不住在基督里,bu'zhu'zai'ji'du'li
不自夸,bu'zi'kua
不作害羞的事,bu'zuo'hai'xiu'de'shi
彩虹之约,cai'hong'zhi'yue
才能进去,cai'neng'jin'qu
菜蔬,cai'shu
残害,can'hai
残害教会,can'hai'jiao'hui
藏在神里面,cang'zai'shen'li'mian
草必枯干,cao'bi'ku'gan
操练,cao'lian
操练身体益处还少,cao'lian'shen'ti'yi'chu'hai'shao
操练自己,cao'lian'zi'ji
测不透,ce'bu'tou
策士,ce'shi
查经,cha'jing
察验,cha'yan
察验何为主所喜悦的事,cha'yan'he'wei'zhu'suo'xi'yue'de'shi
拆毁,chai'hui
豺狼,chai'lang
差遣,chai'qian
谗毁,chan'hui
缠累,chan'lei
谄媚,chan'mei
谄媚的话,chan'mei'de'hua
产难,chan'nan
产生另外一个果效,chan'sheng'ling'wai'yi'ge'guo'xiao
产生一个律,chan'sheng'yi'ge'lv
产生罪,chan'sheng'zui
谗言,chan'yan
产业赐给,chan'ye'ci'gei
常常,chang'chang
常常祷告,chang'chang'dao'gao
常常感谢父神,chang'chang'gan'xie'fu'shen
常常感谢神,chang'chang'gan'xie'shen
常常恳求,chang'chang'ken'qiu
常常喜乐,chang'chang'xi'le
唱高调,chang'gao'diao
娼妓,chang'ji
唱诗,chang'shi
常顺服,chang'shun'fu
常顺服的,chang'shun'fu'de
常要追求良善,chang'yao'zhui'qiu'liang'shan
常以为亏欠,chang'yi'wei'kui'qian
常与你们同在,chang'yu'ni'men'tong'zai
常在,chang'zai
常在者,chang'zai'zhe
常照,chang'zhao
敞着脸,chang'zhe'lian
超过一切称为神的,chao'guo'yi'qie'cheng'wei'shen'de
超乎,chao'hu
超乎万名之上的名,chao'hu'wan'ming'zhi'shang'de'ming
超乎众人之上,chao'hu'zhong'ren'zhi'shang
超越律,chao'yue'lv
超越律法字句,chao'yue'lv'fa'zi'ju
超越那个律,chao'yue'na'ge'lv
超越它的律,chao'yue'ta'de'lv
超越这个律,chao'yue'zhe'ge'lv
撤去,che'qu
沉沦之子,chen'lun'zhi'zi
趁着,chen'zhe
趁着机会,chen'zhe'ji'hui
成功,cheng'gong
成功救赎,cheng'gong'jiu'shu
成功了,cheng'gong'le
成功全备,cheng'gong'quan'bei
成功完结,cheng'gong'wan'jie
成就,cheng'jiu
成就了,cheng'jiu'le
成就了和睦,cheng'jiu'le'he'mu
成就了一切,cheng'jiu'le'yi'qie
成就这事,cheng'jiu'zhe'shi
成了,cheng'le
成了戏景,cheng'le'xi'jing
成了永远赎罪的事,cheng'le'yong'yuan'shu'zui'de'shi
城门外,cheng'men'wai
逞能,cheng'neng
成全,cheng'quan
成全不是叫你守,cheng'quan'bu'shi'jiao'ni'shou
成全不是叫人守,cheng'quan'bu'shi'jiao'ren'shou
成全不是守,cheng'quan'bu'shi'shou
成全到永远,cheng'quan'dao'yong'yuan
成全了,cheng'quan'le
成全律法,cheng'quan'lv'fa
成全完事,cheng'quan'wan'shi
成全之后,cheng'quan'zhi'hou
成全之后的律法,cheng'quan'zhi'hou'de'lv'fa
成全之前,cheng'quan'zhi'qian
成全之前的律法,cheng'quan'zhi'qian'de'lv'fa
诚然,cheng'ran
诚然本乎,cheng'ran'ben'hu
成圣,cheng'sheng
成圣的人,cheng'sheng'de'ren
成圣了,cheng'sheng'le
成圣之约,cheng'sheng'zhi'yue
成圣之约的血,cheng'sheng'zhi'yue'de'xue
成事,cheng'shi
诚实话,cheng'shi'hua
诚实敬畏主,cheng'shi'jing'wei'zhu
成事完工,cheng'shi'wan'gong
成事完结,cheng'shi'wan'jie
承受,cheng'shou
承受产业,cheng'shou'chan'ye
承受救恩,cheng'shou'jiu'en
承受救恩的人,cheng'shou'jiu'en'de'ren
承受世界,cheng'shou'shi'jie
承受万有,cheng'shou'wan'you
承受应许,cheng'shou'ying'xu
城外,cheng'wai
成为绊脚石,cheng'wei'ban'jiao'shi
成为拦阻,cheng'wei'lan'zu
成为人的样式,cheng'wei'ren'de'yang'shi
成为神的义,cheng'wei'shen'de'yi
成为圣洁,cheng'wei'sheng'jie
成为圣洁了,cheng'wei'sheng'jie'le
成为一,cheng'wei'yi
成为义,cheng'wei'yi
称为义,cheng'wei'yi
成为一灵,cheng'wei'yi'ling
成为一体,cheng'wei'yi'ti
成为走天路的绊脚石,cheng'wei'zou'tian'lu'de'ban'jiao'shi
成为走天路的拦阻,cheng'wei'zou'tian'lu'de'lan'zu
成为罪,cheng'wei'zui
诚信真实,cheng'xin'zhen'shi
成形在你们心里,cheng'xing'zai'ni'men'xin'li
成义,cheng'yi
称义,cheng'yi
称义的,cheng'yi'de
称义得生命,cheng'yi'de'sheng'ming
称义的与被定罪的分开,cheng'yi'de'yu'bei'ding'zui'de'fen'kai
称义的执事,cheng'yi'de'zhi'shi
称义了,cheng'yi'le
称义乃是因信耶稣基督,cheng'yi'nai'shi'yin'xin'ye'su'ji'du
逞着,cheng'zhe
成终,cheng'zhong
成罪,cheng'zui
称罪人为义,cheng'zui'ren'wei'yi
称罪人为义的神,cheng'zui'ren'wei'yi'de'shen
持守,chi'shou
持守所承认的道,chi'shou'suo'cheng'ren'de'dao
持守住,chi'shou'zhu
持守住所信的道,chi'shou'zhu'suo'xin'de'dao
崇拜,chong'bai
充充足足,chong'chong'zu'zu
重回律法下,chong'hui'lv'fa'xia
重建,chong'jian
充满,chong'man
充满万有,chong'man'wan'you
充满万有者,chong'man'wan'you'zhe
充满万有者所充满,chong'man'wan'you'zhe'suo'chong'man
重生,chong'sheng
重生得救,chong'sheng'de'jiu
重生的人,chong'sheng'de'ren
重生的生命,chong'sheng'de'sheng'ming
重生了,chong'sheng'le
重新懊悔,chong'xin'ao'hui
重新懊悔就得重新流血,chong'xin'ao'hui'jiu'dei'chong'xin'liu'xue
重新懊悔就得重钉十架,chong'xin'ao'hui'jiu'dei'zhong'ding'shi'jia
重新建造,chong'xin'jian'zao
充足的信心,chong'zu'de'xin'xin
仇敌,chou'di
出埃及记,chu'ai'ji'ji
除掉人的罪,chu'diao'ren'de'zui
除掉我们的罪,chu'diao'wo'men'de'zui
除掉指摘人的指头,chu'diao'zhi'zhai'ren'de'zhi'tou
除掉重轭,chu'diao'zhong'e
除掉罪,chu'diao'zui
出黑暗,chu'hei'an
出黑暗入光明,chu'hei'an'ru'guang'ming
除酵,chu'jiao
除酵节,chu'jiao'jie
除尽,chu'jin
除尽罪恶,chu'jin'zui'e
除净,chu'jing
除净罪恶,chu'jing'zui'e
畜类,chu'lei
除灭,chu'mie
除灭魔鬼的作为,chu'mie'mo'gui'de'zuo'wei
除去,chu'qu
除去世人罪孽,chu'qu'shi'ren'zui'nie
除去世人罪孽的,chu'qu'shi'ren'zui'nie'de
初入教,chu'ru'jiao
初入教的,chu'ru'jiao'de
初入教的不可作监督,chu'ru'jiao'de'bu'ke'zuo'jian'du
初熟,chu'shu
初熟的果子,chu'shu'de'guo'zi
出死入生,chu'si'ru'sheng
出于神,chu'yu'shen
除罪,chu'zui
传道,chuan'dao
传道书,chuan'dao'shu
传得全备,chuan'de'quan'bei
传福音,chuan'fu'yin
传给,chuan'gei
传基督,chuan'ji'du
穿上新人,chuan'shang'xin'ren
传神的道,chuan'shen'de'dao
传神的福音,chuan'shen'de'fu'yin
传扬,chuan'yang
传于,chuan'yu
穿在,chuan'zai
穿在脚上,chuan'zai'jiao'shang
创立世界以前,chuang'li'shi'jie'yi'qian
创始成终,chuang'shi'cheng'zhong
创世记,chuang'shi'ji
创造,chuang'zao
创造的工,chuang'zao'de'gong
创造条件,chuang'zao'tiao'jian
创造者,chuang'zao'zhe
创造之工,chuang'zao'zhi'gong
吹响,chui'xiang
蠢笨人的师傅,chun'ben'ren'de'shi'fu
慈爱,ci'ai
赐的,ci'de
赐给你们圣灵,ci'gei'ni'men'sheng'ling
赐给我们的父神,ci'gei'wo'men'de'fu'shen
赐平安,ci'ping'an
赐平安的神,ci'ping'an'de'shen
刺入,ci'ru
慈绳爱索,ci'sheng'ai'suo
赐圣灵给你们的神,ci'sheng'ling'gei'ni'men'de'shen
赐生命,ci'sheng'ming
赐生命圣灵的律,ci'sheng'ming'sheng'ling'de'lv
此外又拿信德当作藤牌,ci'wai'you'na'xin'de'dang'zuo'teng'pai
从此就不在师傅手下了,cong'ci'jiu'bu'zai'shi'fu'shou'xia'le
从恩典中坠落,cong'en'dian'zhong'zhui'luo
从该隐的恶里出来,cong'gai'yin'de'e'li'chu'lai
从该隐的坏里出来,cong'gai'yin'de'huai'li'chu'lai
从根源上断绝,cong'gen'yuan'shang'duan'jue
从基督生,cong'ji'du'sheng
从灵生,cong'ling'sheng
从灵生的就是灵,cong'ling'sheng'de'jiu'shi'ling
从律法里得释放,cong'lv'fa'li'de'shi'fang
从律法下,cong'lv'fa'xia
从律法下赎出来,cong'lv'fa'xia'shu'chu'lai
从律法之下,cong'lv'fa'zhi'xia
从律法之下赎买出来,cong'lv'fa'zhi'xia'shu'mai'chu'lai
聪明人,cong'ming'ren
从起初,cong'qi'chu
从起头,cong'qi'tou
从肉身生,cong'rou'shen'sheng
