安丰塘,an'feng'tang
霍邱县,huo'qiu'xian
霍邱一中,huo'qiu'yi'zhong
霍山,huo'shan
霍山的,huo'shan'de
霍山县,huo'shan'xian
急死掉了,ji'si'diao'le
家之都,jia'zhi'du
讲不好,jiang'bu'hao
讲的对,jiang'de'dui
江南公社,jiang'nan'gong'she
讲你了,jiang'ni'le
讲实话,jiang'shi'hua
金安区,jin'an'qu
金百,jin'bai
金商都,jin'shang'du
金皖西,jin'wan'xi
锦绣花园,jin'xiu'hua'yuan
金摇篮,jin'yao'lan
金寨,jin'zhai
金寨县,jin'zhai'xian
就的,jiu'de
就得啊,jiu'dei'a
就地,jiu'di
就地就地,jiu'di'jiu'di
就地呀,jiu'di'ya
九墩塘,jiu'dun'tang
九溪江南,jiu'xi'jiang'nan
就照了,jiu'zhao'le
开顺,kai'shun
看可能,kan'ke'neng
可吃饭,ke'chi'fan
可吃饭来,ke'chi'fan'lai
可吃饭了,ke'chi'fan'le
可吃来,ke'chi'lai
可吃了,ke'chi'le
可出来,ke'chu'lai
可出去,ke'chu'qu
可到家,ke'dao'jia
可到家了,ke'dao'jia'le
可到了,ke'dao'le
可滴,ke'di
可对,ke'dui
可放假,ke'fang'jia
客菲乐,ke'fei'le
可过来,ke'guo'lai
可回家,ke'hui'jia
可回来,ke'hui'lai
可回来了,ke'hui'lai'le
可回去,ke'hui'qu
可看到,ke'kan'dao
可看到了,ke'kan'dao'le
可来了,ke'lai'le
可买了,ke'mai'le
可起来,ke'qi'lai
可起来了,ke'qi'lai'le
可认识,ke'ren'shi
可上班,ke'shang'ban
可是的,ke'shi'de
可是滴,ke'shi'di
可收到,ke'shou'dao
可收到了,ke'shou'dao'le
可睡觉,ke'shui'jiao
可睡来,ke'shui'lai
可睡了,ke'shui'le
可下班,ke'xia'ban
可想我,ke'xiang'wo
可晓得,ke'xiao'de
可行啊,ke'xing'a
可要钱,ke'yao'qian
可要我,ke'yao'wo
可有人,ke'you'ren
可有什么,ke'you'shen'me
可有事,ke'you'shi
可在,ke'zai
可在啊,ke'zai'a
可在家,ke'zai'jia
可在了,ke'zai'le
可在忙,ke'zai'mang
可在线,ke'zai'xian
可照,ke'zhao
可准备,ke'zhun'bei
孔集,kong'ji
快报快播,kuai'bao'kuai'bo
快开业,kuai'kai'ye
朗庭,lang'ting
老孩,lao'hai
老马子,lao'ma'zi
老乡鸡,lao'xiang'ji
了在啊,le'zai'a
了在家,le'zai'jia
李楼,li'lou
临淮,lin'huai
临淮岗,lin'huai'gang
临水,lin'shui
领导组,ling'dao'zu
六安市,liu'an'shi
六欲仙缘,liu'yu'xian'yuan
六州首府,liu'zhou'shou'fu
龙哥路,long'ge'lu
龙河,long'he
龙河路,long'he'lu
龙湖山庄,long'hu'shan'zhuang
龙战将,long'zhan'jiang
六安,lu'an
六安的,lu'an'de
六安人,lu'an'ren
六安天气,lu'an'tian'qi
六安一中,lu'an'yi'zhong
六安中学,lu'an'zhong'xue
庐剧,lu'ju
罗集,luo'ji
马店,ma'dian
麻个,ma'ge
买队,mai'dui
漫水河,man'shui'he
忙着在,mang'zhe'zai
猫比,mao'bi
毛大,mao'da
毛来,mao'lai
毛坦厂,mao'tan'chang
毛中,mao'zhong
梅山,mei'shan
梅山路,mei'shan'lu
梅山镇,mei'shan'zhen
霉我,mei'wo
孟集,meng'ji
孟集镇,meng'ji'zhen
蜜记,mi'ji
棉垫,mian'dian
磨子潭,mo'zi'tan
木厂,mu'chang
那不好么,na'bu'hao'me
那不急死了,na'bu'ji'si'le
那不是吧,na'bu'shi'ba
那不照,na'bu'zhao
哪讲,na'jiang
哪讲的,na'jiang'de
那快活,na'kuai'huo
那你讲,na'ni'jiang
那是的吧,na'shi'de'ba
那怎搞,na'zen'gao
南港,nan'gang
南门外,nan'men'wai
南溪镇,nan'xi'zhen
南岳山,nan'yue'shan
你败,ni'bai
倪发科,ni'fa'ke
你讲呢,ni'jiang'ne
你讲你,ni'jiang'ni
你讲我,ni'jiang'wo
你可吃,ni'ke'chi
你可吃饭,ni'ke'chi'fan
你可吃饭了,ni'ke'chi'fan'le
你可干,ni'ke'gan
你可回来,ni'ke'hui'lai
你可看,ni'ke'kan
你可来,ni'ke'lai
你可去,ni'ke'qu
你可认识,ni'ke'ren'shi
你可玩,ni'ke'wan
你可信,ni'ke'xin
你可有,ni'ke'you
你可在,ni'ke'zai
你可在家,ni'ke'zai'jia
你了来,ni'le'lai
你了去,ni'le'qu
你了在,ni'le'zai
你在合肥,ni'zai'he'fei
你在六安,ni'zai'lu'an
你怎搞,ni'zen'gao
你真照,ni'zhen'zhao
牛集,niu'ji
牛奶女,niu'nai'nv
淠河,pi'he
屁来,pi'lai
平岗,ping'gang
七里站,qi'li'zhan
齐云路,qi'yun'lu
千人桥,qian'ren'qiao
情人路,qing'ren'lu
青山乡,qing'shan'xiang
去合肥,qu'he'fei
去六安,qu'lu'an
雀氏,que'shi
日霉,ri'mei
三板桥,san'ban'qiao
散扯,san'che
三觉,san'jue
三里岗,san'li'gang
三里桥,san'li'qiao
三十铺,san'shi'pu
骚猪,sao'zhu
山头上,shan'tou'shang
上城国际,shang'cheng'guo'ji
商之都,shang'zhi'du
邵岗,shao'gang
什个,shen'ge
什么家伙,shen'me'jia'huo
什沫,shen'mo
盛世嘉园,sheng'shi'jia'yuan
石板冲,shi'ban'chong
是滴吧,shi'di'ba
石店,shi'dian
史河,shi'he
世纪华联,shi'ji'hua'lian
十里桥,shi'li'qiao
石婆店,shi'po'dian
施桥,shi'qiao
施桥镇,shi'qiao'zhen
十四级,shi'si'ji
狮子岗,shi'zi'gang
十字路,shi'zi'lu
寿县,shou'xian
寿县的,shou'xian'de
舒茶,shu'cha
舒城,shu'cheng
舒城的,shu'cheng'de
舒城县,shu'cheng'xian
舒城中学,shu'cheng'zhong'xue
帅旺,shuai'wang
双河,shuang'he
双河镇,shuang'he'zhen
双庙,shuang'miao
水云间,shui'yun'jian
顺河,shun'he
四十铺,si'shi'pu
宋店,song'dian
苏埠,su'bu
苏家埠,su'jia'bu
孙岗,sun'gang
桃花盛开,tao'hua'sheng'kai
天堂寨,tian'tang'zhai
天盈星城,tian'ying'xing'cheng
铁冲,tie'chong
瓦埠,wa'bu
哇滴,wa'di
皖西,wan'xi
皖西宾馆,wan'xi'bin'guan
皖西大道,wan'xi'da'dao
皖西大裂谷,wan'xi'da'lie'gu
皖西路,wan'xi'lu
皖西学院,wan'xi'xue'yuan
皖西中学,wan'xi'zhong'xue
为什沫,wei'shen'mo
我不快活,wo'bu'kuai'huo
我不知道来,wo'bu'zhi'dao'lai
我扯么,wo'che'me
沃尔特,wo'er'te
我讲实话,wo'jiang'shi'hua
我讲我,wo'jiang'wo
我讲真的,wo'jiang'zhen'de
我快活,wo'kuai'huo
我去合肥,wo'qu'he'fei
我日吗,wo'ri'ma
我是不是不是,wo'shi'bu'shi'bu'shi
我心来,wo'xin'lai
我在安徽,wo'zai'an'hui
我在六安,wo'zai'lu'an
吴集,wu'ji
五里墩,wu'li'dun
五里桥,wu'li'qiao
五牌里,wu'pai'li
西河口,xi'he'kou
夏店,xia'dian
先锋网,xian'feng'wang
先生店,xian'sheng'dian
想点子,xiang'dian'zi
香榭花城,xiang'xie'hua'cheng
小甸,xiao'dian
小姑姥,xiao'gu'lao
小炸,xiao'zha
新安大桥,xin'an'da'qiao
新安镇,xin'an'zhen
新店镇,xin'dian'zhen
星汇苑,xing'hui'yuan
熊燕婷,xiong'yan'ting
徐集,xu'ji
学驾驶,xue'jia'shi
堰口,yan'kou
堰口镇,yan'kou'zhen
炎刘镇,yan'liu'zhen
燕子河,yan'zi'he
阳光威尼斯,yang'guang'wei'ni'si
窑厂,yao'chang
窑口,yao'kou
姚李,yao'li
姚李镇,yao'li'zhen
也不照,ye'bu'zhao
叶集,ye'ji
也照,ye'zhao
一比糟,yi'bi'zao
伊饰风尚女装,yi'shi'feng'shang'nv'zhuang
义乌市场,yi'wu'shi'chang
一呦,yi'you
迎河,ying'he
迎驾,ying'jia
迎驾厂,ying'jia'chang
油坊,you'fang
有毫,you'hao
有事在,you'shi'zai
裕安,yu'an
裕安区,yu'an'qu
月亮岛,yue'liang'dao
越熊,yue'xiong
云路街,yun'lu'jie
在霍邱,zai'huo'qiu
在霍山,zai'huo'shan
在几套,zai'ji'tao
在梅山,zai'mei'shan
在寿县,zai'shou'xian
在舒城,zai'shu'cheng
早不讲,zao'bu'jiang
怎搞,zen'gao
怎搞的,zen'gao'de
怎搞的啊,zen'gao'de'a
怎搞滴,zen'gao'di
怎沫,zen'mo
张母桥,zhang'mu'qiao
照不住,zhao'bu'zhu
罩不住了,zhao'bu'zhu'le
照了吧,zhao'le'ba
浙东,zhe'dong
这沫,zhe'mo
真不照,zhen'bu'zhao
中店,zhong'dian
中国移动通讯,zhong'guo'yi'dong'tong'xun
众兴镇,zhong'xing'zhen
周集,zhou'ji
周集镇,zhou'ji'zhen
诸佛庵,zhu'fo'an
状元府,zhuang'yuan'fu
自备车,zi'bei'che
总搞,zong'gao
