阿米巴病,a'mi'ba'bing
备目,bei'mu
背皮肤,bei'pi'fu
背皮肤缺损,bei'pi'fu'que'sun
北区,bei'qu
被褥,bei'ru
被通知,bei'tong'zhi
倍以上,bei'yi'shang
倍以上血清,bei'yi'shang'xue'qing
备用,bei'yong
备用床,bei'yong'chuang
备用状态,bei'yong'zhuang'tai
备注,bei'zhu
备注单位,bei'zhu'dan'wei
备注及时,bei'zhu'ji'shi
本表,ben'biao
本不规范,ben'bu'gui'fan
本次,ben'ci
本次考核,ben'ci'kao'he
本复印件,ben'fu'yin'jian
本合,ben'he
本记录,ben'ji'lu
本检查,ben'jian'cha
本科,ben'ke
本科毕业,ben'ke'bi'ye
本科的,ben'ke'de
本科各教研室,ben'ke'ge'jiao'yan'shi
本科疾病,ben'ke'ji'bing
本科男,ben'ke'nan
本科强,ben'ke'qiang
本科三班,ben'ke'san'ban
本科山东大学,ben'ke'shan'dong'da'xue
本科室,ben'ke'shi
本科室技术,ben'ke'shi'ji'shu
本科学士,ben'ke'xue'shi
本科以上,ben'ke'yi'shang
本科朱琳,ben'ke'zhu'lin
本兰,ben'lan
本龙,ben'long
贲门,ben'men
贲门癌,ben'men'ai
本明,ben'ming
本年度,ben'nian'du
本年度曾,ben'nian'du'ceng
本年度获得,ben'nian'du'huo'de
本强,ben'qiang
本人,ben'ren
本人根据,ben'ren'gen'ju
本人具有,ben'ren'ju'you
本人姓名,ben'ren'xing'ming
本人因,ben'ren'yin
本人作为,ben'ren'zuo'wei
本三,ben'san
本上,ben'shang
本营,ben'ying
本院未开设,ben'yuan'wei'kai'she
本专,ben'zhuan
本专业,ben'zhuan'ye
崩裂,beng'lie
崩裂切开复位,beng'lie'qie'kai'fu'wei
崩裂尹燕军,beng'lie'yin'yan'jun
必备,bi'bei
必备材料,bi'bei'cai'liao
鼻窦经,bi'dou'jing
鼻窦镜,bi'dou'jing
鼻窦镜手,bi'dou'jing'shou
鼻窦镜手术,bi'dou'jing'shou'shu
鼻窦镜损伤,bi'dou'jing'sun'shang
鼻窦炎,bi'dou'yan
鼻窦炎鼻窍,bi'dou'yan'bi'qiao
鼻窦炎鼻息肉,bi'dou'yan'bi'xi'rou
比恶性,bi'e'xing
比方便,bi'fang'bian
辟谷,bi'gu
鼻骨,bi'gu
鼻骨复位,bi'gu'fu'wei
鼻骨骨折,bi'gu'gu'zhe
闭合,bi'he
闭合复位,bi'he'fu'wei
闭合复位内固定,bi'he'fu'wei'nei'gu'ding
闭合交锁,bi'he'jiao'suo
闭合内固定,bi'he'nei'gu'ding
闭合性,bi'he'xing
笔记本,bi'ji'ben
毕敬,bi'jing
闭经,bi'jing
闭经刘凤兰,bi'jing'liu'feng'lan
比例,bi'li
比例扣分,bi'li'kou'fen
比例酌情,bi'li'zhuo'qing
避免,bi'mian
避免生硬,bi'mian'sheng'ying
鼻内镜手术,bi'nei'jing'shou'shu
比平,bi'ping
鼻腔,bi'qiang
鼻腔肿物,bi'qiang'zhong'wu
鼻窍,bi'qiao
壁切除,bi'qie'chu
闭塞,bi'se
闭塞者,bi'se'zhe
鼻饲,bi'si
鼻外伤,bi'wai'shang
比外锁骨,bi'wai'suo'gu
鼻息肉,bi'xi'rou
鼻息肉摘除术,bi'xi'rou'zhai'chu'shu
毕新汶,bi'xin'wen
必须,bi'xu
必须大,bi'xu'da
必须核对,bi'xu'he'dui
必须立即,bi'xu'li'ji
必须目,bi'xu'mu
必须入,bi'xu'ru
必须使用,bi'xu'shi'yong
必须严格,bi'xu'yan'ge
必须再次,bi'xu'zai'ci
必须准备,bi'xu'zhun'bei
毕研,bi'yan
鼻炎,bi'yan
必要,bi'yao
必要的,bi'yao'de
毕业,bi'ye
毕业后,bi'ye'hou
毕业后教育,bi'ye'hou'jiao'yu
毕业技能,bi'ye'ji'neng
毕业技能考试,bi'ye'ji'neng'kao'shi
毕业于,bi'ye'yu
笔译,bi'yi
笔译专业,bi'yi'zhuan'ye
毕永珺,bi'yong'jun
毕玉,bi'yu
壁增厚,bi'zeng'hou
鼻中隔,bi'zhong'ge
鼻中隔偏曲,bi'zhong'ge'pian'qu
鼻中隔偏曲额,bi'zhong'ge'pian'qu'e
编号,bian'hao
边红,bian'hong
变化,bian'hua
变化的,bian'hua'de
变化时,bian'hua'shi
编辑,bian'ji
便利,bian'li
辨认,bian'ren
辨认一处,bian'ren'yi'chu
扁桃体,bian'tao'ti
扁桃体切除术,bian'tao'ti'qie'chu'shu
扁桃体炎,bian'tao'ti'yan
扁桃体摘除,bian'tao'ti'zhai'chu
扁桃体摘除术,bian'tao'ti'zhai'chu'shu
变异,bian'yi
变异标准,bian'yi'biao'zhun
便于,bian'yu
编造,bian'zao
标本,biao'ben
标本六区,biao'ben'liu'qu
标本耸肩,biao'ben'song'jian
标本血液,biao'ben'xue'ye
标本制度,biao'ben'zhi'du
标兵,biao'bing
表达,biao'da
表格,biao'ge
表格不合格,biao'ge'bu'he'ge
表绘制,biao'hui'zhi
标记,biao'ji
表机,biao'ji
标记标识,biao'ji'biao'zhi
标记一件次,biao'ji'yi'jian'ci
标记与,biao'ji'yu
表面,biao'mian
表面有,biao'mian'you
标牌,biao'pai
表情,biao'qing
表情交流,biao'qing'jiao'liu
标识牌,biao'shi'pai
表述,biao'shu
表述或,biao'shu'huo
表述手术,biao'shu'shou'shu
表述准确,biao'shu'zhun'que
表位,biao'wei
表现,biao'xian
表现病人,biao'xian'bing'ren
表现出,biao'xian'chu
表现疾病,biao'xian'ji'bing
表现疾病过程,biao'xian'ji'bing'guo'cheng
表现优秀,biao'xian'you'xiu
表现于,biao'xian'yu
标志,biao'zhi
标识,biao'zhi
标识不清,biao'zhi'bu'qing
标识不正确,biao'zhi'bu'zheng'que
标识开启,biao'zhi'kai'qi
标志流程,biao'zhi'liu'cheng
标识漏项,biao'zhi'lou'xiang
标识清楚,biao'zhi'qing'chu
标识制度,biao'zhi'zhi'du
标注,biao'zhu
标注三级医院,biao'zhu'san'ji'yi'yuan
标准,biao'zhun
标准分值,biao'zhun'fen'zhi
标准及,biao'zhun'ji
标准扣分,biao'zhun'kou'fen
标准青岛,biao'zhun'qing'dao
标准全扣,biao'zhun'quan'kou
标准实施,biao'zhun'shi'shi
标准胸肺,biao'zhun'xiong'fei
标准住院,biao'zhun'zhu'yuan
别病历,bie'bing'li
髌骨,bin'gu
髌骨骨折,bin'gu'gu'zhe
髌骨骨折术后,bin'gu'gu'zhe'shu'hou
髌骨骨折司广海,bin'gu'gu'zhe'si'guang'hai
斌吉,bin'ji
髌韧带缝合,bin'ren'dai'feng'he
斌生,bin'sheng
髌外,bin'wai
滨州,bin'zhou
滨州医学院,bin'zhou'yi'xue'yuan
丙爱,bing'ai
并按,bing'an
病案,bing'an
并按时,bing'an'shi
病案室,bing'an'shi
病案室四级,bing'an'shi'si'ji
病案室主任,bing'an'shi'zhu'ren
并闭合复位,bing'bi'he'fu'wei
病变,bing'bian
病变系统,bing'bian'xi'tong
病程,bing'cheng
病程及,bing'cheng'ji
病程记录,bing'cheng'ji'lu
病程接,bing'cheng'jie
病程书写,bing'cheng'shu'xie
病程医嘱单,bing'cheng'yi'zhu'dan
病程中,bing'cheng'zhong
病程中体现,bing'cheng'zhong'ti'xian
病程中未,bing'cheng'zhong'wei
并尺,bing'chi
病床,bing'chuang
病床间,bing'chuang'jian
病床间及,bing'chuang'jian'ji
病床意识,bing'chuang'yi'shi
并大量,bing'da'liang
并骶髂关节,bing'di'qia'guan'jie
丙丁,bing'ding
丙丁类,bing'ding'lei
丙丁全部,bing'ding'quan'bu
冰冻,bing'dong
冰冻报告,bing'dong'bao'gao
冰冻发现,bing'dong'fa'xian
病窦,bing'dou
病窦王,bing'dou'wang
病毒性,bing'du'xing
病毒性肝炎,bing'du'xing'gan'yan
并对,bing'dui
并发,bing'fa
并发昏迷,bing'fa'hun'mi
并发症,bing'fa'zheng
并发症管理,bing'fa'zheng'guan'li
病房,bing'fang
病房管理,bing'fang'guan'li
病房管理质量,bing'fang'guan'li'zhi'liang
病房环境,bing'fang'huan'jing
病房门口,bing'fang'men'kou
病房清洁,bing'fang'qing'jie
病房情况,bing'fang'qing'kuang
病房闲聊,bing'fang'xian'liao
病房有,bing'fang'you
病房走廊,bing'fang'zou'lang
并感染,bing'gan'ran
并骨折,bing'gu'zhe
并观察,bing'guan'cha
并记录,bing'ji'lu
并及时,bing'ji'shi
并及时补充,bing'ji'shi'bu'chong
丙级手术,bing'ji'shou'shu
并脊髓,bing'ji'sui
并急性,bing'ji'xing
并给予,bing'ji'yu
并介绍,bing'jie'shao
并截瘫,bing'jie'tan
并筋膜腔,bing'jin'mo'qiang
并开展,bing'kai'zhan
丙类,bing'lei
丙类除,bing'lei'chu
丙类手,bing'lei'shou
丙类手术,bing'lei'shou'shu
病例,bing'li
病历,bing'li
病理,bing'li
病例的书写,bing'li'de'shu'xie
病理反射,bing'li'fan'she
病例分析,bing'li'fen'xi
病例及,bing'li'ji
病例检查,bing'li'jian'cha
病例进行,bing'li'jin'xing
病例举例,bing'li'ju'li
病历考试,bing'li'kao'shi
病理科,bing'li'ke
病理科危急值,bing'li'ke'wei'ji'zhi
病历排序,bing'li'pai'xu
病历排序出,bing'li'pai'xu'chu
病例评估,bing'li'ping'gu
病例缺,bing'li'que
病历仍,bing'li'reng
病例书写,bing'li'shu'xie
病历书写,bing'li'shu'xie
病历书写基本规范,bing'li'shu'xie'ji'ben'gui'fan
病例书写试题成绩,bing'li'shu'xie'shi'ti'cheng'ji
病例讨论,bing'li'tao'lun
病历讨论记录,bing'li'tao'lun'ji'lu
病例讨论未,bing'li'tao'lun'wei
病例讨论有,bing'li'tao'lun'you
病例一周,bing'li'yi'zhou
病例摘要,bing'li'zhai'yao
病历摘要,bing'li'zhai'yao
病理症,bing'li'zheng
病例质量,bing'li'zhi'liang
病历质量,bing'li'zhi'liang
病历质量检查,bing'li'zhi'liang'jian'cha
病历质量培训,bing'li'zhi'liang'pei'xun
病例中,bing'li'zhong
病历中,bing'li'zhong
病例中保存,bing'li'zhong'bao'cun
病例中缺少,bing'li'zhong'que'shao
并了解,bing'liao'jie
丙伦,bing'lun
并落实,bing'luo'shi
并落实核心,bing'luo'shi'he'xin
并落实护理,bing'luo'shi'hu'li
并脑疝,bing'nao'shan
并内固定,bing'nei'gu'ding
冰倩,bing'qian
并签字,bing'qian'zi
并且,bing'qie
并且表现,bing'qie'biao'xian
病情,bing'qing
病情变化,bing'qing'bian'hua
病情不,bing'qing'bu
病情及,bing'qing'ji
病情描述,bing'qing'miao'shu
病情上级,bing'qing'shang'ji
病情稳定,bing'qing'wen'ding
病情稳定者,bing'qing'wen'ding'zhe
病情演变,bing'qing'yan'bian
病情演变过程,bing'qing'yan'bian'guo'cheng
病区,bing'qu
病曲,bing'qu
并取得,bing'qu'de
并取得成效,bing'qu'de'cheng'xiao
病区公共,bing'qu'gong'gong
并绕骨小头,bing'rao'gu'xiao'tou
病人,bing'ren
病人按,bing'ren'an
病人办理,bing'ren'ban'li
病人保持,bing'ren'bao'chi
病人被服,bing'ren'bei'fu
病人病程,bing'ren'bing'cheng
病人病情,bing'ren'bing'qing
病人病情出现,bing'ren'bing'qing'chu'xian
病人不满意,bing'ren'bu'man'yi
病人晨晚间,bing'ren'chen'wan'jian
病人出院,bing'ren'chu'yuan
病人床单元,bing'ren'chuang'dan'yuan
病人床前,bing'ren'chuang'qian
病人的,bing'ren'de
病人的姓名,bing'ren'de'xing'ming
病人反复,bing'ren'fan'fu
病人告知,bing'ren'gao'zhi
病人规定,bing'ren'gui'ding
病人护理,bing'ren'hu'li
病人或,bing'ren'huo
病人或者,bing'ren'huo'zhe
病人及,bing'ren'ji
病人讲解,bing'ren'jiang'jie
病人交谈,bing'ren'jiao'tan
病人了解,bing'ren'liao'jie
病人漏记,bing'ren'lou'ji
病人满意,bing'ren'man'yi
病人拿,bing'ren'na
病人呢,bing'ren'ne
病人呢床前,bing'ren'ne'chuang'qian
病人排忧解难,bing'ren'pai'you'jie'nan
病人实际,bing'ren'shi'ji
病人实施,bing'ren'shi'shi
病人水民,bing'ren'shui'min
病人谈论,bing'ren'tan'lun
病人提出,bing'ren'ti'chu
病人提供,bing'ren'ti'gong
病人体位,bing'ren'ti'wei
病人为,bing'ren'wei
病人问题,bing'ren'wen'ti
病人卧位,bing'ren'wo'wei
病人勿,bing'ren'wu
病人需求,bing'ren'xu'qiu
病人巡视,bing'ren'xun'shi
病人一般,bing'ren'yi'ban
病人应,bing'ren'ying
病人用过,bing'ren'yong'guo
病人由,bing'ren'you
病人至,bing'ren'zhi
病人住院,bing'ren'zhu'yuan
病人专科流程,bing'ren'zhuan'ke'liu'cheng
病人自己,bing'ren'zi'ji
病人做到,bing'ren'zuo'dao
病史,bing'shi
病室,bing'shi
病室安静,bing'shi'an'jing
病史的,bing'shi'de
病实施,bing'shi'shi
病史体格检查,bing'shi'ti'ge'jian'cha
并尸体解剖,bing'shi'ti'jie'pou
并收取,bing'shou'qu
病书,bing'shu
病舒润生,bing'shu'run'sheng
并胎儿,bing'tai'er
病糖尿病,bing'tang'niao'bing
丙涛,bing'tao
并提供,bing'ti'gong
丙王慎东,bing'wang'shen'dong
丙文,bing'wen
并下尺桡关节,bing'xia'chi'rao'guan'jie
冰箱,bing'xiang
冰箱及时,bing'xiang'ji'shi
病休,bing'xiu
病休休,bing'xiu'xiu
病学,bing'xue
病学总论,bing'xue'zong'lun
并询问,bing'xun'wen
并严格,bing'yan'ge
病以,bing'yi
病因,bing'yin
并应,bing'ying
并硬膜外,bing'ying'mo'wai
丙友,bing'you
并有,bing'you
并由,bing'you
病友,bing'you
并有由,bing'you'you
丙宇,bing'yu
并与,bing'yu
并预警,bing'yu'jing
病员,bing'yuan
病员四,bing'yuan'si
丙云,bing'yun
并在,bing'zai
并再次,bing'zai'ci
并在医嘱单,bing'zai'yi'zhu'dan
病灶,bing'zao
病灶清除,bing'zao'qing'chu
病灶清除加,bing'zao'qing'chu'jia
病灶清除术,bing'zao'qing'chu'shu
病灶清除植骨,bing'zao'qing'chu'zhi'gu
病张,bing'zhang
病症,bing'zheng
病症总,bing'zheng'zong
并指,bing'zhi
并指矫形术,bing'zhi'jiao'xing'shu
并知晓,bing'zhi'xiao
并执行,bing'zhi'xing
病种,bing'zhong
病重,bing'zhong
病种记录,bing'zhong'ji'lu
病种开展情况,bing'zhong'kai'zhan'qing'kuang
病种临床,bing'zhong'lin'chuang
病种名称,bing'zhong'ming'cheng
病种名单,bing'zhong'ming'dan
病种质控,bing'zhong'zhi'kong
并注明,bing'zhu'ming
并注明开启,bing'zhu'ming'kai'qi
并抓好,bing'zhua'hao
并椎弓,bing'zhui'gong
并做出,bing'zuo'chu
勃起,bo'qi
博士生,bo'shi'sheng
剥脱,bo'tuo
剥脱术,bo'tuo'shu
薄熙来,bo'xi'lai
不按,bu'an
不标记,bu'biao'ji
不不良后果,bu'bu'liang'hou'guo
不彻底,bu'che'di
不彻底仍,bu'che'di'reng
补充,bu'chong
补充学习,bu'chong'xue'xi
补充诊断,bu'chong'zhen'duan
不出,bu'chu
不出口,bu'chu'kou
不出全扣,bu'chu'quan'kou
不大,bu'da
不达标,bu'da'biao
不当,bu'dang
不到位,bu'dao'wei
不到位扣,bu'dao'wei'kou
不到位连续,bu'dao'wei'lian'xu
不到位术前,bu'dao'wei'shu'qian
不得,bu'de
不得超过,bu'de'chao'guo
不得从事,bu'de'cong'shi
不得分,bu'de'fen
不得签字,bu'de'qian'zi
不得向,bu'de'xiang
不得以,bu'de'yi
不得以创收,bu'de'yi'chuang'shou
不定期,bu'ding'qi
部定期,bu'ding'qi
不定期抽查,bu'ding'qi'chou'cha
部动脉瘤,bu'dong'mai'liu
不断,bu'duan
不断开展,bu'duan'kai'zhan
不断完善,bu'duan'wan'shan
卜凡,bu'fan
部分,bu'fen
部分病历,bu'fen'bing'li
部分科室,bu'fen'ke'shi
部分切除术,bu'fen'qie'chu'shu
部分缺损,bu'fen'que'sun
部分性,bu'fen'xing
不符,bu'fu
不符哈,bu'fu'ha
不符合,bu'fu'he
不符合规范,bu'fu'he'gui'fan
不符合扣,bu'fu'he'kou
不符合要求,bu'fu'he'yao'qiu
不符一件,bu'fu'yi'jian
不符一件次,bu'fu'yi'jian'ci
不符一项,bu'fu'yi'xiang
不改者,bu'gai'zhe
不改者加倍,bu'gai'zhe'jia'bei
不够,bu'gou
不够简练,bu'gou'jian'lian
不归,bu'gui
不规范,bu'gui'fan
不规范或者,bu'gui'fan'huo'zhe
不规范一项,bu'gui'fan'yi'xiang
不闺房,bu'gui'fang
不归者,bu'gui'zhe
不合,bu'he
不合噶,bu'he'ga
不合噶扣,bu'he'ga'kou
不合格,bu'he'ge
不合格扣,bu'he'ge'kou
不合格一处,bu'he'ge'yi'chu
不合理,bu'he'li
不合理扣,bu'he'li'kou
不合理要求,bu'he'li'yao'qiu
不合要,bu'he'yao
不合要求,bu'he'yao'qiu
不合要求后,bu'he'yao'qiu'hou
不合要求进口,bu'he'yao'qiu'jin'kou
不合要求扣,bu'he'yao'qiu'kou
不及时,bu'ji'shi
不及时二,bu'ji'shi'er
不及时发现,bu'ji'shi'fa'xian
不及时或,bu'ji'shi'huo
不及时或者,bu'ji'shi'huo'zhe
不及时扣,bu'ji'shi'kou
不及时现象,bu'ji'shi'xian'xiang
不佳,bu'jia
不佳按,bu'jia'an
不简练,bu'jian'lian
部减压,bu'jian'ya
不讲课,bu'jiang'ke
不仅要,bu'jin'yao
不仅要学习,bu'jin'yao'xue'xi
布局,bu'ju
不利用,bu'li'yong
不良,bu'liang
不良反应,bu'liang'fan'ying
不良后果,bu'liang'hou'guo
不良事件,bu'liang'shi'jian
不良行为,bu'liang'xing'wei
不良行为记录,bu'liang'xing'wei'ji'lu
不了解,bu'liao'jie
部裂,bu'lie
不乱,bu'luan
不乱串,bu'luan'chuan
不论是,bu'lun'shi
不论是原发性,bu'lun'shi'yuan'fa'xing
不落实,bu'luo'shi
不满意,bu'man'yi
不满意其他,bu'man'yi'qi'ta
