嗳腐,ai'fu
杵壮指,chu'zhuang'zhi
传变,chuan'bian
传化,chuan'hua
传化糟粕,chuan'hua'zao'po
喘急,chuan'ji
喘满,chuan'man
疮疡,chuang'yang
吹乳,chui'ru
从化,cong'hua
卒中,cu'zhong
寸口脉,cun'kou'mai
撮空,cuo'kong
撮口,cuo'kou
达表,da'biao
大病,da'bing
大肠,da'chang
大肠寒,da'chang'han
大肠热结,da'chang're'jie
大肠实,da'chang'shi
大肠湿热,da'chang'shi're
大肠主津,da'chang'zhu'jin
大烦渴,da'fan'ke
大厥,da'jue
大热,da're
大实有羸状,da'shi'you'lei'zhuang
大头瘟,da'tou'wen
呆钝,dai'dun
带下医,dai'xia'yi
胆热,dan're
丹田,dan'tian
盗汗,dao'han
道引,dao'yin
导引,dao'yin
得气,de'qi
癫顶,dian'ding
掉眩,diao'xuan
定风,ding'feng
定志,ding'zhi
洞泄,dong'xie
东医,dong'yi
恶风,e'feng
恶寒,e'han
恶露,e'lu
呃逆,e'ni
恶热,e're
恶阻,e'zu
二十八脉,er'shi'ba'mai
二阳,er'yang
二阳并病,er'yang'bing'bing
二阴,er'yin
儿枕痛,er'zhen'tong
儿枕作痛,er'zhen'zuo'tong
发表,fa'biao
发黄,fa'huang
发狂,fa'kuang
发热,fa're
发散,fa'san
发于机先,fa'yu'ji'xian
反关脉,fan'guan'mai
烦渴,fan'ke
反胃,fan'wei
翻胃,fan'wei
反治,fan'zhi
芳香化浊,fang'xiang'hua'zhuo
肺痹,fei'bi
肺朝百脉,fei'chao'bai'mai
肺寒,fei'han
肺合皮毛,fei'he'pi'mao
肺火,fei'huo
肺津,fei'jin
肺开窍于鼻,fei'kai'qiao'yu'bi
肺脾两虚,fei'pi'liang'xu
肺脾同病,fei'pi'tong'bing
肺气,fei'qi
肺气不宣,fei'qi'bu'xuan
肺气上逆,fei'qi'shang'ni
肺气虚,fei'qi'xu
肺热便秘,fei're'bian'mi
肺上通咽喉,fei'shang'tong'yan'hou
肺肾两虚,fei'shen'liang'xu
肺肾气虚,fei'shen'qi'xu
肺实,fei'shi
肺失清肃,fei'shi'qing'su
肺失肃降,fei'shi'su'jiang
肺水,fei'shui
肺司水道,fei'si'shui'dao
肺司肃降,fei'si'su'jiang
肺司通调,fei'si'tong'tiao
肺司宣化,fei'si'xuan'hua
肺为气之主,fei'wei'qi'zhi'zhu
肺为水之上源,fei'wei'shui'zhi'shang'yuan
肺为贮痰之器,fei'wei'zhu'tan'zhi'qi
肺虚,fei'xu
肺阴虚,fei'yin'xu
肺痈,fei'yong
肺与大肠相表里,fei'yu'da'chang'xiang'biao'li
肺主皮毛,fei'zhu'pi'mao
肺主气,fei'zhu'qi
肺主一身之气,fei'zhu'yi'shen'zhi'qi
肺主治节,fei'zhu'zhi'jie
分清别浊,fen'qing'bie'zhuo
风关,feng'guan
风寒,feng'han
风寒束肺,feng'han'shu'fei
风火眼痛,feng'huo'yan'tong
风能胜湿,feng'neng'sheng'shi
风热,feng're
风湿,feng'shi
风湿相搏,feng'shi'xiang'bo
风水,feng'shui
风水泛滥,feng'shui'fan'lan
风团,feng'tuan
风消,feng'xiao
风邪,feng'xie
复合脉,fu'he'mai
腹满时痛,fu'man'shi'tong
腹满痛,fu'man'tong
伏气,fu'qi
腐熟水谷,fu'shu'shui'gu
伏邪,fu'xie
扶正,fu'zheng
腹中雷鸣,fu'zhong'lei'ming
肝不藏血,gan'bu'cang'xue
肝藏血,gan'cang'xue
肝胆湿热,gan'dan'shi're
肝胆相表里,gan'dan'xiang'biao'li
肝风内动,gan'feng'nei'dong
肝火上炎,gan'huo'shang'yan
肝经实火,gan'jing'shi'huo
肝经湿热,gan'jing'shi're
肝开窍于目,gan'kai'qiao'yu'mu
肝脾不和,gan'pi'bu'he
肝气,gan'qi
肝气犯胃,gan'qi'fan'wei
肝气横逆,gan'qi'heng'ni
肝气郁结,gan'qi'yu'jie
肝气郁滞,gan'qi'yu'zhi
肝肾阴虚,gan'shen'yin'xu
肝旺脾弱,gan'wang'pi'ruo
肝胃不和,gan'wei'bu'he
肝血虚,gan'xue'xu
肝阳上亢,gan'yang'shang'kang
干噫食臭,gan'yi'shi'chou
肝痈,gan'yong
肝郁脾虚,gan'yu'pi'xu
肝郁肾亏,gan'yu'shen'kui
肝主筋,gan'zhu'jin
肝主谋虑,gan'zhu'mou'lv
肝主疏泄,gan'zhu'shu'xie
膏肓,gao'huang
格拒,ge'ju
格阳证,ge'yang'zheng
格阴症,ge'yin'zheng
攻坚,gong'jian
攻里,gong'li
谷槽风,gu'cao'feng
骨节疼烦,gu'jie'teng'fan
固精,gu'jing
谷气,gu'qi
固肾,gu'shen
骨痿,gu'wei
臌胀,gu'zhang
谷胀,gu'zhang
骨蒸,gu'zheng
关格,guan'ge
广肠,guang'chang
龟背,gui'bei
汗出肤冷,han'chu'fu'leng
寒积便秘,han'ji'bian'mi
寒厥,han'jue
寒凉折火,han'liang'zhe'huo
寒热,han're
寒热并举,han're'bing'ju
寒热腹泻,han're'fu'xie
寒热相济,han're'xiang'ji
寒疝,han'shan
寒胜拘急,han'sheng'ju'ji
寒湿困脾,han'shi'kun'pi
汗为心液,han'wei'xin'ye
寒下,han'xia
寒邪,han'xie
汉医,han'yi
寒证,han'zheng
行水,hang'shui
和法,he'fa
和胃,he'wei
鹤膝,he'xi
和血,he'xue
喉痹,hou'bi
喉底,hou'di
喉关,hou'guan
后阴,hou'yin
喉痈,hou'yong
化痞,hua'pi
滑胎,hua'tai
化瘀,hua'yu
恍惚,huang'hu
晦暗,hui'an
回阳,hui'yang
回阳救逆,hui'yang'jiu'ni
昏厥,hun'jue
霍乱转筋,huo'luan'zhuan'jin
火热,huo're
豁痰,huo'tan
火邪,huo'xie
活血,huo'xue
活血化瘀,huo'xue'hua'yu
活血祛瘀,huo'xue'qu'yu
活血通经,huo'xue'tong'jing
活血行瘀,huo'xue'xing'yu
疾病,ji'bing
既病防变,ji'bing'fang'bian
肌肤甲错,ji'fu'jia'cuo
激经,ji'jing
急惊风,ji'jing'feng
积聚,ji'ju
急热惊风,ji're'jing'feng
肌若鱼鳞,ji'ruo'yu'lin
急下存阴,ji'xia'cun'yin
鸡胸,ji'xiong
疾医,ji'yi
健脾化湿,jian'pi'hua'shi
健胃,jian'wei
降火,jiang'huo
降气,jiang'qi
降心火,jiang'xin'huo
角弓反张,jiao'gong'fan'zhang
脚挛急,jiao'luan'ji
脚气水肿,jiao'qi'shui'zhong
解肌,jie'ji
解痉,jie'jing
洁净府,jie'jing'fu
解颅,jie'lu
解热,jie're
结胸,jie'xiong
结阳,jie'yang
结阴,jie'yin
筋弛,jin'chi
禁方,jin'fang
噤风,jin'feng
筋急,jin'ji
筋惕,jin'ti
筋痿,jin'wei
津液,jin'ye
筋之府,jin'zhi'fu
痉病,jing'bing
经方,jing'fang
惊风四症八侯,jing'feng'si'zheng'ba'hou
惊悸,jing'ji
惊厥,jing'jue
惊狂,jing'kuang
经络,jing'luo
精气夺则虚,jing'qi'duo'ze'xu
经水后期,jing'shui'hou'qi
经水适断,jing'shui'shi'duan
经水适来,jing'shui'shi'lai
经水先期,jing'shui'xian'qi
经隧,jing'sui
惊痫,jing'xian
九窍,jiu'qiao
救阴,jiu'yin
九脏,jiu'zang
九种心痛,jiu'zhong'xin'tong
拘急,ju'ji
居经,ju'jing
厥逆,jue'ni
厥阴,jue'yin
厥证,jue'zheng
皲裂,jun'lie
峻下逐水,jun'xia'zhu'shui
开闭,kai'bi
开鬼门,kai'gui'men
开窍,kai'qiao
开窍除痰,kai'qiao'chu'tan
开窍于舌,kai'qiao'yu'she
开胃,kai'wei
开泄,kai'xie
客气上逆,ke'qi'shang'ni
空窍,kong'qiao
口不仁,kou'bu'ren
口噤,kou'jin
口糜,kou'mi
口眼歪斜,kou'yan'wai'xie
口中和,kou'zhong'he
枯涩,ku'se
宽中开郁,kuan'zhong'kai'yu
溃疡,kui'yang
烂喉丹沙,lan'hou'dan'sha
痨瘵,lao'zhai
泪窍,lei'qiao
类中风,lei'zhong'feng
里寒,li'han
里结,li'jie
利气,li'qi
理气,li'qi
利窍,li'qiao
里热,li're
里热炽盛,li're'chi'sheng
理伤续断,li'shang'xu'duan
里实,li'shi
利水,li'shui
利水渗湿,li'shui'shen'shi
利水通淋,li'shui'tong'lin
利水退肿,li'shui'tui'zhong
里虚,li'xu
理血,li'xue
理中,li'zhong
臁疮,lian'chuang
敛汗,lian'han
敛阴,lian'yin
凉血,liang'xue
淋浊,lin'zhuo
六腑,liu'fu
六腑以通为用,liu'fu'yi'tong'wei'yong
六经辨证,liu'jing'bian'zheng
六经之藩篱,liu'jing'zhi'fan'li
六气,liu'qi
六阳脉,liu'yang'mai
六淫,liu'yin
留饮,liu'yin
六阴脉,liu'yin'mai
癃闭,long'bi
漏胎,lou'tai
挛痛,luan'tong
瘰疠,luo'li
马刀侠瘿,ma'dao'xia'ying
脉经,mai'jing
脉证顺逆,mai'zheng'shun'ni
慢惊风,man'jing'feng
毛悴色夭,mao'cui'se'yao
梅核气,mei'he'qi
泌别清浊,mi'bie'qing'zhuo
糜烂,mi'lan
命门,ming'men
命门火衰,ming'men'huo'shuai
目胞浮肿,mu'bao'fu'zhong
目昏,mu'hun
目中赤脉,mu'zhong'chi'mai
纳气,na'qi
内闭外脱,nei'bi'wai'tuo
内风,nei'feng
内格,nei'ge
内寒,nei'han
内火,nei'huo
内热,nei're
内实,nei'shi
内湿,nei'shi
内托,nei'tuo
内消,nei'xiao
内痈,nei'yong
内燥,nei'zao
逆传心包,ni'chuan'xin'bao
溺血,ni'xue
尿血,niao'xie
衄血,nv'xue
女子胞,nv'zi'bao
呕逆,ou'ni
膀胱气闭,pang'guang'qi'bi
膀胱实热,pang'guang'shi're
膀胱虚寒,pang'guang'xu'han
配伍,pei'wu
疲惫,pi'bei
脾不统血,pi'bu'tong'xue
脾寒,pi'han
脾化血,pi'hua'xue
脾开窍于口,pi'kai'qiao'yu'kou
痞块,pi'kuai
癖块,pi'kuai
痞满,pi'man
脾气,pi'qi
脾气虚,pi'qi'xu
脾热,pi're
脾肾两虚,pi'shen'liang'xu
脾肾阳虚,pi'shen'yang'xu
皮水,pi'shui
脾统血,pi'tong'xue
脾胃不和,pi'wei'bu'he
脾胃寒湿,pi'wei'han'shi
脾为后天之本,pi'wei'hou'tian'zhi'ben
脾为生痰之源,pi'wei'sheng'tan'zhi'yuan
脾胃湿热,pi'wei'shi're
脾胃相表里,pi'wei'xiang'biao'li
脾胃虚寒,pi'wei'xu'han
脾胃虚弱,pi'wei'xu'ruo
脾喜燥恶湿,pi'xi'zao'e'shi
脾泄,pi'xie
皮屑,pi'xie
脾虚,pi'xu
脾虚湿困,pi'xu'shi'kun
脾虚水肿,pi'xu'shui'zhong
脾阳虚,pi'yang'xu
脾阴虚,pi'yin'xu
脾约,pi'yue
脾蕴湿热,pi'yun'shi're
脾主肌肉,pi'zhu'ji'rou
脾主四肢,pi'zhu'si'zhi
脾主益气,pi'zhu'yi'qi
脾主运化,pi'zhu'yun'hua
偏风,pian'feng
偏沮,pian'ju
偏头风,pian'tou'feng
平肝,ping'gan
平脉,ping'mai
魄门,po'men
破血,po'xue
扑粉,pu'fen
奇病,qi'bing
气不摄血,qi'bu'she'xue
七冲门,qi'chong'men
气分大热,qi'fen'da're
气分证,qi'fen'zheng
脐风,qi'feng
气功疗法,qi'gong'liao'fa
气鼓,qi'gu
奇恒之府,qi'heng'zhi'fu
气化,qi'hua
气化不利,qi'hua'bu'li
其华在唇,qi'hua'zai'chun
其华在发,qi'hua'zai'fa
其华在毛,qi'hua'zai'mao
其华在面,qi'hua'zai'mian
气机,qi'ji
奇经八脉,qi'jing'ba'mai
气逆,qi'ni
气痞,qi'pi
七窍,qi'qiao
七情,qi'qing
气热灼津,qi're'zhuo'jin
七伤,qi'shang
气上冲,qi'shang'chong
气随血脱,qi'sui'xue'tuo
气味,qi'wei
气陷,qi'xian
奇邪,qi'xie
气行水行,qi'xing'shui'xing
气虚,qi'xu
气虚便秘,qi'xu'bian'mi
气血津液,qi'xue'jin'ye
气血两燔,qi'xue'liang'fan
气血生化之源,qi'xue'sheng'hua'zhi'yuan
气血失调,qi'xue'shi'tiao
气郁,qi'yu
气胀,qi'zhang
气滞,qi'zhi
气滞血瘀,qi'zhi'xue'yu
潜阳,qian'yang
前阴,qian'yin
雀盲,qiao'mang
雀目,qiao'mu
切诊,qie'zhen
清便自调,qing'bian'zi'tiao
清肠,qing'chang
清胆,qing'dan
清肺,qing'fei
清肝,qing'gan
清解,qing'jie
清气,qing'qi
清气分热,qing'qi'fen're
清热,qing're
清热化痰,qing're'hua'tan
清热解毒,qing're'jie'du
清热开窍,qing're'kai'qiao
清热利湿,qing're'li'shi
清胃,qing'wei
清心,qing'xin
清虚热,qing'xu're
清营,qing'ying
清营凉血,qing'ying'liang'xue
丘疹,qiu'zhen
祛风,qu'feng
祛湿,qu'shi
祛痰,qu'tan
祛邪,qu'xie
祛瘀,qu'yu
去瘀生新,qu'yu'sheng'xin
全不产,quan'bu'chan
热病,re'bing
热毒,re'du
热积便秘,re'ji'bian'mi
热极生风,re'ji'sheng'feng
热结肠胃,re'jie'chang'wei
热结在里,re'jie'zai'li
热厥,re'jue
热入心包,re'ru'xin'bao
热入血室,re'ru'xue'shi
热伤神明,re'shang'shen'ming
热深厥深,re'shen'jue'shen
热盛伤津,re'sheng'shang'jin
热盛伤血,re'sheng'shang'xue
热盛伤阴,re'sheng'shang'yin
热盛肢厥,re'sheng'zhi'jue
热陷肢厥,re'xian'zhi'jue
热越,re'yue
热证,re'zheng
热重于湿,re'zhong'yu'shi
日哺发热,ri'bu'fa're
柔肝,rou'gan
乳娥,ru'e
乳疽,ru'ju
乳泣,ru'qi
濡泻,ru'xie
乳痈,ru'yong
软坚,ruan'jian
润畅通便,run'chang'tong'bian
润肺,run'fei
润下,run'xia
润养,run'yang
润燥化痰,run'zao'hua'tan
三部九侯,san'bu'jiu'hou
三焦,san'jiao
三焦辨证,san'jiao'bian'zheng
三焦湿热,san'jiao'shi're
三焦虚寒,san'jiao'xu'han
三焦主决渎,san'jiao'zhu'jue'du
散结,san'jie
三品,san'pin
散气,san'qi
散收平调,san'shou'ping'diao
三消,san'xiao
三阳,san'yang
三阳合病,san'yang'he'bing
三阴,san'yin
三因,san'yin
三阴三阳,san'yin'san'yang
散瘀,san'yu
疝气,shan'qi
疝痈,shan'yong
伤风,shang'feng
上寒下热,shang'han'xia're
伤津,shang'jin
上窍,shang'qiao
上热下寒,shang're'xia'han
上盛下虚,shang'sheng'xia'xu
伤食,shang'shi
伤湿,shang'shi
上实下虚,shang'shi'xia'xu
伤暑,shang'shu
烧存性,shao'cun'xing
少腹,shao'fu
少腹急结,shao'fu'ji'jie
少腹拘急,shao'fu'ju'ji
少腹满,shao'fu'man
少火壮火,shao'huo'zhuang'huo
舌本,she'ben
舌蹇,she'jian
舌色绛,she'se'jiang
肾不利水,shen'bu'li'shui
肾不纳气,shen'bu'na'qi
肾不暖脾,shen'bu'nuan'pi
肾不养肝,shen'bu'yang'gan
肾不制水,shen'bu'zhi'shui
肾藏精,shen'cang'jing
肾关,shen'guan
神昏,shen'hun
肾间动气,shen'jian'dong'qi
肾开窍于耳,shen'kai'qiao'yu'er
肾开窍于二阴,shen'kai'qiao'yu'er'yin
肾亏火旺,shen'kui'huo'wang
神明,shen'ming
肾气,shen'qi
肾气不固,shen'qi'bu'gu
肾生髓,shen'sheng'sui
肾水,shen'shui
肾通脑,shen'tong'nao
肾为气之根,shen'wei'qi'zhi'gen
肾为水脏,shen'wei'shui'zang
肾虚水泛,shen'xu'shui'fan
肾虚眩晕,shen'xu'xuan'yun
肾阳不足,shen'yang'bu'zu
肾阳虚,shen'yang'xu
肾液,shen'ye
肾阴,shen'yin
肾阴不足,shen'yin'bu'zu
肾阴虚,shen'yin'xu
肾与膀胱相表里,shen'yu'pang'guang'xiang'biao'li
神志不宁,shen'zhi'bu'ning
肾主骨,shen'zhu'gu
肾主水,shen'zhu'shui
升降合剂,sheng'jiang'he'ji
生津,sheng'jin
升阳补气,sheng'yang'bu'qi
十八反,shi'ba'fan
十二官,shi'er'guan
十二节,shi'er'jie
适寒温,shi'han'wen
湿火,shi'huo
十九畏,shi'jiu'wei
尸厥,shi'jue
湿困脾阳,shi'kun'pi'yang
室女,shi'nv
视歧,shi'qi
失气,shi'qi
湿热,shi're
湿热痹痛,shi're'bi'tong
湿热并重,shi're'bing'zhong
湿热聚结,shi're'ju'jie
湿热内陷心包,shi're'nei'xian'xin'bao
湿热下注大肠,shi're'xia'zhu'da'chang
湿热蕴脾,shi're'yun'pi
十问,shi'wen
湿邪,shi'xie
湿泻,shi'xie
食医,shi'yi
实则泻之,shi'ze'xie'zhi
实胀,shi'zhang
石针,shi'zhen
实证,shi'zheng
湿重于热,shi'zhong'yu're
受盛之官,shou'sheng'zhi'guan
收引,shou'yin
手足,shou'zu
手足拘急,shou'zu'ju'ji
手足厥,shou'zu'jue
手足厥寒,shou'zu'jue'han
手足厥逆,shou'zu'jue'ni
疏风,shu'feng
疏肝,shu'gan
暑邪,shu'xie
疏郁脾气,shu'yu'pi'qi
水蛊,shui'gu
水鼓,shui'gu
水谷之海,shui'gu'zhi'hai
水火,shui'huo
水亏火旺,shui'kui'huo'wang
水逆,shui'ni
水气冲心,shui'qi'chong'xin
水气凌心,shui'qi'ling'xin
水湿浸渍,shui'shi'jin'zi
水饮,shui'yin
水郁折之,shui'yu'zhe'zhi
水肿,shui'zhong
顺传与逆传,shun'chuan'yu'ni'chuan
四海,si'hai
四气,si'qi
四诊,si'zhen
髓海,sui'hai
尿脬,sui'pao
飧泻,sun'xie
胎动不安,tai'dong'bu'an
胎寒,tai'han
胎惊,tai'jing
胎漏,tai'lou
胎气,tai'qi
胎热,tai're
胎痫,tai'xian
痰迷心窍,tan'mi'xin'qiao
痰气郁结,tan'qi'yu'jie
痰饮,tan'yin
痰饮阻肺,tan'yin'zu'fei
痰浊中阻,tan'zhuo'zhong'zu
天吊,tian'diao
天癸,tian'gui
调经,tiao'jing
调理脾胃,tiao'li'pi'wei
调气,tiao'qi
调整肝脾,tiao'zheng'gan'pi
调整阴阳,tiao'zheng'yin'yang
廷孔,ting'kong
停饮,ting'yin
痛痹,tong'bi
同病异治,tong'bing'yi'zhi
痛风,tong'feng
通经,tong'jing
痛经,tong'jing
通里攻下,tong'li'gong'xia
通利关节,tong'li'guan'jie
通淋,tong'lin
通络化瘀,tong'luo'hua'yu
通气,tong'qi
通阳,tong'yang
通瘀,tong'yu
吐舌弄舌,tu'she'nong'she
吐血,tu'xie
脱证,tuo'zheng
外疮,wai'chuang
外风,wai'feng
外寒,wai'han
外火,wai'huo
外肾,wai'shen
外湿,wai'shi
外邪,wai'xie
外因,wai'yin
外燥,wai'zao
歪嘴风,wai'zui'feng
完谷不化,wan'gu'bu'hua
亡津液,wang'jin'ye
往来寒热,wang'lai'han're
望色,wang'se
望神,wang'shen
望态,wang'tai
望形,wang'xing
亡血家,wang'xue'jia
亡阳证,wang'yang'zheng
亡阴亡阳,wang'yin'wang'yang
亡阴证,wang'yin'zheng
望诊,wang'zhen
胃反,wei'fan
卫分证,wei'fen'zheng
胃腑湿热,wei'fu'shi're
胃寒,wei'han
胃火,wei'huo
胃家实,wei'jia'shi
胃津,wei'jin
胃咳,wei'ke
胃气,wei'qi
卫气,wei'qi
卫气不固,wei'qi'bu'gu
胃气不足,wei'qi'bu'zu
胃气上逆,wei'qi'shang'ni
卫气同病,wei'qi'tong'bing
胃气虚,wei'qi'xu
胃气虚寒,wei'qi'xu'han
卫气营血,wei'qi'ying'xue
卫气营血辨证,wei'qi'ying'xue'bian'zheng
胃热,wei're
胃实,wei'shi
胃脘痛,wei'wan'tong
胃喜润恶燥,wei'xi'run'e'zao
胃虚,wei'xu
胃阳,wei'yang
胃阳虚,wei'yang'xu
胃阴,wei'yin
胃阴虚,wei'yin'xu
痿证,wei'zheng
胃汁,wei'zhi
胃中虚,wei'zhong'xu
胃主腐热,wei'zhu'fu're
胃主受纳,wei'zhu'shou'na
温病,wen'bing
文痴,wen'chi
温毒,wen'du
温毒发斑,wen'du'fa'ban
温毒喉痹,wen'du'hou'bi
温法,wen'fa
温粉,wen'fen
温服,wen'fu
温经散寒,wen'jing'san'han
温开,wen'kai
温脾,wen'pi
温热,wen're
温热未盛,wen're'wei'sheng
温肾,wen'shen
温通,wen'tong
温下,wen'xia
温邪,wen'xie
温心,wen'xin
温血,wen'xue
温阳,wen'yang
温养,wen'yang
温阳救逆,wen'yang'jiu'ni
温疫,wen'yi
问诊,wen'zhen
闻诊,wen'zhen
温中散寒,wen'zhong'san'han
五迟,wu'chi
武痴,wu'chi
五恶,wu'e
五更泻,wu'geng'xie
五谷,wu'gu
五官,wu'guan
五决,wu'jue
五淋,wu'lin
五轮,wu'lun
五脉,wu'mai
五禽之戏,wu'qin'zhi'xi
五入,wu'ru
五色,wu'se
五水,wu'shui
五味,wu'wei
五心,wu'xin
五心烦热,wu'xin'fan're
五行,wu'xing
五药,wu'yao
五液,wu'ye
五脏,wu'zang
五脏六腑,wu'zang'liu'fu
五中,wu'zhong
五主,wu'zhu
熄风,xi'feng
吸门,xi'men
下利清谷,xia'li'qing'gu
下迫,xia'po
下窍,xia'qiao
下阴,xia'yin
下元亏损,xia'yuan'kui'sun
下元虚弱,xia'yuan'xu'ruo
痫证,xian'zheng
项背强几几,xiang'bei'qiang'ji'ji
相乘,xiang'cheng
相府之官,xiang'fu'zhi'guan
相火妄动,xiang'huo'wang'dong
相兼脉,xiang'jian'mai
相克,xiang'ke
项强,xiang'qiang
相生,xiang'sheng
相侮,xiang'wu
小肠,xiao'chang
小肠气痛,xiao'chang'qi'tong
小肠实热,xiao'chang'shi're
小肠虚寒,xiao'chang'xu'han
小肠主受盛,xiao'chang'zhu'shou'sheng
小肠主液,xiao'chang'zhu'ye
哮喘,xiao'chuan
消导,xiao'dao
消法,xiao'fa
消谷善饥,xiao'gu'shan'ji
消积,xiao'ji
消满,xiao'man
消痞,xiao'pi
消食化滞,xiao'shi'hua'zhi
消水,xiao'shui
消痰,xiao'tan
消痈,xiao'yong
消瘀,xiao'yu
消胀,xiao'zhang
邪不可干,xie'bu'ke'gan
泻火,xie'huo
泄利,xie'li
邪留三焦,xie'liu'san'jiao
邪气,xie'qi
邪气盛则实,xie'qi'sheng'ze'shi
协热利,xie're'li
邪盛正衰,xie'sheng'zheng'shuai
泻下,xie'xia
泄泻,xie'xie
泻心,xie'xin
血晕,xie'yun
邪正相搏,xie'zheng'xiang'bo
囟凹,xin'ao
心包,xin'bao
心包络,xin'bao'luo
心痹,xin'bi
心藏神,xin'cang'shen
心火,xin'huo
心火上炎,xin'huo'shang'yan
心火盛,xin'huo'sheng
心悸,xin'ji
辛谅解表,xin'liang'jie'biao
囟门不合,xin'men'bu'he
心脾两虚,xin'pi'liang'xu
心气虚,xin'qi'xu
心热,xin're
心神不安,xin'shen'bu'an
心肾不交,xin'shen'bu'jiao
心生血,xin'sheng'xue
心痛,xin'tong
囟凸,xin'tu
辛温解表,xin'wen'jie'biao
心下急,xin'xia'ji
心下满,xin'xia'man
心下逆满,xin'xia'ni'man
心下痞,xin'xia'pi
心下痞硬,xin'xia'pi'ying
心下硬满,xin'xia'ying'man
心虚胆怯,xin'xu'dan'qie
心血不足,xin'xue'bu'zu
心血虚,xin'xue'xu
心血瘀阻,xin'xue'yu'zu
心阳不通,xin'yang'bu'tong
心阳虚,xin'yang'xu
心阴虚,xin'yin'xu
心与小肠相表里,xin'yu'xiao'chang'xiang'biao'li
心中懊憹,xin'zhong'ao'nao
心主汗,xin'zhu'han
心主血脉,xin'zhu'xue'mai
行痹,xing'bi
性能,xing'neng
醒脾,xing'pi
行气,xing'qi
行气化水,xing'qi'hua'shui
性味,xing'wei
行血,xing'xue
兴阳,xing'yang
行瘀,xing'yu
行滞,xing'zhi
胸痹,xiong'bi
胸痞,xiong'pi
胸胁苦满,xiong'xie'ku'man
胸阳不通,xiong'yang'bu'tong
虚不养肝,xu'bu'yang'gan
虚烦不眠,xu'fan'bu'mian
虚寒,xu'han
虚热,xu're
虚实,xu'shi
虚实兼证,xu'shi'jian'zheng
虚邪贼风,xu'xie'zei'feng
虚则补之,xu'ze'bu'zhi
虚证,xu'zheng
宣肺,xuan'fei
玄府,xuan'fu
宣剂,xuan'ji
痃癖,xuan'pi
宣通水道,xuan'tong'shui'dao
眩晕,xuan'yun
血崩,xue'beng
血分,xue'fen
血分证,xue'fen'zheng
血海,xue'hai
血寒,xue'han
血枯,xue'ku
血尿,xue'niao
血热,xue're
血热妄行,xue're'wang'xing
血热在上,xue're'zai'shang
血涩,xue'se
血脱,xue'tuo
血泄,xue'xie
血虚,xue'xu
血虚生风,xue'xu'sheng'feng
血虚眩晕,xue'xu'xuan'yun
血瘀,xue'yu
血瘀证,xue'yu'zheng
血证,xue'zheng
血滞,xue'zhi
血之府,xue'zhi'fu
循衣摸床,xun'yi'mo'chuang
咽喉不利,yan'hou'bu'li
咽后痈,yan'hou'yong
咽门,yan'men
阳闭,yang'bi
阳病治阴,yang'bing'zhi'yin
阳疮,yang'chuang
养肝,yang'gan
阳黄,yang'huang
阳结,yang'jie
养津液,yang'jin'ye
阳厥,yang'jue
阳绝,yang'jue
阳脉之海,yang'mai'zhi'hai
阳盛,yang'sheng
