阿呐呐,a'na'na
富士广场,fu'shi'guang'chang
富士路,fu'shi'lu
嘎么,ga'me
噶木,ga'mu
干江,gan'jiang
刚今天,gang'jin'tian
刚泰,gang'tai
刚昨天,gang'zuo'tian
糕头,gao'tou
高园,gao'yuan
公安大楼,gong'an'da'lou
工人路,gong'ren'lu
古城街道,gu'cheng'jie'dao
估计危险,gu'ji'wei'xian
古木夕羊,gu'mu'xi'yang
骨头煲,gu'tou'bao
姑息相,gu'xi'xiang
挂瓶,gua'ping
观光园,guan'guang'yuan
管山,guan'shan
国清寺,guo'qing'si
海岸风情,hai'an'feng'qing
海湾浪琴,hai'wan'lang'qin
海鲜楼,hai'xian'lou
海游,hai'you
海游街,hai'you'jie
海游镇,hai'you'zhen
行贩,hang'fan
杭州大厦,hang'zhou'da'sha
号次,hao'ci
好非,hao'fei
好回去,hao'hui'qu
好用非,hao'yong'fei
好用个,hao'yong'ge
好用好用,hao'yong'hao'yong
河头,he'tou
横峰,heng'feng
横河,heng'he
横湖,heng'hu
横湖桥,heng'hu'qiao
横街,heng'jie
横山头,heng'shan'tou
横溪,heng'xi
洪池,hong'chi
洪畴,hong'chou
红番茄,hong'fan'qie
洪福堂,hong'fu'tang
洪家,hong'jia
红利群,hong'li'qun
红石梁,hong'shi'liang
红糖茶,hong'tang'cha
后然,hou'ran
后沙,hou'sha
后生人,hou'sheng'ren
后庄,hou'zhuang
湖景国际,hu'jing'guo'ji
虎山,hu'shan
胡头,hu'tou
华府天地,hua'fu'tian'di
华联超市,hua'lian'chao'shi
花死死,hua'si'si
花园新村,hua'yuan'xin'cun
欢岙,huan'ao
黄包车,huang'bao'che
黄二高,huang'er'gao
黄泥坎,huang'ni'kan
黄岩,huang'yan
黄岩的,huang'yan'de
黄岩港,huang'yan'gang
黄岩话,huang'yan'hua
黄岩了,huang'yan'le
黄岩区,huang'yan'qu
黄岩人,huang'yan'ren
黄岩中学,huang'yan'zhong'xue
回椒江,hui'jiao'jiang
回临海,hui'lin'hai
回路桥,hui'lu'qiao
回浦中学,hui'pu'zhong'xue
回台州,hui'tai'zhou
回天台,hui'tian'tai
汇头王,hui'tou'wang
回温岭,hui'wen'ling
火箭吗,huo'jian'ma
火箭一样的,huo'jian'yi'yang'de
基督教堂,ji'du'jiao'tang
机关幼儿园,ji'guan'you'er'yuan
鸡山,ji'shan
夹糕,jia'gao
嘉嘉乐,jia'jia'le
嘉乐迪,jia'le'di
佳颖,jia'ying
葭止,jia'zhi
嘉州红,jia'zhou'hong
检兵,jian'bing
讲白搭,jiang'bai'da
江滨公园,jiang'bin'gong'yuan
讲不来,jiang'bu'lai
姜汤面,jiang'tang'mian
饺饼筒,jiao'bing'tong
椒江,jiao'jiang
椒江大桥,jiao'jiang'da'qiao
椒江的,jiao'jiang'de
椒江了,jiao'jiang'le
椒江区,jiao'jiang'qu
椒江人,jiao'jiang'ren
叫你传了,jiao'ni'chuan'le
街心公园,jie'xin'gong'yuan
锦凤凰,jin'feng'huang
锦江百货,jin'jiang'bai'huo
锦屏公园,jin'ping'gong'yuan
金清,jin'qing
金清镇,jin'qing'zhen
巾山,jin'shan
金太子,jin'tai'zi
金兄弟,jin'xiong'di
金银楼,jin'yin'lou
锦园小区,jin'yuan'xiao'qu
静凤凰,jing'feng'huang
景元,jing'yuan
经中路,jing'zhong'lu
九峰,jiu'feng
九峰公园,jiu'feng'gong'yuan
九峰山,jiu'feng'shan
巨鼎,ju'ding
君泰,jun'tai
开模具,kai'mu'ju
凯亚城,kai'ya'cheng
坎门,kan'men
看中意,kan'zhong'yi
扛不牢,kang'bu'lao
康平路,kang'ping'lu
抗台,kang'tai
康喜,kang'xi
克痢痧,ke'li'sha
科山,ke'shan
课堂作业本,ke'tang'zuo'ye'ben
扣鸡,kou'ji
快点是,kuai'dian'shi
困高开,kun'gao'kai
困高困高,kun'gao'kun'gao
括苍山,kuo'cang'shan
拉芳舍,la'fang'she
拉屁,la'pi
来杜桥,lai'du'qiao
来黄岩,lai'huang'yan
来椒江,lai'jiao'jiang
来临海,lai'lin'hai
来路桥,lai'lu'qiao
来三门,lai'san'men
来台州,lai'tai'zhou
来天台,lai'tian'tai
赖头,lai'tou
来温岭,lai'wen'ling
来浙江,lai'zhe'jiang
烂头,lan'tou
浪漫一身,lang'man'yi'shen
老扁,lao'bian
老纯,lao'chun
老颠,lao'dian
老归,lao'gui
老撇,lao'pie
老生意,lao'sheng'yi
老师头,lao'shi'tou
老熟人,lao'shu'ren
老也,lao'ye
里黄,li'huang
利欧,li'ou
历史与社会,li'shi'yu'she'hui
两岸咖啡,liang'an'ka'fei
两不来,liang'bu'lai
两水,liang'shui
烈士山,lie'shi'shan
临海,lin'hai
临海的,lin'hai'de
临海话,lin'hai'hua
临海了,lin'hai'le
临海论坛,lin'hai'lun'tan
临海人,lin'hai'ren
临海市,lin'hai'shi
临海小学,lin'hai'xiao'xue
林家铺子,lin'jia'pu'zi
林坑,lin'keng
玲飞,ling'fei
灵湖,ling'hu
灵江,ling'jiang
岭脚,ling'jiao
玲珑宝宴,ling'long'bao'yan
岭头,ling'tou
龙撇,long'pie
龙品,long'pin
龙潭岙,long'tan'ao
龙溪乡,long'xi'xiang
龙些,long'xie
楼旗,lou'qi
楼山,lou'shan
鹿城路,lu'cheng'lu
芦浦,lu'pu
路桥,lu'qiao
路桥啊,lu'qiao'a
路桥的,lu'qiao'de
路桥了,lu'qiao'le
路桥区,lu'qiao'qu
路桥人,lu'qiao'ren
路桥中学,lu'qiao'zhong'xue
庐山的,lu'shan'de
庐山了,lu'shan'le
路中,lu'zhong
乱港,luan'gang
轮渡路,lun'du'lu
罗曼庭,luo'man'ting
绿豆面,lv'dou'mian
绿佳,lv'jia
绿驹,lv'ju
麻车,ma'che
马铺路,ma'pu'lu
马头山,ma'tou'shan
卖白搭,mai'bai'da
麦饼,mai'bing
买读,mai'du
买来多少,mai'lai'duo'shao
麦圈,mai'quan
麦士轩,mai'shi'xuan
麦虾,mai'xia
麦虾面,mai'xia'mian
麦虾团,mai'xia'tuan
麦油煎,mai'you'jian
麦油脂,mai'you'zhi
卖芝桥,mai'zhi'qiao
蛮漂亮的呀,man'piao'liang'de'ya
蛮头,man'tou
茅畲,mao'she
毛兔,mao'tu
么高,me'gao
没得读,mei'de'du
没度娘,mei'du'niang
美歌洋,mei'ge'yang
美乐星,mei'yue'xing
美乐熊,mei'yue'xiong
梦霞,meng'xia
迷道,mi'dao
迷进去,mi'jin'qu
面干,mian'gan
民泰,min'tai
魔决,mo'jue
木高,mu'gao
模具厂,mu'ju'chang
木软,mu'ruan
木勺,mu'shao
那就民法通,na'jiu'min'fa'tong
那由你,na'you'ni
南岙,nan'ao
南门大桥,nan'men'da'qiao
南门坑,nan'men'keng
南三路,nan'san'lu
难为情死,nan'wei'qing'si
难装,nan'zhuang
你饭吃了,ni'fan'chi'le
你讲清楚才对,ni'jiang'qing'chu'cai'dui
你讲清楚点,ni'jiang'qing'chu'dian
你开远程,ni'kai'yuan'cheng
你在椒江,ni'zai'jiao'jiang
你在临海,ni'zai'lin'hai
你在路桥,ni'zai'lu'qiao
你在温岭,ni'zai'wen'ling
你在桌面上弄个,ni'zai'zhuo'mian'shang'nong'ge
年度宝,nian'du'bao
年度度,nian'du'du
年度鬼,nian'du'gui
年度笑,nian'du'xiao
年级段,nian'ji'duan
年假家,nian'jia'jia
娘撇,niang'pie
鸟吧,niao'ba
宁溪,ning'xi
牛爱客,niu'ai'ke
牛骑士,niu'qi'shi
牛头山,niu'tou'shan
农医保,nong'yi'bao
诺威,nuo'wei
女卡,nv'ka
女客人,nv'ke'ren
哦宁乡,o'ning'xiang
藕池,ou'chi
欧尚,ou'shang
欧洲花园,ou'zhou'hua'yuan
派斯俊,pai'si'jun
泡虾,pao'xia
蓬街,peng'jie
蓬街镇,peng'jie'zhen
撇话,pie'hua
撇叫,pie'jiao
平柜,ping'gui
平桥,ping'qiao
平桥镇,ping'qiao'zhen
平田,ping'tian
平镇,ping'zhen
皤滩,po'tan
七号码头,qi'hao'ma'tou
汽摩,qi'mo
汽校,qi'xiao
气些,qi'xie
前陈,qian'chen
前丁,qian'ding
嵌糕,qian'gao
乾宫,qian'gong
前江,qian'jiang
前所,qian'suo
前王,qian'wang
前围,qian'wei
前洋,qian'yang
呛心,qiang'xin
强制险,qiang'zhi'xian
桥头王,qiao'tou'wang
亲情网,qin'qing'wang
清港,qing'gang
清港镇,qing'gang'zhen
清河坊,qing'he'fang
青蟹,qing'xie
琼台,qiong'tai
去茶去,qu'cha'qu
去杜桥,qu'du'qiao
去黄岩,qu'huang'yan
去椒江,qu'jiao'jiang
去临海,qu'lin'hai
去路桥,qu'lu'qiao
去三门,qu'san'men
去温岭,qu'wen'ling
去玉环,qu'yu'huan
全雍城,quan'yong'cheng
然后单击,ran'hou'dan'ji
让他晚上,rang'ta'wan'shang
人力网,ren'li'wang
人笑死,ren'xiao'si
荣怀,rong'huai
肉包网,rou'bao'wang
瑞人堂,rui'ren'tang
箬横,ruo'heng
箬横镇,ruo'heng'zhen
箬山,ruo'shan
赛格特,sai'ge'te
三改一拆,san'gai'yi'chai
三合潭,san'he'tan
三合镇,san'he'zhen
三角塘,san'jiao'tang
三梅,san'mei
三门,san'men
三门的,san'men'de
三门了,san'men'le
三门人,san'men'ren
三门县,san'men'xian
三星桥,san'xing'qiao
三星小区,san'xing'xiao'qu
散学式,san'xue'shi
骚丽丽,sao'li'li
骚咧咧,sao'lie'lie
骚撇,sao'pie
沙北,sha'bei
沙埠,sha'bu
杀甲,sha'jia
杀克重,sha'ke'zhong
杀来重,sha'lai'zhong
沙柳,sha'liu
沙门,sha'men
沙山,sha'shan
山洞,shan'dong
栅桥,shan'qiao
上保,shang'bao
上阶段,shang'jie'duan
上口爱,shang'kou'ai
上盘,shang'pan
上叶,shang'ye
邵家渡,shao'jia'du
舍得坊,she'de'fang
蛇蟠岛,she'pan'dao
什么工会,shen'me'gong'hui
什么直接,shen'me'zhi'jie
神仙居,shen'xian'ju
神仙路,shen'xian'lu
石浜,shi'bang
食饼,shi'bing
食饼筒,shi'bing'tong
食补堂,shi'bu'tang
始丰,shi'feng
市府大道,shi'fu'da'dao
石夫人,shi'fu'ren
石梁,shi'liang
市民广场,shi'min'guang'chang
石桥头,shi'qiao'tou
时尚人生,shi'shang'ren'sheng
石塘,shi'tang
石塘镇,shi'tang'zhen
十一马路,shi'yi'ma'lu
石粘,shi'zhan
十字马路,shi'zi'ma'lu
手打面,shou'da'mian
瘦肉丸,shou'rou'wan
数码城,shu'ma'cheng
书生中学,shu'sheng'zhong'xue
双鸽,shuang'ge
水潺,shui'chan
睡回去了,shui'hui'qu'le
水天一色,shui'tian'yi'se
水洋,shui'yang
说不进去,shuo'bu'jin'qu
四岔,si'cha
寺前,si'qian
松门,song'men
松门镇,song'men'zhen
塑件,su'jian
塑料城,su'liao'cheng
塑模,su'mo
算奥,suan'ao
酸菜鱼,suan'cai'yu
台初,tai'chu
泰和阁,tai'he'ge
台金,tai'jin
台科院,tai'ke'yuan
泰隆,tai'long
泰隆苑,tai'long'yuan
太平街道,tai'ping'jie'dao
台行,tai'xing
台绣,tai'xiu
台医,tai'yi
台院,tai'yuan
台运,tai'yun
台职,tai'zhi
台职院,tai'zhi'yuan
台州,tai'zhou
台州啊,tai'zhou'a
台州的,tai'zhou'de
台州话,tai'zhou'hua
台州了,tai'zhou'le
台州哪里,tai'zhou'na'li
台州人,tai'zhou'ren
台州市,tai'zhou'shi
台州天气,tai'zhou'tian'qi
台州湾,tai'zhou'wan
台州学院,tai'zhou'xue'yuan
台州医院,tai'zhou'yi'yuan
台州一中,tai'zhou'yi'zhong
台州银行,tai'zhou'yin'hang
台州站,tai'zhou'zhan
台州中学,tai'zhou'zhong'xue
贪吃街,tan'chi'jie
坦头,tan'tou
坦头镇,tan'tou'zhen
糖果会,tang'guo'hui
陶家,tao'jia
桃渚,tao'zhu
腾达路,teng'da'lu
提噶,ti'ga
天上人间,tian'shang'ren'jian
天台,tian'tai
天台的,tian'tai'de
天台话,tian'tai'hua
天台了,tian'tai'le
天台人,tian'tai'ren
天台县,tian'tai'xian
田蟹,tian'xie
条太,tiao'tai
铁皮枫斗,tie'pi'feng'dou
亭旁,ting'pang
铜棒,tong'bang
同城游,tong'cheng'you
通校生,tong'xiao'sheng
痛些,tong'xie
桐屿,tong'yu
头路,tou'lu
头陀,tou'tuo
头枕,tou'zhen
托运站,tuo'yun'zhan
哇好,wa'hao
外路人,wai'lu'ren
外贸员,wai'mao'yuan
万昌,wan'chang
晚头,wan'tou
万紫千红,wan'zi'qian'hong
伟星,wei'xing
文旦,wen'dan
文化考,wen'hua'kao
文化桥,wen'hua'qiao
温岭,wen'ling
温岭的,wen'ling'de
温岭了,wen'ling'le
温岭人,wen'ling'ren
温岭市,wen'ling'shi
温岭中学,wen'ling'zhong'xue
温峤,wen'qiao
温峤镇,wen'qiao'zhen
我不是个你了吗,wo'bu'shi'ge'ni'le'ma
我叫不来,wo'jiao'bu'lai
我科学,wo'ke'xue
我困高,wo'kun'gao
我时间有限的呀,wo'shi'jian'you'xian'de'ya
我台州,wo'tai'zhou
我要怕,wo'yao'pa
我也不知道跑,wo'ye'bu'zhi'dao'pao
我也说不来,wo'ye'shuo'bu'lai
我在黄岩,wo'zai'huang'yan
我在椒江,wo'zai'jiao'jiang
我在临海,wo'zai'lin'hai
我在路桥,wo'zai'lu'qiao
我在台州,wo'zai'tai'zhou
我在温岭,wo'zai'wen'ling
我在玉环,wo'zai'yu'huan
我在浙江,wo'zai'zhe'jiang
无盖,wu'gai
坞根,wu'gen
无聊些,wu'liao'xie
锡饼,xi'bing
西饼屋,xi'bing'wu
洗菜桥,xi'cai'qiao
西岑,xi'cen
溪口,xi'kou
溪林春天,xi'lin'chun'tian
西门大厦,xi'men'da'sha
西门街,xi'men'jie
溪滩,xi'tan
西塘桥,xi'tang'qiao
下保,xia'bao
下陈,xia'chen
下各,xia'ge
下里桥,xia'li'qiao
下叶,xia'ye
下宅,xia'zhai
咸菜面,xian'cai'mian
鲜迭,xian'die
仙居,xian'ju
仙居的,xian'ju'de
仙居人,xian'ju'ren
仙居县,xian'ju'xian
香炉峰,xiang'lu'feng
香头,xiang'tou
小白虾,xiao'bai'xia
小订,xiao'ding
小豆娘,xiao'dou'niang
小度娘,xiao'du'niang
孝丰,xiao'feng
小龟王,xiao'gui'wang
小后生,xiao'hou'sheng
小家居,xiao'jia'ju
小老人,xiao'lao'ren
小美哥,xiao'mei'ge
小平头,xiao'ping'tou
小青岛,xiao'qing'dao
潇洒些,xiao'sa'xie
小商品市场,xiao'shang'pin'shi'chang
小四轮,xiao'si'lun
小死人,xiao'si'ren
小挺,xiao'ting
小文汤包,xiao'wen'tang'bao
小渔村,xiao'yu'cun
小芝,xiao'zhi
蟹煲,xie'bao
谢年,xie'nian
鞋样,xie'yang
新潮流,xin'chao'liu
鑫都,xin'dou
新河,xin'he
新河镇,xin'he'zhen
新河中学,xin'he'zhong'xue
新华书店,xin'hua'shu'dian
新明半岛,xin'ming'ban'dao
新前,xin'qian
新桥,xin'qiao
新荣记,xin'rong'ji
新时尚,xin'shi'shang
心心快餐,xin'xin'kuai'can
醒不牢,xing'bu'lao
星麦克,xing'mai'ke
星期六天,xing'qi'liu'tian
兴旺阁,xing'wang'ge
星星广场,xing'xing'guang'chang
性质头,xing'zhi'tou
休闲网,xiu'xian'wang
选不来,xuan'bu'lai
漩门湾,xuan'men'wan
雪歌,xue'ge
雪可,xue'ke
汛桥,xun'qiao
巡特警,xun'te'jing
娅妮,ya'ni
压弯,ya'wan
验兵,yan'bing
雁荡山,yan'dang'shan
沿江镇,yan'jiang'zhen
眼镜厂,yan'jing'chang
岩头,yan'tou
杨府,yang'fu
杨府庙,yang'fu'miao
样个,yang'ge
杨家山,yang'jia'shan
杨梅,yang'mei
杨司,yang'si
仰天湖,yang'tian'hu
洋头,yang'tou
羊岩山,yang'yan'shan
洋叶,yang'ye
洋芋头,yang'yu'tou
羊杂面,yang'za'mian
耀达,yao'da
耀达百货,yao'da'bai'huo
要死紧,yao'si'jin
夜不休,ye'bu'xiu
野放,ye'fang
夜自修,ye'zi'xiu
一鼎,yi'ding
一兜麦香,yi'dou'mai'xiang
医化,yi'hua
一级公路,yi'ji'gong'lu
移进去,yi'jin'qu
忆口香,yi'kou'xiang
一席地,yi'xi'di
银河商城,yin'he'shang'cheng
银座街,yin'zuo'jie
鹰吧,ying'ba
应会,ying'hui
应家,ying'jia
永安公园,yong'an'gong'yuan
永安溪,yong'an'xi
咏乐汇,yong'le'hui
永宁公园,yong'ning'gong'yuan
永宁江,yong'ning'jiang
永宁街,yong'ning'jie
涌泉,yong'quan
甬台温,yong'tai'wen
永源,yong'yuan
有度娘,you'du'niang
渔岙,yu'ao
玉城,yu'cheng
玉城中学,yu'cheng'zhong'xue
御道,yu'dao
玉宏,yu'hong
玉环,yu'huan
玉环的,yu'huan'de
玉环县,yu'huan'xian
渝汇,yu'hui
御景华庭,yu'jing'hua'ting
于色么,yu'se'me
羽山,yu'shan
于什么,yu'shen'me
屿头,yu'tou
圆鼓,yuan'gu
院桥,yuan'qiao
院桥镇,yuan'qiao'zhen
怨心,yuan'xin
远洲,yuan'zhou
越剧,yue'ju
咋木,za'mu
咋森,za'sen
在楚门,zai'chu'men
再传咯,zai'chuan'ge
在的哦,zai'de'o
在杜桥,zai'du'qiao
在非,zai'fei
在海游,zai'hai'you
在黄岩,zai'huang'yan
在见谅,zai'jian'liang
在椒江,zai'jiao'jiang
在九龙,zai'jiu'long
在临海,zai'lin'hai
在路桥,zai'lu'qiao
在庐山,zai'lu'shan
在三门,zai'san'men
在台州,zai'tai'zhou
在天台,zai'tian'tai
在文静,zai'wen'jing
在温岭,zai'wen'ling
在仙居,zai'xian'ju
在泽国,zai'ze'guo
在浙江,zai'zhe'jiang
暂借款,zan'jie'kuan
赞些,zan'xie
早锻炼,zao'duan'lian
泽国,ze'guo
泽国了,ze'guo'le
泽国镇,ze'guo'zhen
怎森,zen'sen
闸头,zha'tou
章安,zhang'an
涨潮,zhang'chao
张家渡,zhang'jia'du
浙江啊,zhe'jiang'a
浙江呢,zhe'jiang'ne
浙江身,zhe'jiang'shen
浙江省台州市,zhe'jiang'sheng'tai'zhou'shi
浙江台州,zhe'jiang'tai'zhou
浙江移动,zhe'jiang'yi'dong
这里的第四个,zhe'li'de'di'si'ge
这又没事,zhe'you'mei'shi
臻典,zhen'dian
职技校,zhi'ji'xiao
之江,zhi'jiang
职教城,zhi'jiao'cheng
纸箱厂,zhi'xiang'chang
中保,zhong'bao
中沙,zhong'sha
中盛百货,zhong'sheng'bai'huo
中心菜场,zhong'xin'cai'chang
中心大道,zhong'xin'da'dao
中央花园,zhong'yang'hua'yuan
中央山,zhong'yang'shan
粥道,zhou'dao
珠岙,zhu'ao
珠港镇,zhu'gang'zhen
竹坑,zhu'keng
煮起来,zhu'qi'lai
猪肉饭,zhu'rou'fan
朱砂街,zhu'sha'jie
朱溪,zhu'xi
转费,zhuan'fei
自拉自报,zi'la'zi'bao
紫阳街,zi'yang'jie
总商会,zong'shang'hui
走克,zou'ke
