阿不都热希提,a'bu'dou're'xi'ti
巴格托格拉克村,ba'ge'tuo'ge'la'ke'cun
巴哈尔,ba'ha'er
八家户村,ba'jia'hu'cun
八棵树,ba'ke'shu
八连,ba'lian
巴联,ba'lian
巴伦台,ba'lun'tai
巴伦台镇,ba'lun'tai'zhen
巴润哈尔莫墩镇,ba'run'ha'er'mo'dun'zhen
巴什布拉克,ba'shi'bu'la'ke
巴吾东,ba'wu'dong
八一中学,ba'yi'zhong'xue
巴音布鲁克,ba'yin'bu'lu'ke
巴音郭楞,ba'yin'guo'leng
巴音郭楞宾馆,ba'yin'guo'leng'bin'guan
巴音郭楞日报社,ba'yin'guo'leng'ri'bao'she
巴音郭楞乡,ba'yin'guo'leng'xiang
巴音塔拉,ba'yin'ta'la
巴音乌鲁,ba'yin'wu'lu
巴音乌鲁乡,ba'yin'wu'lu'xiang
巴音小区,ba'yin'xiao'qu
巴音学院,ba'yin'xue'yuan
巴州财政局,ba'zhou'cai'zheng'ju
巴州党校,ba'zhou'dang'xiao
巴州第二中学,ba'zhou'di'er'zhong'xue
巴州地税局,ba'zhou'di'shui'ju
巴州公安局,ba'zhou'gong'an'ju
巴州工商局,ba'zhou'gong'shang'ju
巴州环保局,ba'zhou'huan'bao'ju
巴州建设局,ba'zhou'jian'she'ju
巴州交通局,ba'zhou'jiao'tong'ju
巴州教育局,ba'zhou'jiao'yu'ju
巴州经贸委,ba'zhou'jing'mao'wei
巴州科技局,ba'zhou'ke'ji'ju
巴州粮食局,ba'zhou'liang'shi'ju
巴州林业局,ba'zhou'lin'ye'ju
巴州旅游局,ba'zhou'lv'you'ju
巴州民政局,ba'zhou'min'zheng'ju
巴州人民医院,ba'zhou'ren'min'yi'yuan
巴州人事局,ba'zhou'ren'shi'ju
巴州师范学校,ba'zhou'shi'fan'xue'xiao
巴州水管处,ba'zhou'shui'guan'chu
巴州水利局,ba'zhou'shui'li'ju
巴州特教学校,ba'zhou'te'jiao'xue'xiao
巴州卫生局,ba'zhou'wei'sheng'ju
巴州卫生学校,ba'zhou'wei'sheng'xue'xiao
巴州文化局,ba'zhou'wen'hua'ju
巴州畜牧局,ba'zhou'xu'mu'ju
巴州影剧院,ba'zhou'ying'ju'yuan
巴州邮政局,ba'zhou'you'zheng'ju
巴州总工会,ba'zhou'zong'gong'hui
百草厅大药房,bai'cao'ting'da'yao'fang
百富烤霸,bai'fu'kao'ba
白干湖,bai'gan'hu
白海子,bai'hai'zi
百合花园,bai'he'hua'yuan
白鹭洲,bai'lu'zhou
白鹭洲宾馆,bai'lu'zhou'bin'guan
白鹭洲头,bai'lu'zhou'tou
白山子,bai'shan'zi
拜什托格拉克,bai'shen'tuo'ge'la'ke
柏斯琴行,bai'si'qin'hang
白天鹅宾馆,bai'tian'e'bin'guan
白土梁,bai'tu'liang
白土塘,bai'tu'tang
柏香苑,bai'xiang'yuan
白星,bai'xing
白玉山,bai'yu'shan
白云宾馆,bai'yun'bin'guan
白云岗,bai'yun'gang
白云湖,bai'yun'hu
白云山,bai'yun'shan
白长山,bai'zhang'shan
半岛湖,ban'dao'hu
半个,ban'ge
半山湖,ban'shan'hu
包尔海乡,bao'er'hai'xiang
包尔图,bao'er'tu
包来,bao'lai
宝浪苏木,bao'lang'su'mu
宝石山,bao'shi'shan
包头湖农场,bao'tou'hu'nong'chang
报喜鸟,bao'xi'niao
保险大厦,bao'xian'da'sha
豹子沟,bao'zi'gou
北大渠,bei'da'qu
北大渠村,bei'da'qu'cun
北大渠乡,bei'da'qu'xiang
贝菲尔,bei'fei'er
北京涮,bei'jing'shuan
贝勒克,bei'le'ke
北渠村,bei'qu'cun
北园新村,bei'yuan'xin'cun
本布图,ben'bu'tu
本布图村,ben'bu'tu'cun
奔腾体育,ben'teng'ti'yu
笔架山,bi'jia'shan
毕家庄,bi'jia'zhuang
碧云山,bi'yun'shan
便民超市,bian'min'chao'shi
别尔根,bie'er'gen
别勒,bie'le
宾度,bin'du
冰达坂,bing'da'ban
冰湖,bing'hu
冰水湖,bing'shui'hu
兵团三建,bing'tuan'san'jian
博盾,bo'dun
博湖县,bo'hu'xian
博湖县教育局,bo'hu'xian'jiao'yu'ju
博湖县卫生局,bo'hu'xian'wei'sheng'ju
伯克,bo'ke
伯拉克,bo'la'ke
博斯坦,bo'si'tan
波斯坦,bo'si'tan
博斯坦村,bo'si'tan'cun
波斯坦村,bo'si'tan'cun
博斯塘,bo'si'tang
博斯腾宾馆,bo'si'teng'bin'guan
博斯腾湖,bo'si'teng'hu
伯信特,bo'xin'te
布拉克,bu'la'ke
布拉特,bu'la'te
捕捞队,bu'lao'dui
擦汗乌苏,ca'han'wu'su
蔡家庄,cai'jia'zhuang
才坎诺尔乡,cai'kan'nuo'er'xiang
采油厂,cai'you'chang
草房子,cao'fang'zi
草湖牧场,cao'hu'mu'chang
草湖乡,cao'hu'xiang
草窟窿,cao'ku'long
策大雅乡,ce'da'ya'xiang
查茨村,cha'ci'cun
查干诺尔乡,cha'gan'nuo'er'xiang
查干乌拉,cha'gan'wu'la
查汗采开,cha'han'cai'kai
查汗才开,cha'han'cai'kai
查汗采开乡,cha'han'cai'kai'xiang
查汗淖尔,cha'han'nao'er
查汗通古,cha'han'tong'gu
察汗乌苏,cha'han'wu'su
查楞,cha'leng
察吾呼,cha'wu'hu
长城润滑油,chang'cheng'run'hua'you
长杠子,chang'gang'zi
长梁山,chang'liang'shan
长龙山,chang'long'shan
昌茂商行,chang'mao'shang'hang
长蛇山,chang'she'shan
长运加油站,chang'yun'jia'you'zhan
朝阳沟,chao'yang'gou
车尔臣河,che'er'chen'he
辰兴花园,chen'xing'hua'yuan
成都风味小吃,cheng'du'feng'wei'xiao'chi
成功商厦,cheng'gong'shang'sha
成功幼儿园,cheng'gong'you'er'yuan
城夏,cheng'xia
成渝房产,cheng'yu'fang'chan
城镇派出所,cheng'zhen'pai'chu'suo
重庆老火锅,chong'qing'lao'huo'guo
船湖,chuan'hu
创兴,chuang'xing
翠湖名苑,cui'hu'ming'yuan
嵯峨山,cuo'e'shan
大草湖,da'cao'hu
大道南乡,da'dao'nan'xiang
大墩子村,da'dun'zi'cun
大风车幼儿园,da'feng'che'you'er'yuan
大烽火台,da'feng'huo'tai
大富豪娱乐城,da'fu'hao'yu'le'cheng
达芙妮,da'fu'ni
打工超市,da'gong'chao'shi
大河湾,da'he'wan
大黑山,da'hei'shan
打井队,da'jing'dui
大涝坝,da'lao'ba
大涝坝村,da'lao'ba'cun
大力山,da'li'shan
大毛拉,da'mao'la
大明眼镜,da'ming'yan'jing
大漠宾馆,da'mo'bin'guan
大平台,da'ping'tai
大桥西,da'qiao'xi
大沙沟,da'sha'gou
大沙岭,da'sha'ling
大石岩,da'shi'yan
大苏海,da'su'hai
大洼地,da'wa'di
达西,da'xi
达西村,da'xi'cun
大斜坡,da'xie'po
大榆树,da'yu'shu
大园山,da'yuan'shan
大众招待所,da'zhong'zhao'dai'suo
大自然婚纱摄影,da'zi'ran'hun'sha'she'ying
代兰,dai'lan
担布,dan'bu
丹菲诗,dan'fei'shi
淡水泉,dan'shui'quan
道达尔润滑油,dao'da'er'run'hua'you
刀锋山,dao'feng'shan
德代,de'dai
德尔惠,de'er'hui
德丰商厦,de'feng'shang'sha
德福苑,de'fu'yuan
德胜加油站,de'sheng'jia'you'zhan
德顺公司,de'shun'gong'si
德希,de'xi
得意龙,de'yi'long
第二小学,di'er'xiao'xue
第二中学,di'er'zhong'xue
迪汗拉村,di'han'la'cun
地矿招待所,di'kuang'zhao'dai'suo
第五小学,di'wu'xiao'xue
第一小学,di'yi'xiao'xue
地质医院,di'zhi'yi'yuan
淀粉村,dian'fen'cun
电影厅,dian'ying'ting
店子村,dian'zi'cun
貂场,diao'chang
吊滩,diao'tan
丁吉,ding'ji
丁字口,ding'zi'kou
东长沟,dong'chang'gou
东村,dong'cun
东大罕,dong'da'han
东大山,dong'da'shan
东大山口,dong'da'shan'kou
东方红饭店,dong'fang'hong'fan'dian
东方美,dong'fang'mei
东方一号小区,dong'fang'yi'hao'xiao'qu
东风牧场,dong'feng'mu'chang
动感体育,dong'gan'ti'yu
东高山,dong'gao'shan
东海渔村,dong'hai'yu'cun
东海子村,dong'hai'zi'cun
东来顺,dong'lai'shun
东流泉,dong'liu'quan
东鹏洁具,dong'peng'jie'ju
东渠,dong'qu
东山,dong'shan
东升山,dong'sheng'shan
东万,dong'wan
东站市场,dong'zhan'shi'chang
东庄子,dong'zhuang'zi
豆花鱼庄,dou'hua'yu'zhuang
都金,dou'jin
独立山,du'li'shan
段家庄,duan'jia'zhuang
墩阔坦,dun'kuo'tan
墩阔坦乡,dun'kuo'tan'xiang
墩买里,dun'mai'li
墩买里村,dun'mai'li'cun
多坝沟,duo'ba'gou
多什,duo'shen
鄂尔多斯,e'er'duo'si
额勒再特乌鲁乡,e'le'zai'te'wu'lu'xiang
二坝,er'ba
二大队,er'da'dui
二道杠,er'dao'gang
二道沟,er'dao'gou
二号渠,er'hao'qu
二号停车场,er'hao'ting'che'chang
尔克斯,er'ke'si
二连,er'lian
二十七区,er'shi'qi'qu
二支渠,er'zhi'qu
法派服饰,fa'pai'fu'shi
发展大厦,fa'zhan'da'sha
凡得,fan'de
反修,fan'xiu
反修桥,fan'xiu'qiao
沸腾居,fei'teng'ju
沸腾渔乡,fei'teng'yu'xiang
飞月厨具,fei'yue'chu'ju
飞云山,fei'yun'shan
粉酷,fen'ku
风华山,feng'hua'shan
风火山,feng'huo'shan
烽火台,feng'huo'tai
风屏山,feng'ping'shan
丰源宾馆,feng'yuan'bin'guan
富安娜床上用品,fu'an'na'chuang'shang'yong'pin
富贵鸟男装,fu'gui'niao'nan'zhuang
富丽达,fu'li'da
富民加油站,fu'min'jia'you'zhan
伏牛山,fu'niu'shan
福荣花园,fu'rong'hua'yuan
福圣真玉,fu'sheng'zhen'yu
富士特珠宝,fu'shi'te'zhu'bao
福星山庄,fu'xing'shan'zhuang
嘎结,ga'jie
尕杰,ga'jie
尕雄,ga'xiong
干顿,gan'dun
甘顿,gan'dun
干河床,gan'he'chuang
高科电脑培训,gao'ke'dian'nao'pei'xun
高尼奥,gao'ni'ao
高桥收费站,gao'qiao'shou'fei'zhan
高台山,gao'tai'shan
阁兰秀,ge'lan'xiu
根登,gen'deng
根据地酒吧,gen'ju'di'jiu'ba
更盖,geng'gai
拱拜孜,gong'bai'zi
公厕,gong'ce
公惠食府,gong'hui'shi'fu
工交宾馆,gong'jiao'bin'guan
公交幼儿园,gong'jiao'you'er'yuan
巩乃斯,gong'nai'si
巩乃斯林场,gong'nai'si'lin'chang
工三团,gong'san'tuan
供水首站,gong'shui'shou'zhan
工四团,gong'si'tuan
供销宾馆,gong'xiao'bin'guan
供销贸易大厦,gong'xiao'mao'yi'da'sha
古城堡,gu'cheng'bao
古河道,gu'he'dao
古勒巴格乡,gu'le'ba'ge'xiang
古丽巴格,gu'li'ba'ge
孤山,gu'shan
广安公寓,guang'an'gong'yu
广电大厦,guang'dian'da'sha
光明花苑,guang'ming'hua'yuan
龟背山,gui'bei'shan
锅底山,guo'di'shan
果果衣橱,guo'guo'yi'chu
果酒厂,guo'jiu'chang
国酒茅台,guo'jiu'mao'tai
国林宾馆,guo'lin'bin'guan
果品招待所,guo'pin'zhao'dai'suo
哈布里,ha'bu'li
哈尔巴克乡,ha'er'ba'ke'xiang
哈尔东村,ha'er'dong'cun
哈尔莫墩,ha'er'mo'dun
哈尔努尔,ha'er'nu'er
哈尔诺尔,ha'er'nuo'er
哈尔陶勒盖,ha'er'tao'le'gai
哈尔乌苏,ha'er'wu'su
哈尔乌苏村,ha'er'wu'su'cun
哈克苏,ha'ke'su
哈拉齐,ha'la'qi
哈拉玉宫乡,ha'la'yu'gong'xiang
哈龙沟,ha'long'gou
哈满沟,ha'man'gou
哈让古,ha'rang'gu
哈萨克,ha'sa'ke
哈夏图,ha'xia'tu
海尔空调专卖店,hai'er'kong'tiao'zhuan'mai'dian
海螺湖,hai'luo'hu
海如,hai'ru
海外旅行社,hai'wai'lv'xing'she
航天宾馆,hang'tian'bin'guan
豪丰大厦,hao'feng'da'sha
好家乡,hao'jia'xiang
豪门宾馆,hao'men'bin'guan
皓月湖,hao'yue'hu
河坝沿,he'ba'yan
河岔口,he'cha'kou
何家庄,he'jia'zhuang
和静宾馆,he'jing'bin'guan
和静高级中学,he'jing'gao'ji'zhong'xue
和静县,he'jing'xian
和静县人民医院,he'jing'xian'ren'min'yi'yuan
和静站,he'jing'zhan
和静镇,he'jing'zhen
和平大药房,he'ping'da'yao'fang
和什力克,he'shen'li'ke
和什力克乡,he'shen'li'ke'xiang
和硕县,he'shuo'xian
和硕县公安局,he'shuo'xian'gong'an'ju
和硕县教育局,he'shuo'xian'jiao'yu'ju
和硕县人民医院,he'shuo'xian'ren'min'yi'yuan
和硕县中学,he'shuo'xian'zhong'xue
和田玉,he'tian'yu
黑大山,hei'da'shan
黑顶山,hei'ding'shan
黑风口,hei'feng'kou
黑峰山,hei'feng'shan
黑疙瘩,hei'ge'da
黑尖山,hei'jian'shan
黑龙山,hei'long'shan
黑牛沟,hei'niu'gou
黑山,hei'shan
黑山口,hei'shan'kou
黑山梁,hei'shan'liang
黑山岭,hei'shan'ling
黑山头,hei'shan'tou
黑石山,hei'shi'shan
黑石崖,hei'shi'ya
恒友花园,heng'you'hua'yuan
红茶坊,hong'cha'fang
宏大购物中心,hong'da'gou'wu'zhong'xin
宏达加油站,hong'da'jia'you'zhan
宏大加油站,hong'da'jia'you'zhan
鸿丰超市,hong'feng'chao'shi
红光村,hong'guang'cun
红光机械厂,hong'guang'ji'xie'chang
红黄蓝幼儿园,hong'huang'lan'you'er'yuan
红柳沟,hong'liu'gou
红柳井,hong'liu'jing
红旗机器厂,hong'qi'ji'qi'chang
红旗牧场,hong'qi'mu'chang
红旗渠,hong'qi'qu
红旗砖厂,hong'qi'zhuan'chang
红蜻蜓,hong'qing'ting
宏仁堂大药房,hong'ren'tang'da'yao'fang
鸿瑞大酒店,hong'rui'da'jiu'dian
红山,hong'shan
红石口,hong'shi'kou
红石梁,hong'shi'liang
红石山,hong'shi'shan
红太阳快餐,hong'tai'yang'kuai'can
红土堡,hong'tu'bao
红土沟,hong'tu'gou
红土梁,hong'tu'liang
红土岭,hong'tu'ling
红土山,hong'tu'shan
红土洼,hong'tu'wa
红卫,hong'wei
红卫机械厂,hong'wei'ji'xie'chang
红卫庄,hong'wei'zhuang
宏武跆拳道,hong'wu'tai'quan'dao
弘信公司,hong'xin'gong'si
红星宾馆,hong'xing'bin'guan
红星开关厂,hong'xing'kai'guan'chang
红星山,hong'xing'shan
红岩山,hong'yan'shan
鸿雁通讯,hong'yan'tong'xun
鸿运宾馆,hong'yun'bin'guan
鸿运旅社,hong'yun'lv'she
呼尔东,hu'er'dong
胡吉尔特,hu'ji'er'te
户家,hu'jia
胡马汗,hu'ma'han
湖南湘菜馆,hu'nan'xiang'cai'guan
呼热,hu're
湖心村,hu'xin'cun
华北油建,hua'bei'you'jian
划船道,hua'chuan'dao
华都宾馆,hua'du'bin'guan
花海滩,hua'hai'tan
花花公子专卖店,hua'hua'gong'zi'zhuan'mai'dian
华建医院,hua'jian'yi'yuan
华景花园,hua'jing'hua'yuan
华景幼儿园,hua'jing'you'er'yuan
华联公寓,hua'lian'gong'yu
华凌公寓,hua'ling'gong'yu
华凌贸易城,hua'ling'mao'yi'cheng
华山宾馆,hua'shan'bin'guan
华山龙湖苑,hua'shan'long'hu'yuan
华山医院,hua'shan'yi'yuan
华庭宾馆,hua'ting'bin'guan
华鑫宾馆,hua'xin'bin'guan
华誉商务大厦,hua'yu'shang'wu'da'sha
花园饭店,hua'yuan'fan'dian
华洲酒店,hua'zhou'jiu'dian
欢乐餐厅,huan'le'can'ting
环通客运站,huan'tong'ke'yun'zhan
黄草沟,huang'cao'gou
黄草湖,huang'cao'hu
荒草滩,huang'cao'tan
黄草滩,huang'cao'tan
黄家庄子,huang'jia'zhuang'zi
黄梁山,huang'liang'shan
黄龙沟,huang'long'gou
黄龙山,huang'long'shan
黄庙,huang'miao
黄畔,huang'pan
黄沙湾,huang'sha'wan
黄山,huang'shan
黄山口,huang'shan'kou
黄山头,huang'shan'tou
黄水,huang'shui
黄水沟,huang'shui'gou
黄水渠,huang'shui'qu
黄水湾,huang'shui'wan
黄土泉,huang'tu'quan
黄土山,huang'tu'shan
黄羊沟,huang'yang'gou
惠达卫浴,hui'da'wei'yu
汇嘉超市,hui'jia'chao'shi
汇嘉时代,hui'jia'shi'dai
惠民药店,hui'min'yao'dian
慧眼电脑城,hui'yan'dian'nao'cheng
汇源春,hui'yuan'chun
惠园酒家,hui'yuan'jiu'jia
火车站派出所,huo'che'zhan'pai'chu'suo
霍尔加,huo'er'jia
霍拉山,huo'la'shan
货运营业厅,huo'yun'ying'ye'ting
鸡场,ji'chang
吉尔达皮鞋,ji'er'da'pi'xie
吉格代力克,ji'ge'dai'li'ke
基建队,ji'jian'dui
基建连,ji'jian'lian
济康大药房,ji'kang'da'yao'fang
吉勒尕,ji'le'ga
机密大盘鸡,ji'mi'da'pan'ji
济仁堂,ji'ren'tang
济仁堂药店,ji'ren'tang'yao'dian
加尔塔斯,jia'er'ta'si
加尔特,jia'er'te
加干,jia'gan
加格尔,jia'ge'er
加工厂,jia'gong'chang
加工连,jia'gong'lian
家家福超市,jia'jia'fu'chao'shi
佳美小区,jia'mei'xiao'qu
加气站,jia'qi'zhan
佳鑫花园,jia'xin'hua'yuan
加依,jia'yi
加油加气站,jia'you'jia'qi'zhan
加油站,jia'you'zhan
加州旅馆,jia'zhou'lv'guan
剪刀手,jian'dao'shou
建国医院,jian'guo'yi'yuan
建行开发区支行,jian'hang'kai'fa'qu'zhi'hang
尖咀山,jian'ju'shan
尖山,jian'shan
尖山顶,jian'shan'ding
尖山子,jian'shan'zi
建设宾馆,jian'she'bin'guan
建设大厦,jian'she'da'sha
建设路派出所,jian'she'lu'pai'chu'suo
尖石山,jian'shi'shan
建筑书店,jian'zhu'shu'dian
江嘎,jiang'ga
江南旅馆,jiang'nan'lv'guan
匠人组合,jiang'ren'zu'he
交通宾馆,jiao'tong'bin'guan
交通旅社,jiao'tong'lv'she
教育书店,jiao'yu'shu'dian
教园宾馆,jiao'yuan'bin'guan
解放渠,jie'fang'qu
接官亭,jie'guan'ting
杰豪,jie'hao
杰利公司,jie'li'gong'si
姐妹发艺,jie'mei'fa'yi
结然力克,jie'ran'li'ke
劲霸男装,jin'ba'nan'zhuang
金贝贝幼儿园,jin'bei'bei'you'er'yuan
金城加油站,jin'cheng'jia'you'zhan
金地花园,jin'di'hua'yuan
金顶山,jin'ding'shan
金都广场,jin'du'guang'chang
金丰大酒店,jin'feng'da'jiu'dian
金夫人婚纱摄影,jin'fu'ren'hun'sha'she'ying
金疙瘩,jin'ge'da
金冠小区,jin'guan'xiao'qu
金景园,jin'jing'yuan
金孔雀市场,jin'kong'que'shi'chang
金坤风采苑,jin'kun'feng'cai'yuan
金莱克,jin'lai'ke
金丽宾馆,jin'li'bin'guan
金陵山,jin'ling'shan
金龙加油站,jin'long'jia'you'zhan
金龙山,jin'long'shan
金鹿村,jin'lu'cun
金鹭花园,jin'lu'hua'yuan
金马宾馆,jin'ma'bin'guan
金茂宾馆,jin'mao'bin'guan
金梦花园,jin'meng'hua'yuan
金拇指幼儿园,jin'mu'zhi'you'er'yuan
金桥加油站,jin'qiao'jia'you'zhan
金瑞宾馆,jin'rui'bin'guan
金三角宾馆,jin'san'jiao'bin'guan
金三角商贸城,jin'san'jiao'shang'mao'cheng
金色时代广场,jin'se'shi'dai'guang'chang
金色童年摄影,jin'se'tong'nian'she'ying
金沙沟,jin'sha'gou
金沙滩,jin'sha'tan
金水河,jin'shui'he
金太阳幼儿园,jin'tai'yang'you'er'yuan
金湘府,jin'xiang'fu
金星大酒店,jin'xing'da'jiu'dian
锦秀华庭,jin'xiu'hua'ting
金叶大酒店,jin'ye'da'jiu'dian
金元宾馆,jin'yuan'bin'guan
金元酒店,jin'yuan'jiu'dian
金源商行,jin'yuan'shang'hang
金竹山,jin'zhu'shan
经典名品,jing'dian'ming'pin
经济牧场,jing'ji'mu'chang
景江苑,jing'jiang'yuan
菁菁幼儿园,jing'jing'you'er'yuan
鲸鱼湖,jing'yu'hu
九大队,jiu'da'dui
九号渠村,jiu'hao'qu'cun
久景,jiu'jing
九九棉业,jiu'jiu'mian'ye
九连,jiu'lian
九牧,jiu'mu
九腾香,jiu'teng'xiang
九洲建设集团,jiu'zhou'jian'she'ji'tuan
玖姿,jiu'zi
居冬,ju'dong
聚福楼,ju'fu'lou
居户,ju'hu
菊花山,ju'hua'shan
聚贤宾馆,ju'xian'bin'guan
君健大药房,jun'jian'da'yao'fang
军民招待所,jun'min'zhao'dai'suo
喀尔墩,ka'er'dun
喀尔曲尕乡,ka'er'qu'ga'xiang
喀拉巴格,ka'la'ba'ge
喀拉布拉克,ka'la'bu'la'ke
喀拉墩,ka'la'dun
喀拉墩村,ka'la'dun'cun
喀拉喀什,ka'la'ka'shi
喀拉库勒,ka'la'ku'le
喀拉库木,ka'la'ku'mu
喀拉萨依,ka'la'sa'yi
卡拉山,ka'la'shan
喀拉苏,ka'la'su
喀拉苏村,ka'la'su'cun
喀拉塔格,ka'la'ta'ge
卡拉小区,ka'la'xiao'qu
喀拉亚,ka'la'ya
喀拉亚尕奇,ka'la'ya'ga'qi
卡勒尔,ka'le'er
卡洛琳,ka'luo'lin
喀什噶尔,ka'shi'ga'er
喀瓦斯,ka'wa'si
凯德酒店,kai'de'jiu'dian
开都河,kai'dou'he
凯凯商店,kai'kai'shang'dian
开来村,kai'lai'cun
开热木,kai're'mu
凯撒,kai'sa
开阳,kai'yang
开元大酒店,kai'yuan'da'jiu'dian
坎普尔,kan'pu'er
康宝大药房,kang'bao'da'yao'fang
康博花园,kang'bo'hua'yuan
康都世纪花园,kang'dou'shi'ji'hua'yuan
康辉国旅,kang'hui'guo'lv
康乐花园,kang'le'hua'yuan
康丽花园,kang'li'hua'yuan
康奈,kang'nai
康奈皮鞋,kang'nai'pi'xie
康宁大药房,kang'ning'da'yao'fang
康泰药品超市,kang'tai'yao'pin'chao'shi
康威体育,kang'wei'ti'yu
科代,ke'dai
克尔古提乡,ke'er'gu'ti'xiang
克尔克,ke'er'ke
科克铁克达坂,ke'ke'tie'ke'da'ban
可可西里山,ke'ke'xi'li'shan
科克亚,ke'ke'ya
克勒克,ke'le'ke
克丽缇娜,ke'li'ti'na
克派克,ke'pai'ke
克其克,ke'qi'ke
克然木,ke'ran'mu
克再,ke'zai
克再村,ke'zai'cun
克孜勒村,ke'zi'le'cun
克孜勒萨依,ke'zi'le'sa'yi
克孜勒苏,ke'zi'le'su
克孜勒塔格,ke'zi'le'ta'ge
克孜勒塔斯,ke'zi'le'ta'si
孔畔村,kong'pan'cun
空瓶子酒吧,kong'ping'zi'jiu'ba
孔雀大厦,kong'que'da'sha
孔雀公园,kong'que'gong'yuan
孔雀河,kong'que'he
孔雀河大桥,kong'que'he'da'qiao
孔雀河畔花园,kong'que'he'pan'hua'yuan
孔雀市场,kong'que'shi'chang
孔雀食品厂,kong'que'shi'pin'chang
孔雀中学,kong'que'zhong'xue
空台,kong'tai
孔湾村,kong'wan'cun
口子山,kou'zi'shan
库都克,ku'dou'ke
库都克村,ku'dou'ke'cun
库尔楚园艺场,ku'er'chu'yuan'yi'chang
库尔干,ku'er'gan
库尔贵,ku'er'gui
库尔勒采石场,ku'er'le'cai'shi'chang
库尔勒东站,ku'er'le'dong'zhan
库尔勒机场,ku'er'le'ji'chang
库尔勒市,ku'er'le'shi
库尔勒市财政局,ku'er'le'shi'cai'zheng'ju
库尔勒市法院,ku'er'le'shi'fa'yuan
库尔勒市公安局,ku'er'le'shi'gong'an'ju
库尔勒市工商局,ku'er'le'shi'gong'shang'ju
库尔勒市规划局,ku'er'le'shi'gui'hua'ju
库尔勒市政府,ku'er'le'shi'zheng'fu
库尔勒晚报,ku'er'le'wan'bao
库勒,ku'le
库勒村,ku'le'cun
库鲁克山,ku'lu'ke'shan
库鲁克塔格,ku'lu'ke'ta'ge
库木,ku'mu
库木墩,ku'mu'dun
库木库都克,ku'mu'ku'dou'ke
库木库勒,ku'mu'ku'le
库木勒,ku'mu'le
库木买里,ku'mu'mai'li
库木塔,ku'mu'ta
库木塔格沙漠,ku'mu'ta'ge'sha'mo
库群,ku'qun
库热,ku're
苦水河,ku'shui'he
库塔干渠,ku'ta'gan'qu
库万库勒村,ku'wan'ku'le'cun
宽沟,kuan'gou
昆仑山脉,kun'lun'shan'mai
昆其村,kun'qi'cun
昆台,kun'tai
阔纳巴扎,kuo'na'ba'zha
