阿洪病,a'hong'bing
巴宾斯基反射,ba'bin'si'ji'fan'she
巴旦杏仁,ba'dan'xing'ren
靶点,ba'dian
巴东岩白菜,ba'dong'yan'bai'cai
巴豆壳,ba'dou'ke
巴豆树根,ba'dou'shu'gen
巴豆霜,ba'dou'shuang
巴豆箱,ba'dou'xiang
巴豆叶,ba'dou'ye
巴豆油,ba'dou'you
拔毒草,ba'du'cao
拔毒膏,ba'du'gao
拔都化腐生肌药,ba'du'hua'fu'sheng'ji'yao
拔毒散,ba'du'san
八段锦,ba'duan'jin
巴尔比亚尼环,ba'er'bi'ya'ni'huan
巴尔比亚尼染色体,ba'er'bi'ya'ni'ran'se'ti
巴尔得,ba'er'de
巴尔通体病,ba'er'tong'ti'bing
八风,ba'feng
八纲,ba'gang
八纲辨证,ba'gang'bian'zheng
八股绳,ba'gu'sheng
拔管,ba'guan
八会穴,ba'hui'xue
巴戟肉,ba'ji'rou
巴戟天,ba'ji'tian
八角枫,ba'jiao'feng
八角枫根,ba'jiao'feng'gen
八角枫花,ba'jiao'feng'hua
八角枫叶,ba'jiao'feng'ye
八角茴香,ba'jiao'hui'xiang
八角茴香油,ba'jiao'hui'xiang'you
八角金盘,ba'jiao'jin'pan
八角莲,ba'jiao'lian
八角莲叶,ba'jiao'lian'ye
八角乌,ba'jiao'wu
八角香,ba'jiao'xiang
八节毛,ba'jie'mao
巴兰斯征,ba'lan'si'zheng
巴雷特食管,ba'lei'te'shi'guan
八楞麻,ba'leng'ma
八楞木,ba'leng'mu
八厘麻,ba'li'ma
巴黎学派,ba'li'xue'pai
巴洛综合征,ba'luo'zong'he'zheng
巴茅根,ba'mao'gen
拔毛狂,ba'mao'kuang
拔毛试验,ba'mao'shi'yan
八目鳗,ba'mu'man
菝契,ba'qi
菝葜,ba'qia
菝葜叶,ba'qia'ye
巴氏胎儿水肿综合征,ba'shi'tai'er'shui'zhong'zong'he'zheng
巴氏小体,ba'shi'xiao'ti
巴斯刷牙法,ba'si'shua'ya'fa
拔髓针,ba'sui'zhen
巴特尔征,ba'te'er'zheng
霸王鞭,ba'wang'bian
霸王根,ba'wang'gen
霸王七,ba'wang'qi
八味地黄丸,ba'wei'di'huang'wan
靶细胞,ba'xi'bao
巴西副球孢子菌,ba'xi'fu'qiu'bao'zi'jun
巴西尼疝修补术,ba'xi'ni'shan'xiu'bu'shu
巴西诺卡菌,ba'xi'nuo'ka'jun
巴西天疱疮,ba'xi'tian'pao'chuang
八仙草,ba'xian'cao
八仙长寿丸,ba'xian'chang'shou'wan
八仙过海,ba'xian'guo'hai
八仙花,ba'xian'hua
八邪,ba'xie
拔牙后并发症,ba'ya'hou'bing'fa'zheng
拔牙钳,ba'ya'qian
拔牙学,ba'ya'xue
鲃鱼,ba'yu
八月瓜,ba'yue'gua
八月札,ba'yue'zha
八月炸,ba'yue'zha
巴掌草,ba'zhang'cao
八爪金龙,ba'zhao'jin'long
八珍颗粒,ba'zhen'ke'li
八珍汤,ba'zhen'tang
八珍益母丸,ba'zhen'yi'mu'wan
八正木通与车前,ba'zheng'mu'tong'yu'che'qian
八正散,ba'zheng'san
靶组织反应,ba'zu'zhi'fan'ying
白八角莲,bai'ba'jiao'lian
白板说,bai'ban'shuo
白贝,bai'bei
白贝齿,bai'bei'chi
白背青荚叶,bai'bei'qing'jia'ye
白背三七,bai'bei'san'qi
白背小报春,bai'bei'xiao'bao'chun
白背叶,bai'bei'ye
白背叶根,bai'bei'ye'gen
白萆薢,bai'bi'xie
白扁豆,bai'bian'dou
白驳风病,bai'bo'feng'bing
百部,bai'bu
百部还魂,bai'bu'huan'hun
百步还阳丹,bai'bu'huan'yang'dan
白补药,bai'bu'yao
白参,bai'can
白草,bai'cao
白草莓,bai'cao'mei
百草霜,bai'cao'shuang
白侧耳,bai'ce'er
白常山,bai'chang'shan
百齿卫矛,bai'chi'wei'mao
百虫窝,bai'chong'wo
白丑,bai'chou
白刺花,bai'ci'hua
白刺花叶,bai'ci'hua'ye
白带草,bai'dai'cao
白蝶花,bai'die'hua
摆动负重相,bai'dong'fu'zhong'xiang
摆动假说,bai'dong'jia'shuo
白豆蔻,bai'dou'kou
白肚,bai'du
败毒草,bai'du'cao
白独活,bai'du'huo
败毒散,bai'du'san
白对节子叶,bai'dui'jie'zi'ye
白垩,bai'e
白鹅膏,bai'e'gao
白垩铁线蕨,bai'e'tie'xian'jue
白矾,bai'fan
白饭树根,bai'fan'shu'gen
白痱,bai'fei
百分等级,bai'fen'deng'ji
白粉蝶,bai'fen'die
白腹锦鸡,bai'fu'jin'ji
白茯苓,bai'fu'ling
白附片,bai'fu'pian
白附子,bai'fu'zi
柏根白皮,bai'gen'bai'pi
稗根苗,bai'gen'miao
白骨走马,bai'gu'zou'ma
白桂,bai'gui
白鬼笔,bai'gui'bi
白桂木根,bai'gui'mu'gen
白果根,bai'guo'gen
白果槲寄生,bai'guo'hu'ji'sheng
白果仁,bai'guo'ren
白果叶,bai'guo'ye
白蒿,bai'hao
白蒿花,bai'hao'hua
百合病,bai'he'bing
白河车,bai'he'che
百合固金二地黄,bai'he'gu'jin'er'di'huang
百合固金汤,bai'he'gu'jin'tang
百合花,bai'he'hua
白鹤菌,bai'he'jun
白鹤灵芝,bai'he'ling'zhi
白何首乌,bai'he'shou'wu
白鹤藤根,bai'he'teng'gen
百合子,bai'he'zi
白喉,bai'hou
白虎承气汤,bai'hu'cheng'qi'tang
白虎膏知甘草粳,bai'hu'gao'zhi'gan'cao'jing
白虎加仓术汤,bai'hu'jia'cang'zhu'tang
白虎加桂枝汤,bai'hu'jia'gui'zhi'tang
白虎加人参汤,bai'hu'jia'ren'shen'tang
白胡椒,bai'hu'jiao
白虎汤,bai'hu'tang
白滑,bai'hua
白化病,bai'hua'bing
白花菜,bai'hua'cai
白花菜子,bai'hua'cai'zi
白花草,bai'hua'cao
白花穿心莲,bai'hua'chuan'xin'lian
白花丹,bai'hua'dan
白花丁香,bai'hua'ding'xiang
白花鹅掌柴,bai'hua'e'zhang'chai
白花鬼针草,bai'hua'gui'zhen'cao
白花坚荚树,bai'hua'jian'jia'shu
百花锦蛇,bai'hua'jin'she
白花九里明,bai'hua'jiu'li'ming
白花蛇,bai'hua'she
白花射干,bai'hua'she'gan
白花蛇目睛,bai'hua'she'mu'jing
白花蛇舌草,bai'hua'she'she'cao
白花蛇头,bai'hua'she'tou
白花藤,bai'hua'teng
白花甜蜜蜜,bai'hua'tian'mi'mi
白花苋,bai'hua'xian
白花映山红,bai'hua'ying'shan'hong
白花猪母菜,bai'hua'zhu'mu'cai
白环俞,bai'huan'yu
白环俞穴,bai'huan'yu'xue
百会,bai'hui
百会穴,bai'hui'xue
败火草,bai'huo'cao
白芨,bai'ji
白及,bai'ji
白及粉,bai'ji'fen
白蒺藜,bai'ji'li
白鸡屎藤,bai'ji'shi'teng
白暨豚,bai'ji'tun
白鸡肫,bai'ji'zhun
败酱,bai'jiang
白降,bai'jiang
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白降丹,bai'jiang'dan
白胶木,bai'jiao'mu
白胶香,bai'jiao'xiang
白芥,bai'jie
白接骨,bai'jie'gu
百解马兜铃,bai'jie'ma'dou'ling
百解藤,bai'jie'teng
白芥子,bai'jie'zi
白金果榄,bai'jin'guo'lan
白睛,bai'jing
白睛青蓝病,bai'jing'qing'lan'bing
白睛溢血病,bai'jing'yi'xue'bing
白酒草,bai'jiu'cao
白九股牛,bai'jiu'gu'niu
白苣,bai'ju
白菊花,bai'ju'hua
白克马叶,bai'ke'ma'ye
白蔻,bai'kou
白蔻仁,bai'kou'ren
白辣蓼,bai'la'liao
白蓝翠雀花,bai'lan'cui'que'hua
白兰花,bai'lan'hua
白兰花叶,bai'lan'hua'ye
白郎花,bai'lang'hua
白榔皮,bai'lang'pi
百劳,bai'lao
百乐眠胶囊,bai'le'mian'jiao'nang
白簕枝叶,bai'le'zhi'ye
白雷丸,bai'lei'wan
白冷草,bai'leng'cao
白栎蔀,bai'li'bu
百里霜,bai'li'shuang
白蔹,bai'lian
白敛,bai'lian
白蔹子,bai'lian'zi
百两金,bai'liang'jin
白粱米,bai'liang'mi
白淋草,bai'lin'cao
百灵草,bai'ling'cao
白蛉叮咬,bai'ling'ding'yao
百令胶囊,bai'ling'jiao'nang
白铃子,bai'ling'zi
白柳,bai'liu
白龙穿彩,bai'long'chuan'cai
白螺蛳壳,bai'luo'si'ke
白绿叶,bai'lv'ye
白绿叶果实,bai'lv'ye'guo'shi
白马骨,bai'ma'gu
白马鬃铃花,bai'ma'zong'ling'hua
百脉根,bai'mai'gen
白茅根,bai'mao'gen
白茅花,bai'mao'hua
白毛舌,bai'mao'she
白毛蛇,bai'mao'she
白毛藤,bai'mao'teng
白毛藤根,bai'mao'teng'gen
白毛委陵菜,bai'mao'wei'ling'cai
白茅针,bai'mao'zhen
白梅,bai'mei
白梅花,bai'mei'hua
白蜜,bai'mi
稗米,bai'mi
白膜侵睛病,bai'mo'qin'jing'bing
白木,bai'mu
白木耳,bai'mu'er
白楠木,bai'nan'mu
白腻,bai'ni
白尼参,bai'ni'can
白念珠菌,bai'nian'zhu'jun
白牛胆,bai'niu'dan
白牛胆根,bai'niu'dan'gen
白牛尾七,bai'niu'wei'qi
白牛膝,bai'niu'xi
白皮,bai'pi
白皮柯,bai'pi'ke
白平子,bai'ping'zi
白婆婆纳,bai'po'po'na
白前,bai'qian
白千层皮,bai'qian'ceng'pi
白千层叶,bai'qian'ceng'ye
白千层油,bai'qian'ceng'you
白前甘草共为末,bai'qian'gan'cao'gong'wei'mo
白枪杆,bai'qiang'gan
白枪杆根,bai'qiang'gan'gen
白茄根,bai'qie'gen
白求,bai'qiu
白屈菜,bai'qu'cai
白屈菜根,bai'qu'cai'gen
百日草,bai'ri'cao
百日咳,bai'ri'ke
白乳菇,bai'ru'gu
百蕊草,bai'rui'cao
百蕊草根,bai'rui'cao'gen
白塞综合征,bai'sai'zong'he'zheng
白散,bai'san
白涩病,bai'se'bing
白色海绵状斑痣,bai'se'hai'mian'zhuang'ban'zhi
白色糠疹,bai'se'kang'zhen
白色毛结节菌病,bai'se'mao'jie'jie'jun'bing
白色皮片,bai'se'pi'pian
白色皮片排斥,bai'se'pi'pian'pai'chi
白色皮片缺血,bai'se'pi'pian'que'xue
白色水肿,bai'se'shui'zhong
白色体,bai'se'ti
白色萎缩,bai'se'wei'suo
白色血栓,bai'se'xue'shuan
白沙虫药,bai'sha'chong'yao
白沙蒿,bai'sha'hao
白沙糖,bai'sha'tang
白山蓼,bai'shan'liao
白山苔,bai'shan'tai
白商陆,bai'shang'lu
白芍,bai'shao
白芍麸炒,bai'shao'fu'chao
白芍生,bai'shao'sheng
百舌鸟,bai'she'niao
白升麻,bai'sheng'ma
白石花,bai'shi'hua
白石榴根,bai'shi'liu'gen
白石榴花,bai'shi'liu'hua
白石英,bai'shi'ying
白石脂,bai'shi'zhi
白首乌,bai'shou'wu
柏树根,bai'shu'gen
柏树果,bai'shu'guo
白薯莨,bai'shu'lang
柏树叶,bai'shu'ye
柏树油,bai'shu'you
白松塔,bai'song'ta
白苏,bai'su
白苏梗,bai'su'geng
白苏叶,bai'su'ye
白苏子,bai'su'zi
白苏子油,bai'su'zi'you
白苔,bai'tai
白檀,bai'tan
白藤,bai'teng
白通汤,bai'tong'tang
白透骨消,bai'tou'gu'xiao
白头翁,bai'tou'weng
白头翁花,bai'tou'weng'hua
白头翁加甘草阿胶汤,bai'tou'weng'jia'gan'cao'e'jiao'tang
白头翁茎叶,bai'tou'weng'jing'ye
白头翁汤,bai'tou'weng'tang
白头翁汤治热痢,bai'tou'weng'tang'zhi're'li
白头须,bai'tou'xu
白秃疮病,bai'tu'chuang'bing
白土茯苓,bai'tu'fu'ling
白兔根,bai'tu'gen
白土苓,bai'tu'ling
白薇,bai'wei
白微,bai'wei
百味参,bai'wei'can
白细胞隔离,bai'xi'bao'ge'li
白细胞功能相关抗原,bai'xi'bao'gong'neng'xiang'guan'kang'yuan
白细胞共同抗原,bai'xi'bao'gong'tong'kang'yuan
白细胞介素,bai'xi'bao'jie'su
白细胞聚集体,bai'xi'bao'ju'ji'ti
白细胞抗原,bai'xi'bao'kang'yuan
白细胞抗原配型,bai'xi'bao'kang'yuan'pei'xing
白细胞抗原相同同胞,bai'xi'bao'kang'yuan'xiang'tong'tong'bao
白细胞粘着反应,bai'xi'bao'nian'zhe'fan'ying
白细胞凝集素,bai'xi'bao'ning'ji'su
白细胞三烯,bai'xi'bao'san'xi
白细胞调节素,bai'xi'bao'tiao'jie'su
白细胞移动抑制因子,bai'xi'bao'yi'dong'yi'zhi'yin'zi
白细胞抑制因子,bai'xi'bao'yi'zhi'yin'zi
白苋,bai'xian
白鹇,bai'xian
白仙茅,bai'xian'mao
白鲜皮,bai'xian'pi
白线疝,bai'xian'shan
白线蛇,bai'xian'she
白线薯,bai'xian'shu
百芯草,bai'xin'cao
白癣,bai'xuan
败血冲心证,bai'xue'chong'xin'zheng
败血入胞证,bai'xue'ru'bao'zheng
败血症,bai'xue'zheng
白鸭肉,bai'ya'rou
百眼藤,bai'yan'teng
白杨树根皮,bai'yang'shu'gen'pi
白杨树皮,bai'yang'shu'pi
白杨叶,bai'yang'ye
白杨枝,bai'yang'zhi
白药,bai'yao
百药煎,bai'yao'jian
白药子,bai'yao'zi
白叶不翻,bai'ye'bu'fan
白叶火草,bai'ye'huo'cao
柏叶汤,bai'ye'tang
白叶藤,bai'ye'teng
白英,bai'ying
白颖苔草,bai'ying'tai'cao
白鱼,bai'yu
败育卵,bai'yu'luan
白鱼尾,bai'yu'wei
白鱼尾果,bai'yu'wei'guo
白云瓜,bai'yun'gua
白云瓜梗,bai'yun'gua'geng
白云瓜花,bai'yun'gua'hua
白云瓜皮,bai'yun'gua'pi
白云瓜叶,bai'yun'gua'ye
白云花根,bai'yun'hua'gen
柏脂,bai'zhi
白芷,bai'zhi
白质,bai'zhi
柏枝节,bai'zhi'jie
白芷叶,bai'zhi'ye
白术,bai'zhu
白猪鼻孔,bai'zhu'bi'kong
白术冬术,bai'zhu'dong'shu
白猪栗,bai'zhu'li
白猪栗根,bai'zhu'li'gen
白猪母菜,bai'zhu'mu'cai
白术散,bai'zhu'san
白朱砂莲,bai'zhu'sha'lian
白术芍药散,bai'zhu'shao'yao'san
白珠树,bai'zhu'shu
柏子仁,bai'zi'ren
柏子养心汤,bai'zi'yang'xin'tang
柏子养心丸,bai'zi'yang'xin'wan
百足藤,bai'zu'teng
斑鳌,ban'ao
半保留复制,ban'bao'liu'fu'zhi
半暴露疗法,ban'bao'lu'liao'fa
半闭式装置,ban'bi'shi'zhuang'zhi
半鼻再造术,ban'bi'zai'zao'shu
半边菜,ban'bian'cai
半边风,ban'bian'feng
半边莲,ban'bian'lian
半边藕,ban'bian'ou
半边旗,ban'bian'qi
半边钱,ban'bian'qian
半边山,ban'bian'shan
半边苏,ban'bian'su
半表半里,ban'biao'ban'li
斑驳病,ban'bo'bing
半不育,ban'bu'yu
斑楮头红,ban'chu'tou'hong
半春莲,ban'chun'lian
伴刀豆凝集素,ban'dao'dou'ning'ji'su
伴刀豆球蛋白,ban'dao'dou'qiu'dan'bai
半导体激光疗法,ban'dao'ti'ji'guang'liao'fa
斑点虎耳草,ban'dian'hu'er'cao
斑点杂交,ban'dian'za'jiao
半枫荷,ban'feng'he
半枫荷根,ban'feng'he'gen
半枫荷叶,ban'feng'he'ye
半固定桥,ban'gu'ding'qiao
半固定桥连接体,ban'gu'ding'qiao'lian'jie'ti
半关节成形术,ban'guan'jie'cheng'xing'shu
半规管,ban'gui'guan
半合子,ban'he'zi
瘢痕,ban'hen
瘢痕癌,ban'hen'ai
瘢痕疙瘩,ban'hen'ge'da
瘢痕疙瘩性痤疮,ban'hen'ge'da'xing'cuo'chuang
瘢痕疙瘩性芽生菌病,ban'hen'ge'da'xing'ya'sheng'jun'bing
瘢痕挛缩,ban'hen'luan'suo
瘢痕切除术,ban'hen'qie'chu'shu
瘢痕上皮,ban'hen'shang'pi
瘢痕松解植皮术,ban'hen'song'jie'zhi'pi'shu
瘢痕体质,ban'hen'ti'zhi
瘢痕形成,ban'hen'xing'cheng
瘢痕性睑外翻,ban'hen'xing'jian'wai'fan
瘢痕性脱发,ban'hen'xing'tuo'fa
瘢痕组织,ban'hen'zu'zhi
瘢痕组织填充法,ban'hen'zu'zhi'tian'chong'fa
斑花杓兰,ban'hua'biao'lan
斑黄阳毒皆可治,ban'huang'yang'du'jie'ke'zhi
扳机指,ban'ji'zhi
半解剖式牙,ban'jie'pou'shi'ya
半截叶,ban'jie'ye
半精密支托,ban'jing'mi'zhi'tuo
斑鸠,ban'jiu
斑鸠菊,ban'jiu'ju
斑鸠木,ban'jiu'mu
斑鸠占,ban'jiu'zhan
斑鸠占叶,ban'jiu'zhan'ye
半开放装置,ban'kai'fang'zhuang'zhi
半抗原,ban'kang'yuan
半抗原抗体凝聚物,ban'kang'yuan'kang'ti'ning'ju'wu
半抗原抑制试验,ban'kang'yuan'yi'zhi'shi'yan
半抗原载体复合物,ban'kang'yuan'zai'ti'fu'he'wu
坂口反应,ban'kou'fan'ying
斑块,ban'kuai
斑块状副银屑病,ban'kuai'zhuang'fu'yin'xie'bing
半拉子,ban'la'zi
板蓝根,ban'lan'gen
板兰根,ban'lan'gen
板兰根颗粒,ban'lan'gen'ke'li
板栗,ban'li
板栗壳,ban'li'ke
斑马状色素沉着,ban'ma'zhuang'se'su'chen'zhuo
半埋入横褥式缝合,ban'mai'ru'heng'ru'shi'feng'he
斑茅,ban'mao
斑蝥,ban'mao
斑蟊,ban'mao
斑茅花,ban'mao'hua
斑蝥皮炎,ban'mao'pi'yan
瓣膜变形,ban'mo'bian'xing
瓣膜成形术,ban'mo'cheng'xing'shu
瓣膜破裂,ban'mo'po'lie
瓣膜切开术,ban'mo'qie'kai'shu
瓣膜置换术,ban'mo'zhi'huan'shu
半脾移植,ban'pi'yi'zhi
半桥粒,ban'qiao'li
半切牙术,ban'qie'ya'shu
半球形乳房,ban'qiu'xing'ru'fang
半乳糖血症,ban'ru'tang'xue'zheng
瓣蕊唐松草,ban'rui'tang'song'cao
斑色胎儿,ban'se'tai'er
伴蛇莲,ban'she'lian
半舌切除术,ban'she'qie'chu'shu
斑氏环路,ban'shi'huan'lu
半数致死面积,ban'shu'zhi'si'mian'ji
半蒴苣苔,ban'shuo'ju'tai
伴随免疫,ban'sui'mian'yi
伴随性负电位变化,ban'sui'xing'fu'dian'wei'bian'hua
半天雷,ban'tian'lei
斑贴试验,ban'tie'shi'yan
半同胞,ban'tong'bao
半脱拉,ban'tuo'la
半脱位,ban'tuo'wei
半夏,ban'xia
半夏白木天麻汤,ban'xia'bai'mu'tian'ma'tang
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏参草大枣姜,ban'xia'can'cao'da'zao'jiang
半夏厚朴汤,ban'xia'hou'po'tang
半夏厚朴痰气疏,ban'xia'hou'pu'tan'qi'shu
半夏曲,ban'xia'qu
半夏人参甘草从,ban'xia'ren'shen'gan'cao'cong
半夏人参橘茯苓,ban'xia'ren'shen'ju'fu'ling
半夏糖浆,ban'xia'tang'jiang
半夏泻心黄连芩,ban'xia'xie'xin'huang'lian'qin
半夏泻心汤,ban'xia'xie'xin'tang
瓣修复术,ban'xiu'fu'shu
斑叶堇菜,ban'ye'jin'cai
斑叶兰,ban'ye'lan
斑釉牙,ban'you'ya
半圆盖阴石蕨,ban'yuan'gai'yin'shi'jue
半月板切除术,ban'yue'ban'qie'chu'shu
半月线疝,ban'yue'xian'shan
斑蛰,ban'zhe
斑疹,ban'zhen
斑疹伤寒,ban'zhen'shang'han
斑疹伤寒小结,ban'zhen'shang'han'xiao'jie
斑痣,ban'zhi
半肢畸形,ban'zhi'ji'xing
半支莲,ban'zhi'lian
半枝莲,ban'zhi'lian
斑痣性错构瘤病,ban'zhi'xing'cuo'gou'liu'bing
瓣中瓣人工瓣植入术,ban'zhong'ban'ren'gong'ban'zhi'ru'shu
瓣周漏,ban'zhou'lou
斑竹根,ban'zhu'gen
半柱花,ban'zhu'hua
斑竹壳,ban'zhu'ke
斑状萎缩,ban'zhuang'wei'suo
斑状硬斑病,ban'zhuang'ying'ban'bing
半椎体,ban'zhui'ti
棒棒草,bang'bang'cao
棒棒木,bang'bang'mu
蚌粉,bang'fen
榜嘎,bang'ga
蚌花,bang'hua
蚌壳草根,bang'ke'cao'gen
蚌兰花,bang'lan'hua
蚌兰叶,bang'lan'ye
蚌泪,bang'lei
蚌肉,bang'rou
邦威尔三角,bang'wei'er'san'jiao
胞壁酰二肽,bao'bi'xian'er'tai
薄层培养,bao'ceng'pei'yang
保产无忧散,bao'chan'wu'you'san
保持曲线,bao'chi'qu'xian
保持性复述,bao'chi'xing'fu'shu
暴喘病,bao'chuan'bing
报春花,bao'chun'hua
保存液,bao'cun'ye
报道基因,bao'dao'ji'yin
鲍恩病,bao'en'bing
鲍恩样丘疹病,bao'en'yang'qiu'zhen'bing
暴发性生殖器坏疽,bao'fa'xing'sheng'zhi'qi'huai'ju
暴发性紫癜,bao'fa'xing'zi'dian
饱饭花枝叶,bao'fan'hua'zhi'ye
保肺清心治暑淫,bao'fei'qing'xin'zhi'shu'yin
孢粉素,bao'fen'su
暴风客热病,bao'feng'ke're'bing
保妇康栓,bao'fu'kang'shuan
包袱七,bao'fu'qi
抱负水平,bao'fu'shui'ping
宝盖草,bao'gai'cao
胞肛,bao'gang
胞宫,bao'gong
胞宫寒凝证,bao'gong'han'ning'zheng
胞宫虚寒证,bao'gong'xu'han'zheng
豹骨,bao'gu
包涵囊肿,bao'han'nang'zhong
胞核,bao'he
保和神曲与山楂,bao'he'shen'qu'yu'shan'zha
保和丸,bao'he'wan
保护性胶体学说,bao'hu'xing'jiao'ti'xue'shuo
保护性抗原,bao'hu'xing'kang'yuan
保护性免疫,bao'hu'xing'mian'yi
胞肓,bao'huang
胞肓穴,bao'huang'xue
胞间连丝,bao'jian'lian'si
胞间桥,bao'jian'qiao
胞睑外翻病,bao'jian'wai'fan'bing
胞间隙,bao'jian'xi
胞间运输,bao'jian'yun'shu
暴厥,bao'jue
胞口,bao'kou
包块型,bao'kuai'xing
暴力牵引,bao'li'qian'yin
爆裂骨折,bao'lie'gu'zhe
爆裂性骨折,bao'lie'xing'gu'zhe
暴聋,bao'long
暴聋病,bao'long'bing
暴露疗法,bao'lu'liao'fa
胞轮振跳病,bao'lun'zhen'tiao'bing
暴马子,bao'ma'zi
包埋材模型,bao'mai'cai'mo'xing
包埋剂,bao'mai'ji
暴盲,bao'mang
暴盲病,bao'mang'bing
胞门,bao'men
胞膜,bao'mo
包膜蛋白基因,bao'mo'dan'bai'ji'yin
包膜挛缩,bao'mo'luan'suo
包膜下肾切除术,bao'mo'xia'shen'qie'chu'shu
孢母细胞,bao'mu'xi'bao
胞囊,bao'nang
孢囊,bao'nang
胞囊孢子,bao'nang'bao'zi
胞内共生,bao'nei'gong'sheng
胞内小管,bao'nei'xiao'guan
胞内运输,bao'nei'yun'shu
包皮背侧切开术,bao'pi'bei'ce'qie'kai'shu
包皮变应性水肿,bao'pi'bian'ying'xing'shui'zhong
豹皮菇,bao'pi'gu
包皮环切,bao'pi'huan'qie
豹皮樟,bao'pi'zhang
暴仆,bao'pu
苞蔷薇根,bao'qiang'wei'gen
豹肉,bao'rou
鸨肉,bao'rou
胞肉粘轮病,bao'rou'zhan'lun'bing
