按次下载,an'ci'xia'zai
动感商盟,dong'gan'shang'meng
动感网聊,dong'gan'wang'liao
动感影聚院,dong'gan'ying'ju'yuan
短彩信点播,duan'cai'xin'dian'bo
短号短信,duan'hao'duan'xin
短信包,duan'xin'bao
短信保存时效,duan'xin'bao'cun'shi'xiao
短信答题,duan'xin'da'ti
短信点歌,duan'xin'dian'ge
短信回执,duan'xin'hui'zhi
短信门户,duan'xin'men'hu
短信套餐,duan'xin'tao'can
短信帐单,duan'xin'zhang'dan
短信珍藏,duan'xin'zhen'cang
兑换资格,dui'huan'zi'ge
二次转移,er'ci'zhuan'yi
二维码,er'wei'ma
非常假期,fei'chang'jia'qi
飞信乐园,fei'xin'le'yuan
分区卡,fen'qu'ka
分区优惠,fen'qu'you'hui
付费家长,fu'fei'jia'zhang
付费帐户,fu'fei'zhang'hu
副号码,fu'hao'ma
福建兴业银行,fu'jian'xing'ye'yin'hang
服务举措,fu'wu'ju'cuo
服务密码,fu'wu'mi'ma
改号语音通知,gai'hao'yu'yin'tong'zhi
改进措施,gai'jin'cuo'shi
改套餐,gai'tao'can
高尔夫球券,gao'er'fu'qiu'quan
高球宝典,gao'qiu'bao'dian
个人集音盒,ge'ren'ji'yin'he
个性化背景音,ge'xing'hua'bei'jing'yin
个性化音色,ge'xing'hua'yin'se
功能费,gong'neng'fei
拱墅,gong'shu
沟通卡,gou'tong'ka
固话版,gu'hua'ban
关爱通,guan'ai'tong
关机呼转,guan'ji'hu'zhuan
管理停机,guan'li'ting'ji
贵宾厅,gui'bin'ting
贵宾诊室,gui'bin'zhen'shi
归属地,gui'shu'di
国际彩信,guo'ji'cai'xin
国际长途,guo'ji'chang'tu
国际短信,guo'ji'duan'xin
国际海事卫星,guo'ji'hai'shi'wei'xing
国际及港澳台漫游,guo'ji'ji'gang'ao'tai'man'you
国际来访,guo'ji'lai'fang
国际漫游,guo'ji'man'you
国际直拨,guo'ji'zhi'bo
国家邮政局,guo'jia'you'zheng'ju
国内长途费,guo'nei'chang'tu'fei
国内畅游,guo'nei'chang'you
国内畅游计划,guo'nei'chang'you'ji'hua
国内电话,guo'nei'dian'hua
国内漫游,guo'nei'man'you
国税短信,guo'shui'duan'xin
海曙,hai'shu
航信通,hang'xin'tong
行业短信,hang'ye'duan'xin
杭州商业银行,hang'zhou'shang'ye'yin'hang
号簿管家,hao'bu'guan'jia
号码末位,hao'ma'mo'wei
合家欢卡,he'jia'huan'ka
贺岁回馈,he'sui'hui'kui
候车厅,hou'che'ting
互斥,hu'chi
呼出限制,hu'chu'xian'zhi
呼叫保持,hu'jiao'bao'chi
呼叫限制,hu'jiao'xian'zhi
互联互通,hu'lian'hu'tong
虎年音乐惠,hu'nian'yin'yue'hui
话费礼包,hua'fei'li'bao
话费提醒,hua'fei'ti'xing
话费信使,hua'fei'xin'shi
话务营销,hua'wu'ying'xiao
华夏银行,hua'xia'yin'hang
欢乐送,huan'le'song
环球伴我行,huan'qiu'ban'wo'xing
会所服务,hui'suo'fu'wu
会员权益,hui'yuan'quan'yi
基本通话费,ji'ben'tong'hua'fei
机场联网,ji'chang'lian'wang
计费时长,ji'fei'shi'chang
积分兑换,ji'fen'dui'huan
积分换心机,ji'fen'huan'xin'ji
积分回报,ji'fen'hui'bao
积分回馈,ji'fen'hui'kui
积分捐赠,ji'fen'juan'zeng
积分商城,ji'fen'shang'cheng
积分有效期,ji'fen'you'xiao'qi
积分专席,ji'fen'zhuan'xi
即时话费,ji'shi'hua'fei
集团彩铃,ji'tuan'cai'ling
集团彩信,ji'tuan'cai'xin
集团卡,ji'tuan'ka
集团客户,ji'tuan'ke'hu
集团专线,ji'tuan'zhuan'xian
集讯通,ji'xun'tong
记帐卡,ji'zhang'ka
机主留言,ji'zhu'liu'yan
家电下乡,jia'dian'xia'xiang
家家通,jia'jia'tong
家庭成员,jia'ting'cheng'yuan
家庭宽带,jia'ting'kuan'dai
家庭亲情网,jia'ting'qin'qing'wang
家庭升级礼包,jia'ting'sheng'ji'li'bao
家庭套餐,jia'ting'tao'can
家庭统一支付,jia'ting'tong'yi'zhi'fu
家庭网,jia'ting'wang
家庭帐户,jia'ting'zhang'hu
家信通,jia'xin'tong
家园卡,jia'yuan'ka
健康通道,jian'kang'tong'dao
江干,jiang'gan
奖励积分,jiang'li'ji'fen
缴费卡,jiao'fei'ka
交通秘书,jiao'tong'mi'shu
金卡优惠干线,jin'ka'you'hui'gan'xian
警信通,jing'xin'tong
俱乐部招募,ju'le'bu'zhao'mu
开机信息,kai'ji'xin'xi
开机隐身,kai'ji'yin'shen
可兑换积分,ke'dui'huan'ji'fen
客服业务订购,ke'fu'ye'wu'ding'gou
客户服务热线,ke'hu'fu'wu're'xian
客户服务视图,ke'hu'fu'wu'shi'tu
客户经理,ke'hu'jing'li
客户快线,ke'hu'kuai'xian
可视电话,ke'shi'dian'hua
空中充值,kong'zhong'chong'zhi
空中换铃,kong'zhong'huan'ling
扣减积分,kou'jian'ji'fen
跨区补卡,kua'qu'bu'ka
跨区缴费,kua'qu'jiao'fei
跨区入网,kua'qu'ru'wang
跨区停复机,kua'qu'ting'fu'ji
馈赠金,kui'zeng'jin
来电提醒短信,lai'dian'ti'xing'duan'xin
来电助手,lai'dian'zhu'shou
来电助手资讯服务,lai'dian'zhu'shou'zi'xun'fu'wu
来话畅听,lai'hua'chang'ting
来话限制,lai'hua'xian'zhi
来显,lai'xian
老带新,lao'dai'xin
冷冻期,leng'dong'qi
靓号抢注,liang'hao'qiang'zhu
绿色通道,lv'se'tong'dao
绿箱子环保计划,lv'xiang'zi'huan'bao'ji'hua
满就送,man'jiu'song
漫游出访统一资费,man'you'chu'fang'tong'yi'zi'fei
漫游电话卡,man'you'dian'hua'ka
漫游通,man'you'tong
漫游闲时,man'you'xian'shi
漫游租机,man'you'zu'ji
忙时优惠,mang'shi'you'hui
密码刮花,mi'ma'gua'hua
密码缺位,mi'ma'que'wei
免费范围,mian'fei'fan'wei
免费接听,mian'fei'jie'ting
免费体验,mian'fei'ti'yan
免费通话分钟数,mian'fei'tong'hua'fen'zhong'shu
免费资源,mian'fei'zi'yuan
免提短信,mian'ti'duan'xin
模糊认证,mo'hu'ren'zheng
默认开通,mo'ren'kai'tong
目录树,mu'lu'shu
拇指文学,mu'zhi'wen'xue
年卡续约,nian'ka'xu'yue
农村信用社,nong'cun'xin'yong'she
农民信箱,nong'min'xin'xiang
农信百事通,nong'xin'bai'shi'tong
农讯通,nong'xun'tong
农政通,nong'zheng'tong
拍照客户,pai'zhao'ke'hu
品牌套餐,pin'pai'tao'can
普通包月,pu'tong'bao'yue
七彩短信,qi'cai'duan'xin
七县,qi'xian
气象短信,qi'xiang'duan'xin
气象信息服务,qi'xiang'xin'xi'fu'wu
企业版,qi'ye'ban
企业标识,qi'ye'biao'zhi
企业建站,qi'ye'jian'zhan
企业客户,qi'ye'ke'hu
企业通信助理,qi'ye'tong'xin'zhu'li
企业信息机,qi'ye'xin'xi'ji
企业邮箱,qi'ye'you'xiang
欠费停机,qian'fei'ting'ji
巧手妈咪私房菜,qiao'shou'ma'mi'si'fang'cai
亲情号码,qin'qing'hao'ma
亲情热线,qin'qing're'xian
亲情网,qin'qing'wang
亲友网,qin'you'wang
亲子通,qin'zi'tong
轻松卡,qing'song'ka
球类券,qiu'lei'quan
去话限制,qu'hua'xian'zhi
区域网,qu'yu'wang
区域限制,qu'yu'xian'zhi
全国单向,quan'guo'dan'xiang
全国范围,quan'guo'fan'wei
全国漫游被叫分钟数,quan'guo'man'you'bei'jiao'fen'zhong'shu
全国漫游畅听包,quan'guo'man'you'chang'ting'bao
全家总动员,quan'jia'zong'dong'yuan
全球通缴费卡,quan'qiu'tong'jiao'fei'ka
全网积分商城,quan'wang'ji'fen'shang'cheng
全网音乐盒,quan'wang'yin'yue'he
群发信息,qun'fa'xin'xi
群呼群聊,qun'hu'qun'liao
群组设置,qun'zu'she'zhi
让渡,rang'du
日高额,ri'gao'e
日扣,ri'kou
日账比对,ri'zhang'bi'dui
入网时间,ru'wang'shi'jian
弱覆盖,ruo'fu'gai
三重奏,san'chong'zou
三零六心,san'ling'liu'xin
三秒短话单,san'miao'duan'hua'dan
删除成员,shan'chu'cheng'yuan
上海浦东发展银行,shang'hai'pu'dong'fa'zhan'yin'hang
上网本,shang'wang'ben
上网流量,shang'wang'liu'liang
商信通,shang'xin'tong
商业银行,shang'ye'yin'hang
生活消费资讯信息,sheng'huo'xiao'fei'zi'xun'xin'xi
省际长途通,sheng'ji'chang'tu'tong
升级计划,sheng'ji'ji'hua
省际跨区,sheng'ji'kua'qu
声控拨号技术,sheng'kong'bo'hao'ji'shu
声控号簿备份功能,sheng'kong'hao'bu'bei'fen'gong'neng
声控号码簿,sheng'kong'hao'ma'bu
省内跨区,sheng'nei'kua'qu
生日关怀,sheng'ri'guan'huai
生效时间,sheng'xiao'shi'jian
市话畅聊,shi'hua'chang'liao
市话王,shi'hua'wang
适配机型,shi'pei'ji'xing
实时费用,shi'shi'fei'yong
实时帐务,shi'shi'zhang'wu
实物卡,shi'wu'ka
实物捆绑,shi'wu'kun'bang
收费误差,shou'fei'wu'cha
手机报纸,shou'ji'bao'zhi
手机炒股,shou'ji'chao'gu
手机充值卡,shou'ji'chong'zhi'ka
手机导航,shou'ji'dao'hang
手机地图,shou'ji'di'tu
手机电视,shou'ji'dian'shi
手机动漫,shou'ji'dong'man
手机仿真,shou'ji'fang'zhen
手机看漫画,shou'ji'kan'man'hua
手机漫画,shou'ji'man'hua
手机名片管家,shou'ji'ming'pian'guan'jia
手机末位,shou'ji'mo'wei
手机钱包,shou'ji'qian'bao
手机商界,shou'ji'shang'jie
手机上网,shou'ji'shang'wang
手机上网安心助手,shou'ji'shang'wang'an'xin'zhu'shou
手机视频,shou'ji'shi'pin
手机搜索,shou'ji'sou'suo
手机维修,shou'ji'wei'xiu
手机信用卡,shou'ji'xin'yong'ka
手机医疗,shou'ji'yi'liao
手机银行卡,shou'ji'yin'hang'ka
手机游戏,shou'ji'you'xi
手机邮箱,shou'ji'you'xiang
手机阅读,shou'ji'yue'du
手机阅读器,shou'ji'yue'du'qi
手机证券,shou'ji'zheng'quan
手机支付,shou'ji'zhi'fu
手机支付充值有礼,shou'ji'zhi'fu'chong'zhi'you'li
手机桌面助理,shou'ji'zhuo'mian'zhu'li
数据套餐,shu'ju'tao'can
书券消费,shu'quan'xiao'fei
双倍返还,shuang'bei'fan'huan
双重礼遇,shuang'chong'li'yu
顺序播放,shun'xu'bo'fang
送话费,song'hua'fei
速拨,su'bo
速度慢,su'du'man
速配交友,su'pei'jiao'you
岁末充值,sui'mo'chong'zhi
他网,ta'wang
台港澳漫游,tai'gang'ao'man'you
套餐变更,tao'can'bian'geng
套餐内,tao'can'nei
套餐外,tao'can'wai
套餐优惠,tao'can'you'hui
套餐月费,tao'can'yue'fei
套卡激活,tao'ka'ji'huo
套卡预开,tao'ka'yu'kai
淘乐汇,tao'le'hui
特服号,te'fu'hao
特惠装,te'hui'zhuang
特权报开,te'quan'bao'kai
特殊号码,te'shu'hao'ma
特约商户,te'yue'shang'hu
体验包,ti'yan'bao
体育场路,ti'yu'chang'lu
铁通宽带,tie'tong'kuan'dai
停复机,ting'fu'ji
停机保号费,ting'ji'bao'hao'fei
同城特例,tong'cheng'te'li
通话时长,tong'hua'shi'chang
同乡网,tong'xiang'wang
通信优惠,tong'xin'you'hui
通信帐户支付,tong'xin'zhang'hu'zhi'fu
统一查询退订,tong'yi'cha'xun'tui'ding
统一口径,tong'yi'kou'jing
统一门户,tong'yi'men'hu
统一帐户,tong'yi'zhang'hu
统一支付,tong'yi'zhi'fu
外来务工,wai'lai'wu'gong
网间呼转,wang'jian'hu'zhuan
网聊套餐,wang'liao'tao'can
网络制式,wang'luo'zhi'shi
网内彩信,wang'nei'cai'xin
网内单向,wang'nei'dan'xiang
网内呼转,wang'nei'hu'zhuan
网球券,wang'qiu'quan
网上银行卡充值,wang'shang'yin'hang'ka'chong'zhi
卫星电话,wei'xing'dian'hua
维修中心,wei'xiu'zhong'xin
位置服务,wei'zhi'fu'wu
温泉券,wen'quan'quan
文一路,wen'yi'lu
无法登记网络,wu'fa'deng'ji'wang'luo
无故开通,wu'gu'kai'tong
物流信息,wu'liu'xin'xi
无条件呼转,wu'tiao'jian'hu'zhuan
无线宽带,wu'xian'kuan'dai
无线全国通,wu'xian'quan'guo'tong
无线上网,wu'xian'shang'wang
无线上网卡,wu'xian'shang'wang'ka
无线体育俱乐部,wu'xian'ti'yu'ju'le'bu
无线网站,wu'xian'wang'zhan
无线音乐俱乐部,wu'xian'yin'yue'ju'le'bu
无线音乐咪咕汇,wu'xian'yin'yue'mi'gu'hui
无线座机,wu'xian'zuo'ji
无应答呼转,wu'ying'da'hu'zhuan
洗车,xi'che
洗车卡,xi'che'ka
洗车券,xi'che'quan
下沙,xia'sha
下周期,xia'zhou'qi
闲时包,xian'shi'bao
闲时长话,xian'shi'chang'hua
闲时优惠,xian'shi'you'hui
闲时优惠包,xian'shi'you'hui'bao
详单隐藏,xiang'dan'yin'cang
象山,xiang'shan
乡镇卡,xiang'zhen'ka
乡镇网,xiang'zhen'wang
小额支付,xiao'e'zhi'fu
消费者权益,xiao'fei'zhe'quan'yi
消费者权益保护法,xiao'fei'zhe'quan'yi'bao'hu'fa
小区短信,xiao'qu'duan'xin
萧山,xiao'shan
小贴士,xiao'tie'shi
孝心卡,xiao'xin'ka
校讯通,xiao'xun'tong
校园版,xiao'yuan'ban
校园畅聊,xiao'yuan'chang'liao
校园网聊,xiao'yuan'wang'liao
校园无线,xiao'yuan'wu'xian
校园优惠,xiao'yuan'you'hui
校园有线,xiao'yuan'you'xian
新春特惠,xin'chun'te'hui
新都市,xin'du'shi
新华快讯,xin'hua'kuai'xun
心机,xin'ji
心机维修,xin'ji'wei'xiu
心机维修中心,xin'ji'wei'xiu'zhong'xin
心机营业厅,xin'ji'ying'ye'ting
心机组合营销礼包,xin'ji'zu'he'ying'xiao'li'bao
新疆维吾尔自治区,xin'jiang'wei'wu'er'zi'zhi'qu
新入网,xin'ru'wang
新入网抽奖,xin'ru'wang'chou'jiang
新生直邮,xin'sheng'zhi'you
新闻早晚报,xin'wen'zao'wan'bao
信息查询,xin'xi'cha'xun
信息管家,xin'xi'guan'jia
信息机,xin'xi'ji
信息区,xin'xi'qu
新业务,xin'ye'wu
新业务包,xin'ye'wu'bao
新业务促销,xin'ye'wu'cu'xiao
新业务礼包,xin'ye'wu'li'bao
新业务体验,xin'ye'wu'ti'yan
休闲吧,xiu'xian'ba
虚拟货币,xu'ni'huo'bi
虚拟网包,xu'ni'wang'bao
虚拟网促销,xu'ni'wang'cu'xiao
学习园地,xue'xi'yuan'di
邀请成员,yao'qing'cheng'yuan
夜话畅聊,ye'hua'chang'liao
夜话无眠,ye'hua'wu'mian
业务宝典,ye'wu'bao'dian
业务受理,ye'wu'shou'li
易充值,yi'chong'zhi
易登机,yi'deng'ji
异地补卡,yi'di'bu'ka
异地客户,yi'di'ke'hu
移动大赢家,yi'dong'da'ying'jia
移动定位,yi'dong'ding'wei
移动改变生活,yi'dong'gai'bian'sheng'huo
移动公话,yi'dong'gong'hua
移动欢乐家庭计划,yi'dong'huan'le'jia'ting'ji'hua
移动商务,yi'dong'shang'wu
移动数据流量,yi'dong'shu'ju'liu'liang
移动网站,yi'dong'wang'zhan
移动卫士,yi'dong'wei'shi
移动协同办公,yi'dong'xie'tong'ban'gong
移动心机,yi'dong'xin'ji
移动应用商场,yi'dong'ying'yong'shang'chang
移动增值业务,yi'dong'zeng'zhi'ye'wu
移动总机,yi'dong'zong'ji
已兑换积分,yi'dui'huan'ji'fen
一号通,yi'hao'tong
一机双号,yi'ji'shuang'hao
一家亲,yi'jia'qin
一键兑换,yi'jian'dui'huan
一口价,yi'kou'jia
一码通,yi'ma'tong
艺术鉴藏沙龙,yi'shu'jian'cang'sha'long
一线通,yi'xian'tong
医讯通,yi'xun'tong
医院服务,yi'yuan'fu'wu
一元购机,yi'yuan'gou'ji
一元激爽,yi'yuan'ji'shuang
一站式服务,yi'zhan'shi'fu'wu
银联即时通,yin'lian'ji'shi'tong
银联卡电话充值,yin'lian'ka'dian'hua'chong'zhi
银联卡网上充值,yin'lian'ka'wang'shang'chong'zhi
音乐搜索,yin'yue'sou'suo
音乐随身听,yin'yue'sui'shen'ting
营业复机,ying'ye'fu'ji
营业停机,ying'ye'ting'ji
优惠包,you'hui'bao
优惠促销,you'hui'cu'xiao
优惠分钟数,you'hui'fen'zhong'shu
优惠时段,you'hui'shi'duan
有条件呼叫,you'tiao'jian'hu'jiao
有线宽带,you'xian'kuan'dai
有线通,you'xian'tong
预存话费,yu'cun'hua'fei
预抵扣,yu'di'kou
预定群呼,yu'ding'qun'hu
余额转移,yu'e'zhuan'yi
余杭,yu'hang
预缴话费,yu'jiao'hua'fei
预缴话费送,yu'jiao'hua'fei'song
预缴送,yu'jiao'song
遇忙呼转,yu'mang'hu'zhuan
预选开通,yu'xuan'kai'tong
语音彩信,yu'yin'cai'xin
语音小总机,yu'yin'xiao'zong'ji
语音增值服务,yu'yin'zeng'zhi'fu'wu
元通,yuan'tong
阅读专区,yue'du'zhuan'qu
月费促销,yue'fei'cu'xiao
月费预缴,yue'fei'yu'jiao
月功能费,yue'gong'neng'fei
月扣,yue'kou
月帐单,yue'zhang'dan
月租费,yue'zu'fei
增加成员,zeng'jia'cheng'yuan
增值业务,zeng'zhi'ye'wu
增值业务发烧友,zeng'zhi'ye'wu'fa'shao'you
帐单科目,zhang'dan'ke'mu
帐户比对,zhang'hu'bi'dui
帐户有效期,zhang'hu'you'xiao'qi
掌上杭州,zhang'shang'hang'zhou
掌上宁波,zhang'shang'ning'bo
掌上手机报,zhang'shang'shou'ji'bao
掌上运赢,zhang'shang'yun'ying
账务变更,zhang'wu'bian'geng
帐务复机,zhang'wu'fu'ji
掌中学习宝,zhang'zhong'xue'xi'bao
浙江手机报,zhe'jiang'shou'ji'bao
折折卡,zhe'zhe'ka
振铃下载,zhen'ling'xia'zai
臻于至善,zhen'yu'zhi'shan
正版音乐一折购,zheng'ban'yin'yue'yi'zhe'gou
正德厚生,zheng'de'hou'sheng
政企,zheng'qi
直供网点,zhi'gong'wang'dian
直接减免,zhi'jie'jian'mian
直邮卡,zhi'you'ka
至尊版,zhi'zun'ban
至尊包,zhi'zun'bao
终端促销,zhong'duan'cu'xiao
终端捆绑,zhong'duan'kun'bang
终端优惠,zhong'duan'you'hui
中高端,zhong'gao'duan
中高端客户,zhong'gao'duan'ke'hu
中国电信,zhong'guo'dian'xin
中国光大银行,zhong'guo'guang'da'yin'hang
中国交通银行,zhong'guo'jiao'tong'yin'hang
中国联通,zhong'guo'lian'tong
中国民生银行,zhong'guo'min'sheng'yin'hang
中国移动集团公司,zhong'guo'yi'dong'ji'tuan'gong'si
主被叫,zhu'bei'jiao
主号码,zhu'hao'ma
主叫付费,zhu'jiao'fu'fei
专属卡,zhuan'shu'ka
转帐通,zhuan'zhang'tong
转转赢,zhuan'zhuan'ying
自办业务,zi'ban'ye'wu
自办营业厅,zi'ban'ying'ye'ting
资费优先级,zi'fei'you'xian'ji
资料补录,zi'liao'bu'lu
资料查询,zi'liao'cha'xun
自助服务,zi'zhu'fu'wu
自助网,zi'zhu'wang
综合接入语音专线,zong'he'jie'ru'yu'yin'zhuan'xian
组合包,zu'he'bao
钻石卡,zuan'shi'ka
最低消费,zui'di'xiao'fei
尊享,zun'xiang
尊享好礼,zun'xiang'hao'li
