阿贝比长原理,a'bei'bi'chang'yuan'li
城市制图,cheng'shi'zhi'tu
成像光谱仪,cheng'xiang'guang'pu'yi
成像雷达,cheng'xiang'lei'da
尺度参数,chi'du'can'shu
抽稀,chou'xi
抽象符号,chou'xiang'fu'hao
出版原图,chu'ban'yuan'tu
初测,chu'ce
触觉地图,chu'jue'di'tu
储量管理,chu'liang'guan'li
船台,chuan'tai
垂核面,chui'he'mian
垂核线,chui'he'xian
垂球,chui'qiu
垂线偏差,chui'xian'pian'cha
垂线偏差改正,chui'xian'pian'cha'gai'zheng
垂直角,chui'zhi'jiao
垂直折光差,chui'zhi'zhe'guang'cha
垂直折光系数,chui'zhi'zhe'guang'xi'shu
垂准仪,chui'zhun'yi
纯重力异常,chun'zhong'li'yi'chang
磁测深,ci'ce'shen
磁测深仪,ci'ce'shen'yi
刺点仪,ci'dian'yi
磁方位角,ci'fang'wei'jiao
磁力扫海测量,ci'li'sao'hai'ce'liang
磁力异常区,ci'li'yi'chang'qu
磁偏角,ci'pian'jiao
磁倾角,ci'qing'jiao
磁象限角,ci'xiang'xian'jiao
磁子午线,ci'zi'wu'xian
粗差,cu'cha
粗差检测,cu'cha'jian'ce
粗略定向,cu'lue'ding'xiang
粗码,cu'ma
大比例尺测图,da'bi'li'chi'ce'tu
大比例尺地形图,da'bi'li'chi'di'xing'tu
大潮升,da'chao'sheng
大车路,da'che'lu
大地测量,da'di'ce'liang
大地测量边值问题,da'di'ce'liang'bian'zhi'wen'ti
大地测量参考系,da'di'ce'liang'can'kao'xi
大地测量数据库,da'di'ce'liang'shu'ju'ku
大地测量学,da'di'ce'liang'xue
大地测量仪器,da'di'ce'liang'yi'qi
大地方位角,da'di'fang'wei'jiao
大地高,da'di'gao
大地基准,da'di'ji'zhun
大地接收机,da'di'jie'shou'ji
大地经度,da'di'jing'du
大地控制数据库,da'di'kong'zhi'shu'ju'ku
大地水准面,da'di'shui'zhun'mian
大地水准面高,da'di'shui'zhun'mian'gao
大地天顶延迟,da'di'tian'ding'yan'chi
大地天文学,da'di'tian'wen'xue
大地网,da'di'wang
大地位,da'di'wei
大地纬度,da'di'wei'du
大地线,da'di'xian
大地线微分方程,da'di'xian'wei'fen'fang'cheng
大地原点,da'di'yuan'dian
大地重力学,da'di'zhong'li'xue
大地主题反解,da'di'zhu'ti'fan'jie
大地主题正解,da'di'zhu'ti'zheng'jie
大地坐标,da'di'zuo'biao
大地坐标系,da'di'zuo'biao'xi
大环投影,da'huan'tou'ying
大陆架地形测量,da'lu'jia'di'xing'ce'liang
大气传输特性,da'qi'chuan'shu'te'xing
大气窗,da'qi'chuang
大气改正,da'qi'gai'zheng
大气透过率,da'qi'tou'guo'lv
大气噪声,da'qi'zao'sheng
大气阻力摄动,da'qi'zu'li'she'dong
大像幅摄影机,da'xiang'fu'she'ying'ji
打样,da'yang
大洋地势图,da'yang'di'shi'tu
大洋水深图,da'yang'shui'shen'tu
大圆航线图,da'yuan'hang'xian'tu
带谐系数,dai'xie'xi'shu
带状平面图,dai'zhuang'ping'mian'tu
单差相位观测,dan'cha'xiang'wei'guan'ce
弹道摄影测量,dan'dao'she'ying'ce'liang
弹道摄影机,dan'dao'she'ying'ji
单点定位,dan'dian'ding'wei
单片坐标量测仪,dan'pian'zuo'biao'liang'ce'yi
单位权,dan'wei'quan
单位权方差,dan'wei'quan'fang'cha
单位权方差为,dan'wei'quan'fang'cha'wei
单张或多张图组成,dan'zhang'huo'duo'zhang'tu'zu'cheng
档差改正,dang'cha'gai'zheng
当地平均海面,dang'di'ping'jun'hai'mian
导标,dao'biao
道岔测量,dao'cha'ce'liang
倒锤法,dao'chui'fa
倒锤线观测,dao'chui'xian'guan'ce
导弹定向测量,dao'dan'ding'xiang'ce'liang
导弹试验场工程测量,dao'dan'shi'yan'chang'gong'cheng'ce'liang
导航台定位测量,dao'hang'tai'ding'wei'ce'liang
导航图,dao'hang'tu
导航线,dao'hang'xian
倒虹吸,dao'hong'xi
道路工程测量,dao'lu'gong'cheng'ce'liang
岛陆联测,dao'lu'lian'ce
导入高程测量,dao'ru'gao'cheng'ce'liang
导线,dao'xian
导线边,dao'xian'bian
导线测量,dao'xian'ce'liang
导线点,dao'xian'dian
导线横向误差,dao'xian'heng'xiang'wu'cha
导线角度闭合差,dao'xian'jiao'du'bi'he'cha
导线结点,dao'xian'jie'dian
导线曲折系数,dao'xian'qu'zhe'xi'shu
导线全长闭合差,dao'xian'quan'chang'bi'he'cha
导线网,dao'xian'wang
导线相对闭合差,dao'xian'xiang'dui'bi'he'cha
导线折角,dao'xian'zhe'jiao
导线纵向误差,dao'xian'zong'xiang'wu'cha
岛屿测量,dao'yu'ce'liang
岛屿图,dao'yu'tu
的基础上采用,de'ji'chu'shang'cai'yong
等比线,deng'bi'xian
等变形线,deng'bian'xing'xian
灯标,deng'biao
灯船,deng'chuan
灯浮标,deng'fu'biao
灯高,deng'gao
等高距,deng'gao'ju
等高棱镜,deng'gao'leng'jing
等高线,deng'gao'xian
等高仪,deng'gao'yi
灯光节奏,deng'guang'jie'zou
灯光射程,deng'guang'she'cheng
灯光遮蔽,deng'guang'zhe'bi
灯光周期,deng'guang'zhou'qi
等级感,deng'ji'gan
等级结构,deng'ji'jie'gou
等积投影,deng'ji'tou'ying
等角定位格网,deng'jiao'ding'wei'ge'wang
等角投影,deng'jiao'tou'ying
等距量表,deng'ju'liang'biao
等距投影,deng'ju'tou'ying
等距圆弧格网,deng'ju'yuan'hu'ge'wang
等量纬度,deng'liang'wei'du
等偏摄影,deng'pian'she'ying
等倾摄影,deng'qing'she'ying
等权代替法,deng'quan'dai'ti'fa
灯色,deng'se
等深线,deng'shen'xian
灯塔,deng'ta
等值灰度尺,deng'zhi'hui'du'chi
等值区域法,deng'zhi'qu'yu'fa
等值区域图,deng'zhi'qu'yu'tu
等值线地图,deng'zhi'xian'di'tu
等值线法,deng'zhi'xian'fa
堤坝施工测量,di'ba'shi'gong'ce'liang
底板测点,di'ban'ce'dian
地表移动观测站,di'biao'yi'dong'guan'ce'zhan
地表移动曲线图,di'biao'yi'dong'qu'xian'tu
地产界测量,di'chan'jie'ce'liang
低潮适淹礁,di'chao'shi'yan'jiao
低潮线,di'chao'xian
地磁经纬仪,di'ci'jing'wei'yi
地磁仪,di'ci'yi
地底点,di'di'dian
底点纬度,di'dian'wei'du
第二偏心率,di'er'pian'xin'lv
地固坐标系,di'gu'zuo'biao'xi
地籍,di'ji
地籍簿,di'ji'bu
地籍册,di'ji'ce
地籍测量,di'ji'ce'liang
地籍测量系统,di'ji'ce'liang'xi'tong
地籍测量细则,di'ji'ce'liang'xi'ze
地籍调查,di'ji'diao'cha
地籍更新,di'ji'geng'xin
地籍管理,di'ji'guan'li
地籍图,di'ji'tu
地籍图册,di'ji'tu'ce
地基系统,di'ji'xi'tong
地籍信息系统,di'ji'xin'xi'xi'tong
地籍修测,di'ji'xiu'ce
地籍制图,di'ji'zhi'tu
地极坐标,di'ji'zuo'biao
地极坐标系,di'ji'zuo'biao'xi
地界测量,di'jie'ce'liang
地块测量,di'kuai'ce'liang
地块数据库,di'kuai'shu'ju'ku
地类界图,di'lei'jie'tu
地理格网,di'li'ge'wang
地理视距,di'li'shi'ju
地理信息传输,di'li'xin'xi'chuan'shu
地理信息系统,di'li'xin'xi'xi'tong
地理要素,di'li'yao'su
地理坐标,di'li'zuo'biao
地理坐标参考系,di'li'zuo'biao'can'kao'xi
地理坐标网,di'li'zuo'biao'wang
地貌图,di'mao'tu
地貌形态示量图,di'mao'xing'tai'shi'liang'tu
地面点的天文纬度呈,di'mian'dian'de'tian'wen'wei'du'cheng
地面接收站,di'mian'jie'shou'zhan
地面立体测图仪,di'mian'li'ti'ce'tu'yi
地面摄谱仪,di'mian'she'pu'yi
地面摄影测量,di'mian'she'ying'ce'liang
地面摄影机,di'mian'she'ying'ji
地面实况,di'mian'shi'kuang
地面照度,di'mian'zhao'du
地名标准化,di'ming'biao'zhun'hua
地名录,di'ming'lu
地名数据库,di'ming'shu'ju'ku
地名索引,di'ming'suo'yin
地名通名,di'ming'tong'ming
地名学,di'ming'xue
地名正名,di'ming'zheng'ming
地名转写,di'ming'zhuan'xie
底片常数法,di'pian'chang'shu'fa
底片方位元素法,di'pian'fang'wei'yuan'su'fa
地平线摄影机,di'ping'xian'she'ying'ji
地平线像片,di'ping'xian'xiang'pian
地壳均衡,di'qiao'jun'heng
地壳均衡改正,di'qiao'jun'heng'gai'zheng
地壳均衡说,di'qiao'jun'heng'shuo
地壳形变观测,di'qiao'xing'bian'guan'ce
地倾斜观测,di'qing'xie'guan'ce
地球长半轴,di'qiu'chang'ban'zhou
地球定向参数,di'qiu'ding'xiang'can'shu
地球动力扁率,di'qiu'dong'li'bian'lv
地球动力因子,di'qiu'dong'li'yin'zi
地球短半轴,di'qiu'duan'ban'zhou
地球同步卫星,di'qiu'tong'bu'wei'xing
地球椭球,di'qiu'tuo'qiu
地球椭球扁率,di'qiu'tuo'qiu'bian'lv
地球位,di'qiu'wei
地球位数,di'qiu'wei'shu
地球位系数,di'qiu'wei'xi'shu
地球形状,di'qiu'xing'zhuang
地球液核动力效应,di'qiu'ye'he'dong'li'xiao'ying
地球仪,di'qiu'yi
地球引力摄动,di'qiu'yin'li'she'dong
地球重力场模型,di'qiu'zhong'li'chang'mo'xing
地球资源卫星,di'qiu'zi'yuan'wei'xing
地球自转参数,di'qiu'zi'zhuan'can'shu
地球自转角速度,di'qiu'zi'zhuan'jiao'su'du
底色去除,di'se'qu'chu
底色增益,di'se'zeng'yi
地势图,di'shi'tu
地图编辑,di'tu'bian'ji
地图编制,di'tu'bian'zhi
地图表示法,di'tu'biao'shi'fa
地图传输,di'tu'chuan'shu
地图叠置分析,di'tu'die'zhi'fen'xi
地图分类,di'tu'fen'lei
地图分析,di'tu'fen'xi
地图符号库,di'tu'fu'hao'ku
地图符号学,di'tu'fu'hao'xue
地图复杂性,di'tu'fu'za'xing
地图负载量,di'tu'fu'zai'liang
地图复制,di'tu'fu'zhi
地图感受,di'tu'gan'shou
地图更新,di'tu'geng'xin
地图规范,di'tu'gui'fan
地图集,di'tu'ji
地图集信息系统,di'tu'ji'xin'xi'xi'tong
地图利用,di'tu'li'yong
地图量算,di'tu'liang'suan
地图量算法,di'tu'liang'suan'fa
地图模型,di'tu'mo'xing
地图内容结构,di'tu'nei'rong'jie'gou
地图判读,di'tu'pan'du
地图评价,di'tu'ping'jia
地图潜信息,di'tu'qian'xin'xi
地图清晰性,di'tu'qing'xi'xing
地图色标,di'tu'se'biao
地图色谱,di'tu'se'pu
地图上所有辅助要素,di'tu'shang'suo'you'fu'zhu'yao'su
地图设计,di'tu'she'ji
地图生产,di'tu'sheng'chan
地图数据结构,di'tu'shu'ju'jie'gou
地图数据库,di'tu'shu'ju'ku
地图数据库管理系统,di'tu'shu'ju'ku'guan'li'xi'tong
地图数字化,di'tu'shu'zi'hua
地图投影,di'tu'tou'ying
地图显示,di'tu'xian'shi
地图信息,di'tu'xin'xi
地图信息系统,di'tu'xin'xi'xi'tong
地图学,di'tu'xue
地图研究法,di'tu'yan'jiu'fa
地图易读性,di'tu'yi'du'xing
地图印刷,di'tu'yin'shua
地图语法,di'tu'yu'fa
地图语言,di'tu'yu'yan
地图语义,di'tu'yu'yi
地图语用,di'tu'yu'yong
地图阅读,di'tu'yue'du
地图整饰,di'tu'zheng'shi
地图制图,di'tu'zhi'tu
地图制图软件,di'tu'zhi'tu'ruan'jian
地图制图学,di'tu'zhi'tu'xue
地图注记,di'tu'zhu'ji
地物波谱特性,di'wu'bo'pu'te'xing
地物点,di'wu'dian
地下管线测量,di'xia'guan'xian'ce'liang
地下铁道测量,di'xia'tie'dao'ce'liang
地下油库测量,di'xia'you'ku'ce'liang
地心经度,di'xin'jing'du
地心纬度,di'xin'wei'du
地心引力常数,di'xin'yin'li'chang'shu
地心直角坐标,di'xin'zhi'jiao'zuo'biao
地心坐标系,di'xin'zuo'biao'xi
地形测量,di'xing'ce'liang
地形测量学,di'xing'ce'liang'xue
地形底图,di'xing'di'tu
地形改正,di'xing'gai'zheng
地形数据库,di'xing'shu'ju'ku
地形图,di'xing'tu
地形图更新,di'xing'tu'geng'xin
地形图图式,di'xing'tu'tu'shi
地性线,di'xing'xian
第一偏心率,di'yi'pian'xin'lv
地应力测量,di'ying'li'ce'liang
地震台精密测量,di'zhen'tai'jing'mi'ce'liang
底质,di'zhi
底质采样,di'zhi'cai'yang
地质草图,di'zhi'cao'tu
地质测量,di'zhi'ce'liang
地质点测量,di'zhi'dian'ce'liang
底质调查,di'zhi'diao'cha
底质分布图,di'zhi'fen'bu'tu
地质略图,di'zhi'lue'tu
地质剖面测量,di'zhi'pou'mian'ce'liang
地质剖面图,di'zhi'pou'mian'tu
电磁波测距,dian'ci'bo'ce'ju
电磁波测距仪,dian'ci'bo'ce'ju'yi
电磁波谱,dian'ci'bo'pu
点方式,dian'fang'shi
电荷耦合,dian'he'ou'he
电荷耦合存储器,dian'he'ou'he'cun'chu'qi
电荷耦合器,dian'he'ou'he'qi
电荷耦合器件,dian'he'ou'he'qi'jian
电缆标,dian'lan'biao
电离层折射改正,dian'li'ceng'zhe'she'gai'zheng
电算加密,dian'suan'jia'mi
点位中误差,dian'wei'zhong'wu'cha
点下对中,dian'xia'dui'zhong
典型图形平差,dian'xing'tu'xing'ping'cha
点值法,dian'zhi'fa
点之记,dian'zhi'ji
电指向,dian'zhi'xiang
点状符号,dian'zhuang'fu'hao
电子测距仪,dian'zi'ce'ju'yi
电子出版系统,dian'zi'chu'ban'xi'tong
电子地图集,dian'zi'de'tu'ji
电子地图,dian'zi'di'tu
电子分色机,dian'zi'fen'se'ji
电子海图数据库,dian'zi'hai'tu'shu'ju'ku
电子经纬仪,dian'zi'jing'wei'yi
电子平板仪,dian'zi'ping'ban'yi
电子求积仪,dian'zi'qiu'ji'yi
电子手簿,dian'zi'shou'bu
电子水准仪,dian'zi'shui'zhun'yi
电子速测仪,dian'zi'su'ce'yi
电子外业手簿,dian'zi'wai'ye'shou'bu
电子显微摄影测量,dian'zi'xian'wei'she'ying'ce'liang
电子相关,dian'zi'xiang'guan
电子印象机,dian'zi'yin'xiang'ji
电子印像机,dian'zi'yin'xiang'ji
吊锤投影,diao'chui'tou'ying
叠标线,die'biao'xian
叠幅,die'fu
叠加,die'jia
叠栅条纹图,die'shan'tiao'wen'tu
叠印,die'yin
顶板测点,ding'ban'ce'dian
定测,ding'ce
顶管测量,ding'guan'ce'liang
定深扫海,ding'shen'sao'hai
定位标记,ding'wei'biao'ji
定位点间距,ding'wei'dian'jian'ju
定位检索,ding'wei'jian'suo
定位统计图表法,ding'wei'tong'ji'tu'biao'fa
定位系统,ding'wei'xi'tong
定线测量,ding'xian'ce'liang
定向点,ding'xiang'dian
定向连接测量,ding'xiang'lian'jie'ce'liang
定向连接点,ding'xiang'lian'jie'dian
定向天线,ding'xiang'tian'xian
定向投影,ding'xiang'tou'ying
定向误差,ding'xiang'wu'cha
定向运动地图,ding'xiang'yun'dong'di'tu
定性检索,ding'xing'jian'suo
定义在,ding'yi'zai
定影,ding'ying
动画引导,dong'hua'yin'dao
动画制图,dong'hua'zhi'tu
冻结壁交圈图,dong'jie'bi'jiao'quan'tu
冻结法施工测量,dong'jie'fa'shi'gong'ce'liang
动力大地测量学,dong'li'da'di'ce'liang'xue
动态变量,dong'tai'bian'liang
动态地景仿真,dong'tai'di'jing'fang'zhen
动态地图,dong'tai'di'tu
动态定位,dong'tai'ding'wei
动态遥感器,dong'tai'yao'gan'qi
东西星等高测时法,dong'xi'xing'deng'gao'ce'shi'fa
杜德森常数,du'de'sen'chang'shu
独立交会高程点,du'li'jiao'hui'gao'cheng'dian
独立坐标系,du'li'zuo'biao'xi
度盘,du'pan
断层位移测量,duan'ceng'wei'yi'ce'liang
断面仪,duan'mian'yi
对波长,dui'bo'chang
对角目镜,dui'jiao'mu'jing
对景图,dui'jing'tu
对流层折射改正,dui'liu'ceng'zhe'she'gai'zheng
对数尺,dui'shu'chi
对物距在,dui'wu'ju'zai
对中杆,dui'zhong'gan
多倍仪,duo'bei'yi
多边形地图,duo'bian'xing'di'tu
多边形结构,duo'bian'xing'jie'gou
多边形平差法,duo'bian'xing'ping'cha'fa
多波束测深,duo'bo'shu'ce'shen
多波束测深系统,duo'bo'shu'ce'shen'xi'tong
多层结构,duo'ceng'jie'gou
多级纠正,duo'ji'jiu'zheng
多焦点投影,duo'jiao'dian'tou'ying
多角高程导线,duo'jiao'gao'cheng'dao'xian
多里斯系统,duo'li'si'xi'tong
多路径效应,duo'lu'jing'xiao'ying
多媒体地图,duo'mei'ti'di'tu
多年平均海面,duo'nian'ping'jun'hai'mian
多谱段扫描仪,duo'pu'duan'sao'miao'yi
多谱段摄影,duo'pu'duan'she'ying
多谱段摄影机,duo'pu'duan'she'ying'ji
多谱段遥感,duo'pu'duan'yao'gan
多普勒单点定位,duo'pu'le'dan'dian'ding'wei
多普勒短弧法定位,duo'pu'le'duan'hu'fa'ding'wei
多普勒计数,duo'pu'le'ji'shu
多普勒联测定位,duo'pu'le'lian'ce'ding'wei
多普勒声呐,duo'pu'le'sheng'na
多时相分析,duo'shi'xiang'fen'xi
多时相遥感,duo'shi'xiang'yao'gan
多星等高法,duo'xing'deng'gao'fa
多用途地籍,duo'yong'tu'di'ji
多余观测,duo'yu'guan'ce
多圆锥投影,duo'yuan'zhui'tou'ying
厄特沃什效应,e'te'wo'shi'xiao'ying
二倍照准部互差,er'bei'zhao'zhun'bu'hu'cha
二倍照准差,er'bei'zhao'zhun'cha
二者可互换,er'zhe'ke'hu'huan
二值图像,er'zhi'tu'xiang
法方程,fa'fang'cheng
发光二极管,fa'guang'er'ji'guan
法截面,fa'jie'mian
法伊改正,fa'yi'gai'zheng
反差,fan'cha
反差系数,fan'cha'xi'shu
反差增强,fan'cha'zeng'qiang
反立体,fan'li'ti
反立体效应,fan'li'ti'xiao'ying
反射波谱,fan'she'bo'pu
反束光导管摄影机,fan'shu'guang'dao'guan'she'ying'ji
范围法,fan'wei'fa
反像,fan'xiang
反转片,fan'zhuan'pian
防波堤,fang'bo'di
方差,fang'cha
方差一协方差传播律,fang'cha'yi'xie'fang'cha'chuan'bo'lv
方差一协方差阵,fang'cha'yi'xie'fang'cha'zhen
方差因子,fang'cha'yin'zi
房地产地籍,fang'di'chan'di'ji
方格法,fang'ge'fa
方格网点,fang'ge'wang'dian
方里网,fang'li'wang
防排水系统图,fang'pai'shui'xi'tong'tu
仿射纠正,fang'she'jiu'zheng
方位角中误差,fang'wei'jiao'zhong'wu'cha
方位距离,fang'wei'ju'li
方位距离定位方法,fang'wei'ju'li'ding'wei'fang'fa
方位距离定位系统,fang'wei'ju'li'ding'wei'xi'tong
方位圈,fang'wei'quan
方位投影,fang'wei'tou'ying
方向附合导线,fang'xiang'fu'he'dao'xian
方向观测法,fang'xiang'guan'ce'fa
放样测量,fang'yang'ce'liang
非地形摄影测量,fei'di'xing'she'ying'ce'liang
飞机场测量,fei'ji'chang'ce'liang
飞机洞库测量,fei'ji'dong'ku'ce'liang
非监督分类,fei'jian'du'fen'lei
非量测摄影机,fei'liang'ce'she'ying'ji
菲列罗公式,fei'lie'luo'gong'shi
费宁梅内斯公式,fei'ning'mei'nei'si'gong'shi
分瓣投影,fen'ban'tou'ying
分版原图,fen'ban'yuan'tu
分层,fen'ceng
分层色表,fen'ceng'se'biao
分层设色法,fen'ceng'she'se'fa
分潮,fen'chao
分潮迟角,fen'chao'chi'jiao
分潮振幅,fen'chao'zhen'fu
分带纠正,fen'dai'jiu'zheng
