艾昂尼尔锡青铜,ai'ang'ni'er'xi'qing'tong
玻耳兹曼方程,bo'er'zi'man'fang'cheng
玻耳兹曼分布,bo'er'zi'man'fen'bu
玻耳兹曼恒量,bo'er'zi'man'heng'liang
玻耳兹曼普朗克关系,bo'er'zi'man'pu'lang'ke'guan'xi
伯格哈特还原试验,bo'ge'ha'te'huan'yuan'shi'yan
博克工业公司,bo'ke'gong'ye'gong'si
博科罗钢厂,bo'ke'luo'gang'chang
博勒高碳银亮钢,bo'le'gao'tan'yin'liang'gang
博勒连铸连轧法,bo'le'lian'zhu'lian'zha'fa
玻璃带,bo'li'dai
波利登一步炼铅法,bo'li'deng'yi'bu'lian'qian'fa
玻璃泡长度,bo'li'pao'chang'du
玻璃水银扩散泵,bo'li'shui'yin'kuo'san'beng
玻璃制机油显示器,bo'li'zhi'ji'you'xian'shi'qi
剥裂,bo'lie
伯林顿钢公司,bo'lin'dun'gang'gong'si
博罗德耐磨焊条合金,bo'luo'de'nai'mo'han'tiao'he'jin
剥落腐蚀,bo'luo'fu'shi
博罗托锡铅锑合金,bo'luo'tuo'xi'qian'ti'he'jin
剥落微粒,bo'luo'wei'li
博罗西尔硼硅铁合金,bo'luo'xi'er'peng'gui'tie'he'jin
博罗泽尔包铝氧化硼复合板,bo'luo'ze'er'bao'lv'yang'hua'peng'fu'he'ban
伯马布赖特可锻铝镁合金,bo'ma'bu'lai'te'ke'duan'lv'mei'he'jin
伯马尔压铸铝合金,bo'ma'er'ya'zhu'lv'he'jin
伯马莱特铸造铝基合金,bo'ma'lai'te'zhu'zao'lv'ji'he'jin
伯马利特合金,bo'ma'li'te'he'jin
伯马斯蒂克航空用铸造铝合金,bo'ma'si'di'ke'hang'kong'yong'zhu'zao'lv'he'jin
伯马西尔硅铝特种合金,bo'ma'xi'er'gui'lv'te'zhong'he'jin
伯马西尔航空用铸造铝合金,bo'ma'xi'er'hang'kong'yong'zhu'zao'lv'he'jin
伯梅塔尔铝铜锌镁合金,bo'mei'ta'er'lv'tong'xin'mei'he'jin
伯米迪昂铝合金,bo'mi'di'ang'lv'he'jin
伯明翰铂合金,bo'ming'han'bo'he'jin
伯明翰钢公司,bo'ming'han'gang'gong'si
伯明翰高锌黄铜,bo'ming'han'gao'xin'huang'tong
伯明翰量线规,bo'ming'han'liang'xian'gui
勃姆石,bo'mu'shi
波奇弗里克斯型传动装置,bo'qi'fu'li'ke'si'xing'chuan'dong'zhuang'zhi
博瑞碳化硼包铝复合板,bo'rui'tan'hua'peng'bao'lv'fu'he'ban
玻色爱因斯坦能量分布,bo'se'ai'yin'si'tan'neng'liang'fen'bu
玻色粒子,bo'se'li'zi
玻色统计法,bo'se'tong'ji'fa
玻色子,bo'shai'zi
博斯哈特平炉,bo'si'ha'te'ping'lu
伯斯特兰选择粉碎法,bo'si'te'lan'xuan'ze'fen'sui'fa
博塔硅硼钛铝锰合金,bo'ta'gui'peng'tai'lv'meng'he'jin
博特杰锌汞合金车,bo'te'jie'xin'gong'he'jin'che
勃特雷斯型双密封套管,bo'te'lei'si'xing'shuang'mi'feng'tao'guan
伯特型圆筒压滤机,bo'te'xing'yuan'tong'ya'lv'ji
箔条,bo'tiao
博维尔重载铅基巴比合金,bo'wei'er'zhong'zai'qian'ji'ba'bi'he'jin
波形炭砖,bo'xing'tan'zhuan
波义耳查理定律,bo'yi'er'cha'li'ding'lv
波义耳马瑞奥特定律,bo'yi'er'ma'rui'ao'te'ding'lv
不变的,bu'bian'de
不变点,bu'bian'dian
不变点反应,bu'bian'dian'fan'ying
不变平衡,bu'bian'ping'heng
不变系统,bu'bian'xi'tong
不变性,bu'bian'xing
补偿绕组,bu'chang'rao'zu
捕尘袋,bu'chen'dai
补充舂实,bu'chong'chong'shi
不传导物质,bu'chuan'dao'wu'zhi
不纯,bu'chun
不纯的,bu'chun'de
不纯度,bu'chun'du
不纯黄金,bu'chun'huang'jin
不纯金属,bu'chun'jin'shu
不纯物质,bu'chun'wu'zhi
布登低压真空计,bu'deng'di'ya'zhen'kong'ji
布登管,bu'deng'guan
布登真空计,bu'deng'zhen'kong'ji
不定常数,bu'ding'chang'shu
不定积分,bu'ding'ji'fen
不定积分法,bu'ding'ji'fen'fa
不对称线圈,bu'dui'chen'xian'quan
布多,bu'duo
布尔代数,bu'er'dai'shu
布尔加斯钢厂,bu'er'jia'si'gang'chang
布尔库法,bu'er'ku'fa
布尔压力计,bu'er'ya'li'ji
布尔运算表,bu'er'yun'suan'biao
部分,bu'fen
部分组合泥芯,bu'fen'zu'he'ni'xin
布福卡斯特铁硅合金,bu'fu'ka'si'te'tie'gui'he'jin
布格定律,bu'ge'ding'lv
不规则变化,bu'gui'ze'bian'hua
不规则断裂,bu'gui'ze'duan'lie
不规则断面,bu'gui'ze'duan'mian
不规则废钢铁,bu'gui'ze'fei'gang'tie
不规则分布,bu'gui'ze'fen'bu
不规则粉末,bu'gui'ze'fen'mo
不规则结块,bu'gui'ze'jie'kuai
不规则颗粒,bu'gui'ze'ke'li
不规则颗粒形状,bu'gui'ze'ke'li'xing'zhuang
不规则螺型位错,bu'gui'ze'luo'xing'wei'cuo
不规则刃型位错,bu'gui'ze'ren'xing'wei'cuo
不规则位错,bu'gui'ze'wei'cuo
不规则线圈,bu'gui'ze'xian'quan
不规则性,bu'gui'ze'xing
不规则珠光体,bu'gui'ze'zhu'guang'ti
补焊,bu'han
不含氯的,bu'han'lv'de
不含碳的,bu'han'tan'de
不含碳酸盐的炉料,bu'han'tan'suan'yan'de'lu'liao
不含铁的,bu'han'tie'de
布赫霍尔茨艾里克森杯突试验机,bu'he'huo'er'ci'ai'li'ke'sen'bei'tu'shi'yan'ji
布赫霍尔茨继电器,bu'he'huo'er'ci'ji'dian'qi
不挥发的,bu'hui'fa'de
不挥发物,bu'hui'fa'wu
不混溶金属,bu'hun'rong'jin'shu
不混溶溶剂,bu'hun'rong'rong'ji
不混溶液相,bu'hun'rong'ye'xiang
捕获,bu'huo
不活动的滑移系统,bu'huo'dong'de'hua'yi'xi'tong
不活泼,bu'huo'po
不活泼的,bu'huo'po'de
不活泼气体,bu'huo'po'qi'ti
捕集,bu'ji
布基光阑,bu'ji'guang'lan
捕集器,bu'ji'qi
捕集速度,bu'ji'su'du
不加热炉,bu'jia're'lu
补焦,bu'jiao
不接地中点,bu'jie'di'zhong'dian
不精密的,bu'jing'mi'de
不精确,bu'jing'que
不精确性,bu'jing'que'xing
不经热风炉的倒流休风系统,bu'jing're'feng'lu'de'dao'liu'xiu'feng'xi'tong
不均匀变形,bu'jun'yun'bian'xing
不均匀场,bu'jun'yun'chang
不均匀的,bu'jun'yun'de
不均匀点阵转动,bu'jun'yun'dian'zhen'zhuan'dong
不均匀范性流变,bu'jun'yun'fan'xing'liu'bian
不均匀滑移,bu'jun'yun'hua'yi
不均匀加热,bu'jun'yun'jia're
不均匀运动,bu'jun'yun'yun'dong
不均匀状态,bu'jun'yun'zhuang'tai
不可变通性,bu'ke'bian'tong'xing
不可测量法,bu'ke'ce'liang'fa
不可撤销信用证,bu'ke'che'xiao'xin'yong'zheng
不可穿透性,bu'ke'chuan'tou'xing
不可锻的,bu'ke'duan'de
不可分的,bu'ke'fen'de
不可还原矿,bu'ke'hai'yuan'kuang
不可毁的,bu'ke'hui'de
不可毁性,bu'ke'hui'xing
不可见光,bu'ke'jian'guang
不可见光波长,bu'ke'jian'guang'bo'chang
不可见光过滤片,bu'ke'jian'guang'guo'lv'pian
不可见光谱,bu'ke'jian'guang'pu
不可见性,bu'ke'jian'xing
不可开拓的形变,bu'ke'kai'tuo'de'xing'bian
不可逆变化,bu'ke'ni'bian'hua
不可逆操纵,bu'ke'ni'cao'zong
不可逆磁化,bu'ke'ni'ci'hua
不可逆磁性时效,bu'ke'ni'ci'xing'shi'xiao
不可逆的,bu'ke'ni'de
不可逆过程,bu'ke'ni'guo'cheng
不可逆交换,bu'ke'ni'jiao'huan
不可逆凝聚过程,bu'ke'ni'ning'ju'guo'cheng
不可逆热力学,bu'ke'ni're'li'xue
不可逆吸附,bu'ke'ni'xi'fu
不可逆性,bu'ke'ni'xing
不可逆转变,bu'ke'ni'zhuan'bian
不可溶的,bu'ke'rong'de
不可溶性,bu'ke'rong'xing
不可渗透性,bu'ke'shen'tou'xing
不可提取的,bu'ke'ti'qu'de
不可弯曲的,bu'ke'wan'qu'de
不可压缩材料,bu'ke'ya'suo'cai'liao
不可压缩的,bu'ke'ya'suo'de
不可压缩性,bu'ke'ya'suo'xing
不可氧化的,bu'ke'yang'hua'de
不可约性,bu'ke'yue'xing
不可转换,bu'ke'zhuan'huan
不可转换性,bu'ke'zhuan'huan'xing
布拉德邓恩电解酸洗法,bu'la'de'deng'en'dian'jie'suan'xi'fa
布喇菲点阵,bu'la'fei'dian'zhen
布喇菲晶格符号,bu'la'fei'jing'ge'fu'hao
布喇菲唐尼哈克定则,bu'la'fei'tang'ni'ha'ke'ding'ze
布喇格电离分光计,bu'la'ge'dian'li'fen'guang'ji
布喇格电离光谱计,bu'la'ge'dian'li'guang'pu'ji
布喇格定律,bu'la'ge'ding'lv
布喇格反射,bu'la'ge'fan'she
布喇格反射公式,bu'la'ge'fan'she'gong'shi
布喇格方程,bu'la'ge'fang'cheng
布喇格峰,bu'la'ge'feng
布剌格峰值强度,bu'la'ge'feng'zhi'qiang'du
布喇格关系,bu'la'ge'guan'xi
布喇格角,bu'la'ge'jiao
布喇格散射,bu'la'ge'san'she
布喇格条件,bu'la'ge'tiao'jian
布喇格威廉斯理论,bu'la'ge'wei'lian'si'li'lun
布喇格衍射圆锥,bu'la'ge'yan'she'yuan'zhui
布喇格最大值,bu'la'ge'zui'da'zhi
布喇开系,bu'la'kai'xi
布拉克尔斯堡球团矿制法,bu'la'ke'er'si'bao'qiu'tuan'kuang'zhi'fa
布拉塞特铁粉热压法,bu'la'sai'te'tie'fen're'ya'fa
布拉斯韦公司钢管分公司,bu'la'si'wei'gong'si'gang'guan'fen'gong'si
布拉斯韦公司光亮棒材分公司,bu'la'si'wei'gong'si'guang'liang'bang'cai'fen'gong'si
布莱恩比表面积,bu'lai'en'bi'biao'mian'ji
