安宁舒适,an'ning'shu'shi
当时的尼采,dang'shi'de'ni'cai
当时华格纳,dang'shi'hua'ge'na
道德的系谱,dao'de'de'xi'pu
到莱比锡,dao'lai'bi'xi
的第二部分,de'di'er'bu'fen
的第四部分,de'di'si'bu'fen
的第一,de'di'yi
的第一部,de'di'yi'bu
的东西,de'dong'xi
德法开战,de'fa'kai'zhan
的构思,de'gou'si
德国人的,de'guo'ren'de
德国语言学家,de'guo'yu'yan'xue'jia
的继承者,de'ji'cheng'zhe
的角度着眼,de'jiao'du'zhuo'yan
的精英和当地,de'jing'ying'he'dang'di
的年轻人,de'nian'qing'ren
的排斥,de'pai'chi
的片断,de'pian'duan
的骑兵,de'qi'bing
的清晰,de'qing'xi
的泉水,de'quan'shui
的热爱,de're'ai
的人物,de'ren'wu
的神圣日子里,de'shen'sheng'ri'zi'li
的生活,de'sheng'huo
的时期,de'shi'qi
的思想,de'si'xiang
的消息,de'xiao'xi
的新宠,de'xin'chong
德意志的民族精神,de'yi'zhi'de'min'zu'jing'shen
的预言,de'yu'yan
的重要性,de'zhong'yao'xing
地穿城而过,di'chuan'cheng'er'guo
第二部分,di'er'bu'fen
低劣哲学家,di'lie'zhe'xue'jia
第三部分,di'san'bu'fen
第一部,di'yi'bu
第一部专著,di'yi'bu'zhuan'zhu
都处在它之下,dou'chu'zai'ta'zhi'xia
都对他敞开,dou'dui'ta'chang'kai
杜森,du'sen
对古文字文学,dui'gu'wen'zi'wen'xue
而半途夭折,er'ban'tu'yao'zhe
而另一个,er'ling'yi'ge
而且他,er'qie'ta
而且也是,er'qie'ye'shi
而且这样年轻,er'qie'zhe'yang'nian'qing
而是表现于一种,er'shi'biao'xian'yu'yi'zhong
发表就职演说,fa'biao'jiu'zhi'yan'shuo
发表之后,fa'biao'zhi'hou
发出的声音将,fa'chu'de'sheng'yin'jiang
发出忠告,fa'chu'zhong'gao
发展的最大障碍,fa'zhan'de'zui'da'zhang'ai
反潮流,fan'chao'liu
反潮流的气息,fan'chao'liu'de'qi'xi
反基督徒,fan'ji'du'tu
放下去的,fang'xia'qu'de
费希特,fei'xi'te
福格特,fu'ge'te
弗兰茨,fu'lan'ci
赋予生命,fu'yu'sheng'ming
高山气息的书,gao'shan'qi'xi'de'shu
歌剧巨人,ge'ju'ju'ren
各沙文主义大学,ge'sha'wen'zhu'yi'da'xue
各种公式,ge'zhong'gong'shi
各种具有,ge'zhong'ju'you
更是一名贵族,geng'shi'yi'ming'gui'zu
古典语言学,gu'dian'yu'yan'xue
古典语言学老师,gu'dian'yu'yan'xue'lao'shi
古典语言学系副教授,gu'dian'yu'yan'xue'xi'fu'jiao'shou
古典主义艺术,gu'dian'zhu'yi'yi'shu
惯于支持,guan'yu'zhi'chi
国立大学,guo'li'da'xue
哈特曼那里,ha'te'man'na'li
害怕为何物,hai'pa'wei'he'wu
荷马和古典语言学,he'ma'he'gu'dian'yu'yan'xue
和色当,he'se'dang
核心财富的深处,he'xin'cai'fu'de'shen'chu
后来他,hou'lai'ta
后以未完成的,hou'yi'wei'wan'cheng'de
华格纳称为,hua'ge'na'cheng'wei
华格纳在拜罗伊特,hua'ge'na'zai'bai'luo'yi'te
华格纳主持的,hua'ge'na'zhu'chi'de
欢乐和痛苦,huan'le'he'tong'ku
会被现世所抛弃,hui'bei'xian'shi'suo'pao'qi
会庇护,hui'bi'hu
会成为第一流的,hui'cheng'wei'di'yi'liu'de
即便是哲学家,ji'bian'shi'zhe'xue'jia
激情地,ji'qing'de
汲取了,ji'qu'le
给予人类的,ji'yu'ren'lei'de
家的大门,jia'de'da'men
加斯特,jia'si'te
教育家叔本华,jiao'yu'jia'shu'ben'hua
结合起来,jie'he'qi'lai
进入波恩,jin'ru'bo'en
精通和弘扬,jing'tong'he'hong'yang
经验告诉我们,jing'yan'gao'su'wo'men
就此止步,jiu'ci'zhi'bu
就是战斗,jiu'shi'zhan'dou
就已经如此成熟,jiu'yi'jing'ru'ci'cheng'shu
具有神秘性,ju'you'shen'mi'xing
决不表现在,jue'bu'biao'xian'zai
军容整齐,jun'rong'zheng'qi
开始哲学沉思了,kai'shi'zhe'xue'chen'si'le
看那这人,kan'na'zhe'ren
可怜的生活理想感兴趣,ke'lian'de'sheng'huo'li'xiang'gan'xing'qu
可怕的疾病,ke'pa'de'ji'bing
科学世界,ke'xue'shi'jie
狂热的喝彩声,kuang're'de'he'cai'sheng
了第三部分,le'di'san'bu'fen
例如瑞士著名,li'ru'rui'shi'zhu'ming
离它无限遥远,li'ta'wu'xian'yao'yuan
理想和,li'xiang'he
李谢尔思,li'xie'er'si
李谢尔思第一个,li'xie'er'si'di'yi'ge
李谢尔思向,li'xie'er'si'xiang
两个集子,liang'ge'ji'zi
两个主要思想体系中的一个,liang'ge'zhu'yao'si'xiang'ti'xi'zhong'de'yi'ge
两人很快,liang'ren'hen'kuai
领导的,ling'dao'de
灵感如潮水般涌出,ling'gan'ru'chao'shui'ban'yong'chu
论历史对生命的损益,lun'li'shi'dui'sheng'ming'de'sun'yi
每个吊桶,mei'ge'diao'tong
美妙的想象力,mei'miao'de'xiang'xiang'li
没有任何,mei'you'ren'he
描述某种奇迹,miao'shu'mou'zhong'qi'ji
末人,mo'ren
那样的天才,na'yang'de'tian'cai
尼采被聘为巴塞尔大学,ni'cai'bei'pin'wei'ba'sai'er'da'xue
尼采被聘为正教授,ni'cai'bei'pin'wei'zheng'jiao'shou
尼采并不,ni'cai'bing'bu
尼采重返巴塞尔,ni'cai'chong'fan'ba'sai'er
尼采初次到,ni'cai'chu'ci'dao
尼采出席了,ni'cai'chu'xi'le
尼采反驳华格纳,ni'cai'fan'bo'hua'ge'na
尼采非常困惑,ni'cai'fei'chang'kun'huo
尼采还,ni'cai'hai
尼采和,ni'cai'he
尼采结识了音乐家彼德,ni'cai'jie'shi'le'yin'yue'jia'bi'de
尼采评价,ni'cai'ping'jia
尼采是位天才,ni'cai'shi'wei'tian'cai
尼采完成了,ni'cai'wan'cheng'le
尼采写了,ni'cai'xie'le
尼采也,ni'cai'ye
尼采一生中,ni'cai'yi'sheng'zhong
尼采一样,ni'cai'yi'yang
尼采又,ni'cai'you
尼采有,ni'cai'you
尼采在悲剧的诞生,ni'cai'zai'bei'ju'de'dan'sheng
尼采在修养和气质上,ni'cai'zai'xiu'yang'he'qi'zhi'shang
尼采在这部著作中,ni'cai'zai'zhe'bu'zhu'zuo'zhong
尼采哲学,ni'cai'zhe'xue
尼采主动,ni'cai'zhu'dong
年完成,nian'wan'cheng
年完成了,nian'wan'cheng'le
您会说,nin'hui'shuo
扭伤了胸肌,niu'shang'le'xiong'ji
偶像的黄昏,ou'xiang'de'huang'hun
偏僻角落,pian'pi'jiao'luo
平民政治,ping'min'zheng'zhi
齐格弗里德,qi'ge'fu'li'de
其伟大的著作,qi'wei'da'de'zhu'zuo
前所未有的,qian'suo'wei'you'de
强力意志,qiang'li'yi'zhi
巧妙地同,qiao'miao'de'tong
情况急转直下,qing'kuang'ji'zhuan'zhi'xia
青年语言学家,qing'nian'yu'yan'xue'jia
趋向权力的意志,qu'xiang'quan'li'de'yi'zhi
全部被搬上舞台,quan'bu'bei'ban'shang'wu'tai
圈子里的宠儿,quan'zi'li'de'chong'er
人的全部事实,ren'de'quan'bu'shi'shi
人们一定会,ren'men'yi'ding'hui
如此早熟,ru'ci'zao'shu
如果上帝,ru'guo'shang'di
瑞士卢塞恩,rui'shi'lu'sai'en
萨多瓦,sa'duo'wa
善恶的彼岸,shan'e'de'bi'an
上流社会,shang'liu'she'hui
神话中,shen'hua'zhong
审美的意义,shen'mei'de'yi'yi
深深体会到,shen'shen'ti'hui'dao
身心崩溃,shen'xin'beng'kui
身心都很顽强,shen'xin'dou'hen'wan'qiang
神学家,shen'xue'jia
神学家弗兰茨,shen'xue'jia'fu'lan'ci
甚至把,shen'zhi'ba
生存斗争,sheng'cun'dou'zheng
生存斗争中,sheng'cun'dou'zheng'zhong
生命意志,sheng'ming'yi'zhi
时就,shi'jiu
十年是,shi'nian'shi
施皮尔,shi'pi'er
是取之不尽用之不竭,shi'qu'zhi'bu'jin'yong'zhi'bu'jie
是叔本华,shi'shu'ben'hua
实证科学,shi'zheng'ke'xue
首次提出的,shou'ci'ti'chu'de
手稿出版,shou'gao'chu'ban
首届拜罗依特音乐节,shou'jie'bai'luo'yi'te'yin'yue'jie
首先聆听出自,shou'xian'ling'ting'chu'zi
摔下来,shuai'xia'lai
司汤达,si'tang'da
司汤达曾,si'tang'da'ceng
斯特劳斯,si'te'lao'si
思想体系,si'xiang'ti'xi
岁的尼采应征入伍,sui'de'ni'cai'ying'zheng'ru'wu
虽然年纪不大但已经,sui'ran'nian'ji'bu'da'dan'yi'jing
随之到了那里,sui'zhi'dao'le'na'li
所谓教主在布道,suo'wei'jiao'zhu'zai'bu'dao
所以他,suo'yi'ta
所以他对,suo'yi'ta'dui
所有贵族,suo'you'gui'zu
他不再满足于,ta'bu'zai'man'zu'yu
他称华格纳为,ta'cheng'hua'ge'na'wei
他成为,ta'cheng'wei
他从不知道,ta'cong'bu'zhi'dao
他的导师,ta'de'dao'shi
他的朋友,ta'de'peng'you
他发表了,ta'fa'biao'le
他将来,ta'jiang'lai
他结识了,ta'jie'shi'le
他今年,ta'jin'nian
他敬爱的,ta'jing'ai'de
他看到一队,ta'kan'dao'yi'dui
它来自真理,ta'lai'zi'zhen'li
他猛烈抨击,ta'meng'lie'peng'ji
他热爱,ta're'ai
他热爱巴赫贝多芬,ta're'ai'ba'he'bei'duo'fen
他是近视眼,ta'shi'jin'shi'yan
他是莱比锡,ta'shi'lai'bi'xi
它是我,ta'shi'wo
他完成了,ta'wan'cheng'le
他也就是个奇迹,ta'ye'jiu'shi'ge'qi'ji
他毅然攻击,ta'yi'ran'gong'ji
他在巴塞尔大学,ta'zai'ba'sai'er'da'xue
他在以后,ta'zai'yi'hou
泰希米勒,tai'xi'mi'le
特利普,te'li'pu
体现在他,ti'xian'zai'ta
同时既可爱,tong'shi'ji'ke'ai
同时也,tong'shi'ye
同一性的永恒轮回,tong'yi'xing'de'yong'heng'lun'hui
突然间尼采的,tu'ran'jian'ni'cai'de
推荐他,tui'jian'ta
瓦格纳事件,wa'ge'na'shi'jian
完成了,wan'cheng'le
为何像,wei'he'xiang
为何只,wei'he'zhi
维拉莫维茨,wei'la'mo'wei'ci
唯物主义论文,wei'wu'zhu'yi'lun'wen
惟一真正,wei'yi'zhen'zheng
唯意志论,wei'yi'zhi'lun
文化艺术史学家,wen'hua'yi'shu'shi'xue'jia
我第一次感到,wo'di'yi'ci'gan'dao
我可预言,wo'ke'yu'yan
我亲眼目睹了这么多,wo'qin'yan'mu'du'le'zhe'me'duo
我一来到世上,wo'yi'lai'dao'shi'shang
我这是在,wo'zhe'shi'zai
无不满载金银珠宝而归,wu'bu'man'zai'jin'yin'zhu'bao'er'gui
无故伤害,wu'gu'shang'hai
希腊悲剧哲学,xi'la'bei'ju'zhe'xue
希腊诗人,xi'la'shi'ren
吸引尼采,xi'yin'ni'cai
鲜明特点,xian'ming'te'dian
响彻千年,xiang'che'qian'nian
相对愉快,xiang'dui'yu'kuai
向世间预言,xiang'shi'jian'yu'yan
像这位,xiang'zhe'wei
谢林的,xie'lin'de
信念和,xin'nian'he
心中的偶像,xin'zhong'de'ou'xiang
形象就是,xing'xiang'jiu'shi
雄赳赳气昂昂,xiong'jiu'jiu'qi'ang'ang
许多年长和年轻的朋友,xu'duo'nian'chang'he'nian'qing'de'peng'you
需要激情,xu'yao'ji'qing
雅可布,ya'ke'bu
要过一种,yao'guo'yi'zhong
要求上前线在途经法兰克福时,yao'qiu'shang'qian'xian'zai'tu'jing'fa'lan'ke'fu'shi
也被认为,ye'bei'ren'wei
也要去当兵,ye'yao'qu'dang'bing
以此抨击,yi'ci'peng'ji
一个国家,yi'ge'guo'jia
以及后来,yi'ji'hou'lai
艺术的奠基人,yi'shu'de'dian'ji'ren
艺术著作,yi'shu'zhu'zuo
一所住宅,yi'suo'zhu'zhai
一夜一部地,yi'ye'yi'bu'di
意义问题,yi'yi'wen'ti
因此它,yin'ci'ta
引来了一片,yin'lai'liao'yi'pian
永远也不会有,yong'yuan'ye'bu'hui'you
有节制的,you'jie'zhi'de
又谦虚,you'qian'xu
又是寡妇的独子,you'shi'gua'fu'de'du'zi
有一个年轻人,you'yi'ge'nian'qing'ren
由于他的,you'yu'ta'de
幼稚的,you'zhi'de
愚笨的自得,yu'ben'de'zi'de
与冷静,yu'leng'jing
与强力意志混合物的,yu'qiang'li'yi'zhi'hun'he'wu'de
语言学家,yu'yan'xue'jia
语言学家圈子,yu'yan'xue'jia'quan'zi
在巴塞尔,zai'ba'sai'er
在行军中,zai'hang'jun'zhong
在书架的,zai'shu'jia'de
在我的著作中,zai'wo'de'zhu'zuo'zhong
在校学习,zai'xiao'xue'xi
在这部著作中,zai'zhe'bu'zhu'zuo'zhong
在这部作品中,zai'zhe'bu'zuo'pin'zhong
遭到了,zao'dao'le
战斗意志,zhan'dou'yi'zhi
占有特殊的地位,zhan'you'te'shu'de'di'wei
这部著作,zhe'bu'zhu'zuo
这充分地,zhe'chong'fen'di
这个青年,zhe'ge'qing'nian
这时的他,zhe'shi'de'ta
这是他的,zhe'shi'ta'de
这是伟大哲学家,zhe'shi'wei'da'zhe'xue'jia
这是一部杰出的,zhe'shi'yi'bu'jie'chu'de
这些都没能,zhe'xie'dou'mei'neng
哲学思想,zhe'xue'si'xiang
哲学著作,zhe'xue'zhu'zuo
哲学作品,zhe'xue'zuo'pin
这样的人国家总是惧怕他们,zhe'yang'de'ren'guo'jia'zong'shi'ju'pa'ta'men
这样一种,zhe'yang'yi'zhong
这也是一部,zhe'ye'shi'yi'bu
这种平静的,zhe'zhong'ping'jing'de
这里整个,zhei'li'zheng'ge
真正散发,zhen'zheng'san'fa
拯救人生,zheng'jiu'ren'sheng
之口的,zhi'kou'de
至强至高的,zhi'qiang'zhi'gao'de
至强至高的生命意志,zhi'qiang'zhi'gao'de'sheng'ming'yi'zhi
中热情,zhong're'qing
著名的,zhu'ming'de
自己的喜好,zi'ji'de'xi'hao
自己这部著作,zi'ji'zhe'bu'zhu'zuo
自身智慧,zi'shen'zhi'hui
自我吹嘘,zi'wo'chui'xu
最后一部分,zui'hou'yi'bu'fen
最平静,zui'ping'jing
最深刻的书,zui'shen'ke'de'shu
最受尊敬的典范,zui'shou'zun'jing'de'dian'fan
最伟大的馈赠,zui'wei'da'de'kui'zeng
左右世界,zuo'you'shi'jie
