安塞,an'sai
延安呢,yan'an'ne
延安人,yan'an'ren
延安市,yan'an'shi
延百,yan'bai
延长石油,yan'chang'shi'you
延长县,yan'chang'xian
延川,yan'chuan
延川县,yan'chuan'xian
延大,yan'da
延大附院,yan'da'fu'yuan
燕沟,yan'gou
延河,yan'he
沿河湾,yan'he'wan
阎良区,yan'liang'qu
延园,yan'yuan
延职,yan'zhi
扬大,yang'da
秧歌,yang'ge
杨家岭,yang'jia'ling
洋芋擦擦,yang'yu'ca'ca
姚店,yao'dian
窑洞,yao'dong
也好着了,ye'hao'zhe'le
夜机,ye'ji
也能了,ye'neng'le
一半次,yi'ban'ci
宜川,yi'chuan
宜川县,yi'chuan'xian
宜川中学,yi'chuan'zhong'xue
一大队,yi'da'dui
宜君,yi'jun
一满,yi'man
尹家沟,yin'jia'gou
永平,yong'ping
油井,you'jing
油矿,you'kuang
油田公司,you'tian'gong'si
玉家湾,yu'jia'wan
榆林,yu'lin
榆林市,yu'lin'shi
玉章楼,yu'zhang'lou
原上,yuan'shang
咋表,za'biao
咋不咋,za'bu'za
咋个事,za'ge'shi
杂技,za'ji
杂家,za'jia
咋接,za'jie
咋兰,za'lan
咋两,za'liang
咋咋,za'za
再的,zai'de
在黄陵,zai'huang'ling
在拉了,zai'la'le
在临潼,zai'lin'tong
在洛川,zai'luo'chuan
在晚安,zai'wan'an
在延安,zai'yan'an
在榆林,zai'yu'lin
灶房,zao'fang
枣园,zao'yuan
枣园路,zao'yuan'lu
张家沟,zhang'jia'gou
招安,zhao'an
找不哈,zhao'bu'ha
照井,zhao'jing
这半夜,zhe'ban'ye
着不,zhe'bu
着了,zhe'le
着了么,zhe'le'me
志丹,zhi'dan
志丹了,zhi'dan'le
志丹县,zhi'dan'xian
直罗,zhi'luo
治平,zhi'ping
中心街,zhong'xin'jie
住的了,zhu'de'le
驻地办,zhu'di'ban
住着了,zhu'zhe'le
砖窑湾,zhuan'yao'wan
子北,zi'bei
子长,zi'chang
子长人,zi'chang'ren
子长县,zi'chang'xian
子长的,zi'zhang'de
子长了,zi'zhang'le
走着了,zou'zhe'le
钻采,zuan'cai
做什么的了,zuo'shen'me'de'le
