阿赖耶识,a'lai'ye'shi
次第三能变,ci'di'san'neng'bian
慈恩,ci'en
慈恩疏主,ci'en'shu'zhu
此翻,ci'fan
此翻为,ci'fan'wei
慈航,ci'hang
慈航法师,ci'hang'fa'shi
此即无漏界,ci'ji'wu'lou'jie
此救,ci'jiu
此救不然,ci'jiu'bu'ran
此能变唯三,ci'neng'bian'wei'san
慈氏,ci'shi
此识,ci'shi
慈氏菩萨,ci'shi'pu'sa
次无自然性,ci'wu'zi'ran'xing
此心所遍行,ci'xin'suo'bian'xing
此中,ci'zhong
此诸法胜义,ci'zhu'fa'sheng'yi
匆遂,cong'sui
粗动,cu'dong
粗惑,cu'huo
粗猛,cu'meng
粗显,cu'xian
粗转,cu'zhuan
大乘阿毗达磨集论,da'cheng'a'pi'da'mo'ji'lun
大乘阿毗达磨杂集论,da'cheng'a'pi'da'mo'za'ji'lun
大慈恩寺,da'ci'en'si
大论,da'lun
大牟尼,da'mou'ni
大牟尼名法,da'mou'ni'ming'fa
达无少法,da'wu'shao'fa
大圆镜智,da'yuan'jing'zhi
大种,da'zhong
带相观心,dai'xiang'guan'xin
带质境,dai'zhi'jing
道理极成真实,dao'li'ji'cheng'zhen'shi
道圣谛,dao'sheng'di
刀杖,dao'zhang
得生,de'sheng
得食,de'shi
得最胜舍,dei'zui'sheng'she
等持,deng'chi
等流,deng'liu
等流果,deng'liu'guo
等流习气,deng'liu'xi'qi
等流种子,deng'liu'zhong'zi
等无间缘,deng'wu'jian'yuan
等无间缘依,deng'wu'jian'yuan'yi
等言,deng'yan
等用,deng'yong
第八识,di'ba'shi
谛观,di'guan
第六识,di'liu'shi
第七识,di'qi'shi
谛现观,di'xian'guan
地狱喻,di'yu'yu
地狱中不尔,di'yu'zhong'bu'er
点顿,dian'dun
掉举与惛沈,diao'ju'yu'hun'shen
定唯,ding'wei
定心所,ding'xin'suo
独影境,du'ying'jing
断障,duan'zhang
断障证得,duan'zhang'zheng'de
多身,duo'shen
多心相续缘起,duo'xin'xiang'xu'yuan'qi
多异熟性,duo'yi'shu'xing
恶取空者,e'qu'kong'zhe
恶友,e'you
而彼,er'bi
二重因果,er'chong'yin'guo
二粗重,er'cu'zhong
二谛,er'di
耳根,er'gen
二俱远离,er'ju'yuan'li
二空所显,er'kong'suo'xian
二空所显真如,er'kong'suo'xian'zhen'ru
二苦,er'ku
二能变,er'neng'bian
二取,er'qu
二取灭,er'qu'mie
二取随眠,er'qu'sui'mian
二取习气,er'qu'xi'qi
二取习气俱,er'qu'xi'qi'ju
二取相,er'qu'xiang
二取种,er'qu'zhong
耳识,er'shi
二十二根,er'shi'er'gen
二十论,er'shi'lun
二十三谛,er'shi'san'di
二十颂,er'shi'song
二十随烦恼,er'shi'sui'fan'nao
二十五谛,er'shi'wu'di
尔时住唯识,er'shi'zhu'wei'shi
二相,er'xiang
二因习气,er'yin'xi'qi
二执受,er'zhi'shou
二种烦恼,er'zhong'fan'nao
二种烦恼断果,er'zhong'fan'nao'duan'guo
二种解脱,er'zhong'jie'tuo
二种解脱成就,er'zhong'jie'tuo'cheng'jiu
二种空,er'zhong'kong
二种苦,er'zhong'ku
二种灭,er'zhong'mie
二种乞食,er'zhong'qi'shi
二种无我胜解,er'zhong'wu'wo'sheng'jie
二种杂染,er'zhong'za'ran
二种转依,er'zhong'zhuan'yi
二转依果,er'zhuan'yi'guo
法称,fa'cheng
法尔道理,fa'er'dao'li
法境,fa'jing
法士用,fa'shi'yong
法谓轨持,fa'wei'gui'chi
法相所摄,fa'xiang'suo'she
法性,fa'xing
法性身,fa'xing'shen
发蝇,fa'ying
范古农,fan'gu'nong
烦恼缠,fan'nao'chan
烦恼断果,fan'nao'duan'guo
烦恼谓贪瞋,fan'nao'wei'tan'chen
烦恼心所,fan'nao'xin'suo
烦恼障净智所行真实,fan'nao'zhang'jing'zhi'suo'xing'zhen'shi
烦恼障种,fan'nao'zhang'zhong
梵志,fan'zhi
放逸及失念,fang'yi'ji'shi'nian
非不见此彼,fei'bu'jian'ci'bi
非粗非染,fei'cu'fei'ran
非福业,fei'fu'ye
非量,fei'liang
非律仪,fei'lv'yi
非实住唯识,fei'shi'zhu'wei'shi
非无,fei'wu
非异非不异,fei'yi'fei'bu'yi
非一切时,fei'yi'qie'shi
非于,fei'yu
分别爱非爱缘起,fen'bie'ai'fei'ai'yuan'qi
分别所分别,fen'bie'suo'fen'bie
分别戏论,fen'bie'xi'lun
分别依,fen'bie'yi
分别缘所生,fen'bie'yuan'suo'sheng
分别自性缘起,fen'bie'zi'xing'yuan'qi
愤发,fen'fa
伏断,fu'duan
福非福,fu'fei'fu
伏灭,fu'mie
复生余异熟,fu'sheng'yu'yi'shu
福业,fu'ye
复有,fu'you
福智资粮,fu'zhi'zi'liang
感知器官,gan'zhi'qi'guan
根本依,gen'ben'yi
根尘三,gen'chen'san
根尘识,gen'chen'shi
根律仪,gen'lv'yi
根身,gen'shen
根身器,gen'shen'qi
共集,gong'ji
共相,gong'xiang
共许,gong'xu
故此与依他,gu'ci'yu'yi'ta
故佛密意说,gu'fo'mi'yi'shuo
故四义皆成,gu'si'yi'jie'cheng
故一切唯识,gu'yi'qie'wei'shi
观待道理,guan'dai'dao'li
诡诈,gui'zha
果变,guo'bian
果法,guo'fa
过慢,guo'man
果能变,guo'neng'bian
韩镜清,han'jing'qing
韩清净,han'qing'jing
合相观,he'xiang'guan
何义,he'yi
何因,he'yin
何缘,he'yuan
恨覆恼嫉悭,hen'fu'nao'ji'qian
恒转如瀑流,heng'zhuan'ru'pu'liu
后得智,hou'de'zhi
后二分,hou'er'fen
后三分,hou'san'fen
后由远离前,hou'you'yuan'li'qian
护法,hu'fa
互为因果,hu'wei'yin'guo
黄忏华,huang'chan'hua
慧解脱,hui'jie'tuo
慧心所,hui'xin'suo
慧沼,hui'zhao
或俱或不俱,huo'ju'huo'bu'ju
极安隐,ji'an'yin
极安隐故,ji'an'yin'gu
极成,ji'cheng
极成真实,ji'cheng'zhen'shi
即处时决定,ji'chu'shi'jue'ding
积集,ji'ji
及了别境识,ji'le'bie'jing'shi
集论,ji'lun
即灭,ji'mie
及涅槃证得,ji'nie'pan'zheng'de
济群,ji'qun
济群法师,ji'qun'fa'shi
极善,ji'shan
极善思择,ji'shan'si'ze
及少品类,ji'shao'pin'lei
集圣谛,ji'sheng'di
即唯识实性,ji'wei'shi'shi'xing
及无心二定,ji'wu'xin'er'ding
即依此三性,ji'yi'ci'san'xing
及余触等俱,ji'yu'chu'deng'ju
极重,ji'zhong
加行,jia'hang
加行无间,jia'hang'wu'jian
加行智,jia'hang'zhi
假立,jia'li
假立自性,jia'li'zi'xing
假实,jia'shi
假实分别,jia'shi'fen'bie
假说自性,jia'shuo'zi'xing
假言自性,jia'yan'zi'xing
简别,jian'bie
简非,jian'fei
简非种识,jian'fei'zhong'shi
见分,jian'fen
见惑,jian'huo
见思二惑,jian'si'er'huo
见相,jian'xiang
见相二分,jian'xiang'er'fen
坚住,jian'zhu
坚住性,jian'zhu'xing
讲记,jiang'ji
皆不应成,jie'bu'ying'cheng
界差别性,jie'cha'bie'xing
皆见,jie'jian
皆三受相应,jie'san'shou'xiang'ying
解深密经,jie'shen'mi'jing
解深密经语体释,jie'shen'mi'jing'yu'ti'shi
解脱身,jie'tuo'shen
皆无自性,jie'wu'zi'xing
尽所有性,jin'suo'you'xing
境界依,jing'jie'yi
精进,jing'jin
精进心所,jing'jin'xin'suo
静虑,jing'lv
井上玄真,jing'shang'xuan'zhen
境相,jing'xiang
净智,jing'zhi
俱不俱起,ju'bu'ju'qi
俱解脱,ju'jie'tuo
具平等见,ju'ping'deng'jian
具平等心,ju'ping'deng'xin
俱起,ju'qi
俱生分别,ju'sheng'fen'bie
俱有,ju'you
俱有依,ju'you'yi
俱有因,ju'you'yin
卷八,juan'ba
卷二,juan'er
卷九,juan'jiu
卷六,juan'liu
卷七,juan'qi
卷三,juan'san
卷十,juan'shi
卷四,juan'si
卷五,juan'wu
卷一,juan'yi
觉音,jue'yin
绝诸戏论,jue'zhu'xi'lun
开导依,kai'dao'yi
苦空无我,ku'kong'wu'wo
苦圣谛,ku'sheng'di
苦唯是苦,ku'wei'shi'ku
诳谄与害憍,kuang'chan'yu'hai'jiao
窥基,kui'ji
愧心所,kui'xin'suo
赖耶识,lai'ye'shi
赖耶心,lai'ye'xin
劳虑,lao'lv
了别真如,le'bie'zhen'ru
了境,le'jing
了境为性相,le'jing'wei'xing'xiang
了境相粗,le'jing'xiang'cu
乐唯是乐,le'wei'shi'le
类别唯三,lei'bie'wei'san
立彼三无性,li'bi'san'wu'xing
离倒,li'dao
离二取相故,li'er'qu'xiang'gu
理教,li'jiao
理教推征,li'jiao'tui'zheng
利乐诸有情,li'le'zhu'you'qing
离识,li'shi
离系果,li'xi'guo
离相观,li'xiang'guan
离言法性,li'yan'fa'xing
离言自性,li'yan'zi'xing
利益安乐,li'yi'an'le
离有离无,li'you'li'wu
连带,lian'dai
量果,liang'guo
量论,liang'lun
林国良,lin'guo'liang
令彼永灭,ling'bi'yong'mie
令心,ling'xin
六根本烦恼,liu'gen'ben'fan'nao
六句义,liu'ju'yi
六识,liu'shi
六数内处,liu'shu'nei'chu
六数外处,liu'shu'wai'chu
流转真如,liu'zhuan'zhen'ru
龙树,long'shu
论曰,lun'yue
吕澂,lv'cheng
吕澄,lv'cheng
吕秋逸,lv'qiu'yi
律仪,lv'yi
满分清净者,man'fen'qing'jing'zhe
慢过慢,man'guo'man
满位,man'wei
慢心所,man'xin'suo
梅光曦,mei'guang'xi
昧劣,mei'lie
昧劣隐晦,mei'lie'yin'hui
寐时,mei'shi
弥勒菩萨,mi'le'pu'sa
秘吝,mi'lin
妙观察智,miao'guan'cha'zhi
灭圣谛,mie'sheng'di
名句文,ming'ju'wen
名目,ming'mu
名色,ming'se
名寻思,ming'xun'si
名言种子,ming'yan'zhong'zi
末那,mo'na
末那识,mo'na'shi
捺落迦,na'luo'jia
乃至未起识,nai'zhi'wei'qi'shi
难陀,nan'tuo
内识,nei'shi
内缘,nei'yuan
能变识,neng'bian'shi
能感,neng'gan
能量,neng'liang
能取识,neng'qu'shi
能诠,neng'quan
能为逼害事,neng'wei'bi'hai'shi
能熏,neng'xun
能熏法,neng'xun'fa
能熏四义,neng'xun'si'yi
能依,neng'yi
能引无漏智,neng'yin'wu'lou'zhi
能缘,neng'yuan
能缘势用,neng'yuan'shi'yong
能缘心,neng'yuan'xin
能作,neng'zuo
能作因,neng'zuo'yin
念心所,nian'xin'suo
涅槃资粮,nie'pan'zi'liang
暖顶,nuan'ding
暖顶忍世第一位,nuan'ding'ren'shi'di'yi'wei
欧阳渐,ou'yang'jian
欧阳竞无,ou'yang'jing'wu
毗昙,pi'tan
譬喻,pi'yu
品别边际,pin'bie'bian'ji
品类差别,pin'lei'cha'bie
平等性智,ping'deng'xing'zhi
菩萨地,pu'sa'di
菩提分,pu'ti'fen
气分,qi'fen
器界,qi'jie
七识,qi'shi
稽首唯识性,qi'shou'wei'shi'xing
其用,qi'yong
七真如,qi'zhen'ru
潜藏,qian'cang
悭吝,qian'lin
前六识,qian'liu'shi
前七,qian'qi
前七识,qian'qi'shi
前七转识,qian'qi'zhuan'shi
前五识,qian'wu'shi
前异熟既尽,qian'yi'shu'ji'jin
潜在,qian'zai
潜在的功能,qian'zai'de'gong'neng
潜在功能,qian'zai'gong'neng
勤安不放逸,qin'an'bu'fang'yi
亲胜,qin'sheng
亲生自果,qin'sheng'zi'guo
勤修习,qin'xiu'xi
亲因,qin'yin
亲因缘,qin'yin'yuan
亲因种子,qin'yin'zhong'zi
情本,qing'ben
清辨,qing'bian
清净真如,qing'jing'zhen'ru
清净种子,qing'jing'zhong'zi
轻拒,qing'ju
轻拒贤善,qing'ju'xian'shan
轻细,qing'xi
秋逸先生,qiu'yi'xian'sheng
求住,qiu'zhu
求住唯识性,qiu'zhu'wei'shi'xing
诠表,quan'biao
染净依,ran'jing'yi
染污意,ran'wu'yi
扰乱身心,rao'luan'shen'xin
饶益,rao'yi
忍境识空,ren'jing'shi'kong
忍辱,ren'ru
人士用,ren'shi'yong
认识与存在,ren'shi'yu'cun'zai
肉根,rou'gen
如次,ru'ci
如次当说,ru'ci'dang'shuo
入法无我,ru'fa'wu'wo
如梦损有用,ru'meng'sun'you'yong
如实观察,ru'shi'guan'cha
如是如是变,ru'shi'ru'shi'bian
如实智,ru'shi'zhi
如实知,ru'shi'zhi
如所有性,ru'suo'you'xing
如涛波依水,ru'tao'bo'yi'shui
如天上傍生,ru'tian'shang'bang'sheng
如无常等性,ru'wu'chang'deng'xing
入已善净,ru'yi'shan'jing
若劣若胜,ruo'lie'ruo'sheng
若人欲了知,ruo'ren'yu'le'zhi
若识无实境,ruo'shi'wu'shi'jing
若时于所缘,ruo'shi'yu'suo'yuan
三量,san'liang
散乱不正知,san'luan'bu'zheng'zhi
三世一切佛,san'shi'yi'qie'fo
三性,san'xing
三性分别,san'xing'fen'bie
三性诸法,san'xing'zhu'fa
三依,san'yi
色等想事,se'deng'xiang'shi
色法,se'fa
色境,se'jing
沙门果,sha'men'guo
善白,shan'bai
善不善俱非,shan'bu'shan'ju'fei
善常,shan'chang
善恶无记,shan'e'wu'ji
善净,shan'jing
善巧,shan'qiao
善取空者,shan'qu'kong'zhe
善入空性,shan'ru'kong'xing
善谓信惭愧,shan'wei'xin'can'kui
善心所,shan'xin'suo
上忍,shang'ren
摄大乘论,she'da'cheng'lun
舍二粗重故,she'er'cu'zhong'gu
舌根,she'gen
摄尽,she'jin
摄论,she'lun
舌识,she'shi
摄用归体,she'yong'gui'ti
深怖,shen'bu
身不定如鬼,shen'bu'ding'ru'gui
身根,shen'gen
深密,shen'mi
身识,shen'shi
深信解,shen'xin'jie
沈重,shen'zhong
圣谛现观,sheng'di'xian'guan
胜解,sheng'jie
胜解念定慧,sheng'jie'nian'ding'hui
胜解心所,sheng'jie'xin'suo
声境,sheng'jing
胜力,sheng'li
胜利功德,sheng'li'gong'de
胜论派,sheng'lun'pai
胜论师,sheng'lun'shi
生死相续,sheng'si'xiang'xu
声闻地,sheng'wen'di
生现,sheng'xian
胜义法性,sheng'yi'fa'xing
胜义自性,sheng'yi'zi'xing
胜用,sheng'yong
胜增上缘,sheng'zeng'shang'yuan
圣者离倒,sheng'zhe'li'dao
胜资粮,sheng'zi'liang
十八界,shi'ba'jie
识变,shi'bian
十重障,shi'chong'zhang
是出世间智,shi'chu'shi'jian'zhi
十大论师,shi'da'lun'shi
实德业,shi'de'ye
世第一法,shi'di'yi'fa
士夫,shi'fu
世间极成真实,shi'jian'ji'cheng'zhen'shi
世间真实,shi'jian'zhen'shi
世间智,shi'jian'zhi
势力,shi'li
势力强盛,shi'li'qiang'sheng
释量论,shi'liang'lun
世亲菩萨,shi'qin'pu'sa
世亲释,shi'qin'shi
施设,shi'she
十胜行,shi'sheng'xing
是识名末那,shi'shi'ming'mo'na
世俗串习,shi'su'chuan'xi
世俗谛,shi'su'di
世俗谛法,shi'su'di'fa
识所变,shi'suo'bian
识所变相,shi'suo'bian'xiang
世所共了,shi'suo'gong'le
是无覆无记,shi'wu'fu'wu'ji
实性,shi'xing
实义,shi'yi
十一善心所,shi'yi'shan'xin'suo
士用,shi'yong
士用果,shi'yong'guo
实有,shi'you
实有情,shi'you'qing
实有唯事,shi'you'wei'shi
实在性,shi'zai'xing
十真如,shi'zhen'ru
识中种,shi'zhong'zhong
是诸识转变,shi'zhu'shi'zhuan'bian
受逼害苦,shou'bi'hai'ku
受生死苦,shou'sheng'si'ku
受心所,shou'xin'suo
受熏,shou'xun
受用身,shou'yong'shen
数观察,shu'guan'cha
述记,shu'ji
数论派,shu'lun'pai
数论师,shu'lun'shi
疏亲缘,shu'qin'yuan
数摄,shu'she
数数,shu'shu
数数观察,shu'shu'guan'cha
数数思维,shu'shu'si'wei
数数修习,shu'shu'xiu'xi
数习,shu'xi
数习缘生,shu'xi'yuan'sheng
数修习,shu'xiu'xi
率尔,shuai'er
率尔而觉,shuai'er'er'jue
双言,shuang'yan
双印,shuang'yin
双印空相,shuang'yin'kong'xiang
睡眠与闷绝,shui'mian'yu'men'jue
顺解脱分,shun'jie'tuo'fen
顺抉择分,shun'jue'ze'fen
顺菩提分,shun'pu'ti'fen
顺益,shun'yi
顺益相,shun'yi'xiang
四阿含,si'a'han
四谛十六行,si'di'shi'liu'xing
四谛十六行观,si'di'shi'liu'xing'guan
四烦恼常俱,si'fan'nao'chang'ju
四分,si'fen
思惑,si'huo
四静虑,si'jing'lv
思量为性相,si'liang'wei'xing'xiang
思所成,si'suo'cheng
思所成地,si'suo'cheng'di
似外境现,si'wai'jing'xian
思心所,si'xin'suo
四缘,si'yuan
颂曰,song'yue
速疾,su'ji
酥瓶,su'ping
速证,su'zheng
随烦恼不定,sui'fan'nao'bu'ding
随烦恼谓忿,sui'fan'nao'wei'fen
随眠,sui'mian
随能随力,sui'neng'sui'li
随顺假立,sui'shun'jia'li
随顺世俗串习,sui'shun'shi'su'chuan'xi
随所生所系,sui'suo'sheng'suo'xi
虽无量种,sui'wu'liang'zhong
随一,sui'yi
所表,suo'biao
所籍,suo'ji
所籍缘少,suo'ji'yuan'shao
所量,suo'liang
所取境,suo'qu'jing
所诠,suo'quan
所摄,suo'she
所生苦,suo'sheng'ku
所生乐,suo'sheng'le
所显,suo'xian
所现,suo'xian
所行,suo'xing
所行境,suo'xing'jing
所行境界,suo'xing'jing'jie
所行义,suo'xing'yi
所行义故,suo'xing'yi'gu
所行真实,suo'xing'zhen'shi
所学差别,suo'xue'cha'bie
所熏,suo'xun
所熏法,suo'xun'fa
所熏四义,suo'xun'si'yi
所引如实智,suo'yin'ru'shi'zhi
所缘,suo'yuan
所缘事不同,suo'yuan'shi'bu'tong
所缘缘,suo'yuan'yuan
所执,suo'zhi
所执傍生鬼,suo'zhi'bang'sheng'gui
所知边界,suo'zhi'bian'jie
所执我法性,suo'zhi'wo'fa'xing
所知障净智所行真实,suo'zhi'zhang'jing'zhi'suo'xing'zhen'shi
所知障种,suo'zhi'zhang'zhong
太虚空,tai'xu'kong
贪心所,tan'xin'suo
唐大圆,tang'da'yuan
唐思鹏,tang'si'peng
唐仲容,tang'zhong'rong
体非虚谬,ti'fei'xu'miu
提婆,ti'po
体相,ti'xiang
天亲菩萨,tian'qin'pu'sa
铁地,tie'di
同处同时,tong'chu'tong'shi
同等流类,tong'deng'liu'lei
同见脓河等,tong'jian'nong'he'deng
同见狱卒等,tong'jian'yu'zu'deng
同境依,tong'jing'yi
同类因,tong'lei'yin
同业异熟,tong'ye'yi'shu
同一处时,tong'yi'chu'shi
同一属性,tong'yi'shu'xing
托众缘生,tuo'zhong'yuan'sheng
外法,wai'fa
外境,wai'jing
外缘,wai'yuan
王恩洋,wang'en'yang
未达,wei'da
味境,wei'jing
唯了别,wei'le'bie
唯量,wei'liang
微妙,wei'miao
唯名,wei'ming
违逆,wei'ni
违轻细故,wei'qing'xi'gu
唯认识,wei'ren'shi
唯事,wei'shi
唯是,wei'shi
唯识,wei'shi
唯识二十论,wei'shi'er'shi'lun
唯识二十颂,wei'shi'er'shi'song
唯识三十颂,wei'shi'san'shi'song
唯识三十颂讲记,wei'shi'san'shi'song'jiang'ji
唯识所变,wei'shi'suo'bian
唯识位,wei'shi'wei
谓是唯识性,wei'shi'wei'shi'xing
唯识相,wei'shi'xiang
唯识相性,wei'shi'xiang'xing
唯识性,wei'shi'xing
唯识性相,wei'shi'xing'xiang
唯识指掌,wei'shi'zhi'zhang
谓体无漏,wei'ti'wu'lou
谓我痴我见,wei'wo'chi'wo'jian
违细轻故,wei'xi'qing'gu
惟贤,wei'xian
为性,wei'xing
为业,wei'ye
谓一切法,wei'yi'qie'fa
谓异熟思量,wei'yi'shu'si'liang
唯有诸蕴可得,wei'you'zhu'yun'ke'de
唯遮外境,wei'zhe'wai'jing
问难,wen'nan
闻所成,wen'suo'cheng
闻所成地,wen'suo'cheng'di
我不可得,wo'bu'ke'de
我法,wo'fa
我法自性,wo'fa'zi'xing
我分别,wo'fen'bie
我今释彼说,wo'jin'shi'bi'shuo
我所分别,wo'suo'fen'bie
我谓主宰,wo'wei'zhu'zai
我我所分别,wo'wo'suo'fen'bie
无边稀有,wu'bian'xi'you
五遍行,wu'bian'xing
五别境,wu'bie'jing
无惭及无愧,wu'can'ji'wu'kui
无倒建立,wu'dao'jian'li
无倒作意,wu'dao'zuo'yi
无得不思议,wu'de'bu'si'yi
无二所显,wu'er'suo'xian
无分别智,wu'fen'bie'zhi
无覆,wu'fu
无覆无记,wu'fu'wu'ji
无记,wu'ji
无记种子,wu'ji'zhong'zi
无量义,wu'liang'yi
无漏,wu'lou
无漏法,wu'lou'fa
无漏根本智,wu'lou'gen'ben'zhi
无漏后得世间智,wu'lou'hou'de'shi'jian'zhi
无漏后得智,wu'lou'hou'de'zhi
无漏善法,wu'lou'shan'fa
无漏无为法,wu'lou'wu'wei'fa
无漏有为法,wu'lou'you'wei'fa
无漏智,wu'lou'zhi
无能取,wu'neng'qu
悟入觉慧,wu'ru'jue'hui
五识,wu'shi
寤时,wu'shi
无始,wu'shi
无始时来界,wu'shi'shi'lai'jie
五识随缘现,wu'shi'sui'yuan'xian
无事无相,wu'shi'wu'xiang
五数蕴,wu'shu'yun
无所取,wu'suo'qu
无贪等三根,wu'tan'deng'san'gen
无为法,wu'wei'fa
无戏论理,wu'xi'lun'li
无性释,wu'xing'shi
无因生论,wu'yin'sheng'lun
无著菩萨,wu'zhu'pu'sa
细惑,xi'huo
细轻,xi'qing
习所成种,xi'suo'cheng'zhong
细转,xi'zhuan
下忍,xia'ren
现观,xian'guan
现果,xian'guo
现量,xian'liang
现前立少物,xian'qian'li'shao'wu
贤善,xian'shan
显现,xian'xian
现行,xian'xing
现行变,xian'xing'bian
现行烦恼,xian'xing'fan'nao
现行果,xian'xing'guo
现行果发,xian'xing'guo'fa
现行亲因,xian'xing'qin'yin
现行识,xian'xing'shi
显扬,xian'yang
显扬圣教论,xian'yang'sheng'jiao'lun
显在,xian'zai
现证,xian'zheng
相怖,xiang'bu
相分,xiang'fen
香境,xiang'jing
想心所,xiang'xin'suo
相续不决定,xiang'xu'bu'jue'ding
相异,xiang'yi
相应慧,xiang'ying'hui
相应唯舍受,xiang'ying'wei'she'shou
相应因,xiang'ying'yin
相真如,xiang'zhen'ru
相状,xiang'zhuang
想自分别,xiang'zi'fen'bie
嚣动,xiao'dong
邪行真如,xie'xing'zhen'ru
心不相应行,xin'bu'xiang'ying'xing
心不相应行法,xin'bu'xiang'ying'xing'fa
心解脱,xin'jie'tuo
心解脱阿罗汉,xin'jie'tuo'a'luo'han
新净,xin'jing
心所,xin'suo
心所法,xin'suo'fa
心王,xin'wang
信心所,xin'xin'suo
心心所灭,xin'xin'suo'mie
兴教寺,xing'jiao'si
性境,xing'jing
形量,xing'liang
行舍及不害,xing'she'ji'bu'hai
性无堪任,xing'wu'kan'ren
行相,xing'xiang
性相反,xing'xiang'fan
性相顺,xing'xiang'shun
行相所缘门,xing'xiang'suo'yuan'men
行于境相,xing'yu'jing'xiang
修空胜解,xiu'kong'sheng'jie
修所成,xiu'suo'cheng
修所成地,xiu'suo'cheng'di
虚妄遍计所执,xu'wang'bian'ji'suo'zhi
虚伪,xu'wei
眩翳,xuan'yi
玄奘,xuan'zang
玄奘三藏,xuan'zang'san'zang
熏本识,xun'ben'shi
寻伺二各二,xun'si'er'ge'er
寻香城,xun'xiang'cheng
眼根,yan'gen
厌患,yan'huan
眼见色,yan'jian'se
演培,yan'pei
演培法师,yan'pei'fa'shi
眼识,yan'shi
业习气,ye'xi'qi
译本,yi'ben
依彼转缘彼,yi'bi'zhuan'yuan'bi
