阿德勒心理学,a'de'le'xin'li'xue
凹陷瘢痕,ao'xian'ban'hen
巴比妥类静脉麻醉药,ba'bi'tuo'lei'jing'mai'ma'zui'yao
巴宾斯基反射,ba'bin'si'ji'fan'she
巴伯,ba'bo
巴德,ba'de
靶点,ba'dian
八段锦,ba'duan'jin
巴尔得,ba'er'de
巴尔通体病,ba'er'tong'ti'bing
拔管,ba'guan
巴兰斯征,ba'lan'si'zheng
巴雷特食管,ba'lei'te'shi'guan
巴黎学派,ba'li'xue'pai
巴洛综合征,ba'luo'zong'he'zheng
拔毛狂,ba'mao'kuang
拔毛试验,ba'mao'shi'yan
巴氏胎儿水肿综合征,ba'shi'tai'er'shui'zhong'zong'he'zheng
巴氏小体,ba'shi'xiao'ti
巴斯刷牙法,ba'si'shua'ya'fa
拔髓针,ba'sui'zhen
巴特尔征,ba'te'er'zheng
靶细胞,ba'xi'bao
巴西副球孢子菌,ba'xi'fu'qiu'bao'zi'jun
巴西尼疝修补术,ba'xi'ni'shan'xiu'bu'shu
巴西诺卡菌,ba'xi'nuo'ka'jun
巴西天疱疮,ba'xi'tian'pao'chuang
拔牙后并发症,ba'ya'hou'bing'fa'zheng
拔牙钳,ba'ya'qian
拔牙学,ba'ya'xue
靶组织反应,ba'zu'zhi'fan'ying
白斑,bai'ban
白板说,bai'ban'shuo
白癜风,bai'dian'feng
摆动负重相,bai'dong'fu'zhong'xiang
摆动假说,bai'dong'jia'shuo
白痱,bai'fei
百分等级,bai'fen'deng'ji
白垢,bai'gou
白喉,bai'hou
白化病,bai'hua'bing
白甲,bai'jia
白蛉叮咬,bai'ling'ding'yao
白毛舌,bai'mao'she
白念珠菌,bai'nian'zhu'jun
白塞综合征,bai'sai'zong'he'zheng
白色海绵状斑痣,bai'se'hai'mian'zhuang'ban'zhi
白色糠疹,bai'se'kang'zhen
白色毛结节菌病,bai'se'mao'jie'jie'jun'bing
白色皮片,bai'se'pi'pian
白色皮片排斥,bai'se'pi'pian'pai'chi
白色皮片缺血,bai'se'pi'pian'que'xie
白色水肿,bai'se'shui'zhong
白色萎缩,bai'se'wei'suo
白色血栓,bai'se'xue'shuan
白细胞隔离,bai'xi'bao'ge'li
白细胞共同抗原,bai'xi'bao'gong'tong'kang'yuan
白细胞介素,bai'xi'bao'jie'su
白细胞聚集体,bai'xi'bao'ju'ji'ti
白细胞抗原,bai'xi'bao'kang'yuan
白细胞抗原配型,bai'xi'bao'kang'yuan'pei'xing
白细胞抗原相同同胞,bai'xi'bao'kang'yuan'xiang'tong'tong'bao
白细胞粘着反应,bai'xi'bao'nian'zhuo'fan'ying
白细胞凝集素,bai'xi'bao'ning'ji'su
白细胞三烯,bai'xi'bao'san'xi
白细胞调节素,bai'xi'bao'tiao'jie'su
白细胞移动抑制因子,bai'xi'bao'yi'dong'yi'zhi'yin'zi
白细胞抑制因子,bai'xi'bao'yi'zhi'yin'zi
白线,bai'xian
白线疝,bai'xian'shan
白癣,bai'xuan
败血症,bai'xue'zheng
白质,bai'zhi
半保留复制,ban'bao'liu'fu'zhi
半暴露疗法,ban'bao'lu'liao'fa
半闭式装置,ban'bi'shi'zhuang'zhi
半鼻再造术,ban'bi'zai'zao'shu
斑驳病,ban'bo'bing
伴刀豆球蛋白,ban'dao'dou'qiu'dan'bai
半导体激光疗法,ban'dao'ti'ji'guang'liao'fa
斑点杂交,ban'dian'za'jiao
半固定桥,ban'gu'ding'qiao
半固定桥连接体,ban'gu'ding'qiao'lian'jie'ti
半关节成形术,ban'guan'jie'cheng'xing'shu
半规管,ban'gui'guan
半合子,ban'he'zi
瘢痕,ban'hen
瘢痕癌,ban'hen'ai
瘢痕疙瘩,ban'hen'ge'da
瘢痕疙瘩性痤疮,ban'hen'ge'da'xing'cuo'chuang
瘢痕疙瘩性芽生菌病,ban'hen'ge'da'xing'ya'sheng'jun'bing
瘢痕挛缩,ban'hen'luan'suo
瘢痕切除术,ban'hen'qie'chu'shu
瘢痕上皮,ban'hen'shang'pi
瘢痕松解植皮术,ban'hen'song'jie'zhi'pi'shu
瘢痕体质,ban'hen'ti'zhi
瘢痕形成,ban'hen'xing'cheng
瘢痕性睑外翻,ban'hen'xing'jian'wai'fan
瘢痕性脱发,ban'hen'xing'tuo'fa
瘢痕组织,ban'hen'zu'zhi
瘢痕组织填充法,ban'hen'zu'zhi'tian'chong'fa
扳机指,ban'ji'zhi
半解剖式牙,ban'jie'pou'shi'ya
半精密支托,ban'jing'mi'zhi'tuo
半开放装置,ban'kai'fang'zhuang'zhi
半抗原,ban'kang'yuan
半抗原抗体凝聚物,ban'kang'yuan'kang'ti'ning'ju'wu
半抗原抑制试验,ban'kang'yuan'yi'zhi'shi'yan
斑块,ban'kuai
斑块状副银屑病,ban'kuai'zhuang'fu'yin'xie'bing
斑马状色素沉着,ban'ma'zhuang'se'su'chen'zhuo
半埋入横褥式缝合,ban'mai'ru'heng'ru'shi'feng'he
斑蝥皮炎,ban'mao'pi'yan
瓣膜变形,ban'mo'bian'xing
瓣膜成形术,ban'mo'cheng'xing'shu
瓣膜破裂,ban'mo'po'lie
瓣膜切开术,ban'mo'qie'kai'shu
瓣膜置换术,ban'mo'zhi'huan'shu
半脾移植,ban'pi'yi'zhi
半桥粒,ban'qiao'li
半切牙术,ban'qie'ya'shu
半球形乳房,ban'qiu'xing'ru'fang
半乳糖血症,ban'ru'tang'xue'zheng
斑色胎儿,ban'se'tai'er
半舌切除术,ban'she'qie'chu'shu
斑氏环路,ban'shi'huan'lu
半数致死面积,ban'shu'zhi'si'mian'ji
伴随免疫,ban'sui'mian'yi
伴随性负电位变化,ban'sui'xing'fu'dian'wei'bian'hua
斑贴试验,ban'tie'shi'yan
半同胞,ban'tong'bao
斑秃,ban'tu
半脱拉,ban'tuo'la
半脱位,ban'tuo'wei
瓣修复术,ban'xiu'fu'shu
斑釉牙,ban'you'ya
半月板切除术,ban'yue'ban'qie'chu'shu
半月线疝,ban'yue'xian'shan
斑疹,ban'zhen
斑疹伤寒,ban'zhen'shang'han
斑疹伤寒小结,ban'zhen'shang'han'xiao'jie
斑痣,ban'zhi
半肢畸形,ban'zhi'ji'xing
斑痣性错构瘤病,ban'zhi'xing'cuo'gou'liu'bing
瓣中瓣人工瓣植入术,ban'zhong'ban'ren'gong'ban'zhi'ru'shu
瓣周漏,ban'zhou'lou
斑状萎缩,ban'zhuang'wei'suo
斑状硬斑病,ban'zhuang'ying'ban'bing
半椎体,ban'zhui'ti
邦威尔三角,bang'wei'er'san'jiao
胞壁酰二肽,bao'bi'xian'er'tai
保持,bao'chi
保持曲线,bao'chi'qu'xian
保持性复述,bao'chi'xing'fu'shu
保存液,bao'cun'ye
报道基因,bao'dao'ji'yin
鲍恩病,bao'en'bing
鲍恩样丘疹病,bao'en'yang'qiu'zhen'bing
暴发性生殖器坏疽,bao'fa'xing'sheng'zhi'qi'huai'ju
暴发性紫癜,bao'fa'xing'zi'dian
抱负水平,bao'fu'shui'ping
包裹,bao'guo
包涵囊肿,bao'han'nang'zhong
饱和度,bao'he'du
保护性胶体学说,bao'hu'xing'jiao'ti'xue'shuo
保护性抗原,bao'hu'xing'kang'yuan
保护性免疫,bao'hu'xing'mian'yi
保健,bao'jian
保健操,bao'jian'cao
包茎,bao'jing
暴力,bao'li
暴力牵引,bao'li'qian'yin
爆裂骨折,bao'lie'gu'zhe
爆裂性骨折,bao'lie'xing'gu'zhe
暴露疗法,bao'lu'liao'fa
包埋材模型,bao'mai'cai'mo'xing
包膜蛋白基因,bao'mo'dan'bai'ji'yin
包膜挛缩,bao'mo'luan'suo
包膜下肾切除术,bao'mo'xia'shen'qie'chu'shu
包皮背侧切开术,bao'pi'bei'ce'qie'kai'shu
包皮变应性水肿,bao'pi'bian'ying'xing'shui'zhong
包皮垢,bao'pi'gou
包皮过长,bao'pi'guo'chang
包皮环切,bao'pi'huan'qie
包皮结石,bao'pi'jie'shi
保守性聚焦,bao'shou'xing'ju'jiao
胞吐作用,bao'tu'zuo'yong
胞吞作用,bao'tun'zuo'yong
胞饮作用,bao'yin'zuo'yong
包扎,bao'za
包扎疗法,bao'za'liao'fa
爆炸伤,bao'zha'shang
包装缺陷突变体,bao'zhuang'que'xian'tu'bian'ti
包装细胞株,bao'zhuang'xi'bao'zhu
包装信号,bao'zhuang'xin'hao
孢子丝菌病,bao'zi'si'jun'bing
背板,bei'ban
被动,bei'dong
被动免疫,bei'dong'mian'yi
被动凝集,bei'dong'ning'ji
被动运动,bei'dong'yun'dong
被动致敏,bei'dong'zhi'min
被动转移,bei'dong'zhuan'yi
被覆粘膜,bei'fu'nian'mo
贝格矫治器,bei'ge'jiao'zhi'qi
背根,bei'gen
被害妄想,bei'hai'wang'xiang
备解素,bei'jie'su
背景,bei'jing
背景效应,bei'jing'xiao'ying
背景音乐,bei'jing'yin'yue
贝克肌营养不良,bei'ke'ji'ying'yang'bu'liang
贝壳甲综合征,bei'ke'jia'zong'he'zheng
贝克三体征,bei'ke'san'ti'zheng
贝克斯手术,bei'ke'si'shou'shu
贝克痣,bei'ke'zhi
贝壳状耳,bei'ke'zhuang'er
背阔肌肌皮瓣,bei'kuo'ji'ji'pi'ban
贝利婴儿发展量表,bei'li'ying'er'fa'zhan'liang'biao
贝内特骨折,bei'nei'te'gu'zhe
贝内特角,bei'nei'te'jiao
贝内特运动,bei'nei'te'yun'dong
被试变量,bei'shi'bian'liang
钡石灰,bei'shi'hui
背驮式肝移植,bei'tuo'shi'gan'yi'zhi
贝叶斯定理,bei'ye'si'ding'li
倍音,bei'yin
备择假设,bei'ze'jia'she
杯状耳,bei'zhuang'er
苯巴比妥,ben'ba'bi'tuo
苯丙酮尿症,ben'bing'tong'niao'zheng
贲门成形术,ben'men'cheng'xing'shu
贲门肌切开术,ben'men'ji'qie'kai'shu
本能,ben'neng
本能冲动,ben'neng'chong'dong
本能论,ben'neng'lun
本能行为,ben'neng'xing'wei
本尼迪克特公式,ben'ni'di'ke'te'gong'shi
本色,ben'se
本特利调温氧合器,ben'te'li'tiao'wen'yang'he'qi
本体感受,ben'ti'gan'shou
本托尔手术,ben'tuo'er'shou'shu
苯妥英龈增生,ben'tuo'ying'yin'zeng'sheng
本我,ben'wo
本周蛋白,ben'zhou'dan'bai
本族语,ben'zu'yu
绷带,beng'dai
绷带法,beng'dai'fa
绷带卷,beng'dai'juan
泵校准,beng'jiao'zhun
绷线缝合,beng'xian'feng'he
鼻孢子菌病,bi'bao'zi'jun'bing
鼻背,bi'bei
鼻部纤维性丘疹,bi'bu'xian'wei'xing'qiu'zhen
鼻侧裂,bi'ce'lie
鼻侧软骨,bi'ce'ruan'gu
鼻侧突,bi'ce'tu
鼻长,bi'chang
鼻成形术,bi'cheng'xing'shu
鼻唇沟,bi'chun'gou
鼻唇角,bi'chun'jiao
鼻唇囊肿,bi'chun'nang'zhong
臂丛,bi'cong
彼得森范式,bi'de'sen'fan'shi
鼻腭管囊肿,bi'e'guan'nang'zhong
鼻额角,bi'e'jiao
比尔罗特,bi'er'luo'te
鼻肥大,bi'fei'da
鼻高,bi'gao
鼻根,bi'gen
鼻根部脑膨出,bi'gen'bu'nao'peng'chu
鼻根点,bi'gen'dian
鼻根点陷凹,bi'gen'dian'xian'ao
鼻骨骨折复位钳,bi'gu'gu'zhe'fu'wei'qian
闭合皮瓣,bi'he'pi'ban
闭合伤,bi'he'shang
闭合性颅骨骨折,bi'he'xing'lu'gu'gu'zhe
闭合性气胸,bi'he'xing'qi'xiong
闭合引流,bi'he'yin'liu
鼻红粒病,bi'hong'li'bing
鼻后棘,bi'hou'ji
鼻后孔,bi'hou'kong
鼻后孔闭锁,bi'hou'kong'bi'suo
庇护工场,bi'hu'gong'chang
闭环控制,bi'huan'kong'zhi
鼻尖,bi'jian
臂间倒位,bi'jian'dao'wei
鼻尖蝶形切口,bi'jian'die'xing'qie'kou
鼻尖肥大,bi'jian'fei'da
鼻尖形态,bi'jian'xing'tai
比较病理学,bi'jiao'bing'li'xue
比较免疫学,bi'jiao'mian'yi'xue
比较认知,bi'jiao'ren'zhi
比较水平,bi'jiao'shui'ping
比较心理学,bi'jiao'xin'li'xue
鼻孔,bi'kong
鼻孔底,bi'kong'di
闭孔肌试验,bi'kong'ji'shi'yan
鼻孔美容术,bi'kong'mei'rong'shu
闭孔疝,bi'kong'shan
鼻孔外翻,bi'kong'wai'fan
鼻孔狭窄,bi'kong'xia'zhai
闭口印模,bi'kou'yin'mo
鼻宽,bi'kuan
比例,bi'li
鼻梁形态,bi'liang'xing'tai
鼻裂,bi'lie
比率量表,bi'lv'liang'biao
比率智商,bi'lv'zhi'shang
鼻美容术,bi'mei'rong'shu
鼻面角,bi'mian'jiao
比内,bi'nei
臂内倒位,bi'nei'dao'wei
比内智力量表,bi'nei'zhi'li'liang'biao
逼尿肌反射亢进,bi'niao'ji'fan'she'kang'jin
逼尿肌无反射,bi'niao'ji'wu'fan'she
闭袢性肠梗阻,bi'pan'xing'chang'geng'zu
鼻偏斜,bi'pian'xie
鼻前棘,bi'qian'ji
鼻前孔,bi'qian'kong
鼻前孔闭锁,bi'qian'kong'bi'suo
鼻前孔狭窄,bi'qian'kong'xia'zhai
鼻前庭,bi'qian'ting
比赛心理定向,bi'sai'xin'li'ding'xiang
比赛型运动员,bi'sai'xing'yun'dong'yuan
比赛自我意象,bi'sai'zi'wo'yi'xiang
比色,bi'se
比色板,bi'se'ban
比色测定,bi'se'ce'ding
比色单,bi'se'dan
闭塞性动脉硬化,bi'se'xing'dong'mai'ying'hua
闭塞性干燥性龟头炎,bi'se'xing'gan'zao'xing'gui'tou'yan
鼻深,bi'shen
臂神经丛阻滞,bi'shen'jing'cong'zu'zhi
毕生发展观,bi'sheng'fa'zhan'guan
闭式循环装置,bi'shi'xun'huan'zhuang'zhi
闭式引流灌洗,bi'shi'yin'liu'guan'xi
壁束,bi'shu
闭锁,bi'suo
鼻缩小成形术,bi'suo'xiao'cheng'xing'shu
闭锁性运动技能,bi'suo'xing'yun'dong'ji'neng
鼻小柱,bi'xiao'zhu
闭胸心脏按压,bi'xiong'xin'zang'an'ya
鼻眼裂,bi'yan'lie
鼻咽通气管,bi'yan'tong'qi'guan
鼻翼,bi'yi
鼻翼耳屏线,bi'yi'er'ping'xian
鼻翼沟,bi'yi'gou
鼻翼缺损,bi'yi'que'sun
鼻翼软骨,bi'yi'ruan'gu
鼻硬结病,bi'ying'jie'bing
鼻硬结病细胞,bi'ying'jie'bing'xi'bao
鼻硬结细胞,bi'ying'jie'xi'bao
鼻正中裂,bi'zheng'zhong'lie
臂指数,bi'zhi'shu
鼻指数,bi'zhi'shu
鼻中隔软骨,bi'zhong'ge'ruan'gu
鼻中突,bi'zhong'tu
鼻赘,bi'zhui
辨别反应时,bian'bie'fan'ying'shi
边际人,bian'ji'ren
便利形,bian'li'xing
编码,bian'ma
编码策略,bian'ma'ce'lue
编码区,bian'ma'qu
扁平黄,bian'ping'huang
扁平甲,bian'ping'jia
扁平髋,bian'ping'kuan
扁平卵圆管,bian'ping'luan'yuan'guan
扁平湿疣,bian'ping'shi'you
扁平苔藓,bian'ping'tai'xian
扁平微笑曲线,bian'ping'wei'xiao'qu'xian
扁平疣,bian'ping'you
变色,bian'se
变色牙,bian'se'ya
变数串联重复,bian'shu'chuan'lian'chong'fu
变态反应,bian'tai'fan'ying
变态反应学,bian'tai'fan'ying'xue
变态心理学,bian'tai'xin'li'xue
变形,bian'xing
变性,bian'xing
变性反应,bian'xing'fan'ying
变性温度,bian'xing'wen'du
变形小屋,bian'xing'xiao'wu
变性型涎腺肿大,bian'xing'xing'xian'xian'zhong'da
变形序列征,bian'xing'xu'lie'zheng
变异数,bian'yi'shu
变异数分析,bian'yi'shu'fen'xi
变异体,bian'yi'ti
变异系数,bian'yi'xi'shu
变异性红斑角化病,bian'yi'xing'hong'ban'jiao'hua'bing
变应性接触性唇炎,bian'ying'xing'jie'chu'xing'chun'yan
变应性接触性皮炎,bian'ying'xing'jie'chu'xing'pi'yan
变应性膀胱炎,bian'ying'xing'pang'guang'yan
变应性皮肤血管炎,bian'ying'xing'pi'fu'xue'guan'yan
变应性前列腺病,bian'ying'xing'qian'lie'xian'bing
变应性肉芽肿病,bian'ying'xing'rou'ya'zhong'bing
变应性药疹,bian'ying'xing'yao'zhen
变应性紫癜,bian'ying'xing'zi'dian
变应原,bian'ying'yuan
变应原性,bian'ying'yuan'xing
边缘封闭区,bian'yuan'feng'bi'qu
边缘肝素化,bian'yuan'gan'su'hua
边缘嵴,bian'yuan'ji
边缘系统,bian'yuan'xi'tong
边缘型人格障碍,bian'yuan'xing'ren'ge'zhang'ai
边缘性龈炎,bian'yuan'xing'yin'yan
边缘龈,bian'yuan'yin
边缘运动,bian'yuan'yun'dong
编织疗法,bian'zhi'liao'fa
表层结构,biao'ceng'jie'gou
表层皮片,biao'ceng'pi'pian
表达性语言障碍,biao'da'xing'yu'yan'zhang'ai
表达载体,biao'da'zai'ti
标记奖励法,biao'ji'jiang'li'fa
标记抗生物素蛋白,biao'ji'kang'sheng'wu'su'dan'bai
标记染色体,biao'ji'ran'se'ti
表面麻醉,biao'mian'ma'zui
表面免疫球蛋白,biao'mian'mian'yi'qiu'dan'bai
表面色,biao'mian'se
表面效度,biao'mian'xiao'du
表皮,biao'pi
表皮包涵囊肿,biao'pi'bao'han'nang'zhong
表皮剥脱,biao'pi'bo'tuo
表皮黑,biao'pi'hei
表皮囊肿,biao'pi'nang'zhong
表皮内上皮瘤,biao'pi'nei'shang'pi'liu
表皮生长因子,biao'pi'sheng'zhang'yin'zi
表皮松解,biao'pi'song'jie
表皮细胞,biao'pi'xi'bao
表皮细胞再生,biao'pi'xi'bao'zai'sheng
表皮下基底带,biao'pi'xia'ji'di'dai
表皮样瘤,biao'pi'yang'liu
表皮样囊肿,biao'pi'yang'nang'zhong
表皮痣,biao'pi'zhi
表皮痣综合征,biao'pi'zhi'zong'he'zheng
表情,biao'qing
表情法,biao'qing'fa
表情线,biao'qing'xian
表情言语,biao'qing'yan'yu
表位,biao'wei
表现变异性,biao'xian'bian'yi'xing
表现度,biao'xian'du
表现为上肢,biao'xian'wei'shang'zhi
表现艺术,biao'xian'yi'shu
表象,biao'xiang
表象训练,biao'xiang'xun'lian
表型,biao'xing
表型模拟,biao'xing'mo'ni
表演型人格障碍,biao'yan'xing'ren'ge'zhang'ai
表征,biao'zheng
标准参照测验,biao'zhun'can'zhao'ce'yan
标准差,biao'zhun'cha
标准刺激,biao'zhun'ci'ji
标准分数,biao'zhun'fen'shu
标准化测验,biao'zhun'hua'ce'yan
标准九分,biao'zhun'jiu'fen
标准群体,biao'zhun'qun'ti
标准误差,biao'zhun'wu'cha
标准正态分布,biao'zhun'zheng'tai'fen'bu
别德尔综合征,bie'de'er'zong'he'zheng
髌骨切除术,bin'gu'qie'chu'shu
髌骨软骨软化,bin'gu'ruan'gu'ruan'hua
濒死心律,bin'si'xin'lv
宾心脏修复术,bin'xin'zang'xiu'fu'shu
丙胺卡因,bing'an'ka'yin
冰冻盆腔,bing'dong'pen'qiang
病毒,bing'du
病毒性肝炎,bing'du'xing'gan'yan
病毒载体,bing'du'zai'ti
病理解剖学,bing'li'jie'pou'xue
病理生理学,bing'li'sheng'li'xue
病理生物学,bing'li'sheng'wu'xue
病理性肾结核,bing'li'xing'shen'jie'he
病理形态学,bing'li'xing'tai'xue
病理性有丝分裂,bing'li'xing'you'si'fen'lie
病理学,bing'li'xue
病理学各论,bing'li'xue'ge'lun
病理学总论,bing'li'xue'zong'lun
病理移位,bing'li'yi'wei
并列心脏移植,bing'lie'xin'zang'yi'zhi
丙泮尼地,bing'pan'ni'di
屏气试验,bing'qi'shi'yan
冰山剖面图,bing'shan'pou'mian'tu
冰水疗法,bing'shui'liao'fa
病损,bing'sun
病态肥胖症,bing'tai'fei'pang'zheng
病态人格,bing'tai'ren'ge
丙酮酸激酶缺乏症,bing'tong'suan'ji'mei'que'fa'zheng
病细胞综合征,bing'xi'bao'zong'he'zheng
丙烯酸树脂贴面,bing'xi'suan'shu'zhi'tie'mian
丙烯酸酯基托,bing'xi'suan'zhi'ji'tuo
丙烯酸酯夹板,bing'xi'suan'zhi'jia'ban
丙烯酸酯甲冠,bing'xi'suan'zhi'jia'guan
丙烯酸酯磨钻,bing'xi'suan'zhi'mo'zuan
丙烯酸酯填塞,bing'xi'suan'zhi'tian'sai
丙烯酸酯牙,bing'xi'suan'zhi'ya
并行分布加工模型,bing'xing'fen'bu'jia'gong'mo'xing
并行加工,bing'xing'jia'gong
丙型色盲,bing'xing'se'mang
并行搜索,bing'xing'sou'suo
病因学,bing'yin'xue
病灶内切除,bing'zao'nei'qie'chu
病征学,bing'zheng'xue
并趾,bing'zhi
并指,bing'zhi
并趾畸形,bing'zhi'ji'xing
并指畸形,bing'zhi'ji'xing
丙种球蛋白,bing'zhong'qiu'dan'bai
薄唇,bo'chun
波茨,bo'ci
波动,bo'dong
搏动灌注,bo'dong'guan'zhu
搏动性血肿,bo'dong'xing'xue'zhong
搏动血流,bo'dong'xue'liu
搏动血流泵,bo'dong'xue'liu'beng
剥夺,bo'duo
波根多夫错觉,bo'gen'duo'fu'cuo'jue
剥痂术,bo'jia'shu
剥离,bo'li
玻璃化,bo'li'hua
玻璃离子粘固剂,bo'li'li'zi'zhan'gu'ji
玻璃丝发,bo'li'si'fa
玻璃碳,bo'li'tan
玻璃碳种植体,bo'li'tan'zhong'zhi'ti
玻璃调合板,bo'li'tiao'he'ban
玻璃纤维皮炎,bo'li'xian'wei'pi'yan
玻璃纤维织物,bo'li'xian'wei'zhi'wu
波伦序列征,bo'lun'xu'lie'zheng
波伦综合征,bo'lun'zong'he'zheng
薄皮瓣移植术,bo'pi'ban'yi'zhi'shu
播散,bo'san
播散性汗孔角化病,bo'san'xing'han'kong'jiao'hua'bing
播散性结核,bo'san'xing'jie'he
播散性盘状红斑狼疮,bo'san'xing'pan'zhuang'hong'ban'lang'chuang
播散性嗜酸,bo'san'xing'shi'suan
播散性真菌感染,bo'san'xing'zhen'jun'gan'ran
波氏阿利什利霉病,bo'shi'a'li'shen'li'mei'bing
波氏阿利什霉,bo'shi'a'li'shen'mei
波氏霉样真菌,bo'shi'mei'yang'zhen'jun
波氏霉样真菌病,bo'shi'mei'yang'zhen'jun'bing
博氏线,bo'shi'xian
剥脱性唇炎,bo'tuo'xing'chun'yan
剥脱性骨软骨炎,bo'tuo'xing'gu'ruan'gu'yan
剥脱性角质松解症,bo'tuo'xing'jiao'zhi'song'jie'zheng
剥脱性皮炎,bo'tuo'xing'pi'yan
剥脱性龈炎,bo'tuo'xing'yin'yan
波伊茨,bo'yi'ci
博奕性聚焦,bo'yi'xing'ju'jiao
波状碟片,bo'zhuang'die'pian
补偿,bu'chang
补偿曲线,bu'chang'qu'xian
补偿曲线曲度,bu'chang'qu'xian'qu'du
补偿追踪,bu'chang'zhui'zong
不成熟人格,bu'cheng'shu'ren'ge
不等互换,bu'deng'hu'huan
不典型性,bu'dian'xing'xing
不典型增生,bu'dian'xing'zeng'sheng
不对称,bu'dui'chen
不对称联体儿,bu'dui'chen'lian'ti'er
不对称乳房,bu'dui'chen'ru'fang
不发育,bu'fa'yu
部分报告法,bu'fen'bao'gao'fa
部分变性反应,bu'fen'bian'xing'fan'ying
部分肠梗阻,bu'fen'chang'geng'zu
部分冠,bu'fen'guan
不分离,bu'fen'li
部分脾移植,bu'fen'pi'yi'zhi
部分失神经支配,bu'fen'shi'shen'jing'zhi'pei
部分性房室通道,bu'fen'xing'fang'shi'tong'dao
步幅,bu'fu
不复位瓣,bu'fu'wei'ban
不规则牙本质,bu'gui'ze'ya'ben'zhi
不健康生活方式,bu'jian'kang'sheng'huo'fang'shi
不可能图形,bu'ke'neng'tu'xing
布莱克窝洞分类,bu'lai'ke'wo'dong'fen'lei
布莱洛克,bu'lai'luo'ke
布朗,bu'lang
布朗公式,bu'lang'gong'shi
布朗架,bu'lang'jia
布劳德表,bu'lao'de'biao
布劳吻合,bu'lao'wen'he
不连接,bu'lian'jie
卟啉病,bu'lin'bing
布林综合征,bu'lin'zong'he'zheng
布鲁克公式,bu'lu'ke'gong'shi
布卢姆综合征,bu'lu'mu'zong'he'zheng
布鲁纳教学原则,bu'lu'na'jiao'xue'yuan'ze
布罗卡区,bu'luo'ka'qu
布罗卡失语症,bu'luo'ka'shi'yu'zheng
布罗姆修复术,bu'luo'mu'xiu'fu'shu
不耐热抗体,bu'nai're'kang'ti
不平衡易位,bu'ping'heng'yi'wei
不全并趾,bu'quan'bing'zhi
不全并指,bu'quan'bing'zhi
不确定间距,bu'que'ding'jian'ju
补色,bu'se
补色律,bu'se'lv
不随意想象,bu'sui'yi'xiang'xiang
不随意运动,bu'sui'yi'yun'dong
